2397_162253_000000_000000	CHAPTER XXII	CHAPTER twenty two	true	20.475	21.91	23
2397_162253_000012_000001	Quite early in the evening, so he said,--as early as nine o'clock,--he was under the hospital corner, listening to the music further up along the bluff.	Quite early in the evening, so he said,--as early as nine o'clock,--he was under the hospital corner, listening to the music further up along the bluff.	false	654.195	663.1	17
2397_162253_000012_000002	A lady came from the south of the building as though she were going down to Sudstown.	A lady came from the south of the building as though she were going down to Sudstown.	true	663.38	667.96	11
2397_162253_000012_000003	Mrs. Foster had gone down not long before, and Hogan, with a lantern, and two officers' ladies.	mrs Foster had gone down not long before, and Hogan, with a lantern, and two officers' ladies.	false	668	674.23	15
2397_162253_000012_000004	But this one came all alone and spoke to him pleasant-like and said she was so sorry he couldn't be at the dance.	But this one came all alone and spoke to him pleasant like and said she was so sorry he couldn't be at the dance.	true	674.42	681.18	13
2397_162253_000012_000005	She'd been seeing the sick and wounded in hospital, she said, and was going to bring some wine and jellies.	She'd been seeing the sick and wounded in hospital, she said, and was going to bring some wine and jellies.	false	681.18	687.7	17
2397_162253_000012_000006	If he didn't mind, she'd take the path around the quartermaster's storehouse outside, as she was going to Mr. Hay's, and didn't care to go through by the guard-house.	If he didn't mind, she'd take the path around the quartermaster's storehouse outside, as she was going to mr Hay's, and didn't care to go through by the guard house.	false	687.71	696.52	12
2397_162253_000012_000007	So Six let her go, as he "had no orders agin it" (even though it dawned upon him that this must be the young lady that had been carried off by the Sioux).	So Six let her go, as he "had no orders agin it" (even though it dawned upon him that this must be the young lady that had been carried off by the Sioux).	false	696.68	705.19	16
2397_162253_000012_000008	That made him think a bit, he said, and when she came back with a basket nicely covered with a white napkin, she made him take a big chicken sandwich.	That made him think a bit, he said, and when she came back with a basket nicely covered with a white napkin, she made him take a big chicken sandwich.	false	705.5	714.945	14
2397_162253_000012_000009	"Sure I didn't know how to refuse the lady, until she poured me out a big tumbler of wine--wine, she said, she was taking in to Sergeant Briggs and Corporal Turner that was shot at the Elk, and she couldn't bear to see me all alone out there in the cold." But Six said he dasn't take the wine.	"Sure I didn't know how to refuse the lady, until she poured me out a big tumbler of wine-wine, she said, she was taking in to Sergeant Briggs and Corporal Turner that was shot at the Elk, and she couldn't bear to see me all alone out there in the cold." But Six said he dasn't take the wine.	false	714.945	731.925	13
2397_162253_000012_000010	He got six months "blind" once for a similar solecism, and, mindful of the major's warning (this was diplomatic) Six swore he had sworn off, and had to refuse the repeated requests of the lady.	He got six months "blind" once for a similar solecism, and, mindful of the major's warning (this was diplomatic) Six swore he had sworn off, and had to refuse the repeated requests of the lady.	true	731.925	744.07	13
2397_162253_000012_000011	He suspicioned her, he said, because she was so persistent.	He suspicioned her, he said, because she was so persistent.	false	744.11	748.03	14
2397_162253_000012_000012	Then she laughed and said good-night and went on to the hospital.	Then she laughed and said good night and went on to the hospital.	true	748.13	751.78	11
2397_162253_000012_000013	What became of the wine she had poured out?	What became of the wine she had poured out?	true	751.97	754.72	19
2397_162253_000012_000014	(This from the grim and hitherto silent doctor, seated by the bedside.) She must have tossed it out or drunk it herself, perhaps, Six didn't know.	(This from the grim and hitherto silent doctor, seated by the bedside.) She must have tossed it out or drunk it herself, perhaps, Six didn't know.	true	754.82	763.81	16
2397_162253_000012_000015	Certainly no trace of it could be found in the snow.	Certainly no trace of it could be found in the snow.	true	764	766.84	16
2397_162253_000012_000016	Then nothing happened for as much as twenty minutes or so, and he was over toward the south end of his post, but facing toward the hospital when she came again down the steps, and this time handed him some cake and told him he was a good soldier not to drink even wine, and asked him what were the lights away across the Platte, and he couldn't see any, and was following her pointing finger and staring, and then all of a sudden he saw a million lights, dancing, and stars and bombs and that was all he knew till they began talking to him here in hospital.	Then nothing happened for as much as twenty minutes or so, and he was over toward the south end of his post, but facing toward the hospital when she came again down the steps, and this time handed him some cake and told him he was a good soldier not to drink even wine, and asked him what were the lights away across the Platte, and he couldn't see any, and was following her pointing finger and staring, and then all of a sudden he saw a million lights, dancing, and stars and bombs and that was all he knew till they began talking to him here in hospital.	false	766.85	800.05	16
2397_162253_000012_000017	Something had hit him from behind, but he couldn't tell what.	Something had hit him from behind, but he couldn't tell what.	true	800.27	803.8	23.541197
2397_162253_000013_000000	Flint's nerve was failing him, for here was confirmation of the general's theory, but there was worse to come and more of it.	Flint's nerve was failing him, for here was confirmation of the general's theory, but there was worse to come and more of it.	true	803.87	811.78	20
2397_162253_000014_000000	Miss McGrath, domestic at the trader's, had told a tale that had reached the ears of Mistress McGann, and 'twas the latter that bade the major summon the girl and demand of her what it was she had seen and heard concerning "Crappo" and the lady occupant of the second floor front at the trader's home.	Miss McGrath, domestic at the trader's, had told a tale that had reached the ears of Mistress McGann, and 'twas the latter that bade the major summon the girl and demand of her what it was she had seen and heard concerning "Crappo" and the lady occupant of the second floor front at the trader's home.	false	812.06	830.92	16
2397_162253_000014_000001	Then it was that the major heard what others had earlier conjectured--that there had been clandestine meetings, whispered conferences and the like, within the first week of the lovely niece's coming to Fort Frayne.	Then it was that the major heard what others had earlier conjectured-that there had been clandestine meetings, whispered conferences and the like, within the first week of the lovely niece's coming to Fort Frayne.	true	831.14	843.58	14
2397_162253_000014_000002	That notes had been fetched and carried by "Crappo" as well as Pete; that Miss Flower was either a somnambulist or a good imitation of one, as on two occasions the maid had "peeked" and seen her down-stairs at the back door in the dead hours of the night, or the very early morning.	That notes had been fetched and carried by "Crappo" as well as Pete; that Miss Flower was either a somnambulist or a good imitation of one, as on two occasions the maid had "peeked" and seen her down stairs at the back door in the dead hours of the night, or the very early morning.	true	844.16	860.955	16
2397_162253_000014_000003	That was when she first came.	That was when she first came.	true	860.955	862.6	18
2397_162253_000014_000004	Then, since the recapture, Miss McGrath felt confident that though never again detected down stairs, Miss Flower had been out at night, as Miss McGrath believed her to have been the night, when was it?	Then, since the recapture, Miss McGrath felt confident that though never again detected down stairs, Miss Flower had been out at night, as Miss McGrath believed her to have been the night, when was it?	false	862.64	875.41	15
2397_162253_000014_000005	"when little Kennedy had his scrap wid the Sioux the boys do be all talkin' about"--the night, in fact, that Stabber's band slipped away from the Platte, Ray's troop following at dawn.	"when little Kennedy had his scrap wid the Sioux the boys do be all talkin' about"--the night, in fact, that Stabber's band slipped away from the Platte, Ray's troop following at dawn.	false	875.6	887.4	20
2397_162253_000014_000006	Questioned as to how it was possible for Miss Flower to get out without coming down stairs, Miss McGrath said she wasn't good at monkeyshines herself, but "wimmen that could ride sthraddle-wise" were capable of climbs more difficult than that which the vine trellis afforded from the porch floor to the porch roof.	Questioned as to how it was possible for Miss Flower to get out without coming down stairs, Miss McGrath said she wasn't good at monkeyshines herself, but "wimmen that could ride sthraddle wise" were capable of climbs more difficult than that which the vine trellis afforded from the porch floor to the porch roof.	false	887.4	905.35	15
2397_162253_000014_000007	Miss McGrath hadn't been spying, of course, because her room was at the back of the house, beyond the kitchen, but how did the little heel tracks get on the veranda roof?--the road dust on the matting under the window?	Miss McGrath hadn't been spying, of course, because her room was at the back of the house, beyond the kitchen, but how did the little heel tracks get on the veranda roof?--the road dust on the matting under the window?	true	905.39	917.805	15
2397_162253_000014_000008	the vine twigs in that "quare" made skirt never worn by day?	the vine twigs in that "quare" made skirt never worn by day?	true	917.805	921.55	13
2397_162253_000014_000009	That Miss Flower could and did ride "asthraddle" and ride admirably when found with the Sioux at Bear Cliff, everybody at Frayne well knew by this time.	That Miss Flower could and did ride "asthraddle" and ride admirably when found with the Sioux at Bear Cliff, everybody at Frayne well knew by this time.	true	921.83	931.125	15
2397_162253_000014_000010	That she had so ridden at Fort Frayne was known to no officer or lady of the garrison then present, but believed by Miss McGrath because of certain inexpressibles of the same material with the "quare" made skirt; both found, dusty and somewhat bedraggled, the morning Captain Blake was having his chase after the Indians, and Miss Flower was so "wild excited like." All this and more did Miss McGrath reveal before being permitted to return to the sanctity of her chamber, and Flint felt the ground sinking beneath his feet.	That she had so ridden at Fort Frayne was known to no officer or lady of the garrison then present, but believed by Miss McGrath because of certain inexpressibles of the same material with the "quare" made skirt; both found, dusty and somewhat bedraggled, the morning Captain Blake was having his chase after the Indians, and Miss Flower was so "wild excited like." All this and more did Miss McGrath reveal before being permitted to return to the sanctity of her chamber, and Flint felt the ground sinking beneath his feet.	false	931.125	964.305	15
2397_162253_000014_000011	It might even be alleged of him now that he had connived at the escape of this most dangerous and desperate character, this Indian leader, of whom example, prompt and sharp, would certainly have been made, unless the general and the ends of justice were defeated.	It might even be alleged of him now that he had connived at the escape of this most dangerous and desperate character, this Indian leader, of whom example, prompt and sharp, would certainly have been made, unless the general and the ends of justice were defeated.	false	964.305	980.23	14
2397_162253_000014_000012	But what stung the major most of all was that he had been fairly victimized, hoodwinked, cajoled, wheedled, flattered into this wretched predicament, all through the wiles and graces of a woman.	But what stung the major most of all was that he had been fairly victimized, hoodwinked, cajoled, wheedled, flattered into this wretched predicament, all through the wiles and graces of a woman.	true	980.39	993.37	15
2397_162253_000014_000013	No one knew it, whatever might be suspected, but Nanette had bewitched him quite as much as missives from the East had persuaded and misled.	No one knew it, whatever might be suspected, but Nanette had bewitched him quite as much as missives from the East had persuaded and misled.	true	993.68	1002.94	14
2397_162253_000015_000000	And so it was with hardened and resentful heart that the major sought her on the morrow.	And so it was with hardened and resentful heart that the major sought her on the morrow.	false	1002.98	1008.64	17
2397_162253_000015_000001	The general and the commands afield would soon be coming home.	The general and the commands afield would soon be coming home.	false	1008.77	1012.3	15
2397_162253_000015_000002	Such Indians as they had not "rounded up" and captured were scattered far and wide.	Such Indians as they had not "rounded up" and captured were scattered far and wide.	true	1012.3	1016.97	5
2397_162253_000015_000003	The campaign was over.	The campaign was over.	false	1016.97	1018.45	14.940247
2397_162253_000015_000004	Now for the disposition of the prisoners.	Now for the disposition of the prisoners.	true	1018.49	1020.76	17.02338
2397_162253_000015_000005	It was to tell Mrs. Hayand Nanette, especially Nanette, why the sentries were re-established about their home and that, though he would not place the trader's niece within a garrison cell, he should hold her prisoner beneath the trader's roof to await the action of superior authority on the grievous charges lodged at her door.	It was to tell mrs Hayand Nanette, especially Nanette, why the sentries were re-established about their home and that, though he would not place the trader's niece within a garrison cell, he should hold her prisoner beneath the trader's roof to await the action of superior authority on the grievous charges lodged at her door.	false	1020.89	1038.93	12
2397_162253_000015_000006	She was able to be up, said Miss McGrath,--not only up but down--down in the breakfast room, looking blither and more like herself than she had been since she was brought home.	She was able to be up, said Miss McGrath,--not only up but down-down in the breakfast room, looking blither and more like herself than she had been since she was brought home.	true	1038.93	1049.4	17
2397_162253_000016_000000	"Say that Major Flint desires to see her and Mrs. Hay," said Flint, with majesty of mien, as, followed by two of his officers, he was shown into the trader's parlor.	"Say that Major Flint desires to see her and mrs Hay," said Flint, with majesty of mien, as, followed by two of his officers, he was shown into the trader's parlor.	false	1049.4	1059.46	14
2397_162253_000017_000000	And presently they came--Mrs.	And presently they came-mrs	true	1059.47	1061.28	21.5147
2397_162253_000017_000001	Hay pale and sorrowing; Miss Flower, pale, perhaps, but triumphantly defiant.	Hay pale and sorrowing; Miss Flower, pale, perhaps, but triumphantly defiant.	true	1061.28	1066.57	17
2397_162253_000017_000002	The one sat and covered her face with her hands as she listened to the major's few words, cold, stern and accusing.	The one sat and covered her face with her hands as she listened to the major's few words, cold, stern and accusing.	false	1066.7	1073.68	18
2397_162253_000017_000003	The other looked squarely at him, with fearless, glittering eyes:--	The other looked squarely at him, with fearless, glittering eyes:--	true	1074.05	1077.61	17
2397_162253_000018_000000	"You may order what you like so far as I'm concerned," was the utterly reckless answer of the girl.	"You may order what you like so far as I'm concerned," was the utterly reckless answer of the girl.	false	1078.43	1083.88	20
2397_162253_000018_000001	"I don't care what you do now that I know he is safe--free--and that you will never lay hands on him again."	"I don't care what you do now that I know he is safe-free-and that you will never lay hands on him again."	true	1084.37	1089.82	16
2397_162253_000019_000000	"That's where you are in error, Miss Flower," was the major's calm, cold-blooded, yet rejoiceful reply.	"That's where you are in error, Miss Flower," was the major's calm, cold blooded, yet rejoiceful reply.	false	1090.31	1096.51	16
