1290_135762_000000_000000	II.	two.	false	21.09	21.885	16.53445
1290_135762_000005_000003	But she--the naughty baggage--little will she care what they put upon the bodice of her gown!	But she-the naughty baggage-little will she care what they put upon the bodice of her gown!	true	282.95	288.55	18.213223
1290_135762_000005_000004	Why, look you, she may cover it with a brooch, or such like heathenish adornment, and so walk the streets as brave as ever!"	Why, look you, she may cover it with a brooch, or such like heathenish adornment, and so walk the streets as brave as ever!"	true	288.62	296.2	21.076693
1290_135762_000006_000000	"Ah, but," interposed, more softly, a young wife, holding a child by the hand, "let her cover the mark as she will, the pang of it will be always in her heart."	"Ah, but," interposed, more softly, a young wife, holding a child by the hand, "let her cover the mark as she will, the pang of it will be always in her heart."	false	296.87	306.19	21.493893
1290_135762_000007_000000	"What do we talk of marks and brands, whether on the bodice of her gown or the flesh of her forehead?" cried another female, the ugliest as well as the most pitiless of these self-constituted judges.	"What do we talk of marks and brands, whether on the bodice of her gown or the flesh of her forehead?" cried another female, the ugliest as well as the most pitiless of these self constituted judges.	false	307.04	319.33	19.384775
1290_135762_000007_000001	"This woman has brought shame upon us all, and ought to die; is there not law for it?	"This woman has brought shame upon us all, and ought to die; is there not law for it?	true	319.55	325.32	21.52082
1290_135762_000007_000002	Truly there is, both in the Scripture and the statute-book.	Truly there is, both in the Scripture and the statute book.	true	325.32	329.625	19.269382
1290_135762_000007_000003	Then let the magistrates, who have made it of no effect, thank themselves if their own wives and daughters go astray."	Then let the magistrates, who have made it of no effect, thank themselves if their own wives and daughters go astray."	true	329.625	335.77	18
1290_135762_000008_000000	"Mercy on us, goodwife!" exclaimed a man in the crowd, "is there no virtue in woman, save what springs from a wholesome fear of the gallows?	"Mercy on us, goodwife!" exclaimed a man in the crowd, "is there no virtue in woman, save what springs from a wholesome fear of the gallows?	false	336.41	344.62	18.089233
1290_135762_000008_000001	That is the hardest word yet!	That is the hardest word yet!	true	345.35	347.28	20.0074
1290_135762_000008_000002	Hush now, gossips for the lock is turning in the prison-door, and here comes Mistress Prynne herself."	Hush now, gossips for the lock is turning in the prison door, and here comes Mistress Prynne herself."	true	347.28	352.36	17.148676
1290_135762_000009_000000	The door of the jail being flung open from within there appeared, in the first place, like a black shadow emerging into sunshine, the grim and gristly presence of the town-beadle, with a sword by his side, and his staff of office in his hand.	The door of the jail being flung open from within there appeared, in the first place, like a black shadow emerging into sunshine, the grim and gristly presence of the town beadle, with a sword by his side, and his staff of office in his hand.	false	352.91	365.8	18.770765
1290_135762_000009_000001	This personage prefigured and represented in his aspect the whole dismal severity of the Puritanic code of law, which it was his business to administer in its final and closest application to the offender.	This personage prefigured and represented in his aspect the whole dismal severity of the Puritanic code of law, which it was his business to administer in its final and closest application to the offender.	false	366.02	378.31	15
1290_135762_000009_000002	Stretching forth the official staff in his left hand, he laid his right upon the shoulder of a young woman, whom he thus drew forward, until, on the threshold of the prison-door, she repelled him, by an action marked with natural dignity and force of character, and stepped into the open air as if by her own free will.	Stretching forth the official staff in his left hand, he laid his right upon the shoulder of a young woman, whom he thus drew forward, until, on the threshold of the prison door, she repelled him, by an action marked with natural dignity and force of character, and stepped into the open air as if by her own free will.	true	378.53	395.98	18
1290_135762_000009_000003	She bore in her arms a child, a baby of some three months old, who winked and turned aside its little face from the too vivid light of day; because its existence, heretofore, had brought it acquaintance only with the grey twilight of a dungeon, or other darksome apartment of the prison.	She bore in her arms a child, a baby of some three months old, who winked and turned aside its little face from the too vivid light of day; because its existence, heretofore, had brought it acquaintance only with the grey twilight of a dungeon, or other darksome apartment of the prison.	false	396.11	413.23	13.204319
1290_135762_000010_000000	When the young woman--the mother of this child--stood fully revealed before the crowd, it seemed to be her first impulse to clasp the infant closely to her bosom; not so much by an impulse of motherly affection, as that she might thereby conceal a certain token, which was wrought or fastened into her dress.	When the young woman-the mother of this child-stood fully revealed before the crowd, it seemed to be her first impulse to clasp the infant closely to her bosom; not so much by an impulse of motherly affection, as that she might thereby conceal a certain token, which was wrought or fastened into her dress.	true	413.78	430.42	17.940235
1290_135762_000010_000001	In a moment, however, wisely judging that one token of her shame would but poorly serve to hide another, she took the baby on her arm, and with a burning blush, and yet a haughty smile, and a glance that would not be abashed, looked around at her townspeople and neighbours.	In a moment, however, wisely judging that one token of her shame would but poorly serve to hide another, she took the baby on her arm, and with a burning blush, and yet a haughty smile, and a glance that would not be abashed, looked around at her townspeople and neighbours.	true	430.64	445.57	16
1290_135762_000010_000002	On the breast of her gown, in fine red cloth, surrounded with an elaborate embroidery and fantastic flourishes of gold thread, appeared the letter A. It was so artistically done, and with so much fertility and gorgeous luxuriance of fancy, that it had all the effect of a last and fitting decoration to the apparel which she wore, and which was of a splendour in accordance with the taste of the age, but greatly beyond what was allowed by the sumptuary regulations of the colony.	On the breast of her gown, in fine red cloth, surrounded with an elaborate embroidery and fantastic flourishes of gold thread, appeared the letter a It was so artistically done, and with so much fertility and gorgeous luxuriance of fancy, that it had all the effect of a last and fitting decoration to the apparel which she wore, and which was of a splendour in accordance with the taste of the age, but greatly beyond what was allowed by the sumptuary regulations of the colony.	false	445.94	474.4	17.83938
1290_135762_000011_000000	The young woman was tall, with a figure of perfect elegance on a large scale.	The young woman was tall, with a figure of perfect elegance on a large scale.	true	475.1	479.97	16.52641
1290_135762_000011_000001	She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.	She had dark and abundant hair, so glossy that it threw off the sunshine with a gleam; and a face which, besides being beautiful from regularity of feature and richness of complexion, had the impressiveness belonging to a marked brow and deep black eyes.	true	479.97	494.85	18
1290_135762_000011_000002	She was ladylike, too, after the manner of the feminine gentility of those days; characterised by a certain state and dignity, rather than by the delicate, evanescent, and indescribable grace which is now recognised as its indication. And never had Hester Prynne appeared more ladylike, in the antique interpretation of the term, than as she issued from the prison.	She was ladylike, too, after the manner of the feminine gentility of those days; characterised by a certain state and dignity, rather than by the delicate, evanescent, and indescribable grace which is now recognised as its indication. And never had Hester Prynne appeared more ladylike, in the antique interpretation of the term, than as she issued from the prison.	false	494.85	517.54	17.002094
1290_135762_000011_000003	Those who had before known her, and had expected to behold her dimmed and obscured by a disastrous cloud, were astonished, and even startled, to perceive how her beauty shone out, and made a halo of the misfortune and ignominy in which she was enveloped.	Those who had before known her, and had expected to behold her dimmed and obscured by a disastrous cloud, were astonished, and even startled, to perceive how her beauty shone out, and made a halo of the misfortune and ignominy in which she was enveloped.	false	517.97	532.5	16.94269
1290_135762_000011_000004	It may be true that, to a sensitive observer, there was some thing exquisitely painful in it.	It may be true that, to a sensitive observer, there was some thing exquisitely painful in it.	true	532.5	537.94	16
1290_135762_000011_000005	Her attire, which indeed, she had wrought for the occasion in prison, and had modelled much after her own fancy, seemed to express the attitude of her spirit, the desperate recklessness of her mood, by its wild and picturesque peculiarity.	Her attire, which indeed, she had wrought for the occasion in prison, and had modelled much after her own fancy, seemed to express the attitude of her spirit, the desperate recklessness of her mood, by its wild and picturesque peculiarity.	false	538.04	551.41	18.949587
1290_135762_000011_000006	But the point which drew all eyes, and, as it were, transfigured the wearer--so that both men and women who had been familiarly acquainted with Hester Prynne were now impressed as if they beheld her for the first time--was that SCARLET LETTER, so fantastically embroidered and illuminated upon her bosom.	But the point which drew all eyes, and, as it were, transfigured the wearer-so that both men and women who had been familiarly acquainted with Hester Prynne were now impressed as if they beheld her for the first time-was that SCARLET LETTER, so fantastically embroidered and illuminated upon her bosom.	false	551.57	571.96	18.784105
1290_135762_000011_000007	It had the effect of a spell, taking her out of the ordinary relations with humanity, and enclosing her in a sphere by herself.	It had the effect of a spell, taking her out of the ordinary relations with humanity, and enclosing her in a sphere by herself.	true	571.97	579.64	17.044825
1290_135762_000012_000000	"She hath good skill at her needle, that's certain," remarked one of her female spectators; "but did ever a woman, before this brazen hussy, contrive such a way of showing it?	"She hath good skill at her needle, that's certain," remarked one of her female spectators; "but did ever a woman, before this brazen hussy, contrive such a way of showing it?	false	580.49	591.555	14
1290_135762_000012_000001	Why, gossips, what is it but to laugh in the faces of our godly magistrates, and make a pride out of what they, worthy gentlemen, meant for a punishment?"	Why, gossips, what is it but to laugh in the faces of our godly magistrates, and make a pride out of what they, worthy gentlemen, meant for a punishment?"	false	591.555	601.84	18
1290_135762_000013_000000	"It were well," muttered the most iron-visaged of the old dames, "if we stripped Madame Hester's rich gown off her dainty shoulders; and as for the red letter which she hath stitched so curiously, I'll bestow a rag of mine own rheumatic flannel to make a fitter one!"	"It were well," muttered the most iron visaged of the old dames, "if we stripped Madame Hester's rich gown off her dainty shoulders; and as for the red letter which she hath stitched so curiously, I'll bestow a rag of mine own rheumatic flannel to make a fitter one!"	false	602.66	618.18	18.883436
1290_135762_000014_000000	"Oh, peace, neighbours--peace!" whispered their youngest companion; "do not let her hear you!	"Oh, peace, neighbours-peace!" whispered their youngest companion; "do not let her hear you!	false	618.18	624.64	11
1290_135762_000014_000001	Not a stitch in that embroidered letter but she has felt it in her heart."	Not a stitch in that embroidered letter but she has felt it in her heart."	true	624.68	629.47	11
1290_135762_000015_000000	The grim beadle now made a gesture with his staff.	The grim beadle now made a gesture with his staff.	true	630.17	633.22	17
1290_135762_000015_000001	"Make way, good people--make way, in the King's name!" cried he.	"Make way, good people-make way, in the King's name!" cried he.	true	633.26	636.94	20.44963
1290_135762_000015_000002	"Open a passage; and I promise ye, Mistress Prynne shall be set where man, woman, and child may have a fair sight of her brave apparel from this time till an hour past meridian.	"Open a passage; and I promise ye, Mistress Prynne shall be set where man, woman, and child may have a fair sight of her brave apparel from this time till an hour past meridian.	false	637.13	646.57	18.489721
1290_135762_000015_000003	A blessing on the righteous colony of the Massachusetts, where iniquity is dragged out into the sunshine!	A blessing on the righteous colony of the Massachusetts, where iniquity is dragged out into the sunshine!	true	646.94	652.425	14.650409
1290_135762_000015_000004	Come along, Madame Hester, and show your scarlet letter in the market-place!"	Come along, Madame Hester, and show your scarlet letter in the market place!"	true	652.425	656.32	16.425825
1290_135762_000016_000000	A lane was forthwith opened through the crowd of spectators. Preceded by the beadle, and attended by an irregular procession of stern-browed men and unkindly visaged women, Hester Prynne set forth towards the place appointed for her punishment.	A lane was forthwith opened through the crowd of spectators. Preceded by the beadle, and attended by an irregular procession of stern browed men and unkindly visaged women, Hester Prynne set forth towards the place appointed for her punishment.	true	657.83	671.76	16.613255
1290_135762_000016_000001	A crowd of eager and curious schoolboys, understanding little of the matter in hand, except that it gave them a half-holiday, ran before her progress, turning their heads continually to stare into her face and at the winking baby in her arms, and at the ignominious letter on her breast.	A crowd of eager and curious schoolboys, understanding little of the matter in hand, except that it gave them a half holiday, ran before her progress, turning their heads continually to stare into her face and at the winking baby in her arms, and at the ignominious letter on her breast.	false	671.76	687.04	16.155901
1290_135762_000016_000002	It was no great distance, in those days, from the prison door to the market-place.	It was no great distance, in those days, from the prison door to the market place.	true	687.41	691.03	15
1290_135762_000016_000003	Measured by the prisoner's experience, however, it might be reckoned a journey of some length; for haughty as her demeanour was, she perchance underwent an agony from every footstep of those that thronged to see her, as if her heart had been flung into the street for them all to spurn and trample upon.	Measured by the prisoner's experience, however, it might be reckoned a journey of some length; for haughty as her demeanour was, she perchance underwent an agony from every footstep of those that thronged to see her, as if her heart had been flung into the street for them all to spurn and trample upon.	false	691.07	708.1	17.1664
1290_135762_000016_000004	In our nature, however, there is a provision, alike marvellous and merciful, that the sufferer should never know the intensity of what he endures by its present torture, but chiefly by the pang that rankles after it.	In our nature, however, there is a provision, alike marvellous and merciful, that the sufferer should never know the intensity of what he endures by its present torture, but chiefly by the pang that rankles after it.	false	708.35	722.46	16.326246
1290_135762_000016_000005	With almost a serene deportment, therefore, Hester Prynne passed through this portion of her ordeal, and came to a sort of scaffold, at the western extremity of the market-place.	With almost a serene deportment, therefore, Hester Prynne passed through this portion of her ordeal, and came to a sort of scaffold, at the western extremity of the market place.	true	722.46	731.44	15
1290_135762_000016_000006	It stood nearly beneath the eaves of Boston's earliest church, and appeared to be a fixture there.	It stood nearly beneath the eaves of Boston's earliest church, and appeared to be a fixture there.	true	731.69	737.52	16
1290_135762_000017_000000	In fact, this scaffold constituted a portion of a penal machine, which now, for two or three generations past, has been merely historical and traditionary among us, but was held, in the old time, to be as effectual an agent, in the promotion of good citizenship, as ever was the guillotine among the terrorists of France.	In fact, this scaffold constituted a portion of a penal machine, which now, for two or three generations past, has been merely historical and traditionary among us, but was held, in the old time, to be as effectual an agent, in the promotion of good citizenship, as ever was the guillotine among the terrorists of France.	false	737.52	756.91	17
1290_135762_000017_000001	It was, in short, the platform of the pillory; and above it rose the framework of that instrument of discipline, so fashioned as to confine the human head in its tight grasp, and thus hold it up to the public gaze.	It was, in short, the platform of the pillory; and above it rose the framework of that instrument of discipline, so fashioned as to confine the human head in its tight grasp, and thus hold it up to the public gaze.	false	757.49	771.16	18.708258
1290_135762_000017_000002	The very ideal of ignominy was embodied and made manifest in this contrivance of wood and iron.	The very ideal of ignominy was embodied and made manifest in this contrivance of wood and iron.	false	771.38	778.03	18
1290_135762_000017_000003	There can be no outrage, methinks, against our common nature--whatever be the delinquencies of the individual--no outrage more flagrant than to forbid the culprit to hide his face for shame; as it was the essence of this punishment to do. In Hester Prynne's instance, however, as not unfrequently in other cases, her sentence bore that she should stand a certain time upon the platform, but without undergoing that gripe about the neck and confinement of the head, the proneness to which was the most devilish characteristic of this ugly engine.	There can be no outrage, methinks, against our common nature-whatever be the delinquencies of the individual-no outrage more flagrant than to forbid the culprit to hide his face for shame; as it was the essence of this punishment to do. In Hester Prynne's instance, however, as not unfrequently in other cases, her sentence bore that she should stand a certain time upon the platform, but without undergoing that gripe about the neck and confinement of the head, the proneness to which was the most devilish characteristic of this ugly engine.	true	778.25	812.02	17.599682
1290_135762_000017_000004	Knowing well her part, she ascended a flight of wooden steps, and was thus displayed to the surrounding multitude, at about the height of a man's shoulders above the street.	Knowing well her part, she ascended a flight of wooden steps, and was thus displayed to the surrounding multitude, at about the height of a man's shoulders above the street.	false	812.15	823.42	18.416557
1290_135762_000018_000000	Had there been a Papist among the crowd of Puritans, he might have seen in this beautiful woman, so picturesque in her attire and mien, and with the infant at her bosom, an object to remind him of the image of Divine Maternity, which so many illustrious painters have vied with one another to represent; something which should remind him, indeed, but only by contrast, of that sacred image of sinless motherhood, whose infant was to redeem the world.	Had there been a Papist among the crowd of Puritans, he might have seen in this beautiful woman, so picturesque in her attire and mien, and with the infant at her bosom, an object to remind him of the image of Divine Maternity, which so many illustrious painters have vied with one another to represent; something which should remind him, indeed, but only by contrast, of that sacred image of sinless motherhood, whose infant was to redeem the world.	false	823.79	848.5	18
1290_135762_000018_000001	Here, there was the taint of deepest sin in the most sacred quality of human life, working such effect, that the world was only the darker for this woman's beauty, and the more lost for the infant that she had borne.	Here, there was the taint of deepest sin in the most sacred quality of human life, working such effect, that the world was only the darker for this woman's beauty, and the more lost for the infant that she had borne.	true	848.69	863.94	18.399107
1290_135762_000019_000000	The scene was not without a mixture of awe, such as must always invest the spectacle of guilt and shame in a fellow-creature, before society shall have grown corrupt enough to smile, instead of shuddering at it.	The scene was not without a mixture of awe, such as must always invest the spectacle of guilt and shame in a fellow creature, before society shall have grown corrupt enough to smile, instead of shuddering at it.	true	863.94	874.87	15.7626915
1290_135762_000019_000001	The witnesses of Hester Prynne's disgrace had not yet passed beyond their simplicity.	The witnesses of Hester Prynne's disgrace had not yet passed beyond their simplicity.	true	875.18	879.37	18
1290_135762_000019_000002	They were stern enough to look upon her death, had that been the sentence, without a murmur at its severity, but had none of the heartlessness of another social state, which would find only a theme for jest in an exhibition like the present.	They were stern enough to look upon her death, had that been the sentence, without a murmur at its severity, but had none of the heartlessness of another social state, which would find only a theme for jest in an exhibition like the present.	true	879.47	893.08	18.304415
1290_135762_000019_000003	Even had there been a disposition to turn the matter into ridicule, it must have been repressed and overpowered by the solemn presence of men no less dignified than the governor, and several of his counsellors, a judge, a general, and the ministers of the town, all of whom sat or stood in a balcony of the meeting-house, looking down upon the platform.	Even had there been a disposition to turn the matter into ridicule, it must have been repressed and overpowered by the solemn presence of men no less dignified than the governor, and several of his counsellors, a judge, a general, and the ministers of the town, all of whom sat or stood in a balcony of the meeting house, looking down upon the platform.	true	893.24	911.5	17
1290_135762_000019_000004	When such personages could constitute a part of the spectacle, without risking the majesty, or reverence of rank and office, it was safely to be inferred that the infliction of a legal sentence would have an earnest and effectual meaning.	When such personages could constitute a part of the spectacle, without risking the majesty, or reverence of rank and office, it was safely to be inferred that the infliction of a legal sentence would have an earnest and effectual meaning.	false	911.78	924.19	16.369951
1290_135762_000019_000005	Accordingly, the crowd was sombre and grave.	Accordingly, the crowd was sombre and grave.	true	924.56	927.825	19.003103
1290_135762_000019_000006	The unhappy culprit sustained herself as best a woman might, under the heavy weight of a thousand unrelenting eyes, all fastened upon her, and concentrated at her bosom.	The unhappy culprit sustained herself as best a woman might, under the heavy weight of a thousand unrelenting eyes, all fastened upon her, and concentrated at her bosom.	true	927.825	937.3	16
1290_135762_000019_000007	It was almost intolerable to be borne.	It was almost intolerable to be borne.	false	937.52	940.11	17
1290_135762_000019_000008	Of an impulsive and passionate nature, she had fortified herself to encounter the stings and venomous stabs of public contumely, wreaking itself in every variety of insult; but there was a quality so much more terrible in the solemn mood of the popular mind, that she longed rather to behold all those rigid countenances contorted with scornful merriment, and herself the object.	Of an impulsive and passionate nature, she had fortified herself to encounter the stings and venomous stabs of public contumely, wreaking itself in every variety of insult; but there was a quality so much more terrible in the solemn mood of the popular mind, that she longed rather to behold all those rigid countenances contorted with scornful merriment, and herself the object.	false	940.11	963.76	17.800728
1290_135762_000019_000009	Had a roar of laughter burst from the multitude--each man, each woman, each little shrill-voiced child, contributing their individual parts--Hester Prynne might have repaid them all with a bitter and disdainful smile.	Had a roar of laughter burst from the multitude-each man, each woman, each little shrill voiced child, contributing their individual parts-Hester Prynne might have repaid them all with a bitter and disdainful smile.	false	964.01	976.36	15
1290_135762_000019_000010	But, under the leaden infliction which it was her doom to endure, she felt, at moments, as if she must needs shriek out with the full power of her lungs, and cast herself from the scaffold down upon the ground, or else go mad at once.	But, under the leaden infliction which it was her doom to endure, she felt, at moments, as if she must needs shriek out with the full power of her lungs, and cast herself from the scaffold down upon the ground, or else go mad at once.	true	976.88	989.31	17.497892
1290_135762_000020_000000	Yet there were intervals when the whole scene, in which she was the most conspicuous object, seemed to vanish from her eyes, or, at least, glimmered indistinctly before them, like a mass of imperfectly shaped and spectral images.	Yet there were intervals when the whole scene, in which she was the most conspicuous object, seemed to vanish from her eyes, or, at least, glimmered indistinctly before them, like a mass of imperfectly shaped and spectral images.	false	989.31	1001.43	18.310455
1290_135762_000020_000001	Her mind, and especially her memory, was preternaturally active, and kept bringing up other scenes than this roughly hewn street of a little town, on the edge of the western wilderness: other faces than were lowering upon her from beneath the brims of those steeple-crowned hats.	Her mind, and especially her memory, was preternaturally active, and kept bringing up other scenes than this roughly hewn street of a little town, on the edge of the western wilderness: other faces than were lowering upon her from beneath the brims of those steeple crowned hats.	false	1001.43	1016.77	18
1290_135762_000020_000002	Reminiscences, the most trifling and immaterial, passages of infancy and school-days, sports, childish quarrels, and the little domestic traits of her maiden years, came swarming back upon her, intermingled with recollections of whatever was gravest in her subsequent life; one picture precisely as vivid as another; as if all were of similar importance, or all alike a play.	Reminiscences, the most trifling and immaterial, passages of infancy and school days, sports, childish quarrels, and the little domestic traits of her maiden years, came swarming back upon her, intermingled with recollections of whatever was gravest in her subsequent life; one picture precisely as vivid as another; as if all were of similar importance, or all alike a play.	false	1017.17	1038.7	17
1290_135762_000020_000003	Possibly, it was an instinctive device of her spirit to relieve itself by the exhibition of these phantasmagoric forms, from the cruel weight and hardness of the reality.	Possibly, it was an instinctive device of her spirit to relieve itself by the exhibition of these phantasmagoric forms, from the cruel weight and hardness of the reality.	true	1039.55	1050.46	14.394155
1290_135762_000021_000000	Be that as it might, the scaffold of the pillory was a point of view that revealed to Hester Prynne the entire track along which she had been treading, since her happy infancy.	Be that as it might, the scaffold of the pillory was a point of view that revealed to Hester Prynne the entire track along which she had been treading, since her happy infancy.	true	1051.22	1060.81	17
