4427_20023_000000_000000	TO THE NEAR-SIGHTED.	TO THE NEAR SIGHTED.	false	1.35	19.45	22.416025
4427_20023_000005_000001	How strangely your eyes look!" My sister at this exclamation turns round, and I discover that from the other end of the room I have been gazing at the unexpressive features of her "back hair," which is twisted in a "pug," or "bob,"--which is the correct term?--and surmounted by a tortoise-shell comb.	How strangely your eyes look!" My sister at this exclamation turns round, and I discover that from the other end of the room I have been gazing at the unexpressive features of her "back hair," which is twisted in a "pug," or "bob,"--which is the correct term?--and surmounted by a tortoise shell comb.	false	286.07	304.09	22.417875
4427_20023_000006_000000	But in the whole course of my numerous mistakes and blunders, whether ludicrous, serious, or embarrassing, I believe I have never mistaken a cow for a human being, as was done by old Dr. E----.	But in the whole course of my numerous mistakes and blunders, whether ludicrous, serious, or embarrassing, I believe I have never mistaken a cow for a human being, as was done by old dr E----.	true	304.55	317.32	19
4427_20023_000006_000001	It was many years ago, when Boston Common was still used as a pasture, and cows were daily to be met in the crooked streets of the city, that this gentleman, distinguished for the courtesy and old-school politeness of his manner, no less than for his extreme near-sightedness, was walking at a brisk pace, one winter's day, and saw, just before him, a lady, as he thought, richly dressed in furs.	It was many years ago, when Boston Common was still used as a pasture, and cows were daily to be met in the crooked streets of the city, that this gentleman, distinguished for the courtesy and old school politeness of his manner, no less than for his extreme near sightedness, was walking at a brisk pace, one winter's day, and saw, just before him, a lady, as he thought, richly dressed in furs.	true	317.42	342.04	22.468462
4427_20023_000006_000002	As he was passing her, he thought he perceived that her fur boa or tippet had escaped from her neck, and, carefully lifting the end of it with one hand, he made a low bow, raising his hat with the other, and said in his blandest tone, "Madam, you are losing your tippet!" And what thanks did the worthy Doctor receive, do you think, for this truly kind and polite deed?	As he was passing her, he thought he perceived that her fur boa or tippet had escaped from her neck, and, carefully lifting the end of it with one hand, he made a low bow, raising his hat with the other, and said in his blandest tone, "Madam, you are losing your tippet!" And what thanks did the worthy Doctor receive, do you think, for this truly kind and polite deed?	true	342.41	365.26	24.595036
4427_20023_000006_000003	Why, the lady merely turned her head, gave him a wondering stare with her large eyes, and said, "Moo-o-o-o!"	Why, the lady merely turned her head, gave him a wondering stare with her large eyes, and said, "Moo o o o!"	false	365.51	375.72	14.973287
4427_20023_000007_000000	As an offset to this instance of courtesy and good-breeding lavished on a cow, let me give you, as a parting _bon-bouche_, another cow anecdote, where, as you will see, there was no gentle politeness wasted.	As an offset to this instance of courtesy and good breeding lavished on a cow, let me give you, as a parting underscore bon bouche underscore, another cow anecdote, where, as you will see, there was no gentle politeness wasted.	false	375.72	389.17	21
4427_20023_000008_000000	The Rev.	The Rev.	true	389.69	390.36	25.358711
4427_20023_000008_000001	Dr. H---- was an eccentric old man, near-sighted of course,--all eccentric people are,--who lived in a small country town in this neighborhood.	dr H---- was an eccentric old man, near sighted of course,--all eccentric people are,--who lived in a small country town in this neighborhood.	false	390.36	399.43	26
4427_20023_000008_000002	Numerous are the traditionary accounts of his peculiarities,--of his odd manners and customs,--which I have heard; but it is only of one little incident that I am now going to speak.	Numerous are the traditionary accounts of his peculiarities,--of his odd manners and customs,--which I have heard; but it is only of one little incident that I am now going to speak.	true	399.56	411.1	21.611574
4427_20023_000008_000003	A favorite employment of this good man was the care of his garden, and he might be seen any pleasant afternoon in summer, rigged out in a hideous yellow calico robe, or blouse, with a dusty old black straw hat stuck on the back of his head, hoeing and digging in that beloved patch of ground.	A favorite employment of this good man was the care of his garden, and he might be seen any pleasant afternoon in summer, rigged out in a hideous yellow calico robe, or blouse, with a dusty old black straw hat stuck on the back of his head, hoeing and digging in that beloved patch of ground.	true	411.23	429.79	22
4427_20023_000008_000004	One day as he was thus occupied, his wife emerged from the house, dressed in a dark brown gingham, and bearing in her hand some "muslins," which she began to spread upon the gooseberry-bushes to whiten.	One day as he was thus occupied, his wife emerged from the house, dressed in a dark brown gingham, and bearing in her hand some "muslins," which she began to spread upon the gooseberry bushes to whiten.	true	429.98	442.48	21
4427_20023_000008_000005	She was very busily engaged, so that she was not aware that her husband was approaching her with a large stick, until she felt a smart blow across her shoulders, and heard his peculiar, sharp voice shouting in her ears, "Go 'long! old cow!	She was very busily engaged, so that she was not aware that her husband was approaching her with a large stick, until she felt a smart blow across her shoulders, and heard his peculiar, sharp voice shouting in her ears, "Go 'long! old cow!	true	442.73	457.815	20
4427_20023_000008_000006	Go 'long! old cow!"	Go 'long! old cow!"	true	457.815	459.72	21.119888
4427_20023_000009_000000	FLOWERS FROM A STUDENT'S WALKS.	FLOWERS FROM A STUDENT'S WALKS.	false	459.72	468.27	22.858929
