580_126947_000000_000000	CHAPTER III	CHAPTER three	true	25.17	26.16	17
580_126947_000004_000001	Hence springs your moderation, but hence also the rather limited knowledge which you betray in dealing with foreign politics.	Hence springs your moderation, but hence also the rather limited knowledge which you betray in dealing with foreign politics.	true	155.9	164.02	17.794697
580_126947_000004_000002	Time after time was our voice raised to warn you of the blows about to be dealt us by Athens, and time after time, instead of taking the trouble to ascertain the worth of our communications, you contented yourselves with suspecting the speakers of being inspired by private interest.	Time after time was our voice raised to warn you of the blows about to be dealt us by Athens, and time after time, instead of taking the trouble to ascertain the worth of our communications, you contented yourselves with suspecting the speakers of being inspired by private interest.	true	164.54	180.55	18
580_126947_000004_000003	And so, instead of calling these allies together before the blow fell, you have delayed to do so till we are smarting under it; allies among whom we have not the worst title to speak, as having the greatest complaints to make, complaints of Athenian outrage and Lacedaemonian neglect.	And so, instead of calling these allies together before the blow fell, you have delayed to do so till we are smarting under it; allies among whom we have not the worst title to speak, as having the greatest complaints to make, complaints of Athenian outrage and Lacedaemonian neglect.	true	180.95	198.97	18.891167
580_126947_000004_000004	Now if these assaults on the rights of Hellas had been made in the dark, you might be unacquainted with the facts, and it would be our duty to enlighten you.	Now if these assaults on the rights of Hellas had been made in the dark, you might be unacquainted with the facts, and it would be our duty to enlighten you.	false	199.46	207.97	19
580_126947_000004_000005	As it is, long speeches are not needed where you see servitude accomplished for some of us, meditated for others--in particular for our allies--and prolonged preparations in the aggressor against the hour of war.	As it is, long speeches are not needed where you see servitude accomplished for some of us, meditated for others-in particular for our allies-and prolonged preparations in the aggressor against the hour of war.	true	208.91	221.92	17.826359
580_126947_000004_000006	Or what, pray, is the meaning of their reception of Corcyra by fraud, and their holding it against us by force?	Or what, pray, is the meaning of their reception of Corcyra by fraud, and their holding it against us by force?	true	222.2	229.3	18.070374
580_126947_000004_000007	what of the siege of Potidaea?--places one of which lies most conveniently for any action against the Thracian towns; while the other would have contributed a very large navy to the Peloponnesians?	what of the siege of Potidaea?--places one of which lies most conveniently for any action against the Thracian towns; while the other would have contributed a very large navy to the Peloponnesians?	true	229.73	241.54	17.964006
580_126947_000005_000000	"For all this you are responsible.	"For all this you are responsible.	true	242.63	244.72	19
580_126947_000005_000001	You it was who first allowed them to fortify their city after the Median war, and afterwards to erect the long walls--you who, then and now, are always depriving of freedom not only those whom they have enslaved, but also those who have as yet been your allies.	You it was who first allowed them to fortify their city after the Median war, and afterwards to erect the long walls-you who, then and now, are always depriving of freedom not only those whom they have enslaved, but also those who have as yet been your allies.	true	244.88	262.51	18.513103
580_126947_000005_000002	For the true author of the subjugation of a people is not so much the immediate agent, as the power which permits it having the means to prevent it; particularly if that power aspires to the glory of being the liberator of Hellas.	For the true author of the subjugation of a people is not so much the immediate agent, as the power which permits it having the means to prevent it; particularly if that power aspires to the glory of being the liberator of Hellas.	true	263.6	277.33	18.29577
580_126947_000005_000003	We are at last assembled.	We are at last assembled.	true	278	279.76	22.496803
580_126947_000005_000004	It has not been easy to assemble, nor even now are our objects defined.	It has not been easy to assemble, nor even now are our objects defined.	true	279.77	285.16	19
580_126947_000005_000005	We ought not to be still inquiring into the fact of our wrongs, but into the means of our defence.	We ought not to be still inquiring into the fact of our wrongs, but into the means of our defence.	false	285.71	291.46	18.812084
580_126947_000005_000006	For the aggressors with matured plans to oppose to our indecision have cast threats aside and betaken themselves to action.	For the aggressors with matured plans to oppose to our indecision have cast threats aside and betaken themselves to action.	false	291.98	299.38	16
580_126947_000005_000007	And we know what are the paths by which Athenian aggression travels, and how insidious is its progress.	And we know what are the paths by which Athenian aggression travels, and how insidious is its progress.	false	300.77	307.3	15
580_126947_000005_000008	A degree of confidence she may feel from the idea that your bluntness of perception prevents your noticing her; but it is nothing to the impulse which her advance will receive from the knowledge that you see, but do not care to interfere.	A degree of confidence she may feel from the idea that your bluntness of perception prevents your noticing her; but it is nothing to the impulse which her advance will receive from the knowledge that you see, but do not care to interfere.	true	307.73	322.24	18.208874
580_126947_000005_000009	You, Lacedaemonians, of all the Hellenes are alone inactive, and defend yourselves not by doing anything but by looking as if you would do something; you alone wait till the power of an enemy is becoming twice its original size, instead of crushing it in its infancy.	You, Lacedaemonians, of all the Hellenes are alone inactive, and defend yourselves not by doing anything but by looking as if you would do something; you alone wait till the power of an enemy is becoming twice its original size, instead of crushing it in its infancy.	false	322.49	339.43	18.768291
580_126947_000005_000010	And yet the world used to say that you were to be depended upon; but in your case, we fear, it said more than the truth.	And yet the world used to say that you were to be depended upon; but in your case, we fear, it said more than the truth.	true	339.77	348.76	17.640036
580_126947_000005_000011	The Mede, we ourselves know, had time to come from the ends of the earth to Peloponnese, without any force of yours worthy of the name advancing to meet him.	The Mede, we ourselves know, had time to come from the ends of the earth to Peloponnese, without any force of yours worthy of the name advancing to meet him.	true	349.01	358.96	21
580_126947_000005_000012	But this was a distant enemy.	But this was a distant enemy.	true	359.51	361.3	23
580_126947_000005_000013	Well, Athens at all events is a near neighbour, and yet Athens you utterly disregard; against Athens you prefer to act on the defensive instead of on the offensive, and to make it an affair of chances by deferring the struggle till she has grown far stronger than at first.	Well, Athens at all events is a near neighbour, and yet Athens you utterly disregard; against Athens you prefer to act on the defensive instead of on the offensive, and to make it an affair of chances by deferring the struggle till she has grown far stronger than at first.	true	361.31	378.82	19.428337
580_126947_000005_000014	And yet you know that on the whole the rock on which the barbarian was wrecked was himself, and that if our present enemy Athens has not again and again annihilated us, we owe it more to her blunders than to your protection; Indeed, expectations from you have before now been the ruin of some, whose faith induced them to omit preparation.	And yet you know that on the whole the rock on which the barbarian was wrecked was himself, and that if our present enemy Athens has not again and again annihilated us, we owe it more to her blunders than to your protection; Indeed, expectations from you have before now been the ruin of some, whose faith induced them to omit preparation.	true	379.16	400.66	19.673668
580_126947_000006_000000	"We hope that none of you will consider these words of remonstrance to be rather words of hostility; men remonstrate with friends who are in error, accusations they reserve for enemies who have wronged them. Besides, we consider that we have as good a right as any one to point out a neighbour's faults, particularly when we contemplate the great contrast between the two national characters; a contrast of which, as far as we can see, you have little perception, having never yet considered what sort of antagonists you will encounter in the Athenians, how widely, how absolutely different from yourselves.	"We hope that none of you will consider these words of remonstrance to be rather words of hostility; men remonstrate with friends who are in error, accusations they reserve for enemies who have wronged them. Besides, we consider that we have as good a right as any one to point out a neighbour's faults, particularly when we contemplate the great contrast between the two national characters; a contrast of which, as far as we can see, you have little perception, having never yet considered what sort of antagonists you will encounter in the Athenians, how widely, how absolutely different from yourselves.	true	401.24	439.42	19.065758
580_126947_000006_000001	The Athenians are addicted to innovation, and their designs are characterized by swiftness alike in conception and execution; you have a genius for keeping what you have got, accompanied by a total want of invention, and when forced to act you never go far enough.	The Athenians are addicted to innovation, and their designs are characterized by swiftness alike in conception and execution; you have a genius for keeping what you have got, accompanied by a total want of invention, and when forced to act you never go far enough.	true	439.82	456.22	20.205854
580_126947_000006_000002	Again, they are adventurous beyond their power, and daring beyond their judgment, and in danger they are sanguine; your wont is to attempt less than is justified by your power, to mistrust even what is sanctioned by your judgment, and to fancy that from danger there is no release.	Again, they are adventurous beyond their power, and daring beyond their judgment, and in danger they are sanguine; your wont is to attempt less than is justified by your power, to mistrust even what is sanctioned by your judgment, and to fancy that from danger there is no release.	false	456.71	474.73	20.119417
580_126947_000006_000003	Further, there is promptitude on their side against procrastination on yours; they are never at home, you are never from it: for they hope by their absence to extend their acquisitions, you fear by your advance to endanger what you have left behind.	Further, there is promptitude on their side against procrastination on yours; they are never at home, you are never from it: for they hope by their absence to extend their acquisitions, you fear by your advance to endanger what you have left behind.	true	475.28	490.57	19.418516
580_126947_000006_000004	They are swift to follow up a success, and slow to recoil from a reverse.	They are swift to follow up a success, and slow to recoil from a reverse.	true	490.94	495.49	19
580_126947_000006_000005	Their bodies they spend ungrudgingly in their country's cause; their intellect they jealously husband to be employed in her service.	Their bodies they spend ungrudgingly in their country's cause; their intellect they jealously husband to be employed in her service.	true	496.28	503.83	16
580_126947_000006_000006	A scheme unexecuted is with them a positive loss, a successful enterprise a comparative failure.	A scheme unexecuted is with them a positive loss, a successful enterprise a comparative failure.	false	504.29	511.69	21.18462
580_126947_000006_000007	The deficiency created by the miscarriage of an undertaking is soon filled up by fresh hopes; for they alone are enabled to call a thing hoped for a thing got, by the speed with which they act upon their resolutions.	The deficiency created by the miscarriage of an undertaking is soon filled up by fresh hopes; for they alone are enabled to call a thing hoped for a thing got, by the speed with which they act upon their resolutions.	true	512.21	525.63	20
580_126947_000006_000008	Thus they toil on in trouble and danger all the days of their life, with little opportunity for enjoying, being ever engaged in getting: their only idea of a holiday is to do what the occasion demands, and to them laborious occupation is less of a misfortune than the peace of a quiet life.	Thus they toil on in trouble and danger all the days of their life, with little opportunity for enjoying, being ever engaged in getting: their only idea of a holiday is to do what the occasion demands, and to them laborious occupation is less of a misfortune than the peace of a quiet life.	false	525.63	545.53	19.510044
580_126947_000006_000009	To describe their character in a word, one might truly say that they were born into the world to take no rest themselves and to give none to others.	To describe their character in a word, one might truly say that they were born into the world to take no rest themselves and to give none to others.	false	546.44	556.12	18
580_126947_000007_000000	"Such is Athens, your antagonist.	"Such is Athens, your antagonist.	false	556.67	559.45	19.953217
580_126947_000007_000001	And yet, Lacedaemonians, you still delay, and fail to see that peace stays longest with those, who are not more careful to use their power justly than to show their determination not to submit to injustice.	And yet, Lacedaemonians, you still delay, and fail to see that peace stays longest with those, who are not more careful to use their power justly than to show their determination not to submit to injustice.	false	559.46	572.8	19
580_126947_000007_000002	On the contrary, your ideal of fair dealing is based on the principle that, if you do not injure others, you need not risk your own fortunes in preventing others from injuring you.	On the contrary, your ideal of fair dealing is based on the principle that, if you do not injure others, you need not risk your own fortunes in preventing others from injuring you.	true	573.38	584.53	17
580_126947_000007_000003	Now you could scarcely have succeeded in such a policy even with a neighbour like yourselves; but in the present instance, as we have just shown, your habits are old-fashioned as compared with theirs.	Now you could scarcely have succeeded in such a policy even with a neighbour like yourselves; but in the present instance, as we have just shown, your habits are old-fashioned as compared with theirs.	false	585.14	598.42	18.841864
580_126947_000007_000004	It is the law as in art, so in politics, that improvements ever prevail; and though fixed usages may be best for undisturbed communities, constant necessities of action must be accompanied by the constant improvement of methods.	It is the law as in art, so in politics, that improvements ever prevail; and though fixed usages may be best for undisturbed communities, constant necessities of action must be accompanied by the constant improvement of methods.	true	598.79	613.36	18.921541
580_126947_000007_000005	Thus it happens that the vast experience of Athens has carried her further than you on the path of innovation.	Thus it happens that the vast experience of Athens has carried her further than you on the path of innovation.	false	614.36	620.67	18.317942
580_126947_000008_000000	"Here, at least, let your procrastination end.	"Here, at least, let your procrastination end.	true	620.67	623.65	19.678352
580_126947_000008_000001	For the present, assist your allies and Potidaea in particular, as you promised, by a speedy invasion of Attica, and do not sacrifice friends and kindred to their bitterest enemies, and drive the rest of us in despair to some other alliance.	For the present, assist your allies and Potidaea in particular, as you promised, by a speedy invasion of Attica, and do not sacrifice friends and kindred to their bitterest enemies, and drive the rest of us in despair to some other alliance.	true	623.87	638.44	18
580_126947_000008_000002	Such a step would not be condemned either by the Gods who received our oaths, or by the men who witnessed them.	Such a step would not be condemned either by the Gods who received our oaths, or by the men who witnessed them.	true	638.84	644.62	16
580_126947_000008_000003	The breach of a treaty cannot be laid to the people whom desertion compels to seek new relations, but to the power that fails to assist its confederate.	The breach of a treaty cannot be laid to the people whom desertion compels to seek new relations, but to the power that fails to assist its confederate.	false	645.74	654.16	19
580_126947_000008_000004	But if you will only act, we will stand by you; it would be unnatural for us to change, and never should we meet with such a congenial ally.	But if you will only act, we will stand by you; it would be unnatural for us to change, and never should we meet with such a congenial ally.	false	654.53	662.95	16
580_126947_000008_000005	For these reasons choose the right course, and endeavour not to let Peloponnese under your supremacy degenerate from the prestige that it enjoyed under that of your ancestors."	For these reasons choose the right course, and endeavour not to let Peloponnese under your supremacy degenerate from the prestige that it enjoyed under that of your ancestors."	true	663.35	673.24	15
580_126947_000009_000000	Such were the words of the Corinthians.	Such were the words of the Corinthians.	true	674.21	676.24	16
580_126947_000009_000001	There happened to be Athenian envoys present at Lacedaemon on other business.	There happened to be Athenian envoys present at Lacedaemon on other business.	true	676.79	681.49	16.530306
580_126947_000009_000002	On hearing the speeches they thought themselves called upon to come before the Lacedaemonians. Their intention was not to offer a defence on any of the charges which the cities brought against them, but to show on a comprehensive view that it was not a matter to be hastily decided on, but one that demanded further consideration.	On hearing the speeches they thought themselves called upon to come before the Lacedaemonians. Their intention was not to offer a defence on any of the charges which the cities brought against them, but to show on a comprehensive view that it was not a matter to be hastily decided on, but one that demanded further consideration.	false	681.8	700.87	18.433016
580_126947_000009_000003	There was also a wish to call attention to the great power of Athens, and to refresh the memory of the old and enlighten the ignorance of the young, from a notion that their words might have the effect of inducing them to prefer tranquillity to war.	There was also a wish to call attention to the great power of Athens, and to refresh the memory of the old and enlighten the ignorance of the young, from a notion that their words might have the effect of inducing them to prefer tranquillity to war.	true	701.42	714.88	16
580_126947_000009_000004	So they came to the Lacedaemonians and said that they too, if there was no objection, wished to speak to their assembly.	So they came to the Lacedaemonians and said that they too, if there was no objection, wished to speak to their assembly.	false	715.97	722.98	19
580_126947_000009_000005	They replied by inviting them to come forward.	They replied by inviting them to come forward.	true	723.47	726.01	16
580_126947_000009_000006	The Athenians advanced, and spoke as follows:	The Athenians advanced, and spoke as follows:	true	726.92	729.46	12
580_126947_000010_000000	"The object of our mission here was not to argue with your allies, but to attend to the matters on which our state dispatched us.	"The object of our mission here was not to argue with your allies, but to attend to the matters on which our state dispatched us.	true	730.31	737.35	12
580_126947_000010_000001	However, the vehemence of the outcry that we hear against us has prevailed on us to come forward.	However, the vehemence of the outcry that we hear against us has prevailed on us to come forward.	true	737.84	743.74	15
580_126947_000010_000002	It is not to combat the accusations of the cities (indeed you are not the judges before whom either we or they can plead), but to prevent your taking the wrong course on matters of great importance by yielding too readily to the persuasions of your allies.	It is not to combat the accusations of the cities (indeed you are not the judges before whom either we or they can plead), but to prevent your taking the wrong course on matters of great importance by yielding too readily to the persuasions of your allies.	true	744.11	759.16	17
580_126947_000010_000003	We also wish to show on a review of the whole indictment that we have a fair title to our possessions, and that our country has claims to consideration.	We also wish to show on a review of the whole indictment that we have a fair title to our possessions, and that our country has claims to consideration.	true	760.07	768.58	18
580_126947_000010_000004	We need not refer to remote antiquity: there we could appeal to the voice of tradition, but not to the experience of our audience.	We need not refer to remote antiquity: there we could appeal to the voice of tradition, but not to the experience of our audience.	true	769.04	776.86	21.182995
580_126947_000010_000005	But to the Median War and contemporary history we must refer, although we are rather tired of continually bringing this subject forward.	But to the Median War and contemporary history we must refer, although we are rather tired of continually bringing this subject forward.	true	777.32	785.59	19
580_126947_000010_000006	In our action during that war we ran great risk to obtain certain advantages: you had your share in the solid results, do not try to rob us of all share in the good that the glory may do us.	In our action during that war we ran great risk to obtain certain advantages: you had your share in the solid results, do not try to rob us of all share in the good that the glory may do us.	false	786.02	797.38	17
580_126947_000010_000007	However, the story shall be told not so much to deprecate hostility as to testify against it, and to show, if you are so ill advised as to enter into a struggle with Athens, what sort of an antagonist she is likely to prove.	However, the story shall be told not so much to deprecate hostility as to testify against it, and to show, if you are so ill advised as to enter into a struggle with Athens, what sort of an antagonist she is likely to prove.	false	798.08	813.01	17.837086
580_126947_000010_000008	We assert that at Marathon we were at the front, and faced the barbarian single-handed.	We assert that at Marathon we were at the front, and faced the barbarian single handed.	true	813.44	818.41	19
580_126947_000010_000009	That when he came the second time, unable to cope with him by land we went on board our ships with all our people, and joined in the action at Salamis.	That when he came the second time, unable to cope with him by land we went on board our ships with all our people, and joined in the action at Salamis.	true	818.96	827.83	17
580_126947_000010_000010	This prevented his taking the Peloponnesian states in detail, and ravaging them with his fleet; when the multitude of his vessels would have made any combination for self-defence impossible.	This prevented his taking the Peloponnesian states in detail, and ravaging them with his fleet; when the multitude of his vessels would have made any combination for self defence impossible.	true	829.73	840.58	18.72043
580_126947_000010_000011	The best proof of this was furnished by the invader himself.	The best proof of this was furnished by the invader himself.	true	841.79	845.26	15
580_126947_000010_000012	Defeated at sea, he considered his power to be no longer what it had been, and retired as speedily as possible with the greater part of his army.	Defeated at sea, he considered his power to be no longer what it had been, and retired as speedily as possible with the greater part of his army.	true	845.72	853.84	18.493557
580_126947_000011_000000	"Such, then, was the result of the matter, and it was clearly proved that it was on the fleet of Hellas that her cause depended.	"Such, then, was the result of the matter, and it was clearly proved that it was on the fleet of Hellas that her cause depended.	true	854.45	861.58	18.085499
580_126947_000011_000001	Well, to this result we contributed three very useful elements, viz., the largest number of ships, the ablest commander, and the most unhesitating patriotism.	Well, to this result we contributed three very useful elements, viz., the largest number of ships, the ablest commander, and the most unhesitating patriotism.	false	862.01	872.53	18.187101
580_126947_000011_000002	Our contingent of ships was little less than two-thirds of the whole four hundred; the commander was Themistocles, through whom chiefly it was that the battle took place in the straits, the acknowledged salvation of our cause.	Our contingent of ships was little less than two thirds of the whole four hundred; the commander was Themistocles, through whom chiefly it was that the battle took place in the straits, the acknowledged salvation of our cause.	false	873.62	887.53	17.800875
580_126947_000011_000003	Indeed, this was the reason of your receiving him with honours such as had never been accorded to any foreign visitor.	Indeed, this was the reason of your receiving him with honours such as had never been accorded to any foreign visitor.	true	887.81	893.64	11
580_126947_000011_000004	While for daring patriotism we had no competitors. Receiving no reinforcements from behind, seeing everything in front of us already subjugated, we had the spirit, after abandoning our city, after sacrificing our property (instead of deserting the remainder of the league or depriving them of our services by dispersing), to throw ourselves into our ships and meet the danger, without a thought of resenting your neglect to assist us.	While for daring patriotism we had no competitors. Receiving no reinforcements from behind, seeing everything in front of us already subjugated, we had the spirit, after abandoning our city, after sacrificing our property (instead of deserting the remainder of the league or depriving them of our services by dispersing), to throw ourselves into our ships and meet the danger, without a thought of resenting your neglect to assist us.	false	893.64	921.37	18.23005
580_126947_000011_000005	We assert, therefore, that we conferred on you quite as much as we received.	We assert, therefore, that we conferred on you quite as much as we received.	true	921.8	926.71	20.93969
580_126947_000011_000006	For you had a stake to fight for; the cities which you had left were still filled with your homes, and you had the prospect of enjoying them again; and your coming was prompted quite as much by fear for yourselves as for us; at all events, you never appeared till we had nothing left to lose.	For you had a stake to fight for; the cities which you had left were still filled with your homes, and you had the prospect of enjoying them again; and your coming was prompted quite as much by fear for yourselves as for us; at all events, you never appeared till we had nothing left to lose.	true	926.99	943.42	18.744827
580_126947_000011_000007	But we left behind us a city that was a city no longer, and staked our lives for a city that had an existence only in desperate hope, and so bore our full share in your deliverance and in ours.	But we left behind us a city that was a city no longer, and staked our lives for a city that had an existence only in desperate hope, and so bore our full share in your deliverance and in ours.	true	943.64	955.87	18.75056
580_126947_000011_000008	But if we had copied others, and allowed fears for our territory to make us give in our adhesion to the Mede before you came, or if we had suffered our ruin to break our spirit and prevent us embarking in our ships, your naval inferiority would have made a sea-fight unnecessary, and his objects would have been peaceably attained.	But if we had copied others, and allowed fears for our territory to make us give in our adhesion to the Mede before you came, or if we had suffered our ruin to break our spirit and prevent us embarking in our ships, your naval inferiority would have made a sea fight unnecessary, and his objects would have been peaceably attained.	false	956.33	976.77	17
580_126947_000012_000000	"Surely, Lacedaemonians, neither by the patriotism that we displayed at that crisis, nor by the wisdom of our counsels, do we merit our extreme unpopularity with the Hellenes, not at least unpopularity for our empire.	"Surely, Lacedaemonians, neither by the patriotism that we displayed at that crisis, nor by the wisdom of our counsels, do we merit our extreme unpopularity with the Hellenes, not at least unpopularity for our empire.	false	976.77	990.7	19.039063
580_126947_000012_000001	That empire we acquired by no violent means, but because you were unwilling to prosecute to its conclusion the war against the barbarian, and because the allies attached themselves to us and spontaneously asked us to assume the command.	That empire we acquired by no violent means, but because you were unwilling to prosecute to its conclusion the war against the barbarian, and because the allies attached themselves to us and spontaneously asked us to assume the command.	false	990.98	1004.47	17
580_126947_000012_000002	And the nature of the case first compelled us to advance our empire to its present height; fear being our principal motive, though honour and interest afterwards came in.	And the nature of the case first compelled us to advance our empire to its present height; fear being our principal motive, though honour and interest afterwards came in.	true	1005.2	1015.87	18.555208
580_126947_000012_000003	And at last, when almost all hated us, when some had already revolted and had been subdued, when you had ceased to be the friends that you once were, and had become objects of suspicion and dislike, it appeared no longer safe to give up our empire; especially as all who left us would fall to you.	And at last, when almost all hated us, when some had already revolted and had been subdued, when you had ceased to be the friends that you once were, and had become objects of suspicion and dislike, it appeared no longer safe to give up our empire; especially as all who left us would fall to you.	true	1017.62	1035.88	18.161325
580_126947_000012_000004	And no one can quarrel with a people for making, in matters of tremendous risk, the best provision that it can for its interest.	And no one can quarrel with a people for making, in matters of tremendous risk, the best provision that it can for its interest.	true	1037	1044.31	18.331358
580_126947_000013_000000	"You, at all events, Lacedaemonians, have used your supremacy to settle the states in Peloponnese as is agreeable to you.	"You, at all events, Lacedaemonians, have used your supremacy to settle the states in Peloponnese as is agreeable to you.	false	1044.65	1051.81	16
580_126947_000013_000001	And if at the period of which we were speaking you had persevered to the end of the matter, and had incurred hatred in your command, we are sure that you would have made yourselves just as galling to the allies, and would have been forced to choose between a strong government and danger to yourselves. It follows that it was not a very wonderful action, or contrary to the common practice of mankind, if we did accept an empire that was offered to us, and refused to give it up under the pressure of three of the strongest motives, fear, honour, and interest.	And if at the period of which we were speaking you had persevered to the end of the matter, and had incurred hatred in your command, we are sure that you would have made yourselves just as galling to the allies, and would have been forced to choose between a strong government and danger to yourselves. It follows that it was not a very wonderful action, or contrary to the common practice of mankind, if we did accept an empire that was offered to us, and refused to give it up under the pressure of three of the strongest motives, fear, honour, and interest.	false	1052.33	1084.24	18.79237
580_126947_000013_000002	And it was not we who set the example, for it has always been law that the weaker should be subject to the stronger.	And it was not we who set the example, for it has always been law that the weaker should be subject to the stronger.	true	1084.52	1091.02	15
580_126947_000013_000003	Besides, we believed ourselves to be worthy of our position, and so you thought us till now, when calculations of interest have made you take up the cry of justice--a consideration which no one ever yet brought forward to hinder his ambition when he had a chance of gaining anything by might.	Besides, we believed ourselves to be worthy of our position, and so you thought us till now, when calculations of interest have made you take up the cry of justice-a consideration which no one ever yet brought forward to hinder his ambition when he had a chance of gaining anything by might.	false	1091.27	1107.88	18.124493
580_126947_000013_000004	And praise is due to all who, if not so superior to human nature as to refuse dominion, yet respect justice more than their position compels them to do.	And praise is due to all who, if not so superior to human nature as to refuse dominion, yet respect justice more than their position compels them to do.	false	1108.31	1119.45	18.507553
580_126947_000014_000000	"We imagine that our moderation would be best demonstrated by the conduct of others who should be placed in our position; but even our equity has very unreasonably subjected us to condemnation instead of approval.	"We imagine that our moderation would be best demonstrated by the conduct of others who should be placed in our position; but even our equity has very unreasonably subjected us to condemnation instead of approval.	false	1119.45	1130.98	15
580_126947_000014_000001	Our abatement of our rights in the contract trials with our allies, and our causing them to be decided by impartial laws at Athens, have gained us the character of being litigious.	Our abatement of our rights in the contract trials with our allies, and our causing them to be decided by impartial laws at Athens, have gained us the character of being litigious.	false	1131.26	1141.69	17
580_126947_000014_000002	And none care to inquire why this reproach is not brought against other imperial powers, who treat their subjects with less moderation than we do; the secret being that where force can be used, law is not needed.	And none care to inquire why this reproach is not brought against other imperial powers, who treat their subjects with less moderation than we do; the secret being that where force can be used, law is not needed.	true	1142.03	1154.5	19.418308
580_126947_000014_000003	But our subjects are so habituated to associate with us as equals that any defeat whatever that clashes with their notions of justice, whether it proceeds from a legal judgment or from the power which our empire gives us, makes them forget to be grateful for being allowed to retain most of their possessions, and more vexed at a part being taken, than if we had from the first cast law aside and openly gratified our covetousness.	But our subjects are so habituated to associate with us as equals that any defeat whatever that clashes with their notions of justice, whether it proceeds from a legal judgment or from the power which our empire gives us, makes them forget to be grateful for being allowed to retain most of their possessions, and more vexed at a part being taken, than if we had from the first cast law aside and openly gratified our covetousness.	false	1155.8	1182.97	19
580_126947_000014_000004	If we had done so, not even would they have disputed that the weaker must give way to the stronger.	If we had done so, not even would they have disputed that the weaker must give way to the stronger.	true	1183.52	1188.7	15
580_126947_000014_000005	Men's indignation, it seems, is more excited by legal wrong than by violent wrong; the first looks like being cheated by an equal, the second like being compelled by a superior.	Men's indignation, it seems, is more excited by legal wrong than by violent wrong; the first looks like being cheated by an equal, the second like being compelled by a superior.	false	1189.22	1199.68	19.666662
580_126947_000014_000006	At all events they contrived to put up with much worse treatment than this from the Mede, yet they think our rule severe, and this is to be expected, for the present always weighs heavy on the conquered.	At all events they contrived to put up with much worse treatment than this from the Mede, yet they think our rule severe, and this is to be expected, for the present always weighs heavy on the conquered.	true	1200.32	1212.28	19.509293
580_126947_000014_000007	This at least is certain.	This at least is certain.	true	1212.41	1213.87	22.662504
