4039_184266_000001_000000	Fit the Fifth	Fit the Fifth
4039_184266_000027_000000	The Butcher would gladly have talked till next day, But he felt that the lesson must end, And he wept with delight in attempting to say He considered the Beaver his friend.	The Butcher would gladly have talked till next day, But he felt that the lesson must end, And he wept with delight in attempting to say He considered the Beaver his friend.
4039_184266_000028_000000	While the Beaver confessed, with affectionate looks More eloquent even than tears, It had learned in ten minutes far more than all books Would have taught it in seventy years.	While the Beaver confessed, with affectionate looks More eloquent even than tears, It had learned in ten minutes far more than all books Would have taught it in seventy years.
4039_184266_000030_000000	Such friends, as the Beaver and Butcher became, Have seldom if ever been known; In winter or summer, 'twas always the same-- You could never meet either alone.	Such friends, as the Beaver and Butcher became, Have seldom if ever been known; In winter or summer, 'twas always the same- You could never meet either alone.
4039_184266_000031_000000	And when quarrels arose--as one frequently finds Quarrels will, spite of every endeavour-- The song of the Jubjub recurred to their minds, And cemented their friendship for ever!	And when quarrels arose-as one frequently finds Quarrels will, spite of every endeavour- The song of the Jubjub recurred to their minds, And cemented their friendship for ever!
4039_184266_000032_000000	Fit the Sixth	Fit the Sixth
4039_184266_000033_000000	THE BARRISTER'S DREAM	THE BARRISTER'S DREAM
4039_184266_000034_000000	They sought it with thimbles, they sought it with care; They pursued it with forks and hope; They threatened its life with a railway-share; They charmed it with smiles and soap.	They sought it with thimbles, they sought it with care; They pursued it with forks and hope; They threatened its life with a railway share; They charmed it with smiles and soap.
4039_184266_000035_000000	But the Barrister, weary of proving in vain That the Beaver's lace-making was wrong, Fell asleep, and in dreams saw the creature quite plain That his fancy had dwelt on so long.	But the Barrister, weary of proving in vain That the Beaver's lace making was wrong, Fell asleep, and in dreams saw the creature quite plain That his fancy had dwelt on so long.
4039_184266_000036_000000	He dreamed that he stood in a shadowy Court, Where the Snark, with a glass in its eye, Dressed in gown, bands, and wig, was defending a pig On the charge of deserting its sty.	He dreamed that he stood in a shadowy Court, Where the Snark, with a glass in its eye, Dressed in gown, bands, and wig, was defending a pig On the charge of deserting its sty.
4039_184266_000037_000000	The Witnesses proved, without error or flaw, That the sty was deserted when found: And the Judge kept explaining the state of the law In a soft under-current of sound.	The Witnesses proved, without error or flaw, That the sty was deserted when found: And the Judge kept explaining the state of the law In a soft under current of sound.
4039_184266_000038_000000	The indictment had never been clearly expressed, And it seemed that the Snark had begun, And had spoken three hours, before any one guessed What the pig was supposed to have done.	The indictment had never been clearly expressed, And it seemed that the Snark had begun, And had spoken three hours, before any one guessed What the pig was supposed to have done.
4039_184266_000039_000000	The Jury had each formed a different view (Long before the indictment was read), And they all spoke at once, so that none of them knew One word that the others had said.	The Jury had each formed a different view (Long before the indictment was read), And they all spoke at once, so that none of them knew One word that the others had said.
4039_184266_000040_000000	"You must know--" said the Judge: but the Snark exclaimed "Fudge!" That statute is obsolete quite! Let me tell you, my friends, the whole question depends On an ancient manorial right.	"You must know-" said the Judge: but the Snark exclaimed "Fudge!" That statute is obsolete quite! Let me tell you, my friends, the whole question depends On an ancient manorial right.
4039_184266_000042_000000	"The fact of Desertion I will not dispute; But its guilt, as I trust, is removed (So far as related to the costs of this suit) By the Alibi which has been proved.	"The fact of Desertion I will not dispute; But its guilt, as I trust, is removed (So far as related to the costs of this suit) By the Alibi which has been proved.
4039_184266_000044_000000	But the Judge said he never had summed up before; So the Snark undertook it instead, And summed it so well that it came to far more Than the Witnesses ever had said!	But the Judge said he never had summed up before; So the Snark undertook it instead, And summed it so well that it came to far more Than the Witnesses ever had said!
4039_184266_000045_000000	When the verdict was called for, the Jury declined, As the word was so puzzling to spell; But they ventured to hope that the Snark wouldn't mind Undertaking that duty as well.	When the verdict was called for, the Jury declined, As the word was so puzzling to spell; But they ventured to hope that the Snark wouldn't mind Undertaking that duty as well.
4039_184266_000046_000000	So the Snark found the verdict, although, as it owned, It was spent with the toils of the day: When it said the word "GUILTY!" the Jury all groaned, And some of them fainted away.	So the Snark found the verdict, although, as it owned, It was spent with the toils of the day: When it said the word "GUILTY!" the Jury all groaned, And some of them fainted away.
4039_184266_000047_000000	Then the Snark pronounced sentence, the Judge being quite Too nervous to utter a word: When it rose to its feet, there was silence like night, And the fall of a pin might be heard.	Then the Snark pronounced sentence, the Judge being quite Too nervous to utter a word: When it rose to its feet, there was silence like night, And the fall of a pin might be heard.
4039_184266_000050_000000	The Judge left the Court, looking deeply disgusted: But the Snark, though a little aghast, As the lawyer to whom the defense was entrusted, Went bellowing on to the last.	The Judge left the Court, looking deeply disgusted: But the Snark, though a little aghast, As the lawyer to whom the defense was entrusted, Went bellowing on to the last.
