6233_61741_000000_000000	CHAPTER THIRTY SEVEN.	CHAPTER THIRTY SEVEN.	false	1.59	4.74	19.731028
6233_61741_000029_000004	He must have been out all night, or very early, according to the nigger's account!	He must have been out all night, or very early, according to the nigger's account!	true	320.24	324.315	18
6233_61741_000029_000005	At the Port, I suppose, with those young fellows.	At the Port, I suppose, with those young fellows.	true	324.315	326.85	19
6233_61741_000029_000006	Not at the tavern, I hope?"	Not at the tavern, I hope?"	true	326.85	329.055	20.311813
6233_61741_000030_000000	"Oh, no!	"Oh, no!	true	329.055	329.46	44
6233_61741_000030_000001	He wouldn't go there," interposed Calhoun, who appeared as much mystified by the absence of Henry as was Poindexter himself.	He wouldn't go there," interposed Calhoun, who appeared as much mystified by the absence of Henry as was Poindexter himself.	true	329.46	337.24	23.298054
6233_61741_000030_000002	He refrained, however, from suggesting any explanation, or saying aught of the scenes to which he had been witness on the preceding night.	He refrained, however, from suggesting any explanation, or saying aught of the scenes to which he had been witness on the preceding night.	true	337.7	344.86	16
6233_61741_000031_000000	"It is to be hoped _he_ knows nothing of it," reflected the young Creole.	"It is to be hoped underscore he underscore knows nothing of it," reflected the young Creole.	false	345.14	349.36	27.775877
6233_61741_000031_000001	"If not, it may still remain a secret between brother and myself.	"If not, it may still remain a secret between brother and myself.	true	349.7	353.62	22.962566
6233_61741_000031_000002	I think I can manage Henry.	I think I can manage Henry.	true	353.72	355.48	20.329817
6233_61741_000031_000003	But why is he still absent?	But why is he still absent?	true	355.76	357.67	22.704435
6233_61741_000031_000004	I've sate up all night waiting for him.	I've sate up all night waiting for him.	true	357.8	360.135	24.095943
6233_61741_000031_000005	He must have overtaken Maurice, and they have fraternised.	He must have overtaken Maurice, and they have fraternised.	true	360.135	363.15	18
6233_61741_000031_000006	I hope so; even though the tavern may have been the scene of their reconciliation.	I hope so; even though the tavern may have been the scene of their reconciliation.	true	363.15	367.51	19.655273
6233_61741_000031_000007	Henry is not much given to dissipation; but after such a burst of passion, followed by his sudden repentance, he may have strayed from his usual habits?	Henry is not much given to dissipation; but after such a burst of passion, followed by his sudden repentance, he may have strayed from his usual habits?	true	367.64	376.12	18
6233_61741_000031_000008	Who could blame him if he has?	Who could blame him if he has?	true	376.28	377.89	21.66001
6233_61741_000031_000009	There can be little harm in it: since he has gone astray in good company?"	There can be little harm in it: since he has gone astray in good company?"	true	377.96	381.79	22.48457
6233_61741_000032_000000	How far the string of reflections might have extended it is not easy to say: since it did not reach its natural ending.	How far the string of reflections might have extended it is not easy to say: since it did not reach its natural ending.	false	382.46	388.42	16
6233_61741_000033_000000	It was interrupted by the reappearance of Pluto; whose important air, as he re-entered the room, proclaimed him the bearer of eventful tidings.	It was interrupted by the reappearance of Pluto; whose important air, as he re-entered the room, proclaimed him the bearer of eventful tidings.	true	388.67	396.97	20.556051
6233_61741_000034_000000	"Well!" cried his master, without waiting for him to speak, "is he there?"	"Well!" cried his master, without waiting for him to speak, "is he there?"	true	397.16	401.92	24.312506
6233_61741_000035_000000	"No, Mass' Woodley," replied the black, in a voice that betrayed a large measure of emotion, "he are not dar--Massa Henry am not.	"No, Mass' Woodley," replied the black, in a voice that betrayed a large measure of emotion, "he are not dar-Massa Henry am not.	true	402.77	411.345	21.106125
6233_61741_000035_000001	But--but," he hesitatingly continued, "dis chile grieb to say dat--dat--_him hoss am dar_."	But-but," he hesitatingly continued, "dis chile grieb to say dat-dat-underscore him hoss am dar underscore."	false	411.345	419.4	22.40573
6233_61741_000036_000000	"His horse there!	"His horse there!	true	419.4	420.36	11
6233_61741_000036_000001	Not in his sleeping-room, I suppose?"	Not in his sleeping room, I suppose?"	true	420.36	422.26	12
6233_61741_000037_000000	"No, massa; nor in de 'table neider; but out da, by de big gate."	"No, massa; nor in de 'table neider; but out da, by de big gate."	false	422.57	427.06	24.001026
6233_61741_000038_000000	"His horse at the gate?	"His horse at the gate?	true	427.7	429.045	23.373411
6233_61741_000038_000001	And why, pray, do you grieve about that?"	And why, pray, do you grieve about that?"	true	429.045	431.38	21
6233_61741_000039_000000	"'Ecause, Mass' Woodley, 'ecause de hoss--dat am Massa Henry hoss--'ecause de anymal--"	"'Ecause, Mass' Woodley, 'ecause de hoss-dat am Massa Henry hoss-'ecause de anymal-"	false	431.72	437.55	25
6233_61741_000040_000000	"Speak out, you stammering nigger!	"Speak out, you stammering nigger!	true	437.55	439.305	17
6233_61741_000040_000001	What because?	What because?	true	439.305	440.1	20
6233_61741_000040_000002	I suppose the horse has his head upon him?	I suppose the horse has his head upon him?	true	440.1	442.27	12
6233_61741_000040_000003	Or is it his tail that is missing?"	Or is it his tail that is missing?"	true	442.34	444.12	21.520706
6233_61741_000041_000000	"Ah, Mass' Woodley, dis nigga fear dat am missin' wuss dan eider him head or him tail.	"Ah, Mass' Woodley, dis nigga fear dat am missin' wuss dan eider him head or him tail.	false	444.12	449.79	20.569838
6233_61741_000041_000001	I'se feer'd dat de ole hoss hab loss him rider!"	I'se feer'd dat de ole hoss hab loss him rider!"	false	449.79	452.86	17
6233_61741_000042_000000	"What!	"What!	true	453.53	454.26	27.322577
6233_61741_000042_000001	Henry thrown from his horse?	Henry thrown from his horse?	true	454.26	456.19	22.282663
6233_61741_000042_000002	Nonsense, Pluto!	Nonsense, Pluto!	true	456.29	457.8	22.422667
6233_61741_000042_000003	My son is too good a rider for that.	My son is too good a rider for that.	true	457.8	459.94	20.99509
6233_61741_000042_000004	Impossible that _he_ should have been pitched out of the saddle--impossible!"	Impossible that underscore he underscore should have been pitched out of the saddle-impossible!"	false	459.98	464.02	21
6233_61741_000043_000000	"Ho! ho!	"Ho! ho!	false	464.42	465.15	27.505209
6233_61741_000043_000001	I doan say he war frown out ob de saddle.	I doan say he war frown out ob de saddle.	false	465.15	468.27	13
6233_61741_000043_000002	Gorramity!	Gorramity!	false	468.27	469.05	25
6233_61741_000043_000003	I fear de trouble wuss dan dat.	I fear de trouble wuss dan dat.	true	469.05	470.91	13
6233_61741_000043_000004	O! dear ole Massa, I tell you no mo'.	O! dear ole Massa, I tell you no mo'.	false	470.91	473.82	26.07633
6233_61741_000043_000005	Come to de gate ob do hashashanty, and see fo youseff."	Come to de gate ob do hashashanty, and see fo youseff."	false	473.82	477.7	20.880335
6233_61741_000044_000000	By this time the impression conveyed by Pluto's speech--much more by his manner--notwithstanding its ambiguity, had become sufficiently alarming; and not only the planter himself, but his daughter and nephew, hastily forsaking their seats, and preceded by the sable coachman, made their way to the outside gate of the hacienda.	By this time the impression conveyed by Pluto's speech-much more by his manner-notwithstanding its ambiguity, had become sufficiently alarming; and not only the planter himself, but his daughter and nephew, hastily forsaking their seats, and preceded by the sable coachman, made their way to the outside gate of the hacienda.	true	478.82	498.22	19.813282
6233_61741_000045_000000	A sight was there awaiting them, calculated to inspire all three with the most terrible apprehensions.	A sight was there awaiting them, calculated to inspire all three with the most terrible apprehensions.	true	499.1	506.14	25.005657
6233_61741_000046_000000	A negro man--one of the field slaves of the plantation--stood holding a horse, that was saddled and bridled.	A negro man-one of the field slaves of the plantation-stood holding a horse, that was saddled and bridled.	true	507.35	514.42	17.679771
6233_61741_000046_000001	The animal wet with the dews of the night, and having been evidently uncared for in any stable, was snorting and stamping the ground, as if but lately escaped from some scene of excitement, in which he had been compelled to take part.	The animal wet with the dews of the night, and having been evidently uncared for in any stable, was snorting and stamping the ground, as if but lately escaped from some scene of excitement, in which he had been compelled to take part.	true	514.61	527.89	23
6233_61741_000047_000000	He was speckled with a colour darker than that of the dewdrops--darker than his own coat of bay-brown.	He was speckled with a colour darker than that of the dewdrops-darker than his own coat of bay brown.	true	528.68	534.19	19
6233_61741_000047_000001	The spots scattered over his shoulders--the streaks that ran parallel with the downward direction of his limbs, the blotches showing conspicuously on the saddle-flaps, were all of the colour of coagulated blood.	The spots scattered over his shoulders-the streaks that ran parallel with the downward direction of his limbs, the blotches showing conspicuously on the saddle flaps, were all of the colour of coagulated blood.	false	534.23	547.09	22
6233_61741_000047_000002	Blood had caused them--spots, streaks, and blotches!	Blood had caused them-spots, streaks, and blotches!	true	547.85	551.59	19
6233_61741_000048_000000	Whence came that horse?	Whence came that horse?	true	551.93	553.54	25.435781
6233_61741_000049_000000	From the prairies.	From the prairies.	true	553.79	555.04	23.072905
6233_61741_000049_000001	The negro had caught him, on the outside plain, as, with the bridle trailing among his feet, he was instinctively straying towards the hacienda.	The negro had caught him, on the outside plain, as, with the bridle trailing among his feet, he was instinctively straying towards the hacienda.	true	555.62	564.25	20.595694
6233_61741_000050_000000	To whom did he belong?	To whom did he belong?	true	564.32	566.02	16.694386
6233_61741_000051_000000	The question was not asked.	The question was not asked.	true	566.21	568.24	26.258001
6233_61741_000051_000001	All present knew him to be the horse of Henry Poindexter.	All present knew him to be the horse of Henry Poindexter.	true	568.73	572.38	25.497099
6233_61741_000052_000000	Nor did any one ask whose blood bedaubed the saddle-flaps.	Nor did any one ask whose blood bedaubed the saddle flaps.	true	572.84	576.61	20
6233_61741_000052_000001	The three individuals most interested could think only of that one, who stood to them in the triple relationship of son, brother, and cousin.	The three individuals most interested could think only of that one, who stood to them in the triple relationship of son, brother, and cousin.	false	577.1	585.73	21.540546
6233_61741_000053_000000	The dark red spots on which they were distractedly gazing had spurted from the veins of Henry Poindexter.	The dark red spots on which they were distractedly gazing had spurted from the veins of Henry Poindexter.	true	586.88	594.43	25.389381
6233_61741_000053_000001	They had no other thought.	They had no other thought.	false	595.22	609.06	17.480236
