6494_60801_000002_000000	When it was the Five Hundred and First Night,	When it was the Five Hundred and First Night,
6494_60801_000007_000001	The Prince slept that night on the throne and his men on the stools about him, and on the morrow, at daybreak, the four Wazirs or Captains of the apes presented themselves before him, attended by their troops, who ranged themselves about him, rank after rank, until the place was crowded.	The Prince slept that night on the throne and his men on the stools about him, and on the morrow, at daybreak, the four Wazirs or Captains of the apes presented themselves before him, attended by their troops, who ranged themselves about him, rank after rank, until the place was crowded.
6494_60801_000007_000002	Then the Wazirs approached and exhorted him by signs to do justice amongst them and rule them righteously; after which the apes cried out to one another and went away, all save a small party which remained in presence to serve him.	Then the Wazirs approached and exhorted him by signs to do justice amongst them and rule them righteously; after which the apes cried out to one another and went away, all save a small party which remained in presence to serve him.
6494_60801_000007_000004	So they mounted, marvelling at the greatness of the dogs, and rode forth, attended by the four Wazirs and a host of apes like swarming locusts, some riding on dogs and others afoot till they came to the sea-shore.	So they mounted, marvelling at the greatness of the dogs, and rode forth, attended by the four Wazirs and a host of apes like swarming locusts, some riding on dogs and others afoot till they came to the sea shore.
6494_60801_000007_000006	So he turned to the apes and asked them, 'What are these Ghuls?' and they answered, 'Know, O King, that these Ghuls are our mortal foes and we come hither to do battle with them.' Janshah marvelled to see them riding horses, and was startled at the vastness of their bulk and the strangeness of their semblance; for some of them had heads like bulls and others like camels.	So he turned to the apes and asked them, 'What are these Ghuls?' and they answered, 'Know, O King, that these Ghuls are our mortal foes and we come hither to do battle with them.' Janshah marvelled to see them riding horses, and was startled at the vastness of their bulk and the strangeness of their semblance; for some of them had heads like bulls and others like camels.
6494_60801_000007_000009	And while exploring the said mountain Janshah found a tablet of alabaster, whereon was written, 'O thou who enterest this land, know that thou wilt become Sultan over these apes and that from them there is no escape for thee, except by the passes that run east and west through the mountains.	And while exploring the said mountain Janshah found a tablet of alabaster, whereon was written, 'O thou who enterest this land, know that thou wilt become Sultan over these apes and that from them there is no escape for thee, except by the passes that run east and west through the mountains.
6494_60801_000008_000000	When it was the Five Hundred and Fourth Night,	When it was the Five Hundred and Fourth Night,
6494_60801_000009_000002	Better therefore lord it over the apes, for so long as thou shalt tarry amongst them they will be victorious over the Ghuls.	Better therefore lord it over the apes, for so long as thou shalt tarry amongst them they will be victorious over the Ghuls.
6494_60801_000009_000003	And know also that he who wrote this tablet was the lord Solomon, son of David (on both be peace!).' When Janshah read these words, he wept sore and repeated them to his men.	And know also that he who wrote this tablet was the lord Solomon, son of David (on both be peace!).' When Janshah read these words, he wept sore and repeated them to his men.
6494_60801_000009_000004	Then they mounted again and, surrounded by the army of the apes who were rejoicing in their victory, returned to the castle.	Then they mounted again and, surrounded by the army of the apes who were rejoicing in their victory, returned to the castle.
6494_60801_000009_000005	Here Janshah abode, Sultaning over them, for a year and a half.	Here Janshah abode, Sultaning over them, for a year and a half.
6494_60801_000009_000008	When the apes awoke and missed Janshah and his men, they knew that they had fled.	When the apes awoke and missed Janshah and his men, they knew that they had fled.
6494_60801_000009_000009	So they mounted and pursued them, some taking the eastern pass and others that which led to the Wady of Emmets, nor was it long before the apes came in sight of the fugitives, as they were about to enter the valley, and hastened after them.	So they mounted and pursued them, some taking the eastern pass and others that which led to the Wady of Emmets, nor was it long before the apes came in sight of the fugitives, as they were about to enter the valley, and hastened after them.
6494_60801_000009_000011	They devoured many of their foes, and these also slew many of the ants; but help came to the emmets: now an ant would go up to an ape and smite him and cut him in twain, whilst ten apes could hardly master one ant and bear him away and tear him in sunder.	They devoured many of their foes, and these also slew many of the ants; but help came to the emmets: now an ant would go up to an ape and smite him and cut him in twain, whilst ten apes could hardly master one ant and bear him away and tear him in sunder.
6494_60801_000009_000012	The sore battle lasted till the evening but the emmets were victorious.	The sore battle lasted till the evening but the emmets were victorious.
