6494_60801_000000_000000	When it was the Five Hundredth Night,	When it was the Five Hundredth Night,	false	0	0.39	3
6494_60801_000003_000008	Moreover he got together an hundred ships and filling them with troops, sent them to sail about in quest of Janshah, while he himself withdrew with his troops to his capital, where he abode in sore concern.	Moreover he got together an hundred ships and filling them with troops, sent them to sail about in quest of Janshah, while he himself withdrew with his troops to his capital, where he abode in sore concern.	false	140.15	153.22	21.968369
6494_60801_000003_000009	As for Janshah's mother, when she heard of his loss she buffeted her face and began the mourning ceremonies for her son making sure that he was dead.	As for Janshah's mother, when she heard of his loss she buffeted her face and began the mourning ceremonies for her son making sure that he was dead.	true	154.46	164.38	19.066833
6494_60801_000003_000010	Meanwhile, Janshah and his men ceased not driving before the wind and those in search of them cruised about for ten days till, finding no trace they returned and reported failure to the King.	Meanwhile, Janshah and his men ceased not driving before the wind and those in search of them cruised about for ten days till, finding no trace they returned and reported failure to the King.	false	165.47	177.94	19.506962
6494_60801_000003_000011	But a stiff gale caught the Prince's craft which went spooning till they made a second island, where they landed and walked about.	But a stiff gale caught the Prince's craft which went spooning till they made a second island, where they landed and walked about.	true	178.79	186.16	24.227398
6494_60801_000003_000012	Presently they came upon a spring of running water in the midst of the island and saw from afar a man sitting hard by it.	Presently they came upon a spring of running water in the midst of the island and saw from afar a man sitting hard by it.	true	186.98	194.53	21.145382
6494_60801_000003_000013	So they went up to him and saluted him, and he returned their salam, speaking in a voice like the whistle[FN#538] of birds.	So they went up to him and saluted him, and he returned their salam, speaking in a voice like the whistle[f n # five hundred thirty eight] of birds.	false	195.26	202.6	23.249104
6494_60801_000003_000014	Whilst Janshah stood marvelling at the man's speech he looked right and left and suddenly split himself in twain, and each half went a different way.[FN#539] Then there came down from the hills a multitude of men of all kinds, beyond count and reckoning; and they no sooner reached the spring, than each one divided into two halves and rushed on Janshah and his Mamelukes to eat them.	Whilst Janshah stood marvelling at the man's speech he looked right and left and suddenly split himself in twain, and each half went a different way.[f n # five hundred thirty nine] Then there came down from the hills a multitude of men of all kinds, beyond count and reckoning; and they no sooner reached the spring, than each one divided into two halves and rushed on Janshah and his Mamelukes to eat them.	false	203.81	230.59	22.715439
6494_60801_000003_000015	When the voyagers saw this, they turned and fled seawards; but the cannibals pursued them and caught and ate three of the slaves, leaving only three slaves who with Janshah reached the boat in safety; then launching her made for the water and sailed nights and days without knowing whither their ship went.	When the voyagers saw this, they turned and fled seawards; but the cannibals pursued them and caught and ate three of the slaves, leaving only three slaves who with Janshah reached the boat in safety; then launching her made for the water and sailed nights and days without knowing whither their ship went.	true	231.35	250.96	21.54195
6494_60801_000003_000016	They killed the gazelle, and lived on her flesh, till the winds drove them to a third island which was full of trees and waters and flower-gardens and orchards laden with all fashion of fruits: and streams strayed under the tree shade: brief, the place was a Garden of Eden.	They killed the gazelle, and lived on her flesh, till the winds drove them to a third island which was full of trees and waters and flower gardens and orchards laden with all fashion of fruits: and streams strayed under the tree shade: brief, the place was a Garden of Eden.	true	251.6	271.33	20.039032
6494_60801_000003_000017	The island pleased the Prince and he said to his companions, 'Which of you will land and explore?' Then said one of the slaves, 'That will I do'; but he replied, 'This thing may not be; you must all land and explore the place while I abide in the boat.' So he set them ashore,"-- And Shahrazad perceived the dawn of day and ceased to say her permitted say.	The island pleased the Prince and he said to his companions, 'Which of you will land and explore?' Then said one of the slaves, 'That will I do'; but he replied, 'This thing may not be; you must all land and explore the place while I abide in the boat.' So he set them ashore,"-- And Shahrazad perceived the dawn of day and ceased to say her permitted say.	true	272.42	300.7	21.320381
6494_60801_000004_000000	When it was the Five Hundred and Second Night,	When it was the Five Hundred and Second Night,	true	302.84	305.47	19.570518
6494_60801_000005_000000	She said, It hath reached me, O auspicious King, that "the Prince set them ashore, and they searched the island, East and West, but found no one; then they fared on inland to the heart thereof, till they came to a Castle compassed about with ramparts of white marble, within which was a palace of the clearest crystal and, set in its centre a garden containing all manner fruits beyond description, both fresh and dry, and flowers of grateful odour and trees and birds singing upon the boughs.	She said, It hath reached me, O auspicious King, that "the Prince set them ashore, and they searched the island, East and West, but found no one; then they fared on inland to the heart thereof, till they came to a Castle compassed about with ramparts of white marble, within which was a palace of the clearest crystal and, set in its centre a garden containing all manner fruits beyond description, both fresh and dry, and flowers of grateful odour and trees and birds singing upon the boughs.	false	305.51	343.12	22.493553
6494_60801_000005_000001	Amiddlemost the garden was a vast basin of water, and beside it a great open hall with a raised dais whereon stood a number of stools surrounding a throne of red gold, studded with all kinds of jewels and especially rubies and seeing the beauty of the Castle and of the Garden they entered and explored in all directions, but found no one there, so after rummaging the Castle they returned to Janshah and told him what they had seen.	Amiddlemost the garden was a vast basin of water, and beside it a great open hall with a raised dais whereon stood a number of stools surrounding a throne of red gold, studded with all kinds of jewels and especially rubies and seeing the beauty of the Castle and of the Garden they entered and explored in all directions, but found no one there, so after rummaging the Castle they returned to Janshah and told him what they had seen.	true	343.82	373.96	21.699081
6494_60801_000005_000002	When he heard their report, he cried, 'Needs must I solace myself with a sight of it;' so he landed and accompanied them to the palace, which he entered marvelling at the goodliness of the place.	When he heard their report, he cried, 'Needs must I solace myself with a sight of it;' so he landed and accompanied them to the palace, which he entered marvelling at the goodliness of the place.	true	375.02	387.91	20.141407
6494_60801_000005_000003	They then visited every part of the gardens and ate of the fruits and continued walking till it waxed dark, when they returned to the estrade and sat down, Janshah on the throne in the centre and the three others on the stools ranged to the right and left.	They then visited every part of the gardens and ate of the fruits and continued walking till it waxed dark, when they returned to the estrade and sat down, Janshah on the throne in the centre and the three others on the stools ranged to the right and left.	false	388.94	404.74	21.808352
6494_60801_000005_000004	Then the Prince, there seated, called to mind his separation from his father's throne-city[FN#540] and country and friends and kinsfolk; and fell a-weeping and lamenting over their loss whilst his men wept around him.	Then the Prince, there seated, called to mind his separation from his father's throne city[f n # five hundred forty] and country and friends and kinsfolk; and fell a weeping and lamenting over their loss whilst his men wept around him.	false	405.53	419.17	20.260954
6494_60801_000005_000005	And as they were thus sorrowing behold, they heard a mighty clamour, that came from seaward and looking in the direction of the clamour saw a multitude of apes, as they were swarming locusts.	And as they were thus sorrowing behold, they heard a mighty clamour, that came from seaward and looking in the direction of the clamour saw a multitude of apes, as they were swarming locusts.	true	420.38	433.33	22.044056
6494_60801_000005_000006	Now the castle and the island belonged to these apes, who, finding the strangers' boat moored to the strand, had scuttled it and after repaired to the palace, where they came upon Janshah and his men seated." Here the Serpent- queen again broke off her recital saying, "All this, O Hasib, was told to Bulukiya by the young man sitting between the two tombs." Quoth Hasib, "And what did Janshah do with the apes?"; so the Queen resumed her tale: "He and his men were sore affrighted at the appearance of the apes, but a company of them came up to the throne whereon he sat and, kissing the earth before him, stood awhile in his presence with their paws upon their breasts in posture of respect.	Now the castle and the island belonged to these apes, who, finding the strangers' boat moored to the strand, had scuttled it and after repaired to the palace, where they came upon Janshah and his men seated." Here the Serpent queen again broke off her recital saying, "All this, O Hasib, was told to Bulukiya by the young man sitting between the two tombs." Quoth Hasib, "And what did Janshah do with the apes?"; so the Queen resumed her tale: "He and his men were sore affrighted at the appearance of the apes, but a company of them came up to the throne whereon he sat and, kissing the earth before him, stood awhile in his presence with their paws upon their breasts in posture of respect.	false	433.91	484.51	20.9426
6494_60801_000005_000007	Then another troop brought to the castle gazelles which they slaughtered and skinned; and roasting pieces of the flesh till fit for food they laid them on platters of gold and silver and spreading the table, made signs to Janshah and his men to eat.	Then another troop brought to the castle gazelles which they slaughtered and skinned; and roasting pieces of the flesh till fit for food they laid them on platters of gold and silver and spreading the table, made signs to Janshah and his men to eat.	false	485.42	501.76	21.638924
6494_60801_000005_000008	The Prince and his followers came down from their seats and ate, and the apes ate with them, till they were satisfied, when the apes took away the meat and set on fruits of which they partook and praised Allah the most Highest.	The Prince and his followers came down from their seats and ate, and the apes ate with them, till they were satisfied, when the apes took away the meat and set on fruits of which they partook and praised Allah the most Highest.	true	502.49	516.64	23.172588
6494_60801_000005_000009	Then Janshah asked the apes by signs what they were and to whom the palace belonged, and they answered him by signals, 'Know ye that this island belonged of yore to our lord Solomon, son of David (on both of whom be peace!), and he used to come hither once every year for his solace,'"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	Then Janshah asked the apes by signs what they were and to whom the palace belonged, and they answered him by signals, 'Know ye that this island belonged of yore to our lord Solomon, son of David (on both of whom be peace!), and he used to come hither once every year for his solace,'"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	true	517.67	545.17	20.187096
6494_60801_000006_000000	When it was the Five Hundred and Third Night,	When it was the Five Hundred and Third Night,	true	548	550.53	18.970078
6494_60801_000007_000000	She said, It hath reached me, O auspicious King, that when Janshah asked the apes by signs to whom the palace belonged, they answered him by signals, "'Of a truth this place belonged of yore to our lord Solomon, son of David (on both of whom be peace!), who used to come hither once every year for his solace, and then wend his ways.' Presently the apes continued, 'And know, O King, that thou art become our Sultan and we are thy servants; so eat and drink, and whatso thou ever bid us, that will we do.' So saying, they severally kissed the earth between the hands of Janshah and all took their departure.	She said, It hath reached me, O auspicious King, that when Janshah asked the apes by signs to whom the palace belonged, they answered him by signals, "'Of a truth this place belonged of yore to our lord Solomon, son of David (on both of whom be peace!), who used to come hither once every year for his solace, and then wend his ways.' Presently the apes continued, 'And know, O King, that thou art become our Sultan and we are thy servants; so eat and drink, and whatso thou ever bid us, that will we do.' So saying, they severally kissed the earth between the hands of Janshah and all took their departure.	false	550.53	598.39	20.671345
6494_60801_000007_000001	The Prince slept that night on the throne and his men on the stools about him, and on the morrow, at daybreak, the four Wazirs or Captains of the apes presented themselves before him, attended by their troops, who ranged themselves about him, rank after rank, until the place was crowded.	The Prince slept that night on the throne and his men on the stools about him, and on the morrow, at daybreak, the four Wazirs or Captains of the apes presented themselves before him, attended by their troops, who ranged themselves about him, rank after rank, until the place was crowded.	true	599.18	618.34	22.30057
6494_60801_000007_000002	Then the Wazirs approached and exhorted him by signs to do justice amongst them and rule them righteously; after which the apes cried out to one another and went away, all save a small party which remained in presence to serve him.	Then the Wazirs approached and exhorted him by signs to do justice amongst them and rule them righteously; after which the apes cried out to one another and went away, all save a small party which remained in presence to serve him.	true	619.55	635.59	20.4278
6494_60801_000007_000003	After awhile, there came up a company of apes with huge dogs in the semblance of horses, each wearing about his head a massive chain; and signed to Janshah and his three followers to mount and go with them.	After awhile, there came up a company of apes with huge dogs in the semblance of horses, each wearing about his head a massive chain; and signed to Janshah and his three followers to mount and go with them.	false	636.47	650.23	21.109993
6494_60801_000007_000004	So they mounted, marvelling at the greatness of the dogs, and rode forth, attended by the four Wazirs and a host of apes like swarming locusts, some riding on dogs and others afoot till they came to the sea-shore.	So they mounted, marvelling at the greatness of the dogs, and rode forth, attended by the four Wazirs and a host of apes like swarming locusts, some riding on dogs and others afoot till they came to the sea shore.	true	651.26	666.13	21.343988
6494_60801_000007_000005	Janshah looked for the boat which brought him and finding it scuttled turned to the Wazirs and asked how this had happened to it; whereto they answered, 'Know, O King, that, when thou camest to our island, we kenned that thou wouldst be Sultan over us and we feared lest ye all flee from us, in our absence; and embark in the boat, so we sank it.' When Janshah heard this, he turned to his Mamelukes and said to them, 'We have no means of escaping from these apes, and we must patiently await the ordinance of the Almighty.' Then they fared on inland and ceased not faring till they came to the banks of a river, on whose other side rose a high mountain, whereon Janshah saw a multitude of Ghuls.	Janshah looked for the boat which brought him and finding it scuttled turned to the Wazirs and asked how this had happened to it; whereto they answered, 'Know, O King, that, when thou camest to our island, we kenned that thou wouldst be Sultan over us and we feared lest ye all flee from us, in our absence; and embark in the boat, so we sank it.' When Janshah heard this, he turned to his Mamelukes and said to them, 'We have no means of escaping from these apes, and we must patiently await the ordinance of the Almighty.' Then they fared on inland and ceased not faring till they came to the banks of a river, on whose other side rose a high mountain, whereon Janshah saw a multitude of Ghuls.	false	667.04	717.64	20.54543
6494_60801_000007_000006	So he turned to the apes and asked them, 'What are these Ghuls?' and they answered, 'Know, O King, that these Ghuls are our mortal foes and we come hither to do battle with them.' Janshah marvelled to see them riding horses, and was startled at the vastness of their bulk and the strangeness of their semblance; for some of them had heads like bulls and others like camels.	So he turned to the apes and asked them, 'What are these Ghuls?' and they answered, 'Know, O King, that these Ghuls are our mortal foes and we come hither to do battle with them.' Janshah marvelled to see them riding horses, and was startled at the vastness of their bulk and the strangeness of their semblance; for some of them had heads like bulls and others like camels.	true	718.37	745.81	20.010584
6494_60801_000007_000007	As soon as the Ghuls espied the army of the apes, they charged down to the river bank and standing there, fell to pelting them with stones as big as maces; and between them there befell a sore fight.	As soon as the Ghuls espied the army of the apes, they charged down to the river bank and standing there, fell to pelting them with stones as big as maces; and between them there befell a sore fight.	false	746.75	760.66	20.602127
6494_60801_000007_000008	Presently, Janshah, seeing that the Ghuls were getting the better of the apes, cried out to his men, saying, 'Unease your bows and arrows and shoot at them your best shafts and keep them off from us.' They did so and slew of the Ghuls much people, when there fell upon them sore dismay and they turned to flee; but the apes, seeing Janshah's prowess, forded the river and headed by their Sultan chased the Ghuls, killing many of them in the pursuit, till they reached the high mountain where they disappeared.	Presently, Janshah, seeing that the Ghuls were getting the better of the apes, cried out to his men, saying, 'Unease your bows and arrows and shoot at them your best shafts and keep them off from us.' They did so and slew of the Ghuls much people, when there fell upon them sore dismay and they turned to flee; but the apes, seeing Janshah's prowess, forded the river and headed by their Sultan chased the Ghuls, killing many of them in the pursuit, till they reached the high mountain where they disappeared.	true	761.51	795.43	20.276632
6494_60801_000007_000009	And while exploring the said mountain Janshah found a tablet of alabaster, whereon was written, 'O thou who enterest this land, know that thou wilt become Sultan over these apes and that from them there is no escape for thee, except by the passes that run east and west through the mountains.	And while exploring the said mountain Janshah found a tablet of alabaster, whereon was written, 'O thou who enterest this land, know that thou wilt become Sultan over these apes and that from them there is no escape for thee, except by the passes that run east and west through the mountains.	true	796.49	818.29	20.468403
6494_60801_000007_000010	If thou take the eastern pass, thou wilt fare through a country swarming with Ghuls and wild beasts, Marids and Ifrits, and thou wilt come, after three months' journeying, to the ocean which encompasseth the earth; but, if thou travel by the western pass, it will bring thee, after four months' journeying, to the head of the Wady of Emmets.[FN#541] When thou hast followed the road, that leads through this mountain, ten days,' "--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	If thou take the eastern pass, thou wilt fare through a country swarming with Ghuls and wild beasts, Marids and Ifrits, and thou wilt come, after three months' journeying, to the ocean which encompasseth the earth; but, if thou travel by the western pass, it will bring thee, after four months' journeying, to the head of the Wady of Emmets.[f n # five hundred forty one] When thou hast followed the road, that leads through this mountain, ten days,' "--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	819.14	855.25	20.822329
6494_60801_000008_000000	When it was the Five Hundred and Fourth Night,	When it was the Five Hundred and Fourth Night,	true	857.36	860.08	20.62142
6494_60801_000009_000000	She said, It hath reached me, O auspicious King, that Janshah read this much upon the tablet and found, at the end of the inscription, "'Then thou wilt come to a great river, whose current is so swift that it blindeth the eyes.	She said, It hath reached me, O auspicious King, that Janshah read this much upon the tablet and found, at the end of the inscription, "'Then thou wilt come to a great river, whose current is so swift that it blindeth the eyes.	false	860.15	876.76	21.159716
6494_60801_000009_000001	Now this river drieth up every Sabbath,[FN#542] and on the opposite bank lies a city wholly inhabited by Jews, who the faith of Mohammed refuse; there is not a Moslem among the band nor is there other than this city in the land.	Now this river drieth up every Sabbath,[f n # five hundred forty two] and on the opposite bank lies a city wholly inhabited by Jews, who the faith of Mohammed refuse; there is not a Moslem among the band nor is there other than this city in the land.	false	877.79	894.55	19.847336
6494_60801_000009_000002	Better therefore lord it over the apes, for so long as thou shalt tarry amongst them they will be victorious over the Ghuls.	Better therefore lord it over the apes, for so long as thou shalt tarry amongst them they will be victorious over the Ghuls.	true	895.67	904.03	20.289465
6494_60801_000009_000003	And know also that he who wrote this tablet was the lord Solomon, son of David (on both be peace!).' When Janshah read these words, he wept sore and repeated them to his men.	And know also that he who wrote this tablet was the lord Solomon, son of David (on both be peace!).' When Janshah read these words, he wept sore and repeated them to his men.	true	904.85	918.64	20.564953
6494_60801_000009_000004	Then they mounted again and, surrounded by the army of the apes who were rejoicing in their victory, returned to the castle.	Then they mounted again and, surrounded by the army of the apes who were rejoicing in their victory, returned to the castle.	true	919.43	926.74	20.610352
6494_60801_000009_000005	Here Janshah abode, Sultaning over them, for a year and a half.	Here Janshah abode, Sultaning over them, for a year and a half.	true	927.89	932.41	20.795992
6494_60801_000009_000006	And at the end of this time, he one day commanded the ape-army to mount and go forth a hunting with him, and they rode out into the woods and wilds, and fared on from place to place, till they approached the Wady of Emmets, which Janshah knew by the description of it upon the alabaster tablet.	And at the end of this time, he one day commanded the ape army to mount and go forth a hunting with him, and they rode out into the woods and wilds, and fared on from place to place, till they approached the Wady of Emmets, which Janshah knew by the description of it upon the alabaster tablet.	false	932.96	952.9	21.659119
6494_60801_000009_000007	Here he bade them dismount and they all abode there, eating and drinking a space of ten days, after which Janshah took his men apart one night and said, 'I purpose we flee through the Valley of Emmets and make for the town of the Jews; it may be Allah will deliver us from these apes and we will go God's ways.' They replied, 'We hear and we obey:' so he waited till some little of the night was spent then, donning his armour and girding his sword and dagger and such like weapons, and his men doing likewise, they set out and fared on westwards till morning.	Here he bade them dismount and they all abode there, eating and drinking a space of ten days, after which Janshah took his men apart one night and said, 'I purpose we flee through the Valley of Emmets and make for the town of the Jews; it may be Allah will deliver us from these apes and we will go God's ways.' They replied, 'We hear and we obey:' so he waited till some little of the night was spent then, donning his armour and girding his sword and dagger and such like weapons, and his men doing likewise, they set out and fared on westwards till morning.	false	953.63	995.88	20.24777
6494_60801_000009_000008	When the apes awoke and missed Janshah and his men, they knew that they had fled.	When the apes awoke and missed Janshah and his men, they knew that they had fled.	true	995.88	1001.2	20.776192
6494_60801_000009_000009	So they mounted and pursued them, some taking the eastern pass and others that which led to the Wady of Emmets, nor was it long before the apes came in sight of the fugitives, as they were about to enter the valley, and hastened after them.	So they mounted and pursued them, some taking the eastern pass and others that which led to the Wady of Emmets, nor was it long before the apes came in sight of the fugitives, as they were about to enter the valley, and hastened after them.	true	1002.26	1018.93	20.696829
6494_60801_000009_000010	When Janshah and his men saw them, they fled into the Emmet-valley; but the apes soon overtook them and would have slain them, when behold, there rose out of the earth a multitude of ants like swarming locusts, as big as dogs, and charged home upon the apes.	When Janshah and his men saw them, they fled into the Emmet valley; but the apes soon overtook them and would have slain them, when behold, there rose out of the earth a multitude of ants like swarming locusts, as big as dogs, and charged home upon the apes.	false	1019.9	1039.15	22.074917
6494_60801_000009_000011	They devoured many of their foes, and these also slew many of the ants; but help came to the emmets: now an ant would go up to an ape and smite him and cut him in twain, whilst ten apes could hardly master one ant and bear him away and tear him in sunder.	They devoured many of their foes, and these also slew many of the ants; but help came to the emmets: now an ant would go up to an ape and smite him and cut him in twain, whilst ten apes could hardly master one ant and bear him away and tear him in sunder.	true	1039.79	1059.28	21.004316
6494_60801_000009_000012	The sore battle lasted till the evening but the emmets were victorious.	The sore battle lasted till the evening but the emmets were victorious.	true	1060.28	1065.46	21.008589
6494_60801_000009_000013	In the gloaming Janshah and his men took to flight and fled along the sole of the Wady."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	In the gloaming Janshah and his men took to flight and fled along the sole of the Wady."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	1066.31	1094.16	19.732193
