7933_113272_000000_000000	The old man did not know where to go, but little Nell took his hand and led him gently away.	The old man did not know where to go, but little Nell took his hand and led him gently away.	false	7.08	21.39	22.424957
7933_113272_000011_000003	He made them sleep in the school-room that night, and he begged them to stay longer next day, but little Nell was anxious to get as far as possible from London and from the dwarf, who she was all the time in fear might find them.	He made them sleep in the school room that night, and he begged them to stay longer next day, but little Nell was anxious to get as far as possible from London and from the dwarf, who she was all the time in fear might find them.	true	167.325	181.17	20.83352
7933_113272_000011_000004	So they bade the schoolmaster good-by and walked on.	So they bade the schoolmaster good by and walked on.	true	181.17	184.335	21
7933_113272_000012_000000	Another day's journey left them so exhausted they could scarcely keep moving.	Another day's journey left them so exhausted they could scarcely keep moving.	true	184.335	188.775	18
7933_113272_000012_000001	They had almost reached another village when they came to a tiny painted house on wheels with horses to draw it.	They had almost reached another village when they came to a tiny painted house on wheels with horses to draw it.	true	188.775	194.655	20
7933_113272_000012_000002	At its door sat a stout lady wearing a large bonnet, taking tea with a big drum for a table.	At its door sat a stout lady wearing a large bonnet, taking tea with a big drum for a table.	false	194.655	200.97	20
7933_113272_000013_000000	The lady, as it happened, had seen them at the fair, and had wondered then to see them in company with a Punch-and-Judy show.	The lady, as it happened, had seen them at the fair, and had wondered then to see them in company with a Punch and Judy show.	true	200.97	208.215	19
7933_113272_000013_000001	Noticing how tired they were, she gave them tea and then took them into the wagon with her to help them on their way.	Noticing how tired they were, she gave them tea and then took them into the wagon with her to help them on their way.	true	208.215	214.53	17
7933_113272_000014_000000	The inside of the wagon was like a cozy room.	The inside of the wagon was like a cozy room.	false	214.53	217.395	16
7933_113272_000014_000001	It had a little bed in one end, and a kitchen in the other, and had two curtained windows.	It had a little bed in one end, and a kitchen in the other, and had two curtained windows.	false	217.395	222.82	21.48087
7933_113272_000014_000002	As the wheels rattled on the old man fell asleep, and the stout lady made little Nell sit by her and talk.	As the wheels rattled on the old man fell asleep, and the stout lady made little Nell sit by her and talk.	true	222.86	230.115	21
7933_113272_000014_000003	In the wagon was a big canvas sign that read:	In the wagon was a big canvas sign that read:	true	230.115	233.19	16
7933_113272_000015_000000	__________________________ | | | JARLEY'S WAXWORK | | ONE HUNDRED FIGURES | | THE FULL SIZE OF LIFE | | NOW EXHIBITED WITHIN | |__________________________|	, blank , | | | JARLEY'S WAXWORK | | ONE HUNDRED FIGURES | | THE FULL SIZE OF LIFE | | NOW EXHIBITED WITHIN | |, blank ,|	false	233.19	239.73	20.935303
7933_113272_000016_000000	"I am Mrs. Jarley," the woman said, "and my waxwork is gone to the next town, where it is to be exhibited." She thought little Nell and her grandfather were in the show business, too, and when she found they were not, that they had no home, and did not even know where they were going, she held up her hands in astonishment.	"I am mrs Jarley," the woman said, "and my waxwork is gone to the next town, where it is to be exhibited." She thought little Nell and her grandfather were in the show business, too, and when she found they were not, that they had no home, and did not even know where they were going, she held up her hands in astonishment.	false	239.73	257.64	19
7933_113272_000017_000000	But it was easy to see that they were not ordinary beggars, and she was kind-hearted and wanted to help them.	But it was easy to see that they were not ordinary beggars, and she was kind hearted and wanted to help them.	true	257.64	263.77	22.957733
7933_113272_000017_000001	So, after much thought, she asked little Nell if they would take a situation with her.	So, after much thought, she asked little Nell if they would take a situation with her.	true	263.93	268.635	21.953918
7933_113272_000017_000002	She explained that the child's duty would be to point out the wax figures to the visitors and tell their names, while her grandfather could help dust them.	She explained that the child's duty would be to point out the wax figures to the visitors and tell their names, while her grandfather could help dust them.	true	268.635	277.36	22
7933_113272_000018_000000	They accepted this offer very thankfully (for almost all the money they had brought was now spent), and when the wagon arrived at the place of exhibition and the waxwork had been set up, Mrs. Jarley put a long wand in little Nell's hand and taught her to point out each figure and describe it:	They accepted this offer very thankfully (for almost all the money they had brought was now spent), and when the wagon arrived at the place of exhibition and the waxwork had been set up, mrs Jarley put a long wand in little Nell's hand and taught her to point out each figure and describe it:	true	277.49	294.915	21
7933_113272_000019_000000	"This, ladies and gentlemen," little Nell learned to say, "is Jasper Packlemerton, who murdered fourteen wives by tickling the soles of their feet," or, "this is Queen Elizabeth's maid of honor, who died from pricking her finger while sewing on Sunday."	"This, ladies and gentlemen," little Nell learned to say, "is Jasper Packlemerton, who murdered fourteen wives by tickling the soles of their feet," or, "this is Queen Elizabeth's maid of honor, who died from pricking her finger while sewing on Sunday."	true	294.915	309.97	20.95562
7933_113272_000020_000000	She was quick to learn and soon became a great favorite with the visitors.	She was quick to learn and soon became a great favorite with the visitors.	true	310.28	314.35	22
7933_113272_000020_000001	Mrs. Jarley was kind, and but for the fact that her grandfather's mind failed more and more every day little Nell would have been quite happy.	mrs Jarley was kind, and but for the fact that her grandfather's mind failed more and more every day little Nell would have been quite happy.	false	314.48	322.815	19
7933_113272_000021_000000	One evening the two walked into the country beyond the town and a sudden thunder-storm arose.	One evening the two walked into the country beyond the town and a sudden thunder storm arose.	false	322.815	328.59	19
7933_113272_000021_000001	They took shelter at an inn on the highroad, and while they waited there some rough men began a noisy game of cards behind a screen.	They took shelter at an inn on the highroad, and while they waited there some rough men began a noisy game of cards behind a screen.	true	328.59	336.52	17
7933_113272_000022_000000	The talk and the chink of the money roused the old man's failing senses. He imagined himself still gambling to win the old fortune for little Nell.	The talk and the chink of the money roused the old man's failing senses. He imagined himself still gambling to win the old fortune for little Nell.	false	336.56	345.03	19
7933_113272_000022_000001	He made her give him the money she had earned from the waxwork, joined the gamblers and in a few hours had lost it all.	He made her give him the money she had earned from the waxwork, joined the gamblers and in a few hours had lost it all.	true	345.03	351.64	20.68372
7933_113272_000022_000002	His insanity had made him forget the presence of the child he so loved, and when the game was done it was too late to leave the inn that night.	His insanity had made him forget the presence of the child he so loved, and when the game was done it was too late to leave the inn that night.	false	351.83	359.74	20
7933_113272_000023_000000	Little Nell had now only one piece of money left, a gold piece sewed in her dress.	Little Nell had now only one piece of money left, a gold piece sewed in her dress.	false	360.05	365.83	21.192284
7933_113272_000023_000001	This she had to change into silver and to pay a part for their lodging.	This she had to change into silver and to pay a part for their lodging.	true	365.93	370.33	20.249594
7933_113272_000023_000002	When she was abed she could not sleep for fear of the wicked men she had seen gambling.	When she was abed she could not sleep for fear of the wicked men she had seen gambling.	true	370.46	375.58	22
7933_113272_000024_000000	When at last she fell asleep she waked suddenly to see a figure in the room.	When at last she fell asleep she waked suddenly to see a figure in the room.	true	375.59	380.28	22
7933_113272_000024_000001	She was too frightened to scream, and lay very still and trembled. The robber searched her clothing, took the rest of the money and went out.	She was too frightened to scream, and lay very still and trembled. The robber searched her clothing, took the rest of the money and went out.	true	380.28	388.71	22.417183
7933_113272_000024_000002	She was dreadfully afraid he might return to harm her.	She was dreadfully afraid he might return to harm her.	true	388.71	391.935	20.381674
7933_113272_000024_000003	If she could get to her grandfather, she thought, she would be safe.	If she could get to her grandfather, she thought, she would be safe.	true	391.935	395.5	20.731823
7933_113272_000025_000000	She opened the door softly, and in the moonlight saw the figure entering the old man's room.	She opened the door softly, and in the moonlight saw the figure entering the old man's room.	true	395.84	401.265	19
7933_113272_000025_000001	She caught a view of his face and then she knew that the figure was her own grandfather, and that, crazed by the gambling scene, he himself had robbed her!	She caught a view of his face and then she knew that the figure was her own grandfather, and that, crazed by the gambling scene, he himself had robbed her!	true	401.265	410.925	21.635242
7933_113272_000026_000000	All that night little Nell lay and cried.	All that night little Nell lay and cried.	false	410.925	414.315	18.677902
7933_113272_000026_000001	She knew, to be sure, that her grandfather was not a thief and that he did not know what he was doing when he stole her money; but she knew, too, that if people found out he was crazy they would take him away from her and shut him up where she could not be with him, and of this she could not bear to think.	She knew, to be sure, that her grandfather was not a thief and that he did not know what he was doing when he stole her money; but she knew, too, that if people found out he was crazy they would take him away from her and shut him up where she could not be with him, and of this she could not bear to think.	true	414.315	431.44	22.40427
7933_113272_000027_000000	The next day, when they had gone back to the waxwork, she was in even greater terror for fear he should rob Mrs. Jarley, their benefactress. So, to lessen the chance of this, each day she gave him every penny she earned.	The next day, when they had gone back to the waxwork, she was in even greater terror for fear he should rob mrs Jarley, their benefactress. So, to lessen the chance of this, each day she gave him every penny she earned.	false	431.51	445.51	21.988964
7933_113272_000027_000001	This, she soon knew, he gambled away, for often he was out all night, and even seemed to shun her; so she was sad and took many long walks alone through the fields.	This, she soon knew, he gambled away, for often he was out all night, and even seemed to shun her; so she was sad and took many long walks alone through the fields.	true	445.7	456.67	21.929255
7933_113272_000028_000000	One evening it happened that she passed a meadow where, beside a hedge, a fire was burning, with three men sitting and lying around it.	One evening it happened that she passed a meadow where, beside a hedge, a fire was burning, with three men sitting and lying around it.	false	456.92	465.1	21
7933_113272_000028_000001	She was in the shadow and they did not see her.	She was in the shadow and they did not see her.	true	465.32	468.04	19.783184
7933_113272_000028_000002	One, she saw, was her grandfather, and the others were the gamblers with whom he had played at the inn on the night of the storm.	One, she saw, was her grandfather, and the others were the gamblers with whom he had played at the inn on the night of the storm.	true	468.05	475.3	21
7933_113272_000029_000000	Little Nell crept close.	Little Nell crept close.	true	475.55	477.51	27.00273
7933_113272_000029_000001	They were tempting the poor daft old man to steal the money from Mrs. Jarley's strong box, and while she listened he consented.	They were tempting the poor daft old man to steal the money from mrs Jarley's strong box, and while she listened he consented.	true	477.51	484.77	22.968477
7933_113272_000030_000000	She ran home in terrible grief.	She ran home in terrible grief.	true	484.77	487.095	20.400877
7933_113272_000030_000001	She tried to sleep, but could not.	She tried to sleep, but could not.	true	487.095	489.19	23.65947
7933_113272_000030_000002	At last she could bear it no longer.	At last she could bear it no longer.	true	489.2	491.55	21.445381
7933_113272_000030_000003	She went to the old man's room and wakened him.	She went to the old man's room and wakened him.	true	491.55	494.235	20
7933_113272_000031_000000	"I have had a dreadful dream," she told him, "a dream of an old gray-haired man like you robbing people of their gold.	"I have had a dreadful dream," she told him, "a dream of an old gray haired man like you robbing people of their gold.	true	494.235	501.285	12
7933_113272_000031_000001	I can not stay!	I can not stay!	true	501.285	502.605	24
7933_113272_000031_000002	I can not leave you here.	I can not leave you here.	true	502.605	504.075	13.23227
7933_113272_000031_000003	We must go."	We must go."	true	504.075	505.14	22.769707
7933_113272_000032_000000	To the crazy old man she seemed an angel.	To the crazy old man she seemed an angel.	false	505.14	508.005	19.35779
7933_113272_000032_000001	He dressed himself in fear, and with her little basket on her arm she led him out of the house, on, away from the town, into the country, far away from Mrs. Jarley, who had been so kind to them, and from the new home they had found.	He dressed himself in fear, and with her little basket on her arm she led him out of the house, on, away from the town, into the country, far away from mrs Jarley, who had been so kind to them, and from the new home they had found.	true	508.005	522.4	21.281553
7933_113272_000033_000000	They climbed a high hill just as the sun was rising, and far behind them little Nell caught a last view of the village.	They climbed a high hill just as the sun was rising, and far behind them little Nell caught a last view of the village.	true	522.56	529.93	18
7933_113272_000033_000001	As she looked back and thought how contented they had been there at first, and of the further wandering that lay before them now, poor little Nell burst into tears.	As she looked back and thought how contented they had been there at first, and of the further wandering that lay before them now, poor little Nell burst into tears.	true	529.97	538.99	19
7933_113272_000034_000000	But at length she bravely dried her tears lest they sadden her grandfather, and they went on.	But at length she bravely dried her tears lest they sadden her grandfather, and they went on.	true	539.18	544.41	16
7933_113272_000034_000001	When the sun grew warm they fell asleep on the bank of the canal, and when they awoke in the afternoon some rough canal men took them aboard their dirty craft as far as the next town.	When the sun grew warm they fell asleep on the bank of the canal, and when they awoke in the afternoon some rough canal men took them aboard their dirty craft as far as the next town.	false	544.41	554.5	23.34547
7933_113272_000035_000000	The men were well-meaning enough and meant the travelers no harm, but after a while they began to drink and quarreled and fought among themselves, and little Nell sat all night, wet with the rain, and sang to them to quiet them.	The men were well meaning enough and meant the travelers no harm, but after a while they began to drink and quarreled and fought among themselves, and little Nell sat all night, wet with the rain, and sang to them to quiet them.	false	554.63	567.465	20
7933_113272_000036_000000	The place to which they finally came was a town of wretched workmen who toiled all day in iron furnaces for little wages, and were almost as miserable and hungry as the wanderers themselves.	The place to which they finally came was a town of wretched workmen who toiled all day in iron furnaces for little wages, and were almost as miserable and hungry as the wanderers themselves.	true	567.465	578.7	21
7933_113272_000036_000001	No one gave them anything, and they lived for three days with only two penny loaves to eat (for all their money was now gone), and slept at night in the ashes of some poor laborer's hut.	No one gave them anything, and they lived for three days with only two penny loaves to eat (for all their money was now gone), and slept at night in the ashes of some poor laborer's hut.	false	578.7	589.59	23
7933_113272_000037_000000	The fourth day they dragged themselves into the country again.	The fourth day they dragged themselves into the country again.	true	589.59	592.84	18
7933_113272_000037_000001	Little Nell's shoes were worn through to the bare ground, her feet were bleeding, her limbs ached and she was deadly faint.	Little Nell's shoes were worn through to the bare ground, her feet were bleeding, her limbs ached and she was deadly faint.	false	593.03	600.13	22.16646
7933_113272_000037_000002	They begged, but no one would help them.	They begged, but no one would help them.	true	600.26	602.47	23.669634
7933_113272_000038_000000	The child's strength was almost gone, when they met a traveler who was reading in a book as he walked along.	The child's strength was almost gone, when they met a traveler who was reading in a book as he walked along.	true	602.51	608.955	24.122925
7933_113272_000038_000001	He looked up as they came near.	He looked up as they came near.	true	608.955	610.81	23.811163
7933_113272_000038_000002	It was the kind old schoolmaster in whose school they had slept before they met Mrs. Jarley in her house on wheels.	It was the kind old schoolmaster in whose school they had slept before they met mrs Jarley in her house on wheels.	false	610.82	617.8	21
7933_113272_000038_000003	When she saw him little Nell shrieked and fell unconscious at his feet.	When she saw him little Nell shrieked and fell unconscious at his feet.	true	617.81	622.095	21.124763
7933_113272_000039_000000	The schoolmaster carried her to an inn near by, where she was put to bed and doctored under his care, for she was very weak.	The schoolmaster carried her to an inn near by, where she was put to bed and doctored under his care, for she was very weak.	true	622.095	629.95	22.89006
7933_113272_000039_000001	She told him all the story of their wanderings, and he heard it with astonishment and wonder to find such a great heart and heroism in a child.	She told him all the story of their wanderings, and he heard it with astonishment and wonder to find such a great heart and heroism in a child.	true	629.99	638.71	22.034796
7933_113272_000040_000000	He had been appointed schoolmaster, he told her, in another town, to which he was then on his way, and he declared they should go with him and he would care for them.	He had been appointed schoolmaster, he told her, in another town, to which he was then on his way, and he declared they should go with him and he would care for them.	true	638.75	648.06	20.884212
7933_113272_000040_000001	He hired a farm wagon to carry little Nell, and he and the old man walked beside it, and so they came to their new place.	He hired a farm wagon to carry little Nell, and he and the old man walked beside it, and so they came to their new place.	false	648.06	654.94	21
7933_113272_000041_000000	Next door to the school-house was the church.	Next door to the school house was the church.	false	655.1	657.9	20.911795
7933_113272_000041_000001	A very old woman, nearly a hundred years old, had lived in a tenement near by to keep the keys and open the church for services.	A very old woman, nearly a hundred years old, had lived in a tenement near by to keep the keys and open the church for services.	true	657.9	665.49	18
7933_113272_000041_000002	The old woman was now dead, and the schoolmaster went to the clergyman and asked that her place be given to the grandfather, so that he and little Nell could live in the house next to his own dwelling.	The old woman was now dead, and the schoolmaster went to the clergyman and asked that her place be given to the grandfather, so that he and little Nell could live in the house next to his own dwelling.	false	665.49	676.47	17
7933_113272_000042_000000	The child sewed the tattered curtains and mended the worn carpet and the schoolmaster trimmed the long grass and trained the ivy before the door. In the evening a bright fire was kindled and they all three took their supper together, and then the schoolmaster said a prayer before they went gladly to bed.	The child sewed the tattered curtains and mended the worn carpet and the schoolmaster trimmed the long grass and trained the ivy before the door. In the evening a bright fire was kindled and they all three took their supper together, and then the schoolmaster said a prayer before they went gladly to bed.	true	676.47	693.735	21.977358
7933_113272_000043_000000	They were very happy in this new home.	They were very happy in this new home.	true	693.735	695.88	20
7933_113272_000043_000001	The old man lost the insane thirst for gaming and the mad look faded from his eyes, but poor little Nell grew paler and more fragile every day.	The old man lost the insane thirst for gaming and the mad look faded from his eyes, but poor little Nell grew paler and more fragile every day.	true	695.88	704.655	15
7933_113272_000043_000002	The long days of hunger and nights of exposure had sowed the seeds of illness.	The long days of hunger and nights of exposure had sowed the seeds of illness.	true	704.655	709.47	19
7933_113272_000044_000000	The whole village soon grew to love her.	The whole village soon grew to love her.	true	709.47	712.06	19.857975
7933_113272_000044_000001	Many came to visit her and the schoolmaster read to her each day, so that she was content even when she could no longer walk abroad as she had always done.	Many came to visit her and the schoolmaster read to her each day, so that she was content even when she could no longer walk abroad as she had always done.	false	712.13	720.945	20
7933_113272_000045_000000	As she lay looking out at the peaceful churchyard, where so many whose lives were over lay sleeping, it seemed to her that the painful past was only an ugly vision.	As she lay looking out at the peaceful churchyard, where so many whose lives were over lay sleeping, it seemed to her that the painful past was only an ugly vision.	true	720.945	730.86	17
7933_113272_000045_000001	And at night she often dreamed of the roof opening and a column of bright faces, rising far into the sky, looking down on her asleep.	And at night she often dreamed of the roof opening and a column of bright faces, rising far into the sky, looking down on her asleep.	false	730.86	739.23	21.125072
7933_113272_000045_000002	The quiet spot outside remained the same, save that the air was full of music and a sound of angels' wings.	The quiet spot outside remained the same, save that the air was full of music and a sound of angels' wings.	false	739.23	746.41	21.440948
7933_113272_000046_000000	So the weeks passed into winter, and though she came soon to know that she was not long for earth, she thought of death without regret and of heaven with joy.	So the weeks passed into winter, and though she came soon to know that she was not long for earth, she thought of death without regret and of heaven with joy.	true	746.51	755.91	22.100828
7933_113272_000047_000000	III	three	false	755.91	755.91	
7933_113272_000048_000000	THE SEARCH	THE SEARCH	false	755.91	755.94	-20
7933_113272_000049_000000	It is not to be supposed, of course, that the flight of little Nell and her grandfather from the Old Curiosity Shop was not noticed.	It is not to be supposed, of course, that the flight of little Nell and her grandfather from the Old Curiosity Shop was not noticed.	false	755.94	758.43	17.089983
7933_113272_000049_000001	All the time, while they were wandering about homeless and wretched, more than one went searching everywhere for them without success.	All the time, while they were wandering about homeless and wretched, more than one went searching everywhere for them without success.	false	758.43	762.66	3
