1311_134176_000000_000000	CHAPTER 14	CHAPTER fourteen	false	1.74	3.15	18
1311_134176_000016_000000	And by the time the examination was over and the Black Doctor was moved aboard the hospital ship, word had come through official channels to the _Lancet_ announcing that the quarantine order had been a dispatcher's unfortunate error, and directing the ship to return at once to Hospital Earth with the new contract that had been signed on 31 Brucker VII.	And by the time the examination was over and the Black Doctor was moved aboard the hospital ship, word had come through official channels to the underscore Lancet underscore announcing that the quarantine order had been a dispatcher's unfortunate error, and directing the ship to return at once to Hospital Earth with the new contract that had been signed on thirty one Brucker seven.	false	313.19	334.9	17
1311_134176_000016_000001	The crewmen of the _Lancet_ had special orders to report immediately to the medical training council at Hospital Seattle upon arrival, in order to give their formal General Practice Patrol reports and to receive their appointments respectively as Star Physician, Star Diagnostician and Star Surgeon.	The crewmen of the underscore Lancet underscore had special orders to report immediately to the medical training council at Hospital Seattle upon arrival, in order to give their formal General Practice Patrol reports and to receive their appointments respectively as Star Physician, Star Diagnostician and Star Surgeon.	false	335.63	356.11	17
1311_134176_000016_000002	The orders were signed with the personal mark of Hugo Tanner, Physician of the Black Service of Pathology.	The orders were signed with the personal mark of Hugo Tanner, Physician of the Black Service of Pathology.	true	356.81	363.76	18.637093
1311_134176_000017_000000	Now the ceremony and celebration in Hospital Seattle were over, and Dal had another appointment to keep.	Now the ceremony and celebration in Hospital Seattle were over, and Dal had another appointment to keep.	true	364.46	371.32	17
1311_134176_000017_000001	He lifted Fuzzy from his elbow and tucked him safely into an inner jacket pocket to protect him from the crowd in the station, and moved swiftly through to the subway tubes.	He lifted Fuzzy from his elbow and tucked him safely into an inner jacket pocket to protect him from the crowd in the station, and moved swiftly through to the subway tubes.	true	371.69	382.54	17
1311_134176_000018_000000	He had expected to see Black Doctor Arnquist at the investment ceremonies, but there had been neither sign nor word from him.	He had expected to see Black Doctor Arnquist at the investment ceremonies, but there had been neither sign nor word from him.	true	383.03	390.49	15
1311_134176_000018_000001	Dal tried to reach him after the ceremonies were over; all he could learn was that the Black Doctor was unavailable.	Dal tried to reach him after the ceremonies were over; all he could learn was that the Black Doctor was unavailable.	true	390.86	398.11	18.27198
1311_134176_000018_000002	And then a message had come through to Dal under the official Hospital Earth headquarters priority, requesting him to present himself at once at the grand council building at Hospital Philadelphia for an interview of the utmost importance.	And then a message had come through to Dal under the official Hospital Earth headquarters priority, requesting him to present himself at once at the grand council building at Hospital Philadelphia for an interview of the utmost importance.	true	398.63	412.6	19
1311_134176_000019_000000	He followed the directions on the dispatch now, and reached the grand council building well ahead of the appointed time.	He followed the directions on the dispatch now, and reached the grand council building well ahead of the appointed time.	true	413.36	419.74	15
1311_134176_000019_000001	He followed corridors and rode elevators until he reached the twenty-second story office suite where he had been directed to report.	He followed corridors and rode elevators until he reached the twenty second story office suite where he had been directed to report.	true	419.96	427.99	18
1311_134176_000019_000002	The whole building seemed alive with bustle, as though something of enormous importance was going on; high-ranking physicians of all the services were hurrying about, gathering in little groups at the elevators and talking among themselves in hushed voices.	The whole building seemed alive with bustle, as though something of enormous importance was going on; high ranking physicians of all the services were hurrying about, gathering in little groups at the elevators and talking among themselves in hushed voices.	true	428.6	443.77	18.556675
1311_134176_000019_000003	Even more strange, Dal saw delegation after delegation of alien creatures moving through the building, some in the special atmosphere-maintaining devices necessary for their survival on Earth, some characteristically alone and unaccompanied, others in the company of great retinues of underlings.	Even more strange, Dal saw delegation after delegation of alien creatures moving through the building, some in the special atmosphere maintaining devices necessary for their survival on Earth, some characteristically alone and unaccompanied, others in the company of great retinues of underlings.	true	444.32	464.08	18
1311_134176_000019_000004	Dal paused in the main concourse of the building as he saw two such delegations arrive by special car from the port of Philadelphia.	Dal paused in the main concourse of the building as he saw two such delegations arrive by special car from the port of Philadelphia.	true	464.57	472.39	16
1311_134176_000020_000000	"Odd," he said quietly, reaching in to stroke Fuzzy's head.	"Odd," he said quietly, reaching in to stroke Fuzzy's head.	true	472.97	476.95	19.370846
1311_134176_000020_000001	"Quite a gathering of the clans, eh?	"Quite a gathering of the clans, eh?	true	477.38	479.77	19.442934
1311_134176_000020_000002	What do you think?	What do you think?	true	480.08	481.18	20.122421
1311_134176_000020_000003	Last time I saw a gathering like this was back at home during one of the centennial conclaves of the Galactic Confederation."	Last time I saw a gathering like this was back at home during one of the centennial conclaves of the Galactic Confederation."	false	481.49	488.38	15
1311_134176_000021_000000	On the twenty-second floor, a secretary ushered him into an inner office.	On the twenty second floor, a secretary ushered him into an inner office.	true	489.14	493.63	16
1311_134176_000021_000001	There he found Black Doctor Thorvold Arnquist, in busy conference with a Blue Doctor, a Green Doctor and a surgeon.	There he found Black Doctor Thorvold Arnquist, in busy conference with a Blue Doctor, a Green Doctor and a surgeon.	true	493.97	501.34	15
1311_134176_000021_000002	The Black Doctor looked up, and beamed.	The Black Doctor looked up, and beamed.	true	501.71	504.16	20.627012
1311_134176_000021_000003	"That will be all right now, gentlemen," he said.	"That will be all right now, gentlemen," he said.	true	504.5	507.64	19
1311_134176_000021_000004	"I'll be in touch with you directly."	"I'll be in touch with you directly."	true	507.86	509.98	17
1311_134176_000022_000000	He waited until the others had departed.	He waited until the others had departed.	true	511.04	513.51	19.873148
1311_134176_000022_000001	Then he crossed the room and practically hugged Dal in delight.	Then he crossed the room and practically hugged Dal in delight.	true	513.51	517.36	19
1311_134176_000022_000002	"It's good to see you, boy," he said, "and above all, it's good to see that silver star at last.	"It's good to see you, boy," he said, "and above all, it's good to see that silver star at last.	false	517.79	524.59	19.231886
1311_134176_000022_000003	You and your little pink friend have done a good job, a far better job than I thought you would do, I must admit."	You and your little pink friend have done a good job, a far better job than I thought you would do, I must admit."	false	524.99	533.25	18.487514
1311_134176_000023_000000	Dal perched Fuzzy on his shoulder.	Dal perched Fuzzy on his shoulder.	true	533.25	535.21	19.022882
1311_134176_000023_000001	"But what is this about an interview? Why did you want to see me, and what are all these people doing here?"	"But what is this about an interview? Why did you want to see me, and what are all these people doing here?"	true	535.73	542.2	18.669668
1311_134176_000024_000000	Dr. Arnquist laughed.	dr Arnquist laughed.	true	542.78	544.6	20.266003
1311_134176_000024_000001	"Don't worry," he said.	"Don't worry," he said.	true	544.91	546.82	19.228762
1311_134176_000024_000002	"You won't have to stay for the council meeting.	"You won't have to stay for the council meeting.	true	546.83	549.37	15
1311_134176_000024_000003	It will be a long boring session, I fear. Doubtless every single one of these delegates at some time in the next few days will be standing up to give us a three hour oration, and it is my ill fortune as a Four-star Black Doctor to have to sit and listen and smile through it all.	It will be a long boring session, I fear. Doubtless every single one of these delegates at some time in the next few days will be standing up to give us a three hour oration, and it is my ill fortune as a Four star Black Doctor to have to sit and listen and smile through it all.	true	549.47	569.62	17
1311_134176_000024_000004	But in the end, it will be worth it, and I thought that you should at least know that your name will be mentioned many times during these sessions."	But in the end, it will be worth it, and I thought that you should at least know that your name will be mentioned many times during these sessions."	true	570.26	579.19	18.059229
1311_134176_000025_000000	"My name?"	"My name?"	true	579.68	580.87	22.434637
1311_134176_000026_000000	"You didn't know that you were a guinea pig, did you?" the Black Doctor said.	"You didn't know that you were a guinea pig, did you?" the Black Doctor said.	true	581.24	586.33	20.312191
1311_134176_000027_000000	"I ... I'm afraid I didn't."	"I ... I'm afraid I didn't."	true	586.97	589.32	18.585287
1311_134176_000028_000000	"An unwitting tool, so to speak," the Black Doctor chuckled.	"An unwitting tool, so to speak," the Black Doctor chuckled.	false	589.32	594.82	18.302135
1311_134176_000028_000001	"You know, of course, that the Galactic Confederation has been delaying and stalling any action on Hospital Earth's application for full status as one of the Confederation powers and for a seat on the council.	"You know, of course, that the Galactic Confederation has been delaying and stalling any action on Hospital Earth's application for full status as one of the Confederation powers and for a seat on the council.	false	595.28	608.62	16
1311_134176_000028_000002	We had fulfilled two criteria for admission without difficulty--we had resolved our problems at home so that we were free from war on our own planet, and we had a talent that is much needed and badly in demand in the galaxy, a job to do that would fit into the Confederation's organization.	We had fulfilled two criteria for admission without difficulty-we had resolved our problems at home so that we were free from war on our own planet, and we had a talent that is much needed and badly in demand in the galaxy, a job to do that would fit into the Confederation's organization.	true	609.08	629.59	18.828606
1311_134176_000028_000003	But the Confederation has always had a third criterion for its membership, a criterion that Hospital Earth could not so easily prove or demonstrate."	But the Confederation has always had a third criterion for its membership, a criterion that Hospital Earth could not so easily prove or demonstrate."	true	630.23	641.11	19.3224
1311_134176_000029_000000	The Black Doctor smiled.	The Black Doctor smiled.	true	641.81	643.42	20.196453
1311_134176_000029_000001	"After all, there could be no place in a true Confederation of worlds for any one race of people that considered itself superior to all the rest.	"After all, there could be no place in a true Confederation of worlds for any one race of people that considered itself superior to all the rest.	true	643.97	654.82	18
1311_134176_000029_000002	No race can be admitted to the Confederation until its members have demonstrated that they are capable of tolerance, willing to accept the members of other races on an equal footing.	No race can be admitted to the Confederation until its members have demonstrated that they are capable of tolerance, willing to accept the members of other races on an equal footing.	false	655.13	666.22	18
1311_134176_000029_000003	And it has always been the nature of Earthmen to be intolerant, to assume that one who looks strange and behaves differently must somehow be inferior."	And it has always been the nature of Earthmen to be intolerant, to assume that one who looks strange and behaves differently must somehow be inferior."	true	666.86	678.25	19
1311_134176_000030_000000	The Black Doctor crossed the room and opened a folder on the desk.	The Black Doctor crossed the room and opened a folder on the desk.	true	678.92	682.84	19.815407
1311_134176_000030_000001	"You can read the details some other time, if you like.	"You can read the details some other time, if you like.	true	683.3	686.86	13
1311_134176_000030_000002	You were selected by the Galactic Confederation from a thousand possible applicants, to serve as a test case, to see if a place could be made for you on Hospital Earth.	You were selected by the Galactic Confederation from a thousand possible applicants, to serve as a test case, to see if a place could be made for you on Hospital Earth.	true	687.38	699.85	19.078926
1311_134176_000030_000003	No one here was told of your position--not even you--although certain of us suspected the truth.	No one here was told of your position-not even you-although certain of us suspected the truth.	true	700.4	708.4	19.729996
1311_134176_000030_000004	The Confederation wanted to see if a well-qualified, likeable and intelligent creature from another world would be accepted and elevated to equal rank as a physician with Earthmen."	The Confederation wanted to see if a well qualified, likeable and intelligent creature from another world would be accepted and elevated to equal rank as a physician with Earthmen."	true	709.01	722.26	19
1311_134176_000031_000000	Dal stared at him.	Dal stared at him.	true	722.78	724.42	18.402304
1311_134176_000031_000001	"And I was the one?"	"And I was the one?"	true	724.76	726.25	18
1311_134176_000032_000000	"You were the one.	"You were the one.	true	726.59	728.35	19.27139
1311_134176_000032_000001	It was a struggle, all right, but Hospital Earth has finally satisfied the Confederation.	It was a struggle, all right, but Hospital Earth has finally satisfied the Confederation.	true	728.99	735.94	18.937185
1311_134176_000032_000002	At the end of this conclave we will be admitted to full membership and given a permanent seat and vote in the galactic council.	At the end of this conclave we will be admitted to full membership and given a permanent seat and vote in the galactic council.	true	736.43	745.36	19.399723
1311_134176_000032_000003	Our probationary period will be over.	Our probationary period will be over.	true	746	748.96	19.840767
1311_134176_000032_000004	But enough of that.	But enough of that.	true	750.05	752.26	17.46339
1311_134176_000032_000005	What about you?	What about you?	true	753.14	754.54	20.52971
1311_134176_000032_000006	What are your plans?	What are your plans?	true	755.15	757	20.116
1311_134176_000032_000007	What do you propose to do now that you have that star on your collar?"	What do you propose to do now that you have that star on your collar?"	true	757.4	762.31	20
1311_134176_000033_000000	They talked then about the future.	They talked then about the future.	true	763.16	765.13	20.486403
1311_134176_000033_000001	Tiger Martin had been appointed to the survey crew returning to 31 Brucker VII, at his own request, while Jack was accepting a temporary teaching post in the great diagnostic clinic at Hospital Philadelphia.	Tiger Martin had been appointed to the survey crew returning to thirty one Brucker seven, at his own request, while Jack was accepting a temporary teaching post in the great diagnostic clinic at Hospital Philadelphia.	true	765.62	778.93	18
1311_134176_000033_000002	There were a dozen things that Dal had considered, but for the moment he wanted only to travel from medical center to medical center on Hospital Earth, observing and studying in order to decide how he would best like to use his abilities and his position as a Physician from Hospital Earth.	There were a dozen things that Dal had considered, but for the moment he wanted only to travel from medical center to medical center on Hospital Earth, observing and studying in order to decide how he would best like to use his abilities and his position as a Physician from Hospital Earth.	true	779.48	797.77	18
1311_134176_000033_000003	"It will be in surgery, of course," he said.	"It will be in surgery, of course," he said.	true	798.86	802.06	18.201736
1311_134176_000033_000004	"Just where in surgery, or what kind, I don't know just yet.	"Just where in surgery, or what kind, I don't know just yet.	true	802.31	806.62	18.514221
1311_134176_000033_000005	But there will be time enough to decide that."	But there will be time enough to decide that."	true	807.08	809.62	19.005795
1311_134176_000034_000000	"Then go along," Dr. Arnquist said, "with my congratulations and blessing.	"Then go along," dr Arnquist said, "with my congratulations and blessing.	true	810.38	816.37	20.080616
1311_134176_000034_000001	You have taught us a great deal, and perhaps you have learned some things at the same time."	You have taught us a great deal, and perhaps you have learned some things at the same time."	true	816.83	823.57	19.45221
1311_134176_000035_000000	Dal hesitated for a moment.	Dal hesitated for a moment.	true	824.27	826.005	18.276981
1311_134176_000035_000001	Then he nodded.	Then he nodded.	true	826.005	827.14	17.90063
1311_134176_000035_000002	"I've learned some things," he said, "but there's still one thing that I want to do before I go."	"I've learned some things," he said, "but there's still one thing that I want to do before I go."	true	827.69	833.89	19.778606
1311_134176_000036_000000	He lifted his little pink friend gently down from his shoulder and rested him in the crook of his arm.	He lifted his little pink friend gently down from his shoulder and rested him in the crook of his arm.	true	834.41	840.1	16
1311_134176_000036_000001	Fuzzy looked up at him, blinking his shoe-button eyes happily.	Fuzzy looked up at him, blinking his shoe button eyes happily.	true	840.35	844.15	18.218737
1311_134176_000036_000002	"You asked me once to leave Fuzzy with you, and I refused.	"You asked me once to leave Fuzzy with you, and I refused.	true	845.12	849.13	19.682611
1311_134176_000036_000003	I couldn't see then how I could possibly do without him; even the thought was frightening.	I couldn't see then how I could possibly do without him; even the thought was frightening.	true	849.56	854.89	18.959196
1311_134176_000036_000004	But now I think I've changed my mind."	But now I think I've changed my mind."	true	855.26	857.92	20.217653
1311_134176_000037_000000	He reached out and placed Fuzzy gently in the Black Doctor's hand.	He reached out and placed Fuzzy gently in the Black Doctor's hand.	true	858.83	862.81	21
1311_134176_000037_000001	"I want you to keep him," he said.	"I want you to keep him," he said.	true	863.63	866.38	20.11328
1311_134176_000037_000002	"I don't think I'll need him any more. I'll miss him, but I think it would be better if I don't have him now. Be good to him, and let me visit him once in a while."	"I don't think I'll need him any more. I'll miss him, but I think it would be better if I don't have him now. Be good to him, and let me visit him once in a while."	true	866.78	877.75	20.051022
1311_134176_000038_000000	The Black Doctor looked at Dal, and then lifted Fuzzy up to his own shoulder.	The Black Doctor looked at Dal, and then lifted Fuzzy up to his own shoulder.	true	878.87	883.87	20.720217
1311_134176_000038_000001	For a moment the little creature shivered as if afraid.	For a moment the little creature shivered as if afraid.	true	884.36	887.77	20.436579
1311_134176_000038_000002	Then he blinked twice at Dal, trustingly, and snuggled in comfortably against the Black Doctor's neck.	Then he blinked twice at Dal, trustingly, and snuggled in comfortably against the Black Doctor's neck.	true	888.05	894.88	20.0937
1311_134176_000039_000000	Without a word Dal turned and walked out of the office.	Without a word Dal turned and walked out of the office.	true	896.06	899.59	19.607079
1311_134176_000039_000001	As he stepped down the corridor, he waited fearfully for the wave of desolation and loneliness he had felt before when Fuzzy was away from him.	As he stepped down the corridor, he waited fearfully for the wave of desolation and loneliness he had felt before when Fuzzy was away from him.	true	900.05	908.38	17
1311_134176_000040_000000	But there was no hint of those desolate feelings in his mind now.	But there was no hint of those desolate feelings in his mind now.	false	908.96	913.2	17.481993
1311_134176_000040_000001	And after all, he thought, why should there be?	And after all, he thought, why should there be?	true	913.2	916.15	19.067448
1311_134176_000040_000002	He was not a Garvian any longer.	He was not a Garvian any longer.	true	916.82	919.09	18.258608
1311_134176_000040_000003	He was a Star Surgeon from Hospital Earth.	He was a Star Surgeon from Hospital Earth.	true	919.61	922.72	20.852463
1311_134176_000041_000000	He smiled as he stepped from the elevator into the main lobby and crossed through the crowd to the street doors.	He smiled as he stepped from the elevator into the main lobby and crossed through the crowd to the street doors.	true	924.08	930.34	19
1311_134176_000041_000001	He pulled his scarlet cape tightly around his throat.	He pulled his scarlet cape tightly around his throat.	true	930.92	934.18	20.059855
1311_134176_000041_000002	Drawing himself up to the full height of which he was capable, he walked out of the building and strode down onto the street.	Drawing himself up to the full height of which he was capable, he walked out of the building and strode down onto the street.	false	934.7	948.6	19.77028
1311_134176_000042_000000	_Also by Alan E. Nourse_	underscore Also by Alan e Nourse underscore	false	948.6	953.07	19.649755
1311_134176_000043_000000	ROCKET TO LIMBO	ROCKET TO LIMBO	false	953.07	956.01	18.649649
1311_134176_000044_000000	SCAVENGERS IN SPACE	SCAVENGERS IN SPACE	false	956.01	957.03	17.591742
1311_134176_000045_000000	End of the Project Gutenberg EBook of Star Surgeon, by Alan Nourse	End of the Project Gutenberg EBook of Star Surgeon, by Alan Nourse	false	957.03	961.71	21.517195
