7704_106965_000000_000000	TEDDY'S BUTTON ***	TEDDY'S BUTTON asterisk asterisk asterisk	false	1.65	3.57	26.695282
7704_106965_000025_000001	They had two carpet bags and a box and a poll parrot in a cage.	They had two carpet bags and a box and a poll parrot in a cage.	true	269.21	272.8	28.753529
7704_106965_000025_000002	I counted them myself, for I was havin' a ride behind, and the woman she called Sol "Father," so the little 'un must be his grandarter!'	I counted them myself, for I was havin' a ride behind, and the woman she called Sol "Father," so the little 'un must be his grandarter!'	false	272.99	279.66	22.708405
7704_106965_000026_000000	'P'raps they've come from 'Mericky,' suggested a small urchin, capering round on his hands and feet.	'P'raps they've come from 'Mericky,' suggested a small urchin, capering round on his hands and feet.	false	279.66	286.57	24.463642
7704_106965_000026_000001	'Polls allays comes over the sea, you know.'	'Polls allays comes over the sea, you know.'	false	286.94	288.9	21.9832
7704_106965_000027_000000	[Illustration: TEDDY TELLS THE STORY OF HIS FATHER'S HEROIC DEATH.]	[Illustration: TEDDY TELLS THE STORY OF HIS FATHER'S HEROIC DEATH.]	false	288.9	291	10
7704_106965_000028_000000	'She didn't believe me,' murmured Teddy, chewing a wisp of grass meditatively.	'She didn't believe me,' murmured Teddy, chewing a wisp of grass meditatively.	true	291	296.17	26.181244
7704_106965_000029_000000	'Gals is no good, never!	'Gals is no good, never!	true	296.93	298.695	22.42112
7704_106965_000029_000001	If she'd been a boy you would 'a fought her, but I shouldn't care for naught like her, Ted.'	If she'd been a boy you would 'a fought her, but I shouldn't care for naught like her, Ted.'	false	298.695	302.5	22.106342
7704_106965_000030_000000	Teddy turned his face upwards to the speaker.	Teddy turned his face upwards to the speaker.	true	303.8	306.04	25.927168
7704_106965_000030_000001	'No, I couldn't have fought her, Sam, if she'd been a boy.	'No, I couldn't have fought her, Sam, if she'd been a boy.	true	306.86	310.065	24.24333
7704_106965_000030_000002	I've promised my mother I won't fight again till she gives me leave.	I've promised my mother I won't fight again till she gives me leave.	true	310.065	313.32	24.047401
7704_106965_000030_000003	You see, I fought four boys in one week last time, and she says she won't have it.	You see, I fought four boys in one week last time, and she says she won't have it.	true	313.32	317.71	23.418451
7704_106965_000030_000004	I don't see if it is right for soldiers to fight, why it isn't right for boys!'	I don't see if it is right for soldiers to fight, why it isn't right for boys!'	true	317.93	322.69	22.681595
7704_106965_000031_000000	'I don't think there's any fellers left for you to fight with, so you're pretty safe.	'I don't think there's any fellers left for you to fight with, so you're pretty safe.	true	323.15	326.64	20.63246
7704_106965_000031_000001	Besides, it was only Tom Larken, who set them on to try and get your button from you, and he's gone off to another part of the country now.'	Besides, it was only Tom Larken, who set them on to try and get your button from you, and he's gone off to another part of the country now.'	true	326.64	333.04	26.999378
7704_106965_000032_000000	'I think, p'raps,' went on Teddy slowly, as he turned over on his back and looked up at the clear blue sky above him, 'that I wasn't quite true about the bullets.	'I think, p'raps,' went on Teddy slowly, as he turned over on his back and looked up at the clear blue sky above him, 'that I wasn't quite true about the bullets.	false	334.91	344.08	26.855848
7704_106965_000032_000001	I think it was six bullets and three sword cuts.	I think it was six bullets and three sword cuts.	true	344.54	347.38	30.462029
7704_106965_000032_000002	I forget when I tell it how many it was; but she said she didn't believe a word!'	I forget when I tell it how many it was; but she said she didn't believe a word!'	true	347.81	352.75	27.44294
7704_106965_000033_000000	Five o'clock struck by the old church clock close by.	Five o'clock struck by the old church clock close by.	true	354.29	357.16	26.451183
7704_106965_000033_000001	Teddy was upon his feet in an instant, and with a wild whoop and shout he was scudding across the green, his curls flying in the wind, and his little feet hardly seeming to touch the ground.	Teddy was upon his feet in an instant, and with a wild whoop and shout he was scudding across the green, his curls flying in the wind, and his little feet hardly seeming to touch the ground.	true	357.47	366.61	23.021568
7704_106965_000033_000002	There was none in the village so quick-footed as Teddy, and for daring feats and downright pluck he held the foremost place.	There was none in the village so quick footed as Teddy, and for daring feats and downright pluck he held the foremost place.	true	367.01	373.42	24.310888
7704_106965_000033_000003	Perhaps this accounted for his popularity, perhaps it was his marvellous aptitude for telling stories, many of them wild productions from his fertile brain, but certain it was that he was the pet and the darling of the village, and none as yet had resisted his sway.	Perhaps this accounted for his popularity, perhaps it was his marvellous aptitude for telling stories, many of them wild productions from his fertile brain, but certain it was that he was the pet and the darling of the village, and none as yet had resisted his sway.	false	373.85	389.7	25.270138
7704_106965_000034_000000	Over the green, up a shady lane, across two fields, and then, breathless and panting, Teddy paused before an old-fashioned farmhouse.	Over the green, up a shady lane, across two fields, and then, breathless and panting, Teddy paused before an old-fashioned farmhouse.	false	389.7	397.6	25.398891
7704_106965_000034_000001	He passed his hands lightly through his curls, pulled himself up with a jerk, and then quietly and sedately opened a latched door and entered the long low-roofed kitchen.	He passed his hands lightly through his curls, pulled himself up with a jerk, and then quietly and sedately opened a latched door and entered the long low roofed kitchen.	false	398.06	407.11	27.164434
7704_106965_000035_000000	There was something very restful in the scene.	There was something very restful in the scene.	true	408.62	410.89	24.481146
7704_106965_000035_000001	A square substantial table covered with a white cloth, in the centre a large bowl of roses and honeysuckle: home-made bread and golden butter, a glass dish of honey in its comb, a plate of fresh watercress, and a currant loaf completed the simple fare.	A square substantial table covered with a white cloth, in the centre a large bowl of roses and honeysuckle: home-made bread and golden butter, a glass dish of honey in its comb, a plate of fresh watercress, and a currant loaf completed the simple fare.	false	411.14	425.92	26.150116
7704_106965_000035_000002	Presiding at the tea-tray was a stern, forbidding-looking woman of sixty or more, opposite her was seated her son, the master of the farm, a heavy-faced, sleepy-looking man; and at his side, facing the door, sat Teddy's mother.	Presiding at the tea tray was a stern, forbidding looking woman of sixty or more, opposite her was seated her son, the master of the farm, a heavy faced, sleepy looking man; and at his side, facing the door, sat Teddy's mother.	true	426.98	440.65	26.73703
7704_106965_000035_000003	A sweet gentle-faced young woman she was, with the same deep blue eyes as her little son; she bore no resemblance to the elder woman, and looked, as she indeed was, superior to her surroundings.	A sweet gentle faced young woman she was, with the same deep blue eyes as her little son; she bore no resemblance to the elder woman, and looked, as she indeed was, superior to her surroundings.	true	441.92	453.52	23.422571
7704_106965_000035_000004	Two years ago she had come with her child to make her home amongst her husband's people, and though at first her mother-in-law, Mrs. Platt, was inclined to look upon her contemptuously as a poor, delicate, useless creature, time proved to her that for steady, quiet work no one could eclipse her daughter-in-law.	Two years ago she had come with her child to make her home amongst her husband's people, and though at first her mother in law, mrs Platt, was inclined to look upon her contemptuously as a poor, delicate, useless creature, time proved to her that for steady, quiet work no one could eclipse her daughter in law.	true	454.34	471.1	25.099566
7704_106965_000035_000005	Young Mrs. John, as she was called, was now her right hand, and the dairy work of the farm was made over entirely to her.	Young mrs john, as she was called, was now her right hand, and the dairy work of the farm was made over entirely to her.	true	471.8	478.99	25.234001
7704_106965_000036_000000	'Late again, you young scamp!' was the stern greeting of his grandmother, as Teddy appeared on the scene.	'Late again, you young scamp!' was the stern greeting of his grandmother, as Teddy appeared on the scene.	true	481.43	486.67	23.902843
7704_106965_000037_000000	The boy looked at her with a twinkle in his eye, put his little hand to his forehead, and gave her a military salute.	The boy looked at her with a twinkle in his eye, put his little hand to his forehead, and gave her a military salute.	true	487.46	492.67	23.443224
7704_106965_000038_000000	'Sorry,' was all he said as he slipped into the chair that was waiting for him.	'Sorry,' was all he said as he slipped into the chair that was waiting for him.	true	493.19	497.41	24.872591
7704_106965_000039_000000	'What have you been doing, sonny?' asked the young mother, whose eyes had brightened at the sight of him.	'What have you been doing, sonny?' asked the young mother, whose eyes had brightened at the sight of him.	true	498.41	503.17	24.036156
7704_106965_000040_000000	'Telling father's story,' replied Teddy with alacrity.	'Telling father's story,' replied Teddy with alacrity.	true	503.78	507.1	23.762207
7704_106965_000041_000000	A shadow came over his mother's face, her lips took a distressed curve, but she said nothing, only occupied herself with attending to the child's wants.	A shadow came over his mother's face, her lips took a distressed curve, but she said nothing, only occupied herself with attending to the child's wants.	false	508.88	518.79	24.260643
7704_106965_000041_000001	'Your father was never late for his meals,' the grandmother put in with asperity.	'Your father was never late for his meals,' the grandmother put in with asperity.	true	518.79	522.85	24.59895
7704_106965_000042_000000	'Never, granny?	'Never, granny?	true	523.52	524.58	23.790615
7704_106965_000042_000001	Not when he was a boy?	Not when he was a boy?	true	524.58	526.03	23.383835
7704_106965_000042_000002	I shall be always in time when I'm a soldier.'	I shall be always in time when I'm a soldier.'	true	526.25	528.7	23.31761
7704_106965_000043_000000	'Better begin now, then; bad habits, like weeds, grow apace!'	'Better begin now, then; bad habits, like weeds, grow apace!'	true	529.85	534.1	25.288141
7704_106965_000044_000000	Teddy had no answer for this; his mouth was full of bread and butter, and he did not speak till the meal was over.	Teddy had no answer for this; his mouth was full of bread and butter, and he did not speak till the meal was over.	false	535.31	541.36	24.070744
7704_106965_000044_000001	Then, whilst tea was being taken away by the women, he turned to his uncle, who, pulling out a pipe from his pocket, sat down by the open door to smoke.	Then, whilst tea was being taken away by the women, he turned to his uncle, who, pulling out a pipe from his pocket, sat down by the open door to smoke.	true	541.94	551.44	24.99289
7704_106965_000045_000000	'Uncle Jake!'	'Uncle Jake!'	true	551.69	552.79	30.871496
7704_106965_000046_000000	A grunt was the only response; but that was sufficient.	A grunt was the only response; but that was sufficient.	true	553.94	556.75	24.511305
7704_106965_000046_000001	The two perfectly understood each other, and a minute after Teddy was perched on his knee.	The two perfectly understood each other, and a minute after Teddy was perched on his knee.	true	556.94	561.97	25.662983
7704_106965_000047_000000	'I'm wondering if I can't get an enemy!' the boy proceeded, folding his small arms and looking up at his uncle steadily; 'all good people had enemies in the Bible, and I haven't one, I should like to have a good right down enemy!'	'I'm wondering if I can't get an enemy!' the boy proceeded, folding his small arms and looking up at his uncle steadily; 'all good people had enemies in the Bible, and I haven't one, I should like to have a good right down enemy!'	true	563.45	575.98	25.598295
7704_106965_000048_000000	'To fight?' asked his uncle.	'To fight?' asked his uncle.	true	577.28	579.4	27.579311
7704_106965_000049_000000	'To carry on with, you know; he would lay traps for me, and I would for him, like David and Saul; we should have a fine time of it.	'To carry on with, you know; he would lay traps for me, and I would for him, like David and Saul; we should have a fine time of it.	true	580.01	586.83	24.309172
7704_106965_000049_000001	And then perhaps, if he did something dreadfully wrong, mother would give me leave to fight him, just once in a way.	And then perhaps, if he did something dreadfully wrong, mother would give me leave to fight him, just once in a way.	false	586.83	592.45	25.435574
7704_106965_000049_000002	Don't you think that would be nice?'	Don't you think that would be nice?'	true	592.67	594.13	24.744534
7704_106965_000050_000000	'Fightin' ain't the only grand thing in this world; peace is grander,' was the slow response to this appeal.	'Fightin' ain't the only grand thing in this world; peace is grander,' was the slow response to this appeal.	true	595.76	602.35	25.540672
7704_106965_000051_000000	'That's what mother says.	'That's what mother says.	true	603.2	604.53	26.800587
7704_106965_000051_000001	She made me learn this morning--"Blessed are the peacemakers!" but you must have an enemy to make peace with, and I haven't got one.'	She made me learn this morning-"Blessed are the peacemakers!" but you must have an enemy to make peace with, and I haven't got one.'	true	604.53	611.92	24.508677
7704_106965_000052_000000	There was silence; the uncle puffed away at his pipe; he was a good man, and had more brains than his appearance warranted, but Teddy's speeches were often a sore puzzle to him.	There was silence; the uncle puffed away at his pipe; he was a good man, and had more brains than his appearance warranted, but Teddy's speeches were often a sore puzzle to him.	true	613.49	623.71	23.402866
7704_106965_000052_000001	The boy continued in a slow, thoughtful tone, 'I saw some one to-day that I feel might be an enemy, but she's a girl; men don't fight with women.'	The boy continued in a slow, thoughtful tone, 'I saw some one to day that I feel might be an enemy, but she's a girl; men don't fight with women.'	true	624.47	633.28	25.553421
7704_106965_000053_000000	'I'd rather tackle a man than a woman any day.	'I'd rather tackle a man than a woman any day.	true	635	637.66	26
7704_106965_000053_000001	They be a powerful enemy sometimes, lad!	They be a powerful enemy sometimes, lad!	true	637.7	640.3	23.53149
7704_106965_000053_000002	And what have this young maid done to you?'	And what have this young maid done to you?'	true	640.52	642.64	20.495108
7704_106965_000054_000000	'She said,'--and Teddy's eyes grew bright whilst the blood rushed into his cheeks--'she said she didn't believe a word of father's story--not a word of it!	'She said,'--and Teddy's eyes grew bright whilst the blood rushed into his cheeks-'she said she didn't believe a word of father's story-not a word of it!	false	643.49	652.065	24.318573
7704_106965_000054_000001	And she laughed, and walked away.'	And she laughed, and walked away.'	true	652.065	654.07	26.368202
7704_106965_000055_000000	'That was coming it strong; and who is she, to talk so?'	'That was coming it strong; and who is she, to talk so?'	true	656.12	659.5	24.920267
7704_106965_000056_000000	'She's a stranger; Sam said she's come to live with old Sol at the turnpike.'	'She's a stranger; Sam said she's come to live with old Sol at the turnpike.'	true	660.62	664.84	23.03622
7704_106965_000057_000000	'That must be Grace's child,' said old Mrs. Platt, coming up and joining in the conversation.	'That must be Grace's child,' said old mrs Platt, coming up and joining in the conversation.	true	666.02	671.77	26.255312
7704_106965_000057_000001	'I heard she was coming to stay with her father this summer, and glad I am of it too--the old man is very lonely.	'I heard she was coming to stay with her father this summer, and glad I am of it too-the old man is very lonely.	false	672.11	678.16	21.714832
7704_106965_000057_000002	I suppose her husband is at sea again.'	I suppose her husband is at sea again.'	true	678.23	680.35	27.603376
7704_106965_000058_000000	'What is her husband?' inquired Teddy's mother, as with work in hand she came out and took a seat in the old-fashioned porch.	'What is her husband?' inquired Teddy's mother, as with work in hand she came out and took a seat in the old-fashioned porch.	true	682.43	689.11	25.865313
7704_106965_000059_000000	'A sailor.	'A sailor.	true	689.87	690.945	26.452118
7704_106965_000059_000001	Grace was always a roving nature herself.	Grace was always a roving nature herself.	true	690.945	693.54	24.417358
7704_106965_000059_000002	She never would settle down quiet and take a husband from these parts.	She never would settle down quiet and take a husband from these parts.	false	693.54	697.12	28.427763
7704_106965_000059_000003	She was maid to our squire's lady then, and went to foreign parts with her; but folks say she's steadied down now wonderful.	She was maid to our squire's lady then, and went to foreign parts with her; but folks say she's steadied down now wonderful.	true	697.37	704.38	24.417555
7704_106965_000059_000004	They've been living at Portsmouth, she and her little girl.'	They've been living at Portsmouth, she and her little girl.'	false	704.45	715.47	22.827612
