4427_41933_000000_000000	The simpleton took her straight to the owner of the horse, who was enchanted with her.	The simpleton took her straight to the owner of the horse, who was enchanted with her.	false	0	3.48	19.042559
4427_41933_000011_000001	The king was greatly beloved by his people, and crowds lined the roads, shouting and waving their hats as the procession passed along.	The king was greatly beloved by his people, and crowds lined the roads, shouting and waving their hats as the procession passed along.	false	204.17	212.77	22.691795
4427_41933_000011_000002	On the steps of the palace stood the queen, with a splendid golden cushion in her arms, and on the cushion the most beautiful boy that ever was seen, wrapped about in a cloud of lace.	On the steps of the palace stood the queen, with a splendid golden cushion in her arms, and on the cushion the most beautiful boy that ever was seen, wrapped about in a cloud of lace.	true	213.26	225.22	22.846104
4427_41933_000011_000003	In a moment Kostiei's words rushed into the king's mind, and he began to weep bitterly, to the surprise of everybody, who had expected him nearly to die of joy at the sight of his son.	In a moment Kostiei's words rushed into the king's mind, and he began to weep bitterly, to the surprise of everybody, who had expected him nearly to die of joy at the sight of his son.	false	225.71	237.55	22.084621
4427_41933_000011_000004	But try as he would and work as hard as he might he could never forget his promise, and every time he let the baby out of his sight he thought that he had seen it for the last time.	But try as he would and work as hard as he might he could never forget his promise, and every time he let the baby out of his sight he thought that he had seen it for the last time.	true	237.95	249.01	23.931158
4427_41933_000012_000000	However, years passed on and the prince grew first into a big boy, and then into a fine young man.	However, years passed on and the prince grew first into a big boy, and then into a fine young man.	false	249.86	257.22	20.745878
4427_41933_000012_000001	Kostiei made no sign, and gradually even the anxious king thought less and less about him, and in the end forgot him altogether.	Kostiei made no sign, and gradually even the anxious king thought less and less about him, and in the end forgot him altogether.	false	257.22	265.81	20.409418
4427_41933_000013_000000	There was no family in the whole kingdom happier than the king and queen and prince, until one day when the youth met a little old man as he was hunting in a lonely part of the woods.	There was no family in the whole kingdom happier than the king and queen and prince, until one day when the youth met a little old man as he was hunting in a lonely part of the woods.	true	266.72	277.78	17
4427_41933_000013_000001	'How are you my unlooked-for Prince?' he said.	'How are you my unlooked for Prince?' he said.	true	278.39	281.47	25
4427_41933_000013_000002	'You kept them waiting a good long time!'	'You kept them waiting a good long time!'	true	281.66	284.08	23.191952
4427_41933_000014_000000	'And who are you?' asked the prince.	'And who are you?' asked the prince.	true	284.6	286.57	20.943441
4427_41933_000015_000000	'You will know soon enough.	'You will know soon enough.	true	286.88	288.7	19.528044
4427_41933_000015_000001	When you go home give my compliments to your father and tell him that I wish he would square accounts with me.	When you go home give my compliments to your father and tell him that I wish he would square accounts with me.	true	288.86	294.76	21.182426
4427_41933_000015_000002	If he neglects to pay his debts he will bitterly repent it.'	If he neglects to pay his debts he will bitterly repent it.'	true	295.01	298.93	25.642221
4427_41933_000016_000000	So saying the old man disappeared, and the prince returned to the palace and told his father what had happened.	So saying the old man disappeared, and the prince returned to the palace and told his father what had happened.	true	299.75	306.73	23.444962
4427_41933_000017_000000	The king turned pale and explained to his son the terrible story.	The king turned pale and explained to his son the terrible story.	true	308.03	312.13	21
4427_41933_000018_000000	'Do not grieve over it, father,' answered the prince.	'Do not grieve over it, father,' answered the prince.	true	312.62	315.58	25.135626
4427_41933_000018_000001	'It is nothing so dreadful after all!	'It is nothing so dreadful after all!	true	315.8	318.25	22.680624
4427_41933_000018_000002	I will find some way to force Kostiei to give up his rights over me.	I will find some way to force Kostiei to give up his rights over me.	false	318.38	322.24	19
4427_41933_000018_000003	But if I do not come back in a year's time, you must give up all hopes of ever seeing me.'	But if I do not come back in a year's time, you must give up all hopes of ever seeing me.'	true	322.52	327.79	24
4427_41933_000019_000000	Then the prince began to prepare for his journey.	Then the prince began to prepare for his journey.	true	328.94	331.6	26.173807
4427_41933_000019_000001	His father gave him a complete suit of steel armour, a sword, and a horse, while his mother hung round his neck a cross of gold.	His father gave him a complete suit of steel armour, a sword, and a horse, while his mother hung round his neck a cross of gold.	true	331.79	340.39	21.461788
4427_41933_000019_000002	So, kissing him tenderly, with many tears they let him go.	So, kissing him tenderly, with many tears they let him go.	true	340.64	345.43	25.081095
4427_41933_000020_000000	He rode steadily on for three days, and at sunset on the fourth day he found himself on the seashore.	He rode steadily on for three days, and at sunset on the fourth day he found himself on the seashore.	true	346.73	353.41	22.43136
4427_41933_000020_000001	On the sand before him lay twelve white dresses, dazzling as the snow, yet as far as his eyes could reach there was no one in sight to whom they could belong.	On the sand before him lay twelve white dresses, dazzling as the snow, yet as far as his eyes could reach there was no one in sight to whom they could belong.	true	354.02	363.67	21.854729
4427_41933_000020_000002	Curious to see what would happen, he took up one of the garments, and leaving his horse loose, to wander about the adjoining fields, he hid himself among some willows and waited.	Curious to see what would happen, he took up one of the garments, and leaving his horse loose, to wander about the adjoining fields, he hid himself among some willows and waited.	true	364.25	374.83	21.297298
4427_41933_000020_000003	In a few minutes a flock of geese which had been paddling about in the sea approached the shore, and put on the dresses, struck the sand with their feet and were transformed in the twinkling of an eye into eleven beautiful young girls, who flew away as fast as they could.	In a few minutes a flock of geese which had been paddling about in the sea approached the shore, and put on the dresses, struck the sand with their feet and were transformed in the twinkling of an eye into eleven beautiful young girls, who flew away as fast as they could.	true	375.44	392.2	23.063778
4427_41933_000020_000004	The twelfth and youngest remained in the water, stretching out her long white neck and looking about her anxiously.	The twelfth and youngest remained in the water, stretching out her long white neck and looking about her anxiously.	true	392.87	400.03	17
4427_41933_000020_000005	Suddenly, among the willows, she perceived the king's son, and called out to him with a human voice:	Suddenly, among the willows, she perceived the king's son, and called out to him with a human voice:	true	400.91	407.14	19
4427_41933_000021_000000	'Oh Prince, give me back my dress, and I shall be for ever grateful to you.'	'Oh Prince, give me back my dress, and I shall be for ever grateful to you.'	true	407.42	411.97	21.613409
4427_41933_000022_000000	The prince hastened to lay the dress on the sand, and walked away.	The prince hastened to lay the dress on the sand, and walked away.	true	412.82	416.5	19.721853
4427_41933_000022_000001	When the maiden had thrown off the goose-skin and quickly put on her proper clothes, she came towards him and he saw that none had ever seen or told of such beauty as hers.	When the maiden had thrown off the goose skin and quickly put on her proper clothes, she came towards him and he saw that none had ever seen or told of such beauty as hers.	false	416.99	427.87	23
4427_41933_000022_000002	She blushed and held out her hand, saying to him in a soft voice:	She blushed and held out her hand, saying to him in a soft voice:	true	428.36	432.55	17
4427_41933_000023_000000	'I thank you, noble Prince, for having granted my request.	'I thank you, noble Prince, for having granted my request.	true	433.1	436.81	24
4427_41933_000023_000001	I am the youngest daughter of Kostiei the immortal, who has twelve daughters and rules over the kingdoms under the earth.	I am the youngest daughter of Kostiei the immortal, who has twelve daughters and rules over the kingdoms under the earth.	true	437.27	444.28	21
4427_41933_000023_000002	Long time my father has waited for you, and great is his anger.	Long time my father has waited for you, and great is his anger.	true	444.92	449.44	22.744566
4427_41933_000023_000003	But trouble not yourself and fear nothing, only do as I bid you.	But trouble not yourself and fear nothing, only do as I bid you.	true	449.57	454.09	22.05646
4427_41933_000023_000004	When you see the King Kostiei, fall straightway upon your knees and heed neither his threats nor his cry, but draw near to him boldly.	When you see the King Kostiei, fall straightway upon your knees and heed neither his threats nor his cry, but draw near to him boldly.	false	454.52	463.42	21.31523
4427_41933_000023_000005	That which will happen after, you will know in time.	That which will happen after, you will know in time.	true	463.73	466.84	24
4427_41933_000023_000006	Now let us go.'	Now let us go.'	true	467.06	468.58	20.297369
4427_41933_000024_000000	At these words she struck the ground with her foot and a gulf opened, down which they went right into the heart of the earth.	At these words she struck the ground with her foot and a gulf opened, down which they went right into the heart of the earth.	true	469.64	476.29	22.711136
4427_41933_000024_000001	In a short time they reached Kostiei's palace, which gives light, with a light brighter than the sun, to the dark kingdoms below.	In a short time they reached Kostiei's palace, which gives light, with a light brighter than the sun, to the dark kingdoms below.	false	476.57	485.08	21.266115
4427_41933_000024_000002	And the prince, as he had been bidden, entered boldly into the hall.	And the prince, as he had been bidden, entered boldly into the hall.	true	485.48	489.75	26.3934
4427_41933_000025_000000	Kostiei, with a shining crown upon his head, sat in the centre upon a golden throne.	Kostiei, with a shining crown upon his head, sat in the centre upon a golden throne.	false	489.75	496.48	24.14858
4427_41933_000025_000001	His green eyes glittered like glass, his hands were as the claws of a crab.	His green eyes glittered like glass, his hands were as the claws of a crab.	true	496.7	502.54	22.710121
4427_41933_000025_000002	When he caught sight of the prince he uttered piercing yells, which shook the walls of the palace.	When he caught sight of the prince he uttered piercing yells, which shook the walls of the palace.	true	502.73	507.97	23.439867
4427_41933_000025_000003	The prince took no notice, but continued his advance on his knees towards the throne.	The prince took no notice, but continued his advance on his knees towards the throne.	true	508.34	513.82	19.448761
4427_41933_000025_000004	When he had almost reached it, the king broke out into a laugh and said:	When he had almost reached it, the king broke out into a laugh and said:	true	514.1	518.26	21.705107
4427_41933_000026_000000	'It has been very lucky for you that you have been able to make me laugh.	'It has been very lucky for you that you have been able to make me laugh.	true	519.02	523.03	22.948719
4427_41933_000026_000001	Stay with us in our underground empire, only first you will have to do three things.	Stay with us in our underground empire, only first you will have to do three things.	true	523.19	528.61	24.513895
4427_41933_000026_000002	To-night it is late.	To night it is late.	true	528.92	530.38	18.856285
4427_41933_000026_000003	Go to sleep; to-morrow I will tell you.'	Go to sleep; to morrow I will tell you.'	true	530.48	533.11	23.563753
4427_41933_000027_000000	Early the following morning the prince received a message that Kostiei was ready to see him.	Early the following morning the prince received a message that Kostiei was ready to see him.	false	534.14	539.29	19.171516
4427_41933_000027_000001	He got up and dressed, and hastened to the presence chamber, where the little king was seated on his throne.	He got up and dressed, and hastened to the presence chamber, where the little king was seated on his throne.	true	539.45	545.71	22.821768
4427_41933_000027_000002	When the prince appeared, bowing low before him, Kostiei began:	When the prince appeared, bowing low before him, Kostiei began:	false	546.05	550.87	22.282724
4427_41933_000028_000000	'Now, Prince, this is what you have to do.	'Now, Prince, this is what you have to do.	true	551.66	554.41	22.88721
4427_41933_000028_000001	By to-night you must build me a marble palace, with windows of crystal and a roof of gold.	By to night you must build me a marble palace, with windows of crystal and a roof of gold.	true	554.6	560.77	24.649729
4427_41933_000028_000002	It is to stand in the middle of a great park, full of streams and lakes.	It is to stand in the middle of a great park, full of streams and lakes.	true	560.99	565.54	23.94347
4427_41933_000028_000003	If you are able to build it you shall be my friend.	If you are able to build it you shall be my friend.	true	565.79	569.115	20.815424
4427_41933_000028_000004	If not, off with your head.'	If not, off with your head.'	true	569.115	571.63	23.210606
4427_41933_000029_000000	The prince listened in silence to this startling speech, and then returning to his room set himself to think about the certain death that awaited him.	The prince listened in silence to this startling speech, and then returning to his room set himself to think about the certain death that awaited him.	true	572.69	581.77	25.142645
4427_41933_000029_000001	He was quite absorbed in these thoughts, when suddenly a bee flew against the window and tapped, saying, 'Let me come in.' He rose and opened the window, and there stood before him the youngest princess.	He was quite absorbed in these thoughts, when suddenly a bee flew against the window and tapped, saying, 'Let me come in.' He rose and opened the window, and there stood before him the youngest princess.	true	582.02	595	23.274752
4427_41933_000030_000000	'What are you dreaming about, Prince?'	'What are you dreaming about, Prince?'	true	595.61	597.67	26.53277
4427_41933_000031_000000	'I was dreaming of your father, who has planned my death.'	'I was dreaming of your father, who has planned my death.'	true	598.28	601.87	24.812248
4427_41933_000032_000000	'Fear nothing.	'Fear nothing.	true	602.39	603.585	24.950361
4427_41933_000032_000001	You may sleep in peace, and to-morrow morning when you awake you will find the palace all ready.'	You may sleep in peace, and to morrow morning when you awake you will find the palace all ready.'	true	603.585	609.55	23.209126
4427_41933_000033_000000	What she said, she did.	What she said, she did.	true	610.73	612.7	21.668083
4427_41933_000033_000001	The next morning when the prince left his room he saw before him a palace more beautiful than his fancy had ever pictured.	The next morning when the prince left his room he saw before him a palace more beautiful than his fancy had ever pictured.	false	613.01	621	23.601145
4427_41933_000033_000002	Kostiei for his part could hardly believe his eyes, and pondered deeply how it had got there.	Kostiei for his part could hardly believe his eyes, and pondered deeply how it had got there.	false	621	626.95	25.194231
4427_41933_000034_000000	'Well, this time you have certainly won; but you are not going to be let off so easily.	'Well, this time you have certainly won; but you are not going to be let off so easily.	true	627.53	632.62	18.865273
4427_41933_000034_000001	To-morrow all my twelve daughters shall stand in a row before you, and if you cannot tell me which of them is the youngest, off goes your head.'	To morrow all my twelve daughters shall stand in a row before you, and if you cannot tell me which of them is the youngest, off goes your head.'	true	632.96	641.14	23.64113
4427_41933_000035_000000	'What!	'What!	true	641.39	642.12	23.4291
4427_41933_000035_000001	Not recognise the youngest princess!' said the Prince to himself, as he entered his room, 'a likely story!'	Not recognise the youngest princess!' said the Prince to himself, as he entered his room, 'a likely story!'	true	642.12	648.4	22
4427_41933_000036_000000	'It is such a difficult matter that you will never be able to do it without my help,' replied the bee, who was buzzing about the ceiling. 'We are all so exactly alike, that even our father scarcely knows the difference between us.'	'It is such a difficult matter that you will never be able to do it without my help,' replied the bee, who was buzzing about the ceiling. 'We are all so exactly alike, that even our father scarcely knows the difference between us.'	false	649.19	662.17	23.37767
4427_41933_000037_000000	'Then what must I do?'	'Then what must I do?'	true	662.81	664.51	25.297638
4427_41933_000038_000000	'This.	'This.	true	664.91	665.74	25.084316
4427_41933_000038_000001	The youngest is she who will have a ladybird on her eyelid.	The youngest is she who will have a ladybird on her eyelid.	true	666.02	669.64	19.972178
4427_41933_000038_000002	Be very careful.	Be very careful.	true	669.86	671.38	26.729198
4427_41933_000038_000003	Now good-bye.'	Now good bye.'	true	671.69	672.94	22.868685
4427_41933_000039_000000	Next morning King Kostiei again sent for the prince.	Next morning King Kostiei again sent for the prince.	true	673.73	677.17	24.757624
4427_41933_000039_000001	The young princesses were all drawn up in a row, dressed precisely in the same manner, and with their eyes all cast down.	The young princesses were all drawn up in a row, dressed precisely in the same manner, and with their eyes all cast down.	true	677.6	685.12	22.036177
4427_41933_000039_000002	As the prince looked at them, he was amazed at their likeness.	As the prince looked at them, he was amazed at their likeness.	true	685.73	689.44	22.214518
4427_41933_000039_000003	Twice he walked along the line, without being able to detect the sign agreed upon.	Twice he walked along the line, without being able to detect the sign agreed upon.	true	689.81	695.29	22.957266
4427_41933_000039_000004	The third time his heart beat fast at the sight of a tiny speck upon the eyelid of one of the girls.	The third time his heart beat fast at the sight of a tiny speck upon the eyelid of one of the girls.	true	695.75	701.86	22
4427_41933_000040_000000	'This one is the youngest,' he said.	'This one is the youngest,' he said.	true	702.26	704.32	24.333988
4427_41933_000041_000000	'How in the world did you guess?' cried Kostiei in a fury.	'How in the world did you guess?' cried Kostiei in a fury.	true	704.6	708.22	22.452887
4427_41933_000041_000001	'There is some jugglery about it!	'There is some jugglery about it!	false	708.59	711.15	22.11415
4427_41933_000041_000002	But you are not going to escape me so easily. In three hours you shall come here and give me another proof of your cleverness.	But you are not going to escape me so easily. In three hours you shall come here and give me another proof of your cleverness.	true	711.15	717.88	22.173237
4427_41933_000041_000003	I shall set alight a handful of straw, and before it is burnt up you will have turned it into a pair of boots.	I shall set alight a handful of straw, and before it is burnt up you will have turned it into a pair of boots.	false	718.73	724.72	22
4427_41933_000041_000004	If not, off goes your head.'	If not, off goes your head.'	true	724.76	727.18	24.44027
4427_41933_000042_000000	So the prince returned sadly into his room, but the bee was there before him.	So the prince returned sadly into his room, but the bee was there before him.	true	728.15	733.09	22.594166
4427_41933_000043_000000	'Why do you look so melancholy, my handsome Prince?'	'Why do you look so melancholy, my handsome Prince?'	true	733.55	736.57	23
4427_41933_000044_000000	'How can I help looking melancholy when your father has ordered me to make him a pair of boots?	'How can I help looking melancholy when your father has ordered me to make him a pair of boots?	true	737.33	742.63	18
4427_41933_000044_000001	Does he take me for a shoemaker?'	Does he take me for a shoemaker?'	true	742.76	744.82	23.922316
4427_41933_000045_000000	'What do you think of doing?'	'What do you think of doing?'	true	745.76	747.37	21.351826
4427_41933_000046_000000	'Not of making boots, at any rate!	'Not of making boots, at any rate!	true	747.56	749.85	21.701468
4427_41933_000046_000001	I am not afraid of death.	I am not afraid of death.	true	749.85	751.66	24.330194
4427_41933_000046_000002	One can only die once after all.'	One can only die once after all.'	true	751.79	754.24	21.862759
4427_41933_000047_000000	'No, Prince, you shall not die.	'No, Prince, you shall not die.	true	755.09	757.3	26.265776
4427_41933_000047_000001	I will try to save you.	I will try to save you.	true	757.31	758.86	24.879162
4427_41933_000047_000002	And we will fly together or die together.'	And we will fly together or die together.'	true	759.02	762.1	25.74021
4427_41933_000048_000000	As she spoke she spat upon the ground, and then drawing the prince after her out of the room, she locked the door behind her and threw away the key.	As she spoke she spat upon the ground, and then drawing the prince after her out of the room, she locked the door behind her and threw away the key.	true	762.92	771.82	23.750391
4427_41933_000048_000001	Holding each other tight by the hand, they made their way up into the sunlight, and found themselves by the side of the same sea, while the prince's horse was still quietly feeding in the neighbouring meadow. The moment he saw his master, the horse whinnied and galloped towards him.	Holding each other tight by the hand, they made their way up into the sunlight, and found themselves by the side of the same sea, while the prince's horse was still quietly feeding in the neighbouring meadow. The moment he saw his master, the horse whinnied and galloped towards him.	true	772.19	788.86	21.996843
4427_41933_000048_000002	Without losing an instant the prince sprang into the saddle, swung the princess behind him, and away they went like an arrow from a bow.	Without losing an instant the prince sprang into the saddle, swung the princess behind him, and away they went like an arrow from a bow.	true	789.38	797.74	22.630293
4427_41933_000049_000000	When the hour arrived which Kostiei had fixed for the prince's last trial, and there were no signs of him, the king sent to his room to ask why he delayed so long.	When the hour arrived which Kostiei had fixed for the prince's last trial, and there were no signs of him, the king sent to his room to ask why he delayed so long.	true	798.08	808.18	20.72875
4427_41933_000049_000001	The servants, finding the door locked, knocked loudly and received for answer, 'In one moment.' It was the spittle, which was imitating the voice of the prince.	The servants, finding the door locked, knocked loudly and received for answer, 'In one moment.' It was the spittle, which was imitating the voice of the prince.	true	808.49	819.22	25.49976
4427_41933_000050_000000	The answer was taken back to Kostiei.	The answer was taken back to Kostiei.	false	820.07	822.75	22.497957
4427_41933_000050_000001	He waited; still no prince.	He waited; still no prince.	true	822.75	825.58	25.446716
4427_41933_000050_000002	He sent the servants back again, and the same voice replied, 'Immediately.'	He sent the servants back again, and the same voice replied, 'Immediately.'	true	826.13	831.4	26.126797
4427_41933_000051_000000	'He is making fun of me!' shrieked Kostiei in a rage.	'He is making fun of me!' shrieked Kostiei in a rage.	true	832.13	835.39	22.953989
4427_41933_000051_000001	'Break in the door, and bring him to me!'	'Break in the door, and bring him to me!'	true	835.49	837.7	21.60545
4427_41933_000052_000000	The servants hurried to do his bidding.	The servants hurried to do his bidding.	true	838.58	840.85	22.860779
4427_41933_000052_000001	The door was broken open.	The door was broken open.	true	841.1	842.8	24.529142
4427_41933_000052_000002	Nobody inside; but just the spittle in fits of laughter!	Nobody inside; but just the spittle in fits of laughter!	true	843.08	846.45	21.606947
4427_41933_000052_000003	Kostiei was beside himself with rage, and commanded his guards to ride after the fugitives. If the guards returned without the fugitives, their heads should pay for it.	Kostiei was beside himself with rage, and commanded his guards to ride after the fugitives. If the guards returned without the fugitives, their heads should pay for it.	false	846.45	856.9	21.475357
4427_41933_000053_000000	By this time the prince and princess had got a good start, and were feeling quite happy, when suddenly they heard the sound of a gallop far behind them.	By this time the prince and princess had got a good start, and were feeling quite happy, when suddenly they heard the sound of a gallop far behind them.	true	857.6	866.83	22.28211
4427_41933_000053_000001	The prince sprang from the saddle, and laid his ear to the ground.	The prince sprang from the saddle, and laid his ear to the ground.	true	867.11	870.7	23.633026
4427_41933_000054_000000	'They are pursuing us,' he said.	'They are pursuing us,' he said.	true	871.25	873.67	18.86385
4427_41933_000055_000000	'Then there is no time to be lost,' answered the princess; and as she spoke she changed herself into a river, the prince into a bridge, the horse into a crow, and divided the wide road beyond the bridge into three little ones.	'Then there is no time to be lost,' answered the princess; and as she spoke she changed herself into a river, the prince into a bridge, the horse into a crow, and divided the wide road beyond the bridge into three little ones.	true	874.07	887.68	23.304335
4427_41933_000055_000001	When the soldiers came up to the bridge, they paused uncertainly.	When the soldiers came up to the bridge, they paused uncertainly.	true	887.96	891.91	22.58586
4427_41933_000055_000002	How were they to know which of the three roads the fugitives had taken?	How were they to know which of the three roads the fugitives had taken?	true	892.28	895.96	23
4427_41933_000055_000003	They gave it up in despair and returned in trembling to Kostiei.	They gave it up in despair and returned in trembling to Kostiei.	false	896.3	900.09	24.272184
4427_41933_000056_000000	'Idiots!' he exclaimed, in a passion.	'Idiots!' he exclaimed, in a passion.	true	900.09	902.47	23.363262
4427_41933_000056_000001	'They were the bridge and the river, of course!	'They were the bridge and the river, of course!	false	902.93	905.41	22.725136
4427_41933_000056_000002	Do you mean to say you never thought of that?	Do you mean to say you never thought of that?	true	905.57	907.87	21.321842
4427_41933_000056_000003	Go back at once!' and off they galloped like lightning.	Go back at once!' and off they galloped like lightning.	true	908.15	912.16	24.78871
4427_41933_000057_000000	But time had been lost, and the prince and princess were far on their way.	But time had been lost, and the prince and princess were far on their way.	false	912.65	917.5	21.50013
4427_41933_000058_000000	'I hear a horse,' cried the princess.	'I hear a horse,' cried the princess.	true	918.2	920.47	22.86037
4427_41933_000059_000000	The prince jumped down and laid his ear to the ground.	The prince jumped down and laid his ear to the ground.	true	920.81	923.41	22.580275
4427_41933_000060_000000	'Yes,' he said, 'they are not far off now.'	'Yes,' he said, 'they are not far off now.'	true	923.42	926.89	25.224415
4427_41933_000061_000000	In an instant prince, princess, and horse had all disappeared, and instead was a dense forest, crossed and recrossed by countless paths. Kostiei's soldiers dashed hastily into the forest, believing they saw before them the flying horse with its double burden.	In an instant prince, princess, and horse had all disappeared, and instead was a dense forest, crossed and recrossed by countless paths. Kostiei's soldiers dashed hastily into the forest, believing they saw before them the flying horse with its double burden.	true	927.5	945.4	21.379116
4427_41933_000061_000001	They seemed close upon them, when suddenly horse, wood, everything disappeared, and they found themselves at the place where they started.	They seemed close upon them, when suddenly horse, wood, everything disappeared, and they found themselves at the place where they started.	true	946.49	954.85	24.451077
4427_41933_000061_000002	There was nothing for it but to return to Kostiei, and tell him of this fresh disaster.	There was nothing for it but to return to Kostiei, and tell him of this fresh disaster.	false	955.22	959.83	23.388584
4427_41933_000062_000000	'A horse! a horse!' cried the king.	'A horse! a horse!' cried the king.	true	960.05	962.4	20.287163
4427_41933_000062_000001	'I will go after them myself.	'I will go after them myself.	true	962.4	964.35	21.70988
4427_41933_000062_000002	This time they shall not escape.' And he galloped off, foaming with anger.	This time they shall not escape.' And he galloped off, foaming with anger.	true	964.35	969.04	23.322433
4427_41933_000063_000000	'I think I hear someone pursuing us,' said the princess	'I think I hear someone pursuing us,' said the princess	true	969.41	972.61	20.71448
4427_41933_000064_000000	'Yes, so do I.'	'Yes, so do i'	true	972.74	974.32	20.347795
4427_41933_000065_000000	'And this time it is Kostiei himself.	'And this time it is Kostiei himself.	true	974.66	977.16	22.392965
4427_41933_000065_000001	But his power only reaches as far as the first church, and he can go no farther.	But his power only reaches as far as the first church, and he can go no farther.	true	977.16	981.7	24.501825
