6904_262305_000000_000000	CHAPTER XL.	CHAPTER forty.
6904_262305_000029_000007	He has wrote no note; he has been too suffering the last few hours to think of notes, or of you either.	He has wrote no note; he has been too suffering the last few hours to think of notes, or of you either.
6904_262305_000030_000000	"I shall be drove one," sobbed Ketch.	"I shall be drove one," sobbed Ketch.
6904_262305_000030_000001	"I was promised a treat of--"	"I was promised a treat of-"
6904_262305_000031_000001	There!	There!
6904_262305_000031_000002	Take yourself off.	Take yourself off.
6904_262305_000031_000003	My goodness, me! disturbing my house with such a crazy errand!" And, taking old Ketch by the shoulders, who was rather feeble and tottering, from lumbago and age, Mrs. Jenkins politely marshalled him outside, and closed the door upon him.	My goodness, me! disturbing my house with such a crazy errand!" And, taking old Ketch by the shoulders, who was rather feeble and tottering, from lumbago and age, mrs Jenkins politely marshalled him outside, and closed the door upon him.
6904_262305_000032_000000	"Insolent old fellow!" she exclaimed to her husband, to whom she went at once and related the occurrence.	"Insolent old fellow!" she exclaimed to her husband, to whom she went at once and related the occurrence.
6904_262305_000032_000001	"I wonder what he'll pretend he has next from you?	"I wonder what he'll pretend he has next from you?
6904_262305_000032_000002	A note of invitation, indeed!"	A note of invitation, indeed!"
6904_262305_000033_000000	"My dear," said Jenkins, revolving the news, and speaking as well as his chest would allow him, "it must have been a trick played him by the young college gentlemen.	"My dear," said Jenkins, revolving the news, and speaking as well as his chest would allow him, "it must have been a trick played him by the young college gentlemen.
6904_262305_000033_000001	We should not be too hard upon the poor old man.	We should not be too hard upon the poor old man.
6904_262305_000033_000002	He's not very agreeable or good-tempered, I'm afraid it must be allowed; but--I'd not have sent him away without a bit of supper, my dear."	He's not very agreeable or good tempered, I'm afraid it must be allowed; but-I'd not have sent him away without a bit of supper, my dear."
6904_262305_000034_000000	"I dare say you'd not," retorted Mrs. Jenkins.	"I dare say you'd not," retorted mrs Jenkins.
6904_262305_000034_000001	"All the world knows you are soft enough for anything.	"All the world knows you are soft enough for anything.
6904_262305_000034_000002	I have sent him away with a flea in his ear; that's what I have done."	I have sent him away with a flea in his ear; that's what I have done."
6904_262305_000035_000000	Mr. Ketch had at length come to the same conclusion: the invitation must be the work of the college gentlemen.	mr Ketch had at length come to the same conclusion: the invitation must be the work of the college gentlemen.
6904_262305_000035_000002	Deceived, betrayed, fainting for supper, done out of the delicious tripe and onions, he leaned against the shutters, and gave vent to a prolonged and piteous howl.	Deceived, betrayed, fainting for supper, done out of the delicious tripe and onions, he leaned against the shutters, and gave vent to a prolonged and piteous howl.
6904_262305_000035_000003	It might have drawn tears from a stone.	It might have drawn tears from a stone.
6904_262305_000036_000000	In a frame of mind that was not enviable, he turned his steps homeward, clasping his hands upon his empty stomach, and vowing the most intense vengeance upon the college boys.	In a frame of mind that was not enviable, he turned his steps homeward, clasping his hands upon his empty stomach, and vowing the most intense vengeance upon the college boys.
6904_262305_000036_000001	The occurrence naturally caused him to cast back his thoughts to that other trick-the locking him into the cloisters, in which Jenkins had been a fellow-victim--and he doubled his fists in impotent anger.	The occurrence naturally caused him to cast back his thoughts to that other trick the locking him into the cloisters, in which Jenkins had been a fellow victim-and he doubled his fists in impotent anger.
6904_262305_000036_000002	"This comes of their not having been flogged for that!" he groaned.	"This comes of their not having been flogged for that!" he groaned.
6904_262305_000037_000000	Engaged in these reflections of gall and bitterness, old Ketch gained his lodge, unlocked it, and entered.	Engaged in these reflections of gall and bitterness, old Ketch gained his lodge, unlocked it, and entered.
6904_262305_000037_000001	No wonder that he turned his eyes upon the cloister keys, the reminiscence being so strong within him.	No wonder that he turned his eyes upon the cloister keys, the reminiscence being so strong within him.
6904_262305_000038_000000	But, to say he turned his eyes upon the cloister keys, is a mere figure of speech.	But, to say he turned his eyes upon the cloister keys, is a mere figure of speech.
6904_262305_000038_000001	No keys were there.	No keys were there.
6904_262305_000038_000002	Ketch stood a statue transfixed, and stared as hard as the flickering blaze from his dying fire would allow him.	Ketch stood a statue transfixed, and stared as hard as the flickering blaze from his dying fire would allow him.
6904_262305_000038_000003	Seizing a match-box, he struck a light and held it to the hook.	Seizing a match box, he struck a light and held it to the hook.
6904_262305_000039_000000	Ketch was no conjuror, and it never occurred to him to suspect that the keys had been removed before his own departure.	Ketch was no conjuror, and it never occurred to him to suspect that the keys had been removed before his own departure.
6904_262305_000039_000001	"How had them wicked ones got in?" he foamed.	"How had them wicked ones got in?" he foamed.
6904_262305_000039_000002	"Had they forced his winder?--had they took a skeleton key to his door?--had they come down the chimbley?	"Had they forced his winder?--had they took a skeleton key to his door?--had they come down the chimbley?
6904_262305_000039_000004	He didn't think they'd mind a little fire.	He didn't think they'd mind a little fire.
6904_262305_000039_000005	It was that insolent Bywater!--or that young villain, Tod Yorke!--or that undaunted Tom Channing!--or perhaps all three leagued together!	It was that insolent Bywater!--or that young villain, Tod Yorke!--or that undaunted Tom Channing!--or perhaps all three leagued together!
6904_262305_000040_000000	He examined the window; he examined the door; he cast a glance up the chimney.	He examined the window; he examined the door; he cast a glance up the chimney.
6904_262305_000040_000001	Nothing, however, appeared to have been touched or disturbed, and there was no soot on the floor.	Nothing, however, appeared to have been touched or disturbed, and there was no soot on the floor.
6904_262305_000040_000002	Cutting himself a piece of bread and cheese, lamenting at its dryness, and eating it as he went along, he proceeded out again, locking up his lodge as before.	Cutting himself a piece of bread and cheese, lamenting at its dryness, and eating it as he went along, he proceeded out again, locking up his lodge as before.
6904_262305_000042_000000	"There ain't a boy in the school but what'll come to be hung!" danced old Ketch in his rage.	"There ain't a boy in the school but what'll come to be hung!" danced old Ketch in his rage.
6904_262305_000043_000000	He would have preferred not to find the keys; but to go to the head-master with a story of their theft.	He would have preferred not to find the keys; but to go to the head master with a story of their theft.
6904_262305_000043_000001	It was possible, it was just possible that, going, keys in hand, the master might refuse to believe his tale.	It was possible, it was just possible that, going, keys in hand, the master might refuse to believe his tale.
6904_262305_000044_000000	Away he hobbled, and arrived at the house of the head-master.	Away he hobbled, and arrived at the house of the head master.
6904_262305_000044_000003	The other masters lived at a distance, and Ketch's old legs were aching. What was he to do?	The other masters lived at a distance, and Ketch's old legs were aching. What was he to do?
6904_262305_000044_000004	Make his complaint to some one, he was determined upon.	Make his complaint to some one, he was determined upon.
6904_262305_000044_000005	The new senior, Huntley, lived too far off for his lumbago; so he turned his steps to the next senior's, Tom Channing, and demanded to see him.	The new senior, Huntley, lived too far off for his lumbago; so he turned his steps to the next senior's, Tom Channing, and demanded to see him.
6904_262305_000045_000000	Tom heard the story, which was given him in detail.	Tom heard the story, which was given him in detail.
6904_262305_000045_000001	He told Ketch--and with truth--that he knew nothing about it, but would make inquiries in the morning.	He told Ketch-and with truth-that he knew nothing about it, but would make inquiries in the morning.
6904_262305_000045_000002	Ketch was fain to depart, and Tom returned to the sitting-room, and threw himself into a chair in a burst of laughter.	Ketch was fain to depart, and Tom returned to the sitting room, and threw himself into a chair in a burst of laughter.
6904_262305_000046_000000	"What is the matter?" they asked.	"What is the matter?" they asked.
6904_262305_000047_000000	"The primest lark," returned Tom.	"The primest lark," returned Tom.
6904_262305_000047_000001	"Some of the fellows have been sending Ketch an invitation to sup at Jenkins's off tripe and onions, and when he arrived there he found it was a hoax, and Mrs. Jenkins turned him out again.	"Some of the fellows have been sending Ketch an invitation to sup at Jenkins's off tripe and onions, and when he arrived there he found it was a hoax, and mrs Jenkins turned him out again.
6904_262305_000047_000002	That's what Master Charley must have gone after."	That's what Master Charley must have gone after."
6904_262305_000048_000000	Hamish turned round.	Hamish turned round.
6904_262305_000049_000000	"Gone after it, there's no doubt," replied Tom.	"Gone after it, there's no doubt," replied Tom.
6904_262305_000049_000001	"Here's his exercise, not finished yet, and his pen left inside the book.	"Here's his exercise, not finished yet, and his pen left inside the book.
