1343_158781_000000_000000	"Pretty well," said Mrs. Carbuncle.	"Pretty well," said mrs Carbuncle.	false	0	3.06	-20
1343_158781_000023_000007	It's the way of the world.	It's the way of the world.	true	395.57	397.18	18.592707
1343_158781_000023_000008	The lower you fall, the more you're kicked."	The lower you fall, the more you're kicked."	true	397.43	400.06	19.971323
1343_158781_000024_000000	"What can I do for him?" asked Frank.	"What can I do for him?" asked Frank.	true	401.03	404.05	19.964733
1343_158781_000025_000000	"Put him down at your club, and order thirty dozen of grey shirtings from Nappie and Co., without naming the price."	"Put him down at your club, and order thirty dozen of grey shirtings from Nappie and Co., without naming the price."	true	404.99	412.36	18
1343_158781_000026_000000	"He'd send you grey stockings instead," said Lizzie.	"He'd send you grey stockings instead," said Lizzie.	true	413.24	417.52	20.322437
1343_158781_000027_000000	But though Lizzie was in heaven, it behoved her to be careful.	But though Lizzie was in heaven, it behoved her to be careful.	true	419.36	423.07	18.381823
1343_158781_000027_000001	The Corsair was a very fine specimen of the Corsair breed;--about the best Corsair she had ever seen, and had been devoted to her for the day.	The Corsair was a very fine specimen of the Corsair breed;--about the best Corsair she had ever seen, and had been devoted to her for the day.	true	423.59	433.69	18.999523
1343_158781_000027_000002	But these Corsairs are known to be dangerous, and it would not be wise that she should sacrifice any future prospect of importance on behalf of a feeling, which, no doubt, was founded on poetry, but which might too probably have no possible beneficial result.	But these Corsairs are known to be dangerous, and it would not be wise that she should sacrifice any future prospect of importance on behalf of a feeling, which, no doubt, was founded on poetry, but which might too probably have no possible beneficial result.	true	434.39	453.58	20.052227
1343_158781_000027_000003	As far as she knew, the Corsair had not even an island of his own in the Aegean Sea.	As far as she knew, the Corsair had not even an island of his own in the Aegean Sea.	true	454.31	460.21	18
1343_158781_000027_000004	And, if he had, might not the island too probably have a Medora or two of its own?	And, if he had, might not the island too probably have a Medora or two of its own?	true	460.7	467.17	19
1343_158781_000027_000005	In a ride across the country the Corsair was all that a Corsair should be; but knowing, as she did, but very little of the Corsair, she could not afford to throw over her cousin for his sake.	In a ride across the country the Corsair was all that a Corsair should be; but knowing, as she did, but very little of the Corsair, she could not afford to throw over her cousin for his sake.	true	468.05	480.91	20
1343_158781_000027_000006	As she was leaving the drawing-room, she managed to say one word to her cousin.	As she was leaving the drawing room, she managed to say one word to her cousin.	true	481.82	486.79	18
1343_158781_000027_000007	"You were not angry with me because I got Lord George to ride with me instead of you?"	"You were not angry with me because I got Lord George to ride with me instead of you?"	true	487.82	493.27	15
1343_158781_000028_000000	"Angry with you?"	"Angry with you?"	true	494.09	495.31	19.529184
1343_158781_000029_000000	"I knew I should only be a hindrance to you."	"I knew I should only be a hindrance to you."	true	496.22	499	16
1343_158781_000030_000000	"It was a matter of course.	"It was a matter of course.	true	499.97	501.75	21
1343_158781_000030_000001	He knows all about it, and I know nothing.	He knows all about it, and I know nothing.	true	501.75	504.22	17
1343_158781_000030_000002	I am very glad that you liked it so much."	I am very glad that you liked it so much."	true	504.59	507.1	17
1343_158781_000031_000000	"I did like it;--and so did you.	"I did like it;--and so did you.	true	507.98	510.58	22.40922
1343_158781_000031_000001	I was so glad you got that poor man's horse.	I was so glad you got that poor man's horse.	true	511.19	514.06	18
1343_158781_000031_000002	You were not angry then?"	You were not angry then?"	false	514.61	516.25	20
1343_158781_000031_000003	They had now passed across the hall, and were on the bottom stair.	They had now passed across the hall, and were on the bottom stair.	true	517.31	521.11	15
1343_158781_000032_000000	"Certainly not."	"Certainly not."	true	521.75	522.88	21
1343_158781_000033_000000	"And you are not angry for what happened before?"	"And you are not angry for what happened before?"	true	523.85	526.96	14
1343_158781_000033_000001	She did not look into his face as she asked this question, but stood with her eyes fixed on the stair-carpet.	She did not look into his face as she asked this question, but stood with her eyes fixed on the stair carpet.	true	527.81	534.85	20.887568
1343_158781_000034_000000	"Indeed no."	"Indeed no"	true	535.67	536.98	20.417147
1343_158781_000035_000000	"Good night, Frank."	"Good night, Frank."	true	537.65	538.99	20.521713
1343_158781_000036_000000	"Good night, Lizzie." Then she went, and he returned to a room below which had been prepared for purposes of tobacco and soda-water and brandy.	"Good night, Lizzie." Then she went, and he returned to a room below which had been prepared for purposes of tobacco and soda water and brandy.	true	539.63	549.94	20.250074
1343_158781_000037_000000	"Why, Griff, you're rather out of sorts to-night," said Lord George to his friend, before Frank had joined them.	"Why, Griff, you're rather out of sorts to night," said Lord George to his friend, before Frank had joined them.	true	551.69	558.82	20.657179
1343_158781_000038_000000	"So would you be out of sorts if you'd lost your run and had to pick a young woman out of the water.	"So would you be out of sorts if you'd lost your run and had to pick a young woman out of the water.	true	559.61	565.69	19
1343_158781_000038_000001	I don't like young women when they're damp and smell of mud."	I don't like young women when they're damp and smell of mud."	true	566.15	569.74	21
1343_158781_000039_000000	"You mean to marry her, I suppose?"	"You mean to marry her, I suppose?"	true	570.59	573.01	17
1343_158781_000040_000000	"How would you like me to ask you questions?	"How would you like me to ask you questions?	true	573.89	576.55	20
1343_158781_000040_000001	Do you mean to marry the widow?	Do you mean to marry the widow?	true	576.83	578.86	16
1343_158781_000040_000002	And, if you do, what'll Mrs. Carbuncle say?	And, if you do, what'll mrs Carbuncle say?	true	579.29	582.22	19.137808
1343_158781_000040_000003	And if you don't, what do you mean to do; and all the rest of it?"	And if you don't, what do you mean to do; and all the rest of it?"	true	582.47	586.45	20
1343_158781_000041_000000	"As for marrying the widow, I should like to know the facts first. As to Mrs. C., she wouldn't object in the least.	"As for marrying the widow, I should like to know the facts first. As to mrs c, she wouldn't object in the least.	true	587.66	596.56	20.998522
1343_158781_000041_000001	I generally have my horses so bitted that they can't very well object.	I generally have my horses so bitted that they can't very well object.	true	597.08	602.38	19.484743
1343_158781_000041_000002	And as to the other question, I mean to stay here for the next fortnight, and I advise you to make it square with Miss Roanoke.	And as to the other question, I mean to stay here for the next fortnight, and I advise you to make it square with Miss Roanoke.	true	602.96	612.25	19.971384
1343_158781_000041_000003	Here's my lady's cousin; for a man who doesn't ride often, he went very well to-day."	Here's my lady's cousin; for a man who doesn't ride often, he went very well to day."	true	612.71	618.4	19.501486
1343_158781_000042_000000	"I wonder if he'd take a twenty-pound note if I sent it to him," said Frank, when they broke up for the night.	"I wonder if he'd take a twenty pound note if I sent it to him," said Frank, when they broke up for the night.	true	619.7	626.65	21.818823
1343_158781_000042_000001	"I don't like the idea of riding such a fellow's horse for nothing."	"I don't like the idea of riding such a fellow's horse for nothing."	true	627.32	631.21	17
1343_158781_000043_000000	"He'll bring an action against the railway, and then you can offer to pay if you like." Mr. Nappie did bring an action against the railway, claiming exorbitant damages;--but with what result, we need not trouble ourselves to inquire.	"He'll bring an action against the railway, and then you can offer to pay if you like." mr Nappie did bring an action against the railway, claiming exorbitant damages;--but with what result, we need not trouble ourselves to inquire.	false	632.6	656.07	19.92234
