335_125941_000000_000000	97 The Scarecrow Plans an escape	ninety seven The Scarecrow Plans an escape	false	11.58	23.77	18.01635
335_125941_000017_000000	"Your Standing Army was running," answered the fellow, honestly; "for no man could face the terrible weapons of the invaders."	"Your Standing Army was running," answered the fellow, honestly; "for no man could face the terrible weapons of the invaders."	true	158.75	166.48	18.93116
335_125941_000018_000000	"Well," said the Scarecrow, after a moment's thought, "I don't mind much the loss of my throne, for it's a tiresome job to rule over the Emerald City. And this crown is so heavy that it makes my head ache.	"Well," said the Scarecrow, after a moment's thought, "I don't mind much the loss of my throne, for it's a tiresome job to rule over the Emerald City. And this crown is so heavy that it makes my head ache.	false	167	178.96	19.355356
335_125941_000018_000001	But I hope the Conquerors have no intention of injuring me, just because I happen to be the King."	But I hope the Conquerors have no intention of injuring me, just because I happen to be the King."	true	179.21	184.9	19
335_125941_000019_000000	"I heard them, say" remarked Tip, with some hesitation, "that they intend to make a rag carpet of your outside and stuff their sofa-cushions with your inside."	"I heard them, say" remarked Tip, with some hesitation, "that they intend to make a rag carpet of your outside and stuff their sofa cushions with your inside."	false	186.53	197.11	21.493757
335_125941_000020_000000	"Then I am really in danger," declared his Majesty, positively, "and it will be wise for me to consider a means to escape."	"Then I am really in danger," declared his Majesty, positively, "and it will be wise for me to consider a means to escape."	true	198.32	205.66	17.577604
335_125941_000021_000000	"Where can you go?" asked Jack Pumpkinhead.	"Where can you go?" asked Jack Pumpkinhead.	true	206.36	210.61	21.894438
335_125941_000022_000000	"Why, to my friend the Tin Woodman, who	"Why, to my friend the Tin Woodman, who	false	210.98	213	16
335_125941_000023_000000	100 Line-Art Drawing	one hundred Line Art Drawing	false	213	213	
335_125941_000024_000000	rules over the Winkies, and calls himself their Emperor," was the answer.	rules over the Winkies, and calls himself their Emperor," was the answer.	true	213	216.91	17
335_125941_000024_000001	"I am sure he will protect me."	"I am sure he will protect me."	true	217.1	219.28	18.116772
335_125941_000025_000000	Tip was looking out the window.	Tip was looking out the window.	true	219.89	221.71	14
335_125941_000026_000000	"The palace is surrounded by the enemy," said	"The palace is surrounded by the enemy," said	true	223.34	225.57	19.459047
335_125941_000027_000000	101 he "It is too late to escape.	one hundred one he "It is too late to escape.	false	225.57	227.805	23.56923
335_125941_000027_000001	They would soon tear you to pieces."	They would soon tear you to pieces."	true	227.805	229.69	14
335_125941_000028_000000	The Scarecrow sighed.	The Scarecrow sighed.	true	230.51	232.06	19
335_125941_000029_000000	"In an emergency," he announced, "it is always a good thing to pause and reflect.	"In an emergency," he announced, "it is always a good thing to pause and reflect.	true	232.82	239.44	18.159536
335_125941_000029_000001	Please excuse me while I pause and reflect."	Please excuse me while I pause and reflect."	true	239.93	243.46	19.950504
335_125941_000030_000000	"But we also are in danger," said the Pumpkinhead, anxiously.	"But we also are in danger," said the Pumpkinhead, anxiously.	true	244.49	248.08	20.589075
335_125941_000030_000001	"If any of these girls understand cooking, my end is not far off!"	"If any of these girls understand cooking, my end is not far off!"	true	248.39	253.03	21.087536
335_125941_000031_000000	"Nonsense!" exclaimed the Scarecrow.	"Nonsense!" exclaimed the Scarecrow.	true	254.75	256.99	24.402163
335_125941_000031_000001	"they're too busy to cook, even if they know how!"	"they're too busy to cook, even if they know how!"	true	257.09	259.66	22.344547
335_125941_000032_000000	"But should I remain here a prisoner for any length of time," protested Jack," I'm liable to spoil."	"But should I remain here a prisoner for any length of time," protested Jack," I'm liable to spoil."	false	260.69	266.47	22.129436
335_125941_000033_000000	"Ah! then you would not be fit to associate with," returned the Scarecrow. "The matter is more serious than I suspected."	"Ah! then you would not be fit to associate with," returned the Scarecrow. "The matter is more serious than I suspected."	true	267.29	274.81	20.093466
335_125941_000034_000000	"You," said the Pumpkinhead, gloomily, "are liable to live for many years. My life is necessarily short.	"You," said the Pumpkinhead, gloomily, "are liable to live for many years. My life is necessarily short.	true	275.84	283.81	20.905365
335_125941_000034_000001	So I must take advantage of the few days that remain to me."	So I must take advantage of the few days that remain to me."	true	283.82	287.41	19
335_125941_000035_000000	"There, there!	"There, there!	true	288.44	289.11	21.009933
335_125941_000035_000001	Don't worry," answered the Scarecrow soothingly; "if you'll keep quiet long enough for me to think, I'll try to find some way for us all to escape."	Don't worry," answered the Scarecrow soothingly; "if you'll keep quiet long enough for me to think, I'll try to find some way for us all to escape."	true	289.11	296.38	22.117563
335_125941_000036_000000	So the others waited in patient silence while the Scarecrow walked to a corner and stood with his	So the others waited in patient silence while the Scarecrow walked to a corner and stood with his	true	297.44	302.22	12
335_125941_000037_000000	102 face to the wall for a good five minutes.	one hundred two face to the wall for a good five minutes.	false	302.22	305.2	16
335_125941_000037_000001	At the end of that time he faced them with a more cheerful expression upon his painted face.	At the end of that time he faced them with a more cheerful expression upon his painted face.	true	306.26	311.74	16
335_125941_000038_000000	"Where is the Saw-Horse you rode here?" he asked the Pumpkinhead.	"Where is the Saw Horse you rode here?" he asked the Pumpkinhead.	true	313.19	316.9	20.816017
335_125941_000039_000000	"Why, I said he was a jewel, and so your man locked him up in the royal treasury," said Jack.	"Why, I said he was a jewel, and so your man locked him up in the royal treasury," said Jack.	true	318.47	324.04	19
335_125941_000040_000000	"It was the only place I could think of your Majesty," added the Soldier, fearing he had made a blunder.	"It was the only place I could think of your Majesty," added the Soldier, fearing he had made a blunder.	true	325.91	331.36	23.467728
335_125941_000041_000000	"It pleases me very much," said the Scarecrow.	"It pleases me very much," said the Scarecrow.	true	332.18	334.96	24.78781
335_125941_000041_000001	"Has the animal been fed?"	"Has the animal been fed?"	true	335.18	336.58	20.492666
335_125941_000042_000000	"Oh, yes; I gave him a heaping peck of sawdust."	"Oh, yes; I gave him a heaping peck of sawdust."	false	337.67	340.78	19.796959
335_125941_000043_000000	"Excellent!" cried the Scarecrow.	"Excellent!" cried the Scarecrow.	true	341.48	343.48	22.211111
335_125941_000043_000001	"Bring the horse here at once."	"Bring the horse here at once."	true	343.49	344.98	21.269299
335_125941_000044_000000	The Soldier hastened away, and presently they heard the clattering of the horse's wooden legs upon the pavement as he was led into the courtyard.	The Soldier hastened away, and presently they heard the clattering of the horse's wooden legs upon the pavement as he was led into the courtyard.	true	345.47	353.08	15
335_125941_000045_000000	His Majesty regarded the steed critically.	His Majesty regarded the steed critically.	true	353.66	356.23	19
335_125941_000045_000001	"He doesn't seem especially graceful!" he remarked, musingly.	"He doesn't seem especially graceful!" he remarked, musingly.	true	357.32	360.61	23.0268
335_125941_000045_000002	"but I suppose he can run?"	"but I suppose he can run?"	true	360.83	362.38	23
335_125941_000046_000000	"He can, indeed," said Tip, gazing upon the Saw-Horse admiringly.	"He can, indeed," said Tip, gazing upon the Saw Horse admiringly.	true	363.56	367.96	19.35764
335_125941_000047_000000	"Then, bearing us upon his back, he must make a dash through the ranks of the rebels and carry us to my friend the Tin Woodman," announced the Scarecrow.	"Then, bearing us upon his back, he must make a dash through the ranks of the rebels and carry us to my friend the Tin Woodman," announced the Scarecrow.	true	369.83	376.53	19
335_125941_000048_000000	103	one hundred three	false	376.53	377.52	5
335_125941_000049_000000	"He can't carry four!" objected Tip.	"He can't carry four!" objected Tip.	true	377.52	383.29	20.609549
335_125941_000050_000000	"No, but he may be induced to carry three," said his Majesty.	"No, but he may be induced to carry three," said his Majesty.	true	383.33	386.68	17.23298
335_125941_000050_000001	"I shall therefore leave my Royal Army Behind.	"I shall therefore leave my Royal Army Behind.	true	386.93	389.95	15
335_125941_000050_000002	For, from the ease with which he was conquered, I have little confidence in his powers."	For, from the ease with which he was conquered, I have little confidence in his powers."	true	390.56	395.77	20
335_125941_000051_000000	"Still, he can run," declared Tip, laughing.	"Still, he can run," declared Tip, laughing.	false	396.59	401.19	19.578999
335_125941_000052_000000	"I expected this blow" said the Soldier, sulkily; "but I can bear it.	"I expected this blow" said the Soldier, sulkily; "but I can bear it.	true	401.19	406.36	24.847574
335_125941_000052_000001	I shall disguise myself by cutting off my lovely green whiskers.	I shall disguise myself by cutting off my lovely green whiskers.	true	406.4	409.68	14
335_125941_000052_000002	And, after all, it is no more dangerous to face those reckless girls than to ride this fiery, untamed wooden horse!"	And, after all, it is no more dangerous to face those reckless girls than to ride this fiery, untamed wooden horse!"	true	409.68	416.11	18
335_125941_000053_000000	"Perhaps you are right," observed his Majesty.	"Perhaps you are right," observed his Majesty.	true	419.69	422.02	22.989912
335_125941_000053_000001	"But, for my part, not being a soldier, I am fond of danger.	"But, for my part, not being a soldier, I am fond of danger.	true	422.03	425.98	23.505362
335_125941_000053_000002	Now, my boy, you must mount first.	Now, my boy, you must mount first.	true	426.8	429.285	23.999947
335_125941_000053_000003	And please sit as close to the horse's neck as possible."	And please sit as close to the horse's neck as possible."	true	429.285	432.07	19
335_125941_000054_000000	Tip climbed quickly to his place, and the Soldier and the Scarecrow managed to hoist the Pumpkinhead to a seat just behind him.	Tip climbed quickly to his place, and the Soldier and the Scarecrow managed to hoist the Pumpkinhead to a seat just behind him.	true	433.31	440.28	13
335_125941_000054_000001	There remained so little space for the King that he was liable to fall off as soon as the horse started.	There remained so little space for the King that he was liable to fall off as soon as the horse started.	false	440.28	448.99	17.271152
335_125941_000055_000000	"Fetch a clothesline," said the King to his Army, "and tie us all together. Then if one falls off we will all fall off."	"Fetch a clothesline," said the King to his Army, "and tie us all together. Then if one falls off we will all fall off."	true	451.04	458.05	22.393682
335_125941_000056_000000	And while the Soldier was gone for the clothesline his Majesty continued, "it is well for me to be careful, for my very existence is in danger."	And while the Soldier was gone for the clothesline his Majesty continued, "it is well for me to be careful, for my very existence is in danger."	true	458.66	467.1	19.421316
335_125941_000057_000000	104	one hundred four	false	467.1	468.555	-2
335_125941_000058_000000	"I have to be as careful as you do," said Jack.	"I have to be as careful as you do," said Jack.	true	468.555	471.25	25.046644
335_125941_000059_000000	"Not exactly," replied the Scarecrow.	"Not exactly," replied the Scarecrow.	true	471.8	473.91	21.86581
335_125941_000059_000001	"for if anything happened to me, that would be the end of me.	"for if anything happened to me, that would be the end of me.	true	473.91	476.73	17
335_125941_000059_000002	But if anything happened to you, they could use you for seed."	But if anything happened to you, they could use you for seed."	false	476.73	480.25	18
335_125941_000060_000000	The Soldier now returned with a long line and tied all three firmly together, also lashing them to the body of the Saw-Horse; so there seemed little danger of their tumbling off.	The Soldier now returned with a long line and tied all three firmly together, also lashing them to the body of the Saw Horse; so there seemed little danger of their tumbling off.	true	480.71	490.72	19.979761
335_125941_000061_000000	"Now throw open the gates," commanded the Scarecrow, "and we will make a dash to liberty or to death."	"Now throw open the gates," commanded the Scarecrow, "and we will make a dash to liberty or to death."	true	492.35	497.59	24.046484
335_125941_000062_000000	The courtyard in which they were standing was located in the center of the great palace, which surrounded it on all sides.	The courtyard in which they were standing was located in the center of the great palace, which surrounded it on all sides.	false	498.17	505.24	19
335_125941_000062_000001	But in one place a passage led to an outer gateway, which the Soldier had barred by order of his sovereign.	But in one place a passage led to an outer gateway, which the Soldier had barred by order of his sovereign.	false	505.49	512.655	19
335_125941_000062_000002	It was through this gateway his Majesty proposed to escape, and the Royal Army now led the Saw-Horse along the passage and unbarred the gate, which swung backward with a loud crash.	It was through this gateway his Majesty proposed to escape, and the Royal Army now led the Saw Horse along the passage and unbarred the gate, which swung backward with a loud crash.	true	512.655	523.39	18.50766
335_125941_000063_000000	"Now," said Tip to the horse, "you must save us all.	"Now," said Tip to the horse, "you must save us all.	true	523.64	527.265	20.700539
335_125941_000063_000001	Run as fast as you can for the gate of the City, and don't let anything stop you."	Run as fast as you can for the gate of the City, and don't let anything stop you."	true	527.265	531.55	22
335_125941_000064_000000	"All right!" answered the Saw-Horse, gruffly, and dashed away so suddenly that Tip had to gasp	"All right!" answered the Saw Horse, gruffly, and dashed away so suddenly that Tip had to gasp	false	532.4	537.45	22.453709
335_125941_000065_000000	105 Full page line-art drawing.	one hundred five Full page line art drawing.	false	537.45	537.45	
335_125941_000066_000000	"WE WILL MAKE A DASH TO LIBERTY OR TO DEATH."	"WE WILL MAKE A DASH TO LIBERTY o r TO DEATH."	false	537.45	537.45	
335_125941_000067_000000	106 for breath and hold firmly to the post he had driven into the creature's neck.	one hundred six for breath and hold firmly to the post he had driven into the creature's neck.	false	537.45	541.96	19.244326
335_125941_000068_000000	Several of the girls, who stood outside guarding the palace, were knocked over by the Saw-Horse's mad rush.	Several of the girls, who stood outside guarding the palace, were knocked over by the Saw Horse's mad rush.	true	543.14	548.02	14
335_125941_000068_000001	Others ran screaming out of the way, and only one or two jabbed their knitting-needles frantically at the escaping prisoners.	Others ran screaming out of the way, and only one or two jabbed their knitting needles frantically at the escaping prisoners.	true	548.03	554.38	19
335_125941_000068_000002	Tip got one small prick in his left arm, which smarted for an hour afterward; but the needles had no effect upon the Scarecrow or Jack Pumpkinhead, who never even suspected they were being prodded.	Tip got one small prick in his left arm, which smarted for an hour afterward; but the needles had no effect upon the Scarecrow or Jack Pumpkinhead, who never even suspected they were being prodded.	true	554.87	567.13	20
335_125941_000069_000000	As for the Saw-Horse, he made a wonderful record upsetting a fruit cart, overturning several meek looking men, and finally bowling over the new Guardian of the Gate--a fussy little fat woman appointed by General Jinjur.	As for the Saw Horse, he made a wonderful record upsetting a fruit cart, overturning several meek looking men, and finally bowling over the new Guardian of the Gate-a fussy little fat woman appointed by General Jinjur.	true	568.22	581.5	20
335_125941_000070_000000	Nor did the impetuous charger stop then.	Nor did the impetuous charger stop then.	true	582.44	585.22	19
335_125941_000070_000001	Once outside the walls of the Emerald City he dashed along the road to the West with fast and violent leaps that shook the breath out of the boy and filled the Scarecrow with wonder.	Once outside the walls of the Emerald City he dashed along the road to the West with fast and violent leaps that shook the breath out of the boy and filled the Scarecrow with wonder.	true	585.32	594.22	16
335_125941_000071_000000	Jack had ridden at this mad rate once before, so he devoted every effort to holding, with both hands, his pumpkin head upon its stick, enduring meantime the dreadful jolting with the courage of a philosopher.	Jack had ridden at this mad rate once before, so he devoted every effort to holding, with both hands, his pumpkin head upon its stick, enduring meantime the dreadful jolting with the courage of a philosopher.	true	596.48	609	18
335_125941_000072_000000	107 Full page line-art drawing.	one hundred seven Full page line art drawing.	false	609	610.2	-7
335_125941_000073_000000	THE WOODEN STEED GAVE ONE FINAL LEAP	THE WOODEN STEED GAVE ONE FINAL LEAP	false	610.2	611.25	0
335_125941_000074_000000	108	one hundred eight	false	611.25	611.7	100
335_125941_000075_000000	"Slow him up!	"Slow him up!	false	611.7	612.33	6
335_125941_000075_000001	Slow him up!" shouted the Scarecrow.	Slow him up!" shouted the Scarecrow.	false	612.33	614.52	28.36543
335_125941_000075_000002	"My straw is all shaking down into my legs."	"My straw is all shaking down into my legs."	true	614.52	616.84	22.36885
335_125941_000076_000000	But Tip had no breath to speak, so the Saw-Horse continued his wild career unchecked and with unabated speed.	But Tip had no breath to speak, so the Saw Horse continued his wild career unchecked and with unabated speed.	true	618.02	626.38	18
335_125941_000077_000000	Presently they came to the banks of a wide river, and without a pause the wooden steed gave one final leap and launched them all in mid-air.	Presently they came to the banks of a wide river, and without a pause the wooden steed gave one final leap and launched them all in mid-air.	true	628.43	640.3	16
335_125941_000078_000000	A second later they were rolling, splashing and bobbing about in the water, the horse struggling frantically to find a rest for its feet and its riders being first plunged beneath the rapid current and then floating upon the surface like corks.	A second later they were rolling, splashing and bobbing about in the water, the horse struggling frantically to find a rest for its feet and its riders being first plunged beneath the rapid current and then floating upon the surface like corks.	false	642.44	668.82	18.579262
