3546_9321_000000_000000	Chapter III	Chapter three	true	13.44	14.35	18.165115
3546_9321_000004_000000	Georgie, without even seeming to look at him, flicked the long lash of his whip dexterously, and a little spurt of dust came from the hardware man's trousers, not far below the waist.	Georgie, without even seeming to look at him, flicked the long lash of his whip dexterously, and a little spurt of dust came from the hardware man's trousers, not far below the waist.	true	163.4	173.2	17
3546_9321_000004_000001	He was not made of hardware: he raved, looking for a missile; then, finding none, commanded himself sufficiently to shout after the rapid dog-cart: "Turn down your pants, you would-be dude!	He was not made of hardware: he raved, looking for a missile; then, finding none, commanded himself sufficiently to shout after the rapid dog cart: "Turn down your pants, you would be dude!	true	173.45	184.215	18
3546_9321_000004_000002	Raining in dear ole Lunnon!	Raining in dear ole Lunnon!	true	184.215	185.76	12
3546_9321_000004_000003	Git off the earth!"	Git off the earth!"	false	185.76	186.97	20.861935
3546_9321_000005_000000	Georgie gave him no encouragement to think that he was heard.	Georgie gave him no encouragement to think that he was heard.	true	187.28	190.39	19
3546_9321_000005_000001	The dog-cart turned the next corner, causing indignation there, likewise, and, having proceeded some distance farther, halted in front of the "Amberson Block"--an old-fashioned four-story brick warren of lawyers offices, insurance and realestate offices, with a "drygoods store" occupying the ground floor.	The dog cart turned the next corner, causing indignation there, likewise, and, having proceeded some distance farther, halted in front of the "Amberson Block"--an old-fashioned four story brick warren of lawyers offices, insurance and realestate offices, with a "drygoods store" occupying the ground floor.	false	190.61	207.22	14
3546_9321_000005_000002	Georgie tied his lathered trotter to a telegraph pole, and stood for a moment looking at the building critically: it seemed shabby, and he thought his grandfather ought to replace it with a fourteen-story skyscraper, or even a higher one, such as he had lately seen in New York--when he stopped there for a few days of recreation and rest on his way home from the bereaved school.	Georgie tied his lathered trotter to a telegraph pole, and stood for a moment looking at the building critically: it seemed shabby, and he thought his grandfather ought to replace it with a fourteen story skyscraper, or even a higher one, such as he had lately seen in New York-when he stopped there for a few days of recreation and rest on his way home from the bereaved school.	true	207.74	226.39	16
3546_9321_000005_000003	About the entryway to the stairs were various tin signs, announcing the occupation and location of upper-floor tenants, and Georgie decided to take some of these with him if he should ever go to college.	About the entryway to the stairs were various tin signs, announcing the occupation and location of upper floor tenants, and Georgie decided to take some of these with him if he should ever go to college.	true	227.18	237.46	14
3546_9321_000005_000004	However, he did not stop to collect them at this time, but climbed the worn stairs--there was no elevator--to the fourth floor, went down a dark corridor, and rapped three times upon a door.	However, he did not stop to collect them at this time, but climbed the worn stairs-there was no elevator-to the fourth floor, went down a dark corridor, and rapped three times upon a door.	true	237.77	247.81	17
3546_9321_000005_000005	It was a mysterious door, its upper half, of opaque glass, bearing no sign to state the business or profession of the occupants within; but overhead, upon the lintel, four letters had been smearingly inscribed, partly with purple ink and partly with a soft lead pencil, "F.	It was a mysterious door, its upper half, of opaque glass, bearing no sign to state the business or profession of the occupants within; but overhead, upon the lintel, four letters had been smearingly inscribed, partly with purple ink and partly with a soft lead pencil, "F.	true	248.21	264.645	17
3546_9321_000005_000006	O. T. A." and upon the plaster wall, above the lintel, there was a drawing dear to male adolescence: a skull and crossbones.	o t a" and upon the plaster wall, above the lintel, there was a drawing dear to male adolescence: a skull and crossbones.	true	264.645	273.52	19
3546_9321_000006_000000	Three raps, similar to Georgie's, sounded from within the room.	Three raps, similar to Georgie's, sounded from within the room.	true	274.58	278.26	16
3546_9321_000006_000001	Georgie then rapped four times the rapper within the room rapped twice, and Georgie rapped seven times.	Georgie then rapped four times the rapper within the room rapped twice, and Georgie rapped seven times.	true	278.33	283.99	17
3546_9321_000006_000002	This ended precautionary measures; and a well-dressed boy of sixteen opened the door; whereupon Georgie entered quickly, and the door was closed behind him.	This ended precautionary measures; and a well dressed boy of sixteen opened the door; whereupon Georgie entered quickly, and the door was closed behind him.	true	284.39	292.21	15
3546_9321_000006_000003	Seven boys of congenial age were seated in a semicircular row of damaged office chairs, facing a platform whereon stood a solemn, red-haired young personage with a table before him.	Seven boys of congenial age were seated in a semicircular row of damaged office chairs, facing a platform whereon stood a solemn, red haired young personage with a table before him.	true	292.58	302.98	12
3546_9321_000006_000004	At one end of the room there was a battered sideboard, and upon it were some empty beer bottles, a tobacco can about two-thirds full, with a web of mold over the surface of the tobacco, a dusty cabinet photograph (not inscribed) of Miss Lillian Russell, several withered old pickles, a caseknife, and a half-petrified section of icing-cake on a sooty plate.	At one end of the room there was a battered sideboard, and upon it were some empty beer bottles, a tobacco can about two thirds full, with a web of mold over the surface of the tobacco, a dusty cabinet photograph (not inscribed) of Miss Lillian Russell, several withered old pickles, a caseknife, and a half petrified section of icing cake on a sooty plate.	true	303.65	324.04	16
3546_9321_000006_000005	At the other end of the room were two rickety card-tables and a stand of bookshelves where were displayed under dust four or five small volumes of M. Guy de Maupassant's stories, "Robinson Crusoe," "Sappho," "Mr.	At the other end of the room were two rickety card tables and a stand of bookshelves where were displayed under dust four or five small volumes of m Guy de Maupassant's stories, "Robinson Crusoe," "Sappho," "mr	true	324.71	338.01	17
3546_9321_000006_000006	Barnes of New York," a work by Giovanni Boccaccio, a Bible, "The Arabian Nights' Entertainment," "Studies of the Human Form Divine," "The Little Minister," and a clutter of monthly magazines and illustrated weeklies of about that crispness one finds in such articles upon a doctor's ante-room table.	Barnes of New York," a work by Giovanni Boccaccio, a Bible, "The Arabian Nights' Entertainment," "Studies of the Human Form Divine," "The Little Minister," and a clutter of monthly magazines and illustrated weeklies of about that crispness one finds in such articles upon a doctor's ante room table.	true	338.01	356.47	19
3546_9321_000006_000007	Upon the wall, above the sideboard, was an old framed lithograph of Miss Della Fox in "Wang"; over the bookshelves there was another lithograph purporting to represent Mr. John L. Sullivan in a boxing costume, and beside it a halftone reproduction of "A Reading From Horner." The final decoration consisted of damaged papiermache--a round shield with two battle-axes and two cross-hilted swords, upon the wall over the little platform where stood the red-haired presiding officer.	Upon the wall, above the sideboard, was an old framed lithograph of Miss Della Fox in "Wang"; over the bookshelves there was another lithograph purporting to represent mr john l Sullivan in a boxing costume, and beside it a halftone reproduction of "A Reading From Horner." The final decoration consisted of damaged papiermache-a round shield with two battle axes and two cross hilted swords, upon the wall over the little platform where stood the red haired presiding officer.	true	357.2	386.5	16
3546_9321_000006_000008	He addressed Georgie in a serious voice:	He addressed Georgie in a serious voice:	true	386.72	389.02	17
3546_9321_000007_000000	"Welcome, Friend of the Ace."	"Welcome, Friend of the Ace."	true	389.27	390.91	21
3546_9321_000008_000000	"Welcome, Friend of the Ace," Georgie responded, and all of the other boys repeated the words, "Welcome, Friend of the Ace."	"Welcome, Friend of the Ace," Georgie responded, and all of the other boys repeated the words, "Welcome, Friend of the Ace."	false	391.37	397.63	17
3546_9321_000009_000000	"Take your seat in the secret semicircle," said the presiding officer. "We will now proceed to--"	"Take your seat in the secret semicircle," said the presiding officer. "We will now proceed to-"	true	398.36	403.36	17
3546_9321_000010_000000	But Georgie was disposed to be informal.	But Georgie was disposed to be informal.	true	403.85	406.11	21
3546_9321_000010_000001	He interrupted, turning to the boy who had admitted him: "Look here, Charlie Johnson, what's Fred Kinney doing in the president's chair?	He interrupted, turning to the boy who had admitted him: "Look here, Charlie Johnson, what's Fred Kinney doing in the president's chair?	true	406.11	412.155	16
3546_9321_000010_000002	That's my place, isn't it? What you men been up to here, anyhow?	That's my place, isn't it? What you men been up to here, anyhow?	false	412.155	415.725	19.091362
3546_9321_000010_000003	Didn't you all agree I was to be president just the same, even if I was away at school?"	Didn't you all agree I was to be president just the same, even if I was away at school?"	true	415.725	419.92	12
3546_9321_000011_000000	"Well--" said Charlie Johnson uneasily.	"Well-" said Charlie Johnson uneasily.	true	420.53	422.92	20
3546_9321_000011_000001	"Listen!	"Listen!	true	422.99	423.48	20
3546_9321_000011_000002	I didn't have much to do with it.	I didn't have much to do with it.	true	423.48	424.98	17.150738
3546_9321_000011_000003	Some of the other members thought that long as you weren't in town or anything, and Fred gave the sideboard, why--"	Some of the other members thought that long as you weren't in town or anything, and Fred gave the sideboard, why-"	true	424.98	429.88	12
3546_9321_000012_000000	Mr. Kinney, presiding, held in his hand, in lieu of a gavel, and considered much more impressive, a Civil War relic known as a "horse-pistol." He rapped loudly for order.	mr Kinney, presiding, held in his hand, in lieu of a gavel, and considered much more impressive, a Civil War relic known as a "horse pistol." He rapped loudly for order.	true	429.98	440.62	19
3546_9321_000012_000001	"All Friends of the Ace will take their seats!" he said sharply.	"All Friends of the Ace will take their seats!" he said sharply.	true	440.87	444.1	19
3546_9321_000012_000002	"I'm president of the F. O. T. A. now, George Minafer, and don't you forget it!	"I'm president of the f o t a now, George Minafer, and don't you forget it!	true	444.11	447.91	14
3546_9321_000012_000003	You and Charlie Johnson sit down, because I was elected perfectly fair, and we're goin' to hold a meeting here."	You and Charlie Johnson sit down, because I was elected perfectly fair, and we're goin' to hold a meeting here."	false	447.95	452.74	14
3546_9321_000013_000000	"Oh, you are, are you?" said George skeptically.	"Oh, you are, are you?" said George skeptically.	true	453.23	455.74	20.225582
3546_9321_000014_000000	Charlie Johnson thought to mollify him.	Charlie Johnson thought to mollify him.	true	456.35	458.5	17
3546_9321_000014_000001	"Well, didn't we call this meeting just especially because you told us to?	"Well, didn't we call this meeting just especially because you told us to?	true	458.72	462.19	16
3546_9321_000014_000002	You said yourself we ought to have a kind of celebration because you've got back to town, George, and that's what we're here for now, and everything.	You said yourself we ought to have a kind of celebration because you've got back to town, George, and that's what we're here for now, and everything.	false	462.29	469.09	14
3546_9321_000014_000003	What do you care about being president?	What do you care about being president?	true	469.34	471.135	18
3546_9321_000014_000004	All it amounts to is just calling the roll and--"	All it amounts to is just calling the roll and-"	true	471.135	473.56	14
3546_9321_000015_000000	The president de facto hammered the table.	The president de facto hammered the table.	true	473.75	476.02	18.508348
3546_9321_000015_000001	"This meeting will now proceed to--"	"This meeting will now proceed to-"	true	476.03	478.12	14
3546_9321_000016_000000	"No, it won't," said George, and he advanced to the desk, laughing contemptuously.	"No, it won't," said George, and he advanced to the desk, laughing contemptuously.	true	478.22	482.5	19
3546_9321_000016_000001	"Get off that platform."	"Get off that platform."	true	482.54	484.06	19.936422
3546_9321_000017_000000	"This meeting will come to order!" Mr. Kinney commanded fiercely.	"This meeting will come to order!" mr Kinney commanded fiercely.	true	484.43	487.6	19
3546_9321_000018_000000	"You put down that gavel," said George.	"You put down that gavel," said George.	true	487.79	489.945	19.976864
3546_9321_000018_000001	"Whose is it, I'd like to know? It belongs to my grandfather, and you quit hammering it that way or you'll break it, and I'll have to knock your head off."	"Whose is it, I'd like to know? It belongs to my grandfather, and you quit hammering it that way or you'll break it, and I'll have to knock your head off."	false	489.945	496.68	16
3546_9321_000019_000000	"This meeting will come to order!	"This meeting will come to order!	false	496.68	498.705	20.02445
3546_9321_000019_000001	I was legally elected here, and I'm not going to be bulldozed!"	I was legally elected here, and I'm not going to be bulldozed!"	true	498.705	501.58	18
3546_9321_000020_000000	"All right," said Georgie.	"All right," said Georgie.	true	501.98	503.34	22
3546_9321_000020_000001	"You're president.	"You're president.	false	503.34	504.465	20.125134
3546_9321_000020_000002	Now we'll hold another election."	Now we'll hold another election."	true	504.465	506.17	20.073723
3546_9321_000021_000000	"We will not!" Fred Kinney shouted.	"We will not!" Fred Kinney shouted.	true	506.57	508.53	18.755781
3546_9321_000021_000001	"We'll have our reg'lar meeting, and then we'll play euchre & nickel a corner, what we're here for.	"We'll have our reg'lar meeting, and then we'll play euchre and nickel a corner, what we're here for.	true	508.53	513.06	17
3546_9321_000021_000002	This meeting will now come to ord--"	This meeting will now come to ord-"	false	513.06	515.67	18.87779
3546_9321_000022_000000	Georgie addressed the members.	Georgie addressed the members.	true	515.67	517.18	22
3546_9321_000022_000001	"I'd like to know who got up this thing in the first place," he said.	"I'd like to know who got up this thing in the first place," he said.	true	517.67	521.07	21
3546_9321_000022_000002	"Who's the founder of the F.O.T.A., if you please?	"Who's the founder of the f o t a, if you please?	true	521.07	523.93	19
3546_9321_000022_000003	Who got this room rent free?	Who got this room rent free?	true	524.21	526.06	21.899586
3546_9321_000022_000004	Who got the janitor to let us have most of this furniture?	Who got the janitor to let us have most of this furniture?	true	526.19	529.12	21
3546_9321_000022_000005	You suppose you could keep this clubroom a minute if I told my grandfather I didn't want it for a literary club any more?	You suppose you could keep this clubroom a minute if I told my grandfather I didn't want it for a literary club any more?	true	529.19	534.67	14
3546_9321_000022_000006	I'd like to say a word on how you members been acting, too!	I'd like to say a word on how you members been acting, too!	true	535.28	538.33	15
3546_9321_000022_000007	When I went away I said I didn't care if you had a vice-president or something while I was gone, but here I hardly turned my back and you had to go and elect Fred Kinney president!	When I went away I said I didn't care if you had a vice president or something while I was gone, but here I hardly turned my back and you had to go and elect Fred Kinney president!	true	538.58	547.15	16
3546_9321_000022_000008	Well, if that's what you want, you can have it.	Well, if that's what you want, you can have it.	true	547.4	549.33	22
3546_9321_000022_000009	I was going to have a little celebration down here some night pretty soon, and bring some port wine, like we drink at school in our crowd there, and I was going to get my grandfather to give the club an extra room across the hall, and prob'ly I could get my Uncle George to give us his old billiard table, because he's got a new one, and the club could put it in the other room.	I was going to have a little celebration down here some night pretty soon, and bring some port wine, like we drink at school in our crowd there, and I was going to get my grandfather to give the club an extra room across the hall, and prob'ly I could get my Uncle George to give us his old billiard table, because he's got a new one, and the club could put it in the other room.	false	549.33	565.87	15
3546_9321_000022_000010	Well, you got a new president now!" Here Georgie moved toward the door and his tone became plaintive, though undeniably there was disdain beneath his sorrow.	Well, you got a new president now!" Here Georgie moved toward the door and his tone became plaintive, though undeniably there was disdain beneath his sorrow.	true	566.24	575.17	19
3546_9321_000022_000011	"I guess all I better do is--resign!"	"I guess all I better do is-resign!"	true	575.54	578.23	21
3546_9321_000023_000000	And he opened the door, apparently intending to withdraw.	And he opened the door, apparently intending to withdraw.	true	578.81	581.59	16
3546_9321_000024_000000	"All in favour of having a new election," Charlie Johnson shouted hastily, "say, 'Aye'!"	"All in favour of having a new election," Charlie Johnson shouted hastily, "say, 'Aye'!"	true	582.02	586.41	19.912674
3546_9321_000025_000000	"Aye" was said by everyone present except Mr. Kinney, who began a hot protest, but it was immediately smothered.	"Aye" was said by everyone present except mr Kinney, who began a hot protest, but it was immediately smothered.	false	586.41	592.81	19.698172
3546_9321_000026_000000	"All in favour of me being president instead of Fred Kinney," shouted Georgie, "say 'Aye.' The 'Ayes' have it!"	"All in favour of me being president instead of Fred Kinney," shouted Georgie, "say 'Aye.' The 'Ayes' have it!"	false	593.48	599.2	20.626764
3546_9321_000027_000000	"I resign," said the red-headed boy, gulping as he descended from the platform.	"I resign," said the red headed boy, gulping as he descended from the platform.	false	599.66	604.02	19.180792
3546_9321_000027_000001	"I resign from the club!"	"I resign from the club!"	true	604.02	605.71	18.754223
3546_9321_000028_000000	Hot-eyed, he found his hat and departed, jeers echoing after him as he plunged down the corridor.	Hot eyed, he found his hat and departed, jeers echoing after him as he plunged down the corridor.	true	605.9	611.14	15
3546_9321_000028_000001	Georgie stepped upon the platform, and took up the emblem of office.	Georgie stepped upon the platform, and took up the emblem of office.	true	611.39	614.59	15
3546_9321_000029_000000	"Ole red-head Fred'll be around next week," said the new chairman. "He'll be around boot-lickin' to get us to take him back in again, but I guess we don't want him: that fellow always was a trouble-maker.	"Ole red head Fred'll be around next week," said the new chairman. "He'll be around boot lickin' to get us to take him back in again, but I guess we don't want him: that fellow always was a trouble maker.	false	614.99	624.28	16
3546_9321_000029_000001	We will now proceed with our meeting.	We will now proceed with our meeting.	true	624.56	626.56	14
3546_9321_000029_000002	Well, fellows, I suppose you want to hear from your president.	Well, fellows, I suppose you want to hear from your president.	true	626.69	629.29	14
3546_9321_000029_000003	I don't know that I have much to say, as I have already seen most of you a few times since I got back.	I don't know that I have much to say, as I have already seen most of you a few times since I got back.	false	629.33	634.03	15
3546_9321_000029_000004	I had a good time at the old school, back East, but had a little trouble with the faculty and came on home.	I had a good time at the old school, back East, but had a little trouble with the faculty and came on home.	true	634.13	639.21	16
3546_9321_000029_000005	My family stood by me as well as I could ask, and I expect to stay right here in the old town until whenever I decide to enter college.	My family stood by me as well as I could ask, and I expect to stay right here in the old town until whenever I decide to enter college.	true	639.21	645.46	11
3546_9321_000029_000006	Now, I don't suppose there's any more business before the meeting.	Now, I don't suppose there's any more business before the meeting.	true	645.86	648.61	15
3546_9321_000029_000007	I guess we might as well play cards.	I guess we might as well play cards.	true	648.65	650.5	18
3546_9321_000029_000008	Anybody that's game for a little quarter-limit poker or any limit they say, why I'd like to have 'em sit at the president's card-table."	Anybody that's game for a little quarter limit poker or any limit they say, why I'd like to have 'em sit at the president's card table."	false	650.69	657.58	17
3546_9321_000030_000000	When the diversions of the Friends of the Ace were concluded for that afternoon, Georgie invited his chief supporter, Mr. Charlie Johnson, to drive home with him to dinner, and as they jingled up National Avenue in the dog-cart, Charlie asked:	When the diversions of the Friends of the Ace were concluded for that afternoon, Georgie invited his chief supporter, mr Charlie Johnson, to drive home with him to dinner, and as they jingled up National Avenue in the dog cart, Charlie asked:	false	658.07	670.51	18
3546_9321_000031_000000	"What sort of men did you run up against at that school, George?"	"What sort of men did you run up against at that school, George?"	true	670.7	673.81	19
3546_9321_000032_000000	"Best crowd there: finest set of men I ever met."	"Best crowd there: finest set of men I ever met."	true	674.03	676.9	17
3546_9321_000033_000000	"How'd you get in with 'em?"	"How'd you get in with 'em?"	false	677.15	678.66	19.221636
3546_9321_000034_000000	Georgie laughed.	Georgie laughed.	true	678.66	679.75	15.909417
3546_9321_000034_000001	"I let them get in with me, Charlie," he said in a tone of gentle explanation.	"I let them get in with me, Charlie," he said in a tone of gentle explanation.	true	679.91	684.25	20
3546_9321_000034_000002	"It's vulgar to do any other way.	"It's vulgar to do any other way.	true	684.38	686.2	21
3546_9321_000034_000003	Did I tell you the nickname they gave me--'King'?	Did I tell you the nickname they gave me-'King'?	true	686.27	689.34	23.813063
3546_9321_000034_000004	That was what they called me at that school, 'King Minafer."	That was what they called me at that school, 'King Minafer."	false	689.34	692.35	20.766502
3546_9321_000035_000000	"How'd they happen to do that?" his friend asked innocently.	"How'd they happen to do that?" his friend asked innocently.	true	693.02	695.95	19
3546_9321_000036_000000	"Oh, different things," George answered lightly.	"Oh, different things," George answered lightly.	false	696.29	698.95	20
3546_9321_000036_000001	"Of course, any of 'em that came from anywhere out in this part the country knew about the family and all that, and so I suppose it was a good deal on account of--oh, on account of the family and the way I do things, most likely."	"Of course, any of 'em that came from anywhere out in this part the country knew about the family and all that, and so I suppose it was a good deal on account of-oh, on account of the family and the way I do things, most likely."	false	699.11	710.01	15
3546_9321_000037_000000	Chapter IV	Chapter four	false	710.01	710.07	-20
3546_9321_000038_000000	When Mr. George Amberson Minafer came home for the holidays at Christmastide, in his sophomore year, probably no great change had taken place inside him, but his exterior was visibly altered.	When mr George Amberson Minafer came home for the holidays at Christmastide, in his sophomore year, probably no great change had taken place inside him, but his exterior was visibly altered.	false	710.07	711.45	-7
3546_9321_000038_000001	Nothing about him encouraged any hope that he had received his come-upance; on the contrary, the yearners for that stroke of justice must yearn even more itchingly: the gilded youth's manner had become polite, but his politeness was of a kind which democratic people found hard to bear.	Nothing about him encouraged any hope that he had received his come upance; on the contrary, the yearners for that stroke of justice must yearn even more itchingly: the gilded youth's manner had become polite, but his politeness was of a kind which democratic people found hard to bear.	false	711.45	714.75	17.2898
3546_9321_000038_000002	In a word, M. le Due had returned from the gay life of the capital to show himself for a week among the loyal peasants belonging to the old chateau, and their quaint habits and costumes afforded him a mild amusement.	In a word, m le Due had returned from the gay life of the capital to show himself for a week among the loyal peasants belonging to the old chateau, and their quaint habits and costumes afforded him a mild amusement.	false	714.75	718.32	-20
