8075_279233_000000_000000	V	V	false	9.6	11.07	-20
8075_279233_000012_000001	I may some day be called upon to be a garden, and the least I can do is to get myself into some sort of shape, so that, when the time comes, I will be fairly ready to receive a seed or two."	I may some day be called upon to be a garden, and the least I can do is to get myself into some sort of shape, so that, when the time comes, I will be fairly ready to receive a seed or two."	true	327.62	339.22	22.84561
8075_279233_000013_000000	But no! Year in and year out they have been drifting along in a fools' paradise, accumulating stones and queer, indistinguishable cans and things, until they were prepared to become anything, quarries, iron-mines, notion-counters,--anything but gardens.	But no! Year in and year out they have been drifting along in a fools' paradise, accumulating stones and queer, indistinguishable cans and things, until they were prepared to become anything, quarries, iron mines, notion counters,--anything but gardens.	true	339.62	360.58	22.466219
8075_279233_000014_000000	I have saved in a box all the things that I have dug from my back-yard, and, when I have them assembled, all I will need will be a good engine to make them into a pretty fairly decent runabout,--nothing elaborate, mind you, but good enough to run the family out in on Sunday afternoons.	I have saved in a box all the things that I have dug from my back yard, and, when I have them assembled, all I will need will be a good engine to make them into a pretty fairly decent runabout,--nothing elaborate, mind you, but good enough to run the family out in on Sunday afternoons.	true	361.52	379	23.613474
8075_279233_000015_000000	And then there are lots of other things that wouldn't even fit into the runabout.	And then there are lots of other things that wouldn't even fit into the runabout.	true	379.43	383.95	20.364908
8075_279233_000015_000001	Queer-looking objects, they are; things that perhaps in their hey-dey were rather stunning, but which have now assumed an air of indifference, as if to say, "Oh, call me anything, old fellow, Ice-pick, Mainspring, Cigar-lighter, anything, I don't care." I tell you, it's enough to make a man stop and think.	Queer looking objects, they are; things that perhaps in their hey dey were rather stunning, but which have now assumed an air of indifference, as if to say, "Oh, call me anything, old fellow, Ice pick, Mainspring, Cigar lighter, anything, I don't care." I tell you, it's enough to make a man stop and think.	false	384.2	407.17	25.11208
8075_279233_000015_000002	But there, I mustn't get sentimental.	But there, I mustn't get sentimental.	true	407.42	409.93	27.768751
8075_279233_000016_000000	In preparing the soil for planting, you will need several tools. Dynamite would be a beautiful thing to use, but it would have a tendency to get the dirt into the front-hall and track up the stairs. This not being practicable, there is no other way but for you to get at it with a fork (oh, don' be silly), a spade, and a rake.	In preparing the soil for planting, you will need several tools. Dynamite would be a beautiful thing to use, but it would have a tendency to get the dirt into the front hall and track up the stairs. This not being practicable, there is no other way but for you to get at it with a fork (oh, don' be silly), a spade, and a rake.	false	410.93	433.27	23.054585
8075_279233_000016_000001	If you have an empty and detached furnace boiler, you might bring that along to fill with the stones you will dig up.	If you have an empty and detached furnace boiler, you might bring that along to fill with the stones you will dig up.	true	433.64	440.83	24.35932
8075_279233_000016_000002	If it is a small garden, you ought not to have to empty the boiler more than three or four times. Any neighbor who is building a stone house will be glad to contract with you for the stones, and those that are left over after he has got his house built can be sold to another neighbor who is building another stone house.	If it is a small garden, you ought not to have to empty the boiler more than three or four times. Any neighbor who is building a stone house will be glad to contract with you for the stones, and those that are left over after he has got his house built can be sold to another neighbor who is building another stone house.	true	441.05	460.33	24.069962
8075_279233_000016_000003	Your market is limited only by the number of neighbors who are building stone houses.	Your market is limited only by the number of neighbors who are building stone houses.	true	460.55	465.43	21
8075_279233_000017_000000	On the first day, when you find yourself confronted by a stretch of untouched ground which is to be turned over (technical phrase, meaning to "turn over"), you may be somewhat at a loss to know where to begin. Such indecision is only natural, and should cause no worry on the part of the young gardener.	On the first day, when you find yourself confronted by a stretch of untouched ground which is to be turned over (technical phrase, meaning to "turn over"), you may be somewhat at a loss to know where to begin. Such indecision is only natural, and should cause no worry on the part of the young gardener.	true	466.25	486.43	23.436277
8075_279233_000017_000001	It is something we all have to go through with.	It is something we all have to go through with.	true	486.59	489.16	20.617504
8075_279233_000017_000002	You may feel that it would be futile and unsystematic to go about digging up a forkful here and a shovelful there, tossing the earth at random, in the hope that in due time you will get the place dug up.	You may feel that it would be futile and unsystematic to go about digging up a forkful here and a shovelful there, tossing the earth at random, in the hope that in due time you will get the place dug up.	true	489.44	501.7	23.76642
8075_279233_000017_000003	And so it would.	And so it would.	true	502.16	503.74	24.055065
8075_279233_000018_000000	The thing to do is to decide just where you want your garden, and what its dimensions are to be.	The thing to do is to decide just where you want your garden, and what its dimensions are to be.	true	504.44	510.55	22.757545
8075_279233_000018_000001	This will have necessitated a previous drawing up of a chart, showing just what is to be planted and where. As this chart will be the cause of considerable hard feeling in the family circle, usually precipitating a fist-fight over the number of rows of onions to be set out, I will not touch on that in this article.	This will have necessitated a previous drawing up of a chart, showing just what is to be planted and where. As this chart will be the cause of considerable hard feeling in the family circle, usually precipitating a fist fight over the number of rows of onions to be set out, I will not touch on that in this article.	true	511.25	532.09	22.709822
8075_279233_000018_000002	There are some things too intimate for even a professional agriculturist to write of.	There are some things too intimate for even a professional agriculturist to write of.	true	532.52	537.97	23.994051
8075_279233_000018_000003	I will say, however, that those in the family who are standing out for onions might much better save their time and feelings by pretending to give in, and then, later in the day, sneaking out and slipping the sprouts in by themselves in some spot where they will know where to find them again.	I will say, however, that those in the family who are standing out for onions might much better save their time and feelings by pretending to give in, and then, later in the day, sneaking out and slipping the sprouts in by themselves in some spot where they will know where to find them again.	true	538.88	556.39	23.61099
8075_279233_000019_000000	Having decided on the general plan and dimensions of the plot, gather the family about as if for a corner-stone dedication, and then make a rather impressive ceremony of driving in the first stake by getting your little boy to sing the first twelve words of some patriotic air. (If he doesn't know the first twelve, any twelve will do.	Having decided on the general plan and dimensions of the plot, gather the family about as if for a corner stone dedication, and then make a rather impressive ceremony of driving in the first stake by getting your little boy to sing the first twelve words of some patriotic air. (If he doesn't know the first twelve, any twelve will do.	true	557.33	579.43	23.51488
8075_279233_000019_000001	The idea is to keep the music going during the driving of the stake.)	The idea is to keep the music going during the driving of the stake.)	true	579.59	583.47	22.349983
8075_279233_000020_000000	[Illustration: "Make a rather impressive ceremony of driving the first stake."]	[Illustration: "Make a rather impressive ceremony of driving the first stake."]	false	583.47	585.42	25.582846
8075_279233_000021_000000	The stake is to be driven at an imaginary corner of what is to be your garden, and a string stretched to another stake at another imaginary corner, and there you have a line along which to dig.	The stake is to be driven at an imaginary corner of what is to be your garden, and a string stretched to another stake at another imaginary corner, and there you have a line along which to dig.	false	585.42	598.12	22.715982
8075_279233_000021_000001	This will be a big comfort.	This will be a big comfort.	true	598.58	600.64	18.732817
8075_279233_000021_000002	You will feel that at last you have something tangible. Now all that remains is to turn the ground over, harrow it, smooth it up nice and neat, plant your seeds, cultivate them, thin out your plants and pick the crops.	You will feel that at last you have something tangible. Now all that remains is to turn the ground over, harrow it, smooth it up nice and neat, plant your seeds, cultivate them, thin out your plants and pick the crops.	true	600.86	615.16	24.362587
8075_279233_000022_000000	It may seem that I have spent most of my time in advice on preparing the ground for planting.	It may seem that I have spent most of my time in advice on preparing the ground for planting.	true	616.58	622.3	22
8075_279233_000022_000001	Such may well be the case, as that was as far as I got.	Such may well be the case, as that was as far as I got.	true	622.67	626.8	27.22738
8075_279233_000022_000002	I then found a man who likes to do those things and whose doctor has told him that he ought to be out of doors all the time.	I then found a man who likes to do those things and whose doctor has told him that he ought to be out of doors all the time.	true	627.08	634.75	25.12282
8075_279233_000022_000003	He is an Italian, and charges really very little when you consider what he accomplishes.	He is an Italian, and charges really very little when you consider what he accomplishes.	true	635.18	640.57	24.563375
8075_279233_000022_000004	Any further advice on starting and keeping up a garden, I shall have to get him to write for you.	Any further advice on starting and keeping up a garden, I shall have to get him to write for you.	false	641.03	652.56	26.466316
