8075_279233_000001_000000	GARDENING NOTES	GARDENING NOTES
8075_279233_000016_000002	If it is a small garden, you ought not to have to empty the boiler more than three or four times. Any neighbor who is building a stone house will be glad to contract with you for the stones, and those that are left over after he has got his house built can be sold to another neighbor who is building another stone house.	If it is a small garden, you ought not to have to empty the boiler more than three or four times. Any neighbor who is building a stone house will be glad to contract with you for the stones, and those that are left over after he has got his house built can be sold to another neighbor who is building another stone house.
8075_279233_000016_000003	Your market is limited only by the number of neighbors who are building stone houses.	Your market is limited only by the number of neighbors who are building stone houses.
8075_279233_000017_000000	On the first day, when you find yourself confronted by a stretch of untouched ground which is to be turned over (technical phrase, meaning to "turn over"), you may be somewhat at a loss to know where to begin. Such indecision is only natural, and should cause no worry on the part of the young gardener.	On the first day, when you find yourself confronted by a stretch of untouched ground which is to be turned over (technical phrase, meaning to "turn over"), you may be somewhat at a loss to know where to begin. Such indecision is only natural, and should cause no worry on the part of the young gardener.
8075_279233_000017_000001	It is something we all have to go through with.	It is something we all have to go through with.
8075_279233_000017_000002	You may feel that it would be futile and unsystematic to go about digging up a forkful here and a shovelful there, tossing the earth at random, in the hope that in due time you will get the place dug up.	You may feel that it would be futile and unsystematic to go about digging up a forkful here and a shovelful there, tossing the earth at random, in the hope that in due time you will get the place dug up.
8075_279233_000017_000003	And so it would.	And so it would.
8075_279233_000018_000000	The thing to do is to decide just where you want your garden, and what its dimensions are to be.	The thing to do is to decide just where you want your garden, and what its dimensions are to be.
8075_279233_000018_000001	This will have necessitated a previous drawing up of a chart, showing just what is to be planted and where. As this chart will be the cause of considerable hard feeling in the family circle, usually precipitating a fist-fight over the number of rows of onions to be set out, I will not touch on that in this article.	This will have necessitated a previous drawing up of a chart, showing just what is to be planted and where. As this chart will be the cause of considerable hard feeling in the family circle, usually precipitating a fist fight over the number of rows of onions to be set out, I will not touch on that in this article.
8075_279233_000018_000002	There are some things too intimate for even a professional agriculturist to write of.	There are some things too intimate for even a professional agriculturist to write of.
8075_279233_000018_000003	I will say, however, that those in the family who are standing out for onions might much better save their time and feelings by pretending to give in, and then, later in the day, sneaking out and slipping the sprouts in by themselves in some spot where they will know where to find them again.	I will say, however, that those in the family who are standing out for onions might much better save their time and feelings by pretending to give in, and then, later in the day, sneaking out and slipping the sprouts in by themselves in some spot where they will know where to find them again.
8075_279233_000019_000000	Having decided on the general plan and dimensions of the plot, gather the family about as if for a corner-stone dedication, and then make a rather impressive ceremony of driving in the first stake by getting your little boy to sing the first twelve words of some patriotic air. (If he doesn't know the first twelve, any twelve will do.	Having decided on the general plan and dimensions of the plot, gather the family about as if for a corner stone dedication, and then make a rather impressive ceremony of driving in the first stake by getting your little boy to sing the first twelve words of some patriotic air. (If he doesn't know the first twelve, any twelve will do.
8075_279233_000019_000001	The idea is to keep the music going during the driving of the stake.)	The idea is to keep the music going during the driving of the stake.)
8075_279233_000021_000002	You will feel that at last you have something tangible. Now all that remains is to turn the ground over, harrow it, smooth it up nice and neat, plant your seeds, cultivate them, thin out your plants and pick the crops.	You will feel that at last you have something tangible. Now all that remains is to turn the ground over, harrow it, smooth it up nice and neat, plant your seeds, cultivate them, thin out your plants and pick the crops.
8075_279233_000022_000000	It may seem that I have spent most of my time in advice on preparing the ground for planting.	It may seem that I have spent most of my time in advice on preparing the ground for planting.
8075_279233_000022_000001	Such may well be the case, as that was as far as I got.	Such may well be the case, as that was as far as I got.
8075_279233_000022_000002	I then found a man who likes to do those things and whose doctor has told him that he ought to be out of doors all the time.	I then found a man who likes to do those things and whose doctor has told him that he ought to be out of doors all the time.
8075_279233_000022_000003	He is an Italian, and charges really very little when you consider what he accomplishes.	He is an Italian, and charges really very little when you consider what he accomplishes.
