5570_73848_000000_000000	'What is it?' he cried, hastily stooping close.	'What is it?' he cried, hastily stooping close.	false	0	2.55	29.272923
5570_73848_000004_000001	However ridiculous that idea, it was not more ridiculous, more incredible than the actual fact.	However ridiculous that idea, it was not more ridiculous, more incredible than the actual fact.	true	81.38	87.73	24.912237
5570_73848_000004_000002	If he had remained there, he might, it was just possible that he would by now, have actually awakened just his own familiar every-day self again.	If he had remained there, he might, it was just possible that he would by now, have actually awakened just his own familiar every day self again.	true	87.95	96.76	23.370161
5570_73848_000004_000003	And the thought of that--though he hardly realised its full import--actually did send him on tip-toe for a glance that more or less effectually set the question at rest.	And the thought of that-though he hardly realised its full import-actually did send him on tip toe for a glance that more or less effectually set the question at rest.	true	97.28	108.58	24.79611
5570_73848_000004_000004	And there looked out at him, it seemed, the same dark sallow face that had so much appalled him only two nights ago--expressionless, cadaverous, with shadowy hollows beneath the glittering eyes.	And there looked out at him, it seemed, the same dark sallow face that had so much appalled him only two nights ago-expressionless, cadaverous, with shadowy hollows beneath the glittering eyes.	true	109.25	123.04	24.27067
5570_73848_000004_000005	And even as he watched it, its lips, of their own volition, drew together and questioned him--'Whose?'	And even as he watched it, its lips, of their own volition, drew together and questioned him-'Whose?'	true	123.71	131.89	21.294874
5570_73848_000005_000000	He was not to be given much leisure, however, for fantastic reveries like this.	He was not to be given much leisure, however, for fantastic reveries like this.	true	133.19	137.86	22.556856
5570_73848_000005_000001	As he leaned his head on his hands, gladly conscious that he could not possibly bear this incessant strain for long, Sheila opened the door.	As he leaned his head on his hands, gladly conscious that he could not possibly bear this incessant strain for long, Sheila opened the door.	true	138.26	146.53	22.941654
5570_73848_000005_000002	He started up.	He started up.	true	146.87	148.12	27.603992
5570_73848_000006_000000	'I wish you would knock,' he said angrily; 'you talk of quiet; you tell me to rest, and think; and here you come creeping and spying on me as if I was a child in a nursery.	'I wish you would knock,' he said angrily; 'you talk of quiet; you tell me to rest, and think; and here you come creeping and spying on me as if I was a child in a nursery.	false	148.73	159.22	25.753805
5570_73848_000006_000001	I refuse to be watched and guarded and peeped on like this.' He knew that his hands were trembling, that he could not keep his eyes fixed, that his voice was nearly inarticulate.	I refuse to be watched and guarded and peeped on like this.' He knew that his hands were trembling, that he could not keep his eyes fixed, that his voice was nearly inarticulate.	true	159.35	169.96	23.735815
5570_73848_000007_000000	Sheila drew in her lips.	Sheila drew in her lips.	true	170.75	172.54	30.635036
5570_73848_000007_000001	'I have merely come to tell you, Arthur, that Mr Bethany has brought Mr Danton in to supper.	'I have merely come to tell you, Arthur, that Mr Bethany has brought Mr Danton in to supper.	true	173.18	178.33	26.306711
5570_73848_000007_000002	He agrees with me it really would be advisable to take such a very old and prudent and practical friend into our confidence.	He agrees with me it really would be advisable to take such a very old and prudent and practical friend into our confidence.	true	178.46	185.02	25.364153
5570_73848_000007_000003	You do nothing I ask of you.	You do nothing I ask of you.	true	185.21	186.97	23.702816
5570_73848_000007_000004	I simply cannot bear the burden of this incessant anxiety.	I simply cannot bear the burden of this incessant anxiety.	true	186.98	190.42	23.76804
5570_73848_000007_000005	Look, now, what your night walk has done for you!	Look, now, what your night walk has done for you!	true	190.94	193.48	34.58117
5570_73848_000007_000006	You look positively at death's door.'	You look positively at death's door.'	true	193.55	195.94	21.024035
5570_73848_000008_000000	'What--what an instinct you have for the right word,' said Lawford softly.	'What-what an instinct you have for the right word,' said Lawford softly.	true	196.7	201.73	26.117304
5570_73848_000008_000001	'And Danton, of all people in the world!	'And Danton, of all people in the world!	true	202.07	204.79	26.546604
5570_73848_000008_000002	It was surely rather a curious, a thoughtless choice.	It was surely rather a curious, a thoughtless choice.	true	204.8	208.06	24.061518
5570_73848_000008_000003	Has he had supper?'	Has he had supper?'	true	208.4	209.8	27.074564
5570_73848_000009_000000	'Why do you ask?'	'Why do you ask?'	true	210.35	211.87	27.316946
5570_73848_000010_000000	'He won't believe: too--bloated.'	'He won't believe: too-bloated.'	true	211.97	214.9	24.168499
5570_73848_000011_000000	'I think,' said Sheila indignantly, 'it is hardly fair to speak of a very old and a very true friend of mine in such--well, vulgar terms as that.	'I think,' said Sheila indignantly, 'it is hardly fair to speak of a very old and a very true friend of mine in such-well, vulgar terms as that.	false	215.51	226.75	24.845407
5570_73848_000011_000001	Besides, Arthur, as for believing--without in the least desiring to hurt your feelings--I must candidly warn you, some people won't.'	Besides, Arthur, as for believing-without in the least desiring to hurt your feelings-I must candidly warn you, some people won't.'	true	227.12	235.57	22.77174
5570_73848_000012_000000	'Come along,' said Lawford, with a faint gust of laughter; 'let's see.'	'Come along,' said Lawford, with a faint gust of laughter; 'let's see.'	true	236.36	240.94	25.00279
5570_73848_000013_000000	They went quickly downstairs, Sheila with less dignity, perhaps, than she had been surprised into since she had left a slimmer girlhood behind.	They went quickly downstairs, Sheila with less dignity, perhaps, than she had been surprised into since she had left a slimmer girlhood behind.	true	242.18	251.14	22.429602
5570_73848_000013_000001	She swept into the gaze of the two gentlemen standing together on the hearthrug; and so was caught, as it were, between a rain of conflicting glances, for her husband had followed instantly, and stood now behind her, stooping a little, and with something between contempt and defiance confronting an old fat friend, whom that one brief challenging instant had congealed into a condition of passive and immovable hostility.	She swept into the gaze of the two gentlemen standing together on the hearthrug; and so was caught, as it were, between a rain of conflicting glances, for her husband had followed instantly, and stood now behind her, stooping a little, and with something between contempt and defiance confronting an old fat friend, whom that one brief challenging instant had congealed into a condition of passive and immovable hostility.	false	251.54	278.17	24.279184
5570_73848_000014_000000	Mr Danton composed his chin in his collar, and deliberately turned himself towards his companion.	Mr Danton composed his chin in his collar, and deliberately turned himself towards his companion.	true	279.02	284.62	23
5570_73848_000014_000001	His small eyes wandered, and instantaneously met and rested on those of Mrs Lawford.	His small eyes wandered, and instantaneously met and rested on those of Mrs Lawford.	true	284.87	290.2	22.757607
5570_73848_000015_000000	'Arthur thought he would prefer to come down and see you himself.'	'Arthur thought he would prefer to come down and see you himself.'	true	291.11	294.64	29.16739
5570_73848_000016_000000	'You take such formidable risks, Lawford,' said Mr Bethany in a dry, difficult voice.	'You take such formidable risks, Lawford,' said Mr Bethany in a dry, difficult voice.	true	295.22	301.15	25.25828
5570_73848_000017_000000	'Am I really to believe,' Danton began huskily.	'Am I really to believe,' Danton began huskily.	true	302.24	306.04	22.785738
5570_73848_000017_000001	'I am sure, Bethany, you will--My dear Mrs Lawford!' said he, stirring vaguely, glancing restlessly.	'I am sure, Bethany, you will-My dear Mrs Lawford!' said he, stirring vaguely, glancing restlessly.	true	306.26	313.84	25.015018
5570_73848_000018_000000	'It was not my wish, Vicar, to come at all,' said a voice from the doorway.	'It was not my wish, Vicar, to come at all,' said a voice from the doorway.	true	314.48	319	20.38595
5570_73848_000018_000001	'To tell you the truth, I am too tired to care a jot either way.	'To tell you the truth, I am too tired to care a jot either way.	true	319.31	323.65	23.691294
5570_73848_000018_000002	And'--he lifted a long arm--'I must positively refuse to produce the least, the remotest proof that I am not, so far as I am personally aware, even the Man in the Moon.	And'--he lifted a long arm-'I must positively refuse to produce the least, the remotest proof that I am not, so far as I am personally aware, even the Man in the Moon.	true	324.08	337.12	23.064995
5570_73848_000018_000003	Danton at heart was always an incorrigible sceptic.	Danton at heart was always an incorrigible sceptic.	true	337.34	340.63	24.696123
5570_73848_000018_000004	Aren't you, T. D.?	Aren't you, t d?	true	340.64	342.01	29.265192
5570_73848_000018_000005	You pride your dear old brawn on it in secret?'	You pride your dear old brawn on it in secret?'	true	342.14	345.31	24.590466
5570_73848_000019_000000	'I really--' began Danton in a rich still voice.	'I really-' began Danton in a rich still voice.	false	346.25	350.44	19.52462
5570_73848_000020_000000	'Oh, but you know you are,' drawled on the slightly hesitating long-drawn syllables; 'it's your parochial metier.	'Oh, but you know you are,' drawled on the slightly hesitating long drawn syllables; 'it's your parochial metier.	true	350.78	358.72	22.459852
5570_73848_000020_000001	Firm, unctuous, subtle, scepticism; and to that end your body flourishes.	Firm, unctuous, subtle, scepticism; and to that end your body flourishes.	false	358.82	364.6	20.994783
5570_73848_000020_000002	You were born fat; you became fat; and fat, my dear Danton, has been deliberately thrust on you--in layers!	You were born fat; you became fat; and fat, my dear Danton, has been deliberately thrust on you-in layers!	true	364.67	373.33	28.828766
5570_73848_000020_000003	Lampreys!	Lampreys!	true	373.76	374.895	27.068491
5570_73848_000020_000004	You'll perish of surfeit some day, of sheer Dantonism.	You'll perish of surfeit some day, of sheer Dantonism.	true	374.895	378.67	24.282759
5570_73848_000020_000005	And fat, postmortem, Danton.	And fat, postmortem, Danton.	true	378.98	381.4	26.175762
5570_73848_000020_000006	Oh, what a basting's there!'	Oh, what a basting's there!'	true	381.41	383.77	25.257133
5570_73848_000021_000000	Mr Bethany, with a convulsive effort, woke.	Mr Bethany, with a convulsive effort, woke.	true	384.65	388.21	29.013084
5570_73848_000021_000001	He turned swiftly on Mrs Lawford. 'Why, why, could you not have seen?' he cried.	He turned swiftly on Mrs Lawford. 'Why, why, could you not have seen?' he cried.	true	388.25	394.48	25.792643
5570_73848_000022_000000	'It's no good, Vicar.	'It's no good, Vicar.	true	394.91	396.48	22.85668
5570_73848_000022_000001	She's all sheer Laodicean.	She's all sheer Laodicean.	true	396.48	398.83	19.574661
5570_73848_000022_000002	Blow hot, blow cold. North, south, east, west--to have a weathercock for a wife is to marry the wind.	Blow hot, blow cold. North, south, east, west-to have a weathercock for a wife is to marry the wind.	true	399.02	408.1	22.89871
5570_73848_000022_000003	There's nothing to be got from poor Sheila but....	There's nothing to be got from poor Sheila but....	true	408.38	411.37	26.69888
5570_73848_000023_000000	'Lawford!' the little man's voice was as sharp as the crack of a whip; 'I forbid it.	'Lawford!' the little man's voice was as sharp as the crack of a whip; 'I forbid it.	true	411.65	417.61	25.788582
5570_73848_000023_000001	Do you hear me?	Do you hear me?	true	417.65	418.62	22.028343
5570_73848_000023_000002	I forbid it.	I forbid it.	true	418.62	419.83	27.908768
5570_73848_000023_000003	Some self-command; my dear good fellow, remember, remember it's only the will, the will that keeps us breathing.'	Some self command; my dear good fellow, remember, remember it's only the will, the will that keeps us breathing.'	true	419.96	427.75	18.117859
5570_73848_000024_000000	Lawford peered as if out of a gathering dusk, that thickened and flickered with shadows before his eyes.	Lawford peered as if out of a gathering dusk, that thickened and flickered with shadows before his eyes.	true	428.66	435.01	23.820196
5570_73848_000024_000001	'What's he mean, then,' he muttered huskily, 'coming here with his black, still carcase--peeping, peeping--what's he mean, I say?' There was a moment's silence.	'What's he mean, then,' he muttered huskily, 'coming here with his black, still carcase-peeping, peeping-what's he mean, I say?' There was a moment's silence.	true	435.83	447.16	24.639181
5570_73848_000024_000002	Then with lifted brows and wide eyes that to every one of his three witnesses left an indelible memory of clear and wolfish light within their glassy pupils, he turned heavily, and climbed back to his solitude.	Then with lifted brows and wide eyes that to every one of his three witnesses left an indelible memory of clear and wolfish light within their glassy pupils, he turned heavily, and climbed back to his solitude.	true	447.56	461.56	23.956245
5570_73848_000025_000000	'I suppose,' began Danton, with an obvious effort to disentangle himself from the humiliation of the moment, 'I suppose he was--wandering?'	'I suppose,' began Danton, with an obvious effort to disentangle himself from the humiliation of the moment, 'I suppose he was-wandering?'	true	462.35	471.91	21.874966
5570_73848_000026_000000	'Bless me, yes,' said Mr Bethany cordially--'fever.	'Bless me, yes,' said Mr Bethany cordially-'fever.	true	472.76	476.775	22.47107
5570_73848_000026_000001	We all know what that MEANS.'	We all know what that MEANS.'	true	476.775	478.66	30.77102
5570_73848_000027_000000	'Yes,' said Danton, taking refuge in Mrs Lawford's white and intent gaze.	'Yes,' said Danton, taking refuge in Mrs Lawford's white and intent gaze.	true	479	483.94	25.790747
5570_73848_000028_000000	'Just think, think, Danton--the awful, incessant strain of such an ordeal.	'Just think, think, Danton-the awful, incessant strain of such an ordeal.	false	484.85	490.21	21.879856
5570_73848_000028_000001	Think for an instant what such a thing means!'	Think for an instant what such a thing means!'	false	490.28	493.3	24.509455
5570_73848_000029_000000	Danton inserted a plump, white finger between collar and chin.	Danton inserted a plump, white finger between collar and chin.	true	493.73	497.74	22.523079
5570_73848_000029_000001	'Oh yes. But--eh?--needlessly abusive?	'Oh yes. But-eh?--needlessly abusive?	true	498.02	501.885	26.56211
5570_73848_000029_000002	I never SAID I disbelieved him.'	I never SAID I disbelieved him.'	true	501.885	504.13	26.86845
5570_73848_000030_000000	'Do you?' said Mrs Lawford's voice.	'Do you?' said Mrs Lawford's voice.	true	504.8	507.52	18.843725
5570_73848_000031_000000	He poised himself, as if it were, on the monolithic stability of his legs.	He poised himself, as if it were, on the monolithic stability of his legs.	true	508.07	513.63	25.940094
5570_73848_000031_000001	'Eh?' he said.	'Eh?' he said.	false	513.63	515.08	23.49849
5570_73848_000032_000000	Mr Bethany sat down at the table.	Mr Bethany sat down at the table.	true	515.42	517.78	27.264227
5570_73848_000032_000001	'I rather feared some such temporary breakdown as this, Danton.	'I rather feared some such temporary breakdown as this, Danton.	true	518.06	522.07	23.629816
5570_73848_000032_000002	I think I foresaw it.	I think I foresaw it.	true	522.26	523.9	26.008425
5570_73848_000032_000003	And now, just while we are all three alone here together in friendly conclave, wouldn't it be as well, don't you think, to confront ourselves with the difficulties? I know--we all know, that that poor half-demented creature IS Arthur Lawford.	And now, just while we are all three alone here together in friendly conclave, wouldn't it be as well, don't you think, to confront ourselves with the difficulties? I know-we all know, that that poor half demented creature IS Arthur Lawford.	true	524.42	540.82	23.7042
5570_73848_000032_000004	This morning he was as sane, as lucid as I hope I am now.	This morning he was as sane, as lucid as I hope I am now.	true	541.19	545.47	21.724342
5570_73848_000032_000005	An awful calamity has suddenly fallen upon him--this change.	An awful calamity has suddenly fallen upon him-this change.	true	546.2	550.63	23.330048
5570_73848_000032_000006	I own frankly at the first sheer shock it staggered me as I think for the moment it has staggered you.	I own frankly at the first sheer shock it staggered me as I think for the moment it has staggered you.	true	550.88	556.93	24.17935
5570_73848_000032_000007	But when I had seen the poor fellow face to face, heard him talk, and watched him there upstairs in the silence stir and awake and come up again to his trouble out of his sleep.	But when I had seen the poor fellow face to face, heard him talk, and watched him there upstairs in the silence stir and awake and come up again to his trouble out of his sleep.	true	557.45	568.36	24.330914
5570_73848_000032_000008	I had no more doubt in my own mind and heart that he was he than I have in my mind that I--am I. We do in some mysterious way, you'll own at once, grow so accustomed, so inured, if you like, to each other's faces (masks though they be) that we hardly realise we see them when we are speaking together.	I had no more doubt in my own mind and heart that he was he than I have in my mind that I-am i We do in some mysterious way, you'll own at once, grow so accustomed, so inured, if you like, to each other's faces (masks though they be) that we hardly realise we see them when we are speaking together.	true	568.55	590.77	21.494146
5570_73848_000032_000009	And yet the slightest, the most infinitesimal change is instantly apparent.'	And yet the slightest, the most infinitesimal change is instantly apparent.'	true	590.96	596.26	24.160915
5570_73848_000033_000000	'Oh yes, Vicar; but you see--'	'Oh yes, Vicar; but you see-'	true	597.2	599.74	25.490416
5570_73848_000034_000000	Mr Bethany raised a small lean hand: 'One moment, please.	Mr Bethany raised a small lean hand: 'One moment, please.	true	600.35	604.33	22.344511
5570_73848_000034_000001	I have heard Lawford's own account.	I have heard Lawford's own account.	true	605	607.42	24.402796
5570_73848_000034_000002	Conscious or unconscious, he has been through some terrific strain, some such awful conflict with the unseen powers that we--thank God!--have only read about, and never perhaps, until death is upon us, shall witness for ourselves.	Conscious or unconscious, he has been through some terrific strain, some such awful conflict with the unseen powers that we-thank God!--have only read about, and never perhaps, until death is upon us, shall witness for ourselves.	false	607.43	622.48	23.132044
5570_73848_000034_000003	What more likely, more inevitable than that such a thing should leave its scar, its cloud, its masking shadow?--call it what you will.	What more likely, more inevitable than that such a thing should leave its scar, its cloud, its masking shadow?--call it what you will.	true	622.88	631.6	22.581264
5570_73848_000034_000004	A smile can turn a face we dread into a face we'd die for.	A smile can turn a face we dread into a face we'd die for.	true	632.21	636.25	24.155418
5570_73848_000034_000005	Some experience, which would be nothing but a hideous cruelty and outrage to ask too closely about--one, perhaps, which he could, even if he would, poor fellow, give no account of--has put him temporarily at the world's mercy.	Some experience, which would be nothing but a hideous cruelty and outrage to ask too closely about-one, perhaps, which he could, even if he would, poor fellow, give no account of-has put him temporarily at the world's mercy.	true	636.8	651.43	24.083141
5570_73848_000034_000006	They made him a nine days' wonder, a byword.	They made him a nine days' wonder, a byword.	true	651.83	655.27	19.712797
5570_73848_000034_000007	And that, my dear Danton, is just where we come in. We know the man himself; and it is to be our privilege to act as a buffer-state, to be intermediaries between him and the rest of this deadly, craving, sheepish world--for the time being; oh yes, just for the time being.	And that, my dear Danton, is just where we come in. We know the man himself; and it is to be our privilege to act as a buffer state, to be intermediaries between him and the rest of this deadly, craving, sheepish world-for the time being; oh yes, just for the time being.	true	655.4	674.47	23.277267
5570_73848_000034_000008	Other and keener and more knowledgeable minds than mine or yours will some day bring him back to us again.	Other and keener and more knowledgeable minds than mine or yours will some day bring him back to us again.	true	675.08	681.91	20.818657
5570_73848_000034_000009	We don't attempt to explain; we can't.	We don't attempt to explain; we can't.	true	682.19	685.21	24.910753
5570_73848_000034_000010	We simply believe.'	We simply believe.'	true	685.52	687.31	23.293184
5570_73848_000035_000000	But Danton merely continued to stare, as if into the quiet of an aquarium.	But Danton merely continued to stare, as if into the quiet of an aquarium.	true	688.28	693.1	26.466873
5570_73848_000036_000000	'My dear good Danton,' persisted Mr Bethany with cherubic patience, 'how old are you?'	'My dear good Danton,' persisted Mr Bethany with cherubic patience, 'how old are you?'	true	693.86	699.76	21.871655
5570_73848_000037_000000	'I don't see quite...' smiled Danton with recovered ease, and rapidly mobilising forces.	'I don't see quite...' smiled Danton with recovered ease, and rapidly mobilising forces.	true	700.73	707.29	23.994549
5570_73848_000037_000001	'Excuse the confidence, Mrs Lawford, I'm forty-three.'	'Excuse the confidence, Mrs Lawford, I'm forty three.'	true	707.6	711.64	25.167658
5570_73848_000038_000000	'Good,' said Mr Bethany; 'and I'm seventy-one, and this child here'--he pointed an accusing finger at Sheila--is youth perpetual.	'Good,' said Mr Bethany; 'and I'm seventy one, and this child here'--he pointed an accusing finger at Sheila-is youth perpetual.	true	712.58	722.02	25.276075
5570_73848_000038_000001	So,' he briskly brightened, 'say, between us we're six score all told.	So,' he briskly brightened, 'say, between us we're six score all told.	true	722.12	727.75	23.220203
5570_73848_000038_000002	Are we--can we, deliberately, with this mere pinch of years at our command out of the wheeling millions that have gone--can we say, "This is impossible," to any single phenomenon?	Are we-can we, deliberately, with this mere pinch of years at our command out of the wheeling millions that have gone-can we say, "This is impossible," to any single phenomenon?	true	728.09	740.35	24.209736
5570_73848_000038_000003	CAN we?'	CAN we?'	true	740.72	741.69	20.214996
5570_73848_000039_000000	'No, we can't, of course,' said Danton formidably.	'No, we can't, of course,' said Danton formidably.	false	741.69	746.11	27.833458
5570_73848_000039_000001	'Not finally.	'Not finally.	true	746.27	747.58	21.818348
5570_73848_000039_000002	That's all very well, but'--he paused, and nodded, nodding his round head upward as if towards the inaudible overhead, 'I suppose he can't HEAR?'	That's all very well, but'--he paused, and nodded, nodding his round head upward as if towards the inaudible overhead, 'I suppose he can't HEAR?'	true	747.65	758.86	24.05755
5570_73848_000040_000000	Mr Bethany rose cheerfully.	Mr Bethany rose cheerfully.	true	759.74	761.74	27.55641
5570_73848_000040_000001	'All right, Danton; I am afraid you are exactly what the poor fellow in his delirium solemnly asseverated. And, jesting apart, it is in delirium that we tell our sheer, plain, unadulterated truth: you're a nicely covered sceptic.	'All right, Danton; I am afraid you are exactly what the poor fellow in his delirium solemnly asseverated. And, jesting apart, it is in delirium that we tell our sheer, plain, unadulterated truth: you're a nicely covered sceptic.	true	762.14	777.94	22.089338
5570_73848_000040_000002	Personally, I refuse to discuss the matter.	Personally, I refuse to discuss the matter.	true	778.67	781.48	26.9948
5570_73848_000040_000003	Mere dull, stubborn prejudice; bigotry, if you like.	Mere dull, stubborn prejudice; bigotry, if you like.	true	781.82	785.41	22.08988
5570_73848_000040_000004	I will only remark just this--that Mrs Lawford and I, in our inmost hearts, know.	I will only remark just this-that Mrs Lawford and I, in our inmost hearts, know.	true	786.14	792.7	26.884815
5570_73848_000040_000005	You, my dear Danton, forgive the freedom, merely incredulously grope.	You, my dear Danton, forgive the freedom, merely incredulously grope.	true	793.22	798.1	24.7349
5570_73848_000040_000006	Faith versus Reason--that prehistoric Armageddon. Some day, and a day not far distant either, Lawford will come back to us.	Faith versus Reason-that prehistoric Armageddon. Some day, and a day not far distant either, Lawford will come back to us.	true	798.38	807.34	25.909245
5570_73848_000040_000007	This--this shutter will be taken down as abruptly as by some inconceivably drowsy heedlessness of common Nature it has been put up.	This-this shutter will be taken down as abruptly as by some inconceivably drowsy heedlessness of common Nature it has been put up.	true	808.01	816.46	23.085102
5570_73848_000040_000008	He'll win through; and of his own sheer will and courage.	He'll win through; and of his own sheer will and courage.	true	816.56	820.03	21.74353
5570_73848_000040_000009	But now, because I ask it, and this poor child here entreats it, you will say nothing to a living soul about the matter, say, till Friday?	But now, because I ask it, and this poor child here entreats it, you will say nothing to a living soul about the matter, say, till Friday?	true	820.94	830.23	22.435137
5570_73848_000040_000010	What step-by-step creatures we are, to be sure!	What step by step creatures we are, to be sure!	true	830.93	833.85	29.731497
5570_73848_000040_000011	I say Friday because it will be exactly a week then.	I say Friday because it will be exactly a week then.	true	833.85	836.89	20.023031
5570_73848_000040_000012	And what's a week?--to Nature scarcely the unfolding of a rose.	And what's a week?--to Nature scarcely the unfolding of a rose.	true	837.14	841.42	22.524982
5570_73848_000040_000013	But still, Friday be it.	But still, Friday be it.	true	841.61	843.85	20.498459
5570_73848_000040_000014	Then, if nothing has occurred, we will, we shall HAVE to call a friendly gathering, we shall be compelled to have a friendly consultation.'	Then, if nothing has occurred, we will, we shall HAVE to call a friendly gathering, we shall be compelled to have a friendly consultation.'	true	844.34	853.24	25.435404
5570_73848_000041_000000	'I'm not, I hope, a brute, Bethany,' said Danton apologetically; 'but, honestly, speaking for myself, simply as a man of the world, it's a big risk to be taking on--what shall we call it?--on mere intuition. Personally, and even in a court of law--though Heaven forbid it ever reaches that stage--personally, I could swear that the fellow that stood abusing me there, in that revolting fashion, was not Lawford.	'I'm not, I hope, a brute, Bethany,' said Danton apologetically; 'but, honestly, speaking for myself, simply as a man of the world, it's a big risk to be taking on-what shall we call it?--on mere intuition. Personally, and even in a court of law-though Heaven forbid it ever reaches that stage-personally, I could swear that the fellow that stood abusing me there, in that revolting fashion, was not Lawford.	true	854.42	882.01	22.991829
5570_73848_000041_000001	It would be easier even to believe in him, if there were not that--that glaze, that shocking simulation of the man himself, the very man.	It would be easier even to believe in him, if there were not that-that glaze, that shocking simulation of the man himself, the very man.	true	882.23	891.61	18.711092
5570_73848_000041_000002	But then, I am a sceptic; I own it.	But then, I am a sceptic; I own it.	true	891.98	894.97	23.400305
5570_73848_000041_000003	And 'pon my word, Mrs Lawford, there's plenty of room for sceptics in a world like this.'	And 'pon my word, Mrs Lawford, there's plenty of room for sceptics in a world like this.'	true	895.28	900.46	24.15959
5570_73848_000042_000000	'Very well,' said Mr Bethany crisply, 'that's settled, then.	'Very well,' said Mr Bethany crisply, 'that's settled, then.	true	901.52	905.2	20.50221
5570_73848_000042_000001	With your permission, my dear,' he added, turning untarnishably clear childlike eyes on Sheila, 'I will take all risks--even to the foot of the gibbet: accessory, Danton, AFTER the fact.' And so direct and cloudless was his gaze that Sheila tried in vain to evade it and to catch a glimpse of Danton's small agate-like eyes, now completely under mastery, and awaiting confidently the meeting with her own.	With your permission, my dear,' he added, turning untarnishably clear childlike eyes on Sheila, 'I will take all risks-even to the foot of the gibbet: accessory, Danton, AFTER the fact.' And so direct and cloudless was his gaze that Sheila tried in vain to evade it and to catch a glimpse of Danton's small agate like eyes, now completely under mastery, and awaiting confidently the meeting with her own.	true	905.36	932.38	24.445557
5570_73848_000043_000000	'Of course,' she said, 'I am entirely in your hands, dear Mr Bethany.'	'Of course,' she said, 'I am entirely in your hands, dear Mr Bethany.'	false	933.53	947.19	18.738352
