7867_275218_000000_000000	"But--but--stop a moment, dear Sir Helix; the see-sawers don't think that," argued the Tree.	"But-but-stop a moment, dear Sir Helix; the see sawers don't think that," argued the Tree.	false	0	4.77	24.04735
7867_275218_000009_000001	He kept taking them in and tried to wall himself up inside with them, as a person would stone a well or as though a man should swallow pebbles and stow them away in his feet and all around under the skin, till he had filled himself full.	He kept taking them in and tried to wall himself up inside with them, as a person would stone a well or as though a man should swallow pebbles and stow them away in his feet and all around under the skin, till he had filled himself full.	true	259.995	276.855	21
7867_275218_000010_000000	But little Favosites became lonesome all alone on the bottom of that old ocean, among so many outlandish neighbors; and so, one night, when he was fast asleep, and dreaming as only a coral animal can dream, there sprouted out of his side, where his sixth rib would have been if he had had so many, another little Favosites, who very soon began to eat worms and wall himself up as if for dear life.	But little Favosites became lonesome all alone on the bottom of that old ocean, among so many outlandish neighbors; and so, one night, when he was fast asleep, and dreaming as only a coral animal can dream, there sprouted out of his side, where his sixth rib would have been if he had had so many, another little Favosites, who very soon began to eat worms and wall himself up as if for dear life.	false	276.855	304.69	21
7867_275218_000010_000001	Then, from these two another and another little bud came out, and another and another little Favosites was formed, and they all kept growing up higher and higher, and cramming themselves fuller and fuller of limestone, till at last there were so many of them, and they were so crowded together, that there wasn't room for them to grow round; so they had to grow six-sided, like the cells in a honeycomb.	Then, from these two another and another little bud came out, and another and another little Favosites was formed, and they all kept growing up higher and higher, and cramming themselves fuller and fuller of limestone, till at last there were so many of them, and they were so crowded together, that there wasn't room for them to grow round; so they had to grow six sided, like the cells in a honeycomb.	false	305.09	331.33	20
7867_275218_000011_000000	Once in a while, some one in the company would get mad because the others got all of the lime, or would feel uneasy at sitting still so long and swallowing stones, and would secede from the little union, without as much as saying "Good-bye," and would sail around like the old Medusa, and would lay more eggs, which would hatch out into more Favosites.	Once in a while, some one in the company would get mad because the others got all of the lime, or would feel uneasy at sitting still so long and swallowing stones, and would secede from the little union, without as much as saying "Good bye," and would sail around like the old Medusa, and would lay more eggs, which would hatch out into more Favosites.	false	331.37	352.83	16
7867_275218_000012_000000	Well, the old ones died or swam away or were walled up, and new ones filled their places, and the colony thrived for a long time, and had accumulated quite a stock of lime.	Well, the old ones died or swam away or were walled up, and new ones filled their places, and the colony thrived for a long time, and had accumulated quite a stock of lime.	true	352.83	365.7	22.592783
7867_275218_000012_000001	But, one day, there came a freshet in the Menomonee River, and piles of dirt and sand and ground-up iron ore were brought down, and all the little Favosites' mouths were filled with it.	But, one day, there came a freshet in the Menomonee River, and piles of dirt and sand and ground up iron ore were brought down, and all the little Favosites' mouths were filled with it.	false	365.7	378.58	22.140293
7867_275218_000012_000002	They didn't like the taste of iron, so they all died; but we know that their house was not spoiled, for we have it here.	They didn't like the taste of iron, so they all died; but we know that their house was not spoiled, for we have it here.	true	378.71	386.25	22.66533
7867_275218_000012_000003	So the rock-house they were making was tumbled about in the dirt, and the rolling pebbles knocked the corners off, and the mud worked its way into the cracks and destroyed its beautiful whiteness.	So the rock house they were making was tumbled about in the dirt, and the rolling pebbles knocked the corners off, and the mud worked its way into the cracks and destroyed its beautiful whiteness.	true	386.25	398.56	21
7867_275218_000013_000000	There it lay for ages, till the earth gave a great, long heave, that raised the rest of Wisconsin out of the ocean, and the mud around our Favosites' house packed and dried into hard rock and closed it in; and so it became part of the dry land.	There it lay for ages, till the earth gave a great, long heave, that raised the rest of Wisconsin out of the ocean, and the mud around our Favosites' house packed and dried into hard rock and closed it in; and so it became part of the dry land.	true	398.57	416.68	21.920843
7867_275218_000013_000001	There it lay, imbedded in the rock for centuries and centuries.	There it lay, imbedded in the rock for centuries and centuries.	true	416.78	421.84	20.64952
7867_275218_000014_000000	Then, the time of the first fishes came, and the other animals looked on them in awe and wonder as the Indians eyed Columbus.	Then, the time of the first fishes came, and the other animals looked on them in awe and wonder as the Indians eyed Columbus.	true	422.03	430.93	22.19733
7867_275218_000014_000001	They were like the gar-pike in our Western rivers, only much larger,--as big as a stove-pipe,--and with a crust as hard as a turtle's shell. Then there came sharks, of strange forms, savage and ferocious, with teeth like bowie-knives.	They were like the gar pike in our Western rivers, only much larger,--as big as a stove pipe,--and with a crust as hard as a turtle's shell. Then there came sharks, of strange forms, savage and ferocious, with teeth like bowie knives.	true	431.21	447.73	21
7867_275218_000014_000002	But the time of the old fishes came and went, and many more times came and went, but still Favosites lay in the ground.	But the time of the old fishes came and went, and many more times came and went, but still Favosites lay in the ground.	false	447.83	456.4	21.226381
7867_275218_000015_000000	Then came the long, hot, wet summer, when the mists hung over the earth so thick that you might almost have cut them into chunks with a knife, like a loaf of gingerbread; and great ferns and rushes, big as an oak and tall as a steeple, grew over the land.	Then came the long, hot, wet summer, when the mists hung over the earth so thick that you might almost have cut them into chunks with a knife, like a loaf of gingerbread; and great ferns and rushes, big as an oak and tall as a steeple, grew over the land.	false	456.77	473.8	20
7867_275218_000015_000001	Huge reptiles with jaws like a front door, and teeth like cross-cut saws, and little reptiles with wings like bats, crawled and swam and flew.	Huge reptiles with jaws like a front door, and teeth like cross cut saws, and little reptiles with wings like bats, crawled and swam and flew.	false	473.87	485.55	22.991365
7867_275218_000016_000000	But the ferns died, and the reptiles died, and the rush-trees fell into the swamps, and the Mississippi, now become quite a river, covered them up, and they were packed away under great layers of clay and sand, till at last they were turned into coal, and wept bitter tears of petroleum.	But the ferns died, and the reptiles died, and the rush trees fell into the swamps, and the Mississippi, now become quite a river, covered them up, and they were packed away under great layers of clay and sand, till at last they were turned into coal, and wept bitter tears of petroleum.	false	485.55	504.79	22.350662
7867_275218_000016_000001	But all the while Favosites lay in the rock at Oconto.	But all the while Favosites lay in the rock at Oconto.	false	505.01	509.55	20.479788
7867_275218_000017_000000	Then the mists cleared up and the sun shone and the grass began to grow, and strange animals began to come and feed upon it.	Then the mists cleared up and the sun shone and the grass began to grow, and strange animals began to come and feed upon it.	false	509.55	518.14	22.261263
7867_275218_000017_000001	They were funny little zebra horses, no bigger than a Newfoundland dog, and great hairy elephants, and hogs with noses so long they could sit on their hind legs and root, and lots of still stranger creatures that no man ever saw alive.	They were funny little zebra horses, no bigger than a Newfoundland dog, and great hairy elephants, and hogs with noses so long they could sit on their hind legs and root, and lots of still stranger creatures that no man ever saw alive.	true	518.15	534.82	17
7867_275218_000017_000002	But still Favosites lay in the ground.	But still Favosites lay in the ground.	false	535.1	539.14	23.264141
7867_275218_000018_000000	So the long, long summer passed by, and the autumn, and the Indian summer; and at last the great winter came, and it snowed and snowed, and it was so cold that the snow wasn't off by the Fourth of July; and then it snowed and snowed till the snow never went off at all; and then it got so cold that it snowed all the time, till the snow covered all the animals, and then the trees, and then the mountains.	So the long, long summer passed by, and the autumn, and the Indian summer; and at last the great winter came, and it snowed and snowed, and it was so cold that the snow wasn't off by the Fourth of July; and then it snowed and snowed till the snow never went off at all; and then it got so cold that it snowed all the time, till the snow covered all the animals, and then the trees, and then the mountains.	true	539.15	570.97	21.158005
7867_275218_000018_000001	Then it would thaw a little, and streams of water would run over the snow; then it would freeze again, and pack it into solid ice.	Then it would thaw a little, and streams of water would run over the snow; then it would freeze again, and pack it into solid ice.	true	571.04	579.735	21.81076
7867_275218_000018_000002	Still it went on, snowing and thawing and freezing till the ice was a mile deep over Wisconsin, and the whole United States was one great skating rink.	Still it went on, snowing and thawing and freezing till the ice was a mile deep over Wisconsin, and the whole United States was one great skating rink.	true	579.735	591.01	19
7867_275218_000019_000000	So it kept on for about a million years, until once when the spring came and the south winds blew, it began to thaw up.	So it kept on for about a million years, until once when the spring came and the south winds blew, it began to thaw up.	true	591.59	600.91	21.24581
7867_275218_000019_000001	Then the ice came sliding down from the mountains and hills, tearing up rocks little and big, from the size of a chip to the size of a meeting house, crushing forests as you would crush an egg-shell, and wiping out rivers as you would wipe out a chalk-mark.	Then the ice came sliding down from the mountains and hills, tearing up rocks little and big, from the size of a chip to the size of a meeting house, crushing forests as you would crush an egg shell, and wiping out rivers as you would wipe out a chalk mark.	true	601.13	617.98	18
7867_275218_000019_000002	So it came pushing, thundering, grinding along slowly enough, but with tremendous force, this mile-deep glacier, like an immense plow drawn by a million oxen.	So it came pushing, thundering, grinding along slowly enough, but with tremendous force, this mile deep glacier, like an immense plow drawn by a million oxen.	true	618.26	631.54	16
7867_275218_000020_000000	So the ice plowed across Oconto County, and little Favosites was rooted out from the quiet place where he had lain so long; but, by good fortune, he happened to slip into a crevice in the ice, where he wasn't much crowded, else he would have been ground to powder, as most of his relatives were, and I shouldn't have had this story to tell.	So the ice plowed across Oconto County, and little Favosites was rooted out from the quiet place where he had lain so long; but, by good fortune, he happened to slip into a crevice in the ice, where he wasn't much crowded, else he would have been ground to powder, as most of his relatives were, and I shouldn't have had this story to tell.	false	631.55	651.73	18
7867_275218_000021_000000	Well, the ice slid along, melting all the while, and making great torrents of water which, as they swept onward, covered land with clay and pebbles, till at last it came to a great swamp, overgrown with tamarac and cedar.	Well, the ice slid along, melting all the while, and making great torrents of water which, as they swept onward, covered land with clay and pebbles, till at last it came to a great swamp, overgrown with tamarac and cedar.	false	652.04	668.26	22.780128
7867_275218_000021_000001	Here it stopped and melted, and all the rocks and stones and dirt it had carried with it, little Favosites and all, were dumped into one great heap.	Here it stopped and melted, and all the rocks and stones and dirt it had carried with it, little Favosites and all, were dumped into one great heap.	false	668.3	679.39	23.969364
7867_275218_000022_000000	Ages after, a farmer in Grand Chote, Michigan, plowing up his clover field, to sow for winter wheat, picked up a curious bit of "petrified honeycomb," and gave it to the schoolboys to take to their teacher, to hear what he would say about it.	Ages after, a farmer in Grand Chote, Michigan, plowing up his clover field, to sow for winter wheat, picked up a curious bit of "petrified honeycomb," and gave it to the schoolboys to take to their teacher, to hear what he would say about it.	true	679.76	696.13	23.201147
7867_275218_000022_000001	And now you have read what he said.	And now you have read what he said.	false	696.56	707.7	24.999256
