8825_292252_000000_000000	"Enough!" cried Hawkins, and left him.	"Enough!" cried Hawkins, and left him.	false	0	3.345	21.563837
8825_292252_000013_000001	For here we see scenes such as Shakespeare saw, and our delight is in the things that his eyes beheld.	For here we see scenes such as Shakespeare saw, and our delight is in the things that his eyes beheld.	true	109.13	115.69	21.0026
8825_292252_000014_000000	At the foot of Mill Street are the ruins of the old Gothic bridge that leads off to Banbury.	At the foot of Mill Street are the ruins of the old Gothic bridge that leads off to Banbury.	true	116.48	121.14	22
8825_292252_000014_000001	Oft have I ridden to Banbury Cross on my mother's foot, and when I saw that sign and pointing finger I felt like leaving all and flying thence.	Oft have I ridden to Banbury Cross on my mother's foot, and when I saw that sign and pointing finger I felt like leaving all and flying thence.	false	121.14	129.94	23.190132
8825_292252_000014_000002	Just beyond the bridge, settled snugly in a forest of waving branches, we see storied old Warwick Castle, with Caesar's Tower lifting itself from the mass of green.	Just beyond the bridge, settled snugly in a forest of waving branches, we see storied old Warwick Castle, with Caesar's Tower lifting itself from the mass of green.	true	130.58	140.47	20
8825_292252_000015_000000	All about are quaint old houses and shops, with red-tiled roofs, and little windows, with diamond panes, hung on hinges, where maidens fair have looked down on brave men in coats of mail.	All about are quaint old houses and shops, with red tiled roofs, and little windows, with diamond panes, hung on hinges, where maidens fair have looked down on brave men in coats of mail.	true	142.1	153.4	23.170233
8825_292252_000015_000001	These narrow, stony streets have rung with the clang and echo of hurrying hoofs; the tramp of Royalist and Parliamentarian, horse and foot, drum and banner; the stir of princely visits, of mail-coach, market, assize and kingly court. Colbrand, armed with giant club; Sir Guy; Richard Neville, kingmaker, and his barbaric train, all trod these streets, watered their horses in this river, camped on yonder bank, or huddled in this castle yard.	These narrow, stony streets have rung with the clang and echo of hurrying hoofs; the tramp of Royalist and Parliamentarian, horse and foot, drum and banner; the stir of princely visits, of mail coach, market, assize and kingly court. Colbrand, armed with giant club; Sir Guy; Richard Neville, kingmaker, and his barbaric train, all trod these streets, watered their horses in this river, camped on yonder bank, or huddled in this castle yard.	true	154.16	186.25	23.615265
8825_292252_000015_000002	And again they came back when Will Shakespeare, a youth from Stratford, eight miles away, came here and waved his magic wand.	And again they came back when Will Shakespeare, a youth from Stratford, eight miles away, came here and waved his magic wand.	true	187.16	194.88	23.933666
8825_292252_000016_000000	Warwick Castle is probably in better condition now than it was in the Sixteenth Century.	Warwick Castle is probably in better condition now than it was in the Sixteenth Century.	false	194.88	200.98	22.440788
8825_292252_000016_000001	But practically it is the same.	But practically it is the same.	true	201.38	203.41	23.158972
8825_292252_000016_000002	It is the only castle in England where the portcullis is lowered at ten o'clock every night and raised in the morning (if the coast happens to be clear) to tap of drum.	It is the only castle in England where the portcullis is lowered at ten o'clock every night and raised in the morning (if the coast happens to be clear) to tap of drum.	true	203.87	213.34	24.73353
8825_292252_000017_000000	It costs a shilling to visit the castle.	It costs a shilling to visit the castle.	true	214.7	217.24	25.635664
8825_292252_000017_000001	A fine old soldier in spotless uniform, with waxed white moustache and dangling sword, conducts the visitors.	A fine old soldier in spotless uniform, with waxed white moustache and dangling sword, conducts the visitors.	true	217.64	224.53	22
8825_292252_000017_000002	He imparts full two shillings' worth of facts as we go, all with a fierce roll of r's, as becomes a man of war.	He imparts full two shillings' worth of facts as we go, all with a fierce roll of r's, as becomes a man of war.	false	225.05	232.15	24.211803
8825_292252_000018_000000	The long line of battlements, the massive buttresses, the angular entrance cut through solid rock, crooked, abrupt, with places where fighting men can lie in ambush, all is as Shakespeare knew it.	The long line of battlements, the massive buttresses, the angular entrance cut through solid rock, crooked, abrupt, with places where fighting men can lie in ambush, all is as Shakespeare knew it.	true	232.97	245.86	22.81086
8825_292252_000019_000000	There are the cedars of Lebanon, brought by Crusaders from the East, and the screaming peacocks in the paved courtway: and in the Great Hall are to be seen the sword and accouterments of the fabled Guy, the mace of the "Kingmaker," the helmet of Cromwell, and the armor of Lord Brooke, killed at Litchfield.	There are the cedars of Lebanon, brought by Crusaders from the East, and the screaming peacocks in the paved courtway: and in the Great Hall are to be seen the sword and accouterments of the fabled Guy, the mace of the "Kingmaker," the helmet of Cromwell, and the armor of Lord Brooke, killed at Litchfield.	true	246.71	266.77	23.168636
8825_292252_000020_000000	And that Shakespeare saw these things there is no doubt.	And that Shakespeare saw these things there is no doubt.	true	266.96	269.92	24.022831
8825_292252_000020_000001	But he saw them as a countryman who came on certain fete-days, and stared with open mouth.	But he saw them as a countryman who came on certain fete days, and stared with open mouth.	true	270.35	275.59	21.572641
8825_292252_000020_000002	We know this, because he has covered all with the glamour of his rich, boyish imagination that failed to perceive the cruel mockery of such selfish pageantry.	We know this, because he has covered all with the glamour of his rich, boyish imagination that failed to perceive the cruel mockery of such selfish pageantry.	true	276.26	285.97	23.86273
8825_292252_000020_000003	Had his view been from the inside he would not have made his kings noble nor his princes generous; for the stress of strife would have stilled his laughter, and from his brain the dazzling pictures would have fled.	Had his view been from the inside he would not have made his kings noble nor his princes generous; for the stress of strife would have stilled his laughter, and from his brain the dazzling pictures would have fled.	true	286.64	298.96	23.1374
8825_292252_000020_000004	Yet his fancies serve us better than the facts.	Yet his fancies serve us better than the facts.	true	299.3	302.11	23.933905
8825_292252_000021_000000	Shakespeare shows us many castles, but they are always different views of Warwick or Kenilworth.	Shakespeare shows us many castles, but they are always different views of Warwick or Kenilworth.	false	303.2	309.25	23.068724
8825_292252_000021_000001	When he pictures Macbeth's castle he has Warwick in his inward eye:	When he pictures Macbeth's castle he has Warwick in his inward eye:	false	309.56	313.18	21
8825_292252_000022_000000	"This castle hath a pleasant seat: the air Nimbly and sweetly recommends itself Unto our gentle senses. This guest of Summer, The temple-haunting martlet, does approve, By his loved mansionry, that the heaven's breath Smells wooingly here: no jutty, frieze, Buttress, nor coign of vantage, but this bird Hath made his pendent bed, and procreant cradle; Where they most breed and haunt, I have observed, The air is delicate."	"This castle hath a pleasant seat: the air Nimbly and sweetly recommends itself Unto our gentle senses. This guest of Summer, The temple haunting martlet, does approve, By his loved mansionry, that the heaven's breath Smells wooingly here: no jutty, frieze, Buttress, nor coign of vantage, but this bird Hath made his pendent bed, and procreant cradle; Where they most breed and haunt, I have observed, The air is delicate."	true	313.94	342.01	22.18749
8825_292252_000023_000000	Five miles from Warwick (ten, if you believe the cab-drivers) are the ruins of Kenilworth Castle.	Five miles from Warwick (ten, if you believe the cab drivers) are the ruins of Kenilworth Castle.	true	343.1	349.15	21.35435
8825_292252_000024_000000	In Fifteen Hundred Seventy-five, when Shakespeare was eleven years of age, Queen Elizabeth came to Kenilworth.	In Fifteen Hundred Seventy five, when Shakespeare was eleven years of age, Queen Elizabeth came to Kenilworth.	true	350.06	356.41	22.237635
8825_292252_000024_000001	Whether her ticket was by way of Leamington I do not know.	Whether her ticket was by way of Leamington I do not know.	true	356.9	360.04	22
8825_292252_000024_000002	But she remained from July Ninth to July Twenty-seventh, and there were great doings 'most every day, to which the yeomanry were oft invited.	But she remained from July Ninth to July Twenty seventh, and there were great doings 'most every day, to which the yeomanry were oft invited.	true	360.65	368.98	21.95827
8825_292252_000024_000003	John Shakespeare was a worthy citizen of Warwickshire, and it is very probable that he received an invitation, and that he drove over with Mary Arden, his wife, sitting on the front seat holding the baby, and all the other seven children sitting on the straw behind.	john Shakespeare was a worthy citizen of Warwickshire, and it is very probable that he received an invitation, and that he drove over with Mary Arden, his wife, sitting on the front seat holding the baby, and all the other seven children sitting on the straw behind.	true	369.41	385.06	22.149784
8825_292252_000024_000004	And we may be sure that the eldest boy in that brood never forgot the day.	And we may be sure that the eldest boy in that brood never forgot the day.	true	385.76	390.22	21
8825_292252_000024_000005	In fact, in "Midsummer Night's Dream" he has called on his memory for certain features of the show.	In fact, in "Midsummer Night's Dream" he has called on his memory for certain features of the show.	true	390.92	396.58	25
8825_292252_000024_000006	Elizabeth was forty-one years old then, but apparently very attractive and glib of tongue.	Elizabeth was forty one years old then, but apparently very attractive and glib of tongue.	false	397.07	403.12	23.369234
8825_292252_000024_000007	No doubt Kenilworth was stupendous in its magnificence, and it will pay you to take down from its shelf Sir Walter's novel and read about it.	No doubt Kenilworth was stupendous in its magnificence, and it will pay you to take down from its shelf Sir Walter's novel and read about it.	true	403.52	411.31	23.705294
8825_292252_000024_000008	But today it is all a crumbling heap; ivy, rooks and daws hold the place in fee, each pushing hard for sole possession.	But today it is all a crumbling heap; ivy, rooks and daws hold the place in fee, each pushing hard for sole possession.	true	411.74	419.98	23.57229
8825_292252_000025_000000	It is eight miles from Warwick to Stratford by the direct road, but ten by the river.	It is eight miles from Warwick to Stratford by the direct road, but ten by the river.	true	421.19	426.37	24.238857
8825_292252_000025_000001	I have walked both routes and consider the latter the shorter.	I have walked both routes and consider the latter the shorter.	true	426.65	429.79	24.524603
8825_292252_000026_000000	Two miles down the river is Barford, and a mile farther is Wasperton, with its quaint old stone church.	Two miles down the river is Barford, and a mile farther is Wasperton, with its quaint old stone church.	true	431.06	437.77	24.13876
8825_292252_000026_000001	It is a good place to rest: for nothing is so soothing as a cool church where the dim light streams through colored windows, and out of sight somewhere an organ softly plays.	It is a good place to rest: for nothing is so soothing as a cool church where the dim light streams through colored windows, and out of sight somewhere an organ softly plays.	true	437.93	448.42	24
8825_292252_000026_000002	Soon after leaving the church a rustic swain hailed me and asked for a match. The pipe and the Virginia weed--they mean amity the world over.	Soon after leaving the church a rustic swain hailed me and asked for a match. The pipe and the Virginia weed-they mean amity the world over.	true	449.87	458.62	23.38025
8825_292252_000026_000003	If I had questions to ask, now was the time!	If I had questions to ask, now was the time!	true	459.14	462.19	22.043322
8825_292252_000026_000004	So I asked, and Rusticus informed me that Hampton Lucy was only a mile beyond and that Shakespeare never stole deer at all; so I hope we shall hear no more of that libelous accusation.	So I asked, and Rusticus informed me that Hampton Lucy was only a mile beyond and that Shakespeare never stole deer at all; so I hope we shall hear no more of that libelous accusation.	true	462.38	473.68	22.007526
8825_292252_000027_000000	"But did Shakespeare run away?" I demanded.	"But did Shakespeare run away?" I demanded.	true	474.47	477.21	22.514233
8825_292252_000028_000000	"Ave coorse he deed, sir; 'most all good men 'ave roon away sometime!"	"Ave coorse he deed, sir; 'most all good men 'ave roon away sometime!"	false	477.21	482.56	20.724415
8825_292252_000029_000000	And come to think of it Rusticus is right.	And come to think of it Rusticus is right.	true	483.8	486.43	21.57978
8825_292252_000030_000000	Most great men have at some time departed hastily without leaving orders where to forward their mail.	Most great men have at some time departed hastily without leaving orders where to forward their mail.	true	487.28	492.88	19
8825_292252_000030_000001	Indeed, it seems necessary that a man should have "run away" at least once, in order afterward to attain eminence.	Indeed, it seems necessary that a man should have "run away" at least once, in order afterward to attain eminence.	true	493.37	500.05	21.887735
8825_292252_000030_000002	Moses, Lot, Tarquin, Pericles, Demosthenes, Saint Paul, Shakespeare, Rousseau, Voltaire, Goldsmith, Hugo--but the list is too long to give.	Moses, Lot, Tarquin, Pericles, Demosthenes, Saint Paul, Shakespeare, Rousseau, Voltaire, Goldsmith, Hugo-but the list is too long to give.	true	500.39	511.57	23.838982
8825_292252_000031_000000	But just suppose that Shakespeare had not run away!	But just suppose that Shakespeare had not run away!	true	512.27	515.26	23.954695
8825_292252_000031_000001	And to whom do we owe it that he did leave--Justice Shallow or Ann Hathaway, or both?	And to whom do we owe it that he did leave-Justice Shallow or Ann Hathaway, or both?	true	515.75	521.8	22.814476
8825_292252_000031_000002	I should say to Ann first and His Honor second.	I should say to Ann first and His Honor second.	true	522.08	524.68	22.528973
8825_292252_000031_000003	I think if Shakespeare could write an article for "The Ladies' Home Journal" on "Women Who Have Helped Me," and tell the whole truth (as no man ever will in print), he would put Ann Hathaway first.	I think if Shakespeare could write an article for "The Ladies' Home Journal" on "Women Who Have Helped Me," and tell the whole truth (as no man ever will in print), he would put Ann Hathaway first.	false	525.08	537.19	25.101755
8825_292252_000032_000000	He signed a bond when eighteen years old agreeing to marry her; she was twenty-six.	He signed a bond when eighteen years old agreeing to marry her; she was twenty six.	false	538.49	543.67	23.533995
8825_292252_000032_000001	No record is found of the marriage.	No record is found of the marriage.	true	544.73	546.82	21.565561
8825_292252_000032_000002	But we should think of her gratefully, for no doubt it was she who started the lad off for London.	But we should think of her gratefully, for no doubt it was she who started the lad off for London.	true	547.01	552.22	22.161749
8825_292252_000033_000000	That's the way I expressed it to my new-found friend, and he agreed with me, so we shook hands and parted.	That's the way I expressed it to my new found friend, and he agreed with me, so we shook hands and parted.	false	553.16	560.55	23.903252
8825_292252_000034_000000	Charlcote is as fair as a dream of Paradise.	Charlcote is as fair as a dream of Paradise.	false	560.55	564.43	24.662886
8825_292252_000034_000001	The winding Avon, full to its banks, strays lazily through rich fields and across green meadows, past the bright red-brick pile of Charlcote Mansion.	The winding Avon, full to its banks, strays lazily through rich fields and across green meadows, past the bright red brick pile of Charlcote Mansion.	true	564.68	574.78	24.364223
8825_292252_000034_000002	The river-bank is lined with rushes, and in one place I saw the prongs of antlers shaking the elders.	The river bank is lined with rushes, and in one place I saw the prongs of antlers shaking the elders.	true	575.63	581.83	20.88835
8825_292252_000034_000003	I sent a shrill whistle and a stick that way, and out ran four fine deer that loped gracefully across the turf.	I sent a shrill whistle and a stick that way, and out ran four fine deer that loped gracefully across the turf.	true	582.59	588.88	22
8825_292252_000034_000004	The sight brought my poacher instincts to the surface, but I bottled them, and trudged on until I came to the little church that stands at the entrance to the park.	The sight brought my poacher instincts to the surface, but I bottled them, and trudged on until I came to the little church that stands at the entrance to the park.	true	589.43	598.48	22.427547
8825_292252_000035_000000	All mansions, castles and prisons in England have chapels or churches attached.	All mansions, castles and prisons in England have chapels or churches attached.	true	598.82	603.82	22.882942
8825_292252_000035_000001	And this is well, for in the good old days it seemed wise to keep in close communication with the other world.	And this is well, for in the good old days it seemed wise to keep in close communication with the other world.	true	604.01	610.21	24.369888
8825_292252_000035_000002	For often, on short notice, the proud scion of royalty was compelled hastily to pack a ghostly valise and his him hence with his battered soul; or if he did not go himself he compelled others to do so, and who but a brute would kill a man without benefit of the clergy!	For often, on short notice, the proud scion of royalty was compelled hastily to pack a ghostly valise and his him hence with his battered soul; or if he did not go himself he compelled others to do so, and who but a brute would kill a man without benefit of the clergy!	false	610.94	627.37	22.616886
8825_292252_000035_000003	So each estate hired its priests by the year, just as men with a taste for litigation hold attorneys in constant retainer.	So each estate hired its priests by the year, just as men with a taste for litigation hold attorneys in constant retainer.	true	628.49	636.1	22.109625
8825_292252_000036_000000	In Charlcote Church is a memorial to Sir Thomas Lucy; and there is a glowing epitaph that quite upsets any of those taunting and defaming allusions in "The Merry Wives." At the foot of the monument is a line to the effect that the inscription thereon was written by the only one in possession of the facts, Sir Thomas himself.	In Charlcote Church is a memorial to Sir Thomas Lucy; and there is a glowing epitaph that quite upsets any of those taunting and defaming allusions in "The Merry Wives." At the foot of the monument is a line to the effect that the inscription thereon was written by the only one in possession of the facts, Sir Thomas himself.	true	637.79	657.55	24.118633
8825_292252_000037_000000	Several epitaphs in the churchyard are worthy of space in your commonplace book, but the lines on the slab to John Gibbs and wife struck me as having the true ring:	Several epitaphs in the churchyard are worthy of space in your commonplace book, but the lines on the slab to john Gibbs and wife struck me as having the true ring:	false	658.55	667.9	23.316076
8825_292252_000038_000000	"Farewell, proud, vain, false, treacherous world, We have seen enough of thee: We value not what thou canst say of we."	"Farewell, proud, vain, false, treacherous world, We have seen enough of thee: We value not what thou canst say of we."	true	669.05	678.7	22.822252
8825_292252_000039_000000	When the Charlcote Mansion was built, there was a housewarming, and Good Queen Bess (who was not so awful good) came in great state; so we see that she had various calling acquaintances in these parts.	When the Charlcote Mansion was built, there was a housewarming, and Good Queen Bess (who was not so awful good) came in great state; so we see that she had various calling acquaintances in these parts.	true	680.36	693.16	23.798265
8825_292252_000039_000001	But we have no proof that she ever knew that any such person as W. Shakespeare lived. However, she came to Charlcote and dined on venison, and what a pity it is that she and Shakespeare did not meet in London afterward and talk it over!	But we have no proof that she ever knew that any such person as w Shakespeare lived. However, she came to Charlcote and dined on venison, and what a pity it is that she and Shakespeare did not meet in London afterward and talk it over!	false	693.74	708.19	23.086555
8825_292252_000040_000000	Some hasty individual has put forth a statement to the effect that poets can only be bred in a mountainous country, where they could lift up their eyes to the hills.	Some hasty individual has put forth a statement to the effect that poets can only be bred in a mountainous country, where they could lift up their eyes to the hills.	true	709.31	718.45	23.14904
8825_292252_000040_000001	Rock and ravine, beetling crag, singing cascade, and the heights where the lightning plays and the mists hover are certainly good timber for poetry--after you have caught your poet--but Nature eludes all formula.	Rock and ravine, beetling crag, singing cascade, and the heights where the lightning plays and the mists hover are certainly good timber for poetry-after you have caught your poet-but Nature eludes all formula.	true	719.42	733.09	24.34326
8825_292252_000040_000002	Again, it is the human interest that adds vitality to art--they reckon ill to leave man out.	Again, it is the human interest that adds vitality to art-they reckon ill to leave man out.	false	733.28	749.94	22.018412
