1903_132499_000015_000000	CHAPTER VII	CHAPTER seven
1903_132499_000027_000006	She has her ways and I have mine; she seems to have got some secrets of late and I never have any secrets from you two.	She has her ways and I have mine; she seems to have got some secrets of late and I never have any secrets from you two.
1903_132499_000027_000007	Of course, I am sure that Dounia has far too much sense, and besides she loves you and me... but I don't know what it will all lead to.	Of course, I am sure that Dounia has far too much sense, and besides she loves you and me... but I don't know what it will all lead to.
1903_132499_000027_000010	I shall know, anyway, that you are fond of me, that will be enough for me.	I shall know, anyway, that you are fond of me, that will be enough for me.
1903_132499_000027_000011	I shall read what you write, I shall hear about you from everyone, and sometimes you'll come yourself to see me.	I shall read what you write, I shall hear about you from everyone, and sometimes you'll come yourself to see me.
1903_132499_000027_000012	What could be better?	What could be better?
1903_132499_000027_000013	Here you've come now to comfort your mother, I see that."	Here you've come now to comfort your mother, I see that."
1903_132499_000028_000000	Here Pulcheria Alexandrovna began to cry.	Here Pulcheria Alexandrovna began to cry.
1903_132499_000029_000002	My goodness, why am I sitting here?" she cried, jumping up.	My goodness, why am I sitting here?" she cried, jumping up.
1903_132499_000029_000003	"There is coffee and I don't offer you any.	"There is coffee and I don't offer you any.
1903_132499_000029_000005	I'll get it at once!"	I'll get it at once!"
1903_132499_000030_000000	"Mother, don't trouble, I am going at once.	"Mother, don't trouble, I am going at once.
1903_132499_000030_000001	I haven't come for that. Please listen to me."	I haven't come for that. Please listen to me."
1903_132499_000031_000000	Pulcheria Alexandrovna went up to him timidly.	Pulcheria Alexandrovna went up to him timidly.
1903_132499_000032_000000	"Mother, whatever happens, whatever you hear about me, whatever you are told about me, will you always love me as you do now?" he asked suddenly from the fullness of his heart, as though not thinking of his words and not weighing them.	"Mother, whatever happens, whatever you hear about me, whatever you are told about me, will you always love me as you do now?" he asked suddenly from the fullness of his heart, as though not thinking of his words and not weighing them.
1903_132499_000033_000001	How can you ask me such a question? Why, who will tell me anything about you?	How can you ask me such a question? Why, who will tell me anything about you?
1903_132499_000033_000002	Besides, I shouldn't believe anyone, I should refuse to listen."	Besides, I shouldn't believe anyone, I should refuse to listen."
1903_132499_000034_000002	I shall never cease to love you....	I shall never cease to love you....
1903_132499_000034_000003	Well, that's enough: I thought I must do this and begin with this...."	Well, that's enough: I thought I must do this and begin with this...."
1903_132499_000036_000000	"I don't know what is wrong with you, Rodya," she said at last.	"I don't know what is wrong with you, Rodya," she said at last.
1903_132499_000036_000001	"I've been thinking all this time that we were simply boring you and now I see that there is a great sorrow in store for you, and that's why you are miserable.	"I've been thinking all this time that we were simply boring you and now I see that there is a great sorrow in store for you, and that's why you are miserable.
1903_132499_000036_000003	Forgive me for speaking about it.	Forgive me for speaking about it.
1903_132499_000036_000004	I keep thinking about it and lie awake at nights.	I keep thinking about it and lie awake at nights.
1903_132499_000036_000005	Your sister lay talking in her sleep all last night, talking of nothing but you.	Your sister lay talking in her sleep all last night, talking of nothing but you.
1903_132499_000036_000006	I caught something, but I couldn't make it out.	I caught something, but I couldn't make it out.
1903_132499_000036_000007	I felt all the morning as though I were going to be hanged, waiting for something, expecting something, and now it has come!	I felt all the morning as though I were going to be hanged, waiting for something, expecting something, and now it has come!
1903_132499_000036_000008	Rodya, Rodya, where are you going?	Rodya, Rodya, where are you going?
1903_132499_000037_000000	"Yes."	"Yes."
1903_132499_000038_000000	"That's what I thought!	"That's what I thought!
1903_132499_000038_000001	I can come with you, you know, if you need me.	I can come with you, you know, if you need me.
1903_132499_000038_000003	You see, I am glad to look upon her as a daughter even... Dmitri Prokofitch will help us to go together. But... where... are you going?"	You see, I am glad to look upon her as a daughter even... Dmitri Prokofitch will help us to go together. But... where... are you going?"
1903_132499_000039_000000	"Good-bye, mother."	"Good bye, mother."
1903_132499_000040_000000	"What, to-day?" she cried, as though losing him for ever.	"What, to day?" she cried, as though losing him for ever.
1903_132499_000041_000000	"I can't stay, I must go now...."	"I can't stay, I must go now...."
1903_132499_000042_000000	"And can't I come with you?"	"And can't I come with you?"
1903_132499_000043_000000	"No, but kneel down and pray to God for me.	"No, but kneel down and pray to God for me.
1903_132499_000043_000001	Your prayer perhaps will reach Him."	Your prayer perhaps will reach Him."
1903_132499_000044_000000	"Let me bless you and sign you with the cross.	"Let me bless you and sign you with the cross.
1903_132499_000044_000001	That's right, that's right.	That's right, that's right.
1903_132499_000045_000000	Yes, he was glad, he was very glad that there was no one there, that he was alone with his mother.	Yes, he was glad, he was very glad that there was no one there, that he was alone with his mother.
1903_132499_000045_000001	For the first time after all those awful months his heart was softened.	For the first time after all those awful months his heart was softened.
1903_132499_000045_000002	He fell down before her, he kissed her feet and both wept, embracing.	He fell down before her, he kissed her feet and both wept, embracing.
1903_132499_000045_000003	And she was not surprised and did not question him this time.	And she was not surprised and did not question him this time.
1903_132499_000045_000004	For some days she had realised that something awful was happening to her son and that now some terrible minute had come for him.	For some days she had realised that something awful was happening to her son and that now some terrible minute had come for him.
1903_132499_000046_000001	You would run like this to me and hug me and kiss me.	You would run like this to me and hug me and kiss me.
1903_132499_000046_000004	The first time I saw you, that evening, you remember, as soon as we arrived here, I guessed simply from your eyes.	The first time I saw you, that evening, you remember, as soon as we arrived here, I guessed simply from your eyes.
1903_132499_000046_000005	My heart sank at once, and to-day when I opened the door and looked at you, I thought the fatal hour had come.	My heart sank at once, and to day when I opened the door and looked at you, I thought the fatal hour had come.
1903_132499_000047_000000	"No!"	"No!"
1903_132499_000048_000000	"You'll come again?"	"You'll come again?"
1903_132499_000049_000000	"Yes...	"Yes...
1903_132499_000049_000001	I'll come."	I'll come."
1903_132499_000050_000000	"Rodya, don't be angry, I don't dare to question you.	"Rodya, don't be angry, I don't dare to question you.
1903_132499_000050_000001	I know I mustn't. Only say two words to me--is it far where you are going?"	I know I mustn't. Only say two words to me-is it far where you are going?"
1903_132499_000051_000000	"Very far."	"Very far."
1903_132499_000052_000000	"What is awaiting you there?	"What is awaiting you there?
1903_132499_000052_000001	Some post or career for you?"	Some post or career for you?"
1903_132499_000053_000000	"What God sends... only pray for me." Raskolnikov went to the door, but she clutched him and gazed despairingly into his eyes.	"What God sends... only pray for me." Raskolnikov went to the door, but she clutched him and gazed despairingly into his eyes.
1903_132499_000054_000000	"Enough, mother," said Raskolnikov, deeply regretting that he had come.	"Enough, mother," said Raskolnikov, deeply regretting that he had come.
1903_132499_000055_000000	"Not for ever, it's not yet for ever?	"Not for ever, it's not yet for ever?
1903_132499_000055_000001	You'll come, you'll come to-morrow?"	You'll come, you'll come to morrow?"
1903_132499_000056_000000	"I will, I will, good-bye." He tore himself away at last.	"I will, I will, good bye." He tore himself away at last.
1903_132499_000057_000001	He wanted to finish all before sunset.	He wanted to finish all before sunset.
1903_132499_000057_000002	He did not want to meet anyone till then.	He did not want to meet anyone till then.
1903_132499_000057_000003	Going up the stairs he noticed that Nastasya rushed from the samovar to watch him intently.	Going up the stairs he noticed that Nastasya rushed from the samovar to watch him intently.
1903_132499_000057_000004	"Can anyone have come to see me?" he wondered.	"Can anyone have come to see me?" he wondered.
1903_132499_000057_000005	He had a disgusted vision of Porfiry.	He had a disgusted vision of Porfiry.
1903_132499_000057_000006	But opening his door he saw Dounia.	But opening his door he saw Dounia.
1903_132499_000057_000008	He stopped short in the doorway.	He stopped short in the doorway.
1903_132499_000057_000009	She rose from the sofa in dismay and stood up facing him.	She rose from the sofa in dismay and stood up facing him.
1903_132499_000057_000010	Her eyes, fixed upon him, betrayed horror and infinite grief.	Her eyes, fixed upon him, betrayed horror and infinite grief.
1903_132499_000058_000000	"Am I to come in or go away?" he asked uncertainly.	"Am I to come in or go away?" he asked uncertainly.
1903_132499_000059_000001	We were both waiting for you. We thought that you would be sure to come there."	We were both waiting for you. We thought that you would be sure to come there."
1903_132499_000060_000000	Raskolnikov went into the room and sank exhausted on a chair.	Raskolnikov went into the room and sank exhausted on a chair.
1903_132499_000061_000000	"I feel weak, Dounia, I am very tired; and I should have liked at this moment to be able to control myself."	"I feel weak, Dounia, I am very tired; and I should have liked at this moment to be able to control myself."
1903_132499_000062_000000	He glanced at her mistrustfully.	He glanced at her mistrustfully.
1903_132499_000063_000000	"Where were you all night?"	"Where were you all night?"
1903_132499_000064_000000	"I don't remember clearly.	"I don't remember clearly.
1903_132499_000064_000001	You see, sister, I wanted to make up my mind once for all, and several times I walked by the Neva, I remember that I wanted to end it all there, but...	You see, sister, I wanted to make up my mind once for all, and several times I walked by the Neva, I remember that I wanted to end it all there, but...
1903_132499_000065_000000	"Thank God!	"Thank God!
1903_132499_000065_000001	That was just what we were afraid of, Sofya Semyonovna and I. Then you still have faith in life?	That was just what we were afraid of, Sofya Semyonovna and i Then you still have faith in life?
1903_132499_000065_000002	Thank God, thank God!"	Thank God, thank God!"
1903_132499_000066_000000	Raskolnikov smiled bitterly.	Raskolnikov smiled bitterly.
1903_132499_000067_000000	"I haven't faith, but I have just been weeping in mother's arms; I haven't faith, but I have just asked her to pray for me.	"I haven't faith, but I have just been weeping in mother's arms; I haven't faith, but I have just asked her to pray for me.
1903_132499_000068_000000	"Have you been at mother's?	"Have you been at mother's?
1903_132499_000068_000001	Have you told her?" cried Dounia, horror-stricken.	Have you told her?" cried Dounia, horror stricken.
1903_132499_000068_000002	"Surely you haven't done that?"	"Surely you haven't done that?"
1903_132499_000069_000000	"No, I didn't tell her... in words; but she understood a great deal. She heard you talking in your sleep.	"No, I didn't tell her... in words; but she understood a great deal. She heard you talking in your sleep.
1903_132499_000069_000001	I am sure she half understands it already.	I am sure she half understands it already.
1903_132499_000069_000002	Perhaps I did wrong in going to see her.	Perhaps I did wrong in going to see her.
1903_132499_000070_000000	"A contemptible person, but ready to face suffering!	"A contemptible person, but ready to face suffering!
1903_132499_000070_000001	You are, aren't you?"	You are, aren't you?"
1903_132499_000071_000001	At once.	At once.
1903_132499_000071_000003	"It's pride, Dounia."	"It's pride, Dounia."
1903_132499_000072_000000	"Pride, Rodya."	"Pride, Rodya."
1903_132499_000073_000000	There was a gleam of fire in his lustreless eyes; he seemed to be glad to think that he was still proud.	There was a gleam of fire in his lustreless eyes; he seemed to be glad to think that he was still proud.
1903_132499_000074_000000	"You don't think, sister, that I was simply afraid of the water?" he asked, looking into her face with a sinister smile.	"You don't think, sister, that I was simply afraid of the water?" he asked, looking into her face with a sinister smile.
1903_132499_000075_000001	Silence lasted for two minutes.	Silence lasted for two minutes.
1903_132499_000075_000003	Suddenly he got up.	Suddenly he got up.
1903_132499_000076_000000	"It's late, it's time to go!	"It's late, it's time to go!
1903_132499_000076_000001	I am going at once to give myself up.	I am going at once to give myself up.
1903_132499_000076_000002	But I don't know why I am going to give myself up."	But I don't know why I am going to give myself up."
1903_132499_000077_000000	Big tears fell down her cheeks.	Big tears fell down her cheeks.
1903_132499_000078_000000	"You are crying, sister, but can you hold out your hand to me?"	"You are crying, sister, but can you hold out your hand to me?"
1903_132499_000079_000000	"You doubted it?"	"You doubted it?"
1903_132499_000080_000000	She threw her arms round him.	She threw her arms round him.
1903_132499_000081_000000	"Aren't you half expiating your crime by facing the suffering?" she cried, holding him close and kissing him.	"Aren't you half expiating your crime by facing the suffering?" she cried, holding him close and kissing him.
1903_132499_000082_000000	"Crime?	"Crime?
1903_132499_000082_000001	What crime?" he cried in sudden fury.	What crime?" he cried in sudden fury.
1903_132499_000082_000002	"That I killed a vile noxious insect, an old pawnbroker woman, of use to no one!...	"That I killed a vile noxious insect, an old pawnbroker woman, of use to no one!...
1903_132499_000082_000003	Killing her was atonement for forty sins.	Killing her was atonement for forty sins.
1903_132499_000082_000004	She was sucking the life out of poor people.	She was sucking the life out of poor people.
1903_132499_000082_000005	Was that a crime?	Was that a crime?
1903_132499_000082_000007	'A crime! a crime!' Only now I see clearly the imbecility of my cowardice, now that I have decided to face this superfluous disgrace.	'A crime! a crime!' Only now I see clearly the imbecility of my cowardice, now that I have decided to face this superfluous disgrace.
1903_132499_000082_000008	It's simply because I am contemptible and have nothing in me that I have decided to, perhaps too for my advantage, as that...	It's simply because I am contemptible and have nothing in me that I have decided to, perhaps too for my advantage, as that...
1903_132499_000082_000009	Porfiry... suggested!"	Porfiry... suggested!"
1903_132499_000083_000000	"Brother, brother, what are you saying?	"Brother, brother, what are you saying?
1903_132499_000083_000001	Why, you have shed blood?" cried Dounia in despair.	Why, you have shed blood?" cried Dounia in despair.
1903_132499_000084_000000	"Which all men shed," he put in almost frantically, "which flows and has always flowed in streams, which is spilt like champagne, and for which men are crowned in the Capitol and are called afterwards benefactors of mankind.	"Which all men shed," he put in almost frantically, "which flows and has always flowed in streams, which is spilt like champagne, and for which men are crowned in the Capitol and are called afterwards benefactors of mankind.
1903_132499_000084_000001	Look into it more carefully and understand it!	Look into it more carefully and understand it!
1903_132499_000084_000003	But I... I couldn't carry out even the first step, because I am contemptible, that's what's the matter!	But i.. I couldn't carry out even the first step, because I am contemptible, that's what's the matter!
1903_132499_000084_000004	And yet I won't look at it as you do.	And yet I won't look at it as you do.
1903_132499_000084_000005	If I had succeeded I should have been crowned with glory, but now I'm trapped."	If I had succeeded I should have been crowned with glory, but now I'm trapped."
1903_132499_000085_000000	"But that's not so, not so!	"But that's not so, not so!
1903_132499_000085_000001	Brother, what are you saying?"	Brother, what are you saying?"
1903_132499_000086_000000	"Ah, it's not picturesque, not aesthetically attractive!	"Ah, it's not picturesque, not aesthetically attractive!
1903_132499_000086_000003	I've never, never been stronger and more convinced than now."	I've never, never been stronger and more convinced than now."
1903_132499_000087_000001	He felt that he had, anyway, made these two poor women miserable, that he was, anyway, the cause...	He felt that he had, anyway, made these two poor women miserable, that he was, anyway, the cause...
1903_132499_000088_000001	Good-bye!	Good bye!
1903_132499_000088_000002	We won't dispute.	We won't dispute.
1903_132499_000088_000003	It's time, high time to go. Don't follow me, I beseech you, I have somewhere else to go....	It's time, high time to go. Don't follow me, I beseech you, I have somewhere else to go....
1903_132499_000088_000004	But you go at once and sit with mother.	But you go at once and sit with mother.
1903_132499_000088_000005	I entreat you to!	I entreat you to!
1903_132499_000088_000006	It's my last request of you.	It's my last request of you.
1903_132499_000088_000007	Don't leave her at all; I left her in a state of anxiety, that she is not fit to bear; she will die or go out of her mind.	Don't leave her at all; I left her in a state of anxiety, that she is not fit to bear; she will die or go out of her mind.
1903_132499_000088_000008	Be with her!	Be with her!
1903_132499_000088_000009	Razumihin will be with you.	Razumihin will be with you.
1903_132499_000088_000011	Don't cry about me: I'll try to be honest and manly all my life, even if I am a murderer.	Don't cry about me: I'll try to be honest and manly all my life, even if I am a murderer.
1903_132499_000088_000012	Perhaps I shall some day make a name.	Perhaps I shall some day make a name.
1903_132499_000088_000013	I won't disgrace you, you will see; I'll still show....	I won't disgrace you, you will see; I'll still show....
1903_132499_000088_000014	Now good-bye for the present," he concluded hurriedly, noticing again a strange expression in Dounia's eyes at his last words and promises.	Now good bye for the present," he concluded hurriedly, noticing again a strange expression in Dounia's eyes at his last words and promises.
1903_132499_000088_000015	"Why are you crying?	"Why are you crying?
1903_132499_000088_000016	Don't cry, don't cry: we are not parting for ever!	Don't cry, don't cry: we are not parting for ever!
1903_132499_000088_000017	Ah, yes!	Ah, yes!
1903_132499_000088_000018	Wait a minute, I'd forgotten!"	Wait a minute, I'd forgotten!"
1903_132499_000089_000000	He went to the table, took up a thick dusty book, opened it and took from between the pages a little water-colour portrait on ivory.	He went to the table, took up a thick dusty book, opened it and took from between the pages a little water colour portrait on ivory.
1903_132499_000089_000001	It was the portrait of his landlady's daughter, who had died of fever, that strange girl who had wanted to be a nun.	It was the portrait of his landlady's daughter, who had died of fever, that strange girl who had wanted to be a nun.
1903_132499_000090_000000	"I used to talk a great deal about it to her, only to her," he said thoughtfully.	"I used to talk a great deal about it to her, only to her," he said thoughtfully.
1903_132499_000090_000002	Don't be uneasy," he returned to Dounia, "she was as much opposed to it as you, and I am glad that she is gone.	Don't be uneasy," he returned to Dounia, "she was as much opposed to it as you, and I am glad that she is gone.
1903_132499_000090_000003	The great point is that everything now is going to be different, is going to be broken in two," he cried, suddenly returning to his dejection. "Everything, everything, and am I prepared for it?	The great point is that everything now is going to be different, is going to be broken in two," he cried, suddenly returning to his dejection. "Everything, everything, and am I prepared for it?
1903_132499_000090_000004	Do I want it myself? They say it is necessary for me to suffer!	Do I want it myself? They say it is necessary for me to suffer!
1903_132499_000090_000005	What's the object of these senseless sufferings?	What's the object of these senseless sufferings?
1903_132499_000090_000006	shall I know any better what they are for, when I am crushed by hardships and idiocy, and weak as an old man after twenty years' penal servitude?	shall I know any better what they are for, when I am crushed by hardships and idiocy, and weak as an old man after twenty years' penal servitude?
1903_132499_000090_000007	And what shall I have to live for then?	And what shall I have to live for then?
1903_132499_000090_000008	Why am I consenting to that life now?	Why am I consenting to that life now?
1903_132499_000091_000000	At last they both went out.	At last they both went out.
1903_132499_000091_000001	It was hard for Dounia, but she loved him. She walked away, but after going fifty paces she turned round to look at him again.	It was hard for Dounia, but she loved him. She walked away, but after going fifty paces she turned round to look at him again.
1903_132499_000091_000002	He was still in sight.	He was still in sight.
1903_132499_000091_000003	At the corner he too turned and for the last time their eyes met; but noticing that she was looking at him, he motioned her away with impatience and even vexation, and turned the corner abruptly.	At the corner he too turned and for the last time their eyes met; but noticing that she was looking at him, he motioned her away with impatience and even vexation, and turned the corner abruptly.
1903_132499_000092_000000	"I am wicked, I see that," he thought to himself, feeling ashamed a moment later of his angry gesture to Dounia.	"I am wicked, I see that," he thought to himself, feeling ashamed a moment later of his angry gesture to Dounia.
1903_132499_000092_000001	"But why are they so fond of me if I don't deserve it?	"But why are they so fond of me if I don't deserve it?
1903_132499_000092_000002	Oh, if only I were alone and no one loved me and I too had never loved anyone!	Oh, if only I were alone and no one loved me and I too had never loved anyone!
1903_132499_000092_000004	Yes, that's it, that's it, that's what they are sending me there for, that's what they want.	Yes, that's it, that's it, that's what they are sending me there for, that's what they want.
1903_132499_000092_000005	Look at them running to and fro about the streets, every one of them a scoundrel and a criminal at heart and, worse still, an idiot.	Look at them running to and fro about the streets, every one of them a scoundrel and a criminal at heart and, worse still, an idiot.
1903_132499_000093_000000	He fell to musing by what process it could come to pass, that he could be humbled before all of them, indiscriminately--humbled by conviction. And yet why not?	He fell to musing by what process it could come to pass, that he could be humbled before all of them, indiscriminately-humbled by conviction. And yet why not?
1903_132499_000093_000001	It must be so.	It must be so.
1903_132499_000093_000002	Would not twenty years of continual bondage crush him utterly?	Would not twenty years of continual bondage crush him utterly?
