4438_48525_000000_000000	XV	fifteen
4438_48525_000010_000002	Why shouldn't she be able to cry out naturally if she wanted to, to talk to him frankly, to get his help to cure herself of what was so ridiculous by laughing at it with him?	Why shouldn't she be able to cry out naturally if she wanted to, to talk to him frankly, to get his help to cure herself of what was so ridiculous by laughing at it with him?
4438_48525_000010_000003	She couldn't laugh all alone, though she was always trying to; with him she could have, and so have become quite sensible.	She couldn't laugh all alone, though she was always trying to; with him she could have, and so have become quite sensible.
4438_48525_000010_000004	For he was so much bigger than she was, so wonderful in the way he had triumphed over diseased thinking, and his wholesomeness would spread over her too, a purging, disinfecting influence, if only he would let her talk, if only he would help her to laugh.	For he was so much bigger than she was, so wonderful in the way he had triumphed over diseased thinking, and his wholesomeness would spread over her too, a purging, disinfecting influence, if only he would let her talk, if only he would help her to laugh.
4438_48525_000011_000000	'Is it possible,' she thought, 'that I am abject?'	'Is it possible,' she thought, 'that I am abject?'
4438_48525_000012_000000	Yes, she was extremely abject, she reflected, lying awake at night considering her behaviour during the day.	Yes, she was extremely abject, she reflected, lying awake at night considering her behaviour during the day.
4438_48525_000012_000001	Love had made her so.	Love had made her so.
4438_48525_000012_000002	Love did make one abject, for it was full of fear of hurting the beloved.	Love did make one abject, for it was full of fear of hurting the beloved.
4438_48525_000012_000003	The assertion of the Scriptures that perfect love casteth out fear only showed, seeing that her love for Everard was certainly perfect, how little the Scriptures really knew what they were talking about.	The assertion of the Scriptures that perfect love casteth out fear only showed, seeing that her love for Everard was certainly perfect, how little the Scriptures really knew what they were talking about.
4438_48525_000013_000000	Well, if she couldn't tell him the things she was feeling, why couldn't she get rid of the sorts of feelings she couldn't tell him, and just be wholesome?	Well, if she couldn't tell him the things she was feeling, why couldn't she get rid of the sorts of feelings she couldn't tell him, and just be wholesome?
4438_48525_000013_000003	Sometimes Lucy would be sure that deep in his character there was a wonderful store of simple courage.	Sometimes Lucy would be sure that deep in his character there was a wonderful store of simple courage.
4438_48525_000013_000004	He didn't speak of Vera's death, naturally he didn't wish to speak of that awful afternoon, but how often he must think of it, hiding his thoughts even from her, bearing them altogether alone.	He didn't speak of Vera's death, naturally he didn't wish to speak of that awful afternoon, but how often he must think of it, hiding his thoughts even from her, bearing them altogether alone.
4438_48525_000013_000005	Sometimes she was sure of this, and sometimes she was equally sure of the very opposite.	Sometimes she was sure of this, and sometimes she was equally sure of the very opposite.
4438_48525_000013_000007	But this was too incredible.	But this was too incredible.
4438_48525_000013_000008	She couldn't believe it.	She couldn't believe it.
4438_48525_000013_000009	What had perhaps happened, she thought, was that in self-defence, for the preservation of his peace, he had made up his mind never to think of Vera.	What had perhaps happened, she thought, was that in self defence, for the preservation of his peace, he had made up his mind never to think of Vera.
4438_48525_000013_000010	Only by banishing her altogether from his mind would he be safe.	Only by banishing her altogether from his mind would he be safe.
4438_48525_000013_000011	Yet that couldn't be true either, for several times on the honeymoon he had begun talking of her, of things she had said, of things she had liked, and it was she, Lucy, who stopped him.	Yet that couldn't be true either, for several times on the honeymoon he had begun talking of her, of things she had said, of things she had liked, and it was she, Lucy, who stopped him.
4438_48525_000013_000012	She shrank from hearing anything about Vera.	She shrank from hearing anything about Vera.
4438_48525_000013_000013	She especially shrank from hearing her mentioned casually.	She especially shrank from hearing her mentioned casually.
4438_48525_000013_000016	She might be too morbid, but wasn't it possible to be too wholesome?	She might be too morbid, but wasn't it possible to be too wholesome?
4438_48525_000013_000018	That, at least, ought to be kept free from her.	That, at least, ought to be kept free from her.
4438_48525_000013_000019	Later on at The Willows....	Later on at The Willows....
4438_48525_000014_000000	Lucy fought and fought against it, but always at the back of her mind was the thought, not looked at, slunk away from, but nevertheless fixed, that there at The Willows, waiting for her, was Vera.	Lucy fought and fought against it, but always at the back of her mind was the thought, not looked at, slunk away from, but nevertheless fixed, that there at The Willows, waiting for her, was Vera.
