3274_167022_000000_000000	"Well, then what?" Harrington asked.	"Well, then what?" Harrington asked.	true	46.56	49.21	24.394379
3274_167022_000007_000001	"Gurgurk can follow one of two lines of policy.	"Gurgurk can follow one of two lines of policy.	true	157.25	159.76	26.216755
3274_167022_000007_000002	He can undertake to heave Jaikark off the throne and seize power, or he has to support Jaikark on the throne. We're subsidizing Jaikark.	He can undertake to heave Jaikark off the throne and seize power, or he has to support Jaikark on the throne. We're subsidizing Jaikark.	true	159.77	167.62	21.44094
3274_167022_000007_000003	Rakkeed has been preaching this crusade against the Terrans, and against Jaikark, whom we control.	Rakkeed has been preaching this crusade against the Terrans, and against Jaikark, whom we control.	true	167.63	172.81	22.079258
3274_167022_000007_000004	Gurgurk has been subsidizing Rakkeed...."	Gurgurk has been subsidizing Rakkeed...."	true	173.12	175.36	21.251104
3274_167022_000008_000000	"You haven't any proof of that," Harrington protested.	"You haven't any proof of that," Harrington protested.	true	175.7	178.81	23.429504
3274_167022_000009_000000	"My Intelligence Section has," von Schlichten put in.	"My Intelligence Section has," von Schlichten put in.	true	179.09	182.59	22.869513
3274_167022_000009_000001	"We can give sums of money, and dates, and the names of the intermediaries through whom they were paid to Rakkeed.	"We can give sums of money, and dates, and the names of the intermediaries through whom they were paid to Rakkeed.	true	182.6	188.5	20
3274_167022_000009_000002	Eric is absolutely correct in making that statement."	Eric is absolutely correct in making that statement."	true	188.78	192.22	25.326458
3274_167022_000010_000000	"Personally, I think Gurgurk's plan is something like this: Rakkeed will stir up anti-Terran sentiment here in Konkrook, and direct it against our puppet, Jaikark, as well as against us," Blount said. "When the outbreak comes, Jaikark will be killed, and then Gurgurk will step in, seize the Palace, and use the Royal army to put down the revolt that he's incited in the first place.	"Personally, I think Gurgurk's plan is something like this: Rakkeed will stir up anti Terran sentiment here in Konkrook, and direct it against our puppet, Jaikark, as well as against us," Blount said. "When the outbreak comes, Jaikark will be killed, and then Gurgurk will step in, seize the Palace, and use the Royal army to put down the revolt that he's incited in the first place.	false	192.53	210.94	23.943508
3274_167022_000010_000001	That will put him in the position of the friend of the Company, and most of his dupes will be rounded up and sold as slaves, and King Gurgurk'll pocket the proceeds.	That will put him in the position of the friend of the Company, and most of his dupes will be rounded up and sold as slaves, and King Gurgurk'll pocket the proceeds.	true	211.19	219.34	25.65124
3274_167022_000010_000002	The only question is, will Rakkeed let himself be used that way?	The only question is, will Rakkeed let himself be used that way?	true	219.38	223.065	24.583275
3274_167022_000010_000003	I think Rakkeed's bigger than Gurgurk ever can be.	I think Rakkeed's bigger than Gurgurk ever can be.	true	223.065	226.09	26.781506
3274_167022_000010_000004	And more of a threat to the Company.	And more of a threat to the Company.	true	226.22	227.92	23.588104
3274_167022_000010_000005	Everywhere we turn, Rakkeed's at the bottom of whatever happens to be wrong.	Everywhere we turn, Rakkeed's at the bottom of whatever happens to be wrong.	true	228.2	231.76	22.349348
3274_167022_000010_000006	This business, for instance; Keeluk's one of Rakkeed's followers."	This business, for instance; Keeluk's one of Rakkeed's followers."	true	231.89	235.5	21.725471
3274_167022_000011_000000	"Eric, you have Rakkeed on the brain!" Harrington exclaimed impatiently, then moved the threatened piece counterclockwise on the circle where he had placed it.	"Eric, you have Rakkeed on the brain!" Harrington exclaimed impatiently, then moved the threatened piece counterclockwise on the circle where he had placed it.	true	235.5	243.615	26.78171
3274_167022_000011_000001	"He's just a barbarian caravan-driver."	"He's just a barbarian caravan driver."	true	243.615	246.46	23.023544
3274_167022_000012_000000	Eric Blount moved the piece that had taken Harrington's pawn.	Eric Blount moved the piece that had taken Harrington's pawn.	true	246.86	250.12	23.743353
3274_167022_000013_000000	"Your king's in danger," he warned.	"Your king's in danger," he warned.	true	250.61	252.75	20.551764
3274_167022_000013_000001	"And Hitler was just a paper-hanger."	"And Hitler was just a paper hanger."	true	252.75	254.68	23.073603
3274_167022_000014_000000	"Rakkeed has no following, except among the rabble." Harrington puffed furiously at his pipe, trying to figure the best protection for his king.	"Rakkeed has no following, except among the rabble." Harrington puffed furiously at his pipe, trying to figure the best protection for his king.	true	255.08	261.69	25.686846
3274_167022_000015_000000	"You just think he hasn't," Blount retorted.	"You just think he hasn't," Blount retorted.	false	261.69	264.58	22.409187
3274_167022_000015_000001	"Here in Konkrook, he's always entertained by one or another of the big ship-owning nobles. They probably deprecate his table-manners, but they just love his politics.	"Here in Konkrook, he's always entertained by one or another of the big ship owning nobles. They probably deprecate his table manners, but they just love his politics.	true	264.83	273.105	22.497437
3274_167022_000015_000002	And the same thing at Keegark, and at the Free Cities along the Eastern Shore."	And the same thing at Keegark, and at the Free Cities along the Eastern Shore."	true	273.105	276.55	19
3274_167022_000016_000000	"The last time Rakkeed was in Konkrook, he was the guest of the Keegarkan Ambassador," von Schlichten stated.	"The last time Rakkeed was in Konkrook, he was the guest of the Keegarkan Ambassador," von Schlichten stated.	true	276.56	282.64	25.36167
3274_167022_000016_000001	"Intelligence got that from a spy we'd planted among the embassy servants."	"Intelligence got that from a spy we'd planted among the embassy servants."	true	282.86	287.11	24.94204
3274_167022_000017_000000	"You sure this spy wasn't just romancing?" Harrington asked.	"You sure this spy wasn't just romancing?" Harrington asked.	true	287.54	291.16	22.915054
3274_167022_000017_000001	"You get so confounded many wild stories about Rakkeed.	"You get so confounded many wild stories about Rakkeed.	true	291.41	294.795	24.444921
3274_167022_000017_000002	Three days after he was reported here at Konkrook, he was reported at Skilk, five thousand miles away, said to be having an audience with King Firkked."	Three days after he was reported here at Konkrook, he was reported at Skilk, five thousand miles away, said to be having an audience with King Firkked."	false	294.795	302.64	24.323183
3274_167022_000018_000000	"No mystery to that," von Schlichten said.	"No mystery to that," von Schlichten said.	true	302.64	305.74	21.565155
3274_167022_000018_000001	"He travels on our ships, in disguise, coolie-class, on the geek-deck."	"He travels on our ships, in disguise, coolie class, on the geek deck."	true	305.96	310.96	23.45934
3274_167022_000019_000000	"Be a good idea if he could be caught at it, some time," Blount said, making another move.	"Be a good idea if he could be caught at it, some time," Blount said, making another move.	false	310.97	315.55	25.744268
3274_167022_000019_000001	"One of the lower-deck loading ports could be left unlocked, by carelessness, and he could blunder overboard at about five thousand feet." He watched Harrington make a deceptively pointless-looking move.	"One of the lower deck loading ports could be left unlocked, by carelessness, and he could blunder overboard at about five thousand feet." He watched Harrington make a deceptively pointless looking move.	true	315.56	325.6	23.519012
3274_167022_000019_000002	"Sid, this damn dog business worries me."	"Sid, this damn dog business worries me."	true	325.73	328.24	23.236006
3274_167022_000020_000000	"Worries me, too.	"Worries me, too.	true	329.27	330.405	22.259737
3274_167022_000020_000001	I'm fond of that mutt, and God only knows what sort of stuff he's been getting to eat.	I'm fond of that mutt, and God only knows what sort of stuff he's been getting to eat.	true	330.405	334.545	22.181442
3274_167022_000020_000002	And I hate to think of why those geeks stole him, too."	And I hate to think of why those geeks stole him, too."	true	334.545	337.605	23.543377
3274_167022_000021_000000	"Well, at risk of seeming heartless, I'm not so much worried for Stalin as I am about why Keeluk was hiding him, and why he was willing to murder the only two Terrans in Konkrook who trust him, to prevent our finding out that he had him."	"Well, at risk of seeming heartless, I'm not so much worried for Stalin as I am about why Keeluk was hiding him, and why he was willing to murder the only two Terrans in Konkrook who trust him, to prevent our finding out that he had him."	false	337.605	349.8	23.442232
3274_167022_000022_000000	"A Mr. Keeluk, a clergyman," von Schlichten quoted.	"A mr Keeluk, a clergyman," von Schlichten quoted.	true	349.8	354.315	25.245457
3274_167022_000022_000001	He chain-lit another cigarette and stubbed out the old one.	He chain lit another cigarette and stubbed out the old one.	true	354.315	357.285	22.96458
3274_167022_000022_000002	"Maybe the Rev.	"Maybe the Rev.	true	357.285	358.41	21.67958
3274_167022_000022_000003	Keeluk wanted Stalin for sacramental purposes."	Keeluk wanted Stalin for sacramental purposes."	true	358.41	361.48	22.99979
3274_167022_000023_000000	Blount looked up sharply.	Blount looked up sharply.	false	361.76	363.46	26.102495
3274_167022_000023_000001	"Ritual killing?" he asked.	"Ritual killing?" he asked.	true	363.8	365.74	22.379807
3274_167022_000023_000002	"Or sympathetic magic?"	"Or sympathetic magic?"	true	366.17	367.695	24.215025
3274_167022_000024_000000	Von Schlichten shrugged.	Von Schlichten shrugged.	true	367.695	369.22	22.35268
3274_167022_000024_000001	"Take your choice.	"Take your choice.	true	369.23	370.38	29.559294
3274_167022_000024_000002	Maybe Rakkeed wanted the dog, to kill before a congregation of his followers, killing us by proxy, or in effigy.	Maybe Rakkeed wanted the dog, to kill before a congregation of his followers, killing us by proxy, or in effigy.	true	370.38	377.26	24.865286
3274_167022_000024_000003	Or maybe they think we worship Stalin, and getting control of him would give them power over us.	Or maybe they think we worship Stalin, and getting control of him would give them power over us.	false	377.36	383.08	24.050043
3274_167022_000024_000004	I wish we knew a little more about Ulleran psychology."	I wish we knew a little more about Ulleran psychology."	false	383.39	386.77	23.548471
3274_167022_000025_000000	That wasn't the first time he'd made that wish.	That wasn't the first time he'd made that wish.	true	386.78	389.1	26.636179
3274_167022_000025_000001	Even if sex weren't the paramount psychological factor the ancient Freudians believed, it was an extremely important one, and on Uller most of the fundamental terms of Terran psychology were meaningless.	Even if sex weren't the paramount psychological factor the ancient Freudians believed, it was an extremely important one, and on Uller most of the fundamental terms of Terran psychology were meaningless.	false	389.1	400.27	21.116869
3274_167022_000025_000002	At the same time, the average Ulleran probably had complexes and neuroses that would have had Freud talking to himself, and they certainly indulged in practices that would have even stood Krafft-Ebing's hair on end.	At the same time, the average Ulleran probably had complexes and neuroses that would have had Freud talking to himself, and they certainly indulged in practices that would have even stood Krafft Ebing's hair on end.	true	400.49	412.87	23.403687
3274_167022_000026_000000	"One thing," Blount said.	"One thing," Blount said.	false	412.94	414.585	20.71041
3274_167022_000026_000001	"It doesn't take any Ulleran psychologist to know that about eighty percent of them hate us poisonously."	"It doesn't take any Ulleran psychologist to know that about eighty percent of them hate us poisonously."	true	414.585	419.89	23
3274_167022_000027_000000	"Oh, rubbish!" Harrington blew the exclamation out around his pipe-stem with a gush of smoke.	"Oh, rubbish!" Harrington blew the exclamation out around his pipe stem with a gush of smoke.	true	420.62	425.805	20.29675
3274_167022_000027_000001	"A few fanatics hate us, and a few merchants who lost money when we replaced this primitive barter economy of theirs, but nine-tenths of them have benefited enormously from us, and continue to benefit...."	"A few fanatics hate us, and a few merchants who lost money when we replaced this primitive barter economy of theirs, but nine tenths of them have benefited enormously from us, and continue to benefit...."	true	425.805	435.7	23.722609
3274_167022_000028_000000	"And hate us more deeply with each new benefit," Blount added.	"And hate us more deeply with each new benefit," Blount added.	true	435.8	438.945	20.008663
3274_167022_000028_000001	"They resent everything we've done for them."	"They resent everything we've done for them."	true	438.945	441.07	24.294853
3274_167022_000029_000000	"Yes, this spaceport proposition of King Orgzild of Keegark looks like it, now doesn't it?" Harrington retorted.	"Yes, this spaceport proposition of King Orgzild of Keegark looks like it, now doesn't it?" Harrington retorted.	true	441.2	447.55	23.509184
3274_167022_000029_000001	"He hates and resents us so much that he's offered us a spaceport at his city...."	"He hates and resents us so much that he's offered us a spaceport at his city...."	true	448.01	452.02	24.291075
3274_167022_000030_000000	"What's it going to cost him?" Blount asked.	"What's it going to cost him?" Blount asked.	true	452.24	454.26	23.900557
3274_167022_000030_000001	"He furnishes the land--sequestered from the estate of some noble he executed for treason--and the labor--all forced.	"He furnishes the land-sequestered from the estate of some noble he executed for treason-and the labor-all forced.	true	454.26	460.65	20.288252
3274_167022_000030_000002	We furnish the structural steel, the machine-equipment, the engineering.	We furnish the structural steel, the machine equipment, the engineering.	true	460.65	464.07	23
3274_167022_000030_000003	We get a spaceport we don't really need, and he gets all the business it'll bring to Keegark. Considering the fact that Rakkeed is a welcome guest at his embassy here, and at the Royal Palace at Keegark, I'm beginning to wonder if he isn't fomenting trouble for us here at Konkrook to make us willing to move our main base to his city."	We get a spaceport we don't really need, and he gets all the business it'll bring to Keegark. Considering the fact that Rakkeed is a welcome guest at his embassy here, and at the Royal Palace at Keegark, I'm beginning to wonder if he isn't fomenting trouble for us here at Konkrook to make us willing to move our main base to his city."	false	464.07	480.19	23.867455
3274_167022_000031_000000	He made a move.	He made a move.	true	480.5	481.62	20
3274_167022_000031_000001	Instantly, Harrington slashed out from the middle of the board with one of his heavy-duty, all-purpose pieces and took a piece, then moved again.	Instantly, Harrington slashed out from the middle of the board with one of his heavy duty, all purpose pieces and took a piece, then moved again.	true	481.62	489.19	25.369741
3274_167022_000032_000000	"Now look whose king's threatened!" he crowed.	"Now look whose king's threatened!" he crowed.	true	489.89	492.49	22.88443
3274_167022_000033_000000	"Yes, I see." Blount brought a piece clockwise around the board and took the threatening piece, then moved again.	"Yes, I see." Blount brought a piece clockwise around the board and took the threatening piece, then moved again.	true	492.83	499.065	25.10756
3274_167022_000033_000001	"I hope you see whose king's threatened, now."	"I hope you see whose king's threatened, now."	true	499.065	501.34	21.549065
3274_167022_000034_000000	Harrington swore, reached out to move a piece, and then jerked his hand back as though the piece were radioactive.	Harrington swore, reached out to move a piece, and then jerked his hand back as though the piece were radioactive.	true	501.8	507.82	27.437815
3274_167022_000034_000001	For a while, he sat puffing his pipe and staring at the board.	For a while, he sat puffing his pipe and staring at the board.	true	507.95	511.63	23.280325
3274_167022_000035_000000	"In fact, Orgzild's so sure that we're going to accept his offer that he's started building two new power-reactors, to handle the additional power-demand that'll result from the increased business," Blount continued.	"In fact, Orgzild's so sure that we're going to accept his offer that he's started building two new power reactors, to handle the additional power demand that'll result from the increased business," Blount continued.	false	511.85	522.675	21.189108
3274_167022_000036_000000	"Where's he getting the plutonium?" von Schlichten asked.	"Where's he getting the plutonium?" von Schlichten asked.	true	522.675	526.18	23.363894
3274_167022_000037_000000	"Where can he get it?" Harrington replied.	"Where can he get it?" Harrington replied.	true	526.34	528.9	34.807186
3274_167022_000037_000001	"He just bought four tons of it from us, off the _City of Pretoria_."	"He just bought four tons of it from us, off the underscore City of Pretoria underscore."	false	528.9	532.71	23.414024
3274_167022_000038_000000	"That's a hell of a lot of plutonium," Blount said.	"That's a hell of a lot of plutonium," Blount said.	true	532.71	534.945	23.90711
3274_167022_000038_000001	"I wonder if he mightn't have some idea of what else plutonium can be used for, beside generating power."	"I wonder if he mightn't have some idea of what else plutonium can be used for, beside generating power."	true	534.945	539.8	20.371181
3274_167022_000039_000000	"Oh, God, I hope not!" Harrington exclaimed.	"Oh, God, I hope not!" Harrington exclaimed.	true	540.08	543.96	27.001884
3274_167022_000039_000001	"You're going to get me started seeing burglars under the bed, next...."	"You're going to get me started seeing burglars under the bed, next...."	true	543.96	547.75	26.332443
3274_167022_000040_000000	"Maybe there are burglars," Blount said, pointing with his cigarette-holder to Harrington's threatened king.	"Maybe there are burglars," Blount said, pointing with his cigarette holder to Harrington's threatened king.	true	547.76	553.09	21.213034
3274_167022_000040_000001	"Can't you do something about that, Sid?" Then he turned to von Schlichten.	"Can't you do something about that, Sid?" Then he turned to von Schlichten.	true	553.82	557.41	22.75701
3274_167022_000040_000002	"Before we get off the subject, how about those letters the Rev.	"Before we get off the subject, how about those letters the Rev.	true	557.87	561.03	23.635242
3274_167022_000040_000003	Keeluk gave to the Quinton girl?"	Keeluk gave to the Quinton girl?"	true	561.03	562.875	23
3274_167022_000041_000000	"All addressed to Skilkans known to be Rakkeed disciples and rabidly anti-Terran," von Schlichten replied.	"All addressed to Skilkans known to be Rakkeed disciples and rabidly anti Terran," von Schlichten replied.	true	562.875	569.14	24.188728
3274_167022_000041_000001	"We radioed the list to Skilk; Colonel Cheng-Li, our intelligence man there, teleprinted us back a lot of material on them that looks like the Newgate Calendar.	"We radioed the list to Skilk; Colonel Cheng Li, our intelligence man there, teleprinted us back a lot of material on them that looks like the Newgate Calendar.	true	569.18	577.84	22.954697
3274_167022_000041_000002	We turned the letters themselves over to Doc Petrie, the Ulleran philology sharp, who is a pretty fair cryptanalyst.	We turned the letters themselves over to Doc Petrie, the Ulleran philology sharp, who is a pretty fair cryptanalyst.	true	578	584.73	24.545128
3274_167022_000041_000003	He couldn't find any indications of cipher, but there was a lot of gossip about Keeluk's friends and parishioners which might have arbitrary code-meanings.	He couldn't find any indications of cipher, but there was a lot of gossip about Keeluk's friends and parishioners which might have arbitrary code meanings.	true	584.73	593.11	22.34764
3274_167022_000041_000004	I'm going to explain the situation to Miss Quinton, and advise her to have nothing to do with any of the people Keeluk gave her letters to."	I'm going to explain the situation to Miss Quinton, and advise her to have nothing to do with any of the people Keeluk gave her letters to."	false	593.33	601.51	24.138004
3274_167022_000042_000000	Harrington had gotten his king temporarily out of danger, losing a piece doing it.	Harrington had gotten his king temporarily out of danger, losing a piece doing it.	true	601.52	605.71	22.855667
3274_167022_000043_000000	"Think she'll listen to you?" he asked.	"Think she'll listen to you?" he asked.	true	606.08	608.7	21.064413
3274_167022_000043_000001	"These Extraterrestrials' Rights Association people are a lot of blasted fanatics, themselves. We're a gang of bloody-handed, flint-hearted, imperialistic sons of bitches in their book, and anything we say's sure to be a Hitler-sized lie."	"These Extraterrestrials' Rights Association people are a lot of blasted fanatics, themselves. We're a gang of bloody handed, flint hearted, imperialistic sons of bitches in their book, and anything we say's sure to be a Hitler sized lie."	true	608.7	622.96	23.67004
3274_167022_000044_000000	"Oh, they're not as bad as all that.	"Oh, they're not as bad as all that.	true	623	625.12	24.204826
3274_167022_000044_000001	I never met the girl before today, but old Mohammed Ferriera's a decent bloke.	I never met the girl before today, but old Mohammed Ferriera's a decent bloke.	true	625.34	629.895	23.271626
3274_167022_000044_000002	And their association's really done a lot of good.	And their association's really done a lot of good.	true	629.895	632.775	19.590218
3274_167022_000044_000003	For one thing, they put an end to the peonage system on Yggdrasill, and I know what conditions were like, there, before they did."	For one thing, they put an end to the peonage system on Yggdrasill, and I know what conditions were like, there, before they did."	true	632.775	639.9	20.763689
3274_167022_000045_000000	A calculating look came into Harrington's eye.	A calculating look came into Harrington's eye.	true	639.9	642.39	25.715862
3274_167022_000045_000001	He puffed slowly at his pipe and slid a piece from the center toward the sector of the board nearest him.	He puffed slowly at his pipe and slid a piece from the center toward the sector of the board nearest him.	true	642.39	647.62	22.182375
3274_167022_000045_000002	Blount whistled softly and made a quick re-arrangement.	Blount whistled softly and made a quick re arrangement.	true	647.84	650.68	23.445814
3274_167022_000046_000000	"Carlos, did you say she told you she was going to Skilk, in the near future?" Harrington asked.	"Carlos, did you say she told you she was going to Skilk, in the near future?" Harrington asked.	true	650.93	656.56	24.978838
3274_167022_000046_000001	"Well, look here; you're going up that way, yourself, with that battalion of Kragans, on the _Aldebaran_.	"Well, look here; you're going up that way, yourself, with that battalion of Kragans, on the underscore Aldebaran underscore.	false	656.57	662.64	23.578077
3274_167022_000046_000002	Why don't you invite her to make the trip with you?	Why don't you invite her to make the trip with you?	true	662.64	665.16	24.949379
3274_167022_000046_000003	You can be quite attractive to young ladies, when you try, and she'll be grateful for that rescue this afternoon, which is always a good foundation.	You can be quite attractive to young ladies, when you try, and she'll be grateful for that rescue this afternoon, which is always a good foundation.	true	665.16	672.46	22.367176
3274_167022_000046_000004	Maybe you can plant a couple of ideas where they'll do the most good.	Maybe you can plant a couple of ideas where they'll do the most good.	true	672.62	676.27	21.188234
3274_167022_000046_000005	She's only been here for three months--since the _Canberra_ got in from Niflheim.	She's only been here for three months-since the underscore Canberra underscore got in from Niflheim.	false	676.34	680.5	23.480982
3274_167022_000046_000006	You know and I know and we all know that there are a lot of things up there at the polar mines that would look like hell to anybody who didn't understand local conditions...."	You know and I know and we all know that there are a lot of things up there at the polar mines that would look like hell to anybody who didn't understand local conditions...."	true	680.78	688.72	22.175055
3274_167022_000047_000000	"Well, Miss Quinton's company won't be any particularly heavy cross for me to bear," von Schlichten replied.	"Well, Miss Quinton's company won't be any particularly heavy cross for me to bear," von Schlichten replied.	false	689.18	695.31	24.47592
3274_167022_000047_000001	"I won't guarantee anything, of course...."	"I won't guarantee anything, of course...."	true	695.31	698.08	30.020462
3274_167022_000048_000000	The intercom-speaker on the table whistled several times.	The intercom speaker on the table whistled several times.	true	698.42	701.44	19
3274_167022_000048_000001	Harrington swore, laid down his pipe, and got up, brushing ashes from the front of his coat.	Harrington swore, laid down his pipe, and got up, brushing ashes from the front of his coat.	false	701.45	706.56	21.8166
3274_167022_000048_000002	He flipped a switch and spoke into the box.	He flipped a switch and spoke into the box.	true	706.56	708.795	29.823631
3274_167022_000049_000000	"Governor," a voice replied out of it, "there's a geek procession just landed from a water-barge in front, and is coming up the roadway to Company House.	"Governor," a voice replied out of it, "there's a geek procession just landed from a water barge in front, and is coming up the roadway to Company House.	true	708.795	716.32	23.338326
3274_167022_000049_000001	A platoon of Jaikark's Household Guards, with rifles; the Spear of State; a royal litter; about thirty geek nobles, on foot; a gift-litter; another platoon of riflemen, if you say the last syllable quick enough."	A platoon of Jaikark's Household Guards, with rifles; the Spear of State; a royal litter; about thirty geek nobles, on foot; a gift litter; another platoon of riflemen, if you say the last syllable quick enough."	true	716.36	728.115	25.477524
3274_167022_000050_000000	"That'll be Gurgurk, coming to tell us how unhappy his Sodden and Inebriated Geekship is about that fracas on Seventy-second Street," Harrington said.	"That'll be Gurgurk, coming to tell us how unhappy his Sodden and Inebriated Geekship is about that fracas on Seventy second Street," Harrington said.	true	728.115	736.8	24.424753
3274_167022_000050_000001	"The gift-litter will contain the customary indemnity, at the current market quotation.	"The gift litter will contain the customary indemnity, at the current market quotation.	false	736.8	737.1	21.108414
3274_167022_000050_000002	Have Gurgurk and party admitted, all but the rifle-platoons; give him an honor guard of our Kragans, and keep his own gun-toters outside.	Have Gurgurk and party admitted, all but the rifle platoons; give him an honor guard of our Kragans, and keep his own gun toters outside.	false	737.1	744.22	24.602034
3274_167022_000050_000003	Take them to the Reception Hall, and hold them there till I signal from the Audience Hall, and then herd them in."	Take them to the Reception Hall, and hold them there till I signal from the Audience Hall, and then herd them in."	true	744.23	749.56	23.083899
3274_167022_000051_000000	He came back and made a move.	He came back and made a move.	true	749.93	751.59	28.395071
3274_167022_000051_000001	Immediately, Blount took one of his pieces, moved again, took another, and made the third move to which he was entitled.	Immediately, Blount took one of his pieces, moved again, took another, and made the third move to which he was entitled.	true	751.59	757.9	24.133106
3274_167022_000052_000000	"I'll mate you in four moves," he predicted.	"I'll mate you in four moves," he predicted.	true	758.63	761.1	25.002487
3274_167022_000052_000001	"Want to play it out, before we go down?"	"Want to play it out, before we go down?"	true	761.1	762.945	27.916458
3274_167022_000053_000000	"Sure; what's time to a geek?	"Sure; what's time to a geek?	true	762.945	765.15	26.5223
3274_167022_000053_000001	Gurgurk'd think we were worried about something if we didn't keep him waiting....	Gurgurk'd think we were worried about something if we didn't keep him waiting....	false	765.15	768.345	27.343872
3274_167022_000053_000002	Good Lord!	Good Lord!	true	768.345	769.305	22.784914
3274_167022_000053_000003	You do have me over a barrel, Eric!"	You do have me over a barrel, Eric!"	false	769.305	779.31	25.732552
