3330_170956_000000_000000	Yes, said Glaucon.	Yes, said Glaucon.	false	9.3	25.395	20.14369
3330_170956_000007_000004	Our potters also might be allowed to repose on couches, and feast by the fireside, passing round the winecup, while their wheel is conveniently at hand, and working at pottery only as much as they like; in this way we might make every class happy--and then, as you imagine, the whole State would be happy.	Our potters also might be allowed to repose on couches, and feast by the fireside, passing round the winecup, while their wheel is conveniently at hand, and working at pottery only as much as they like; in this way we might make every class happy-and then, as you imagine, the whole State would be happy.	true	224.3	247.51	20.291878
3330_170956_000007_000005	But do not put this idea into our heads; for, if we listen to you, the husbandman will be no longer a husbandman, the potter will cease to be a potter, and no one will have the character of any distinct class in the State.	But do not put this idea into our heads; for, if we listen to you, the husbandman will be no longer a husbandman, the potter will cease to be a potter, and no one will have the character of any distinct class in the State.	true	248.24	264.64	20.576767
3330_170956_000007_000006	Now this is not of much consequence where the corruption of society, and pretension to be what you are not, is confined to cobblers; but when the guardians of the laws and of the government are only seeming and not real guardians, then see how they turn the State upside down; and on the other hand they alone have the power of giving order and happiness to the State.	Now this is not of much consequence where the corruption of society, and pretension to be what you are not, is confined to cobblers; but when the guardians of the laws and of the government are only seeming and not real guardians, then see how they turn the State upside down; and on the other hand they alone have the power of giving order and happiness to the State.	false	265.28	290.5	18.788244
3330_170956_000007_000007	We mean our guardians to be true saviours and not the destroyers of the State, whereas our opponent is thinking of peasants at a festival, who are enjoying a life of revelry, not of citizens who are doing their duty to the State.	We mean our guardians to be true saviours and not the destroyers of the State, whereas our opponent is thinking of peasants at a festival, who are enjoying a life of revelry, not of citizens who are doing their duty to the State.	true	290.99	306.67	19.892426
3330_170956_000007_000008	But, if so, we mean different things, and he is speaking of something which is not a State.	But, if so, we mean different things, and he is speaking of something which is not a State.	true	307.04	313.09	21.108498
3330_170956_000007_000009	And therefore we must consider whether in appointing our guardians we would look to their greatest happiness individually, or whether this principle of happiness does not rather reside in the State as a whole.	And therefore we must consider whether in appointing our guardians we would look to their greatest happiness individually, or whether this principle of happiness does not rather reside in the State as a whole.	true	313.34	326.68	20.054722
3330_170956_000007_000010	But if the latter be the truth, then the guardians and auxiliaries, and all others equally with them, must be compelled or induced to do their own work in the best way.	But if the latter be the truth, then the guardians and auxiliaries, and all others equally with them, must be compelled or induced to do their own work in the best way.	true	327.41	339.07	19.93141
3330_170956_000007_000011	And thus the whole State will grow up in a noble order, and the several classes will receive the proportion of happiness which nature assigns to them.	And thus the whole State will grow up in a noble order, and the several classes will receive the proportion of happiness which nature assigns to them.	true	339.47	349.66	20.701427
3330_170956_000008_000000	I think that you are quite right.	I think that you are quite right.	true	350.63	352.69	21.078083
3330_170956_000009_000000	I wonder whether you will agree with another remark which occurs to me.	I wonder whether you will agree with another remark which occurs to me.	true	353.06	356.92	18.253672
3330_170956_000010_000000	What may that be?	What may that be?	true	357.44	358.75	20.166695
3330_170956_000011_000000	There seem to be two causes of the deterioration of the arts.	There seem to be two causes of the deterioration of the arts.	true	359.69	363.94	19.910406
3330_170956_000012_000000	What are they?	What are they?	true	364.46	365.44	21.298388
3330_170956_000013_000000	Wealth, I said, and poverty.	Wealth, I said, and poverty.	true	366.17	369.07	21.08542
3330_170956_000014_000000	How do they act?	How do they act?	true	369.47	371.445	20.075003
3330_170956_000015_000000	The process is as follows: When a potter becomes rich, will he, think you, any longer take the same pains with his art?	The process is as follows: When a potter becomes rich, will he, think you, any longer take the same pains with his art?	true	371.445	380.38	19.633314
3330_170956_000016_000000	Certainly not.	Certainly not.	true	380.66	381.88	21.297998
3330_170956_000017_000000	He will grow more and more indolent and careless?	He will grow more and more indolent and careless?	true	382.22	385.24	16.94345
3330_170956_000018_000000	Very true.	Very true.	true	385.61	386.83	21.428717
3330_170956_000019_000000	And the result will be that he becomes a worse potter?	And the result will be that he becomes a worse potter?	true	387.11	390.25	21.602865
3330_170956_000020_000000	Yes; he greatly deteriorates.	Yes; he greatly deteriorates.	true	390.65	393.52	19.3236
3330_170956_000021_000000	But, on the other hand, if he has no money, and cannot provide himself with tools or instruments, he will not work equally well himself, nor will he teach his sons or apprentices to work equally well.	But, on the other hand, if he has no money, and cannot provide himself with tools or instruments, he will not work equally well himself, nor will he teach his sons or apprentices to work equally well.	true	393.86	408.64	19.83646
3330_170956_000022_000000	Certainly not.	Certainly not.	true	408.98	410.2	22.563166
3330_170956_000023_000000	Then, under the influence either of poverty or of wealth, workmen and their work are equally liable to degenerate?	Then, under the influence either of poverty or of wealth, workmen and their work are equally liable to degenerate?	false	410.63	418.93	20.034618
3330_170956_000024_000000	That is evident.	That is evident.	true	419.54	421.06	21.603226
3330_170956_000025_000000	Here, then, is a discovery of new evils, I said, against which the guardians will have to watch, or they will creep into the city unobserved.	Here, then, is a discovery of new evils, I said, against which the guardians will have to watch, or they will creep into the city unobserved.	true	421.49	431.47	19.945515
3330_170956_000026_000000	What evils?	What evils?	true	432.05	433.15	21.679794
3330_170956_000027_000000	Wealth, I said, and poverty; the one is the parent of luxury and indolence, and the other of meanness and viciousness, and both of discontent.	Wealth, I said, and poverty; the one is the parent of luxury and indolence, and the other of meanness and viciousness, and both of discontent.	true	433.61	444.88	20.353558
3330_170956_000028_000000	That is very true, he replied; but still I should like to know, Socrates, how our city will be able to go to war, especially against an enemy who is rich and powerful, if deprived of the sinews of war.	That is very true, he replied; but still I should like to know, Socrates, how our city will be able to go to war, especially against an enemy who is rich and powerful, if deprived of the sinews of war.	true	445.58	459.16	19.975937
3330_170956_000029_000000	There would certainly be a difficulty, I replied, in going to war with one such enemy; but there is no difficulty where there are two of them.	There would certainly be a difficulty, I replied, in going to war with one such enemy; but there is no difficulty where there are two of them.	true	459.92	469.06	18.333408
3330_170956_000030_000000	How so?	How so?	true	469.55	470.475	21.922083
3330_170956_000030_000001	he asked.	he asked.	true	470.475	471.43	19.917086
3330_170956_000031_000000	In the first place, I said, if we have to fight, our side will be trained warriors fighting against an army of rich men.	In the first place, I said, if we have to fight, our side will be trained warriors fighting against an army of rich men.	true	471.8	479.71	19.958101
3330_170956_000032_000000	That is true, he said.	That is true, he said.	true	480.17	481.96	20.145182
3330_170956_000033_000000	And do you not suppose, Adeimantus, that a single boxer who was perfect in his art would easily be a match for two stout and well-to-do gentlemen who were not boxers?	And do you not suppose, Adeimantus, that a single boxer who was perfect in his art would easily be a match for two stout and well to do gentlemen who were not boxers?	true	482.39	494.26	21.61373
3330_170956_000034_000000	Hardly, if they came upon him at once.	Hardly, if they came upon him at once.	true	494.87	497.65	20.162533
3330_170956_000035_000000	What, now, I said, if he were able to run away and then turn and strike at the one who first came up?	What, now, I said, if he were able to run away and then turn and strike at the one who first came up?	true	498.32	505.6	20.81827
3330_170956_000035_000001	And supposing he were to do this several times under the heat of a scorching sun, might he not, being an expert, overturn more than one stout personage?	And supposing he were to do this several times under the heat of a scorching sun, might he not, being an expert, overturn more than one stout personage?	true	505.91	516.19	20.170462
3330_170956_000036_000000	Certainly, he said, there would be nothing wonderful in that.	Certainly, he said, there would be nothing wonderful in that.	true	516.74	520.78	19.866495
3330_170956_000037_000000	And yet rich men probably have a greater superiority in the science and practise of boxing than they have in military qualities.	And yet rich men probably have a greater superiority in the science and practise of boxing than they have in military qualities.	true	521.75	530.71	20
3330_170956_000038_000000	Likely enough.	Likely enough.	true	531.08	532.51	20.680996
3330_170956_000039_000000	Then we may assume that our athletes will be able to fight with two or three times their own number?	Then we may assume that our athletes will be able to fight with two or three times their own number?	true	532.94	539.23	18
3330_170956_000040_000000	I agree with you, for I think you right.	I agree with you, for I think you right.	false	539.72	542.71	20.060051
3330_170956_000041_000000	And suppose that, before engaging, our citizens send an embassy to one of the two cities, telling them what is the truth: Silver and gold we neither have nor are permitted to have, but you may; do you therefore come and help us in war, and take the spoils of the other city: Who, on hearing these words, would choose to fight against lean wiry dogs, rather than, with the dogs on their side, against fat and tender sheep?	And suppose that, before engaging, our citizens send an embassy to one of the two cities, telling them what is the truth: Silver and gold we neither have nor are permitted to have, but you may; do you therefore come and help us in war, and take the spoils of the other city: Who, on hearing these words, would choose to fight against lean wiry dogs, rather than, with the dogs on their side, against fat and tender sheep?	false	543.26	572.26	19.915892
3330_170956_000042_000000	That is not likely; and yet there might be a danger to the poor State if the wealth of many States were to be gathered into one.	That is not likely; and yet there might be a danger to the poor State if the wealth of many States were to be gathered into one.	true	572.63	580.72	21.375463
3330_170956_000043_000000	But how simple of you to use the term State at all of any but our own!	But how simple of you to use the term State at all of any but our own!	true	581.36	585.88	19.663704
3330_170956_000044_000000	Why so?	Why so?	true	586.28	587.32	20.480673
3330_170956_000045_000000	You ought to speak of other States in the plural number; not one of them is a city, but many cities, as they say in the game.	You ought to speak of other States in the plural number; not one of them is a city, but many cities, as they say in the game.	true	587.96	596.53	20.40236
3330_170956_000045_000001	For indeed any city, however small, is in fact divided into two, one the city of the poor, the other of the rich; these are at war with one another; and in either there are many smaller divisions, and you would be altogether beside the mark if you treated them all as a single State.	For indeed any city, however small, is in fact divided into two, one the city of the poor, the other of the rich; these are at war with one another; and in either there are many smaller divisions, and you would be altogether beside the mark if you treated them all as a single State.	true	597.02	617.05	19.630075
3330_170956_000045_000002	But if you deal with them as many, and give the wealth or power or persons of the one to the others, you will always have a great many friends and not many enemies.	But if you deal with them as many, and give the wealth or power or persons of the one to the others, you will always have a great many friends and not many enemies.	true	617.42	629.08	19.725533
3330_170956_000045_000003	And your State, while the wise order which has now been prescribed continues to prevail in her, will be the greatest of States, I do not mean to say in reputation or appearance, but in deed and truth, though she number not more than a thousand defenders.	And your State, while the wise order which has now been prescribed continues to prevail in her, will be the greatest of States, I do not mean to say in reputation or appearance, but in deed and truth, though she number not more than a thousand defenders.	false	629.39	646.84	20.110744
3330_170956_000045_000004	A single State which is her equal you will hardly find, either among Hellenes or barbarians, though many that appear to be as great and many times greater.	A single State which is her equal you will hardly find, either among Hellenes or barbarians, though many that appear to be as great and many times greater.	false	647.12	657.82	20.205805
3330_170956_000046_000000	That is most true, he said.	That is most true, he said.	true	658.67	660.61	21.141174
3330_170956_000047_000000	And what, I said, will be the best limit for our rulers to fix when they are considering the size of the State and the amount of territory which they are to include, and beyond which they will not go?	And what, I said, will be the best limit for our rulers to fix when they are considering the size of the State and the amount of territory which they are to include, and beyond which they will not go?	true	661.16	673.36	20.557724
3330_170956_000048_000000	What limit would you propose?	What limit would you propose?	true	674.09	675.97	19.58438
3330_170956_000049_000000	I would allow the State to increase so far as is consistent with unity; that, I think, is the proper limit.	I would allow the State to increase so far as is consistent with unity; that, I think, is the proper limit.	true	676.7	684.85	21.287022
3330_170956_000050_000000	Very good, he said.	Very good, he said.	true	685.16	686.83	20.36264
3330_170956_000051_000000	Here then, I said, is another order which will have to be conveyed to our guardians: Let our city be accounted neither large nor small, but one and self-sufficing.	Here then, I said, is another order which will have to be conveyed to our guardians: Let our city be accounted neither large nor small, but one and self sufficing.	true	687.32	698.86	20.045813
3330_170956_000052_000000	And surely, said he, this is not a very severe order which we impose upon them.	And surely, said he, this is not a very severe order which we impose upon them.	false	699.77	704.56	19.611706
3330_170956_000053_000000	And the other, said I, of which we were speaking before is lighter still,--I mean the duty of degrading the offspring of the guardians when inferior, and of elevating into the rank of guardians the offspring of the lower classes, when naturally superior.	And the other, said I, of which we were speaking before is lighter still,--I mean the duty of degrading the offspring of the guardians when inferior, and of elevating into the rank of guardians the offspring of the lower classes, when naturally superior.	false	705.38	722.62	20.666597
3330_170956_000053_000001	The intention was, that, in the case of the citizens generally, each individual should be put to the use for which nature intended him, one to one work, and then every man would do his own business, and be one and not many; and so the whole city would be one and not many.	The intention was, that, in the case of the citizens generally, each individual should be put to the use for which nature intended him, one to one work, and then every man would do his own business, and be one and not many; and so the whole city would be one and not many.	true	723.14	743.02	19.549383
3330_170956_000054_000000	Yes, he said; that is not so difficult.	Yes, he said; that is not so difficult.	true	743.75	747.4	20.225212
3330_170956_000055_000000	The regulations which we are prescribing, my good Adeimantus, are not, as might be supposed, a number of great principles, but trifles all, if care be taken, as the saying is, of the one great thing,--a thing, however, which I would rather call, not great, but sufficient for our purpose.	The regulations which we are prescribing, my good Adeimantus, are not, as might be supposed, a number of great principles, but trifles all, if care be taken, as the saying is, of the one great thing,--a thing, however, which I would rather call, not great, but sufficient for our purpose.	true	747.95	768.16	19.89764
3330_170956_000056_000000	What may that be?	What may that be?	true	769.25	770.46	21.476023
3330_170956_000056_000001	he asked.	he asked.	true	770.46	771.49	21.398064
3330_170956_000057_000000	Education, I said, and nurture: If our citizens are well educated, and grow into sensible men, they will easily see their way through all these, as well as other matters which I omit; such, for example, as marriage, the possession of women and the procreation of children, which will all follow the general principle that friends have all things in common, as the proverb says.	Education, I said, and nurture: If our citizens are well educated, and grow into sensible men, they will easily see their way through all these, as well as other matters which I omit; such, for example, as marriage, the possession of women and the procreation of children, which will all follow the general principle that friends have all things in common, as the proverb says.	true	771.83	797.98	18.993246
3330_170956_000058_000000	That will be the best way of settling them.	That will be the best way of settling them.	true	798.32	800.83	19.894457
3330_170956_000059_000000	Also, I said, the State, if once started well, moves with accumulating force like a wheel.	Also, I said, the State, if once started well, moves with accumulating force like a wheel.	true	801.29	808.96	20.05401
3330_170956_000059_000001	For good nurture and education implant good constitutions, and these good constitutions taking root in a good education improve more and more, and this improvement affects the breed in man as in other animals.	For good nurture and education implant good constitutions, and these good constitutions taking root in a good education improve more and more, and this improvement affects the breed in man as in other animals.	true	809.33	824.62	19.793179
3330_170956_000060_000000	Very possibly, he said.	Very possibly, he said.	true	824.93	827.05	20.4336
3330_170956_000061_000000	Then to sum up: This is the point to which, above all, the attention of our rulers should be directed,--that music and gymnastic be preserved in their original form, and no innovation made.	Then to sum up: This is the point to which, above all, the attention of our rulers should be directed,--that music and gymnastic be preserved in their original form, and no innovation made.	true	827.33	840.55	19.806911
3330_170956_000061_000001	They must do their utmost to maintain them intact.	They must do their utmost to maintain them intact.	true	840.62	843.94	18.30929
3330_170956_000061_000002	And when any one says that mankind most regard	And when any one says that mankind most regard	true	844.13	848.355	18
3330_170956_000062_000000	'The newest song which the singers have,'	'The newest song which the singers have,'	true	848.355	850.995	16
3330_170956_000063_000000	they will be afraid that he may be praising, not new songs, but a new kind of song; and this ought not to be praised, or conceived to be the meaning of the poet; for any musical innovation is full of danger to the whole State, and ought to be prohibited.	they will be afraid that he may be praising, not new songs, but a new kind of song; and this ought not to be praised, or conceived to be the meaning of the poet; for any musical innovation is full of danger to the whole State, and ought to be prohibited.	true	850.995	867.91	20.388369
3330_170956_000063_000001	So Damon tells me, and I can quite believe him;--he says that when modes of music change, the fundamental laws of the State always change with them.	So Damon tells me, and I can quite believe him;--he says that when modes of music change, the fundamental laws of the State always change with them.	true	868.28	878.11	20.562582
3330_170956_000064_000000	Yes, said Adeimantus; and you may add my suffrage to Damon's and your own.	Yes, said Adeimantus; and you may add my suffrage to Damon's and your own.	true	878.51	884.17	18.8149
3330_170956_000065_000000	Then, I said, our guardians must lay the foundations of their fortress in music?	Then, I said, our guardians must lay the foundations of their fortress in music?	true	884.6	890.71	18.787868
3330_170956_000066_000000	Yes, he said; the lawlessness of which you speak too easily steals in.	Yes, he said; the lawlessness of which you speak too easily steals in.	true	891.47	896.41	20.617767
3330_170956_000067_000000	Yes, I replied, in the form of amusement; and at first sight it appears harmless.	Yes, I replied, in the form of amusement; and at first sight it appears harmless.	true	896.93	903.25	20.575136
3330_170956_000068_000000	Why, yes, he said, and there is no harm; were it not that little by little this spirit of licence, finding a home, imperceptibly penetrates into manners and customs; whence, issuing with greater force, it invades contracts between man and man, and from contracts goes on to laws and constitutions, in utter recklessness, ending at last, Socrates, by an overthrow of all rights, private as well as public.	Why, yes, he said, and there is no harm; were it not that little by little this spirit of licence, finding a home, imperceptibly penetrates into manners and customs; whence, issuing with greater force, it invades contracts between man and man, and from contracts goes on to laws and constitutions, in utter recklessness, ending at last, Socrates, by an overthrow of all rights, private as well as public.	false	903.44	932.11	19.795296
3330_170956_000069_000000	Is that true?	Is that true?	true	932.45	933.75	22.418886
3330_170956_000069_000001	I said.	I said.	true	933.75	934.63	20.62499
3330_170956_000070_000000	That is my belief, he replied.	That is my belief, he replied.	true	935.15	937.66	20.026442
3330_170956_000071_000000	Then, as I was saying, our youth should be trained from the first in a stricter system, for if amusements become lawless, and the youths themselves become lawless, they can never grow up into well-conducted and virtuous citizens.	Then, as I was saying, our youth should be trained from the first in a stricter system, for if amusements become lawless, and the youths themselves become lawless, they can never grow up into well conducted and virtuous citizens.	true	938.33	953.71	19.930613
3330_170956_000072_000000	Very true, he said.	Very true, he said.	true	953.84	955.84	22.291294
3330_170956_000073_000000	And when they have made a good beginning in play, and by the help of music have gained the habit of good order, then this habit of order, in a manner how unlike the lawless play of the others! will accompany them in all their actions and be a principle of growth to them, and if there be any fallen places in the State will raise them up again.	And when they have made a good beginning in play, and by the help of music have gained the habit of good order, then this habit of order, in a manner how unlike the lawless play of the others! will accompany them in all their actions and be a principle of growth to them, and if there be any fallen places in the State will raise them up again.	true	956.18	976.57	20.338585
3330_170956_000074_000000	Very true, he said.	Very true, he said.	true	977.03	978.49	21.359022
3330_170956_000075_000000	Thus educated, they will invent for themselves any lesser rules which their predecessors have altogether neglected.	Thus educated, they will invent for themselves any lesser rules which their predecessors have altogether neglected.	true	978.83	986.05	19.171381
3330_170956_000076_000000	What do you mean?	What do you mean?	true	986.42	987.64	20.85183
3330_170956_000077_000000	I mean such things as these:--when the young are to be silent before their elders; how they are to show respect to them by standing and making them sit; what honour is due to parents; what garments or shoes are to be worn; the mode of dressing the hair; deportment and manners in general.	I mean such things as these:--when the young are to be silent before their elders; how they are to show respect to them by standing and making them sit; what honour is due to parents; what garments or shoes are to be worn; the mode of dressing the hair; deportment and manners in general.	true	988.16	1006.3	19.893595
3330_170956_000077_000001	You would agree with me?	You would agree with me?	true	1006.61	1007.98	19.76299
3330_170956_000078_000000	Yes.	Yes.	true	1008.23	1009.03	20.804882
3330_170956_000079_000000	But there is, I think, small wisdom in legislating about such matters,--I doubt if it is ever done; nor are any precise written enactments about them likely to be lasting.	But there is, I think, small wisdom in legislating about such matters,--I doubt if it is ever done; nor are any precise written enactments about them likely to be lasting.	true	1009.67	1020.73	19.775171
3330_170956_000080_000000	Impossible.	Impossible.	true	1021.04	1022.2	19.763655
3330_170956_000081_000000	It would seem, Adeimantus, that the direction in which education starts a man, will determine his future life.	It would seem, Adeimantus, that the direction in which education starts a man, will determine his future life.	false	1022.36	1029.97	18.906385
3330_170956_000081_000001	Does not like always attract like?	Does not like always attract like?	true	1029.97	1032.61	20.85143
3330_170956_000082_000000	To be sure.	To be sure.	true	1033.01	1034.2	20.178343
3330_170956_000083_000000	Until some one rare and grand result is reached which may be good, and may be the reverse of good?	Until some one rare and grand result is reached which may be good, and may be the reverse of good?	true	1034.66	1041.37	19.083889
3330_170956_000084_000000	That is not to be denied.	That is not to be denied.	true	1041.77	1043.74	21.506586
3330_170956_000085_000000	And for this reason, I said, I shall not attempt to legislate further about them.	And for this reason, I said, I shall not attempt to legislate further about them.	true	1043.9	1048.87	20.188158
3330_170956_000086_000000	Naturally enough, he replied.	Naturally enough, he replied.	true	1048.94	1051.38	19.337637
3330_170956_000087_000000	Well, and about the business of the agora, and the ordinary dealings between man and man, or again about agreements with artisans; about insult and injury, or the commencement of actions, and the appointment of juries, what would you say?	Well, and about the business of the agora, and the ordinary dealings between man and man, or again about agreements with artisans; about insult and injury, or the commencement of actions, and the appointment of juries, what would you say?	false	1051.38	1055.76	20.627584
3330_170956_000087_000001	there may also arise questions about any impositions and exactions of market and harbour dues which may be required, and in general about the regulations of markets, police, harbours, and the like.	there may also arise questions about any impositions and exactions of market and harbour dues which may be required, and in general about the regulations of markets, police, harbours, and the like.	false	1055.76	1058.43	21.311003
3330_170956_000087_000002	But, oh heavens! shall we condescend to legislate on any of these particulars?	But, oh heavens! shall we condescend to legislate on any of these particulars?	false	1058.43	1066.53	14.723805
