7139_88748_000001_000000	CHAPTER VII	CHAPTER seven
7139_88748_000017_000000	"Oh! no, Master Sheriff; they took me before Robin Hood, and he asked me what I was doing there, and whether I was not afraid to cross his forest, and I up and told him plainly that I wasn't. Then he said how was that when I must have heard what a terrible robber he was."	"Oh! no, Master Sheriff; they took me before Robin Hood, and he asked me what I was doing there, and whether I was not afraid to cross his forest, and I up and told him plainly that I wasn't. Then he said how was that when I must have heard what a terrible robber he was."
7139_88748_000018_000000	"Yes, yes," cried the Sheriff, "and what did you say."	"Yes, yes," cried the Sheriff, "and what did you say."
7139_88748_000019_000001	Then he laughed, and all his people laughed too, and he said I was a merry fellow.	Then he laughed, and all his people laughed too, and he said I was a merry fellow.
7139_88748_000019_000002	'Give him plenty to eat and drink,' he said, 'for two or three days, and then send him on his way.' Yes, Master Sheriff, that he did, and a fine jolly time I had.	'Give him plenty to eat and drink,' he said, 'for two or three days, and then send him on his way.' Yes, Master Sheriff, that he did, and a fine jolly time I had.
7139_88748_000019_000003	Why, I almost felt as if I should like to stay altogether."	Why, I almost felt as if I should like to stay altogether."
7139_88748_000022_000000	"Speak out," he said; "you did not come to tell me only that.	"Speak out," he said; "you did not come to tell me only that.
7139_88748_000022_000001	What is it you are keeping back?	What is it you are keeping back?
7139_88748_000022_000002	Why don't you speak?"	Why don't you speak?"
7139_88748_000023_000000	"Because, master," said the man softly, "I was afraid you couldn't bear it, for I was a father once and my son died, and though you never knew me, I knew you, and was sorry when the news came that your little boy was killed.	"Because, master," said the man softly, "I was afraid you couldn't bear it, for I was a father once and my son died, and though you never knew me, I knew you, and was sorry when the news came that your little boy was killed.
7139_88748_000023_000001	Can you bear to hear good news as well as bad?"	Can you bear to hear good news as well as bad?"
7139_88748_000024_000000	The Sheriff was silent for a few minutes, during which he closed his eyes and his lips moved, and he looked so strange that Robin's aunt crossed the room to where he sat, and took hold of his hand, as she whispered loving words.	The Sheriff was silent for a few minutes, during which he closed his eyes and his lips moved, and he looked so strange that Robin's aunt crossed the room to where he sat, and took hold of his hand, as she whispered loving words.
7139_88748_000026_000000	"But you will not be angry with me if I am wrong, Master Sheriff?"	"But you will not be angry with me if I am wrong, Master Sheriff?"
7139_88748_000029_000000	"That made me think all the more, and one day I managed to follow him but among the trees to where I found him feeding one of the wild deer, which followed him about like a dog."	"That made me think all the more, and one day I managed to follow him but among the trees to where I found him feeding one of the wild deer, which followed him about like a dog."
7139_88748_000030_000000	"I waited a bit, and then stepped out to him, and what do you think he did?	"I waited a bit, and then stepped out to him, and what do you think he did?
7139_88748_000030_000001	He strung his bow, fitted an arrow to it before I knew where I was, and drew it to the head as if he was going to shoot me.	He strung his bow, fitted an arrow to it before I knew where I was, and drew it to the head as if he was going to shoot me.
7139_88748_000030_000003	'Yes,' he said, 'of course.	'Yes,' he said, 'of course.
7139_88748_000030_000005	'Then you go to my father,' he cried, 'and tell him to tell aunt that I'm quite well, and that some day I'm coming home."	'Then you go to my father,' he cried, 'and tell him to tell aunt that I'm quite well, and that some day I'm coming home."
7139_88748_000031_000000	The man stopped, for just then the Sheriff closed his eyes again and said something very softly, which Robin's aunt heard, and she sank upon her knees and covered her face with her hands.	The man stopped, for just then the Sheriff closed his eyes again and said something very softly, which Robin's aunt heard, and she sank upon her knees and covered her face with her hands.
7139_88748_000032_000000	Then the Sheriff sprang to his feet, looking quite a different man.	Then the Sheriff sprang to his feet, looking quite a different man.
7139_88748_000033_000001	"Could you find your way back to the outlaws' camp in the forest?"	"Could you find your way back to the outlaws' camp in the forest?"
7139_88748_000034_000000	"Oh! yes, Master Sheriff, that I could, though they did bind a cloth over my face when they brought me away."	"Oh! yes, Master Sheriff, that I could, though they did bind a cloth over my face when they brought me away."
7139_88748_000036_000000	"I could, Master Sheriff," said the man, beginning slowly to lay the gold pieces back one by one upon the table; "but I can't do evil for good."	"I could, Master Sheriff," said the man, beginning slowly to lay the gold pieces back one by one upon the table; "but I can't do evil for good."
7139_88748_000037_000000	"What?" cried the Sheriff angrily.	"What?" cried the Sheriff angrily.
7139_88748_000038_000000	"May be, Master Sheriff," said the man drily; "but I'm not going to fly at the throat of one who did nothing but good to me.	"May be, Master Sheriff," said the man drily; "but I'm not going to fly at the throat of one who did nothing but good to me.
7139_88748_000038_000001	They tell me that Robin Hood's a noble earl who offended the King, and had to fly for his life.	They tell me that Robin Hood's a noble earl who offended the King, and had to fly for his life.
7139_88748_000038_000002	What I say is, he's a noble kind-hearted gentleman, and if it was my boy he had there, looking as happy as the day is long, I'd go to him without any fighting men."	What I say is, he's a noble kind hearted gentleman, and if it was my boy he had there, looking as happy as the day is long, I'd go to him without any fighting men."
7139_88748_000040_000000	"Just like a father should, master, and ask him for my boy like a man."	"Just like a father should, master, and ask him for my boy like a man."
7139_88748_000041_000000	"That will do," said the Sheriff.	"That will do," said the Sheriff.
7139_88748_000041_000001	"You can go."	"You can go."
7139_88748_000042_000000	The man turned to leave the room, when the Sheriff said sharply:	The man turned to leave the room, when the Sheriff said sharply:
7139_88748_000043_000000	"Stop!	"Stop!
7139_88748_000044_000000	"Yes, I can't take pay to lead anyone to fight against Robin Hood and his men."	"Yes, I can't take pay to lead anyone to fight against Robin Hood and his men."
7139_88748_000045_000000	"Those pieces were for the news you brought me," said the Sheriff. "Yes, take them, for you have behaved like an honest man."	"Those pieces were for the news you brought me," said the Sheriff. "Yes, take them, for you have behaved like an honest man."
7139_88748_000047_000000	So he gathered a strong body of crossbow-men, and others with spears and swords, besides asking for the help of two gallant knights who came with their esquires mounted and in armour with their men.	So he gathered a strong body of crossbow men, and others with spears and swords, besides asking for the help of two gallant knights who came with their esquires mounted and in armour with their men.
7139_88748_000049_000000	In another month the Sheriff advanced again with a stronger force, but they were driven back more easily than the first, and the Sheriff was in despair.	In another month the Sheriff advanced again with a stronger force, but they were driven back more easily than the first, and the Sheriff was in despair.
7139_88748_000050_000000	But a couple of days later he had the man to whom he had given the gold pieces found, and sent him to the outlaws' camp with a letter written upon parchment, in which he ordered Robin Hood, in the King's name, to give up the little prisoner he held there contrary to the law and against his own will.	But a couple of days later he had the man to whom he had given the gold pieces found, and sent him to the outlaws' camp with a letter written upon parchment, in which he ordered Robin Hood, in the King's name, to give up the little prisoner he held there contrary to the law and against his own will.
7139_88748_000051_000000	It was many weary anxious days before the messenger came back, but without the little prisoner.	It was many weary anxious days before the messenger came back, but without the little prisoner.
7139_88748_000053_000000	"He said, master, that if you wanted the boy you must go and fetch him."	"He said, master, that if you wanted the boy you must go and fetch him."
7139_88748_000056_000000	"Where I ought to have gone at first," he said humbly; "into the forest to fetch my boy."	"Where I ought to have gone at first," he said humbly; "into the forest to fetch my boy."
7139_88748_000057_000000	"But you could never find your way," she said, sobbing.	"But you could never find your way," she said, sobbing.
