5655_46268_000001_000000	CHAPTER IV.	CHAPTER four.
5655_46268_000038_000002	His speech is something shocking; nothing but the slang of the streets, and so ungrammatical that I could scarcely understand him at times.	His speech is something shocking; nothing but the slang of the streets, and so ungrammatical that I could scarcely understand him at times.
5655_46268_000039_000000	"But he is so little, mother, and so sick and pitiful looking," pleaded Miss Allison.	"But he is so little, mother, and so sick and pitiful looking," pleaded Miss Allison.
5655_46268_000039_000001	"Surely he cannot know so very much badness or hurt the boys if they go down to cheer him up for a little while."	"Surely he cannot know so very much badness or hurt the boys if they go down to cheer him up for a little while."
5655_46268_000040_000000	Notwithstanding Mrs. Maclntyre's fears, she consented to the boys visiting Jonesy that afternoon.	Notwithstanding mrs Maclntyre's fears, she consented to the boys visiting Jonesy that afternoon.
5655_46268_000041_000000	They took the bear with them, which Jonesy welcomed like a lost friend. They spent an interesting hour among the professor's collections, listening to his explanations in his funny broken English.	They took the bear with them, which Jonesy welcomed like a lost friend. They spent an interesting hour among the professor's collections, listening to his explanations in his funny broken English.
5655_46268_000041_000001	Then they explored his cottage, much amused by his queer housekeeping, cracked nuts on the hearth, and roasted apples on a string in front of the fire.	Then they explored his cottage, much amused by his queer housekeeping, cracked nuts on the hearth, and roasted apples on a string in front of the fire.
5655_46268_000042_000001	Presently the old man left the room and Keith sat down on the side of the bed.	Presently the old man left the room and Keith sat down on the side of the bed.
5655_46268_000043_000000	"What makes you so still, Jonesy?" he asked.	"What makes you so still, Jonesy?" he asked.
5655_46268_000043_000001	"You haven't said a word for the last half hour."	"You haven't said a word for the last half hour."
5655_46268_000044_000000	"I was thinking about Barney," he answered, keeping his face turned away.	"I was thinking about Barney," he answered, keeping his face turned away.
5655_46268_000044_000001	"Barney is my brother, you know."	"Barney is my brother, you know."
5655_46268_000045_000000	"Yes, so grandmother said," answered Keith.	"Yes, so grandmother said," answered Keith.
5655_46268_000045_000001	"How big is he?"	"How big is he?"
5655_46268_000048_000001	I could ride back on the cars and take a whole trunk full of nice things to Barney,--clothes, and candy, and a swell watch and chain, and a bustin' beauty of a bike.	I could ride back on the cars and take a whole trunk full of nice things to Barney,--clothes, and candy, and a swell watch and chain, and a bustin' beauty of a bike.
5655_46268_000048_000002	Now the bear's sold and the boss has run away, and I don't know how I can get back to Barney.	Now the bear's sold and the boss has run away, and I don't know how I can get back to Barney.
5655_46268_000049_000000	The little fellow's lip quivered, and he put up one bandaged hand to wipe away the hot tears that would keep coming, in spite of his efforts not to make a baby of himself.	The little fellow's lip quivered, and he put up one bandaged hand to wipe away the hot tears that would keep coming, in spite of his efforts not to make a baby of himself.
5655_46268_000049_000001	There was something so pitiful in the gesture that Keith looked across at Malcolm and then patted the bedclothes with an affectionate little hand.	There was something so pitiful in the gesture that Keith looked across at Malcolm and then patted the bedclothes with an affectionate little hand.
5655_46268_000052_000000	He was crying violently now.	He was crying violently now.
5655_46268_000053_000000	"Who is going to put you in an asylum?" asked Malcolm, lifting an end of the pillow under which Jonesy's head had burrowed, to hide the grief that his eight-year-old manhood made him too proud to show.	"Who is going to put you in an asylum?" asked Malcolm, lifting an end of the pillow under which Jonesy's head had burrowed, to hide the grief that his eight year old manhood made him too proud to show.
5655_46268_000054_000002	But I've got somebody!" he cried.	But I've got somebody!" he cried.
5655_46268_000054_000003	"I've got Barney!	"I've got Barney!
5655_46268_000056_000001	"I don't want nothing but him."	"I don't want nothing but him."
5655_46268_000057_000000	"Well, we'll see what we can do," said Malcolm, as he heard the professor coming back.	"Well, we'll see what we can do," said Malcolm, as he heard the professor coming back.
5655_46268_000057_000001	"If we could only keep you here until spring, I am sure that papa would send you back all right.	"If we could only keep you here until spring, I am sure that papa would send you back all right.
5655_46268_000057_000002	He's always helping people that get into trouble."	He's always helping people that get into trouble."
5655_46268_000058_000000	Jonesy took his little snub nose out of the pillow as the professor came in, and looked around defiantly as if ready to fight the first one who dared to hint that he had been crying.	Jonesy took his little snub nose out of the pillow as the professor came in, and looked around defiantly as if ready to fight the first one who dared to hint that he had been crying.
5655_46268_000058_000001	The boys took their leave soon after, leading the bear back to his new quarters in the carriage house, where they had made him a comfortable den.	The boys took their leave soon after, leading the bear back to his new quarters in the carriage house, where they had made him a comfortable den.
5655_46268_000058_000002	Then they walked slowly up to the house, their arms thrown across each other's shoulders.	Then they walked slowly up to the house, their arms thrown across each other's shoulders.
5655_46268_000059_000001	"S'pose that you and I were left of all the family, and didn't have any friends in the world, and I was to get separated from you and couldn't get back?"	"S'pose that you and I were left of all the family, and didn't have any friends in the world, and I was to get separated from you and couldn't get back?"
5655_46268_000061_000000	"Don't you s'pose Jonesy feels as badly about it as we would?" asked Keith.	"Don't you s'pose Jonesy feels as badly about it as we would?" asked Keith.
5655_46268_000062_000000	"Shouldn't be surprised," said Malcolm, beginning to whistle.	"Shouldn't be surprised," said Malcolm, beginning to whistle.
5655_46268_000062_000001	Keith joined in, and keeping step to the tune, like two soldiers, they marched on into the house.	Keith joined in, and keeping step to the tune, like two soldiers, they marched on into the house.
5655_46268_000063_000000	Virginia found them in the library, a little while later, sitting on the hearth-rug, tailor-fashion.	Virginia found them in the library, a little while later, sitting on the hearth rug, tailor fashion.
5655_46268_000063_000001	They were still talking about Jonesy.	They were still talking about Jonesy.
5655_46268_000063_000002	They could think of nothing else but the loneliness of the little waif, and his pitiful appeal: "Oh, don't let them shut me up where I can't never get back to Barney."	They could think of nothing else but the loneliness of the little waif, and his pitiful appeal: "Oh, don't let them shut me up where I can't never get back to Barney."
5655_46268_000064_000000	"Why don't you write to your father?" asked Virginia, when they had told her the story of their visit.	"Why don't you write to your father?" asked Virginia, when they had told her the story of their visit.
5655_46268_000065_000001	But if he could see Jonesy,--how pitiful looking he is, and hear him crying to go back to his brother, I know he'd feel the way we do about it."	But if he could see Jonesy,--how pitiful looking he is, and hear him crying to go back to his brother, I know he'd feel the way we do about it."
5655_46268_000066_000000	"I called the professor out in the hall, and told him so," said Keith, "and asked him if he couldn't adopt Jonesy, or something, until papa comes home.	"I called the professor out in the hall, and told him so," said Keith, "and asked him if he couldn't adopt Jonesy, or something, until papa comes home.
5655_46268_000066_000001	But he said that he is too poor.	But he said that he is too poor.
5655_46268_000066_000002	He has only a few dollars a month to live on.	He has only a few dollars a month to live on.
5655_46268_000067_000000	"Then he would keep him till Uncle Sydney comes, if somebody would pay his board?" asked Virginia.	"Then he would keep him till Uncle Sydney comes, if somebody would pay his board?" asked Virginia.
5655_46268_000068_000000	"Yes," said Malcolm, "but that doesn't help matters much, for we children are the only ones who want him to stay, and our monthly allowances, all put together, wouldn't be enough."	"Yes," said Malcolm, "but that doesn't help matters much, for we children are the only ones who want him to stay, and our monthly allowances, all put together, wouldn't be enough."
5655_46268_000070_000000	"How?" demanded Malcolm.	"How?" demanded Malcolm.
5655_46268_000070_000002	You can't pick fruit in the dead of winter, can you? or pull weeds, or rake leaves? What other way is there?"	You can't pick fruit in the dead of winter, can you? or pull weeds, or rake leaves? What other way is there?"
5655_46268_000072_000000	"Now you've made me think of it," cried Virginia, excitedly.	"Now you've made me think of it," cried Virginia, excitedly.
5655_46268_000072_000001	"I've thought of a good way.	"I've thought of a good way.
5655_46268_000072_000002	We'll give Jonesy a benefit, like great singers have.	We'll give Jonesy a benefit, like great singers have.
5655_46268_000072_000004	I love to arrange tableaux.	I love to arrange tableaux.
5655_46268_000072_000005	We were always having them out at the fort."	We were always having them out at the fort."
5655_46268_000073_000000	"I bid to show off the bear," cried Malcolm, entering into Virginia's plan at once.	"I bid to show off the bear," cried Malcolm, entering into Virginia's plan at once.
5655_46268_000073_000001	"May be I'll learn something to recite, too."	"May be I'll learn something to recite, too."
5655_46268_000074_000000	"I'll help print the tickets," said Keith, "and go around selling them, and be in anything you want me to be.	"I'll help print the tickets," said Keith, "and go around selling them, and be in anything you want me to be.
5655_46268_000074_000001	How many tableaux are you going to have, Ginger?"	How many tableaux are you going to have, Ginger?"
5655_46268_000075_000000	"I can't tell yet," she answered, but a moment after she cried out, her eyes shining with pleasure, "Oh, I've thought of a lovely one.	"I can't tell yet," she answered, but a moment after she cried out, her eyes shining with pleasure, "Oh, I've thought of a lovely one.
5655_46268_000075_000001	We can have the Little Colonel and the bear for 'Beauty and the Beast.'"	We can have the Little Colonel and the bear for 'Beauty and the Beast.'"
5655_46268_000076_000000	Malcolm promptly turned a somersault on the rug, to express his approval, but came up with a grave face, saying, "I'll bet that grandmother will say we can't have it."	Malcolm promptly turned a somersault on the rug, to express his approval, but came up with a grave face, saying, "I'll bet that grandmother will say we can't have it."
5655_46268_000077_000000	"Let's get Aunt Allison on our side," suggested Virginia.	"Let's get Aunt Allison on our side," suggested Virginia.
5655_46268_000078_000001	This was the first time that she had touched her brushes since the children's coming, and she had hoped that this one afternoon would be free from interruption, when she heard them planning their afternoon's occupations at the lunch-table.	This was the first time that she had touched her brushes since the children's coming, and she had hoped that this one afternoon would be free from interruption, when she heard them planning their afternoon's occupations at the lunch table.
5655_46268_000078_000002	They had come back before the little water-colour sketch she was making was quite finished.	They had come back before the little water colour sketch she was making was quite finished.
5655_46268_000079_000000	There was no disappointment, however, in the bright face she turned toward them, and Virginia lost no time in beginning her story.	There was no disappointment, however, in the bright face she turned toward them, and Virginia lost no time in beginning her story.
5655_46268_000079_000001	She had been elected to tell it, but before it was done all three had had a part in the telling, and all three were waiting with wistful eyes for her answer.	She had been elected to tell it, but before it was done all three had had a part in the telling, and all three were waiting with wistful eyes for her answer.
5655_46268_000080_000000	"Well, what is it you want me to do?" she asked, finally.	"Well, what is it you want me to do?" she asked, finally.
5655_46268_000082_000000	Aunt Allison answered Malcolm's last remark a little sternly.	Aunt Allison answered Malcolm's last remark a little sternly.
5655_46268_000082_000002	"There is nobody in the valley so generous and kind to the poor as your grandmother." "Yes'm," said Virginia, meekly, "but you'll ask her, won't you please, auntie?"	"There is nobody in the valley so generous and kind to the poor as your grandmother." "Yes'm," said Virginia, meekly, "but you'll ask her, won't you please, auntie?"
5655_46268_000083_000000	Miss Allison smiled at her persistence.	Miss Allison smiled at her persistence.
5655_46268_000083_000001	"Wait until I finish this," she said.	"Wait until I finish this," she said.
5655_46268_000083_000002	"Then I'll go down-stairs and put the matter before her, and report to you at dinner-time.	"Then I'll go down stairs and put the matter before her, and report to you at dinner time.
5655_46268_000083_000003	Now are you satisfied?"	Now are you satisfied?"
5655_46268_000084_000000	"Yes," they cried in chorus, "you're on our side.	"Yes," they cried in chorus, "you're on our side.
5655_46268_000084_000001	It's all right now!" With a series of hearty hugs that left her almost breathless, they hurried away.	It's all right now!" With a series of hearty hugs that left her almost breathless, they hurried away.
5655_46268_000085_000000	When Miss Allison kept her promise she did not go to her mother with the children's story of Jonesy, to move her to pity.	When Miss Allison kept her promise she did not go to her mother with the children's story of Jonesy, to move her to pity.
5655_46268_000086_000000	"'Not what we give, but what we share, For the gift without the giver is bare.'	"'Not what we give, but what we share, For the gift without the giver is bare.'
5655_46268_000087_000000	"This would be a real sharing of themselves, all their time and best energies, for they will have to work hard to get up such an entertainment as this.	"This would be a real sharing of themselves, all their time and best energies, for they will have to work hard to get up such an entertainment as this.
5655_46268_000087_000001	It isn't for Jonesy's sake I ask it, but for the children's own good."	It isn't for Jonesy's sake I ask it, but for the children's own good."
5655_46268_000088_000001	I do want to keep them unspotted from a knowledge of the world's evils, but I do not want to make them selfish. If this little beggar at the gate can teach them where to find the Holy Grail, through unselfish service to him, I do not want to stand in the way.	I do want to keep them unspotted from a knowledge of the world's evils, but I do not want to make them selfish. If this little beggar at the gate can teach them where to find the Holy Grail, through unselfish service to him, I do not want to stand in the way.
