5190_87766_000000_000000	THE BOOK OF LIFE ***	THE BOOK OF LIFE asterisk asterisk asterisk	false	2.16	3.48	23.205286
5190_87766_000016_000004	It will attempt to tell you how to live, how to find health and happiness and success, how to work and how to play, how to eat and how to sleep, how to love and to marry and to care for your children, how to deal with your fellow men in business and politics and social life, how to act and how to think, what religion to believe, what art to enjoy, what books to read.	It will attempt to tell you how to live, how to find health and happiness and success, how to work and how to play, how to eat and how to sleep, how to love and to marry and to care for your children, how to deal with your fellow men in business and politics and social life, how to act and how to think, what religion to believe, what art to enjoy, what books to read.	false	208.07	234.7	21.318394
5190_87766_000016_000005	A large order, as the boys phrase it!	A large order, as the boys phrase it!	true	235.1	237.91	22.28784
5190_87766_000017_000000	There are several ways for such a book to begin.	There are several ways for such a book to begin.	true	239.48	241.9	21.470505
5190_87766_000017_000001	It might begin with the child, because we all begin that way; it might begin with love, because that precedes the child; it might begin with the care of the body, explaining that sound physical health is the basis of all right living, and even of right thinking; it might begin as most philosophies do, by defining life, discussing its origin and fundamental nature.	It might begin with the child, because we all begin that way; it might begin with love, because that precedes the child; it might begin with the care of the body, explaining that sound physical health is the basis of all right living, and even of right thinking; it might begin as most philosophies do, by defining life, discussing its origin and fundamental nature.	true	242	268.09	21.685154
5190_87766_000018_000000	The trouble with this last plan is that there are a lot of people who have their ideas on life made up in tabloid form; they have creeds and catechisms which they know by heart, and if you suggest to them anything different, they give you a startled look and get out of your way.	The trouble with this last plan is that there are a lot of people who have their ideas on life made up in tabloid form; they have creeds and catechisms which they know by heart, and if you suggest to them anything different, they give you a startled look and get out of your way.	true	269.48	287.83	21.689737
5190_87766_000018_000001	And then there is another, and in our modern world a still larger class, who say, "Oh, shucks!	And then there is another, and in our modern world a still larger class, who say, "Oh, shucks!	true	288.65	295.92	21.200592
5190_87766_000018_000002	I don't go in for religion and that kind of thing." You offer them something that looks like a sermon, and they turn to the baseball page.	I don't go in for religion and that kind of thing." You offer them something that looks like a sermon, and they turn to the baseball page.	true	295.92	305.65	21.88903
5190_87766_000019_000000	Who will read this Book of Life?	Who will read this Book of Life?	true	306.89	309.01	18.672903
5190_87766_000019_000001	There will be, among others, the great American tired business man.	There will be, among others, the great American tired business man.	true	309.74	314.86	22.231342
5190_87766_000019_000002	He wrestles with problems and cares all day, and when he sits down to read in the evening, he says: "Make it short and snappy." There is the wife of the tired business man, the American perfect lady.	He wrestles with problems and cares all day, and when he sits down to read in the evening, he says: "Make it short and snappy." There is the wife of the tired business man, the American perfect lady.	true	314.96	329.11	21.473564
5190_87766_000019_000003	She does most of the reading for the family; but she has never got down to anything fundamental in her life, and mostly she likes to read about exciting love affairs, which she distinguishes from the unexciting kind she knows by the word "romance." Then there is the still more tired American workingman, who has been "speeded up" all day under the bonus system or the piece-work system, and is apt to fall asleep in his chair before he finishes supper.	She does most of the reading for the family; but she has never got down to anything fundamental in her life, and mostly she likes to read about exciting love affairs, which she distinguishes from the unexciting kind she knows by the word "romance." Then there is the still more tired American workingman, who has been "speeded up" all day under the bonus system or the piece work system, and is apt to fall asleep in his chair before he finishes supper.	true	329.69	362.92	21.683992
5190_87766_000019_000004	Then there is the workingman's wife, who has slaved all day in the kitchen, and has a chance for a few minutes' intimacy with her husband before he falls asleep.	Then there is the workingman's wife, who has slaved all day in the kitchen, and has a chance for a few minutes' intimacy with her husband before he falls asleep.	true	363.83	372.97	19
5190_87766_000019_000005	She would like to have somebody tell her what to do for croup, but she is not sure that she has time to discuss the question whether life is worth living.	She would like to have somebody tell her what to do for croup, but she is not sure that she has time to discuss the question whether life is worth living.	false	373.76	384.22	22.131567
5190_87766_000020_000000	Yet, I wonder; is there a single one among all these tired people, or even among the cynical people, who has not had some moment of awe when the thought came stabbing into his mind like a knife: "What a strange thing this life is!	Yet, I wonder; is there a single one among all these tired people, or even among the cynical people, who has not had some moment of awe when the thought came stabbing into his mind like a knife: "What a strange thing this life is!	true	385.37	404.17	21.99026
5190_87766_000020_000001	What am I anyhow?	What am I anyhow?	true	404.69	406.57	25.544384
5190_87766_000020_000002	Where do I come from, and what is going to become of me?	Where do I come from, and what is going to become of me?	true	407.21	410.8	22.431362
5190_87766_000020_000003	What do I mean, what am I here for?" I have sat chatting with three hoboes by a railroad track, cooking themselves a mulligan in an old can, and heard one of them say: "By God, it's a queer thing, ain't it, mate?" I have sat on the deck of a ship, looking out over the midnight ocean and talking with a sailor, and heard him use almost the identical words.	What do I mean, what am I here for?" I have sat chatting with three hoboes by a railroad track, cooking themselves a mulligan in an old can, and heard one of them say: "By God, it's a queer thing, ain't it, mate?" I have sat on the deck of a ship, looking out over the midnight ocean and talking with a sailor, and heard him use almost the identical words.	false	411.53	438.01	20.039055
5190_87766_000020_000004	It is not only in the class-room and the schools that the minds of men are grappling with the fundamental problems; in fact, it was not from the schools that the new religions and the great moral impulses of humanity took their origin.	It is not only in the class room and the schools that the minds of men are grappling with the fundamental problems; in fact, it was not from the schools that the new religions and the great moral impulses of humanity took their origin.	true	438.59	453.58	20
5190_87766_000020_000005	It was from lonely shepherds sitting on the hillsides, and from fishermen casting their nets, and from carpenters and tailors and shoemakers at their benches.	It was from lonely shepherds sitting on the hillsides, and from fishermen casting their nets, and from carpenters and tailors and shoemakers at their benches.	true	454.16	464.14	22
5190_87766_000021_000000	Stop and think a bit, and you will realize it does make a difference what you believe about life, how it comes to be, where it is going, and what is your place in it.	Stop and think a bit, and you will realize it does make a difference what you believe about life, how it comes to be, where it is going, and what is your place in it.	true	464.93	477.67	23.696829
5190_87766_000021_000001	Is there a heaven with a God, who watches you day and night, and knows every thought you think, and will some day take you to eternal bliss if you obey his laws?	Is there a heaven with a God, who watches you day and night, and knows every thought you think, and will some day take you to eternal bliss if you obey his laws?	true	478.31	488.71	23.713898
5190_87766_000021_000002	If you really believe that, you will try to find out about his laws, and you will be comparatively little concerned about the success or failure of your business.	If you really believe that, you will try to find out about his laws, and you will be comparatively little concerned about the success or failure of your business.	true	489.2	498.4	21
5190_87766_000021_000003	Perhaps, on the other hand, you have knocked about in the world and lost your "faith"; you have been cheated and exploited, and have set out to "get yours," as the phrase is; to "feather your own nest." But some gust of passion seizes you, and you waste your substance, you wreck your life; then you wonder, "Who set that trap and baited it?	Perhaps, on the other hand, you have knocked about in the world and lost your "faith"; you have been cheated and exploited, and have set out to "get yours," as the phrase is; to "feather your own nest." But some gust of passion seizes you, and you waste your substance, you wreck your life; then you wonder, "Who set that trap and baited it?	false	499.19	526.15	21.173374
5190_87766_000021_000004	Am I a creature of blind instincts, jealousies and greeds and hates beyond my own control entirely?	Am I a creature of blind instincts, jealousies and greeds and hates beyond my own control entirely?	true	526.46	534.16	17
5190_87766_000021_000005	Am I a poor, feeble insect, blown about in a storm and smashed?	Am I a poor, feeble insect, blown about in a storm and smashed?	false	534.71	539.41	22.963419
5190_87766_000021_000006	Or do I make the storm, and can I in any part control it?"	Or do I make the storm, and can I in any part control it?"	false	539.63	545.2	23.12503
5190_87766_000022_000000	No matter how busy you may be, no matter how tired you may be, it will pay you to get such things straight: to know a little of what the wise men of the past have thought about them, and more especially what science with its new tools of knowledge may have discovered.	No matter how busy you may be, no matter how tired you may be, it will pay you to get such things straight: to know a little of what the wise men of the past have thought about them, and more especially what science with its new tools of knowledge may have discovered.	true	547.16	564.19	22.111622
5190_87766_000023_000000	The writer of this book spent nine years of his life in colleges and universities; also he was brought up in a church.	The writer of this book spent nine years of his life in colleges and universities; also he was brought up in a church.	true	564.92	571.93	18.97461
5190_87766_000023_000001	So he knows the orthodox teachings, he can say that he has given to the recognized wise men of the world every opportunity to tell him what they know.	So he knows the orthodox teachings, he can say that he has given to the recognized wise men of the world every opportunity to tell him what they know.	false	572.36	581.23	17
5190_87766_000023_000002	Then, being dissatisfied, he went to the unrecognized teachers, the enthusiasts and the "cranks" of a hundred schools.	Then, being dissatisfied, he went to the unrecognized teachers, the enthusiasts and the "cranks" of a hundred schools.	true	581.93	590.59	22.893005
5190_87766_000023_000003	Finally, he thought for himself; he was even willing to try experiments upon himself.	Finally, he thought for himself; he was even willing to try experiments upon himself.	true	590.93	597.07	23.631872
5190_87766_000023_000004	As a result, he has not found what he claims is ultimate or final truth; but he has what he might describe as a rough working draft, a practical outline, good for everyday purposes.	As a result, he has not found what he claims is ultimate or final truth; but he has what he might describe as a rough working draft, a practical outline, good for everyday purposes.	true	597.32	610.9	22.168886
5190_87766_000023_000005	He is going to have confidence enough in you, the reader, to give you the hardest part first; that is, to begin with the great fundamental questions.	He is going to have confidence enough in you, the reader, to give you the hardest part first; that is, to begin with the great fundamental questions.	true	611.69	621.85	23.520601
5190_87766_000023_000006	What is life, and how does it come to be?	What is life, and how does it come to be?	true	622.79	625.84	22.072523
5190_87766_000023_000007	What does it mean, and what have we to do with it? Are we its masters or its slaves?	What does it mean, and what have we to do with it? Are we its masters or its slaves?	true	626.21	633.49	20.518726
5190_87766_000023_000008	What does it owe us, and what do we owe to it?	What does it owe us, and what do we owe to it?	true	633.86	637.53	24.021685
5190_87766_000023_000009	Why is it so hard, and do we have to stand its hardness?	Why is it so hard, and do we have to stand its hardness?	true	637.53	641.41	21.885893
5190_87766_000023_000010	And can we really know about all these matters, or will we be only guessing? Can we trust ourselves to think about them, or shall we be safer if we believe what we are told?	And can we really know about all these matters, or will we be only guessing? Can we trust ourselves to think about them, or shall we be safer if we believe what we are told?	true	642.32	653.17	21.348133
5190_87766_000023_000011	Shall we be punished if we think wrong, and how shall we be punished?	Shall we be punished if we think wrong, and how shall we be punished?	true	653.93	658.78	22.841772
5190_87766_000023_000012	Shall we be rewarded if we think right, and will the pay be worth the trouble?	Shall we be rewarded if we think right, and will the pay be worth the trouble?	true	658.97	663.82	21.004162
5190_87766_000024_000000	Such questions as these I am going to try to answer in the simplest language possible.	Such questions as these I am going to try to answer in the simplest language possible.	true	664.61	670.45	21
5190_87766_000024_000001	I would avoid long words altogether, if I could; but some of these long words mean certain definite things, and there are no other words to serve the purpose.	I would avoid long words altogether, if I could; but some of these long words mean certain definite things, and there are no other words to serve the purpose.	false	671.39	681.55	21.60941
5190_87766_000024_000002	You do not refuse to engage in the automobile business because the carburetor and the differential are words of four syllables.	You do not refuse to engage in the automobile business because the carburetor and the differential are words of four syllables.	true	682.25	690.22	21
5190_87766_000024_000003	Neither should you refuse to get yourself straight with the universe because it is too much trouble to go to the dictionary and learn that the word "phenomenon" means something else than a little boy who can play the piano or do long division in his head.	Neither should you refuse to get yourself straight with the universe because it is too much trouble to go to the dictionary and learn that the word "phenomenon" means something else than a little boy who can play the piano or do long division in his head.	false	690.83	716.79	22.55552
