6782_61316_000000_000000	Ancient Babylonia was for over four thousand years the garden of Western Asia.	Ancient Babylonia was for over four thousand years the garden of Western Asia.	true	23.43	27.88	21
6782_61316_000002_000005	Another important canal, the Shatt el Hai, crossed the plain from the Tigris to its sister river, which lies lower at this point, and does not run so fast.	Another important canal, the Shatt el Hai, crossed the plain from the Tigris to its sister river, which lies lower at this point, and does not run so fast.	true	234.98	244.69	25.22064
6782_61316_000002_000006	Where the artificial canals were constructed on higher levels than the streams which fed them, the water was raised by contrivances known as "shaddufs"; the buckets or skin bags were roped to a weighted beam, with the aid of which they were swung up by workmen and emptied into the canals.	Where the artificial canals were constructed on higher levels than the streams which fed them, the water was raised by contrivances known as "shaddufs"; the buckets or skin bags were roped to a weighted beam, with the aid of which they were swung up by workmen and emptied into the canals.	false	244.94	261.48	24.499147
6782_61316_000002_000007	It is possible that this toilsome mode of irrigation was substituted in favourable parts by the primitive water wheels which are used in our own day by the inhabitants of the country who cultivate strips of land along the river banks.	It is possible that this toilsome mode of irrigation was substituted in favourable parts by the primitive water wheels which are used in our own day by the inhabitants of the country who cultivate strips of land along the river banks.	true	261.48	274.23	18
6782_61316_000003_000000	In Babylonia there are two seasons--the rainy and the dry.	In Babylonia there are two seasons-the rainy and the dry.	false	274.23	279.07	22.590807
6782_61316_000003_000001	Rain falls from November till March, and the plain is carpeted in spring by patches of vivid green verdure and brilliant wild flowers.	Rain falls from November till March, and the plain is carpeted in spring by patches of vivid green verdure and brilliant wild flowers.	false	279.44	286.8	19
6782_61316_000003_000002	Then the period of drought ensues; the sun rapidly burns up all vegetation, and everywhere the eye is wearied by long stretches of brown and yellow desert.	Then the period of drought ensues; the sun rapidly burns up all vegetation, and everywhere the eye is wearied by long stretches of brown and yellow desert.	false	286.8	296.47	24.916817
6782_61316_000003_000003	Occasional sandstorms darken the heavens, sweeping over sterile wastes and piling up the shapeless mounds which mark the sites of ancient cities.	Occasional sandstorms darken the heavens, sweeping over sterile wastes and piling up the shapeless mounds which mark the sites of ancient cities.	true	297.05	305.14	18
6782_61316_000003_000004	Meanwhile the rivers are increasing in volume, being fed by the melting snows at their mountain sources far to the north.	Meanwhile the rivers are increasing in volume, being fed by the melting snows at their mountain sources far to the north.	true	305.81	312.94	26.44512
6782_61316_000003_000005	The swift Tigris, which is 1146 miles long, begins to rise early in March and reaches its highest level in May; before the end of June it again subsides.	The swift Tigris, which is one thousand one hundred forty six miles long, begins to rise early in March and reaches its highest level in May; before the end of June it again subsides.	true	313.22	324.37	20
6782_61316_000003_000006	More sluggish in movement, the Euphrates, which is 1780 miles long, shows signs of rising a fortnight later than the Tigris, and is in flood for a more extended period; it does not shrink to its lowest level until early in September.	More sluggish in movement, the Euphrates, which is one thousand seven hundred eighty miles long, shows signs of rising a fortnight later than the Tigris, and is in flood for a more extended period; it does not shrink to its lowest level until early in September.	true	324.89	340.06	22
6782_61316_000003_000007	By controlling the flow of these mighty rivers, preventing disastrous floods, and storing and distributing surplus water, the ancient Babylonians developed to the full the natural resources of their country, and made it--what it may once again become--one of the fairest and most habitable areas in the world.	By controlling the flow of these mighty rivers, preventing disastrous floods, and storing and distributing surplus water, the ancient Babylonians developed to the full the natural resources of their country, and made it-what it may once again become-one of the fairest and most habitable areas in the world.	true	340.25	358.75	22.530386
6782_61316_000003_000008	Nature conferred upon them bountiful rewards for their labour; trade and industries flourished, and the cities increased in splendour and strength.	Nature conferred upon them bountiful rewards for their labour; trade and industries flourished, and the cities increased in splendour and strength.	true	358.82	366.49	22.429047
6782_61316_000003_000009	Then as now the heat was great during the long summer, but remarkably dry and unvarying, while the air was ever wonderfully transparent under cloudless skies of vivid blue.	Then as now the heat was great during the long summer, but remarkably dry and unvarying, while the air was ever wonderfully transparent under cloudless skies of vivid blue.	false	367.22	377.32	22
6782_61316_000003_000010	The nights were cool and of great beauty, whether in brilliant moonlight or when ponds and canals were jewelled by the lustrous displays of clear and numerous stars which glorified that homeland of the earliest astronomers.	The nights were cool and of great beauty, whether in brilliant moonlight or when ponds and canals were jewelled by the lustrous displays of clear and numerous stars which glorified that homeland of the earliest astronomers.	true	377.48	388.75	18
6782_61316_000004_000000	Babylonia is a treeless country, and timber had to be imported from the earliest times.	Babylonia is a treeless country, and timber had to be imported from the earliest times.	true	389.69	394.96	22.010765
6782_61316_000004_000001	The date palm was probably introduced by man, as were certainly the vine and the fig tree, which were widely cultivated, especially in the north.	The date palm was probably introduced by man, as were certainly the vine and the fig tree, which were widely cultivated, especially in the north.	true	395.27	403.51	26.879503
6782_61316_000004_000002	Stone, suitable for building, was very scarce, and limestone, alabaster, marble, and basalt had to be taken from northern Mesopotamia, where the mountains also yield copper and lead and iron.	Stone, suitable for building, was very scarce, and limestone, alabaster, marble, and basalt had to be taken from northern Mesopotamia, where the mountains also yield copper and lead and iron.	true	403.94	415.54	22
6782_61316_000004_000003	Except Eridu, where ancient workers quarried sandstone from its sea-shaped ridge, all the cities were built of brick, an excellent clay being found in abundance.	Except Eridu, where ancient workers quarried sandstone from its sea shaped ridge, all the cities were built of brick, an excellent clay being found in abundance.	true	416.24	425.56	25
6782_61316_000004_000004	When brick walls were cemented with bitumen they were given great stability.	When brick walls were cemented with bitumen they were given great stability.	true	426.08	430.45	26.64125
6782_61316_000004_000005	This resinous substance is found in the north and south.	This resinous substance is found in the north and south.	true	430.64	433.9	27.27419
6782_61316_000004_000006	It bubbles up through crevices of rocks on river banks and forms small ponds.	It bubbles up through crevices of rocks on river banks and forms small ponds.	true	434.15	438.52	22
6782_61316_000004_000007	Two famous springs at modern Hit, on the Euphrates, have been drawn upon from time immemorial.	Two famous springs at modern Hit, on the Euphrates, have been drawn upon from time immemorial.	true	439.04	445.09	23
6782_61316_000004_000008	"From one", writes a traveller, "flows hot water black with bitumen, while the other discharges intermittently bitumen, or, after a rainstorm, bitumen and cold water....	"From one", writes a traveller, "flows hot water black with bitumen, while the other discharges intermittently bitumen, or, after a rainstorm, bitumen and cold water....	true	445.28	455.83	26.611563
6782_61316_000004_000009	Where rocks crop out in the plain above Hit, they are full of seams of bitumen."[30] Present-day Arabs call it "kiyara", and export it for coating boats and roofs; they also use it as an antiseptic, and apply it to cure the skin diseases from which camels suffer.	Where rocks crop out in the plain above Hit, they are full of seams of bitumen."[thirty] Present day Arabs call it "kiyara", and export it for coating boats and roofs; they also use it as an antiseptic, and apply it to cure the skin diseases from which camels suffer.	false	456.53	472.78	25.656187
6782_61316_000005_000000	Sumeria had many surplus products, including corn and figs, pottery, fine wool and woven garments, to offer in exchange for what it most required from other countries.	Sumeria had many surplus products, including corn and figs, pottery, fine wool and woven garments, to offer in exchange for what it most required from other countries.	false	473.27	483.58	24.46174
6782_61316_000005_000001	It must, therefore, have had a brisk and flourishing foreign trade at an exceedingly remote period.	It must, therefore, have had a brisk and flourishing foreign trade at an exceedingly remote period.	true	484.01	489.67	24.330334
6782_61316_000005_000002	No doubt numerous alien merchants were attracted to its cities, and it may be that they induced or encouraged Semitic and other raiders to overthrow governments and form military aristocracies, so that they themselves might obtain necessary concessions and achieve a degree of political ascendancy.	No doubt numerous alien merchants were attracted to its cities, and it may be that they induced or encouraged Semitic and other raiders to overthrow governments and form military aristocracies, so that they themselves might obtain necessary concessions and achieve a degree of political ascendancy.	true	489.95	507.19	19
6782_61316_000005_000003	It does not follow, however, that the peasant class was greatly affected by periodic revolutions of this kind, which brought little more to them than a change of rulers.	It does not follow, however, that the peasant class was greatly affected by periodic revolutions of this kind, which brought little more to them than a change of rulers.	true	507.65	517.06	23.571028
6782_61316_000005_000004	The needs of the country necessitated the continuance of agricultural methods and the rigid observance of existing land laws; indeed, these constituted the basis of Sumerian prosperity.	The needs of the country necessitated the continuance of agricultural methods and the rigid observance of existing land laws; indeed, these constituted the basis of Sumerian prosperity.	true	517.46	529.06	24
6782_61316_000005_000005	Conquerors have ever sought reward not merely in spoil, but also the services of the conquered.	Conquerors have ever sought reward not merely in spoil, but also the services of the conquered.	true	529.13	534.73	23
6782_61316_000005_000006	In northern Babylonia the invaders apparently found it necessary to conciliate and secure the continued allegiance of the tillers of the soil.	In northern Babylonia the invaders apparently found it necessary to conciliate and secure the continued allegiance of the tillers of the soil.	true	535.19	543.49	22
6782_61316_000005_000007	Law and religion being closely associated, they had to adapt their gods to suit the requirements of existing social and political organizations. A deity of pastoral nomads had to receive attributes which would give him an agricultural significance; one of rural character had to be changed to respond to the various calls of city life.	Law and religion being closely associated, they had to adapt their gods to suit the requirements of existing social and political organizations. A deity of pastoral nomads had to receive attributes which would give him an agricultural significance; one of rural character had to be changed to respond to the various calls of city life.	true	543.77	564.49	24
6782_61316_000005_000008	Besides, local gods could not be ignored on account of their popularity.	Besides, local gods could not be ignored on account of their popularity.	true	564.83	568.81	27.437162
6782_61316_000005_000009	As a result, imported beliefs and religious customs must have been fused and absorbed according to their bearing on modes of life in various localities.	As a result, imported beliefs and religious customs must have been fused and absorbed according to their bearing on modes of life in various localities.	false	568.94	577.48	22
6782_61316_000005_000010	It is probable that the complex character of certain deities was due to the process of adjustment to which they were subjected in new environments.	It is probable that the complex character of certain deities was due to the process of adjustment to which they were subjected in new environments.	false	577.79	585.79	26
6782_61316_000006_000000	The petty kingdoms of Sumeria appear to have been tribal in origin. Each city was presided over by a deity who was the nominal owner of the surrounding arable land, farms were rented or purchased from the priesthood, and pasture was held in common.	The petty kingdoms of Sumeria appear to have been tribal in origin. Each city was presided over by a deity who was the nominal owner of the surrounding arable land, farms were rented or purchased from the priesthood, and pasture was held in common.	true	586.85	601.57	24.36779
6782_61316_000006_000001	As in Egypt, where we find, for instance, the artisan god Ptah supreme at Memphis, the sun god Ra at Heliopolis, and the cat goddess Bast at Bubastis, the various local Sumerian and Akkadian deities had distinctive characteristics, and similarly showed a tendency to absorb the attributes of their rivals.	As in Egypt, where we find, for instance, the artisan god Ptah supreme at Memphis, the sun god Ra at Heliopolis, and the cat goddess Bast at Bubastis, the various local Sumerian and Akkadian deities had distinctive characteristics, and similarly showed a tendency to absorb the attributes of their rivals.	false	601.91	623.47	24
6782_61316_000006_000002	The chief deity of a state was the central figure in a pantheon, which had its political aspect and influenced the growth of local theology.	The chief deity of a state was the central figure in a pantheon, which had its political aspect and influenced the growth of local theology.	true	624.08	632.71	26
6782_61316_000006_000003	Cities, however, did not, as a rule, bear the names of deities, which suggests that several were founded when Sumerian religion was in its early animistic stages, and gods and goddesses were not sharply defined from the various spirit groups.	Cities, however, did not, as a rule, bear the names of deities, which suggests that several were founded when Sumerian religion was in its early animistic stages, and gods and goddesses were not sharply defined from the various spirit groups.	false	633.2	647.74	22
6782_61316_000007_000000	A distinctive and characteristic Sumerian god was Ea, who was supreme at the ancient sea-deserted port of Eridu.	A distinctive and characteristic Sumerian god was Ea, who was supreme at the ancient sea deserted port of Eridu.	false	648.32	655.36	24
6782_61316_000007_000001	He is identified with the Oannes of Berosus,[31] who referred to the deity as "a creature endowed with reason, with a body like that of a fish, with feet below like those of a man, with a fish's tail".	He is identified with the Oannes of Berosus,[thirty one] who referred to the deity as "a creature endowed with reason, with a body like that of a fish, with feet below like those of a man, with a fish's tail".	false	655.79	668.41	27.10725
6782_61316_000007_000002	This description recalls the familiar figures of Egyptian gods and priests attired in the skins of the sacred animals from whom their powers were derived, and the fairy lore about swan maids and men, and the seals and other animals who could divest themselves of their "skin coverings" and appear in human shape.	This description recalls the familiar figures of Egyptian gods and priests attired in the skins of the sacred animals from whom their powers were derived, and the fairy lore about swan maids and men, and the seals and other animals who could divest themselves of their "skin coverings" and appear in human shape.	true	669.02	687.58	22
6782_61316_000007_000003	Originally Ea may have been a sacred fish.	Originally Ea may have been a sacred fish.	false	687.98	691.09	28
6782_61316_000007_000004	The Indian creative gods Brahma and Vishnu had fish forms.	The Indian creative gods Brahma and Vishnu had fish forms.	true	691.61	695.62	25.95371
6782_61316_000007_000005	In Sanskrit literature Manu, the eponymous "first man", is instructed by the fish to build a ship in which to save himself when the world would be purged by the rising waters.	In Sanskrit literature Manu, the eponymous "first man", is instructed by the fish to build a ship in which to save himself when the world would be purged by the rising waters.	false	696.14	707.7	25.299217
6782_61316_000007_000006	Ea befriended in similar manner the Babylonian Noah, called Pir-napishtim, advising him to build a vessel so as to be prepared for the approaching Deluge.	Ea befriended in similar manner the Babylonian Noah, called p i r napishtim, advising him to build a vessel so as to be prepared for the approaching Deluge.	false	707.7	718.27	25.20381
6782_61316_000007_000007	Indeed the Indian legend appears to throw light on the original Sumerian conception of Ea.	Indeed the Indian legend appears to throw light on the original Sumerian conception of Ea.	false	718.79	725.13	23.167059
6782_61316_000007_000008	It relates that when the fish was small and in danger of being swallowed by other fish in a stream it appealed to Manu for protection.	It relates that when the fish was small and in danger of being swallowed by other fish in a stream it appealed to Manu for protection.	true	725.13	732.7	21
6782_61316_000007_000009	The sage at once lifted up the fish and placed it in a jar of water.	The sage at once lifted up the fish and placed it in a jar of water.	true	733.22	737.02	24
6782_61316_000007_000010	It gradually increased in bulk, and he transferred it next to a tank and then to the river Ganges.	It gradually increased in bulk, and he transferred it next to a tank and then to the river Ganges.	true	737.27	742.93	24.293377
6782_61316_000007_000011	In time the fish complained to Manu that the river was too small for it, so he carried it to the sea.	In time the fish complained to Manu that the river was too small for it, so he carried it to the sea.	true	743.21	748.81	23
6782_61316_000007_000012	For these services the god in fish form instructed Manu regarding the approaching flood, and afterwards piloted his ship through the weltering waters until it rested on a mountain top.[32]	For these services the god in fish form instructed Manu regarding the approaching flood, and afterwards piloted his ship through the weltering waters until it rested on a mountain top.[thirty two]	false	749.24	760.23	25.533321
6782_61316_000008_000000	If this Indian myth is of Babylonian origin, as appears probable, it may be that the spirit of the river Euphrates, "the soul of the land", was identified with a migrating fish.	If this Indian myth is of Babylonian origin, as appears probable, it may be that the spirit of the river Euphrates, "the soul of the land", was identified with a migrating fish.	false	760.23	771.07	25
6782_61316_000008_000001	The growth of the fish suggests the growth of the river rising in flood.	The growth of the fish suggests the growth of the river rising in flood.	true	771.83	775.96	26.365978
6782_61316_000008_000002	In Celtic folk tales high tides and valley floods are accounted for by the presence of a "great beast" in sea, loch, or river.	In Celtic folk tales high tides and valley floods are accounted for by the presence of a "great beast" in sea, loch, or river.	true	776.39	784.54	25.828865
6782_61316_000008_000003	In a class of legends, "specially connected with the worship of Atargatis", wrote Professor Robertson Smith, "the divine life of the waters resides in the sacred fish that inhabit them.	In a class of legends, "specially connected with the worship of Atargatis", wrote Professor Robertson Smith, "the divine life of the waters resides in the sacred fish that inhabit them.	false	784.7	795.99	26.587744
6782_61316_000008_000004	Atargatis and her son, according to a legend common to Hierapolis and Ascalon, plunged into the waters--in the first case the Euphrates, in the second the sacred pool at the temple near the town--and were changed into fishes".	Atargatis and her son, according to a legend common to Hierapolis and Ascalon, plunged into the waters-in the first case the Euphrates, in the second the sacred pool at the temple near the town-and were changed into fishes".	false	795.99	809.71	22.82704
6782_61316_000008_000005	The idea is that "where a god dies, that is, ceases to exist in human form, his life passes into the waters where he is buried; and this again is merely a theory to bring the divine water or the divine fish into harmony with anthropomorphic ideas.	The idea is that "where a god dies, that is, ceases to exist in human form, his life passes into the waters where he is buried; and this again is merely a theory to bring the divine water or the divine fish into harmony with anthropomorphic ideas.	true	810.2	827.02	25
6782_61316_000008_000006	The same thing was sometimes effected in another way by saying that the anthropomorphic deity was born from the water, as Aphrodite sprang from sea foam, or as Atargatis, in another form of the Euphrates legend, ... was born of an egg which the sacred fishes found in the Euphrates and pushed ashore."[33]	The same thing was sometimes effected in another way by saying that the anthropomorphic deity was born from the water, as Aphrodite sprang from sea foam, or as Atargatis, in another form of the Euphrates legend, ... was born of an egg which the sacred fishes found in the Euphrates and pushed ashore."[thirty three]	false	827.63	846.33	25.19494
6782_61316_000009_000000	As "Shar Apsi", Ea was the "King of the Watery Deep".	As "Shar a p s i", Ea was the "King of the Watery Deep".	false	846.33	850.3	24.284267
6782_61316_000009_000001	The reference, however, according to Jastrow, "is not to the salt ocean, but the sweet waters flowing under the earth which feed the streams, and through streams and canals irrigate the fields".[34] As Babylonia was fertilized by its rivers, Ea, the fish god, was a fertilizing deity. In Egypt the "Mother of Mendes" is depicted carrying a fish upon her head; she links with Isis and Hathor; her husband is Ba-neb-Tettu, a form of Ptah, Osiris, and Ra, and as a god of fertility he is symbolized by the ram.	The reference, however, according to Jastrow, "is not to the salt ocean, but the sweet waters flowing under the earth which feed the streams, and through streams and canals irrigate the fields".[thirty four] As Babylonia was fertilized by its rivers, Ea, the fish god, was a fertilizing deity. In Egypt the "Mother of Mendes" is depicted carrying a fish upon her head; she links with Isis and Hathor; her husband is Ba neb Tettu, a form of Ptah, Osiris, and Ra, and as a god of fertility he is symbolized by the ram.	false	850.43	883.36	24.090113
6782_61316_000009_000002	Another Egyptian fish deity was the god Rem, whose name signifies "to weep"; he wept fertilizing tears, and corn was sown and reaped amidst lamentations.	Another Egyptian fish deity was the god Rem, whose name signifies "to weep"; he wept fertilizing tears, and corn was sown and reaped amidst lamentations.	true	883.94	894.54	24
6782_61316_000009_000003	He may be identical with Remi, who was a phase of Sebek, the crocodile god, a developed attribute of Nu, the vague primitive Egyptian deity who symbolized the primordial deep.	He may be identical with Remi, who was a phase of Sebek, the crocodile god, a developed attribute of Nu, the vague primitive Egyptian deity who symbolized the primordial deep.	false	894.54	906.34	27.487265
6782_61316_000009_000004	The connection between a fish god and a corn god is not necessarily remote when we consider that in Babylonia and Egypt the harvest was the gift of the rivers.	The connection between a fish god and a corn god is not necessarily remote when we consider that in Babylonia and Egypt the harvest was the gift of the rivers.	true	906.77	916.54	22
6782_61316_000010_000000	The Euphrates, indeed, was hailed as a creator of all that grew on its banks.	The Euphrates, indeed, was hailed as a creator of all that grew on its banks.	true	916.88	921.43	22
6782_61316_000011_000000	O thou River who didst create all things, When the great gods dug thee out, They set prosperity upon thy banks, Within thee Ea, the King of the Deep, created his dwelling... Thou judgest the cause of mankind! O River, thou art mighty!	O thou River who didst create all things, When the great gods dug thee out, They set prosperity upon thy banks, Within thee Ea, the King of the Deep, created his dwelling... Thou judgest the cause of mankind! O River, thou art mighty!	false	921.92	937.26	26.012674
6782_61316_000011_000001	O River, thou art supreme! O River, thou art righteous![35]	O River, thou art supreme! O River, thou art righteous![thirty five]	false	937.26	942	26.246899
6782_61316_000012_000000	In serving Ea, the embodiment or the water spirit, by leading him, as the Indian Manu led the Creator and "Preserver" in fish form, from river to water pot, water pot to pond or canal, and then again to river and ocean, the Babylonians became expert engineers and experienced agriculturists, the makers of bricks, the builders of cities, the framers of laws.	In serving Ea, the embodiment or the water spirit, by leading him, as the Indian Manu led the Creator and "Preserver" in fish form, from river to water pot, water pot to pond or canal, and then again to river and ocean, the Babylonians became expert engineers and experienced agriculturists, the makers of bricks, the builders of cities, the framers of laws.	false	942	965.26	23
6782_61316_000012_000001	Indeed, their civilization was a growth of Ea worship.	Indeed, their civilization was a growth of Ea worship.	false	965.72	969.09	24.461203
6782_61316_000012_000002	Ea was their instructor.	Ea was their instructor.	false	969.09	970.54	28.457325
6782_61316_000012_000003	Berosus states that, as Oannes, he lived in the Persian Gulf, and every day came ashore to instruct the inhabitants of Eridu how to make canals, to grow crops, to work metals, to make pottery and bricks, and to build temples; he was the artisan god--Nun-ura, "god of the potter"; Kuski-banda, "god of goldsmiths", &c.--the divine patron of the arts and crafts.	Berosus states that, as Oannes, he lived in the Persian Gulf, and every day came ashore to instruct the inhabitants of Eridu how to make canals, to grow crops, to work metals, to make pottery and bricks, and to build temples; he was the artisan god-Nun ura, "god of the potter"; Kuski banda, "god of goldsmiths", and c.--the divine patron of the arts and crafts.	false	970.97	993.66	23
6782_61316_000012_000004	"Ea knoweth everything", chanted the hymn maker.	"Ea knoweth everything", chanted the hymn maker.	false	993.66	996.82	28.769506
6782_61316_000012_000005	He taught the people how to form and use alphabetic signs and instructed them in mathematics: he gave them their code of laws.	He taught the people how to form and use alphabetic signs and instructed them in mathematics: he gave them their code of laws.	true	997.19	1003.84	23.410606
6782_61316_000012_000006	Like the Egyptian artisan god Ptah, and the linking deity Khnumu, Ea was the "potter or moulder of gods and man".	Like the Egyptian artisan god Ptah, and the linking deity Khnumu, Ea was the "potter or moulder of gods and man".	false	1004.09	1012	21.590042
6782_61316_000012_000007	Ptah moulded the first man on his potter's wheel: he also moulded the sun and moon; he shaped the universe and hammered out the copper sky.	Ptah moulded the first man on his potter's wheel: he also moulded the sun and moon; he shaped the universe and hammered out the copper sky.	true	1012.55	1020.54	22
6782_61316_000012_000008	Ea built the world "as an architect builds a house".[36] Similarly the Vedic Indra, who wielded a hammer like Ptah, fashioned the universe after the simple manner in which the Aryans made their wooden dwellings.[37]	Ea built the world "as an architect builds a house".[thirty six] Similarly the Vedic Indra, who wielded a hammer like Ptah, fashioned the universe after the simple manner in which the Aryans made their wooden dwellings.[thirty seven]	false	1020.54	1035.06	26.298786
6782_61316_000013_000000	Like Ptah, Ea also developed from an artisan god into a sublime Creator in the highest sense, not merely as a producer of crops.	Like Ptah, Ea also developed from an artisan god into a sublime Creator in the highest sense, not merely as a producer of crops.	false	1035.06	1043.53	23
6782_61316_000013_000001	His word became the creative force; he named those things he desired to be, and they came into existence.	His word became the creative force; he named those things he desired to be, and they came into existence.	true	1044.05	1050.52	23.634945
6782_61316_000013_000002	"Who but Ea creates things", exclaimed a priestly poet.	"Who but Ea creates things", exclaimed a priestly poet.	false	1050.89	1054.45	24.291468
6782_61316_000013_000003	This change from artisan god to creator (Nudimmud) may have been due to the tendency of early religious cults to attach to their chief god the attributes of rivals exalted at other centres.	This change from artisan god to creator (Nudimmud) may have been due to the tendency of early religious cults to attach to their chief god the attributes of rivals exalted at other centres.	false	1054.73	1065.96	22
6782_61316_000014_000000	Ea, whose name is also rendered Aa, was identified with Ya, Ya'u, or Au, the Jah of the Hebrews.	Ea, whose name is also rendered Aa, was identified with Ya, Ya'u, or Au, the Jah of the hebrews.	false	1065.96	1074.46	24.037954
