3703_71531_000000_000000	CHAPTER XV	CHAPTER fifteen	false	0.15	5.895	18.833963
3703_71531_000015_000004	She said to me one afternoon, 'I hope the Duchess is still pleased with her companion.	She said to me one afternoon, 'I hope the Duchess is still pleased with her companion.	true	217.43	222.285	21
3703_71531_000015_000005	I saw her to-day in Bond Street and she looked like a housemaid I once had to dismiss rather suddenly.	I saw her to day in Bond Street and she looked like a housemaid I once had to dismiss rather suddenly.	true	222.285	228.525	17
3703_71531_000015_000006	I am glad she is in her grace's house and not in mine.'"	I am glad she is in her grace's house and not in mine.'"	false	228.525	232.44	20.643303
3703_71531_000016_000000	After a few seconds--	After a few seconds-	true	232.44	233.7	21
3703_71531_000017_000000	"_I_ am glad she is in my house and not in hers," the Duchess said.	"underscore I underscore am glad she is in my house and not in hers," the Duchess said.	false	233.7	238.15	19.084295
3703_71531_000018_000000	"After I had spoken to her at some length and she had quite lost her temper, she added 'You evidently don't know that she has been meeting Donal Muir.	"After I had spoken to her at some length and she had quite lost her temper, she added 'You evidently don't know that she has been meeting Donal Muir.	false	238.31	246.85	20
3703_71531_000018_000001	He told me so himself at the Erwyn's.	He told me so himself at the Erwyn's.	true	247.19	249.88	19
3703_71531_000018_000002	I asked him if he had seen her since the dance and he owned that he had--and then was cross at himself for making the slip.	I asked him if he had seen her since the dance and he owned that he had-and then was cross at himself for making the slip.	true	250.13	257.955	20
3703_71531_000018_000003	I did not ask him how _often_ he had met her.	I did not ask him how underscore often underscore he had met her.	false	257.955	260.83	23.722857
3703_71531_000018_000004	He would not have told me.	He would not have told me.	true	260.9	262.45	19.413042
3703_71531_000018_000005	But if he met her once he met her as often as he chose.' She was not lying when she said it.	But if he met her once he met her as often as he chose.' She was not lying when she said it.	false	262.52	268.665	19.587116
3703_71531_000018_000006	I know her.	I know her.	true	268.665	269.61	18.201754
3703_71531_000018_000007	I have been thinking constantly ever since." There was a brief silence between them; then he proceeded.	I have been thinking constantly ever since." There was a brief silence between them; then he proceeded.	true	269.61	275.71	20.184477
3703_71531_000018_000008	"Robin worshipped him when she was a mere baby.	"Robin worshipped him when she was a mere baby.	false	275.75	278.74	20
3703_71531_000018_000009	They were very beautiful together on the night of the dance. She fainted on the stairway after hearing of his death.	They were very beautiful together on the night of the dance. She fainted on the stairway after hearing of his death.	true	278.9	285.735	19
3703_71531_000018_000010	She had been crawling up to hide herself in her room, poor child!	She had been crawling up to hide herself in her room, poor child!	true	285.735	289.84	19.99151
3703_71531_000018_000011	It is one of the tragedies.	It is one of the tragedies.	true	289.88	291.79	21
3703_71531_000018_000012	Perhaps you and I together--"	Perhaps you and I together-"	true	291.83	294.01	22
3703_71531_000019_000000	The Duchess was seeing again the two who had come forth shining from the conservatory.	The Duchess was seeing again the two who had come forth shining from the conservatory.	true	294.08	299.11	20
3703_71531_000019_000001	She continued to see them as Lord Coombe went on speaking, telling her what Dr. Redcliff had told him.	She continued to see them as Lord Coombe went on speaking, telling her what dr Redcliff had told him.	true	299.3	305.71	21
3703_71531_000020_000000	On her part Robin scarcely understood anything which was happening because nothing seemed to matter.	On her part Robin scarcely understood anything which was happening because nothing seemed to matter.	true	305.99	312.04	21
3703_71531_000020_000001	On the morning when the Duchess told her that Dr. Redcliff wished to see her alone that fact mattered as little as the rest.	On the morning when the Duchess told her that dr Redcliff wished to see her alone that fact mattered as little as the rest.	false	312.17	319.6	20
3703_71531_000020_000002	She was indifferently conscious that the Duchess regarded her in an anxious kind way, but if she had been unkind instead of kind that would have meant nothing.	She was indifferently conscious that the Duchess regarded her in an anxious kind way, but if she had been unkind instead of kind that would have meant nothing.	true	319.67	329.23	19
3703_71531_000020_000003	There was only room for one thing in the world.	There was only room for one thing in the world.	true	329.63	332.32	17
3703_71531_000020_000004	She wondered sometimes if she were really dead--as Donal was--and did not know she was so.	She wondered sometimes if she were really dead-as Donal was-and did not know she was so.	false	332.33	338.7	19
3703_71531_000020_000005	Perhaps after people died they walked about as she did and did not understand that others could not see them and they were not alive.	Perhaps after people died they walked about as she did and did not understand that others could not see them and they were not alive.	true	338.7	346.6	21.539156
3703_71531_000020_000006	But if she were dead she would surely see Donal.	But if she were dead she would surely see Donal.	true	346.7	350.02	20.194761
3703_71531_000021_000000	Before she went to Dr. Redcliff the Duchess took her hand and held it closely in both her own.	Before she went to dr Redcliff the Duchess took her hand and held it closely in both her own.	true	351.02	357.03	21.419445
3703_71531_000021_000001	She looked at her with a curious sort of pitifulness--as if she were sorry.	She looked at her with a curious sort of pitifulness-as if she were sorry.	true	357.03	362.11	18
3703_71531_000022_000000	"My poor child," she said.	"My poor child," she said.	true	362.36	364.41	24.480785
3703_71531_000022_000001	"Whatsoever he tells you don't be frightened. Don't think you are without friends.	"Whatsoever he tells you don't be frightened. Don't think you are without friends.	true	364.41	369.88	20
3703_71531_000022_000002	I will take care of you."	I will take care of you."	true	369.95	371.41	18
3703_71531_000023_000000	"Thank you," she said.	"Thank you," she said.	true	371.54	373.065	19
3703_71531_000023_000001	"I don't think anything would frighten me. Nothing seems frightening--now." After which she went into the room where Dr. Redcliff was waiting for her.	"I don't think anything would frighten me. Nothing seems frightening-now." After which she went into the room where dr Redcliff was waiting for her.	true	373.065	382.36	19.535984
3703_71531_000024_000000	The Duchess sat alone and thought deeply.	The Duchess sat alone and thought deeply.	true	382.7	385.63	19.367205
3703_71531_000024_000001	What she thought of chiefly was the Head of the House of Coombe.	What she thought of chiefly was the Head of the House of Coombe.	true	386.18	390.015	21
3703_71531_000024_000002	She had always known that more than probably his attitude towards a circumstance of this sort would not even remotely approach in likeness that of other people.	She had always known that more than probably his attitude towards a circumstance of this sort would not even remotely approach in likeness that of other people.	true	390.015	400.74	19.976578
3703_71531_000024_000003	His point of view would detach itself from ordinary theories of moralities and immoralities.	His point of view would detach itself from ordinary theories of moralities and immoralities.	true	400.74	406.78	15
3703_71531_000024_000004	He would see with singular clearness all sides of the incident.	He would see with singular clearness all sides of the incident.	false	407.12	411.25	17
3703_71531_000024_000005	He would not be indignant, or annoyed or embarrassed.	He would not be indignant, or annoyed or embarrassed.	true	411.47	415.57	21
3703_71531_000024_000006	He had had an interest in Robin as a creature representing peculiar loveliness and undefended potentialities.	He had had an interest in Robin as a creature representing peculiar loveliness and undefended potentialities.	true	415.76	423.43	18
3703_71531_000024_000007	Sometimes she had felt that this had even verged on a tenderness of which he was himself remotely, if at all, conscious.	Sometimes she had felt that this had even verged on a tenderness of which he was himself remotely, if at all, conscious.	true	424.22	432.55	21
3703_71531_000024_000008	Concerning the boy Donal she had realised that he felt something stronger and deeper than any words of his own had at any time expressed.	Concerning the boy Donal she had realised that he felt something stronger and deeper than any words of his own had at any time expressed.	false	432.95	442.15	18
3703_71531_000024_000009	He had believed fine things of him and had watched him silently.	He had believed fine things of him and had watched him silently.	true	442.43	446.59	20.879831
3703_71531_000024_000010	He had wished he had been his own flesh and blood.	He had wished he had been his own flesh and blood.	true	446.9	449.8	20.886738
3703_71531_000024_000011	Perhaps he had always felt a longing for a son who might have been his companion as well as his successor.	Perhaps he had always felt a longing for a son who might have been his companion as well as his successor.	true	449.81	456.1	19
3703_71531_000024_000012	Who knew whether a thwarted paternal instinct might not now be giving him such thinking to do as he might have done if Donal Muir had been the son of his body--dead on the battlefield but leaving behind him something to be gravely considered?	Who knew whether a thwarted paternal instinct might not now be giving him such thinking to do as he might have done if Donal Muir had been the son of his body-dead on the battlefield but leaving behind him something to be gravely considered?	true	456.26	470.26	19
3703_71531_000024_000013	What would a man think--what would a man _do_ under such circumstances?	What would a man think-what would a man underscore do underscore under such circumstances?	false	470.51	475.78	22.385807
3703_71531_000025_000000	"One might imagine what some men would do--but it would depend entirely upon the type," she thought.	"One might imagine what some men would do-but it would depend entirely upon the type," she thought.	true	476.42	482.86	18.902931
3703_71531_000025_000001	"What he will do will be different.	"What he will do will be different.	true	483.05	485.17	22.817663
3703_71531_000025_000002	It might seem cold; it might be merely judicial--but it might be surprising."	It might seem cold; it might be merely judicial-but it might be surprising."	true	485.36	491.05	20
3703_71531_000026_000000	She was quite haunted by the haggard look of his face as he had exclaimed:	She was quite haunted by the haggard look of his face as he had exclaimed:	true	491.09	495.735	18
3703_71531_000027_000000	"I wish to God I had known him better!	"I wish to God I had known him better!	true	495.735	497.92	22
3703_71531_000027_000001	I wish to God I had talked to him more!"	I wish to God I had talked to him more!"	false	498.08	500.68	21
3703_71531_000028_000000	What he had done this morning was to go to Mersham Wood to see Mrs. Bennett.	What he had done this morning was to go to Mersham Wood to see mrs Bennett.	true	501.08	505.48	17
3703_71531_000028_000001	There were things it might be possible to learn by amiable and carefully considered expression of interest in her loss and loneliness. Concerning such things as she did not already know she would learn nothing from his conversation, but concerning such things as she had become aware of he would learn everything without alarming her.	There were things it might be possible to learn by amiable and carefully considered expression of interest in her loss and loneliness. Concerning such things as she did not already know she would learn nothing from his conversation, but concerning such things as she had become aware of he would learn everything without alarming her.	true	506.09	526.6	19
3703_71531_000029_000000	"If those unhappy children met at her cottage and wandered about in Mersham Wood together the tragedy is understandable."	"If those unhappy children met at her cottage and wandered about in Mersham Wood together the tragedy is understandable."	false	526.82	534.28	20
3703_71531_000030_000000	The Duchess' thinking ended pityingly because just at this time it was that Robin opened the door and stood looking at her.	The Duchess' thinking ended pityingly because just at this time it was that Robin opened the door and stood looking at her.	true	534.56	542.05	19
3703_71531_000031_000000	It seemed as though Dr. Redcliff must have talked to her for a long time.	It seemed as though dr Redcliff must have talked to her for a long time.	true	542.33	546.51	19
3703_71531_000031_000001	But she had on her small hat and coat and what the Duchess seemed chiefly to see was the wide darkness of her eyes set in a face suddenly pinched, small and snow white.	But she had on her small hat and coat and what the Duchess seemed chiefly to see was the wide darkness of her eyes set in a face suddenly pinched, small and snow white.	true	546.51	557.8	21
3703_71531_000031_000002	She looked like a starved baby.	She looked like a starved baby.	true	557.96	560.35	23.332848
3703_71531_000032_000000	"Please," she said with her hands clasped against her chest, "please--may I go to Mersham Wood?"	"Please," she said with her hands clasped against her chest, "please-may I go to Mersham Wood?"	true	560.93	566.92	17
3703_71531_000033_000000	"To--Mersham Wood," the Duchess felt aghast--and then suddenly a flood of thought rushed upon her.	"To-Mersham Wood," the Duchess felt aghast-and then suddenly a flood of thought rushed upon her.	true	567.14	573.91	20.987432
3703_71531_000034_000000	"It is not very far," the little gasping voice uttered.	"It is not very far," the little gasping voice uttered.	true	574.37	578.055	18
3703_71531_000034_000001	"I must go, please!	"I must go, please!	true	578.055	579.88	20
3703_71531_000034_000002	Oh!	Oh!	true	579.95	580.44	14.914657
3703_71531_000034_000003	I must!	I must!	true	580.44	581.415	26
3703_71531_000034_000004	Just--to Mersham Wood!"	Just-to Mersham Wood!"	true	581.415	583.21	22.288824
3703_71531_000035_000000	Something almost uncontrollable rose in the Duchess' throat.	Something almost uncontrollable rose in the Duchess' throat.	true	583.58	587.5	18
3703_71531_000036_000000	"Child," she said.	"Child," she said.	true	587.54	589.125	24.093863
3703_71531_000036_000001	"Come here!"	"Come here!"	true	589.125	589.93	19
3703_71531_000037_000000	Robin went to her--oh, poor little soul!--in utter obedience.	Robin went to her-oh, poor little soul!--in utter obedience.	true	590.27	595.21	21.965324
3703_71531_000037_000001	As she drew close to her she went down upon her knees holding up her hands like a little nun at prayer.	As she drew close to her she went down upon her knees holding up her hands like a little nun at prayer.	true	595.37	601.74	17
3703_71531_000038_000000	"_Please_ let me go," she said again.	"underscore Please underscore let me go," she said again.	false	601.74	603.87	19
3703_71531_000038_000001	"Only to Mersham Wood."	"Only to Mersham Wood."	true	603.87	605.65	19
3703_71531_000039_000000	"Stay here, my poor child and talk to me," the Duchess said.	"Stay here, my poor child and talk to me," the Duchess said.	true	606.17	610.125	21.60093
3703_71531_000039_000001	"The time has come when you must talk to some one."	"The time has come when you must talk to some one."	true	610.125	613	20
3703_71531_000040_000000	"When I come back--I will try.	"When I come back-I will try.	true	613.43	615.705	23.94944
3703_71531_000040_000001	I--I want to ask--the Wood," said Robin. She caught at a fold of the Duchess' dress and went on rapidly.	I-I want to ask-the Wood," said Robin. She caught at a fold of the Duchess' dress and went on rapidly.	false	615.705	623.385	22.28165
3703_71531_000041_000000	"It is not far.	"It is not far.	true	623.385	624.555	20.852629
3703_71531_000041_000001	Dr. Redcliff said I might go.	dr Redcliff said I might go.	true	624.555	626.745	18
3703_71531_000041_000002	Mrs. Bennett is there.	mrs Bennett is there.	true	626.745	628.035	20
3703_71531_000041_000003	She loves me."	She loves me."	true	628.035	629.2	21.254358
3703_71531_000042_000000	"Are you going to talk to Mrs. Bennett?"	"Are you going to talk to mrs Bennett?"	true	629.3	631.66	19
3703_71531_000043_000000	"No!	"No!	true	632.18	632.925	17.15284
3703_71531_000043_000001	No!	No!	true	632.925	633.67	16.658497
3703_71531_000043_000002	No!	No!	true	634.04	634.81	18.86819
3703_71531_000043_000003	No!	No!	true	634.82	635.415	16
3703_71531_000043_000004	Not to any one in the world."	Not to any one in the world."	true	635.415	637.33	19
3703_71531_000044_000000	Hapless young creatures in her plight must always be touching, but her touchingness was indescribable--almost unendurable to the ripe aged woman of the world who watched and heard her.	Hapless young creatures in her plight must always be touching, but her touchingness was indescribable-almost unendurable to the ripe aged woman of the world who watched and heard her.	true	637.52	650.05	21.91341
3703_71531_000044_000001	It was as if she knew nothing of the meaning of things--as if some little spirit had been torn from heaven and flung down upon the dark earth.	It was as if she knew nothing of the meaning of things-as if some little spirit had been torn from heaven and flung down upon the dark earth.	true	650.09	658.78	19
3703_71531_000044_000002	One felt that one must weep aloud over the exquisite incomprehensible remoteness of her.	One felt that one must weep aloud over the exquisite incomprehensible remoteness of her.	false	659.42	665.86	19
3703_71531_000044_000003	And it was so awfully plain that there was some tragic connection with the Wood and that her whole soul cried out to it.	And it was so awfully plain that there was some tragic connection with the Wood and that her whole soul cried out to it.	true	666.02	673.87	20.054005
3703_71531_000044_000004	And she would not speak to any one in the world.	And she would not speak to any one in the world.	true	674.24	676.89	18.368212
3703_71531_000044_000005	Such things had been known.	Such things had been known.	true	676.89	678.765	22
3703_71531_000044_000006	Was the child's brain wavering?	Was the child's brain wavering?	true	678.765	680.89	18
3703_71531_000044_000007	Why not?	Why not?	true	681.2	682.155	20.19707
3703_71531_000044_000008	All the world was mad was the older woman's thought, and she herself after all the years, had for this moment no sense of balance and felt as if all old reasons for things had been swept away.	All the world was mad was the older woman's thought, and she herself after all the years, had for this moment no sense of balance and felt as if all old reasons for things had been swept away.	true	682.155	694.93	20
3703_71531_000045_000000	"If you will come back," she said.	"If you will come back," she said.	true	695.33	697.3	21
3703_71531_000045_000001	"I will let you go."	"I will let you go."	true	697.37	698.68	22
3703_71531_000046_000000	After the poor child had gone there formulated itself in her mind the thought that if Lord Coombe and Mrs. Bennett met her together some clarity might be reached.	After the poor child had gone there formulated itself in her mind the thought that if Lord Coombe and mrs Bennett met her together some clarity might be reached.	false	699.17	709.69	22.375025
3703_71531_000046_000001	But then again she said to herself, "Oh why, after all, should she be asked questions?	But then again she said to herself, "Oh why, after all, should she be asked questions?	true	710.03	715.99	21
3703_71531_000046_000002	What can it matter to the rest of the woeful world if she hides it forever in her heart?"	What can it matter to the rest of the woeful world if she hides it forever in her heart?"	true	716.24	721.51	19
3703_71531_000047_000000	And she sat with drooped head knowing that she was tired of living because some things were so helpless.	And she sat with drooped head knowing that she was tired of living because some things were so helpless.	false	722.09	734.85	20.205524
