5154_6174_000001_000001	Her name was Agnes.	Her name was Agnes.
5154_6174_000013_000003	Agnes looked at it, did not want it, was inclined to refuse it from a beggar, but thinking it would show her consequence to assert her rights, took it and drank it up.	Agnes looked at it, did not want it, was inclined to refuse it from a beggar, but thinking it would show her consequence to assert her rights, took it and drank it up.
5154_6174_000013_000004	For whoever is possessed by a devil, judges with the mind of that devil; and hence Agnes was guilty of such a meanness as many who are themselves capable of something just as bad will consider incredible.	For whoever is possessed by a devil, judges with the mind of that devil; and hence Agnes was guilty of such a meanness as many who are themselves capable of something just as bad will consider incredible.
5154_6174_000014_000000	The wise woman waited till she had finished it--then, looking into the empty cup, said:	The wise woman waited till she had finished it-then, looking into the empty cup, said:
5154_6174_000017_000000	The wise woman looked at the mother.	The wise woman looked at the mother.
5154_6174_000018_000001	Some foolish people think they take another's part when they take the part he takes.	Some foolish people think they take another's part when they take the part he takes.
5154_6174_000019_000001	Then she turned again to Agnes, who had never looked round but sat with her back to both, and suddenly lapped her in the folds of her cloak.	Then she turned again to Agnes, who had never looked round but sat with her back to both, and suddenly lapped her in the folds of her cloak.
5154_6174_000020_000001	But she never turned her head; and the mother went back into her cottage.	But she never turned her head; and the mother went back into her cottage.
5154_6174_000021_000000	The wise woman walked close past the shepherd and his dogs, and through the midst of his flock of sheep.	The wise woman walked close past the shepherd and his dogs, and through the midst of his flock of sheep.
5154_6174_000021_000001	The shepherd wondered where she could be going--right up the hill.	The shepherd wondered where she could be going-right up the hill.
5154_6174_000023_000001	They were accustomed to such an absence now and then, and were not at first frightened; but when it grew dark and she did not appear, the husband set out with his dogs in one direction, and the wife in another, to seek their child.	They were accustomed to such an absence now and then, and were not at first frightened; but when it grew dark and she did not appear, the husband set out with his dogs in one direction, and the wife in another, to seek their child.
5154_6174_000023_000003	Then the whole country-side arose to search for the missing Agnes; but day after day and night after night passed, and nothing was discovered of or concerning her, until at length all gave up the search in despair except the mother, although she was nearly convinced now that the poor woman had carried her off.	Then the whole country side arose to search for the missing Agnes; but day after day and night after night passed, and nothing was discovered of or concerning her, until at length all gave up the search in despair except the mother, although she was nearly convinced now that the poor woman had carried her off.
5154_6174_000025_000000	Her hair hung in tangles from her head; her clothes were tattered, and through the rents her skin showed in many places; her cheeks were white, and worn thin with hunger; the hollows were dark under her eyes, and they stood out scared and wild.	Her hair hung in tangles from her head; her clothes were tattered, and through the rents her skin showed in many places; her cheeks were white, and worn thin with hunger; the hollows were dark under her eyes, and they stood out scared and wild.
5154_6174_000028_000000	Perhaps her words were not just like these, but her thoughts were.	Perhaps her words were not just like these, but her thoughts were.
