3994_156757_000000_000000	CHAPTER XXIX	CHAPTER twenty nine	false	0	29.47	20.604734
3994_156757_000014_000000	A few moments later Georgia came up to our room, and found me dressing myself with greatest care.	A few moments later Georgia came up to our room, and found me dressing myself with greatest care.	true	312.77	318.19	19
3994_156757_000014_000001	In amazement she asked, "Eliza, where are you going?" and was dumbfounded when I answered, "To find another home for us."	In amazement she asked, "Eliza, where are you going?" and was dumbfounded when I answered, "To find another home for us."	true	318.59	326.23	18.775957
3994_156757_000015_000000	In the lower hall I encountered grandma, whose anger had cooled, and she asked the question Georgia had.	In the lower hall I encountered grandma, whose anger had cooled, and she asked the question Georgia had.	true	327.05	333.31	18.918392
3994_156757_000015_000001	I raised my sleeve, showed the welt on my arm, and replied, "I am going to see if I can't find a home where they will treat me kindly."	I raised my sleeve, showed the welt on my arm, and replied, "I am going to see if I can't find a home where they will treat me kindly."	true	333.8	341.835	21
3994_156757_000016_000000	Poor grandma was conscience-stricken, drew me into her own room, and did not let me leave it until after she had soothed my hurts and we had become friends again.	Poor grandma was conscience stricken, drew me into her own room, and did not let me leave it until after she had soothed my hurts and we had become friends again.	true	341.835	351.79	21.692295
3994_156757_000017_000000	Georgia went to Mrs. Bergwald's, and remained quite a while.	Georgia went to mrs Bergwald's, and remained quite a while.	true	351.89	355.51	20.068542
3994_156757_000017_000001	When she came back speaking English, and insisting that she was an American, grandma became very angry, and threatened to send her away among strangers; then hesitated, as if realizing how fully Georgia belonged to me and I to her, and that we would cling together whatever might happen.	When she came back speaking English, and insisting that she was an American, grandma became very angry, and threatened to send her away among strangers; then hesitated, as if realizing how fully Georgia belonged to me and I to her, and that we would cling together whatever might happen.	true	355.97	372.04	20.530436
3994_156757_000017_000002	In her perplexity, she besought Mrs. Bergwald's advice.	In her perplexity, she besought mrs Bergwald's advice.	true	373.13	378.85	25.895582
3994_156757_000018_000000	Now, Mrs. Bergwald was a native of Stockholm, a lady of rare culture, and used the French language in conversing with grandma.	Now, mrs Bergwald was a native of Stockholm, a lady of rare culture, and used the French language in conversing with grandma.	true	378.89	386.38	23.03313
3994_156757_000018_000001	She spoke feelingly of my little sister, said that she was companionable, willing, and helpful; anxious to learn the nicer ways of work, and ladylike accomplishments.	She spoke feelingly of my little sister, said that she was companionable, willing, and helpful; anxious to learn the nicer ways of work, and ladylike accomplishments.	false	387.11	396.64	22
3994_156757_000018_000002	She could see no harm in Georgia wishing to remain an American, since to love one's own people and country was natural.	She could see no harm in Georgia wishing to remain an American, since to love one's own people and country was natural.	true	397.19	403.72	18.892023
3994_156757_000019_000000	Thereafter grandma changed her methods.	Thereafter grandma changed her methods.	true	404.9	407.32	30.12724
3994_156757_000019_000001	She gave us our dolls to look at, and keep among our possessions, likewise most of our keepsakes.	She gave us our dolls to look at, and keep among our possessions, likewise most of our keepsakes.	false	407.81	413.23	23.258665
3994_156757_000019_000002	She also unlocked her carefully tended parlor and we three spent pleasant evenings there.	She also unlocked her carefully tended parlor and we three spent pleasant evenings there.	false	414.68	419.92	26.299229
3994_156757_000019_000003	Sometimes she would let us bring her, from under the sofa, her gorgeous prints, illustrating "Wilhelm Tell," and would repeat the text relating to the scenes as we examined each picture with eager interest.	Sometimes she would let us bring her, from under the sofa, her gorgeous prints, illustrating "Wilhelm Tell," and would repeat the text relating to the scenes as we examined each picture with eager interest.	true	421.07	432.73	23
3994_156757_000020_000000	We were also allowed to go to Sunday school oftener, and later, she sent me part of the term to the select school for girls recently established by Dr. Ver Mehr, an Episcopalian clergyman.	We were also allowed to go to Sunday school oftener, and later, she sent me part of the term to the select school for girls recently established by dr Ver Mehr, an Episcopalian clergyman.	true	433.61	444.43	22.426302
3994_156757_000020_000001	In fact, my tuition was expected to offset the school's milk bill, yet that did not lessen my enthusiasm.	In fact, my tuition was expected to offset the school's milk bill, yet that did not lessen my enthusiasm.	true	444.44	451.39	24.554647
3994_156757_000020_000002	I was eager for knowledge.	I was eager for knowledge.	true	451.76	453.49	24.397087
3994_156757_000020_000003	I also expected to meet familiar faces in that great building, which had been the home of Mr. Jacob Leese.	I also expected to meet familiar faces in that great building, which had been the home of mr Jacob Leese.	true	454.1	459.55	22.935106
3994_156757_000020_000004	But upon entering I saw only finely dressed young ladies from other parts of the State promenading in the halls, and small girls flitting about in the yard like bright-winged butterflies. Some had received letters from home and were calling out the news; others were engaged in games that were strange to me.	But upon entering I saw only finely dressed young ladies from other parts of the State promenading in the halls, and small girls flitting about in the yard like bright winged butterflies. Some had received letters from home and were calling out the news; others were engaged in games that were strange to me.	false	460.1	476.62	21.433447
3994_156757_000020_000005	The bell rang, I followed to the recitation hall, and was assigned a seat below the rest, because I was the only small Sonoma girl yet enrolled.	The bell rang, I followed to the recitation hall, and was assigned a seat below the rest, because I was the only small Sonoma girl yet enrolled.	true	476.84	485.11	21
3994_156757_000021_000000	I made several life-long friends at that institute; still it was easy to see that "St.	I made several life-long friends at that institute; still it was easy to see that "st	false	485.57	490.98	21.103525
3994_156757_000021_000001	Mary's Hall" was established for pupils who had been reared in the lap of wealth and ease; not for those whose hands were rough like mine.	Mary's Hall" was established for pupils who had been reared in the lap of wealth and ease; not for those whose hands were rough like mine.	true	490.98	498.55	16
3994_156757_000021_000002	Nor was there a class for me.	Nor was there a class for me.	true	500.06	501.88	29.010536
3994_156757_000021_000003	I seemed to be between grades, and had the discouragement of trying to keep up with girls older and farther advanced.	I seemed to be between grades, and had the discouragement of trying to keep up with girls older and farther advanced.	true	502.25	508.875	18
3994_156757_000022_000000	My educational advantages in Sonoma closed with my half term at St. Mary's Hall, grandma believing that I had gone to school long enough to be able to finish my studies without teachers.	My educational advantages in Sonoma closed with my half term at saint Mary's Hall, grandma believing that I had gone to school long enough to be able to finish my studies without teachers.	true	508.875	520.18	19
3994_156757_000023_000000	Georgia was more fortunate.	Georgia was more fortunate.	true	522.26	523.99	18.37957
3994_156757_000023_000001	When Miss Hutchinson opened "The Young Ladies' Seminary" in the Fall, grandma decided to lend it a helping hand by sending her a term as a day scholar.	When Miss Hutchinson opened "The Young Ladies' Seminary" in the Fall, grandma decided to lend it a helping hand by sending her a term as a day scholar.	true	524.42	533.02	17
3994_156757_000023_000002	My delighted sister was soon in touch with a crowd of other little girls, and brought home many of their bright sayings for my edification.	My delighted sister was soon in touch with a crowd of other little girls, and brought home many of their bright sayings for my edification.	true	533.42	540.4	20
3994_156757_000024_000000	One evening she rushed into the house bubbling over with excitement and joyously proclaimed: "Oh, Eliza, Miss Hutchinson is going to give a great dinner to her pupils on Thanksgiving Day; and I am to go, and you also, as her guest."	One evening she rushed into the house bubbling over with excitement and joyously proclaimed: "Oh, Eliza, Miss Hutchinson is going to give a great dinner to her pupils on Thanksgiving Day; and I am to go, and you also, as her guest."	false	543.68	557.17	20.049732
3994_156757_000025_000000	Grandma was pleased that I was invited, and declared that she would send a liberal donation of milk and cheese as a mark of appreciation.	Grandma was pleased that I was invited, and declared that she would send a liberal donation of milk and cheese as a mark of appreciation.	true	557.81	565.15	20.703747
3994_156757_000026_000000	I caught much of Georgia's spirit of delight, for I had a vivid recollection of the grand dinner given in commemoration of our very first legally appointed Thanksgiving Day in California; I had only to close my eyes, and in thought would reappear the longest and most bountifully spread table I had ever seen.	I caught much of Georgia's spirit of delight, for I had a vivid recollection of the grand dinner given in commemoration of our very first legally appointed Thanksgiving Day in California; I had only to close my eyes, and in thought would reappear the longest and most bountifully spread table I had ever seen.	true	566.12	583.69	21.815886
3994_156757_000026_000001	Turkey, chicken, and wild duck, at the ends; a whole roasted pig in the centre, and more than enough delicious accompaniments to cover the spaces between.	Turkey, chicken, and wild duck, at the ends; a whole roasted pig in the centre, and more than enough delicious accompaniments to cover the spaces between.	true	584.69	594.76	21.854446
3994_156757_000026_000002	Then the grown folk dining first, and the flock of hungry children coming later; the speaking, laughing, and clapping of hands, with which the old home customs were introduced in the new land.	Then the grown folk dining first, and the flock of hungry children coming later; the speaking, laughing, and clapping of hands, with which the old home customs were introduced in the new land.	false	595.13	606.04	21.27299
3994_156757_000027_000000	There, I wore a dark calico dress and sun-bonnet, both made by poor Mrs. McCutchen of the Donner Party, who had to take in sewing for a livelihood; but to the Seminary, I should wear grandpa's gift, a costly alpaca, changeable in the sunlight to soft mingling bluish and greenish colors of the peacock.	There, I wore a dark calico dress and sun bonnet, both made by poor mrs McCutchen of the Donner Party, who had to take in sewing for a livelihood; but to the Seminary, I should wear grandpa's gift, a costly alpaca, changeable in the sunlight to soft mingling bluish and greenish colors of the peacock.	true	608.66	628.3	22.545256
3994_156757_000027_000001	Its wide skirt reached to my shoetops, and the gathers to its full waist were gauged to a sharp peak in front.	Its wide skirt reached to my shoetops, and the gathers to its full waist were gauged to a sharp peak in front.	true	628.85	635.89	22.419052
3994_156757_000027_000002	A wide open V from the shoulder down to the peak displayed an embroidered white Swiss chemisette.	A wide open V from the shoulder down to the peak displayed an embroidered white Swiss chemisette.	true	636.62	642.94	22.571558
3994_156757_000027_000003	The sleeves, small at the wrist, were trimmed with folds of the material and a quilling of white lace at the hand.	The sleeves, small at the wrist, were trimmed with folds of the material and a quilling of white lace at the hand.	true	643.61	649.83	20.549673
3994_156757_000028_000000	On the all-important morning, grandma was anxious that I should look well; and after she had looped my braids with bows of blue ribbon and fastened my dress, she brought forth my dainty bonnet, her own gift. Deft fingers had shirred the pale-blue silk over a frame which had been cut down from ladies' size, arranged an exquisite spray of Marechal Niel rosebuds and foliage on the outside, and quilled a soft white ruching around the face, which emphasized the Frenchy style and finish so pleasing to grandma.	On the all important morning, grandma was anxious that I should look well; and after she had looped my braids with bows of blue ribbon and fastened my dress, she brought forth my dainty bonnet, her own gift. Deft fingers had shirred the pale blue silk over a frame which had been cut down from ladies' size, arranged an exquisite spray of Marechal Niel rosebuds and foliage on the outside, and quilled a soft white ruching around the face, which emphasized the Frenchy style and finish so pleasing to grandma.	false	649.83	681.1	22.832893
3994_156757_000029_000000	Did I look old fashioned?	Did I look old fashioned?	true	682.58	684.07	23.980734
3994_156757_000029_000001	Yes, for grandma said, "Thou art like a picture I saw somewhere long ago." Then she continued brightly, "Here are thy mits, and thy little embroidered handkerchief folded in a square.	Yes, for grandma said, "Thou art like a picture I saw somewhere long ago." Then she continued brightly, "Here are thy mits, and thy little embroidered handkerchief folded in a square.	true	684.17	695.17	20.453268
3994_156757_000029_000002	Carry it carefully so it won't get mussed before the company see it, and come not back late for milking."	Carry it carefully so it won't get mussed before the company see it, and come not back late for milking."	true	695.33	700.84	25.94714
3994_156757_000030_000000	The Seminary playground was so noisy with chatter and screams of joy, that it was impossible to remember all the games we played; and later the dining-room and its offerings were so surprising and so beautifully decorated that the sight nearly deprived me of my appetite.	The Seminary playground was so noisy with chatter and screams of joy, that it was impossible to remember all the games we played; and later the dining room and its offerings were so surprising and so beautifully decorated that the sight nearly deprived me of my appetite.	true	702.23	716.41	22.54622
3994_156757_000031_000000	"Mumps.	"Mumps.	true	718.25	719.17	27.767681
3994_156757_000031_000001	Bite a pickle and see if it ain't so!" exclaimed a neighbor to whom Georgia was showing her painful and swollen face.	Bite a pickle and see if it ain't so!" exclaimed a neighbor to whom Georgia was showing her painful and swollen face.	false	719.33	725.38	23.64753
3994_156757_000031_000002	True enough, the least taste of anything sour produced the tell-tale shock.	True enough, the least taste of anything sour produced the tell tale shock.	true	725.9	729.73	27.336582
3994_156757_000031_000003	But the most aggravating feature of the illness was that it developed the week that sister Elitha and Mr. Benjamin W. Wilder were married in Sacramento; and when they reached Sonoma on their wedding tour, we could not visit with them, because neither had had the disease.	But the most aggravating feature of the illness was that it developed the week that sister Elitha and mr Benjamin w Wilder were married in Sacramento; and when they reached Sonoma on their wedding tour, we could not visit with them, because neither had had the disease.	true	730.19	743.26	21
3994_156757_000032_000000	They came to our house, and we had a hurried little talk with a closed window between us, and were favorably impressed by our tall "Brother Ben," who had very blue eyes and soft brown hair.	They came to our house, and we had a hurried little talk with a closed window between us, and were favorably impressed by our tall "Brother Ben," who had very blue eyes and soft brown hair.	true	744.32	755.14	21.118156
3994_156757_000032_000001	He was the second of the three Wilder brothers, who had been among the early gold-seekers, and tried roughing it in the mines.	He was the second of the three Wilder brothers, who had been among the early gold seekers, and tried roughing it in the mines.	true	755.66	761.95	21.410395
3994_156757_000032_000002	Though a native of Rhode Island, and of Puritan ancestry, he was quite Western in appearance.	Though a native of Rhode Island, and of Puritan ancestry, he was quite Western in appearance.	true	763.88	769.51	21.369122
3994_156757_000033_000000	Though not a wealthy man, he had a competency, for he and his elder brother were owners of an undivided half of Ranchos de los Cazadores (three leagues of land in Sacramento Valley), which was well stocked with horned cattle and good horses.	Though not a wealthy man, he had a competency, for he and his elder brother were owners of an undivided half of Ranchos de los Cazadores (three leagues of land in Sacramento Valley), which was well stocked with horned cattle and good horses.	false	770.15	783.79	21.109688
3994_156757_000033_000001	He was also interested in a stage line running between Sacramento and the gold regions.	He was also interested in a stage line running between Sacramento and the gold regions.	true	784.19	788.83	20.198528
3994_156757_000033_000002	He encouraged Elitha in her wish to make us members of their household, and the home they had to offer us was convenient to public schools; yet for obvious reasons they were now silent on the subject.	He encouraged Elitha in her wish to make us members of their household, and the home they had to offer us was convenient to public schools; yet for obvious reasons they were now silent on the subject.	false	789.08	799.2	21.18194
3994_156757_000034_000000	CHAPTER XXX	CHAPTER thirty	false	799.2	800.97	-20
3994_156757_000035_000000	IDEALS AND LONGINGS--THE FUTURE--CHRISTMAS.	IDEALS AND LONGINGS-THE FUTURE-CHRISTMAS.	false	800.97	802.08	100
3994_156757_000036_000000	At the time of which I now speak, I was in my eleventh year, but older in feeling and thought.	At the time of which I now speak, I was in my eleventh year, but older in feeling and thought.	false	802.08	803.19	20
3994_156757_000036_000001	I had ideals and wanted to live up to them, and my way was blocked by difficulties.	I had ideals and wanted to live up to them, and my way was blocked by difficulties.	false	803.19	804.39	16.427084
3994_156757_000036_000002	Often, in the cowyard, I would say to the dumb creatures before me,	Often, in the cowyard, I would say to the dumb creatures before me,	false	804.39	805.35	13
