3994_156757_000001_000001	MARY'S HALL--THANKSGIVING DAY IN CALIFORNIA--ANOTHER BROTHER-IN-LAW.	MARY'S HALL-THANKSGIVING DAY IN CALIFORNIA-ANOTHER BROTHER IN LAW.
3994_156757_000020_000000	We were also allowed to go to Sunday school oftener, and later, she sent me part of the term to the select school for girls recently established by Dr. Ver Mehr, an Episcopalian clergyman.	We were also allowed to go to Sunday school oftener, and later, she sent me part of the term to the select school for girls recently established by dr Ver Mehr, an Episcopalian clergyman.
3994_156757_000020_000001	In fact, my tuition was expected to offset the school's milk bill, yet that did not lessen my enthusiasm.	In fact, my tuition was expected to offset the school's milk bill, yet that did not lessen my enthusiasm.
3994_156757_000020_000002	I was eager for knowledge.	I was eager for knowledge.
3994_156757_000020_000003	I also expected to meet familiar faces in that great building, which had been the home of Mr. Jacob Leese.	I also expected to meet familiar faces in that great building, which had been the home of mr Jacob Leese.
3994_156757_000020_000005	The bell rang, I followed to the recitation hall, and was assigned a seat below the rest, because I was the only small Sonoma girl yet enrolled.	The bell rang, I followed to the recitation hall, and was assigned a seat below the rest, because I was the only small Sonoma girl yet enrolled.
3994_156757_000021_000002	Nor was there a class for me.	Nor was there a class for me.
3994_156757_000023_000002	My delighted sister was soon in touch with a crowd of other little girls, and brought home many of their bright sayings for my edification.	My delighted sister was soon in touch with a crowd of other little girls, and brought home many of their bright sayings for my edification.
3994_156757_000025_000000	Grandma was pleased that I was invited, and declared that she would send a liberal donation of milk and cheese as a mark of appreciation.	Grandma was pleased that I was invited, and declared that she would send a liberal donation of milk and cheese as a mark of appreciation.
3994_156757_000026_000000	I caught much of Georgia's spirit of delight, for I had a vivid recollection of the grand dinner given in commemoration of our very first legally appointed Thanksgiving Day in California; I had only to close my eyes, and in thought would reappear the longest and most bountifully spread table I had ever seen.	I caught much of Georgia's spirit of delight, for I had a vivid recollection of the grand dinner given in commemoration of our very first legally appointed Thanksgiving Day in California; I had only to close my eyes, and in thought would reappear the longest and most bountifully spread table I had ever seen.
3994_156757_000026_000001	Turkey, chicken, and wild duck, at the ends; a whole roasted pig in the centre, and more than enough delicious accompaniments to cover the spaces between.	Turkey, chicken, and wild duck, at the ends; a whole roasted pig in the centre, and more than enough delicious accompaniments to cover the spaces between.
3994_156757_000027_000000	There, I wore a dark calico dress and sun-bonnet, both made by poor Mrs. McCutchen of the Donner Party, who had to take in sewing for a livelihood; but to the Seminary, I should wear grandpa's gift, a costly alpaca, changeable in the sunlight to soft mingling bluish and greenish colors of the peacock.	There, I wore a dark calico dress and sun bonnet, both made by poor mrs McCutchen of the Donner Party, who had to take in sewing for a livelihood; but to the Seminary, I should wear grandpa's gift, a costly alpaca, changeable in the sunlight to soft mingling bluish and greenish colors of the peacock.
3994_156757_000027_000001	Its wide skirt reached to my shoetops, and the gathers to its full waist were gauged to a sharp peak in front.	Its wide skirt reached to my shoetops, and the gathers to its full waist were gauged to a sharp peak in front.
3994_156757_000027_000002	A wide open V from the shoulder down to the peak displayed an embroidered white Swiss chemisette.	A wide open V from the shoulder down to the peak displayed an embroidered white Swiss chemisette.
3994_156757_000027_000003	The sleeves, small at the wrist, were trimmed with folds of the material and a quilling of white lace at the hand.	The sleeves, small at the wrist, were trimmed with folds of the material and a quilling of white lace at the hand.
3994_156757_000029_000000	Did I look old fashioned?	Did I look old fashioned?
3994_156757_000029_000001	Yes, for grandma said, "Thou art like a picture I saw somewhere long ago." Then she continued brightly, "Here are thy mits, and thy little embroidered handkerchief folded in a square.	Yes, for grandma said, "Thou art like a picture I saw somewhere long ago." Then she continued brightly, "Here are thy mits, and thy little embroidered handkerchief folded in a square.
3994_156757_000029_000002	Carry it carefully so it won't get mussed before the company see it, and come not back late for milking."	Carry it carefully so it won't get mussed before the company see it, and come not back late for milking."
3994_156757_000030_000000	The Seminary playground was so noisy with chatter and screams of joy, that it was impossible to remember all the games we played; and later the dining-room and its offerings were so surprising and so beautifully decorated that the sight nearly deprived me of my appetite.	The Seminary playground was so noisy with chatter and screams of joy, that it was impossible to remember all the games we played; and later the dining room and its offerings were so surprising and so beautifully decorated that the sight nearly deprived me of my appetite.
3994_156757_000031_000000	"Mumps.	"Mumps.
3994_156757_000031_000002	True enough, the least taste of anything sour produced the tell-tale shock.	True enough, the least taste of anything sour produced the tell tale shock.
3994_156757_000031_000003	But the most aggravating feature of the illness was that it developed the week that sister Elitha and Mr. Benjamin W. Wilder were married in Sacramento; and when they reached Sonoma on their wedding tour, we could not visit with them, because neither had had the disease.	But the most aggravating feature of the illness was that it developed the week that sister Elitha and mr Benjamin w Wilder were married in Sacramento; and when they reached Sonoma on their wedding tour, we could not visit with them, because neither had had the disease.
3994_156757_000032_000000	They came to our house, and we had a hurried little talk with a closed window between us, and were favorably impressed by our tall "Brother Ben," who had very blue eyes and soft brown hair.	They came to our house, and we had a hurried little talk with a closed window between us, and were favorably impressed by our tall "Brother Ben," who had very blue eyes and soft brown hair.
3994_156757_000032_000001	He was the second of the three Wilder brothers, who had been among the early gold-seekers, and tried roughing it in the mines.	He was the second of the three Wilder brothers, who had been among the early gold seekers, and tried roughing it in the mines.
3994_156757_000032_000002	Though a native of Rhode Island, and of Puritan ancestry, he was quite Western in appearance.	Though a native of Rhode Island, and of Puritan ancestry, he was quite Western in appearance.
3994_156757_000033_000001	He was also interested in a stage line running between Sacramento and the gold regions.	He was also interested in a stage line running between Sacramento and the gold regions.
