5092_28465_000000_000000	Chapter VIII	Chapter eight	false	0.78	20.2	24.663607
5092_28465_000006_000003	Seedling trees and bushes also were growing among the flowers.	Seedling trees and bushes also were growing among the flowers.	true	352.91	356.89	20.811394
5092_28465_000006_000004	Admiring these novel floating gardens, I struck out for the middle of the pure white glacier, where the ice seemed smoother, and then held straight on for about eight miles, where I reluctantly turned back to meet the steamer, greatly regretting that I had not brought a week's supply of hardtack to allow me to explore the glacier to its head, and then trust to some passing canoe to take me down to Buck Station, from which I could explore the Big Stickeen Glacier.	Admiring these novel floating gardens, I struck out for the middle of the pure white glacier, where the ice seemed smoother, and then held straight on for about eight miles, where I reluctantly turned back to meet the steamer, greatly regretting that I had not brought a week's supply of hardtack to allow me to explore the glacier to its head, and then trust to some passing canoe to take me down to Buck Station, from which I could explore the Big Stickeen Glacier.	true	356.93	385.48	23.106415
5092_28465_000007_000000	Altogether, I saw about fifteen or sixteen miles of the main trunk. The grade is almost regular, and the walls on either hand are about from two to three thousand feet high, sculptured like those of Yosemite Valley.	Altogether, I saw about fifteen or sixteen miles of the main trunk. The grade is almost regular, and the walls on either hand are about from two to three thousand feet high, sculptured like those of Yosemite Valley.	true	385.91	400.06	22.074053
5092_28465_000007_000001	I found no difficulty of an extraordinary kind.	I found no difficulty of an extraordinary kind.	false	400.52	403.99	21.107918
5092_28465_000007_000002	Many a crevasse had to be crossed, but most of them were narrow and easily jumped, while the few wide ones that lay in my way were crossed on sliver bridges or avoided by passing around them.	Many a crevasse had to be crossed, but most of them were narrow and easily jumped, while the few wide ones that lay in my way were crossed on sliver bridges or avoided by passing around them.	false	404.18	416.47	20.180407
5092_28465_000007_000003	The structure of the glacier was strikingly revealed on its melting surface.	The structure of the glacier was strikingly revealed on its melting surface.	true	416.63	420.85	23.420704
5092_28465_000007_000004	It is made up of thin vertical or inclined sheets or slabs set on edge and welded together.	It is made up of thin vertical or inclined sheets or slabs set on edge and welded together.	true	421.07	427.06	22
5092_28465_000007_000005	They represent, I think, the successive snowfalls from heavy storms on the tributaries.	They represent, I think, the successive snowfalls from heavy storms on the tributaries.	true	427.34	432.7	23.226116
5092_28465_000007_000006	One of the tributaries on the right side, about three miles above the front, has been entirely melted off from the trunk and has receded two or three miles, forming an independent glacier.	One of the tributaries on the right side, about three miles above the front, has been entirely melted off from the trunk and has receded two or three miles, forming an independent glacier.	true	433.13	444.16	21.681665
5092_28465_000007_000007	Across the mouth of this abandoned part of its channel the main glacier flows, forming a dam which gives rise to a lake.	Across the mouth of this abandoned part of its channel the main glacier flows, forming a dam which gives rise to a lake.	true	444.26	451.54	22.910564
5092_28465_000007_000008	On the head of the detached tributary there are some five or six small residual glaciers, the drainage of which, with that of the snowy mountain slopes above them, discharges into the lake, whose outlet is through a channel or channels beneath the damming glacier. Now these sub-channels are occasionally blocked and the water rises until it flows alongside of the glacier, but as the dam is a moving one, a grand outburst is sometimes made, which, draining the large lake, produces a flood of amazing power, sweeping down immense quantities of moraine material and raising the river all the way down to its mouth, so that several trips may occasionally be made by the steamers after the season of low water has laid them up for the year. The occurrence of these floods are, of course, well known to the Indians and steamboat men, though they know nothing of their cause. They simply remark, "The Dirt Glacier has broken out again."	On the head of the detached tributary there are some five or six small residual glaciers, the drainage of which, with that of the snowy mountain slopes above them, discharges into the lake, whose outlet is through a channel or channels beneath the damming glacier. Now these sub channels are occasionally blocked and the water rises until it flows alongside of the glacier, but as the dam is a moving one, a grand outburst is sometimes made, which, draining the large lake, produces a flood of amazing power, sweeping down immense quantities of moraine material and raising the river all the way down to its mouth, so that several trips may occasionally be made by the steamers after the season of low water has laid them up for the year. The occurrence of these floods are, of course, well known to the Indians and steamboat men, though they know nothing of their cause. They simply remark, "The Dirt Glacier has broken out again."	false	451.73	510.1	21.010294
5092_28465_000008_000000	I greatly enjoyed my walk up this majestic ice-river, charmed by the pale-blue, ineffably fine light in the crevasses, moulins, and wells, and the innumerable azure pools in basins of azure ice, and the network of surface streams, large and small, gliding, swirling with wonderful grace of motion in their frictionless channels, calling forth devout admiration at almost every step and filling the mind with a sense of Nature's endless beauty and power.	I greatly enjoyed my walk up this majestic ice river, charmed by the pale blue, ineffably fine light in the crevasses, moulins, and wells, and the innumerable azure pools in basins of azure ice, and the network of surface streams, large and small, gliding, swirling with wonderful grace of motion in their frictionless channels, calling forth devout admiration at almost every step and filling the mind with a sense of Nature's endless beauty and power.	false	510.59	539.8	20
5092_28465_000008_000001	Looking ahead from the middle of the glacier, you see the broad white flood, though apparently rigid as iron, sweeping in graceful curves between its high mountain-like walls, small glaciers hanging in the hollows on either side, and snow in every form above them, and the great down-plunging granite buttresses and headlands of the walls marvelous in bold massive sculpture; forests in side canyons to within fifty feet of the glacier; avalanche pathways overgrown with alder and willow; innumerable cascades keeping up a solemn harmony of water sounds blending with those of the glacier moulins and rills; and as far as the eye can reach, tributary glaciers at short intervals silently descending from their high, white fountains to swell the grand central ice-river.	Looking ahead from the middle of the glacier, you see the broad white flood, though apparently rigid as iron, sweeping in graceful curves between its high mountain like walls, small glaciers hanging in the hollows on either side, and snow in every form above them, and the great down plunging granite buttresses and headlands of the walls marvelous in bold massive sculpture; forests in side canyons to within fifty feet of the glacier; avalanche pathways overgrown with alder and willow; innumerable cascades keeping up a solemn harmony of water sounds blending with those of the glacier moulins and rills; and as far as the eye can reach, tributary glaciers at short intervals silently descending from their high, white fountains to swell the grand central ice river.	true	540.23	589.45	20.30612
5092_28465_000009_000000	In the angle formed by the main glacier and the lake that gives rise to the river floods, there is a massive granite dome sparsely feathered with trees, and just beyond this yosemitic rock is a mountain, perhaps ten thousand feet high, laden with ice and snow which seemed pure pearly white in the morning light.	In the angle formed by the main glacier and the lake that gives rise to the river floods, there is a massive granite dome sparsely feathered with trees, and just beyond this yosemitic rock is a mountain, perhaps ten thousand feet high, laden with ice and snow which seemed pure pearly white in the morning light.	true	590.15	610.81	21.78074
5092_28465_000009_000001	Last evening as seen from camp it was adorned with a cloud streamer, and both the streamer and the peak were flushed in the alpenglow.	Last evening as seen from camp it was adorned with a cloud streamer, and both the streamer and the peak were flushed in the alpenglow.	true	610.82	619.75	22.979462
5092_28465_000009_000002	A mile or two above this mountain, on the opposite side of the glacier, there is a rock like the Yosemite Sentinel; and in general all the wall rocks as far as I saw them are more or less yosemitic in form and color and streaked with cascades.	A mile or two above this mountain, on the opposite side of the glacier, there is a rock like the Yosemite Sentinel; and in general all the wall rocks as far as I saw them are more or less yosemitic in form and color and streaked with cascades.	true	620	636.76	21.668879
5092_28465_000010_000000	But wonderful as this noble ice-river is in size and depth and in power displayed, far more wonderful was the vastly greater glacier three or four thousand feet, or perhaps a mile, in depth, whose size and general history is inscribed on the sides of the walls and over the tops of the rocks in characters which have not yet been greatly dimmed by the weather.	But wonderful as this noble ice river is in size and depth and in power displayed, far more wonderful was the vastly greater glacier three or four thousand feet, or perhaps a mile, in depth, whose size and general history is inscribed on the sides of the walls and over the tops of the rocks in characters which have not yet been greatly dimmed by the weather.	false	637.49	659.38	20.356264
5092_28465_000010_000001	Comparing its present size with that when it was in its prime, is like comparing a small rivulet to the same stream when it is a roaring torrent.	Comparing its present size with that when it was in its prime, is like comparing a small rivulet to the same stream when it is a roaring torrent.	false	659.87	668.56	22
5092_28465_000011_000000	The return trip to the camp past the shelving cliff and through the weary devil's-club jungle was made in a few hours.	The return trip to the camp past the shelving cliff and through the weary devil's club jungle was made in a few hours.	true	669.08	675.91	20.630156
5092_28465_000011_000001	The Indians had gone off picking berries, but were on the watch for me and hailed me as I approached.	The Indians had gone off picking berries, but were on the watch for me and hailed me as I approached.	true	676.34	681.97	19.85486
5092_28465_000011_000002	The captain had called for me, and, after waiting three hours, departed for Wrangell without leaving any food, to make sure, I suppose, of a quick return of his Indians and canoe.	The captain had called for me, and, after waiting three hours, departed for Wrangell without leaving any food, to make sure, I suppose, of a quick return of his Indians and canoe.	true	682.19	692.41	21.434834
5092_28465_000011_000003	This was no serious matter, however, for the swift current swept us down to Buck Station, some thirty-five miles distant, by eight o'clock.	This was no serious matter, however, for the swift current swept us down to Buck Station, some thirty five miles distant, by eight o'clock.	true	692.96	701.65	22.2301
5092_28465_000011_000004	Here I remained to study the "Big Stickeen Glacier," but the Indians set out for Wrangell soon after supper, though I invited them to stay till morning.	Here I remained to study the "Big Stickeen Glacier," but the Indians set out for Wrangell soon after supper, though I invited them to stay till morning.	true	701.84	711.37	18.518604
5092_28465_000012_000000	The weather that morning, August 27, was dark and rainy, and I tried to persuade myself that I ought to rest a day before setting out on new ice work.	The weather that morning, august twenty seventh, was dark and rainy, and I tried to persuade myself that I ought to rest a day before setting out on new ice work.	true	711.95	722.41	22.099686
5092_28465_000012_000001	But just across the river the "Big Glacier" was staring me in the face, pouring its majestic flood through a broad mountain gateway and expanding in the spacious river valley to a width of four or five miles, while dim in the gray distance loomed its high mountain fountains.	But just across the river the "Big Glacier" was staring me in the face, pouring its majestic flood through a broad mountain gateway and expanding in the spacious river valley to a width of four or five miles, while dim in the gray distance loomed its high mountain fountains.	false	722.57	739.93	22.905483
5092_28465_000012_000002	So grand an invitation displayed in characters so telling was of course irresistible, and body-care and weather-care vanished.	So grand an invitation displayed in characters so telling was of course irresistible, and body care and weather care vanished.	true	740.33	748.87	21.963036
5092_28465_000013_000000	Mr. Choquette, the keeper of the station, ferried me across the river, and I spent the day in getting general views and planning the work that had been long in mind.	mr Choquette, the keeper of the station, ferried me across the river, and I spent the day in getting general views and planning the work that had been long in mind.	false	749.18	759.46	23.274864
5092_28465_000013_000001	I first traced the broad, complicated terminal moraine to its southern extremity, climbed up the west side along the lateral moraine three or four miles, making my way now on the glacier, now on the moraine-covered bank, and now compelled to climb up through the timber and brush in order to pass some rocky headland, until I reached a point commanding a good general view of the lower end of the glacier.	I first traced the broad, complicated terminal moraine to its southern extremity, climbed up the west side along the lateral moraine three or four miles, making my way now on the glacier, now on the moraine covered bank, and now compelled to climb up through the timber and brush in order to pass some rocky headland, until I reached a point commanding a good general view of the lower end of the glacier.	true	759.95	785.71	20.987734
5092_28465_000013_000002	Heavy, blotting rain then began to fall, and I retraced my steps, oftentimes stopping to admire the blue ice-caves into which glad, rejoicing streams from the mountain-side were hurrying as if going home, while the glacier seemed to open wide its crystal gateways to welcome them.	Heavy, blotting rain then began to fall, and I retraced my steps, oftentimes stopping to admire the blue ice caves into which glad, rejoicing streams from the mountain side were hurrying as if going home, while the glacier seemed to open wide its crystal gateways to welcome them.	false	786.2	804.7	21.513386
5092_28465_000014_000000	The following morning blotting rain was still falling, but time and work was too precious to mind it.	The following morning blotting rain was still falling, but time and work was too precious to mind it.	true	805.28	811.24	19.494068
5092_28465_000014_000001	Kind Mr. Choquette put me across the river in a canoe, with a lot of biscuits his Indian wife had baked for me and some dried salmon, a little sugar and tea, a blanket, and a piece of light sheeting for shelter from rain during the night, all rolled into one bundle.	Kind mr Choquette put me across the river in a canoe, with a lot of biscuits his Indian wife had baked for me and some dried salmon, a little sugar and tea, a blanket, and a piece of light sheeting for shelter from rain during the night, all rolled into one bundle.	true	811.7	828.28	19.732141
5092_28465_000015_000000	"When shall I expect you back?" inquired Choquette, when I bade him good-bye.	"When shall I expect you back?" inquired Choquette, when I bade him good bye.	true	828.86	834.06	24.549341
5092_28465_000016_000000	"Oh, any time," I replied.	"Oh, any time," I replied.	true	834.06	837.13	18.608055
5092_28465_000016_000001	"I shall see as much as possible of the glacier, and I know not how long it will hold me."	"I shall see as much as possible of the glacier, and I know not how long it will hold me."	true	837.29	842.86	21.464493
5092_28465_000017_000000	"Well, but when will I come to look for you, if anything happens? Where are you going to try to go?	"Well, but when will I come to look for you, if anything happens? Where are you going to try to go?	true	843.89	850.57	22.157497
5092_28465_000017_000001	Years ago Russian officers from Sitka went up the glacier from here and none ever returned.	Years ago Russian officers from Sitka went up the glacier from here and none ever returned.	false	851	857.44	20.609686
5092_28465_000017_000002	It's a mighty dangerous glacier, all full of damn deep holes and cracks. You've no idea what ticklish deceiving traps are scattered over it."	It's a mighty dangerous glacier, all full of damn deep holes and cracks. You've no idea what ticklish deceiving traps are scattered over it."	false	857.84	866.83	22.845285
5092_28465_000018_000000	"Yes, I have," I said.	"Yes, I have," I said.	true	867.32	869.7	21.37635
5092_28465_000018_000001	"I have seen glaciers before, though none so big as this one.	"I have seen glaciers before, though none so big as this one.	false	869.7	873.07	22.880985
5092_28465_000018_000002	Do not look for me until I make my appearance on the river-bank.	Do not look for me until I make my appearance on the river bank.	true	873.5	876.82	21.40233
5092_28465_000018_000003	Never mind me.	Never mind me.	true	877.16	878.32	18.646921
5092_28465_000018_000004	I am used to caring for myself." And so, shouldering my bundle, I trudged off through the moraine boulders and thickets.	I am used to caring for myself." And so, shouldering my bundle, I trudged off through the moraine boulders and thickets.	true	878.51	885.85	20.403818
5092_28465_000019_000000	My general plan was to trace the terminal moraine to its extreme north end, pitch my little tent, leave the blanket and most of the hardtack, and from this main camp go and come as hunger required or allowed.	My general plan was to trace the terminal moraine to its extreme north end, pitch my little tent, leave the blanket and most of the hardtack, and from this main camp go and come as hunger required or allowed.	false	886.43	899.53	22.863274
5092_28465_000020_000000	After examining a cross-section of the broad moraine, roughened by concentric masses, marking interruptions in the recession of the glacier of perhaps several centuries, in which the successive moraines were formed and shoved together in closer or wider order, I traced the moraine to its northeastern extremity and ascended the glacier for several miles along the left margin, then crossed it at the grand cataract and down the right side to the river, and along the moraine to the point of beginning.	After examining a cross section of the broad moraine, roughened by concentric masses, marking interruptions in the recession of the glacier of perhaps several centuries, in which the successive moraines were formed and shoved together in closer or wider order, I traced the moraine to its northeastern extremity and ascended the glacier for several miles along the left margin, then crossed it at the grand cataract and down the right side to the river, and along the moraine to the point of beginning.	true	899.99	931.96	19.992903
5092_28465_000021_000000	On the older portions of this moraine I discovered several kettles in process of formation and was pleased to find that they conformed in the most striking way with the theory I had already been led to make from observations on the old kettles which form so curious a feature of the drift covering Wisconsin and Minnesota and some of the larger moraines of the residual glaciers in the California Sierra.	On the older portions of this moraine I discovered several kettles in process of formation and was pleased to find that they conformed in the most striking way with the theory I had already been led to make from observations on the old kettles which form so curious a feature of the drift covering Wisconsin and Minnesota and some of the larger moraines of the residual glaciers in the California Sierra.	true	932.72	958.62	20
5092_28465_000021_000001	I found a pit eight or ten feet deep with raw shifting sides countersunk abruptly in the rough moraine material, and at the bottom, on sliding down by the aid of a lithe spruce tree that was being undermined, I discovered, after digging down a foot or two, that the bottom was resting on a block of solid blue ice which had been buried in the moraine perhaps a century or more, judging by the age of the tree that had grown above it.	I found a pit eight or ten feet deep with raw shifting sides countersunk abruptly in the rough moraine material, and at the bottom, on sliding down by the aid of a lithe spruce tree that was being undermined, I discovered, after digging down a foot or two, that the bottom was resting on a block of solid blue ice which had been buried in the moraine perhaps a century or more, judging by the age of the tree that had grown above it.	true	958.62	985.72	20.604824
5092_28465_000021_000002	Probably more than another century will be required to complete the formation of this kettle by the slow melting of the buried ice-block.	Probably more than another century will be required to complete the formation of this kettle by the slow melting of the buried ice block.	false	986.24	994.6	19.62872
5092_28465_000021_000003	The moraine material of course was falling in as the ice melted, and the sides maintained an angle as steep as the material would lie.	The moraine material of course was falling in as the ice melted, and the sides maintained an angle as steep as the material would lie.	true	994.91	1003.27	21.306238
5092_28465_000021_000004	All sorts of theories have been advanced for the formation of these kettles, so abundant in the drift over a great part of the United States, and I was glad to be able to set the question at rest, at least as far as I was concerned.	All sorts of theories have been advanced for the formation of these kettles, so abundant in the drift over a great part of the United States, and I was glad to be able to set the question at rest, at least as far as I was concerned.	true	1003.58	1017.22	20.615513
5092_28465_000022_000000	The glacier and the mountains about it are on so grand a scale and so generally inaccessible in the ordinary sense, it seemed to matter but little what course I pursued.	The glacier and the mountains about it are on so grand a scale and so generally inaccessible in the ordinary sense, it seemed to matter but little what course I pursued.	true	1017.62	1027.84	19.972296
5092_28465_000022_000001	Everything was full of interest, even the weather, though about as unfavorable as possible for wide views, and scrambling through the moraine jungle brush kept one as wet as if all the way was beneath a cascade.	Everything was full of interest, even the weather, though about as unfavorable as possible for wide views, and scrambling through the moraine jungle brush kept one as wet as if all the way was beneath a cascade.	true	1028.03	1040.77	19.897959
5092_28465_000023_000000	I pushed on, with many a rest and halt to admire the bold and marvelously sculptured ice-front, looking all the grander and more striking in the gray mist with all the rest of the glacier shut out, until I came to a lake about two hundred yards wide and two miles long with scores of small bergs floating in it, some aground, close inshore against the moraine, the light playing on their angles and shimmering in their blue caves in ravishing tones.	I pushed on, with many a rest and halt to admire the bold and marvelously sculptured ice front, looking all the grander and more striking in the gray mist with all the rest of the glacier shut out, until I came to a lake about two hundred yards wide and two miles long with scores of small bergs floating in it, some aground, close inshore against the moraine, the light playing on their angles and shimmering in their blue caves in ravishing tones.	false	1041.02	1068.34	20.842566
5092_28465_000023_000001	This proved to be the largest of the series of narrow lakelets that lie in shallow troughs between the moraine and the glacier, a miniature Arctic Ocean, its ice-cliffs played upon by whispering, rippling waveless and its small berg floes drifting in its currents or with the wind, or stranded here and there along its rocky moraine shore.	This proved to be the largest of the series of narrow lakelets that lie in shallow troughs between the moraine and the glacier, a miniature Arctic Ocean, its ice cliffs played upon by whispering, rippling waveless and its small berg floes drifting in its currents or with the wind, or stranded here and there along its rocky moraine shore.	false	1068.89	1091.35	21.254684
5092_28465_000024_000000	Hundreds of small rills and good-sized streams were falling into the lake from the glacier, singing in low tones, some of them pouring in sheer falls over blue cliffs from narrow ice-valleys, some spouting from pipelike channels in the solid front of the glacier, others gurgling out of arched openings at the base.	Hundreds of small rills and good sized streams were falling into the lake from the glacier, singing in low tones, some of them pouring in sheer falls over blue cliffs from narrow ice valleys, some spouting from pipelike channels in the solid front of the glacier, others gurgling out of arched openings at the base.	false	1092.02	1112.14	20.4897
5092_28465_000024_000001	All these water-streams were riding on the parent ice-stream, their voices joined in one grand anthem telling the wonders of their near and far-off fountains. The lake itself is resting in a basin of ice, and the forested moraine, though seemingly cut off from the glacier and probably more than a century old, is in great part resting on buried ice left behind as the glacier receded, and melting slowly on account of the protection afforded by the moraine detritus, which keeps shifting and falling on the inner face long after it is overgrown with lichens, mosses, grasses, bushes, and even good-sized trees; these changes going on with marvelous deliberation until in fullness of time the whole moraine settles down upon its bedrock foundation.	All these water streams were riding on the parent ice stream, their voices joined in one grand anthem telling the wonders of their near and far off fountains. The lake itself is resting in a basin of ice, and the forested moraine, though seemingly cut off from the glacier and probably more than a century old, is in great part resting on buried ice left behind as the glacier receded, and melting slowly on account of the protection afforded by the moraine detritus, which keeps shifting and falling on the inner face long after it is overgrown with lichens, mosses, grasses, bushes, and even good sized trees; these changes going on with marvelous deliberation until in fullness of time the whole moraine settles down upon its bedrock foundation.	false	1112.45	1163.44	20.208874
5092_28465_000025_000000	The outlet of the lake is a large stream, almost a river in size, one of the main draining streams of the glacier.	The outlet of the lake is a large stream, almost a river in size, one of the main draining streams of the glacier.	true	1163.99	1171.36	22.274437
5092_28465_000025_000001	I attempted to ford it where it begins to break in rapids in passing over the moraine, but found it too deep and rough on the bottom.	I attempted to ford it where it begins to break in rapids in passing over the moraine, but found it too deep and rough on the bottom.	true	1171.76	1180.17	23.193058
