5583_38026_000000_000000	"Oh, I'm going out into the world to try and get a place," said the lad.	"Oh, I'm going out into the world to try and get a place," said the lad.
5583_38026_000048_000001	Then he went up to the king's palace and begged first for leave to be in the kitchen, and bring in wood and water for the cook, but then the kitchen-maid asked him:	Then he went up to the king's palace and begged first for leave to be in the kitchen, and bring in wood and water for the cook, but then the kitchen maid asked him:
5583_38026_000049_000000	"Why do you wear that ugly wig?	"Why do you wear that ugly wig?
5583_38026_000049_000001	Off with it.	Off with it.
5583_38026_000049_000002	I won't have such a fright in here."	I won't have such a fright in here."
5583_38026_000050_000000	"No, I can't do that," said the lad; "for I'm not quite right in my head."	"No, I can't do that," said the lad; "for I'm not quite right in my head."
5583_38026_000051_000000	"Do you think then I'll have you in here about the food," cried the cook.	"Do you think then I'll have you in here about the food," cried the cook.
5583_38026_000051_000001	"Away with you to the coachman; you're best fit to go and clean the stable."	"Away with you to the coachman; you're best fit to go and clean the stable."
5583_38026_000053_000000	"You'd best go down to the gardener," said he; "you're best fit to go about and dig in the garden."	"You'd best go down to the gardener," said he; "you're best fit to go about and dig in the garden."
5583_38026_000054_000000	So he got leave to be with the gardener, but none of the other servants would sleep with him, and so he had to sleep by himself under the steps of the summer-house.	So he got leave to be with the gardener, but none of the other servants would sleep with him, and so he had to sleep by himself under the steps of the summer house.
5583_38026_000054_000001	It stood upon beams, and had a high staircase.	It stood upon beams, and had a high staircase.
5583_38026_000054_000002	Under that he got some turf for his bed, and there he lay as well as he could.	Under that he got some turf for his bed, and there he lay as well as he could.
5583_38026_000055_000000	So, when he had been some time at the palace, it happened one morning, just as the sun rose, that the lad had taken off his wig, and stood and washed himself, and then he was so handsome, it was a joy to look at him.	So, when he had been some time at the palace, it happened one morning, just as the sun rose, that the lad had taken off his wig, and stood and washed himself, and then he was so handsome, it was a joy to look at him.
5583_38026_000056_000001	Then she asked the gardener why he lay out there under the steps.	Then she asked the gardener why he lay out there under the steps.
5583_38026_000057_000000	"Oh," said the gardener, "none of his fellow-servants will sleep with him; that's why."	"Oh," said the gardener, "none of his fellow servants will sleep with him; that's why."
5583_38026_000059_000000	So the gardener told that to the lad.	So the gardener told that to the lad.
5583_38026_000060_000000	"Do you think I'll do any such thing?" said the lad.	"Do you think I'll do any such thing?" said the lad.
5583_38026_000061_000000	"Yes," said the gardener, "you've good reason to fear any such thing, you who are so handsome."	"Yes," said the gardener, "you've good reason to fear any such thing, you who are so handsome."
5583_38026_000062_000000	"Well, well," said the lad, "since it's her will, I suppose I must go."	"Well, well," said the lad, "since it's her will, I suppose I must go."
5583_38026_000064_000000	"Go gently, and just pull his wig off;" and she went up to him.	"Go gently, and just pull his wig off;" and she went up to him.
5583_38026_000065_000000	But just as she was going to whisk it off, he caught hold of it with both hands, and said she should never have it.	But just as she was going to whisk it off, he caught hold of it with both hands, and said she should never have it.
5583_38026_000065_000001	After that he lay down again, and began to snore.	After that he lay down again, and began to snore.
5583_38026_000068_000001	He didn't do that, however, but he threw him into the prison tower; and as for his daughter, he shut her up in her own room, whence she never got leave to stir day or night. All that she begged, and all that she prayed, for the lad and herself, was no good.	He didn't do that, however, but he threw him into the prison tower; and as for his daughter, he shut her up in her own room, whence she never got leave to stir day or night. All that she begged, and all that she prayed, for the lad and herself, was no good.
5583_38026_000069_000003	So he got that, and an old broken-down hack besides, which went upon three legs, and dragged the fourth after it.	So he got that, and an old broken down hack besides, which went upon three legs, and dragged the fourth after it.
5583_38026_000071_000000	Then they went out to meet the foe; but they hadn't got far from the palace before the lad got stuck fast in a bog with his hack.	Then they went out to meet the foe; but they hadn't got far from the palace before the lad got stuck fast in a bog with his hack.
5583_38026_000071_000001	There he sat and dug his spurs in, and cried, "Gee up! gee up!" to his hack. And all the rest had their fun out of this, and laughed, and made game of the lad as they rode past him.	There he sat and dug his spurs in, and cried, "Gee up! gee up!" to his hack. And all the rest had their fun out of this, and laughed, and made game of the lad as they rode past him.
5583_38026_000072_000002	When they went back, there sat the lad still in the bog, and dug his spurs into his three-legged hack, and they all laughed again.	When they went back, there sat the lad still in the bog, and dug his spurs into his three legged hack, and they all laughed again.
5583_38026_000073_000000	"No! only just look," they said; "there the fool sits still."	"No! only just look," they said; "there the fool sits still."
5583_38026_000074_000000	The next day when they went out to battle, they saw the lad sitting there still, so they laughed again, and made game of him; but as soon as ever they had ridden by, the lad ran again to the lime-tree, and all happened as on the first day.	The next day when they went out to battle, they saw the lad sitting there still, so they laughed again, and made game of him; but as soon as ever they had ridden by, the lad ran again to the lime tree, and all happened as on the first day.
5583_38026_000075_000000	So when they went home at night, and saw the lad still sitting there on his hack, they burst out laughing at him again, and one of them shot an arrow at him and hit him in the leg.	So when they went home at night, and saw the lad still sitting there on his hack, they burst out laughing at him again, and one of them shot an arrow at him and hit him in the leg.
5583_38026_000077_000000	"Gee up! gee up!" he said to his hack.	"Gee up! gee up!" he said to his hack.
5583_38026_000079_000000	And then they rode on, and laughed at him till they were fit to fall from their horses.	And then they rode on, and laughed at him till they were fit to fall from their horses.
5583_38026_000079_000001	When they were gone, he ran again to the lime, and came up to the battle just in the very nick of time.	When they were gone, he ran again to the lime, and came up to the battle just in the very nick of time.
5583_38026_000079_000002	This day he slew the enemy's king, and then the war was over at once.	This day he slew the enemy's king, and then the war was over at once.
5583_38026_000081_000000	"Here comes my own true love," she said.	"Here comes my own true love," she said.
5583_38026_000082_000000	Then he took the pot of ointment and rubbed himself on the leg, and after that he rubbed all the wounded, and so they all got well again in a moment.	Then he took the pot of ointment and rubbed himself on the leg, and after that he rubbed all the wounded, and so they all got well again in a moment.
5583_38026_000084_000001	So just take the sword, and cut my head off."	So just take the sword, and cut my head off."
