5583_38026_000000_000000	"Oh, I'm going out into the world to try and get a place," said the lad.	"Oh, I'm going out into the world to try and get a place," said the lad.	true	53.01	57.34	20.599592
5583_38026_000015_000001	Well, it was the same story over again, except that the lad stood out eight days before he went in.	Well, it was the same story over again, except that the lad stood out eight days before he went in.	true	173.27	180.07	18.512197
5583_38026_000015_000002	In this room, too, he saw nothing but a shelf over the door, and a big stone, and a pitcher of water on it.	In this room, too, he saw nothing but a shelf over the door, and a big stone, and a pitcher of water on it.	true	180.62	187.18	22.780706
5583_38026_000015_000003	Well, after all, there's not much to be afraid of my seeing here, thought the lad.	Well, after all, there's not much to be afraid of my seeing here, thought the lad.	true	187.43	192.67	21.353277
5583_38026_000016_000000	But when the man came back, he asked if he had been into any of the rooms.	But when the man came back, he asked if he had been into any of the rooms.	true	193.1	197.02	21
5583_38026_000016_000001	No, the lad hadn't done anything of the kind.	No, the lad hadn't done anything of the kind.	true	197.27	200.74	20.738726
5583_38026_000017_000000	"Well, well; I'll soon see that," said the man; and when he saw the lad had been in them after all, he said:	"Well, well; I'll soon see that," said the man; and when he saw the lad had been in them after all, he said:	true	201.32	208.185	19.39773
5583_38026_000018_000000	"Ah! now I'll spare you no longer; now you must lose your life."	"Ah! now I'll spare you no longer; now you must lose your life."	true	208.185	212.29	19.747149
5583_38026_000019_000000	But the lad begged and prayed for himself again, and so this time too he got off with stripes; though he got as many as his skin would carry.	But the lad begged and prayed for himself again, and so this time too he got off with stripes; though he got as many as his skin would carry.	true	212.72	221.38	20.72986
5583_38026_000019_000001	But when he got sound and well again, he led just as easy a life as ever, and he and the man were just as good friends.	But when he got sound and well again, he led just as easy a life as ever, and he and the man were just as good friends.	true	221.78	228.61	21.267801
5583_38026_000020_000000	So a while after the man was to take another journey, and now he said he should be away three weeks, and he forbade the lad anew to go into the third room, for if he went in there he might just make up his mind at once to lose his life.	So a while after the man was to take another journey, and now he said he should be away three weeks, and he forbade the lad anew to go into the third room, for if he went in there he might just make up his mind at once to lose his life.	true	229.13	243.82	20.084965
5583_38026_000020_000001	Then after fourteen days the lad couldn't bear it, but crept into the room, but he saw nothing at all in there but a trap door on the floor; and when he lifted it up and looked down, there stood a great copper cauldron which bubbled up and boiled away down there; but he saw no fire under it.	Then after fourteen days the lad couldn't bear it, but crept into the room, but he saw nothing at all in there but a trap door on the floor; and when he lifted it up and looked down, there stood a great copper cauldron which bubbled up and boiled away down there; but he saw no fire under it.	true	244.19	262.96	22.047968
5583_38026_000021_000000	"Well, I should just like to know if it's hot," thought the lad, and struck his finger down into the broth, and when he pulled it out again, lo! it was gilded all over.	"Well, I should just like to know if it's hot," thought the lad, and struck his finger down into the broth, and when he pulled it out again, lo! it was gilded all over.	true	263.51	274.06	23.019064
5583_38026_000021_000001	So the lad scraped and scrubbed it, but the gilding wouldn't go off, so he bound a piece of rag round it; and when the man came back, and asked what was the matter with his finger, the lad said he'd given it such a bad cut.	So the lad scraped and scrubbed it, but the gilding wouldn't go off, so he bound a piece of rag round it; and when the man came back, and asked what was the matter with his finger, the lad said he'd given it such a bad cut.	true	274.43	288.1	22.704557
5583_38026_000021_000002	But the man tore off the rag, and then he soon saw what was the matter with the finger. First he wanted to kill the lad outright, but when he wept, and begged, he only gave him such a thrashing that he had to keep his bed three days.	But the man tore off the rag, and then he soon saw what was the matter with the finger. First he wanted to kill the lad outright, but when he wept, and begged, he only gave him such a thrashing that he had to keep his bed three days.	true	288.56	303.07	22.633432
5583_38026_000021_000003	After that the man took down a pot from the wall, and rubbed him over with some stuff out of it, and so the lad was as sound and fresh as ever.	After that the man took down a pot from the wall, and rubbed him over with some stuff out of it, and so the lad was as sound and fresh as ever.	true	303.35	311.5	23.036427
5583_38026_000022_000000	So after a while the man started off again, and this time he was to be away a month.	So after a while the man started off again, and this time he was to be away a month.	true	311.99	317.53	19.535448
5583_38026_000022_000001	But before he went, he said to the lad, if he went into the fourth room he might give up all hope of saving his life.	But before he went, he said to the lad, if he went into the fourth room he might give up all hope of saving his life.	false	317.66	325.15	23.071793
5583_38026_000023_000000	Well, the lad stood out for two or three weeks, but then he couldn't hold out any longer; he must and would go into that room, and so in he stole.	Well, the lad stood out for two or three weeks, but then he couldn't hold out any longer; he must and would go into that room, and so in he stole.	true	325.49	336.13	22.14387
5583_38026_000023_000001	There stood a great black horse tied up in a stall by himself, with a manger of red-hot coals at his head and a truss of hay at his tail.	There stood a great black horse tied up in a stall by himself, with a manger of red hot coals at his head and a truss of hay at his tail.	true	336.35	346.18	22.545546
5583_38026_000023_000002	Then the lad thought this all wrong, so he changed them about, and put the hay at his head.	Then the lad thought this all wrong, so he changed them about, and put the hay at his head.	true	346.46	351.79	22.818426
5583_38026_000023_000003	Then said the _Horse_:	Then said the underscore Horse underscore:	false	352.16	354.15	23.481716
5583_38026_000024_000000	"Since you are so good at heart as to let me have some food, I'll set you free, that I will.	"Since you are so good at heart as to let me have some food, I'll set you free, that I will.	true	354.15	359.47	20.663733
5583_38026_000024_000001	For if the _Troll_ comes back and finds you here, he'll kill you outright.	For if the underscore Troll underscore comes back and finds you here, he'll kill you outright.	false	359.9	364.39	22.599823
5583_38026_000024_000002	But now you must go up to the room which lies just over this, and take a coat of mail out of those that hang there; and mind, whatever you do, don't take any of the bright ones, but the most rusty of all you see, that's the one to take; and sword and saddle you must choose for yourself just in the same way."	But now you must go up to the room which lies just over this, and take a coat of mail out of those that hang there; and mind, whatever you do, don't take any of the bright ones, but the most rusty of all you see, that's the one to take; and sword and saddle you must choose for yourself just in the same way."	false	365.15	383.8	21.763636
5583_38026_000025_000000	So the lad did all that; but it was a heavy load for him to carry them all down at once.	So the lad did all that; but it was a heavy load for him to carry them all down at once.	true	384.23	389.14	21.72597
5583_38026_000026_000000	When he came back, the _Horse_ told him to pull off his clothes and get into the cauldron which stood and boiled in the other room, and bathe himself there.	When he came back, the underscore Horse underscore told him to pull off his clothes and get into the cauldron which stood and boiled in the other room, and bathe himself there.	false	389.63	397.69	22.972462
5583_38026_000026_000001	"If I do," thought the lad, "I shall look an awful fright;" but for all that, he did as he was told.	"If I do," thought the lad, "I shall look an awful fright;" but for all that, he did as he was told.	true	397.94	404.98	22.906813
5583_38026_000026_000002	So when he had taken his bath, he became so handsome and sleek, and as red and white as milk and blood, and much stronger than he had been before.	So when he had taken his bath, he became so handsome and sleek, and as red and white as milk and blood, and much stronger than he had been before.	true	405.2	414.76	20.721308
5583_38026_000027_000000	"Do you feel any change?" asked the _Horse_.	"Do you feel any change?" asked the underscore Horse underscore.	false	415.1	417.81	22.90292
5583_38026_000028_000000	"Yes," said the lad.	"Yes," said the lad.	true	417.81	419.83	27.744108
5583_38026_000029_000000	"Try and lift me, then," said the _Horse_.	"Try and lift me, then," said the underscore Horse underscore.	false	420.17	423.48	22.806103
5583_38026_000030_000000	Oh yes! he could do that, and as for the sword, he brandished it like a feather.	Oh yes! he could do that, and as for the sword, he brandished it like a feather.	true	423.48	429.22	22.037146
5583_38026_000031_000000	"Now saddle me," said the _Horse_, "and put on the coat of mail, and then take the bramble-bush rod, and the stone, and the pitcher of water, and the pot of ointment, and then we'll be off as fast as we can."	"Now saddle me," said the underscore Horse underscore, "and put on the coat of mail, and then take the bramble bush rod, and the stone, and the pitcher of water, and the pot of ointment, and then we'll be off as fast as we can."	false	429.62	442	20.233812
5583_38026_000032_000000	So when the lad had got on the horse, off they went at such a rate, he couldn't at all tell how they went.	So when the lad had got on the horse, off they went at such a rate, he couldn't at all tell how they went.	false	442.4	448.09	22
5583_38026_000032_000001	But when he had ridden awhile, the _Horse_ said, "I think I hear a noise; look round! can you see anything?"	But when he had ridden awhile, the underscore Horse underscore said, "I think I hear a noise; look round! can you see anything?"	false	448.7	454.84	19.2903
5583_38026_000033_000000	"Yes; there are ever so many coming after us, at least a score," said the lad.	"Yes; there are ever so many coming after us, at least a score," said the lad.	true	455.12	460.78	23.924057
5583_38026_000034_000000	"Aye, aye, that's the _Troll_ coming," said the _Horse_; "now he's after us with his pack."	"Aye, aye, that's the underscore Troll underscore coming," said the underscore Horse underscore; "now he's after us with his pack."	false	461.15	467.26	24.86899
5583_38026_000035_000000	So they rode on a while, until those who followed were close behind them.	So they rode on a while, until those who followed were close behind them.	false	467.6	471.82	23.68871
5583_38026_000036_000000	"Now throw your bramble-bush rod behind you, over your shoulder," said the _Horse_; "but mind you throw it a good way off my back."	"Now throw your bramble bush rod behind you, over your shoulder," said the underscore Horse underscore; "but mind you throw it a good way off my back."	false	472.25	479.77	20.725086
5583_38026_000037_000000	So the lad did that, and all at once a close, thick bramblewood grew up behind them.	So the lad did that, and all at once a close, thick bramblewood grew up behind them.	true	480.05	486.16	23.339842
5583_38026_000037_000001	So the lad rode on a long, long time, while the _Troll_ and his crew had to go home to fetch something to hew their way through the wood.	So the lad rode on a long, long time, while the underscore Troll underscore and his crew had to go home to fetch something to hew their way through the wood.	false	486.56	494.29	20
5583_38026_000037_000002	But at last the _Horse_ said again:	But at last the underscore Horse underscore said again:	false	494.69	496.78	22.040407
5583_38026_000038_000000	"Look behind you! can you see anything now?"	"Look behind you! can you see anything now?"	true	497.54	500.53	19.616941
5583_38026_000039_000000	"Yes, ever so many," said the lad, "as many as would fill a large church."	"Yes, ever so many," said the lad, "as many as would fill a large church."	true	501.05	506.44	23.27299
5583_38026_000040_000000	"Aye, aye, that's the _Troll_ and his crew," said the _Horse_; "now he's got more to back him; but now throw down the stone, and mind you throw it far behind me."	"Aye, aye, that's the underscore Troll underscore and his crew," said the underscore Horse underscore; "now he's got more to back him; but now throw down the stone, and mind you throw it far behind me."	false	506.69	517.51	22.221226
5583_38026_000041_000000	And as soon as the lad did what the _Horse_ said, up rose a great black hill of rock behind him.	And as soon as the lad did what the underscore Horse underscore said, up rose a great black hill of rock behind him.	false	517.94	523.81	22.123615
5583_38026_000041_000001	So the _Troll_ had to be off home to fetch something to mine his way through the rock; and while the _Troll_ did that, the lad rode a good bit further on.	So the underscore Troll underscore had to be off home to fetch something to mine his way through the rock; and while the underscore Troll underscore did that, the lad rode a good bit further on.	false	524.09	532.72	21.58838
5583_38026_000041_000002	But still the _Horse_ begged him to look behind him, and then he saw a troop like a whole army behind him, and they glistened in the sunbeams.	But still the underscore Horse underscore begged him to look behind him, and then he saw a troop like a whole army behind him, and they glistened in the sunbeams.	false	533.12	541.32	21.862116
5583_38026_000042_000000	[Illustration: But still the Horse begged him to look behind him.]	[Illustration: But still the Horse begged him to look behind him.]	false	541.32	542.94	23.695496
5583_38026_000043_000000	"Aye, aye," said the _Horse_, "that's the _Troll_, and now he's got his whole band with him, so throw the pitcher of water behind you, but mind you don't spill any of it upon me."	"Aye, aye," said the underscore Horse underscore, "that's the underscore Troll underscore, and now he's got his whole band with him, so throw the pitcher of water behind you, but mind you don't spill any of it upon me."	false	542.94	553.48	22.483398
5583_38026_000044_000000	So the lad did that; but in spite of all the pains he took, he still spilt one drop on the horse's flank.	So the lad did that; but in spite of all the pains he took, he still spilt one drop on the horse's flank.	true	554.03	561.13	24.097795
5583_38026_000044_000001	So it became a great deep lake; and because of that one drop, the horse found himself far out in it, but still he swam safe to land.	So it became a great deep lake; and because of that one drop, the horse found himself far out in it, but still he swam safe to land.	true	561.56	571.6	23.480997
5583_38026_000044_000002	But when the _Trolls_ came to the lake, they lay down to drink it dry; and so they swilled and swilled till they burst.	But when the underscore Trolls underscore came to the lake, they lay down to drink it dry; and so they swilled and swilled till they burst.	false	571.94	579.82	22.220022
5583_38026_000045_000000	"Now we're rid of them," said the _Horse_.	"Now we're rid of them," said the underscore Horse underscore.	false	580.28	583.68	18.623165
5583_38026_000046_000000	So when they had gone a long, long while, they came to a green patch in a wood.	So when they had gone a long, long while, they came to a green patch in a wood.	true	583.68	588.76	17.865017
5583_38026_000047_000000	"Now, strip off all your arms," said the _Horse_, "and only put on your ragged clothes, and take the saddle off me, and let me loose, and hang all my clothing and your arms up inside that great hollow lime-tree yonder.	"Now, strip off all your arms," said the underscore Horse underscore, "and only put on your ragged clothes, and take the saddle off me, and let me loose, and hang all my clothing and your arms up inside that great hollow lime tree yonder.	false	589.22	602.35	22.563723
5583_38026_000047_000001	Then make yourself a wig of fir-moss, and go up to the king's palace, which lies close here, and ask for a place. Whenever you need me, only come here and shake the bridle, and I'll come to you."	Then make yourself a wig of fir moss, and go up to the king's palace, which lies close here, and ask for a place. Whenever you need me, only come here and shake the bridle, and I'll come to you."	true	602.84	615.52	20.73699
5583_38026_000048_000000	Yes! the lad did all his _Horse_ told him, and as soon as ever he put on the wig of moss he became so ugly, and pale, and miserable to look at, no one would have known him again.	Yes! the lad did all his underscore Horse underscore told him, and as soon as ever he put on the wig of moss he became so ugly, and pale, and miserable to look at, no one would have known him again.	false	615.86	629.02	22.073542
5583_38026_000048_000001	Then he went up to the king's palace and begged first for leave to be in the kitchen, and bring in wood and water for the cook, but then the kitchen-maid asked him:	Then he went up to the king's palace and begged first for leave to be in the kitchen, and bring in wood and water for the cook, but then the kitchen maid asked him:	true	629.27	638.59	20.43663
5583_38026_000049_000000	"Why do you wear that ugly wig?	"Why do you wear that ugly wig?	true	638.72	641.355	21.577013
5583_38026_000049_000001	Off with it.	Off with it.	true	641.355	642.28	24.665762
5583_38026_000049_000002	I won't have such a fright in here."	I won't have such a fright in here."	true	642.5	644.65	20.529766
5583_38026_000050_000000	"No, I can't do that," said the lad; "for I'm not quite right in my head."	"No, I can't do that," said the lad; "for I'm not quite right in my head."	true	644.87	649.84	23.835518
5583_38026_000051_000000	"Do you think then I'll have you in here about the food," cried the cook.	"Do you think then I'll have you in here about the food," cried the cook.	true	650.36	654.52	24.390604
5583_38026_000051_000001	"Away with you to the coachman; you're best fit to go and clean the stable."	"Away with you to the coachman; you're best fit to go and clean the stable."	true	654.59	658.93	26.182514
5583_38026_000052_000000	But when the coachman begged him to take his wig off, he got the same answer, and he wouldn't have him either.	But when the coachman begged him to take his wig off, he got the same answer, and he wouldn't have him either.	false	659.18	665.32	20.279173
5583_38026_000053_000000	"You'd best go down to the gardener," said he; "you're best fit to go about and dig in the garden."	"You'd best go down to the gardener," said he; "you're best fit to go about and dig in the garden."	true	665.63	671.05	24.808252
5583_38026_000054_000000	So he got leave to be with the gardener, but none of the other servants would sleep with him, and so he had to sleep by himself under the steps of the summer-house.	So he got leave to be with the gardener, but none of the other servants would sleep with him, and so he had to sleep by himself under the steps of the summer house.	true	671.48	680.23	23.170034
5583_38026_000054_000001	It stood upon beams, and had a high staircase.	It stood upon beams, and had a high staircase.	true	680.51	683.53	24.180218
5583_38026_000054_000002	Under that he got some turf for his bed, and there he lay as well as he could.	Under that he got some turf for his bed, and there he lay as well as he could.	true	683.81	688.51	20.037542
5583_38026_000055_000000	So, when he had been some time at the palace, it happened one morning, just as the sun rose, that the lad had taken off his wig, and stood and washed himself, and then he was so handsome, it was a joy to look at him.	So, when he had been some time at the palace, it happened one morning, just as the sun rose, that the lad had taken off his wig, and stood and washed himself, and then he was so handsome, it was a joy to look at him.	true	689.06	703.36	21.300247
5583_38026_000056_000000	So the _Princess_ saw from her window the lovely gardener's boy, and thought she had never seen any one so handsome.	So the underscore Princess underscore saw from her window the lovely gardener's boy, and thought she had never seen any one so handsome.	false	703.67	711.28	20.275103
5583_38026_000056_000001	Then she asked the gardener why he lay out there under the steps.	Then she asked the gardener why he lay out there under the steps.	true	711.41	715.15	21
5583_38026_000057_000000	"Oh," said the gardener, "none of his fellow-servants will sleep with him; that's why."	"Oh," said the gardener, "none of his fellow servants will sleep with him; that's why."	true	715.64	720.55	21.58187
5583_38026_000058_000000	"Let him come up to-night, and lie at the door inside my bedroom, and then they'll not refuse to sleep with him any more," said the _Princess_.	"Let him come up to night, and lie at the door inside my bedroom, and then they'll not refuse to sleep with him any more," said the underscore Princess underscore.	false	720.95	729.18	20.71521
5583_38026_000059_000000	So the gardener told that to the lad.	So the gardener told that to the lad.	true	729.18	731.38	23.49091
5583_38026_000060_000000	"Do you think I'll do any such thing?" said the lad.	"Do you think I'll do any such thing?" said the lad.	true	731.75	734.5	20.983898
5583_38026_000060_000001	"Why they'd say next there was something between me and the _Princess_."	"Why they'd say next there was something between me and the underscore Princess underscore."	false	734.66	738.39	21.908415
5583_38026_000061_000000	"Yes," said the gardener, "you've good reason to fear any such thing, you who are so handsome."	"Yes," said the gardener, "you've good reason to fear any such thing, you who are so handsome."	true	738.39	744.43	24.011818
5583_38026_000062_000000	"Well, well," said the lad, "since it's her will, I suppose I must go."	"Well, well," said the lad, "since it's her will, I suppose I must go."	true	744.77	750.76	21.892597
5583_38026_000063_000000	So, when he was to go up the steps in the evening, he tramped and stamped so on the way, that they had to beg him to tread softly lest the _King_ should come to know it.	So, when he was to go up the steps in the evening, he tramped and stamped so on the way, that they had to beg him to tread softly lest the underscore King underscore should come to know it.	false	751.31	760.99	19.98412
5583_38026_000063_000001	So he came into the _Princess'_ bedroom, lay down, and began to snore at once.	So he came into the underscore Princess' underscore bedroom, lay down, and began to snore at once.	false	761.45	766.78	22.316292
5583_38026_000063_000002	Then the _Princess_ said to her maid:	Then the underscore Princess underscore said to her maid:	false	767.06	769.12	23.556461
5583_38026_000064_000000	"Go gently, and just pull his wig off;" and she went up to him.	"Go gently, and just pull his wig off;" and she went up to him.	true	769.37	774.25	23.166956
5583_38026_000065_000000	But just as she was going to whisk it off, he caught hold of it with both hands, and said she should never have it.	But just as she was going to whisk it off, he caught hold of it with both hands, and said she should never have it.	true	774.53	780.91	21.635998
5583_38026_000065_000001	After that he lay down again, and began to snore.	After that he lay down again, and began to snore.	true	781.34	784.48	22.192505
5583_38026_000065_000002	Then the _Princess_ gave her maid a wink, and this time she whisked off the wig; and there lay the lad so lovely, and white and red, just as the _Princess_ had seen him in the morning sun.	Then the underscore Princess underscore gave her maid a wink, and this time she whisked off the wig; and there lay the lad so lovely, and white and red, just as the underscore Princess underscore had seen him in the morning sun	false	784.88	796.56	20.600529
5583_38026_000066_000000	[Illustration: And this time she whisked off the wig; and there lay the lad, so lovely, and white and red, just as the Princess had seen him in the morning sun.]	[Illustration: And this time she whisked off the wig; and there lay the lad, so lovely, and white and red, just as the Princess had seen him in the morning sun]	false	796.56	797.13	9
5583_38026_000067_000000	After that the lad slept every night in the _Princess'_ bedroom.	After that the lad slept every night in the underscore Princess' underscore bedroom.	false	797.13	801.22	23.975327
5583_38026_000068_000000	But it wasn't long before the _King_ came to hear how the gardener's lad slept every night in the _Princess'_ bedroom; and he got so wroth he almost took the lad's life.	But it wasn't long before the underscore King underscore came to hear how the gardener's lad slept every night in the underscore Princess' underscore bedroom; and he got so wroth he almost took the lad's life.	false	801.77	811.66	20.494986
5583_38026_000068_000001	He didn't do that, however, but he threw him into the prison tower; and as for his daughter, he shut her up in her own room, whence she never got leave to stir day or night. All that she begged, and all that she prayed, for the lad and herself, was no good.	He didn't do that, however, but he threw him into the prison tower; and as for his daughter, he shut her up in her own room, whence she never got leave to stir day or night. All that she begged, and all that she prayed, for the lad and herself, was no good.	true	811.97	830.17	21.4428
5583_38026_000068_000002	The _King_ was only more wroth than ever.	The underscore King underscore was only more wroth than ever.	false	830.33	832.81	21
5583_38026_000069_000000	Some time after came a war and uproar in the land, and the _King_ had to take up arms against another king who wished to take the kingdom from him.	Some time after came a war and uproar in the land, and the underscore King underscore had to take up arms against another king who wished to take the kingdom from him.	false	833.54	842.62	19.711296
5583_38026_000069_000001	So when the lad heard that, he begged the gaoler to go to the _King_ and ask for a coat of mail and a sword, and for leave to go to the war.	So when the lad heard that, he begged the gaoler to go to the underscore King underscore and ask for a coat of mail and a sword, and for leave to go to the war.	false	842.96	851.38	21.232988
5583_38026_000069_000002	All the rest laughed when the gaoler told his errand, and begged the _King_ to let him have an old worn-out suit, that they might have the fun of seeing such a wretch in battle.	All the rest laughed when the gaoler told his errand, and begged the underscore King underscore to let him have an old worn out suit, that they might have the fun of seeing such a wretch in battle.	false	851.81	861.22	20.590815
5583_38026_000069_000003	So he got that, and an old broken-down hack besides, which went upon three legs, and dragged the fourth after it.	So he got that, and an old broken down hack besides, which went upon three legs, and dragged the fourth after it.	true	861.65	869.55	23.254538
5583_38026_000070_000000	[Illustration: The Lad in the Battle.]	[Illustration: The Lad in the Battle.]	false	869.55	870.18	13
5583_38026_000071_000000	Then they went out to meet the foe; but they hadn't got far from the palace before the lad got stuck fast in a bog with his hack.	Then they went out to meet the foe; but they hadn't got far from the palace before the lad got stuck fast in a bog with his hack.	true	870.18	877.78	21.378937
5583_38026_000071_000001	There he sat and dug his spurs in, and cried, "Gee up! gee up!" to his hack. And all the rest had their fun out of this, and laughed, and made game of the lad as they rode past him.	There he sat and dug his spurs in, and cried, "Gee up! gee up!" to his hack. And all the rest had their fun out of this, and laughed, and made game of the lad as they rode past him.	true	878.18	890.41	23.183617
5583_38026_000071_000002	But they were scarcely gone, before he ran to the lime-tree, threw on his coat of mail, and shook the bridle, and there came the _Horse_ in a trice, and said: "Do now your best, and I'll do mine."	But they were scarcely gone, before he ran to the lime tree, threw on his coat of mail, and shook the bridle, and there came the underscore Horse underscore in a trice, and said: "Do now your best, and I'll do mine."	false	890.57	903.19	20.881952
5583_38026_000072_000000	But when the lad came up the battle had begun, and the _King_ was in a sad pinch; but no sooner had the lad rushed into the thick of it than the foe was beaten back, and put to flight.	But when the lad came up the battle had begun, and the underscore King underscore was in a sad pinch; but no sooner had the lad rushed into the thick of it than the foe was beaten back, and put to flight.	false	903.71	914.92	20.934658
5583_38026_000072_000001	The _King_ and his men wondered and wondered who it could be who had come to help them, but none of them got so near him as to be able to talk to him, and as soon as the fight was over he was gone.	The underscore King underscore and his men wondered and wondered who it could be who had come to help them, but none of them got so near him as to be able to talk to him, and as soon as the fight was over he was gone.	false	915.23	926.41	19.836775
5583_38026_000072_000002	When they went back, there sat the lad still in the bog, and dug his spurs into his three-legged hack, and they all laughed again.	When they went back, there sat the lad still in the bog, and dug his spurs into his three legged hack, and they all laughed again.	true	926.48	935.8	22.32106
5583_38026_000073_000000	"No! only just look," they said; "there the fool sits still."	"No! only just look," they said; "there the fool sits still."	true	935.96	940.75	24.28554
5583_38026_000074_000000	The next day when they went out to battle, they saw the lad sitting there still, so they laughed again, and made game of him; but as soon as ever they had ridden by, the lad ran again to the lime-tree, and all happened as on the first day.	The next day when they went out to battle, they saw the lad sitting there still, so they laughed again, and made game of him; but as soon as ever they had ridden by, the lad ran again to the lime tree, and all happened as on the first day.	true	941.24	955.69	20.656834
5583_38026_000074_000001	Every one wondered what strange champion it could be that had helped them, but no one got so near him as to say a word to him; and no one guessed it could be the lad; that's easy to understand.	Every one wondered what strange champion it could be that had helped them, but no one got so near him as to say a word to him; and no one guessed it could be the lad; that's easy to understand.	true	956.24	967.66	19.98577
5583_38026_000075_000000	So when they went home at night, and saw the lad still sitting there on his hack, they burst out laughing at him again, and one of them shot an arrow at him and hit him in the leg.	So when they went home at night, and saw the lad still sitting there on his hack, they burst out laughing at him again, and one of them shot an arrow at him and hit him in the leg.	true	968.18	978.52	21.622433
5583_38026_000075_000001	So he began to shriek and to bewail; 'twas enough to break one's heart; and so the _King_ threw his pocket-handkerchief to him to bind his wound.	So he began to shriek and to bewail; 'twas enough to break one's heart; and so the underscore King underscore threw his pocket handkerchief to him to bind his wound.	false	978.62	987.25	20.910074
5583_38026_000076_000000	When they went out to battle the third day, the lad still sat there.	When they went out to battle the third day, the lad still sat there.	false	987.68	991.66	25.740507
5583_38026_000077_000000	"Gee up! gee up!" he said to his hack.	"Gee up! gee up!" he said to his hack.	true	991.88	995.47	25.558481
5583_38026_000078_000000	"Nay, nay," said the _King's_ men; "if he won't stick there till he's starved to death."	"Nay, nay," said the underscore King's underscore men; "if he won't stick there till he's starved to death."	false	995.84	1001.26	22.726357
5583_38026_000079_000000	And then they rode on, and laughed at him till they were fit to fall from their horses.	And then they rode on, and laughed at him till they were fit to fall from their horses.	true	1001.63	1006.06	21.982014
5583_38026_000079_000001	When they were gone, he ran again to the lime, and came up to the battle just in the very nick of time.	When they were gone, he ran again to the lime, and came up to the battle just in the very nick of time.	true	1006.49	1012.54	20.255667
5583_38026_000079_000002	This day he slew the enemy's king, and then the war was over at once.	This day he slew the enemy's king, and then the war was over at once.	true	1012.82	1018	23.479445
