8498_287357_000000_000000	"It's I--Mr.	"It's I-mr	false	0	0.39	-20
8498_287357_000047_000000	"We will let you make some diamonds for yourself," Folwell said to me, and he directed me to pull the lever of the box, at a certain signal. The signal came, just as a terrific crash of thunder shook the very mountain inside of which we were.	"We will let you make some diamonds for yourself," Folwell said to me, and he directed me to pull the lever of the box, at a certain signal. The signal came, just as a terrific crash of thunder shook the very mountain inside of which we were.	true	548.84	563.11	25.055477
8498_287357_000047_000001	The box of steel got red-hot, and when it cooled off it was opened, and was given a handful of white stones.	The box of steel got red hot, and when it cooled off it was opened, and was given a handful of white stones.	false	563.78	570.87	25.937016
8498_287357_000048_000000	"Were they diamonds?" asked Tom, eagerly.	"Were they diamonds?" asked Tom, eagerly.	false	570.87	574.54	21.992785
8498_287357_000049_000000	Mr. Jenks held out one hand.	mr Jenks held out one hand.	true	575.33	577.63	22.75522
8498_287357_000049_000001	In the palm glittered a large stone--ostensibly a diamond.	In the palm glittered a large stone-ostensibly a diamond.	true	577.85	582.31	26.230513
8498_287357_000049_000002	In the rays of the moon it showed all the colors of the rainbow--a beautiful gem.	In the rays of the moon it showed all the colors of the rainbow-a beautiful gem.	true	582.89	587.77	22.926085
8498_287357_000049_000003	"That is one of the stones I made--or rather that I supposed I had made," went on Mr. Jenks.	"That is one of the stones I made-or rather that I supposed I had made," went on mr Jenks.	true	588.35	595	23.426119
8498_287357_000049_000004	"It is one of several I have, but they have not all been cut and polished as has this one.	"It is one of several I have, but they have not all been cut and polished as has this one.	true	595.19	600.16	22.799467
8498_287357_000050_000000	"Naturally I was much impressed by what I saw, and, after I had made certain tests which convinced me that the stones in the steel box were diamonds, I paid over the money as I had promised.	"Naturally I was much impressed by what I saw, and, after I had made certain tests which convinced me that the stones in the steel box were diamonds, I paid over the money as I had promised.	true	600.38	611.23	20.809542
8498_287357_000050_000001	That was my undoing."	That was my undoing."	true	611.6	613.45	22.507814
8498_287357_000051_000000	"How?"	"How?"	true	614.03	615.01	28.193861
8498_287357_000052_000000	"As soon as the men got the cash, they had no further use for me.	"As soon as the men got the cash, they had no further use for me.	true	615.35	619.21	25.490696
8498_287357_000052_000001	The next I remember is eating a rude meal, while we discussed the future of making diamonds.	The next I remember is eating a rude meal, while we discussed the future of making diamonds.	true	619.37	624.7	23.863707
8498_287357_000052_000002	I knew nothing more until I found myself back in the small hotel at Indian Ridge, whence I had gone some time previous, with the men, to the cave in the mountain."	I knew nothing more until I found myself back in the small hotel at Indian Ridge, whence I had gone some time previous, with the men, to the cave in the mountain."	true	624.74	633.13	22.828638
8498_287357_000053_000000	"What happened?" asked Tom, much surprised by the unexpected outcome of the affair.	"What happened?" asked Tom, much surprised by the unexpected outcome of the affair.	true	633.77	639.13	27.629097
8498_287357_000054_000000	"I had been tricked, that was all!	"I had been tricked, that was all!	true	639.62	641.68	27.382067
8498_287357_000054_000001	As soon as the men had my money they had no further use for me.	As soon as the men had my money they had no further use for me.	true	641.69	644.94	21.327425
8498_287357_000054_000002	They did not want me to learn the secret of their diamond making, and they drugged me, carried me away from the cave, and left me in the hotel."	They did not want me to learn the secret of their diamond making, and they drugged me, carried me away from the cave, and left me in the hotel."	true	644.94	652.06	23.254171
8498_287357_000055_000000	"Didn't you try to find the cave again?"	"Didn't you try to find the cave again?"	true	652.61	654.58	24.29755
8498_287357_000056_000000	"I did, but without avail.	"I did, but without avail.	true	655.22	657.67	25.131763
8498_287357_000056_000001	I spent some time in the Rockies, but no one could tell where Phantom Mountain was; in fact, few had heard of it, and I was nearly lost searching for it.	I spent some time in the Rockies, but no one could tell where Phantom Mountain was; in fact, few had heard of it, and I was nearly lost searching for it.	true	657.83	666.37	23.435757
8498_287357_000057_000000	"I came back East, determined to get even.	"I came back East, determined to get even.	true	667.07	670.03	28.840996
8498_287357_000057_000001	I had given the men a very large sum of money, and, in exchange, they had given me several diamonds.	I had given the men a very large sum of money, and, in exchange, they had given me several diamonds.	true	670.28	675.7	18.016882
8498_287357_000057_000002	Probably the stones are worth nearly as much as the money I invested, but I was cheated, for I was promised an equal share in the profits.	Probably the stones are worth nearly as much as the money I invested, but I was cheated, for I was promised an equal share in the profits.	true	675.77	683.86	22.693102
8498_287357_000057_000003	These were denied me, and I was tricked.	These were denied me, and I was tricked.	true	684.23	687.31	25.922098
8498_287357_000057_000004	I determined to be revenged, or at least to discover the secret of making diamonds.	I determined to be revenged, or at least to discover the secret of making diamonds.	true	687.59	692.14	22
8498_287357_000057_000005	It is my right."	It is my right."	true	692.18	693.88	23.128887
8498_287357_000058_000000	"I agree with you," spoke Tom.	"I agree with you," spoke Tom.	true	694.46	696.73	28.017992
8498_287357_000059_000000	"But, up to the time I met you on Earthquake Island, I could form no plan for discovering Phantom Mountain, and learning the secret of the diamond makers," went on Mr. Jenks.	"But, up to the time I met you on Earthquake Island, I could form no plan for discovering Phantom Mountain, and learning the secret of the diamond makers," went on mr Jenks.	true	697.1	706.93	25.024763
8498_287357_000059_000001	"I carried the gems about with me, as you doubtless saw when we were on the island.	"I carried the gems about with me, as you doubtless saw when we were on the island.	false	707.36	712.26	20.437206
8498_287357_000059_000002	But I knew I needed an airship in which to fly over the mountains, and pick out the location of the cave where the diamonds are made."	But I knew I needed an airship in which to fly over the mountains, and pick out the location of the cave where the diamonds are made."	true	712.26	718.78	20.947182
8498_287357_000060_000000	"But how can you locate it, if you were blindfolded when you were taken there, Mr. Jenks?"	"But how can you locate it, if you were blindfolded when you were taken there, mr Jenks?"	true	719.24	723.19	27.085598
8498_287357_000061_000000	"I forgot to tell you that, on our journey into the mountains, and just before I was carried into the cave, I managed to raise one corner of the bandage.	"I forgot to tell you that, on our journey into the mountains, and just before I was carried into the cave, I managed to raise one corner of the bandage.	true	723.89	732.79	23.289171
8498_287357_000061_000001	I caught a glimpse of a very peculiarly shaped cliff--it is like a great head, standing out in bold relief against the moonlight, when I saw it.	I caught a glimpse of a very peculiarly shaped cliff-it is like a great head, standing out in bold relief against the moonlight, when I saw it.	true	733.07	741.64	25.238213
8498_287357_000061_000002	That head of rock is near the cave.	That head of rock is near the cave.	true	742.13	744.36	19.606886
8498_287357_000061_000003	It may be the landmark by which we can locate Phantom Mountain."	It may be the landmark by which we can locate Phantom Mountain."	true	744.36	747.91	20.161198
8498_287357_000062_000000	"Perhaps," admitted the young inventor.	"Perhaps," admitted the young inventor.	true	748.37	750.55	29.454573
8498_287357_000063_000000	"What I want to know is this," went on Mr. Jenks.	"What I want to know is this," went on mr Jenks.	true	751.25	755.23	24.088345
8498_287357_000063_000001	"Will you go with me on this quest--go in your airship to discover the secret of the diamond makers?	"Will you go with me on this quest-go in your airship to discover the secret of the diamond makers?	true	755.6	761.41	22.671085
8498_287357_000063_000002	If you will, I will share with you whatever diamonds we can discover, or make; besides paying all expenses.	If you will, I will share with you whatever diamonds we can discover, or make; besides paying all expenses.	true	761.57	768.58	23.15959
8498_287357_000063_000003	Will you go, Tom Swift?"	Will you go, Tom Swift?"	true	768.89	771.19	23.361067
8498_287357_000064_000000	The young inventor did not know what to answer.	The young inventor did not know what to answer.	true	771.5	773.95	23.824049
8498_287357_000064_000001	How far was Mr. Jenks to be trusted?	How far was mr Jenks to be trusted?	true	774.11	776.5	23.110182
8498_287357_000064_000002	Were the stones he had real diamonds?	Were the stones he had real diamonds?	true	776.57	779.14	21.806007
8498_287357_000064_000003	Was his story, fantastical as it sounded--true?	Was his story, fantastical as it sounded-true?	true	779.39	782.65	24.916477
8498_287357_000064_000004	Would it be safe for Tom to go?	Would it be safe for Tom to go?	true	782.99	785.11	26.35292
8498_287357_000065_000000	The lad asked himself these questions.	The lad asked himself these questions.	true	785.54	788.08	21.367643
8498_287357_000065_000001	Mr. Jenks saw his hesitation.	mr Jenks saw his hesitation.	true	788.81	791.11	20.982008
8498_287357_000066_000000	"Here," said the strange man, "I will prove what I say.	"Here," said the strange man, "I will prove what I say.	true	791.51	796.15	22.630373
8498_287357_000066_000001	Take this diamond.	Take this diamond.	false	796.43	798.18	27.813618
8498_287357_000066_000002	I intended it for you, anyhow, for what you did for me on Earthquake Island.	I intended it for you, anyhow, for what you did for me on Earthquake Island.	true	798.18	802.33	24.561234
8498_287357_000066_000003	Take it, and--and give it to the person for whom you were about to purchase a diamond to-night.	Take it, and-and give it to the person for whom you were about to purchase a diamond to night.	true	802.34	807.73	24.196312
8498_287357_000066_000004	But, first of all, take it to a gem expert, and get his opinion.	But, first of all, take it to a gem expert, and get his opinion.	true	807.95	812.05	25.05471
8498_287357_000066_000005	That will prove the truth of what I say, Tom Swift, and I feel sure that you will cast your lot in with mine, and help me to discover the secret of Phantom Mountain, and aid me to get my rights from the diamond makers!"	That will prove the truth of what I say, Tom Swift, and I feel sure that you will cast your lot in with mine, and help me to discover the secret of Phantom Mountain, and aid me to get my rights from the diamond makers!"	false	812.06	830.13	23.261871
