5029_80197_000000_000000	"We can't bury the man without first shooting the cat," said one of the troopers.	"We can't bury the man without first shooting the cat," said one of the troopers.	false	0	5.4	6
5029_80197_000018_000000	"Well," said the King once more, "suppose we give it the palace roof, and I will keep out of the way."	"Well," said the King once more, "suppose we give it the palace roof, and I will keep out of the way."	true	165.14	171.94	15
5029_80197_000019_000000	"That is a good scheme," said his wife, drying her eyes.	"That is a good scheme," said his wife, drying her eyes.	true	172.85	176.35	13
5029_80197_000020_000000	And they immediately fitted up the roof with a cushioned shelter, and a bed of catnip, and a bench where the Queen might sit.	And they immediately fitted up the roof with a cushioned shelter, and a bed of catnip, and a bench where the Queen might sit.	true	177.41	185.11	12
5029_80197_000020_000001	There the cat was left; and the Queen went up three times a day to feed it, and twice as many times to visit it, and for almost two days that seemed the solution of the problem.	There the cat was left; and the Queen went up three times a day to feed it, and twice as many times to visit it, and for almost two days that seemed the solution of the problem.	false	185.51	197.17	14
5029_80197_000020_000002	Then the cat discovered that by making a spring to the limb of an overhanging oak tree, it could climb down the trunk and go where it liked.	Then the cat discovered that by making a spring to the limb of an overhanging oak tree, it could climb down the trunk and go where it liked.	false	197.54	205.87	11
5029_80197_000020_000003	This it did, making its appearance in the throne-room, where the King was giving audience to an important ambassador.	This it did, making its appearance in the throne room, where the King was giving audience to an important ambassador.	true	206.06	212.44	11
5029_80197_000020_000004	Much to the amazement of the latter, the monarch leapt up screaming, and was moreover so upset, that the affairs of state had all to be postponed till the following day.	Much to the amazement of the latter, the monarch leapt up screaming, and was moreover so upset, that the affairs of state had all to be postponed till the following day.	false	212.93	223.81	15
5029_80197_000020_000005	The tree was, of course, cut down; and the next day the cat found crawling down the gutter to be just as easy, and jumped in the window while the court was at breakfast.	The tree was, of course, cut down; and the next day the cat found crawling down the gutter to be just as easy, and jumped in the window while the court was at breakfast.	true	224.27	234.4	13
5029_80197_000020_000006	The King scrambled on to the breakfast table, skilfully overturning the cream and the coffee with one foot, while planting the other in the poached eggs, and wreaking untold havoc among the teacups.	The King scrambled on to the breakfast table, skilfully overturning the cream and the coffee with one foot, while planting the other in the poached eggs, and wreaking untold havoc among the teacups.	false	234.62	245.77	13
5029_80197_000020_000007	Again the affairs of state were postponed while the gutter was ripped off the roof, to the fury of the head gardener, who had just planted his spring seeds in the beds around the palace walls.	Again the affairs of state were postponed while the gutter was ripped off the roof, to the fury of the head gardener, who had just planted his spring seeds in the beds around the palace walls.	true	246.11	256.24	11
5029_80197_000020_000008	Of course the next rain washed them all away.	Of course the next rain washed them all away.	true	256.49	259.51	10
5029_80197_000021_000000	This sort of thing continued.	This sort of thing continued.	true	260.36	262.53	14
5029_80197_000021_000001	The wistaria vine which had covered the front of the palace for centuries, was ruthlessly torn down, the trellises along the wings soon followed; and finally an ancient grape arbour had perforce to be removed as it proved a sure means of descent for that invincible cat.	The wistaria vine which had covered the front of the palace for centuries, was ruthlessly torn down, the trellises along the wings soon followed; and finally an ancient grape arbour had perforce to be removed as it proved a sure means of descent for that invincible cat.	true	262.53	280.24	13
5029_80197_000021_000002	Even then, he cleverly utilized the balconies as a ladder to the ground; but by this time the poor King's nerves were quite shattered and the doctor was called in.	Even then, he cleverly utilized the balconies as a ladder to the ground; but by this time the poor King's nerves were quite shattered and the doctor was called in.	true	280.55	290.8	13
5029_80197_000021_000003	All he could prescribe was a total abstinence from cat; and the Queen, tearfully finding a home for her pet, composed herself to live without one.	All he could prescribe was a total abstinence from cat; and the Queen, tearfully finding a home for her pet, composed herself to live without one.	true	291.11	301.39	13
5029_80197_000021_000004	The King, well cared for, soon revived and was himself again, placidly conducting the affairs of state, and happy in the society of his beloved wife.	The King, well cared for, soon revived and was himself again, placidly conducting the affairs of state, and happy in the society of his beloved wife.	true	302.03	312.07	12
5029_80197_000021_000005	Not so the latter.	Not so the latter.	true	312.17	313.78	14
5029_80197_000022_000000	Before long it was noticed that the Queen grew wan, was often heard to sniff, and seen to wipe her eyes, would not eat, could not sleep,--in short, the doctor was again called in.	Before long it was noticed that the Queen grew wan, was often heard to sniff, and seen to wipe her eyes, would not eat, could not sleep,--in short, the doctor was again called in.	false	314.57	329.94	11
5029_80197_000023_000000	"Dear, dear," he said disconsolately, combing his long beard with his thin fingers.	"Dear, dear," he said disconsolately, combing his long beard with his thin fingers.	true	329.94	335.23	7
5029_80197_000023_000001	"This is a difficult situation indeed.	"This is a difficult situation indeed.	true	335.54	338.05	13
5029_80197_000023_000002	There must not be a cat on the premises, or the King will assuredly have nervous prostration.	There must not be a cat on the premises, or the King will assuredly have nervous prostration.	false	338.15	343.3	12
5029_80197_000023_000003	Yet the Queen must have a cat or she will pine quite away with nostalgia."	Yet the Queen must have a cat or she will pine quite away with nostalgia."	true	343.73	349.15	12
5029_80197_000024_000000	"I think I had best return to my family," sobbed the poor Queen, dejectedly.	"I think I had best return to my family," sobbed the poor Queen, dejectedly.	false	350.54	355.66	13
5029_80197_000024_000001	"I bring you nothing but trouble, my own."	"I bring you nothing but trouble, my own."	true	356.06	358.9	11
5029_80197_000025_000000	"That is impossible, my dearest love," said the King decidedly--"Here my people have so long desired me to marry, and now that I am at last settled in the matrimonial way, we must not disappoint them.	"That is impossible, my dearest love," said the King decidedly-"Here my people have so long desired me to marry, and now that I am at last settled in the matrimonial way, we must not disappoint them.	true	359.42	372.34	12
5029_80197_000025_000001	They enjoy a Queen so much.	They enjoy a Queen so much.	true	372.62	374.73	14
5029_80197_000025_000002	It gives them something pretty to think about.	It gives them something pretty to think about.	true	374.73	377.02	11
5029_80197_000025_000003	Besides, my love, I am attached to you, myself, and could not possibly manage without you.	Besides, my love, I am attached to you, myself, and could not possibly manage without you.	true	377.06	382.48	12
5029_80197_000025_000004	No, my dear, there may be a way out of our difficulties, but that certainly is not it." Having delivered which speech the King lapsed again into gloom, and the doctor who was an old friend of the King's went away sadly.	No, my dear, there may be a way out of our difficulties, but that certainly is not it." Having delivered which speech the King lapsed again into gloom, and the doctor who was an old friend of the King's went away sadly.	false	382.67	396.58	13
5029_80197_000026_000000	He returned, however, the following day with a smile tangled somewhere in his long beard.	He returned, however, the following day with a smile tangled somewhere in his long beard.	true	396.98	402.46	12
5029_80197_000026_000001	He found the King sitting mournfully by the Queen's bedside.	He found the King sitting mournfully by the Queen's bedside.	true	402.59	406.21	11
5029_80197_000027_000000	"Would your majesty," began the doctor, turning to the Queen, "object to a cat that did not look like a cat?"	"Would your majesty," began the doctor, turning to the Queen, "object to a cat that did not look like a cat?"	true	406.58	413.02	15
5029_80197_000028_000000	"Oh, no," cried she, earnestly, "just so it's a _cat_!"	"Oh, no," cried she, earnestly, "just so it's a underscore cat underscore!"	false	413.93	418.8	18.879833
5029_80197_000029_000000	"Would your majesty," said the doctor again, turning to the King, "object to a cat that did not look like a cat?"	"Would your majesty," said the doctor again, turning to the King, "object to a cat that did not look like a cat?"	false	418.8	425.41	15
5029_80197_000030_000000	"Oh, no," cried he, "just so it doesn't _look_ like a cat!"	"Oh, no," cried he, "just so it doesn't underscore look underscore like a cat!"	false	425.84	430.18	17
5029_80197_000031_000000	"Well," said the doctor, beaming, "I have a cat that is a cat and that doesn't look any more like a cat than a skillet, and I should be only too honoured to present it to the Queen if she would be so gracious as to accept it."	"Well," said the doctor, beaming, "I have a cat that is a cat and that doesn't look any more like a cat than a skillet, and I should be only too honoured to present it to the Queen if she would be so gracious as to accept it."	true	431.24	446.14	16
5029_80197_000032_000000	Both the King and the Queen were overjoyed and thanked the doctor with tears in their eyes.	Both the King and the Queen were overjoyed and thanked the doctor with tears in their eyes.	true	446.51	451.87	11
5029_80197_000032_000001	So the cat--for it was a cat though you never would have known it--arrived and was duly presented to the Queen, who welcomed it with open arms and felt better immediately.	So the cat-for it was a cat though you never would have known it-arrived and was duly presented to the Queen, who welcomed it with open arms and felt better immediately.	true	452.09	462.64	14
5029_80197_000033_000000	It was a thin, wiry, long-legged creature, with no tail at all, and large ears like sails, a face like a lean isosceles triangle with the nose as a very sharp apex, eyes small and yellow like flat buttons, brown fur short and coarse, and large floppy feet.	It was a thin, wiry, long legged creature, with no tail at all, and large ears like sails, a face like a lean isosceles triangle with the nose as a very sharp apex, eyes small and yellow like flat buttons, brown fur short and coarse, and large floppy feet.	true	462.89	483.64	15
5029_80197_000033_000001	It had a voice like a steam siren and its name was Rosamund.	It had a voice like a steam siren and its name was Rosamund.	true	483.74	487.66	16
5029_80197_000034_000000	The King and Queen were both devoted to it; she because it was a cat, he because it seemed anything but a cat.	The King and Queen were both devoted to it; she because it was a cat, he because it seemed anything but a cat.	false	488.18	495.58	14
5029_80197_000034_000001	No one indeed could convince the King that it was not a beautiful animal, and he had made for it a handsome collar of gold and amber--"to match," he said, sentimentally, "its lovely eyes." In sooth so ugly a beast never had such a pampered and luxurious existence, certainly never so royal a one.	No one indeed could convince the King that it was not a beautiful animal, and he had made for it a handsome collar of gold and amber-"to match," he said, sentimentally, "its lovely eyes." In sooth so ugly a beast never had such a pampered and luxurious existence, certainly never so royal a one.	true	495.86	515.17	13
5029_80197_000034_000002	Appreciating its wonderful good fortune, it never showed any inclination to depart; and the King, the Queen, and Rosamund lived happily ever after.	Appreciating its wonderful good fortune, it never showed any inclination to depart; and the King, the Queen, and Rosamund lived happily ever after.	false	515.45	532.89	14.833164
