1913_143521_000000_000000	PREPARER'S NOTE--UNICODE EDITION	PREPARER'S NOTE-UNICODE EDITION	false	0	5.01	20.976496
1913_143521_000007_000003	He appeared to be about forty years of age, and was I think as ugly as his companion was handsome.	He appeared to be about forty years of age, and was I think as ugly as his companion was handsome.	true	140.24	146.86	21.745384
1913_143521_000007_000004	To begin with, he was shortish, rather bow-legged, very deep chested, and with unusually long arms.	To begin with, he was shortish, rather bow legged, very deep chested, and with unusually long arms.	true	147.29	154.3	24.088013
1913_143521_000007_000005	He had dark hair and small eyes, and the hair grew right down on his forehead, and his whiskers grew right up to his hair, so that there was uncommonly little of his countenance to be seen. Altogether he reminded me forcibly of a gorilla, and yet there was something very pleasing and genial about the man's eye.	He had dark hair and small eyes, and the hair grew right down on his forehead, and his whiskers grew right up to his hair, so that there was uncommonly little of his countenance to be seen. Altogether he reminded me forcibly of a gorilla, and yet there was something very pleasing and genial about the man's eye.	true	154.67	173.47	22.523354
1913_143521_000007_000006	I remember saying that I should like to know him.	I remember saying that I should like to know him.	true	174.11	176.32	20.012829
1913_143521_000008_000000	"All right," answered my friend, "nothing easier.	"All right," answered my friend, "nothing easier.	false	176.87	179.32	24.766745
1913_143521_000008_000001	I know Vincey; I'll introduce you," and he did, and for some minutes we stood chatting--about the Zulu people, I think, for I had just returned from the Cape at the time.	I know Vincey; I'll introduce you," and he did, and for some minutes we stood chatting-about the Zulu people, I think, for I had just returned from the Cape at the time.	true	179.42	189.28	22.9435
1913_143521_000008_000002	Presently, however, a stoutish lady, whose name I do not remember, came along the pavement, accompanied by a pretty fair-haired girl, and these two Mr. Vincey, who clearly knew them well, at once joined, walking off in their company.	Presently, however, a stoutish lady, whose name I do not remember, came along the pavement, accompanied by a pretty fair haired girl, and these two mr Vincey, who clearly knew them well, at once joined, walking off in their company.	true	190.04	203.5	23.424128
1913_143521_000008_000003	I remember being rather amused because of the change in the expression of the elder man, whose name I discovered was Holly, when he saw the ladies advancing.	I remember being rather amused because of the change in the expression of the elder man, whose name I discovered was Holly, when he saw the ladies advancing.	true	204.08	213.01	20.948444
1913_143521_000008_000004	He suddenly stopped short in his talk, cast a reproachful look at his companion, and, with an abrupt nod to myself, turned and marched off alone across the street.	He suddenly stopped short in his talk, cast a reproachful look at his companion, and, with an abrupt nod to myself, turned and marched off alone across the street.	true	213.5	224.05	24.664175
1913_143521_000008_000005	I heard afterwards that he was popularly supposed to be as much afraid of a woman as most people are of a mad dog, which accounted for his precipitate retreat.	I heard afterwards that he was popularly supposed to be as much afraid of a woman as most people are of a mad dog, which accounted for his precipitate retreat.	true	224.3	234.25	24.95195
1913_143521_000008_000006	I cannot say, however, that young Vincey showed much aversion to feminine society on this occasion.	I cannot say, however, that young Vincey showed much aversion to feminine society on this occasion.	true	234.89	240.28	21.363182
1913_143521_000008_000007	Indeed I remember laughing, and remarking to my friend at the time that he was not the sort of man whom it would be desirable to introduce to the lady one was going to marry, since it was exceedingly probable that the acquaintance would end in a transfer of her affections.	Indeed I remember laughing, and remarking to my friend at the time that he was not the sort of man whom it would be desirable to introduce to the lady one was going to marry, since it was exceedingly probable that the acquaintance would end in a transfer of her affections.	true	240.8	254.59	22.275309
1913_143521_000008_000008	He was altogether too good-looking, and, what is more, he had none of that consciousness and conceit about him which usually afflicts handsome men, and makes them deservedly disliked by their fellows.	He was altogether too good looking, and, what is more, he had none of that consciousness and conceit about him which usually afflicts handsome men, and makes them deservedly disliked by their fellows.	false	255.5	266.71	23.874596
1913_143521_000009_000000	That same evening my visit came to an end, and this was the last I saw or heard of "Charon" and "the Greek god" for many a long day.	That same evening my visit came to an end, and this was the last I saw or heard of "Charon" and "the Greek god" for many a long day.	true	268.01	276.73	21.39392
1913_143521_000009_000001	Indeed, I have never seen either of them from that hour to this, and do not think it probable that I shall.	Indeed, I have never seen either of them from that hour to this, and do not think it probable that I shall.	true	277.34	284.08	22.60577
1913_143521_000009_000002	But a month ago I received a letter and two packets, one of manuscript, and on opening the first found that it was signed by "Horace Holly," a name that at the moment was not familiar to me.	But a month ago I received a letter and two packets, one of manuscript, and on opening the first found that it was signed by "Horace Holly," a name that at the moment was not familiar to me.	false	284.54	298.78	23.570274
1913_143521_000009_000003	It ran as follows:--	It ran as follows:--	false	299.27	302.31	19.762869
1913_143521_000010_000000	"---- College, Cambridge, May 1, 18--	"---- College, Cambridge, may first eighteen--	false	302.31	307.59	22.945057
1913_143521_000011_000000	"My dear Sir,--You will be surprised, considering the very slight nature of our acquaintance, to get a letter from me.	"My dear Sir,--You will be surprised, considering the very slight nature of our acquaintance, to get a letter from me.	true	307.59	313.78	24.978342
1913_143521_000011_000001	Indeed, I think I had better begin by reminding you that we once met, now some five years ago, when I and my ward Leo Vincey were introduced to you in the street at Cambridge.	Indeed, I think I had better begin by reminding you that we once met, now some five years ago, when I and my ward Leo Vincey were introduced to you in the street at Cambridge.	true	314.27	324.58	20.46704
1913_143521_000011_000002	To be brief and come to my business.	To be brief and come to my business.	true	325.07	327.01	21.13602
1913_143521_000011_000003	I have recently read with much interest a book of yours describing a Central African adventure.	I have recently read with much interest a book of yours describing a Central African adventure.	true	327.77	332.89	23.140709
1913_143521_000011_000004	I take it that this book is partly true, and partly an effort of the imagination.	I take it that this book is partly true, and partly an effort of the imagination.	true	333.14	337.57	28.27954
1913_143521_000011_000005	However this may be, it has given me an idea.	However this may be, it has given me an idea.	true	338.03	340.84	20.194523
1913_143521_000011_000006	It happens, how you will see in the accompanying manuscript (which together with the Scarab, the 'Royal Son of the Sun,' and the original sherd, I am sending to you by hand), that my ward, or rather my adopted son Leo Vincey and myself have recently passed through a real African adventure, of a nature so much more marvellous than the one which you describe, that to tell the truth I am almost ashamed to submit it to you lest you should disbelieve my tale.	It happens, how you will see in the accompanying manuscript (which together with the Scarab, the 'Royal Son of the Sun,' and the original sherd, I am sending to you by hand), that my ward, or rather my adopted son Leo Vincey and myself have recently passed through a real African adventure, of a nature so much more marvellous than the one which you describe, that to tell the truth I am almost ashamed to submit it to you lest you should disbelieve my tale.	false	341.39	370.6	24.094486
1913_143521_000011_000007	You will see it stated in this manuscript that I, or rather we, had made up our minds not to make this history public during our joint lives.	You will see it stated in this manuscript that I, or rather we, had made up our minds not to make this history public during our joint lives.	false	371.39	380.23	25.874895
1913_143521_000011_000008	Nor should we alter our determination were it not for a circumstance which has recently arisen.	Nor should we alter our determination were it not for a circumstance which has recently arisen.	true	380.6	386.14	23.750744
1913_143521_000011_000009	We are for reasons that, after perusing this manuscript, you may be able to guess, going away again this time to Central Asia where, if anywhere upon this earth, wisdom is to be found, and we anticipate that our sojourn there will be a long one.	We are for reasons that, after perusing this manuscript, you may be able to guess, going away again this time to Central Asia where, if anywhere upon this earth, wisdom is to be found, and we anticipate that our sojourn there will be a long one.	true	386.93	401.95	23.404047
1913_143521_000011_000010	Possibly we shall not return.	Possibly we shall not return.	true	402.68	405.19	21.786783
1913_143521_000011_000011	Under these altered conditions it has become a question whether we are justified in withholding from the world an account of a phenomenon which we believe to be of unparalleled interest, merely because our private life is involved, or because we are afraid of ridicule and doubt being cast upon our statements.	Under these altered conditions it has become a question whether we are justified in withholding from the world an account of a phenomenon which we believe to be of unparalleled interest, merely because our private life is involved, or because we are afraid of ridicule and doubt being cast upon our statements.	true	406.07	424.39	24.164143
1913_143521_000011_000012	I hold one view about this matter, and Leo holds another, and finally, after much discussion, we have come to a compromise, namely, to send the history to you, giving you full leave to publish it if you think fit, the only stipulation being that you shall disguise our real names, and as much concerning our personal identity as is consistent with the maintenance of the _bona fides_ of the narrative.	I hold one view about this matter, and Leo holds another, and finally, after much discussion, we have come to a compromise, namely, to send the history to you, giving you full leave to publish it if you think fit, the only stipulation being that you shall disguise our real names, and as much concerning our personal identity as is consistent with the maintenance of the underscore bona fides underscore of the narrative.	false	425.06	449.83	22.816679
1913_143521_000012_000000	"And now what am I to say further?	"And now what am I to say further?	true	451.37	453.46	21.64795
1913_143521_000012_000001	I really do not know beyond once more repeating that everything is described in the accompanying manuscript exactly as it happened.	I really do not know beyond once more repeating that everything is described in the accompanying manuscript exactly as it happened.	true	453.62	461.68	24.308651
1913_143521_000012_000002	As regards _She_ herself I have nothing to add. Day by day we gave greater occasion to regret that we did not better avail ourselves of our opportunities to obtain more information from that marvellous woman.	As regards underscore She underscore herself I have nothing to add. Day by day we gave greater occasion to regret that we did not better avail ourselves of our opportunities to obtain more information from that marvellous woman.	false	462.47	476.56	23.301195
1913_143521_000012_000003	Who was she?	Who was she?	true	477.2	478.6	20.194502
1913_143521_000012_000004	How did she first come to the Caves of Kor, and what was her real religion?	How did she first come to the Caves of Kor, and what was her real religion?	true	478.94	484.03	24.83061
1913_143521_000012_000005	We never ascertained, and now, alas! we never shall, at least not yet.	We never ascertained, and now, alas! we never shall, at least not yet.	true	484.7	491.02	21.75618
1913_143521_000012_000006	These and many other questions arise in my mind, but what is the good of asking them now?	These and many other questions arise in my mind, but what is the good of asking them now?	true	491.57	496.72	21.13537
1913_143521_000013_000000	"Will you undertake the task?	"Will you undertake the task?	true	497.69	499.63	25.27128
1913_143521_000013_000001	We give you complete freedom, and as a reward you will, we believe, have the credit of presenting to the world the most wonderful history, as distinguished from romance, that its records can show.	We give you complete freedom, and as a reward you will, we believe, have the credit of presenting to the world the most wonderful history, as distinguished from romance, that its records can show.	true	499.76	511.15	23.752731
1913_143521_000013_000002	Read the manuscript (which I have copied out fairly for your benefit), and let me know.	Read the manuscript (which I have copied out fairly for your benefit), and let me know.	true	511.73	516.43	25.597397
1913_143521_000014_000000	"Believe me, very truly yours, "L.	"Believe me, very truly yours, "L.	false	517.1	520.05	22.728577
1913_143521_000014_000001	Horace Holly.[*]	Horace Holly.[asterisk]	false	520.05	528.315	19.779222
1913_143521_000015_000000	"P.S.--Of course, if any profit results from the sale of the writing should you care to undertake its publication, you can do what you like with it, but if there is a loss I will leave instructions with my lawyers, Messrs.	"p s--Of course, if any profit results from the sale of the writing should you care to undertake its publication, you can do what you like with it, but if there is a loss I will leave instructions with my lawyers, Messrs.	true	528.315	541.53	22.598705
1913_143521_000015_000001	Geoffrey and Jordan, to meet it.	Geoffrey and Jordan, to meet it.	true	541.53	543.76	22.059158
1913_143521_000015_000002	We entrust the sherd, the scarab, and the parchments to your keeping, till such time as we demand them back again.	We entrust the sherd, the scarab, and the parchments to your keeping, till such time as we demand them back again.	true	544.1	551.14	26.585636
1913_143521_000015_000003	--L. H. H."	--l h h"	true	551.51	554.1	30.255686
1913_143521_000016_000000	[*] This name is varied throughout in accordance with the writer's request.--Editor.	[asterisk] This name is varied throughout in accordance with the writer's request.--Editor.	false	554.1	554.37	54
1913_143521_000017_000000	This letter, as may be imagined, astonished me considerably, but when I came to look at the MS., which the pressure of other work prevented me from doing for a fortnight, I was still more astonished, as I think the reader will be also, and at once made up my mind to press on with the matter.	This letter, as may be imagined, astonished me considerably, but when I came to look at the ms, which the pressure of other work prevented me from doing for a fortnight, I was still more astonished, as I think the reader will be also, and at once made up my mind to press on with the matter.	false	554.37	572.23	22.412548
1913_143521_000017_000001	I wrote to this effect to Mr. Holly, but a week afterwards received a letter from that gentleman's lawyers, returning my own, with the information that their client and Mr. Leo Vincey had already left this country for Thibet, and they did not at present know their address.	I wrote to this effect to mr Holly, but a week afterwards received a letter from that gentleman's lawyers, returning my own, with the information that their client and mr Leo Vincey had already left this country for Thibet, and they did not at present know their address.	false	572.9	589.66	23.31002
1913_143521_000018_000000	Well, that is all I have to say.	Well, that is all I have to say.	true	590.15	592.45	25.18179
1913_143521_000018_000001	Of the history itself the reader must judge.	Of the history itself the reader must judge.	true	592.52	595.21	25.512934
1913_143521_000018_000002	I give it him, with the exception of a very few alterations, made with the object of concealing the identity of the actors from the general public, exactly as it came to me.	I give it him, with the exception of a very few alterations, made with the object of concealing the identity of the actors from the general public, exactly as it came to me.	true	595.49	605.41	24.923443
1913_143521_000018_000003	Personally I have made up my mind to refrain from comments.	Personally I have made up my mind to refrain from comments.	false	606.26	609.04	21.90548
1913_143521_000018_000004	At first I was inclined to believe that this history of a woman on whom, clothed in the majesty of her almost endless years, the shadow of Eternity itself lay like the dark wing of Night, was some gigantic allegory of which I could not catch the meaning.	At first I was inclined to believe that this history of a woman on whom, clothed in the majesty of her almost endless years, the shadow of Eternity itself lay like the dark wing of Night, was some gigantic allegory of which I could not catch the meaning.	true	609.44	624.43	23.098366
1913_143521_000018_000005	Then I thought that it might be a bold attempt to portray the possible results of practical immortality, informing the substance of a mortal who yet drew her strength from Earth, and in whose human bosom passions yet rose and fell and beat as in the undying world around her the winds and the tides rise and fall and beat unceasingly.	Then I thought that it might be a bold attempt to portray the possible results of practical immortality, informing the substance of a mortal who yet drew her strength from Earth, and in whose human bosom passions yet rose and fell and beat as in the undying world around her the winds and the tides rise and fall and beat unceasingly.	true	625.34	647.44	22.756115
1913_143521_000018_000006	But as I went on I abandoned that idea also.	But as I went on I abandoned that idea also.	true	648.59	651.88	22.355446
1913_143521_000018_000007	To me the story seems to bear the stamp of truth upon its face.	To me the story seems to bear the stamp of truth upon its face.	true	653.03	657.4	23.471972
1913_143521_000018_000008	Its explanation I must leave to others, and with this slight preface, which circumstances make necessary, I introduce the world to Ayesha and the Caves of Kor.--The Editor.	Its explanation I must leave to others, and with this slight preface, which circumstances make necessary, I introduce the world to Ayesha and the Caves of Kor.--The Editor.	true	658.28	671.8	21.302902
1913_143521_000019_000000	P.S.--There is on consideration one circumstance that, after a reperusal of this history, struck me with so much force that I cannot resist calling the attention of the reader to it.	p s--There is on consideration one circumstance that, after a reperusal of this history, struck me with so much force that I cannot resist calling the attention of the reader to it.	true	674.36	686.04	22.391619
1913_143521_000019_000001	He will observe that so far as we are made acquainted with him there appears to be nothing in the character of Leo Vincey which in the opinion of most people would have been likely to attract an intellect so powerful as that of Ayesha.	He will observe that so far as we are made acquainted with him there appears to be nothing in the character of Leo Vincey which in the opinion of most people would have been likely to attract an intellect so powerful as that of Ayesha.	false	686.04	699.52	23.743088
1913_143521_000019_000002	He is not even, at any rate to my view, particularly interesting.	He is not even, at any rate to my view, particularly interesting.	true	700.37	704.8	21.393545
1913_143521_000019_000003	Indeed, one might imagine that Mr. Holly would under ordinary circumstances have easily outstripped him in the favour of _She_.	Indeed, one might imagine that mr Holly would under ordinary circumstances have easily outstripped him in the favour of underscore She underscore.	false	705.74	713.61	23.833517
1913_143521_000019_000004	Can it be that extremes meet, and that the very excess and splendour of her mind led her by means of some strange physical reaction to worship at the shrine of matter?	Can it be that extremes meet, and that the very excess and splendour of her mind led her by means of some strange physical reaction to worship at the shrine of matter?	true	713.61	725.35	22.838959
1913_143521_000019_000005	Was that ancient Kallikrates nothing but a splendid animal loved for his hereditary Greek beauty?	Was that ancient Kallikrates nothing but a splendid animal loved for his hereditary Greek beauty?	true	726.32	732.52	26.458714
1913_143521_000019_000006	Or is the true explanation what I believe it to be--namely, that Ayesha, seeing further than we can see, perceived the germ and smouldering spark of greatness which lay hid within her lover's soul, and well knew that under the influence of her gift of life, watered by her wisdom, and shone upon with the sunshine of her presence, it would bloom like a flower and flash out like a star, filling the world with light and fragrance?	Or is the true explanation what I believe it to be-namely, that Ayesha, seeing further than we can see, perceived the germ and smouldering spark of greatness which lay hid within her lover's soul, and well knew that under the influence of her gift of life, watered by her wisdom, and shone upon with the sunshine of her presence, it would bloom like a flower and flash out like a star, filling the world with light and fragrance?	true	733.49	764.11	20.885166
1913_143521_000020_000000	Here also I am not able to answer, but must leave the reader to form his own judgment on the facts before him, as detailed by Mr. Holly in the following pages.	Here also I am not able to answer, but must leave the reader to form his own judgment on the facts before him, as detailed by mr Holly in the following pages.	false	766.55	787.77	19.744385
