1913_143521_000003_000000	INTRODUCTION	INTRODUCTION
1913_143521_000011_000001	Indeed, I think I had better begin by reminding you that we once met, now some five years ago, when I and my ward Leo Vincey were introduced to you in the street at Cambridge.	Indeed, I think I had better begin by reminding you that we once met, now some five years ago, when I and my ward Leo Vincey were introduced to you in the street at Cambridge.
1913_143521_000011_000002	To be brief and come to my business.	To be brief and come to my business.
1913_143521_000011_000003	I have recently read with much interest a book of yours describing a Central African adventure.	I have recently read with much interest a book of yours describing a Central African adventure.
1913_143521_000011_000004	I take it that this book is partly true, and partly an effort of the imagination.	I take it that this book is partly true, and partly an effort of the imagination.
1913_143521_000011_000005	However this may be, it has given me an idea.	However this may be, it has given me an idea.
1913_143521_000011_000008	Nor should we alter our determination were it not for a circumstance which has recently arisen.	Nor should we alter our determination were it not for a circumstance which has recently arisen.
1913_143521_000011_000009	We are for reasons that, after perusing this manuscript, you may be able to guess, going away again this time to Central Asia where, if anywhere upon this earth, wisdom is to be found, and we anticipate that our sojourn there will be a long one.	We are for reasons that, after perusing this manuscript, you may be able to guess, going away again this time to Central Asia where, if anywhere upon this earth, wisdom is to be found, and we anticipate that our sojourn there will be a long one.
1913_143521_000011_000010	Possibly we shall not return.	Possibly we shall not return.
1913_143521_000011_000011	Under these altered conditions it has become a question whether we are justified in withholding from the world an account of a phenomenon which we believe to be of unparalleled interest, merely because our private life is involved, or because we are afraid of ridicule and doubt being cast upon our statements.	Under these altered conditions it has become a question whether we are justified in withholding from the world an account of a phenomenon which we believe to be of unparalleled interest, merely because our private life is involved, or because we are afraid of ridicule and doubt being cast upon our statements.
1913_143521_000012_000000	"And now what am I to say further?	"And now what am I to say further?
1913_143521_000012_000001	I really do not know beyond once more repeating that everything is described in the accompanying manuscript exactly as it happened.	I really do not know beyond once more repeating that everything is described in the accompanying manuscript exactly as it happened.
1913_143521_000012_000003	Who was she?	Who was she?
1913_143521_000012_000004	How did she first come to the Caves of Kor, and what was her real religion?	How did she first come to the Caves of Kor, and what was her real religion?
1913_143521_000012_000005	We never ascertained, and now, alas! we never shall, at least not yet.	We never ascertained, and now, alas! we never shall, at least not yet.
1913_143521_000012_000006	These and many other questions arise in my mind, but what is the good of asking them now?	These and many other questions arise in my mind, but what is the good of asking them now?
1913_143521_000013_000000	"Will you undertake the task?	"Will you undertake the task?
1913_143521_000013_000001	We give you complete freedom, and as a reward you will, we believe, have the credit of presenting to the world the most wonderful history, as distinguished from romance, that its records can show.	We give you complete freedom, and as a reward you will, we believe, have the credit of presenting to the world the most wonderful history, as distinguished from romance, that its records can show.
1913_143521_000013_000002	Read the manuscript (which I have copied out fairly for your benefit), and let me know.	Read the manuscript (which I have copied out fairly for your benefit), and let me know.
1913_143521_000015_000000	"P.S.--Of course, if any profit results from the sale of the writing should you care to undertake its publication, you can do what you like with it, but if there is a loss I will leave instructions with my lawyers, Messrs.	"p s--Of course, if any profit results from the sale of the writing should you care to undertake its publication, you can do what you like with it, but if there is a loss I will leave instructions with my lawyers, Messrs.
1913_143521_000015_000001	Geoffrey and Jordan, to meet it.	Geoffrey and Jordan, to meet it.
1913_143521_000015_000002	We entrust the sherd, the scarab, and the parchments to your keeping, till such time as we demand them back again.	We entrust the sherd, the scarab, and the parchments to your keeping, till such time as we demand them back again.
1913_143521_000015_000003	--L. H. H."	--l h h"
1913_143521_000018_000000	Well, that is all I have to say.	Well, that is all I have to say.
1913_143521_000018_000001	Of the history itself the reader must judge.	Of the history itself the reader must judge.
1913_143521_000018_000002	I give it him, with the exception of a very few alterations, made with the object of concealing the identity of the actors from the general public, exactly as it came to me.	I give it him, with the exception of a very few alterations, made with the object of concealing the identity of the actors from the general public, exactly as it came to me.
1913_143521_000018_000004	At first I was inclined to believe that this history of a woman on whom, clothed in the majesty of her almost endless years, the shadow of Eternity itself lay like the dark wing of Night, was some gigantic allegory of which I could not catch the meaning.	At first I was inclined to believe that this history of a woman on whom, clothed in the majesty of her almost endless years, the shadow of Eternity itself lay like the dark wing of Night, was some gigantic allegory of which I could not catch the meaning.
1913_143521_000018_000005	Then I thought that it might be a bold attempt to portray the possible results of practical immortality, informing the substance of a mortal who yet drew her strength from Earth, and in whose human bosom passions yet rose and fell and beat as in the undying world around her the winds and the tides rise and fall and beat unceasingly.	Then I thought that it might be a bold attempt to portray the possible results of practical immortality, informing the substance of a mortal who yet drew her strength from Earth, and in whose human bosom passions yet rose and fell and beat as in the undying world around her the winds and the tides rise and fall and beat unceasingly.
1913_143521_000018_000006	But as I went on I abandoned that idea also.	But as I went on I abandoned that idea also.
1913_143521_000018_000007	To me the story seems to bear the stamp of truth upon its face.	To me the story seems to bear the stamp of truth upon its face.
1913_143521_000018_000008	Its explanation I must leave to others, and with this slight preface, which circumstances make necessary, I introduce the world to Ayesha and the Caves of Kor.--The Editor.	Its explanation I must leave to others, and with this slight preface, which circumstances make necessary, I introduce the world to Ayesha and the Caves of Kor.--The Editor.
1913_143521_000019_000000	P.S.--There is on consideration one circumstance that, after a reperusal of this history, struck me with so much force that I cannot resist calling the attention of the reader to it.	p s--There is on consideration one circumstance that, after a reperusal of this history, struck me with so much force that I cannot resist calling the attention of the reader to it.
1913_143521_000019_000002	He is not even, at any rate to my view, particularly interesting.	He is not even, at any rate to my view, particularly interesting.
1913_143521_000019_000004	Can it be that extremes meet, and that the very excess and splendour of her mind led her by means of some strange physical reaction to worship at the shrine of matter?	Can it be that extremes meet, and that the very excess and splendour of her mind led her by means of some strange physical reaction to worship at the shrine of matter?
1913_143521_000019_000005	Was that ancient Kallikrates nothing but a splendid animal loved for his hereditary Greek beauty?	Was that ancient Kallikrates nothing but a splendid animal loved for his hereditary Greek beauty?
