4800_73729_000000_000000	Henrietta accepted his proffered arm.	Henrietta accepted his proffered arm.	false	0	1.44	29.616684
4800_73729_000017_000011	Believe me, believe me, he is indeed worthy of you.'	Believe me, believe me, he is indeed worthy of you.'	true	373.7	377.65	18.763422
4800_73729_000018_000000	'I am not worthy of him,' said Henrietta, in a melancholy voice.	'I am not worthy of him,' said Henrietta, in a melancholy voice.	true	378.5	383.23	18
4800_73729_000019_000000	'Ah, Henrietta, who is like you!' exclaimed the fond and excited father.	'Ah, Henrietta, who is like you!' exclaimed the fond and excited father.	true	384.14	390.7	18.408403
4800_73729_000020_000000	At this moment a servant announced that Lord Montfort would, with their permission, wait upon them.	At this moment a servant announced that Lord Montfort would, with their permission, wait upon them.	true	391.91	397.42	15
4800_73729_000020_000001	Henrietta seemed plunged in thought. Suddenly she said, 'I cannot rest until this is settled.	Henrietta seemed plunged in thought. Suddenly she said, 'I cannot rest until this is settled.	true	397.97	405.19	20.535688
4800_73729_000020_000002	Papa, leave me with him a few moments alone.' Mr. Temple retired.	Papa, leave me with him a few moments alone.' mr Temple retired.	true	405.35	410.86	17.720684
4800_73729_000021_000000	A faint blush rose to the cheek of her visitor when he perceived that Miss Temple was alone.	A faint blush rose to the cheek of her visitor when he perceived that Miss Temple was alone.	true	412.1	417.55	15
4800_73729_000021_000001	He seated himself at her side, but he was unusually constrained.	He seated himself at her side, but he was unusually constrained.	true	417.86	422.32	22.345985
4800_73729_000022_000000	'My dear Lord Montfort,' said Miss Temple,' calmly, 'I have to speak upon a painful subject, but I have undergone so much suffering, that I shall not shrink from this.	'My dear Lord Montfort,' said Miss Temple,' calmly, 'I have to speak upon a painful subject, but I have undergone so much suffering, that I shall not shrink from this.	true	423.65	435.58	19.048132
4800_73729_000022_000001	Papa has informed me this morning that you have been pleased to pay me the highest compliment that a man can pay a woman.	Papa has informed me this morning that you have been pleased to pay me the highest compliment that a man can pay a woman.	true	436.43	443.2	11
4800_73729_000022_000002	I wish to thank you for it.	I wish to thank you for it.	true	443.84	445.57	18
4800_73729_000022_000003	I wish to acknowledge it in terms the strongest and the warmest I can use.	I wish to acknowledge it in terms the strongest and the warmest I can use.	true	445.73	450.19	11
4800_73729_000022_000004	I am sensible of the honour, the high honour that you have intended me.	I am sensible of the honour, the high honour that you have intended me.	true	450.89	455.23	19
4800_73729_000022_000005	It is indeed an honour of which any woman might be proud.	It is indeed an honour of which any woman might be proud.	true	455.63	459.19	14
4800_73729_000022_000006	You have offered me a heart of which I know the worth.	You have offered me a heart of which I know the worth.	true	459.68	462.88	18.37747
4800_73729_000022_000007	No one can appreciate the value of your character better than myself.	No one can appreciate the value of your character better than myself.	true	463.07	467.5	19
4800_73729_000022_000008	I do justice, full justice, to your virtues, your accomplishments, your commanding talents, and your generous soul.	I do justice, full justice, to your virtues, your accomplishments, your commanding talents, and your generous soul.	true	468.23	476.32	17
4800_73729_000022_000009	Except my father, there is no one who holds so high a place in my affection as yourself.	Except my father, there is no one who holds so high a place in my affection as yourself.	true	477.08	482.92	12
4800_73729_000022_000010	You have been my kind and true friend; and a kind and true friendship, faithful and sincere, I return you.	You have been my kind and true friend; and a kind and true friendship, faithful and sincere, I return you.	true	483.47	490.24	13
4800_73729_000022_000011	More than friends we never can be, for I have no heart to give.'	More than friends we never can be, for I have no heart to give.'	true	490.82	495.48	17.823175
4800_73729_000023_000000	'Ah, dearest Miss Temple,' said Lord Montfort, agitated, 'I ask nothing but that friendship; but let me enjoy it in your constant society; let the world recognise my right to be your consoler.'	'Ah, dearest Miss Temple,' said Lord Montfort, agitated, 'I ask nothing but that friendship; but let me enjoy it in your constant society; let the world recognise my right to be your consoler.'	false	495.48	509.23	20.065828
4800_73729_000024_000000	'You deserve a better and a brighter fate.	'You deserve a better and a brighter fate.	true	510.23	512.89	16
4800_73729_000024_000001	I should not be your friend if I could enter into such an engagement.'	I should not be your friend if I could enter into such an engagement.'	true	513.17	517.06	16
4800_73729_000025_000000	'The only aim of my life is to make you happy,' said Lord Montfort.	'The only aim of my life is to make you happy,' said Lord Montfort.	true	517.79	522.01	20
4800_73729_000026_000000	'I am sure that I ought to be happy with such a friend,' said Henrietta Temple, 'and I _am_ happy.	'I am sure that I ought to be happy with such a friend,' said Henrietta Temple, 'and I underscore am underscore happy.	false	523.31	530.14	18.12722
4800_73729_000026_000001	How different is the world to me from what it was before I knew you!	How different is the world to me from what it was before I knew you!	true	530.84	534.61	13
4800_73729_000026_000002	Ah, why will you disturb this life of consolation?	Ah, why will you disturb this life of consolation?	true	534.95	538.78	15
4800_73729_000026_000003	Why will you call me back to recollections that I would fain banish?	Why will you call me back to recollections that I would fain banish?	true	539.03	543.16	10
4800_73729_000026_000004	Why------'	Why------'	true	543.2	543.91	26.471018
4800_73729_000027_000000	'Dearest Miss Temple,' said Lord Montfort, 'do not reproach me!	'Dearest Miss Temple,' said Lord Montfort, 'do not reproach me!	true	544.13	548.92	16.11582
4800_73729_000027_000001	You make me wretched.	You make me wretched.	true	549.29	550.81	24
4800_73729_000027_000002	Remember, dear lady, that I have not sought this conversation; that if I were presumptuous in my plans and hopes, I at least took precautions that I should be the only sufferer by their nonfulfilment.'	Remember, dear lady, that I have not sought this conversation; that if I were presumptuous in my plans and hopes, I at least took precautions that I should be the only sufferer by their nonfulfilment.'	true	551.72	564.94	19.792742
4800_73729_000028_000000	'Best and most generous of men!	'Best and most generous of men!	true	565.94	568.27	15
4800_73729_000028_000001	I would not for the world be unkind to you.	I would not for the world be unkind to you.	true	568.49	571.3	13
4800_73729_000028_000002	Pardon my distracted words.	Pardon my distracted words.	true	571.7	573.85	10
4800_73729_000028_000003	But you know all?	But you know all?	true	574.37	575.56	17
4800_73729_000028_000004	Has papa told you all?	Has papa told you all?	true	575.93	577.66	18.678665
4800_73729_000028_000005	It is my wish.'	It is my wish.'	true	578.27	579.67	21.44056
4800_73729_000029_000000	'It is not mine,' replied Lord Montfort; 'I wish not to penetrate your sorrows, but only to soothe them.'	'It is not mine,' replied Lord Montfort; 'I wish not to penetrate your sorrows, but only to soothe them.'	true	580.7	589.18	19.253752
4800_73729_000030_000000	'Oh, if we had but met earlier,' said Henrietta Temple; 'if we had but known each other a year ago! when I was, not worthy of you, but more worthy of you.	'Oh, if we had but met earlier,' said Henrietta Temple; 'if we had but known each other a year ago! when I was, not worthy of you, but more worthy of you.	true	589.31	600.76	19.851772
4800_73729_000030_000001	But now, with health shattered, the lightness of my spirit vanished, the freshness of my feelings gone, no, my kind friend, my dear and gentle friend! my affection for you is too sincere to accede to your request; and a year hence Lord Montfort will thank me for my denial.'	But now, with health shattered, the lightness of my spirit vanished, the freshness of my feelings gone, no, my kind friend, my dear and gentle friend! my affection for you is too sincere to accede to your request; and a year hence Lord Montfort will thank me for my denial.'	true	601.55	621.64	19.21565
4800_73729_000031_000000	'I scarcely dare to speak,' said Lord Montfort, in a low tone, as if suppressing his emotion, 'if I were to express my feelings, I might agitate you.	'I scarcely dare to speak,' said Lord Montfort, in a low tone, as if suppressing his emotion, 'if I were to express my feelings, I might agitate you.	true	623.15	633.79	17.717438
4800_73729_000031_000001	I will not then venture to reply to what you have urged; to tell you I think you the most beautiful and engaging being that ever breathed; or how I dote upon your pensive spirit, and can sit for hours together gazing on the language of those dark eyes.	I will not then venture to reply to what you have urged; to tell you I think you the most beautiful and engaging being that ever breathed; or how I dote upon your pensive spirit, and can sit for hours together gazing on the language of those dark eyes.	true	634.58	649.39	13
4800_73729_000031_000002	O Miss Temple, to me you never could have been more beautiful, more fascinating.	O Miss Temple, to me you never could have been more beautiful, more fascinating.	true	650.09	656.02	7
4800_73729_000031_000003	Alas!	Alas!	true	656.48	657.46	22.303816
4800_73729_000031_000004	I may not even breathe my love; I am unfortunate.	I may not even breathe my love; I am unfortunate.	true	657.86	661.75	18
4800_73729_000031_000005	And yet, sweet lady, pardon this agitation I have occasioned you; try to love me yet; endure at least my presence; and let me continue to cherish that intimacy that has thrown over my existence a charm so inexpressible.' So saying, he ventured to take her hand, and pressed it with devotion to his lips.	And yet, sweet lady, pardon this agitation I have occasioned you; try to love me yet; endure at least my presence; and let me continue to cherish that intimacy that has thrown over my existence a charm so inexpressible.' So saying, he ventured to take her hand, and pressed it with devotion to his lips.	false	662.42	693.99	19.450193
