543_133211_000000_000000	XXIV	twenty four	true	6.225	7.45	18.550564
543_133211_000010_000000	"We need only ask them to dine with us," said Candide, "and you will see whether I am mistaken."	"We need only ask them to dine with us," said Candide, "and you will see whether I am mistaken."	true	179.01	184.62	18
543_133211_000011_000000	Immediately he accosted them, presented his compliments, and invited them to his inn to eat some macaroni, with Lombard partridges, and caviare, and to drink some Montepulciano, Lachrymae Christi, Cyprus and Samos wine.	Immediately he accosted them, presented his compliments, and invited them to his inn to eat some macaroni, with Lombard partridges, and caviare, and to drink some Montepulciano, Lachrymae Christi, Cyprus and Samos wine.	true	184.62	201.255	15
543_133211_000011_000001	The girl blushed, the Theatin accepted the invitation and she followed him, casting her eyes on Candide with confusion and surprise, and dropping a few tears.	The girl blushed, the Theatin accepted the invitation and she followed him, casting her eyes on Candide with confusion and surprise, and dropping a few tears.	true	201.255	212.04	15
543_133211_000011_000002	No sooner had she set foot in Candide's apartment than she cried out:	No sooner had she set foot in Candide's apartment than she cried out:	true	212.04	216.54	18
543_133211_000012_000000	"Ah!	"Ah!	false	216.54	217.29	24.37223
543_133211_000012_000001	Mr. Candide does not know Paquette again."	mr Candide does not know Paquette again."	true	217.29	220.605	12
543_133211_000013_000000	Candide had not viewed her as yet with attention, his thoughts being entirely taken up with Cunegonde; but recollecting her as she spoke.	Candide had not viewed her as yet with attention, his thoughts being entirely taken up with Cunegonde; but recollecting her as she spoke.	false	220.605	228.585	16
543_133211_000014_000000	"Alas!" said he, "my poor child, it is you who reduced Doctor Pangloss to the beautiful condition in which I saw him?"	"Alas!" said he, "my poor child, it is you who reduced Doctor Pangloss to the beautiful condition in which I saw him?"	true	228.585	236.88	14
543_133211_000015_000000	"Alas! it was I, sir, indeed," answered Paquette.	"Alas! it was I, sir, indeed," answered Paquette.	false	236.88	240.33	16
543_133211_000015_000001	"I see that you have heard all.	"I see that you have heard all.	true	240.33	242.205	13
543_133211_000015_000002	I have been informed of the frightful disasters that befell the family of my lady Baroness, and the fair Cunegonde.	I have been informed of the frightful disasters that befell the family of my lady Baroness, and the fair Cunegonde.	false	242.205	249.48	15
543_133211_000015_000003	I swear to you that my fate has been scarcely less sad.	I swear to you that my fate has been scarcely less sad.	true	249.48	253.96	19
543_133211_000015_000004	I was very innocent when you knew me.	I was very innocent when you knew me.	false	253.97	256.245	13
543_133211_000015_000005	A Grey Friar, who was my confessor, easily seduced me.	A Grey Friar, who was my confessor, easily seduced me.	true	256.245	260.17	14
543_133211_000015_000006	The consequences were terrible.	The consequences were terrible.	true	260.21	262.545	24.396275
543_133211_000015_000007	I was obliged to quit the castle some time after the Baron had sent you away with kicks on the backside.	I was obliged to quit the castle some time after the Baron had sent you away with kicks on the backside.	true	262.545	269.115	14
543_133211_000015_000008	If a famous surgeon had not taken compassion on me, I should have died.	If a famous surgeon had not taken compassion on me, I should have died.	true	269.115	273.465	14
543_133211_000015_000009	For some time I was this surgeon's mistress, merely out of gratitude.	For some time I was this surgeon's mistress, merely out of gratitude.	true	273.465	278.415	14
543_133211_000015_000010	His wife, who was mad with jealousy, beat me every day unmercifully; she was a fury.	His wife, who was mad with jealousy, beat me every day unmercifully; she was a fury.	true	278.415	284.955	11
543_133211_000015_000011	The surgeon was one of the ugliest of men, and I the most wretched of women, to be continually beaten for a man I did not love. You know, sir, what a dangerous thing it is for an ill-natured woman to be married to a doctor.	The surgeon was one of the ugliest of men, and I the most wretched of women, to be continually beaten for a man I did not love. You know, sir, what a dangerous thing it is for an ill natured woman to be married to a doctor.	true	284.955	300.85	14
543_133211_000015_000012	Incensed at the behaviour of his wife, he one day gave her so effectual a remedy to cure her of a slight cold, that she died two hours after, in most horrid convulsions.	Incensed at the behaviour of his wife, he one day gave her so effectual a remedy to cure her of a slight cold, that she died two hours after, in most horrid convulsions.	true	300.98	313.54	13
543_133211_000015_000013	The wife's relations prosecuted the husband; he took flight, and I was thrown into jail.	The wife's relations prosecuted the husband; he took flight, and I was thrown into jail.	true	313.55	319.395	18
543_133211_000015_000014	My innocence would not have saved me if I had not been good-looking.	My innocence would not have saved me if I had not been good looking.	true	319.395	324.13	14
543_133211_000015_000015	The judge set me free, on condition that he succeeded the surgeon.	The judge set me free, on condition that he succeeded the surgeon.	true	324.23	329.32	16
543_133211_000015_000016	I was soon supplanted by a rival, turned out of doors quite destitute, and obliged to continue this abominable trade, which appears so pleasant to you men, while to us women it is the utmost abyss of misery.	I was soon supplanted by a rival, turned out of doors quite destitute, and obliged to continue this abominable trade, which appears so pleasant to you men, while to us women it is the utmost abyss of misery.	false	329.45	345.42	14
543_133211_000015_000017	I have come to exercise the profession at Venice.	I have come to exercise the profession at Venice.	true	345.42	348.66	14
543_133211_000015_000018	Ah! sir, if you could only imagine what it is to be obliged to caress indifferently an old merchant, a lawyer, a monk, a gondolier, an abbe, to be exposed to abuse and insults; to be often reduced to borrowing a petticoat, only to go and have it raised by a disagreeable man; to be robbed by one of what one has earned from another; to be subject to the extortions of the officers of justice; and to have in prospect only a frightful old age, a hospital, and a dung-hill; you would conclude that I am one of the most unhappy creatures in the world."[33]	Ah! sir, if you could only imagine what it is to be obliged to caress indifferently an old merchant, a lawyer, a monk, a gondolier, an abbe, to be exposed to abuse and insults; to be often reduced to borrowing a petticoat, only to go and have it raised by a disagreeable man; to be robbed by one of what one has earned from another; to be subject to the extortions of the officers of justice; and to have in prospect only a frightful old age, a hospital, and a dung hill; you would conclude that I am one of the most unhappy creatures in the world."[thirty three]	false	348.66	393.36	14
543_133211_000016_000000	Paquette thus opened her heart to honest Candide, in the presence of Martin, who said to his friend:	Paquette thus opened her heart to honest Candide, in the presence of Martin, who said to his friend:	false	393.36	400.155	15
543_133211_000017_000000	"You see that already I have won half the wager."	"You see that already I have won half the wager."	false	400.155	404.28	13
543_133211_000018_000000	Friar Giroflee stayed in the dining-room, and drank a glass or two of wine while he was waiting for dinner.	Friar Giroflee stayed in the dining room, and drank a glass or two of wine while he was waiting for dinner.	true	404.28	410.79	12
543_133211_000019_000000	"But," said Candide to Paquette, "you looked so gay and content when I met you; you sang and you behaved so lovingly to the Theatin, that you seemed to me as happy as you pretend to be now the reverse."	"But," said Candide to Paquette, "you looked so gay and content when I met you; you sang and you behaved so lovingly to the Theatin, that you seemed to me as happy as you pretend to be now the reverse."	true	410.79	425.19	15
543_133211_000020_000000	"Ah! sir," answered Paquette, "this is one of the miseries of the trade. Yesterday I was robbed and beaten by an officer; yet to-day I must put on good humour to please a friar."	"Ah! sir," answered Paquette, "this is one of the miseries of the trade. Yesterday I was robbed and beaten by an officer; yet to day I must put on good humour to please a friar."	false	425.19	438.31	16
543_133211_000021_000000	Candide wanted no more convincing; he owned that Martin was in the right.	Candide wanted no more convincing; he owned that Martin was in the right.	true	438.32	443.56	17.95523
543_133211_000021_000001	They sat down to table with Paquette and the Theatin; the repast was entertaining; and towards the end they conversed with all confidence.	They sat down to table with Paquette and the Theatin; the repast was entertaining; and towards the end they conversed with all confidence.	false	443.6	452.715	17
543_133211_000022_000000	"Father," said Candide to the Friar, "you appear to me to enjoy a state that all the world might envy; the flower of health shines in your face, your expression makes plain your happiness; you have a very pretty girl for your recreation, and you seem well satisfied with your state as a Theatin."	"Father," said Candide to the Friar, "you appear to me to enjoy a state that all the world might envy; the flower of health shines in your face, your expression makes plain your happiness; you have a very pretty girl for your recreation, and you seem well satisfied with your state as a Theatin."	false	452.715	473.025	16
543_133211_000023_000000	"My faith, sir," said Friar Giroflee, "I wish that all the Theatins were at the bottom of the sea.	"My faith, sir," said Friar Giroflee, "I wish that all the Theatins were at the bottom of the sea.	false	473.025	479.895	17
543_133211_000023_000001	I have been tempted a hundred times to set fire to the convent, and go and become a Turk.	I have been tempted a hundred times to set fire to the convent, and go and become a Turk.	true	479.895	486.495	19
543_133211_000023_000002	My parents forced me at the age of fifteen to put on this detestable habit, to increase the fortune of a cursed elder brother, whom God confound.	My parents forced me at the age of fifteen to put on this detestable habit, to increase the fortune of a cursed elder brother, whom God confound.	true	486.495	496.51	16
543_133211_000023_000003	Jealousy, discord, and fury, dwell in the convent.	Jealousy, discord, and fury, dwell in the convent.	true	496.82	500.955	20
543_133211_000023_000004	It is true I have preached a few bad sermons that have brought me in a little money, of which the prior stole half, while the rest serves to maintain my girls; but when I return at night to the monastery, I am ready to dash my head against the walls of the dormitory; and all my fellows are in the same case."	It is true I have preached a few bad sermons that have brought me in a little money, of which the prior stole half, while the rest serves to maintain my girls; but when I return at night to the monastery, I am ready to dash my head against the walls of the dormitory; and all my fellows are in the same case."	false	500.955	521.29	14
543_133211_000024_000000	Martin turned towards Candide with his usual coolness.	Martin turned towards Candide with his usual coolness.	true	521.48	525.85	12
543_133211_000025_000000	"Well," said he, "have I not won the whole wager?"	"Well," said he, "have I not won the whole wager?"	true	525.95	530.26	19
543_133211_000026_000000	Candide gave two thousand piastres to Paquette, and one thousand to Friar Giroflee.	Candide gave two thousand piastres to Paquette, and one thousand to Friar Giroflee.	false	530.27	536.58	17
543_133211_000027_000000	"I'll answer for it," said he, "that with this they will be happy."	"I'll answer for it," said he, "that with this they will be happy."	true	536.58	541.09	17
543_133211_000028_000000	"I do not believe it at all," said Martin; "you will, perhaps, with these piastres only render them the more unhappy."	"I do not believe it at all," said Martin; "you will, perhaps, with these piastres only render them the more unhappy."	true	541.16	549.58	17
543_133211_000029_000000	"Let that be as it may," said Candide, "but one thing consoles me.	"Let that be as it may," said Candide, "but one thing consoles me.	true	549.65	554.415	16
543_133211_000029_000001	I see that we often meet with those whom we expected never to see more; so that, perhaps, as I have found my red sheep and Paquette, it may well be that I shall also find Cunegonde."	I see that we often meet with those whom we expected never to see more; so that, perhaps, as I have found my red sheep and Paquette, it may well be that I shall also find Cunegonde."	false	554.415	567.99	16
543_133211_000030_000000	"I wish," said Martin, "she may one day make you very happy; but I doubt it very much."	"I wish," said Martin, "she may one day make you very happy; but I doubt it very much."	true	567.99	574.875	19
543_133211_000031_000000	"You are very hard of belief," said Candide.	"You are very hard of belief," said Candide.	true	574.875	577.87	17
543_133211_000032_000000	"I have lived," said Martin.	"I have lived," said Martin.	true	578.09	580.84	16.712166
543_133211_000033_000000	"You see those gondoliers," said Candide, "are they not perpetually singing?"	"You see those gondoliers," said Candide, "are they not perpetually singing?"	true	580.91	585.63	13
543_133211_000034_000000	"You do not see them," said Martin, "at home with their wives and brats. The Doge has his troubles, the gondoliers have theirs.	"You do not see them," said Martin, "at home with their wives and brats. The Doge has his troubles, the gondoliers have theirs.	true	585.63	593.775	13
543_133211_000034_000001	It is true that, all things considered, the life of a gondolier is preferable to that of a Doge; but I believe the difference to be so trifling that it is not worth the trouble of examining."	It is true that, all things considered, the life of a gondolier is preferable to that of a Doge; but I believe the difference to be so trifling that it is not worth the trouble of examining."	false	593.775	605.71	14
543_133211_000035_000000	"People talk," said Candide, "of the Senator Pococurante, who lives in that fine palace on the Brenta, where he entertains foreigners in the politest manner.	"People talk," said Candide, "of the Senator Pococurante, who lives in that fine palace on the Brenta, where he entertains foreigners in the politest manner.	false	605.87	617.055	13
543_133211_000035_000001	They pretend that this man has never felt any uneasiness."	They pretend that this man has never felt any uneasiness."	true	617.055	621.43	16
543_133211_000036_000000	"I should be glad to see such a rarity," said Martin.	"I should be glad to see such a rarity," said Martin.	true	621.56	625.44	12
543_133211_000037_000000	Candide immediately sent to ask the Lord Pococurante permission to wait upon him the next day.	Candide immediately sent to ask the Lord Pococurante permission to wait upon him the next day.	false	625.44	634.8	21.247442
543_133211_000038_000000	XXV	twenty five	false	634.8	640.065	17.588808
543_133211_000039_000000	THE VISIT TO LORD POCOCURANTE, A NOBLE VENETIAN.	THE VISIT TO LORD p o c o c u r a n t e, A NOBLE VENETIAN.	false	640.065	659.91	21.537947
