4592_22179_000004_000000	CHAPTER XVIII	CHAPTER eighteen
4592_22179_000054_000001	You think I may hope?	You think I may hope?
4592_22179_000054_000002	You think...?"	You think...?"
4592_22179_000055_000001	"Write to her parents, and leave it to me.	"Write to her parents, and leave it to me.
4592_22179_000055_000003	I wish it to happen and my heart tells me it will."	I wish it to happen and my heart tells me it will."
4592_22179_000056_000000	"No, it cannot be!	"No, it cannot be!
4592_22179_000056_000001	How happy I am!	How happy I am!
4592_22179_000056_000002	But it can't be....	But it can't be....
4592_22179_000056_000003	How happy I am!	How happy I am!
4592_22179_000056_000004	No, it can't be!" Pierre kept saying as he kissed Princess Mary's hands.	No, it can't be!" Pierre kept saying as he kissed Princess Mary's hands.
4592_22179_000057_000000	"Go to Petersburg, that will be best.	"Go to Petersburg, that will be best.
4592_22179_000057_000001	And I will write to you," she said.	And I will write to you," she said.
4592_22179_000058_000000	"To Petersburg?	"To Petersburg?
4592_22179_000058_000001	Go there?	Go there?
4592_22179_000058_000003	But I may come again tomorrow?"	But I may come again tomorrow?"
4592_22179_000059_000000	Next day Pierre came to say good-by.	Next day Pierre came to say good by.
4592_22179_000059_000001	Natasha was less animated than she had been the day before; but that day as he looked at her Pierre sometimes felt as if he was vanishing and that neither he nor she existed any longer, that nothing existed but happiness.	Natasha was less animated than she had been the day before; but that day as he looked at her Pierre sometimes felt as if he was vanishing and that neither he nor she existed any longer, that nothing existed but happiness.
4592_22179_000059_000002	"Is it possible?	"Is it possible?
4592_22179_000060_000000	When on saying good-by he took her thin, slender hand, he could not help holding it a little longer in his own.	When on saying good by he took her thin, slender hand, he could not help holding it a little longer in his own.
4592_22179_000062_000000	"Good-bye, Count," she said aloud.	"Good bye, Count," she said aloud.
4592_22179_000062_000001	"I shall look forward very much to your return," she added in a whisper.	"I shall look forward very much to your return," she added in a whisper.
4592_22179_000063_000000	And these simple words, her look, and the expression on her face which accompanied them, formed for two months the subject of inexhaustible memories, interpretations, and happy meditations for Pierre.	And these simple words, her look, and the expression on her face which accompanied them, formed for two months the subject of inexhaustible memories, interpretations, and happy meditations for Pierre.
4592_22179_000063_000001	"'I shall look forward very much to your return....' Yes, yes, how did she say it?	"'I shall look forward very much to your return....' Yes, yes, how did she say it?
4592_22179_000063_000003	What is happening to me?	What is happening to me?
