7868_110705_000001_000000	Southwest Wind, Esquire, was as good as his word.	Southwest Wind, Esquire, was as good as his word.
7868_110705_000009_000002	Gluck looked out of the window.	Gluck looked out of the window.
7868_110705_000009_000003	No, it was certainly in the house.	No, it was certainly in the house.
7868_110705_000009_000004	Upstairs, and downstairs.	Upstairs, and downstairs.
7868_110705_000009_000006	He ran to the opening, and looked in: yes, he saw right; it seemed to be coming, not only out of the furnace, but out of the pot.	He ran to the opening, and looked in: yes, he saw right; it seemed to be coming, not only out of the furnace, but out of the pot.
7868_110705_000009_000007	He uncovered it, and ran back in a great fright, for the pot was certainly singing!	He uncovered it, and ran back in a great fright, for the pot was certainly singing!
7868_110705_000011_000000	Gluck made no answer.	Gluck made no answer.
7868_110705_000012_000001	Gluck, my boy," said the pot again.	Gluck, my boy," said the pot again.
7868_110705_000013_000000	Gluck summoned all his energies, walked straight up to the crucible, drew it out of the furnace, and looked in.	Gluck summoned all his energies, walked straight up to the crucible, drew it out of the furnace, and looked in.
7868_110705_000014_000000	"Come, Gluck, my boy," said the voice out of the pot again, "I'm all right; pour me out."	"Come, Gluck, my boy," said the voice out of the pot again, "I'm all right; pour me out."
7868_110705_000017_000000	Still Gluck couldn't move.	Still Gluck couldn't move.
7868_110705_000018_000001	"I'm too hot."	"I'm too hot."
7868_110705_000020_000000	"That's right!" said the dwarf, stretching out first his legs, and then his arms, and then shaking his head up and down, and as far round as it would go, for five minutes without stopping; apparently with the view of ascertaining if he were quite correctly put together, while Gluck stood contemplating him in speechless amazement.	"That's right!" said the dwarf, stretching out first his legs, and then his arms, and then shaking his head up and down, and as far round as it would go, for five minutes without stopping; apparently with the view of ascertaining if he were quite correctly put together, while Gluck stood contemplating him in speechless amazement.
7868_110705_000020_000002	The features of the face, however, were by no means finished with the same delicacy; they were rather coarse, slightly inclining to coppery in complexion, and indicative, in expression, of a very pertinacious and intractable disposition in their small proprietor.	The features of the face, however, were by no means finished with the same delicacy; they were rather coarse, slightly inclining to coppery in complexion, and indicative, in expression, of a very pertinacious and intractable disposition in their small proprietor.
7868_110705_000020_000003	When the dwarf had finished his self-examination, he turned his small eyes full on Gluck, and stared at him deliberately for a minute or two.	When the dwarf had finished his self examination, he turned his small eyes full on Gluck, and stared at him deliberately for a minute or two.
7868_110705_000020_000004	"No, it wouldn't, Gluck, my boy," said the little man.	"No, it wouldn't, Gluck, my boy," said the little man.
7868_110705_000021_000000	This was certainly rather an abrupt and unconnected mode of commencing conversation.	This was certainly rather an abrupt and unconnected mode of commencing conversation.
7868_110705_000021_000001	It might indeed be supposed to refer to the course of Gluck's thoughts, which had first produced the dwarf's observations out of the pot; but whatever it referred to, Gluck had no inclination to dispute the dictum.	It might indeed be supposed to refer to the course of Gluck's thoughts, which had first produced the dwarf's observations out of the pot; but whatever it referred to, Gluck had no inclination to dispute the dictum.
7868_110705_000022_000000	"Wouldn't it, sir?" said Gluck, very mildly and submissively indeed.	"Wouldn't it, sir?" said Gluck, very mildly and submissively indeed.
7868_110705_000023_000000	"No," said the dwarf, conclusively.	"No," said the dwarf, conclusively.
7868_110705_000023_000002	This pause gave time for Gluck to collect his thoughts a little, and, seeing no great reason to view his diminutive visitor with dread, and feeling his curiosity overcome his amazement, he ventured on a question of peculiar delicacy.	This pause gave time for Gluck to collect his thoughts a little, and, seeing no great reason to view his diminutive visitor with dread, and feeling his curiosity overcome his amazement, he ventured on a question of peculiar delicacy.
7868_110705_000024_000000	"Pray, sir," said Gluck, rather hesitatingly, "were you my mug?"	"Pray, sir," said Gluck, rather hesitatingly, "were you my mug?"
7868_110705_000025_000000	On which the little man turned sharp round, walked straight up to Gluck, and drew himself up to his full height.	On which the little man turned sharp round, walked straight up to Gluck, and drew himself up to his full height.
7868_110705_000025_000002	After which, he again walked up to Gluck and stood still, as if expecting some comment on his communication.	After which, he again walked up to Gluck and stood still, as if expecting some comment on his communication.
7868_110705_000026_000000	Gluck determined to say something at all events.	Gluck determined to say something at all events.
7868_110705_000026_000001	"I hope your Majesty is very well," said Gluck.	"I hope your Majesty is very well," said Gluck.
7868_110705_000027_000000	"Listen!" said the little man, deigning no reply to this polite inquiry.	"Listen!" said the little man, deigning no reply to this polite inquiry.
7868_110705_000027_000001	"I am the King of what you mortals call the Golden River.	"I am the King of what you mortals call the Golden River.
7868_110705_000027_000002	The shape you saw me in was owing to the malice of a stronger king, from whose enchantments you have this instant freed me.	The shape you saw me in was owing to the malice of a stronger king, from whose enchantments you have this instant freed me.
7868_110705_000027_000003	What I have seen of you, and your conduct to your wicked brothers, renders me willing to serve you; therefore, attend to what I tell you.	What I have seen of you, and your conduct to your wicked brothers, renders me willing to serve you; therefore, attend to what I tell you.
7868_110705_000027_000005	His figure became red, white, transparent, dazzling--a blaze of intense light--rose, trembled, and disappeared.	His figure became red, white, transparent, dazzling-a blaze of intense light-rose, trembled, and disappeared.
7868_110705_000027_000006	The King of the Golden River had evaporated.	The King of the Golden River had evaporated.
7868_110705_000028_000000	"Oh!" cried poor Gluck, running to look up the chimney after him; "oh dear, dear, dear me!	"Oh!" cried poor Gluck, running to look up the chimney after him; "oh dear, dear, dear me!
