126_122467_000003_000000	48 A FAMILY AFFAIR	forty eight A FAMILY AFFAIR
126_122467_000071_000002	Twice you have nearly been the victim of a near relative, whom you believe to be your heir because you are ignorant that before she contracted a marriage in England she was already married in France.	Twice you have nearly been the victim of a near relative, whom you believe to be your heir because you are ignorant that before she contracted a marriage in England she was already married in France.
126_122467_000071_000003	But the third time, which is the present, you may succumb. Your relative left La Rochelle for England during the night.	But the third time, which is the present, you may succumb. Your relative left La Rochelle for England during the night.
126_122467_000071_000004	Watch her arrival, for she has great and terrible projects.	Watch her arrival, for she has great and terrible projects.
126_122467_000071_000005	If you require to know positively what she is capable of, read her past history on her left shoulder."	If you require to know positively what she is capable of, read her past history on her left shoulder."
126_122467_000072_000000	"Well, now that will do wonderfully well," said Athos.	"Well, now that will do wonderfully well," said Athos.
126_122467_000072_000001	"My dear Aramis, you have the pen of a secretary of state.	"My dear Aramis, you have the pen of a secretary of state.
126_122467_000072_000002	Lord de Winter will now be upon his guard if the letter should reach him; and even if it should fall into the hands of the cardinal, we shall not be compromised.	Lord de Winter will now be upon his guard if the letter should reach him; and even if it should fall into the hands of the cardinal, we shall not be compromised.
126_122467_000072_000003	But as the lackey who goes may make us believe he has been to London and may stop at Chatellerault, let us give him only half the sum promised him, with the letter, with an agreement that he shall have the other half in exchange for the reply.	But as the lackey who goes may make us believe he has been to London and may stop at Chatellerault, let us give him only half the sum promised him, with the letter, with an agreement that he shall have the other half in exchange for the reply.
126_122467_000072_000004	Have you the diamond?" continued Athos.	Have you the diamond?" continued Athos.
126_122467_000073_000000	"I have what is still better.	"I have what is still better.
126_122467_000073_000001	I have the price;" and d'Artagnan threw the bag upon the table.	I have the price;" and d'Artagnan threw the bag upon the table.
126_122467_000073_000002	At the sound of the gold Aramis raised his eyes and Porthos started.	At the sound of the gold Aramis raised his eyes and Porthos started.
126_122467_000073_000003	As to Athos, he remained unmoved.	As to Athos, he remained unmoved.
126_122467_000074_000000	"How much in that little bag?"	"How much in that little bag?"
126_122467_000077_000000	"It appears so," said Athos, "since here they are.	"It appears so," said Athos, "since here they are.
126_122467_000077_000001	I don't suppose that our friend d'Artagnan has added any of his own to the amount."	I don't suppose that our friend d'Artagnan has added any of his own to the amount."
126_122467_000078_000000	"But, gentlemen, in all this," said d'Artagnan, "we do not think of the queen.	"But, gentlemen, in all this," said d'Artagnan, "we do not think of the queen.
126_122467_000078_000001	Let us take some heed of the welfare of her dear Buckingham.	Let us take some heed of the welfare of her dear Buckingham.
126_122467_000078_000002	That is the least we owe her."	That is the least we owe her."
126_122467_000079_000000	"That's true," said Athos; "but that concerns Aramis."	"That's true," said Athos; "but that concerns Aramis."
126_122467_000080_000000	"Well," replied the latter, blushing, "what must I say?"	"Well," replied the latter, blushing, "what must I say?"
126_122467_000081_000000	"Oh, that's simple enough!" replied Athos.	"Oh, that's simple enough!" replied Athos.
126_122467_000082_000000	Aramis resumed his pen, reflected a little, and wrote the following lines, which he immediately submitted to the approbation of his friends.	Aramis resumed his pen, reflected a little, and wrote the following lines, which he immediately submitted to the approbation of his friends.
126_122467_000083_000000	"My dear cousin."	"My dear cousin."
126_122467_000084_000001	"This clever person is your relative, then?"	"This clever person is your relative, then?"
126_122467_000085_000000	"Cousin-german."	"Cousin german."
126_122467_000086_000000	"Go on, to your cousin, then!"	"Go on, to your cousin, then!"
126_122467_000088_000000	"My dear Cousin, His Eminence, the cardinal, whom God preserve for the happiness of France and the confusion of the enemies of the kingdom, is on the point of putting an end to the hectic rebellion of La Rochelle. It is probable that the succor of the English fleet will never even arrive in sight of the place.	"My dear Cousin, His Eminence, the cardinal, whom God preserve for the happiness of France and the confusion of the enemies of the kingdom, is on the point of putting an end to the hectic rebellion of La Rochelle. It is probable that the succor of the English fleet will never even arrive in sight of the place.
126_122467_000088_000002	His Eminence is the most illustrious politician of times past, of times present, and probably of times to come.	His Eminence is the most illustrious politician of times past, of times present, and probably of times to come.
126_122467_000088_000003	He would extinguish the sun if the sun incommoded him.	He would extinguish the sun if the sun incommoded him.
126_122467_000088_000004	Give these happy tidings to your sister, my dear cousin.	Give these happy tidings to your sister, my dear cousin.
126_122467_000088_000005	I have dreamed that the unlucky Englishman was dead.	I have dreamed that the unlucky Englishman was dead.
126_122467_000088_000006	I cannot recollect whether it was by steel or by poison; only of this I am sure, I have dreamed he was dead, and you know my dreams never deceive me.	I cannot recollect whether it was by steel or by poison; only of this I am sure, I have dreamed he was dead, and you know my dreams never deceive me.
126_122467_000088_000007	Be assured, then, of seeing me soon return."	Be assured, then, of seeing me soon return."
126_122467_000089_000001	You speak like the Apocalypse, and you are as true as the Gospel.	You speak like the Apocalypse, and you are as true as the Gospel.
126_122467_000089_000002	There is nothing now to do but to put the address to this letter."	There is nothing now to do but to put the address to this letter."
126_122467_000091_000000	He folded the letter fancifully, and took up his pen and wrote:	He folded the letter fancifully, and took up his pen and wrote:
126_122467_000093_000000	The three friends looked at one another and laughed; they were caught.	The three friends looked at one another and laughed; they were caught.
126_122467_000094_000000	"Now," said Aramis, "you will please to understand, gentlemen, that Bazin alone can carry this letter to Tours.	"Now," said Aramis, "you will please to understand, gentlemen, that Bazin alone can carry this letter to Tours.
126_122467_000094_000001	My cousin knows nobody but Bazin, and places confidence in nobody but him; any other person would fail.	My cousin knows nobody but Bazin, and places confidence in nobody but him; any other person would fail.
126_122467_000094_000002	Besides, Bazin is ambitious and learned; Bazin has read history, gentlemen, he knows that Sixtus the Fifth became Pope after having kept pigs.	Besides, Bazin is ambitious and learned; Bazin has read history, gentlemen, he knows that Sixtus the Fifth became Pope after having kept pigs.
126_122467_000094_000004	You can understand that a man who has such views will never allow himself to be taken, or if taken, will undergo martyrdom rather than speak."	You can understand that a man who has such views will never allow himself to be taken, or if taken, will undergo martyrdom rather than speak."
126_122467_000095_000003	If your arrangements at Tours are your arrangements, Aramis, those of London are mine.	If your arrangements at Tours are your arrangements, Aramis, those of London are mine.
126_122467_000095_000005	With that you may be satisfied he can make his way, both going and returning."	With that you may be satisfied he can make his way, both going and returning."
126_122467_000096_000002	Will that do?"	Will that do?"
126_122467_000097_000000	"My dear Athos," said Aramis, "you speak like Nestor, who was, as everyone knows, the wisest among the Greeks."	"My dear Athos," said Aramis, "you speak like Nestor, who was, as everyone knows, the wisest among the Greeks."
126_122467_000099_000001	The matter had been named to him by d'Artagnan, who in the first place pointed out the money to him, then the glory, and then the danger.	The matter had been named to him by d'Artagnan, who in the first place pointed out the money to him, then the glory, and then the danger.
126_122467_000101_000000	"Well, but then you will not be able to fulfill your commission," said d'Artagnan.	"Well, but then you will not be able to fulfill your commission," said d'Artagnan.
126_122467_000102_000000	"You will give me a copy this evening, which I shall know by heart tomorrow."	"You will give me a copy this evening, which I shall know by heart tomorrow."
126_122467_000103_000000	D'Artagnan looked at his friends, as if to say, "Well, what did I tell you?"	D'Artagnan looked at his friends, as if to say, "Well, what did I tell you?"
126_122467_000104_000000	"Now," continued he, addressing Planchet, "you have eight days to get an interview with Lord de Winter; you have eight days to return--in all sixteen days.	"Now," continued he, addressing Planchet, "you have eight days to get an interview with Lord de Winter; you have eight days to return-in all sixteen days.
126_122467_000106_000001	Remember, if you talk, if you babble, if you get drunk, you risk your master's head, who has so much confidence in your fidelity, and who answers for you.	Remember, if you talk, if you babble, if you get drunk, you risk your master's head, who has so much confidence in your fidelity, and who answers for you.
126_122467_000106_000002	But remember, also, that if by your fault any evil happens to d'Artagnan, I will find you, wherever you may be, for the purpose of ripping up your belly."	But remember, also, that if by your fault any evil happens to d'Artagnan, I will find you, wherever you may be, for the purpose of ripping up your belly."
126_122467_000108_000000	"And I," said Porthos, rolling his large eyes, "remember, I will skin you alive."	"And I," said Porthos, rolling his large eyes, "remember, I will skin you alive."
126_122467_000109_000000	"Ah, monsieur!"	"Ah, monsieur!"
126_122467_000110_000000	"And I," said Aramis, with his soft, melodius voice, "remember that I will roast you at a slow fire, like a savage."	"And I," said Aramis, with his soft, melodius voice, "remember that I will roast you at a slow fire, like a savage."
126_122467_000111_000000	"Ah, monsieur!"	"Ah, monsieur!"
126_122467_000112_000001	We will not venture to say whether it was from terror created by the threats or from tenderness at seeing four friends so closely united.	We will not venture to say whether it was from terror created by the threats or from tenderness at seeing four friends so closely united.
126_122467_000113_000000	D'Artagnan took his hand.	D'Artagnan took his hand.
126_122467_000115_000000	It was decided that Planchet should set out the next day, at eight o'clock in the morning, in order, as he had said, that he might during the night learn the letter by heart.	It was decided that Planchet should set out the next day, at eight o'clock in the morning, in order, as he had said, that he might during the night learn the letter by heart.
126_122467_000115_000001	He gained just twelve hours by this engagement; he was to be back on the sixteenth day, by eight o'clock in the evening.	He gained just twelve hours by this engagement; he was to be back on the sixteenth day, by eight o'clock in the evening.
126_122467_000116_000000	In the morning, as he was mounting his horse, d'Artagnan, who felt at the bottom of his heart a partiality for the duke, took Planchet aside.	In the morning, as he was mounting his horse, d'Artagnan, who felt at the bottom of his heart a partiality for the duke, took Planchet aside.
126_122467_000117_000001	"When you have given the letter to Lord de Winter and he has read it, you will further say to him: Watch over his Grace Lord Buckingham, for they wish to assassinate him.	"When you have given the letter to Lord de Winter and he has read it, you will further say to him: Watch over his Grace Lord Buckingham, for they wish to assassinate him.
126_122467_000121_000000	The four friends, during the period of these two absences, had, as may well be supposed, the eye on the watch, the nose to the wind, and the ear on the hark.	The four friends, during the period of these two absences, had, as may well be supposed, the eye on the watch, the nose to the wind, and the ear on the hark.
126_122467_000121_000001	Their days were passed in endeavoring to catch all that was said, in observing the proceeding of the cardinal, and in looking out for all the couriers who arrived.	Their days were passed in endeavoring to catch all that was said, in observing the proceeding of the cardinal, and in looking out for all the couriers who arrived.
126_122467_000121_000002	More than once an involuntary trembling seized them when called upon for some unexpected service.	More than once an involuntary trembling seized them when called upon for some unexpected service.
126_122467_000121_000003	They had, besides, to look constantly to their own proper safety; Milady was a phantom which, when it had once appeared to people, did not allow them to sleep very quietly.	They had, besides, to look constantly to their own proper safety; Milady was a phantom which, when it had once appeared to people, did not allow them to sleep very quietly.
126_122467_000123_000000	The four friends exchanged a joyful glance; half of the work was done. It is true, however, that it was the shorter and easier part.	The four friends exchanged a joyful glance; half of the work was done. It is true, however, that it was the shorter and easier part.
126_122467_000124_000000	Aramis, blushing in spite of himself, took the letter, which was in a large, coarse hand and not particular for its orthography.	Aramis, blushing in spite of himself, took the letter, which was in a large, coarse hand and not particular for its orthography.
126_122467_000126_000000	"What does you mean by boor Michon?" said the Swiss, who was chatting with the four friends when the letter came.	"What does you mean by boor Michon?" said the Swiss, who was chatting with the four friends when the letter came.
126_122467_000127_000000	"Oh, pardieu, less than nothing," said Aramis; "a charming little seamstress, whom I love dearly and from whose hand I requested a few lines as a sort of keepsake."	"Oh, pardieu, less than nothing," said Aramis; "a charming little seamstress, whom I love dearly and from whose hand I requested a few lines as a sort of keepsake."
126_122467_000129_000000	Aramis read the letter, and passed it to Athos.	Aramis read the letter, and passed it to Athos.
126_122467_000132_000000	"My cousin,	"My cousin,
126_122467_000133_000000	"My sister and I are skillful in interpreting dreams, and even entertain great fear of them; but of yours it may be said, I hope, every dream is an illusion.	"My sister and I are skillful in interpreting dreams, and even entertain great fear of them; but of yours it may be said, I hope, every dream is an illusion.
126_122467_000133_000002	Take care of yourself, and act so that we may from time to time hear you spoken of.	Take care of yourself, and act so that we may from time to time hear you spoken of.
126_122467_000135_000000	"And what dream does she mean?" asked the dragoon, who had approached during the reading.	"And what dream does she mean?" asked the dragoon, who had approached during the reading.
126_122467_000137_000000	"Well, pardieu!" said Aramis, "it was only this: I had a dream, and I related it to her."	"Well, pardieu!" said Aramis, "it was only this: I had a dream, and I related it to her."
126_122467_000139_000000	"You are very fortunate," said Athos, rising; "I wish I could say as much!"	"You are very fortunate," said Athos, rising; "I wish I could say as much!"
126_122467_000140_000000	"Neffer," replied the Swiss, enchanted that a man like Athos could envy him anything.	"Neffer," replied the Swiss, enchanted that a man like Athos could envy him anything.
126_122467_000140_000001	"Neffer, neffer!"	"Neffer, neffer!"
126_122467_000141_000000	D'Artagnan, seeing Athos rise, did likewise, took his arm, and went out.	D'Artagnan, seeing Athos rise, did likewise, took his arm, and went out.
126_122467_000144_000000	But, as we have said, Bazin had not, by his fortunate return, removed more than a part of the uneasiness which weighed upon the four friends. The days of expectation are long, and d'Artagnan, in particular, would have wagered that the days were forty-four hours.	But, as we have said, Bazin had not, by his fortunate return, removed more than a part of the uneasiness which weighed upon the four friends. The days of expectation are long, and d'Artagnan, in particular, would have wagered that the days were forty four hours.
126_122467_000144_000001	He forgot the necessary slowness of navigation; he exaggerated to himself the power of Milady.	He forgot the necessary slowness of navigation; he exaggerated to himself the power of Milady.
126_122467_000144_000003	Still further, his confidence in the worthy Picard, at one time so great, diminished day by day.	Still further, his confidence in the worthy Picard, at one time so great, diminished day by day.
126_122467_000144_000004	This anxiety became so great that it even extended to Aramis and Porthos.	This anxiety became so great that it even extended to Aramis and Porthos.
126_122467_000146_000000	"Really," said Athos to them, "you are not men but children, to let a woman terrify you so!	"Really," said Athos to them, "you are not men but children, to let a woman terrify you so!
126_122467_000146_000001	And what does it amount to, after all?	And what does it amount to, after all?
126_122467_000146_000002	To be imprisoned.	To be imprisoned.
126_122467_000146_000003	Well, but we should be taken out of prison; Madame Bonacieux was released.	Well, but we should be taken out of prison; Madame Bonacieux was released.
126_122467_000146_000004	To be decapitated?	To be decapitated?
126_122467_000146_000005	Why, every day in the trenches we go cheerfully to expose ourselves to worse than that--for a bullet may break a leg, and I am convinced a surgeon would give us more pain in cutting off a thigh than an executioner in cutting off a head.	Why, every day in the trenches we go cheerfully to expose ourselves to worse than that-for a bullet may break a leg, and I am convinced a surgeon would give us more pain in cutting off a thigh than an executioner in cutting off a head.
126_122467_000147_000000	"But if he does not come?" said d'Artagnan.	"But if he does not come?" said d'Artagnan.
126_122467_000148_000000	"Well, if he does not come, it will be because he has been delayed, that's all.	"Well, if he does not come, it will be because he has been delayed, that's all.
126_122467_000148_000001	He may have fallen from his horse, he may have cut a caper from the deck; he may have traveled so fast against the wind as to have brought on a violent catarrh.	He may have fallen from his horse, he may have cut a caper from the deck; he may have traveled so fast against the wind as to have brought on a violent catarrh.
126_122467_000148_000003	Life is a chaplet of little miseries which the philosopher counts with a smile.	Life is a chaplet of little miseries which the philosopher counts with a smile.
126_122467_000149_000000	"That's all very well," replied d'Artagnan; "but I am tired of fearing when I open a fresh bottle that the wine may come from the cellar of Milady."	"That's all very well," replied d'Artagnan; "but I am tired of fearing when I open a fresh bottle that the wine may come from the cellar of Milady."
126_122467_000150_000000	"You are very fastidious," said Athos; "such a beautiful woman!"	"You are very fastidious," said Athos; "such a beautiful woman!"
126_122467_000151_000000	"A woman of mark!" said Porthos, with his loud laugh.	"A woman of mark!" said Porthos, with his loud laugh.
126_122467_000152_000000	Athos started, passed his hand over his brow to remove the drops of perspiration that burst forth, and rose in his turn with a nervous movement he could not repress.	Athos started, passed his hand over his brow to remove the drops of perspiration that burst forth, and rose in his turn with a nervous movement he could not repress.
126_122467_000153_000000	The day, however, passed away; and the evening came on slowly, but finally it came.	The day, however, passed away; and the evening came on slowly, but finally it came.
126_122467_000153_000001	The bars were filled with drinkers.	The bars were filled with drinkers.
126_122467_000153_000004	They were playing together, as usual, when seven o'clock sounded; the patrol was heard passing to double the posts.	They were playing together, as usual, when seven o'clock sounded; the patrol was heard passing to double the posts.
126_122467_000153_000005	At half past seven the retreat was sounded.	At half past seven the retreat was sounded.
126_122467_000155_000001	"Come, gentlemen," said he, "they are beating the tattoo.	"Come, gentlemen," said he, "they are beating the tattoo.
126_122467_000155_000002	Let us to bed!"	Let us to bed!"
126_122467_000156_000002	Aramis mumbled verses to himself, and Porthos from time to time pulled a hair or two from his mustache, in sign of despair.	Aramis mumbled verses to himself, and Porthos from time to time pulled a hair or two from his mustache, in sign of despair.
126_122467_000157_000000	But all at once a shadow appeared in the darkness the outline of which was familiar to d'Artagnan, and a well-known voice said, "Monsieur, I have brought your cloak; it is chilly this evening."	But all at once a shadow appeared in the darkness the outline of which was familiar to d'Artagnan, and a well-known voice said, "Monsieur, I have brought your cloak; it is chilly this evening."
126_122467_000160_000001	He promised to be back by eight o'clock, and eight is striking.	He promised to be back by eight o'clock, and eight is striking.
126_122467_000165_000000	"That's well," said Athos, "let us go home and read it."	"That's well," said Athos, "let us go home and read it."
126_122467_000166_000001	He wished to hasten their steps; but Athos took his arm and passed it under his own, and the young man was forced to regulate his pace by that of his friend.	He wished to hasten their steps; but Athos took his arm and passed it under his own, and the young man was forced to regulate his pace by that of his friend.
126_122467_000168_000000	It contained half a line, in a hand perfectly British, and with a conciseness as perfectly Spartan:	It contained half a line, in a hand perfectly British, and with a conciseness as perfectly Spartan:
126_122467_000169_000000	Thank you; be easy.	Thank you; be easy.
126_122467_000170_000000	d'Artagnan translated this for the others.	d'Artagnan translated this for the others.
