176_123271_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.
176_123271_000032_000000	The lava, in the last eruption of 1229, had forced a passage through this tunnel.	The lava, in the last eruption of twelve twenty nine, had forced a passage through this tunnel.
176_123271_000032_000001	It still lined the walls with a thick and glistening coat.	It still lined the walls with a thick and glistening coat.
176_123271_000032_000002	The electric light was here intensified a hundredfold by reflection.	The electric light was here intensified a hundredfold by reflection.
176_123271_000033_000000	The only difficulty in proceeding lay in not sliding too fast down an incline of about forty-five degrees; happily certain asperities and a few blisterings here and there formed steps, and we descended, letting our baggage slip before us from the end of a long rope.	The only difficulty in proceeding lay in not sliding too fast down an incline of about forty five degrees; happily certain asperities and a few blisterings here and there formed steps, and we descended, letting our baggage slip before us from the end of a long rope.
176_123271_000034_000000	But that which formed steps under our feet became stalactites overhead.	But that which formed steps under our feet became stalactites overhead.
176_123271_000035_000001	"My uncle, what a sight! Don't you admire those blending hues of lava, passing from reddish brown to bright yellow by imperceptible shades?	"My uncle, what a sight! Don't you admire those blending hues of lava, passing from reddish brown to bright yellow by imperceptible shades?
176_123271_000035_000002	And these crystals are just like globes of light."	And these crystals are just like globes of light."
176_123271_000036_000002	Now let us march: march!"	Now let us march: march!"
176_123271_000037_000000	He had better have said slide, for we did nothing but drop down the steep inclines.	He had better have said slide, for we did nothing but drop down the steep inclines.
176_123271_000037_000002	The compass, which I consulted frequently, gave our direction as south-east with inflexible steadiness.	The compass, which I consulted frequently, gave our direction as south-east with inflexible steadiness.
176_123271_000037_000003	This lava stream deviated neither to the right nor to the left.	This lava stream deviated neither to the right nor to the left.
176_123271_000038_000000	Yet there was no sensible increase of temperature.	Yet there was no sensible increase of temperature.
176_123271_000038_000001	This justified Davy's theory, and more than once I consulted the thermometer with surprise.	This justified Davy's theory, and more than once I consulted the thermometer with surprise.
176_123271_000039_000001	Hans sat down at once.	Hans sat down at once.
176_123271_000039_000002	The lamps were hung upon a projection in the lava; we were in a sort of cavern where there was plenty of air.	The lamps were hung upon a projection in the lava; we were in a sort of cavern where there was plenty of air.
176_123271_000039_000003	Certain puffs of air reached us.	Certain puffs of air reached us.
176_123271_000039_000004	What atmospheric disturbance was the cause of them?	What atmospheric disturbance was the cause of them?
176_123271_000039_000005	I could not answer that question at the moment.	I could not answer that question at the moment.
176_123271_000039_000006	Hunger and fatigue made me incapable of reasoning.	Hunger and fatigue made me incapable of reasoning.
176_123271_000039_000007	A descent of seven hours consecutively is not made without considerable expenditure of strength.	A descent of seven hours consecutively is not made without considerable expenditure of strength.
176_123271_000039_000008	I was exhausted.	I was exhausted.
176_123271_000039_000009	The order to 'halt' therefore gave me pleasure.	The order to 'halt' therefore gave me pleasure.
176_123271_000039_000010	Hans laid our provisions upon a block of lava, and we ate with a good appetite. But one thing troubled me, our supply of water was half consumed.	Hans laid our provisions upon a block of lava, and we ate with a good appetite. But one thing troubled me, our supply of water was half consumed.
176_123271_000039_000011	My uncle reckoned upon a fresh supply from subterranean sources, but hitherto we had met with none.	My uncle reckoned upon a fresh supply from subterranean sources, but hitherto we had met with none.
176_123271_000041_000000	"More than that, I am anxious about it; we have only water enough for five days."	"More than that, I am anxious about it; we have only water enough for five days."
176_123271_000042_000000	"Don't be uneasy, Axel, we shall find more than we want."	"Don't be uneasy, Axel, we shall find more than we want."
176_123271_000043_000000	"When?"	"When?"
176_123271_000044_000001	How could springs break through such walls as these?"	How could springs break through such walls as these?"
176_123271_000045_000000	"But perhaps this passage runs to a very great depth.	"But perhaps this passage runs to a very great depth.
176_123271_000051_000000	"This is my conclusion.	"This is my conclusion.
176_123271_000051_000003	But certain local conditions may modify this rate.	But certain local conditions may modify this rate.
176_123271_000051_000004	Thus at Yakoutsk in Siberia the increase of a degree is ascertained to be reached every 36 feet.	Thus at Yakoutsk in Siberia the increase of a degree is ascertained to be reached every thirty six feet.
176_123271_000051_000006	Let us therefore assume this last hypothesis as the most suitable to our situation, and calculate."	Let us therefore assume this last hypothesis as the most suitable to our situation, and calculate."
176_123271_000053_000000	"Nothing is easier," said I, putting down figures in my note book. "Nine times a hundred and twenty-five feet gives a depth of eleven hundred and twenty-five feet."	"Nothing is easier," said I, putting down figures in my note book. "Nine times a hundred and twenty five feet gives a depth of eleven hundred and twenty five feet."
176_123271_000054_000000	"Very accurate indeed."	"Very accurate indeed."
176_123271_000055_000000	"Well?"	"Well?"
176_123271_000056_000000	"By my observation we are at 10,000 feet below the level of the sea."	"By my observation we are at ten thousand feet below the level of the sea."
176_123271_000057_000000	"Is that possible?"	"Is that possible?"
176_123271_000058_000000	"Yes, or figures are of no use."	"Yes, or figures are of no use."
176_123271_000059_000000	The Professor's calculations were quite correct.	The Professor's calculations were quite correct.
176_123271_000059_000001	We had already attained a depth of six thousand feet beyond that hitherto reached by the foot of man, such as the mines of Kitz Bahl in Tyrol, and those of Wuttembourg in Bohemia.	We had already attained a depth of six thousand feet beyond that hitherto reached by the foot of man, such as the mines of Kitz Bahl in Tyrol, and those of Wuttembourg in Bohemia.
