1851_148962_000000_000000	Russians!	Russians!	false	0	0.03	-20
1851_148962_000004_000006	Pierre recalled how Helene had smilingly expressed disapproval of Dolokhov's living at their house, and how cynically Dolokhov had praised his wife's beauty to him and from that time till they came to Moscow had not left them for a day.	Pierre recalled how Helene had smilingly expressed disapproval of Dolokhov's living at their house, and how cynically Dolokhov had praised his wife's beauty to him and from that time till they came to Moscow had not left them for a day.	true	126.08	140.8	15
1851_148962_000005_000000	"Yes, he is very handsome," thought Pierre, "and I know him.	"Yes, he is very handsome," thought Pierre, "and I know him.	true	142.1	146.41	17.835203
1851_148962_000005_000001	It would be particularly pleasant to him to dishonor my name and ridicule me, just because I have exerted myself on his behalf, befriended him, and helped him.	It would be particularly pleasant to him to dishonor my name and ridicule me, just because I have exerted myself on his behalf, befriended him, and helped him.	true	146.57	156.1	15
1851_148962_000005_000002	I know and understand what a spice that would add to the pleasure of deceiving me, if it really were true.	I know and understand what a spice that would add to the pleasure of deceiving me, if it really were true.	true	156.29	162.13	12
1851_148962_000005_000003	Yes, if it were true, but I do not believe it.	Yes, if it were true, but I do not believe it.	true	162.32	164.85	19
1851_148962_000005_000004	I have no right to, and can't, believe it." He remembered the expression Dolokhov's face assumed in his moments of cruelty, as when tying the policeman to the bear and dropping them into the water, or when he challenged a man to a duel without any reason, or shot a post-boy's horse with a pistol.	I have no right to, and can't, believe it." He remembered the expression Dolokhov's face assumed in his moments of cruelty, as when tying the policeman to the bear and dropping them into the water, or when he challenged a man to a duel without any reason, or shot a post boy's horse with a pistol.	true	164.85	184.51	17
1851_148962_000005_000005	That expression was often on Dolokhov's face when looking at him.	That expression was often on Dolokhov's face when looking at him.	true	185	188.62	11
1851_148962_000005_000006	"Yes, he is a bully," thought Pierre, "to kill a man means nothing to him.	"Yes, he is a bully," thought Pierre, "to kill a man means nothing to him.	true	188.78	193.9	19.236761
1851_148962_000005_000007	It must seem to him that everyone is afraid of him, and that must please him.	It must seem to him that everyone is afraid of him, and that must please him.	true	193.97	198.37	13
1851_148962_000005_000008	He must think that I, too, am afraid of him--and in fact I am afraid of him," he thought, and again he felt something terrible and monstrous rising in his soul.	He must think that I, too, am afraid of him-and in fact I am afraid of him," he thought, and again he felt something terrible and monstrous rising in his soul.	true	198.47	208.69	14
1851_148962_000005_000009	Dolokhov, Denisov, and Rostov were now sitting opposite Pierre and seemed very gay.	Dolokhov, Denisov, and Rostov were now sitting opposite Pierre and seemed very gay.	true	209.48	215.17	11
1851_148962_000005_000010	Rostov was talking merrily to his two friends, one of whom was a dashing hussar and the other a notorious duelist and rake, and every now and then he glanced ironically at Pierre, whose preoccupied, absent-minded, and massive figure was a very noticeable one at the dinner.	Rostov was talking merrily to his two friends, one of whom was a dashing hussar and the other a notorious duelist and rake, and every now and then he glanced ironically at Pierre, whose preoccupied, absent minded, and massive figure was a very noticeable one at the dinner.	true	215.51	232.72	14
1851_148962_000005_000011	Rostov looked inimically at Pierre, first because Pierre appeared to his hussar eyes as a rich civilian, the husband of a beauty, and in a word--an old woman; and secondly because Pierre in his preoccupation and absent-mindedness had not recognized Rostov and had not responded to his greeting.	Rostov looked inimically at Pierre, first because Pierre appeared to his hussar eyes as a rich civilian, the husband of a beauty, and in a word-an old woman; and secondly because Pierre in his preoccupation and absent mindedness had not recognized Rostov and had not responded to his greeting.	false	233.87	253.66	15
1851_148962_000005_000012	When the Emperor's health was drunk, Pierre, lost in thought, did not rise or lift his glass.	When the Emperor's health was drunk, Pierre, lost in thought, did not rise or lift his glass.	false	254.18	261.81	19.19849
1851_148962_000006_000000	"What are you about?" shouted Rostov, looking at him in an ecstasy of exasperation.	"What are you about?" shouted Rostov, looking at him in an ecstasy of exasperation.	true	261.81	267.7	24
1851_148962_000006_000001	"Don't you hear it's His Majesty the Emperor's health?"	"Don't you hear it's His Majesty the Emperor's health?"	true	268.13	271.12	21.613127
1851_148962_000007_000000	Pierre sighed, rose submissively, emptied his glass, and, waiting till all were seated again, turned with his kindly smile to Rostov.	Pierre sighed, rose submissively, emptied his glass, and, waiting till all were seated again, turned with his kindly smile to Rostov.	true	271.97	280.78	14
1851_148962_000008_000000	"Why, I didn't recognize you!" he said.	"Why, I didn't recognize you!" he said.	true	281.12	284.14	19
1851_148962_000008_000001	But Rostov was otherwise engaged; he was shouting "Hurrah!"	But Rostov was otherwise engaged; he was shouting "Hurrah!"	true	284.39	288.01	16
1851_148962_000009_000000	"Why don't you renew the acquaintance?" said Dolokhov to Rostov.	"Why don't you renew the acquaintance?" said Dolokhov to Rostov.	true	289.79	294.31	20
1851_148962_000010_000000	"Confound him, he's a fool!" said Rostov.	"Confound him, he's a fool!" said Rostov.	true	294.62	297.58	15
1851_148962_000011_000000	"One should make up to the husbands of pretty women," said Denisov.	"One should make up to the husbands of pretty women," said Denisov.	true	298.22	302.44	16
1851_148962_000012_000000	Pierre did not catch what they were saying, but knew they were talking about him.	Pierre did not catch what they were saying, but knew they were talking about him.	true	303.11	307.3	13
1851_148962_000012_000001	He reddened and turned away.	He reddened and turned away.	true	307.43	309.37	12
1851_148962_000013_000000	"Well, now to the health of handsome women!" said Dolokhov, and with a serious expression, but with a smile lurking at the corners of his mouth, he turned with his glass to Pierre.	"Well, now to the health of handsome women!" said Dolokhov, and with a serious expression, but with a smile lurking at the corners of his mouth, he turned with his glass to Pierre.	false	310.01	321.81	19.297132
1851_148962_000014_000000	"Here's to the health of lovely women, Peterkin--and their lovers!" he added.	"Here's to the health of lovely women, Peterkin-and their lovers!" he added.	true	321.81	326.38	20.203037
1851_148962_000015_000000	Pierre, with downcast eyes, drank out of his glass without looking at Dolokhov or answering him.	Pierre, with downcast eyes, drank out of his glass without looking at Dolokhov or answering him.	true	326.87	333.04	11
1851_148962_000015_000001	The footman, who was distributing leaflets with Kutuzov's cantata, laid one before Pierre as one of the principal guests.	The footman, who was distributing leaflets with Kutuzov's cantata, laid one before Pierre as one of the principal guests.	true	333.38	340.87	16
1851_148962_000015_000002	He was just going to take it when Dolokhov, leaning across, snatched it from his hand and began reading it.	He was just going to take it when Dolokhov, leaning across, snatched it from his hand and began reading it.	true	341	347.29	16
1851_148962_000015_000003	Pierre looked at Dolokhov and his eyes dropped, the something terrible and monstrous that had tormented him all dinnertime rose and took possession of him.	Pierre looked at Dolokhov and his eyes dropped, the something terrible and monstrous that had tormented him all dinnertime rose and took possession of him.	true	347.75	358.03	17
1851_148962_000015_000004	He leaned his whole massive body across the table.	He leaned his whole massive body across the table.	true	358.49	362.32	18.913347
1851_148962_000016_000000	"How dare you take it?" he shouted.	"How dare you take it?" he shouted.	true	363.08	366.73	20.707403
1851_148962_000017_000000	Hearing that cry and seeing to whom it was addressed, Nesvitski and the neighbor on his right quickly turned in alarm to Bezukhov.	Hearing that cry and seeing to whom it was addressed, Nesvitski and the neighbor on his right quickly turned in alarm to Bezukhov.	false	367.19	374.5	16
1851_148962_000018_000000	"Don't!	"Don't!	true	375.38	375.975	23.649391
1851_148962_000018_000001	Don't!	Don't!	true	375.975	376.35	22
1851_148962_000018_000002	What are you about?" whispered their frightened voices.	What are you about?" whispered their frightened voices.	true	376.35	379.39	22.658457
1851_148962_000019_000000	Dolokhov looked at Pierre with clear, mirthful, cruel eyes, and that smile of his which seemed to say, "Ah!	Dolokhov looked at Pierre with clear, mirthful, cruel eyes, and that smile of his which seemed to say, "Ah!	false	380.9	387.54	13
1851_148962_000019_000001	This is what I like!"	This is what I like!"	true	387.54	389.14	15.423563
1851_148962_000020_000000	"You shan't have it!" he said distinctly.	"You shan't have it!" he said distinctly.	true	389.72	392.65	19
1851_148962_000021_000000	Pale, with quivering lips, Pierre snatched the copy.	Pale, with quivering lips, Pierre snatched the copy.	true	393.56	397.06	15
1851_148962_000022_000000	"You...! you... scoundrel!	"You...! you... scoundrel!	true	397.31	399.075	21.559189
1851_148962_000022_000001	I challenge you!" he ejaculated, and, pushing back his chair, he rose from the table.	I challenge you!" he ejaculated, and, pushing back his chair, he rose from the table.	true	399.075	404.65	20.07963
1851_148962_000023_000000	At the very instant he did this and uttered those words, Pierre felt that the question of his wife's guilt which had been tormenting him the whole day was finally and indubitably answered in the affirmative.	At the very instant he did this and uttered those words, Pierre felt that the question of his wife's guilt which had been tormenting him the whole day was finally and indubitably answered in the affirmative.	true	406.34	418.09	14
1851_148962_000023_000001	He hated her and was forever sundered from her.	He hated her and was forever sundered from her.	true	418.37	421.54	18.572004
1851_148962_000023_000002	Despite Denisov's request that he would take no part in the matter, Rostov agreed to be Dolokhov's second, and after dinner he discussed the arrangements for the duel with Nesvitski, Bezukhov's second.	Despite Denisov's request that he would take no part in the matter, Rostov agreed to be Dolokhov's second, and after dinner he discussed the arrangements for the duel with Nesvitski, Bezukhov's second.	false	421.79	433.87	15
1851_148962_000023_000003	Pierre went home, but Rostov with Dolokhov and Denisov stayed on at the club till late, listening to the gypsies and other singers.	Pierre went home, but Rostov with Dolokhov and Denisov stayed on at the club till late, listening to the gypsies and other singers.	false	434.27	442.69	14
1851_148962_000024_000000	"Well then, till tomorrow at Sokolniki," said Dolokhov, as he took leave of Rostov in the club porch.	"Well then, till tomorrow at Sokolniki," said Dolokhov, as he took leave of Rostov in the club porch.	true	444.26	450.82	22.093872
1851_148962_000025_000000	"And do you feel quite calm?" Rostov asked.	"And do you feel quite calm?" Rostov asked.	true	451.76	455.47	21.676844
1851_148962_000026_000000	Dolokhov paused.	Dolokhov paused.	true	455.87	457.45	16
1851_148962_000027_000000	"Well, you see, I'll tell you the whole secret of dueling in two words.	"Well, you see, I'll tell you the whole secret of dueling in two words.	true	457.82	461.59	15
1851_148962_000027_000001	If you are going to fight a duel, and you make a will and write affectionate letters to your parents, and if you think you may be killed, you are a fool and are lost for certain.	If you are going to fight a duel, and you make a will and write affectionate letters to your parents, and if you think you may be killed, you are a fool and are lost for certain.	true	461.78	470.68	14
1851_148962_000027_000002	But go with the firm intention of killing your man as quickly and surely as possible, and then all will be right, as our bear huntsman at Kostroma used to tell me.	But go with the firm intention of killing your man as quickly and surely as possible, and then all will be right, as our bear huntsman at Kostroma used to tell me.	true	470.93	479.62	15
1851_148962_000027_000003	'Everyone fears a bear,' he says, 'but when you see one your fear's all gone, and your only thought is not to let him get away!' And that's how it is with me.	'Everyone fears a bear,' he says, 'but when you see one your fear's all gone, and your only thought is not to let him get away!' And that's how it is with me.	true	479.75	487.51	17
1851_148962_000027_000004	A demain, mon cher." *	A demain, mon cher." asterisk	false	488.24	489.54	13.242075
1851_148962_000028_000000	* Till tomorrow, my dear fellow.	asterisk Till tomorrow, my dear fellow.	false	489.54	490.62	-20
1851_148962_000029_000000	Next day, at eight in the morning, Pierre and Nesvitski drove to the Sokolniki forest and found Dolokhov, Denisov, and Rostov already there.	Next day, at eight in the morning, Pierre and Nesvitski drove to the Sokolniki forest and found Dolokhov, Denisov, and Rostov already there.	true	490.62	499.9	15
1851_148962_000029_000001	Pierre had the air of a man preoccupied with considerations which had no connection with the matter in hand.	Pierre had the air of a man preoccupied with considerations which had no connection with the matter in hand.	false	500.33	506.64	15
1851_148962_000029_000002	His haggard face was yellow.	His haggard face was yellow.	true	506.64	508.36	14
1851_148962_000029_000003	He had evidently not slept that night.	He had evidently not slept that night.	true	508.43	510.91	14
1851_148962_000029_000004	He looked about distractedly and screwed up his eyes as if dazzled by the sun.	He looked about distractedly and screwed up his eyes as if dazzled by the sun	true	511.04	515.26	14
1851_148962_000029_000005	He was entirely absorbed by two considerations: his wife's guilt, of which after his sleepless night he had not the slightest doubt, and the guiltlessness of Dolokhov, who had no reason to preserve the honor of a man who was nothing to him....	He was entirely absorbed by two considerations: his wife's guilt, of which after his sleepless night he had not the slightest doubt, and the guiltlessness of Dolokhov, who had no reason to preserve the honor of a man who was nothing to him....	false	515.72	530.29	16
1851_148962_000029_000006	"I should perhaps have done the same thing in his place," thought Pierre.	"I should perhaps have done the same thing in his place," thought Pierre.	false	530.84	535.08	18.706486
1851_148962_000029_000007	"It's even certain that I should have done the same, then why this duel, this murder?	"It's even certain that I should have done the same, then why this duel, this murder?	true	535.08	539.59	11
1851_148962_000029_000008	Either I shall kill him, or he will hit me in the head, or elbow, or knee.	Either I shall kill him, or he will hit me in the head, or elbow, or knee.	true	539.66	543.37	13
1851_148962_000029_000009	Can't I go away from here, run away, bury myself somewhere?" passed through his mind.	Can't I go away from here, run away, bury myself somewhere?" passed through his mind.	true	544.25	549.58	20
1851_148962_000029_000010	But just at moments when such thoughts occurred to him, he would ask in a particularly calm and absent-minded way, which inspired the respect of the onlookers, "Will it be long?	But just at moments when such thoughts occurred to him, he would ask in a particularly calm and absent minded way, which inspired the respect of the onlookers, "Will it be long?	true	550.16	561.495	17
1851_148962_000029_000011	Are things ready?"	Are things ready?"	true	561.495	562.84	20
1851_148962_000030_000000	When all was ready, the sabers stuck in the snow to mark the barriers, and the pistols loaded, Nesvitski went up to Pierre.	When all was ready, the sabers stuck in the snow to mark the barriers, and the pistols loaded, Nesvitski went up to Pierre.	true	563.96	571.69	16
1851_148962_000031_000000	"I should not be doing my duty, Count," he said in timid tones, "and should not justify your confidence and the honor you have done me in choosing me for your second, if at this grave, this very grave, moment I did not tell you the whole truth.	"I should not be doing my duty, Count," he said in timid tones, "and should not justify your confidence and the honor you have done me in choosing me for your second, if at this grave, this very grave, moment I did not tell you the whole truth.	true	572.33	587.02	18
1851_148962_000031_000001	I think there is no sufficient ground for this affair, or for blood to be shed over it....	I think there is no sufficient ground for this affair, or for blood to be shed over it....	true	587.12	591.61	14
1851_148962_000031_000002	You were not right, not quite in the right, you were impetuous..."	You were not right, not quite in the right, you were impetuous..."	true	591.77	595.99	19.692226
1851_148962_000032_000000	"Oh yes, it is horribly stupid," said Pierre.	"Oh yes, it is horribly stupid," said Pierre.	true	596.81	600.37	20.711382
1851_148962_000033_000000	"Then allow me to express your regrets, and I am sure your opponent will accept them," said Nesvitski (who like the others concerned in the affair, and like everyone in similar cases, did not yet believe that the affair had come to an actual duel).	"Then allow me to express your regrets, and I am sure your opponent will accept them," said Nesvitski (who like the others concerned in the affair, and like everyone in similar cases, did not yet believe that the affair had come to an actual duel).	true	601.28	615.82	16
1851_148962_000033_000001	"You know, Count, it is much more honorable to admit one's mistake than to let matters become irreparable.	"You know, Count, it is much more honorable to admit one's mistake than to let matters become irreparable.	true	616.31	621.73	15
1851_148962_000033_000002	There was no insult on either side.	There was no insult on either side.	true	621.89	623.94	15
1851_148962_000033_000003	Allow me to convey...."	Allow me to convey...."	true	623.94	625.6	13
1851_148962_000034_000000	"No!	"No!	true	626.42	627.04	26.653412
1851_148962_000034_000001	What is there to talk about?" said Pierre.	What is there to talk about?" said Pierre.	false	627.08	629.82	18.810408
1851_148962_000034_000002	"It's all the same....	"It's all the same....	true	629.82	631.03	21.35809
1851_148962_000034_000003	Is everything ready?" he added.	Is everything ready?" he added.	true	631.34	633.34	21.36926
1851_148962_000034_000004	"Only tell me where to go and where to shoot," he said with an unnaturally gentle smile.	"Only tell me where to go and where to shoot," he said with an unnaturally gentle smile.	false	633.8	639.16	20
1851_148962_000035_000000	He took the pistol in his hand and began asking about the working of the trigger, as he had not before held a pistol in his hand--a fact that he did not wish to confess.	He took the pistol in his hand and began asking about the working of the trigger, as he had not before held a pistol in his hand-a fact that he did not wish to confess.	true	640.04	650.77	17
1851_148962_000036_000000	"Oh yes, like that, I know, I only forgot," said he.	"Oh yes, like that, I know, I only forgot," said he.	true	652.19	655.54	18.82509
1851_148962_000037_000000	"No apologies, none whatever," said Dolokhov to Denisov (who on his side had been attempting a reconciliation), and he also went up to the appointed place.	"No apologies, none whatever," said Dolokhov to Denisov (who on his side had been attempting a reconciliation), and he also went up to the appointed place.	true	656.72	666.25	19.081568
1851_148962_000038_000000	The spot chosen for the duel was some eighty paces from the road, where the sleighs had been left, in a small clearing in the pine forest covered with melting snow, the frost having begun to break up during the last few days.	The spot chosen for the duel was some eighty paces from the road, where the sleighs had been left, in a small clearing in the pine forest covered with melting snow, the frost having begun to break up during the last few days.	true	667.79	680.32	16
1851_148962_000038_000001	The antagonists stood forty paces apart at the farther edge of the clearing.	The antagonists stood forty paces apart at the farther edge of the clearing.	true	681.59	686.59	18
1851_148962_000038_000002	The seconds, measuring the paces, left tracks in the deep wet snow between the place where they had been standing and Nesvitski's and Dolokhov's sabers, which were stuck into the ground ten paces apart to mark the barrier.	The seconds, measuring the paces, left tracks in the deep wet snow between the place where they had been standing and Nesvitski's and Dolokhov's sabers, which were stuck into the ground ten paces apart to mark the barrier.	false	686.93	700.87	17
1851_148962_000038_000003	It was thawing and misty; at forty paces' distance nothing could be seen.	It was thawing and misty; at forty paces' distance nothing could be seen.	true	701.9	706.48	15
1851_148962_000038_000004	For three minutes all had been ready, but they still delayed and all were silent.	For three minutes all had been ready, but they still delayed and all were silent.	false	706.7	718.05	15.215599
