8329_279775_000003_000000	Once upon a time there lived a king and queen, who had an only daughter.	Once upon a time there lived a king and queen, who had an only daughter.
8329_279775_000012_000000	Grognon, highly delighted, made but one other condition--that she should have the Princess Graciosa entirely in her own rule and power, just as if she had been her real mother; to which the foolish king consented, for he thought much more of riches than he did of his child.	Grognon, highly delighted, made but one other condition-that she should have the Princess Graciosa entirely in her own rule and power, just as if she had been her real mother; to which the foolish king consented, for he thought much more of riches than he did of his child.
8329_279775_000012_000001	So he and Grognon departed hand in hand out of the cave, very well pleased.	So he and Grognon departed hand in hand out of the cave, very well pleased.
8329_279775_000013_000000	When the king returned home, Graciosa ran out with joy to welcome her father, and asked him if he had had good sport in his hunting.	When the king returned home, Graciosa ran out with joy to welcome her father, and asked him if he had had good sport in his hunting.
8329_279775_000014_000000	"Yes, my child," said he, "for I have taken a dove alive."	"Yes, my child," said he, "for I have taken a dove alive."
8329_279775_000015_000000	"Oh, give it me, and I will nourish and cherish it," cried the princess.	"Oh, give it me, and I will nourish and cherish it," cried the princess.
8329_279775_000016_000000	"That is impossible; for it is the Duchess Grognon, whom I have promised to marry."	"That is impossible; for it is the Duchess Grognon, whom I have promised to marry."
8329_279775_000017_000000	"She a dove!--she is rather a hawk," sighed the princess in despair; but her father bade her hold her tongue, and promise to love her stepmother, who would have over her all the authority of a mother, and to whom he wished to present her that very day.	"She a dove!--she is rather a hawk," sighed the princess in despair; but her father bade her hold her tongue, and promise to love her stepmother, who would have over her all the authority of a mother, and to whom he wished to present her that very day.
8329_279775_000018_000000	The obedient princess went to her apartment, where her nurse soon found out the sorrow in her face, and its cause.	The obedient princess went to her apartment, where her nurse soon found out the sorrow in her face, and its cause.
8329_279775_000019_000000	"My child," said the good old woman, "princesses ought to show a good example to humbler women.	"My child," said the good old woman, "princesses ought to show a good example to humbler women.
8329_279775_000019_000002	She may not be so bad after, all."	She may not be so bad after, all."
8329_279775_000020_000000	And the nurse gave so much good advice, that Graciosa began to smile, and dressed herself in her best attire, a green robe embroidered with gold; while her fair, loose-falling hair was adorned, according to the fashion of the day, with a coronet of jasmine, of which the leaves were made of large emeralds.	And the nurse gave so much good advice, that Graciosa began to smile, and dressed herself in her best attire, a green robe embroidered with gold; while her fair, loose falling hair was adorned, according to the fashion of the day, with a coronet of jasmine, of which the leaves were made of large emeralds.
8329_279775_000021_000000	Grognon, on her part, made the best of herself that was possible.	Grognon, on her part, made the best of herself that was possible.
8329_279775_000022_000000	Meantime, Graciosa waited in fear the moment of her arrival, and, to pass the time away, she went all alone into a little wood, where she sobbed and wept in secret, until suddenly there appeared before her a young page, whom she had never seen before.	Meantime, Graciosa waited in fear the moment of her arrival, and, to pass the time away, she went all alone into a little wood, where she sobbed and wept in secret, until suddenly there appeared before her a young page, whom she had never seen before.
8329_279775_000024_000000	"Princess," said the page, bowing, "I am in no one's service but your own.	"Princess," said the page, bowing, "I am in no one's service but your own.
8329_279775_000024_000002	I have loved you long, and seen you often, for I have the fairy gift of making myself invisible.	I have loved you long, and seen you often, for I have the fairy gift of making myself invisible.
8329_279775_000024_000003	I might longer have concealed myself from you, but for your present sorrow, in which, however, I hope to be of both comfort and assistance--a page and yet a prince, and your faithful lover."	I might longer have concealed myself from you, but for your present sorrow, in which, however, I hope to be of both comfort and assistance-a page and yet a prince, and your faithful lover."
8329_279775_000025_000001	They talked a little while together, and then returned to the palace, where the page assisted her to mount her horse; on which she looked so beautiful, that all the new queen's splendours faded into nothing in comparison, and not one of the courtiers had eyes for any except Graciosa.	They talked a little while together, and then returned to the palace, where the page assisted her to mount her horse; on which she looked so beautiful, that all the new queen's splendours faded into nothing in comparison, and not one of the courtiers had eyes for any except Graciosa.
8329_279775_000026_000000	As soon as Grognon saw it, "What!" cried she, "has this creature the impudence to be better mounted than myself!	As soon as Grognon saw it, "What!" cried she, "has this creature the impudence to be better mounted than myself!
8329_279775_000026_000001	Descend, Miss, and let me try your horse;--and your page, whom everybody thinks so much of, bid him come and hold my bridle."	Descend, Miss, and let me try your horse;--and your page, whom everybody thinks so much of, bid him come and hold my bridle."
8329_279775_000027_000000	Prince Percinet, who was the page, cast one look at his fair Graciosa and obeyed; but no sooner had the duchess mounted, than the horse ran away with her and dragged her over briers, stones, and mud, and finally threw her into a deep ditch.	Prince Percinet, who was the page, cast one look at his fair Graciosa and obeyed; but no sooner had the duchess mounted, than the horse ran away with her and dragged her over briers, stones, and mud, and finally threw her into a deep ditch.
8329_279775_000027_000001	Her head was cut in several places, and her arm fractured.	Her head was cut in several places, and her arm fractured.
8329_279775_000027_000002	They picked her up in little pieces, like a broken wineglass; never was there a poor bride in worse plight. But in spite of her sufferings her malice remained.	They picked her up in little pieces, like a broken wineglass; never was there a poor bride in worse plight. But in spite of her sufferings her malice remained.
8329_279775_000027_000003	She sent for the king:	She sent for the king:
8329_279775_000028_000000	"This is all Graciosa's fault; she wished to kill me.	"This is all Graciosa's fault; she wished to kill me.
8329_279775_000028_000001	I desire that your majesty will punish her, or leave me to do it--else I will certainly be revenged upon you both."	I desire that your majesty will punish her, or leave me to do it-else I will certainly be revenged upon you both."
8329_279775_000029_000000	The king, afraid of losing his casks full of gold pieces, consented, and Graciosa was commanded to appear.	The king, afraid of losing his casks full of gold pieces, consented, and Graciosa was commanded to appear.
8329_279775_000029_000001	She came trembling and looking round vainly for Prince Percinet.	She came trembling and looking round vainly for Prince Percinet.
8329_279775_000029_000002	The cruel Grognon ordered four women, ugly as witches, to take her and strip off her fine clothes, and whip her with rods till her white shoulders were red with blood. But lo! as soon as the rods touched her, they turned into bundles of feathers, and the women tired themselves to death with whipping, without hurting Graciosa the least in the world!	The cruel Grognon ordered four women, ugly as witches, to take her and strip off her fine clothes, and whip her with rods till her white shoulders were red with blood. But lo! as soon as the rods touched her, they turned into bundles of feathers, and the women tired themselves to death with whipping, without hurting Graciosa the least in the world!
8329_279775_000030_000000	"Ah! kind Percinet, what do I not owe you?	"Ah! kind Percinet, what do I not owe you?
8329_279775_000030_000001	What should I do without you!" sighed the princess, when she was taken back to her own chamber and her nurse.	What should I do without you!" sighed the princess, when she was taken back to her own chamber and her nurse.
8329_279775_000030_000002	And then she saw the prince standing before her, in his green dress and his white plume, the most charming of pages.	And then she saw the prince standing before her, in his green dress and his white plume, the most charming of pages.
8329_279775_000031_000000	Percinet advised her to pretend illness on account of the cruel treatment she was supposed to have received; which so delighted Grognon, that she got well all the sooner, and the marriage was celebrated with great splendour.	Percinet advised her to pretend illness on account of the cruel treatment she was supposed to have received; which so delighted Grognon, that she got well all the sooner, and the marriage was celebrated with great splendour.
8329_279775_000032_000000	Soon after, the king, who knew that his wife's weak point was her vanity, gave a tournament, at which he ordered the six bravest knights of the court to proclaim that Queen Grognon was the fairest lady alive.	Soon after, the king, who knew that his wife's weak point was her vanity, gave a tournament, at which he ordered the six bravest knights of the court to proclaim that Queen Grognon was the fairest lady alive.
8329_279775_000032_000001	No knight ventured to dispute this fact, until there appeared one who carried a little box adorned with diamonds, and proclaimed aloud that Grognon was the ugliest woman in the universe, and that the most beautiful was she whose portrait was in the box.	No knight ventured to dispute this fact, until there appeared one who carried a little box adorned with diamonds, and proclaimed aloud that Grognon was the ugliest woman in the universe, and that the most beautiful was she whose portrait was in the box.
8329_279775_000032_000002	He opened it, and behold the image of the Princess Graciosa!	He opened it, and behold the image of the Princess Graciosa!
8329_279775_000033_000000	The princess, who sat behind her stepmother, felt sure that the unknown knight was Percinet; but she dared say nothing.	The princess, who sat behind her stepmother, felt sure that the unknown knight was Percinet; but she dared say nothing.
8329_279775_000033_000002	Graciosa, in solitude and darkness, groped through the forest, sometimes falling against the trunks of trees, sometimes tearing herself with bushes and briers; at last, overcome with fear and grief, she sank on the ground, sobbing out, "Percinet, Percinet, have you forsaken me?"	Graciosa, in solitude and darkness, groped through the forest, sometimes falling against the trunks of trees, sometimes tearing herself with bushes and briers; at last, overcome with fear and grief, she sank on the ground, sobbing out, "Percinet, Percinet, have you forsaken me?"
8329_279775_000034_000001	She knew it was the doing of the fairy-prince who loved her, and felt a joy mingled with fear.	She knew it was the doing of the fairy prince who loved her, and felt a joy mingled with fear.
8329_279775_000034_000002	She turned to fly, but saw him standing before her, more handsome and charming than ever.	She turned to fly, but saw him standing before her, more handsome and charming than ever.
8329_279775_000035_000000	"Princess," said he, "why are you afraid of me?	"Princess," said he, "why are you afraid of me?
8329_279775_000035_000001	This is the palace of the fairy-queen my mother, and the princesses my sisters, who will take care of you, and love you tenderly.	This is the palace of the fairy queen my mother, and the princesses my sisters, who will take care of you, and love you tenderly.
8329_279775_000035_000002	Enter this chariot, and I will convey you there."	Enter this chariot, and I will convey you there."
8329_279775_000037_000000	"How is this?" she said.	"How is this?" she said.
8329_279775_000037_000001	"Prince, you know everything about me."	"Prince, you know everything about me."
8329_279775_000038_000000	"Yes; and I wish to preserve everything concerning you," said he tenderly; whereupon Graciosa cast down her eyes.	"Yes; and I wish to preserve everything concerning you," said he tenderly; whereupon Graciosa cast down her eyes.
8329_279775_000038_000001	She was only too happy, and afraid that she should learn to love the fairy-prince too much.	She was only too happy, and afraid that she should learn to love the fairy prince too much.
8329_279775_000039_000000	She spent eight days in his palace--days full of every enjoyment; and Percinet tried all the arguments he could think of to induce her to marry him, and remain there for ever.	She spent eight days in his palace-days full of every enjoyment; and Percinet tried all the arguments he could think of to induce her to marry him, and remain there for ever.
8329_279775_000039_000001	But the good and gentle Graciosa remembered her father who was once so kind to her, and she preferred rather to suffer than to be wanting in duty.	But the good and gentle Graciosa remembered her father who was once so kind to her, and she preferred rather to suffer than to be wanting in duty.
8329_279775_000039_000002	She entreated Percinet to use his fairy power to send her home again, and meantime to tell her what had become of her father.	She entreated Percinet to use his fairy power to send her home again, and meantime to tell her what had become of her father.
8329_279775_000040_000000	"Come with me into the great tower there, and you shall see for yourself."	"Come with me into the great tower there, and you shall see for yourself."
8329_279775_000041_000000	Thereupon he took her to the top of a tower, prodigiously high, put her little finger to his lips, and her foot upon his foot.	Thereupon he took her to the top of a tower, prodigiously high, put her little finger to his lips, and her foot upon his foot.
8329_279775_000042_000000	"She will not be much loss, sire; and as, when dead, she was far too frightful for you to look at, I have given orders to bury her at once."	"She will not be much loss, sire; and as, when dead, she was far too frightful for you to look at, I have given orders to bury her at once."
8329_279775_000044_000000	The sight of her father's grief quite overcame Graciosa.	The sight of her father's grief quite overcame Graciosa.
8329_279775_000044_000002	If you love me, take me home."	If you love me, take me home."
8329_279775_000045_000001	As they quitted the courtyard, they heard a great noise, and Graciosa saw the palace all falling to pieces with a great crash.	As they quitted the courtyard, they heard a great noise, and Graciosa saw the palace all falling to pieces with a great crash.
8329_279775_000046_000000	"What is this?" she cried, terrified.	"What is this?" she cried, terrified.
8329_279775_000047_000000	"Princess, my palace, which you forsake, is among the things which are dead and gone.	"Princess, my palace, which you forsake, is among the things which are dead and gone.
8329_279775_000047_000001	You will enter it no more till after your burial."	You will enter it no more till after your burial."
8329_279775_000048_000000	"Prince, you are angry with me," said Graciosa sorrowfully; only she knew well that she suffered quite as much as he did in thus departing and quitting him.	"Prince, you are angry with me," said Graciosa sorrowfully; only she knew well that she suffered quite as much as he did in thus departing and quitting him.
8329_279775_000049_000000	Arrived in her father's presence, she had great difficulty in persuading him that she was not a ghost, until the coffin with the faggot inside it was taken up, and Grognon's malice discovered But even then, the king was so weak a man, that the queen soon made him believe he had been cheated, that the princess was really dead, and that this was a false Graciosa.	Arrived in her father's presence, she had great difficulty in persuading him that she was not a ghost, until the coffin with the faggot inside it was taken up, and Grognon's malice discovered But even then, the king was so weak a man, that the queen soon made him believe he had been cheated, that the princess was really dead, and that this was a false Graciosa.
8329_279775_000049_000001	Without more ado, he abandoned his daughter to her stepmother's will.	Without more ado, he abandoned his daughter to her stepmother's will.
8329_279775_000050_000000	Grognon, transported with joy, dragged her to a dark prison, took away her clothes, made her dress in rags, feed on bread and water, and sleep upon straw.	Grognon, transported with joy, dragged her to a dark prison, took away her clothes, made her dress in rags, feed on bread and water, and sleep upon straw.
8329_279775_000050_000001	Forlorn and hopeless, Graciosa dared not now call upon Percinet; she doubted if he still loved her enough to come to her aid.	Forlorn and hopeless, Graciosa dared not now call upon Percinet; she doubted if he still loved her enough to come to her aid.
8329_279775_000051_000000	Meantime, Grognon had sent for a fairy, who was scarcely less malicious than herself.	Meantime, Grognon had sent for a fairy, who was scarcely less malicious than herself.
8329_279775_000051_000001	"I have here," said she, "a little wretch of a girl for whom I wish to find all sorts of difficult tasks; pray assist me in giving her a new one every day."	"I have here," said she, "a little wretch of a girl for whom I wish to find all sorts of difficult tasks; pray assist me in giving her a new one every day."
8329_279775_000052_000000	The fairy promised to think of it, and soon brought a skein as thick as four persons, yet composed of thread so fine, that it broke if you only blew upon it, and so tangled that it had neither beginning nor end.	The fairy promised to think of it, and soon brought a skein as thick as four persons, yet composed of thread so fine, that it broke if you only blew upon it, and so tangled that it had neither beginning nor end.
8329_279775_000052_000001	Grognon, delighted, sent for her poor prisoner.	Grognon, delighted, sent for her poor prisoner.
8329_279775_000053_000000	"There, miss, teach your clumsy fingers to unwind this skein, and if you break a single thread I will flay you alive.	"There, miss, teach your clumsy fingers to unwind this skein, and if you break a single thread I will flay you alive.
8329_279775_000053_000001	Begin when you like, but you must finish at sunset, or it will be the worse for you." Then she sent her to her miserable cell, and treble-locked the door.	Begin when you like, but you must finish at sunset, or it will be the worse for you." Then she sent her to her miserable cell, and treble locked the door.
8329_279775_000054_000000	Graciosa stood dismayed, turning the skein over and over, and breaking hundreds of threads each time.	Graciosa stood dismayed, turning the skein over and over, and breaking hundreds of threads each time.
8329_279775_000054_000001	"Ah! Percinet," she cried in despair, "come and help me, or at least receive my last farewell."	"Ah! Percinet," she cried in despair, "come and help me, or at least receive my last farewell."
8329_279775_000055_000000	Immediately Percinet stood beside her, having entered the cell as easily as if he carried the key in his pocket.	Immediately Percinet stood beside her, having entered the cell as easily as if he carried the key in his pocket.
8329_279775_000055_000001	"Behold me, princess, ready to serve you, even though you forsook me." He touched the skein with his wand, and it untangled itself, and wound itself up in perfect order.	"Behold me, princess, ready to serve you, even though you forsook me." He touched the skein with his wand, and it untangled itself, and wound itself up in perfect order.
8329_279775_000055_000002	"Do you wish anything more, madam?" asked he coldly.	"Do you wish anything more, madam?" asked he coldly.
8329_279775_000056_000000	"Percinet, Percinet, do not reproach me; I am only too unhappy."	"Percinet, Percinet, do not reproach me; I am only too unhappy."
8329_279775_000057_000000	"It is your own fault.	"It is your own fault.
8329_279775_000057_000001	Come with me, and make us both happy." But she said nothing, and the fairy-prince disappeared.	Come with me, and make us both happy." But she said nothing, and the fairy prince disappeared.
8329_279775_000058_000000	At sunset, Grognon eagerly came to the prison-door with her three keys, and found Graciosa smiling and fair, her task all done.	At sunset, Grognon eagerly came to the prison door with her three keys, and found Graciosa smiling and fair, her task all done.
8329_279775_000058_000001	There was no complaint to make, yet Grognon exclaimed that the skein was dirty, and boxed the princess's ears till her rosy cheeks turned yellow and blue.	There was no complaint to make, yet Grognon exclaimed that the skein was dirty, and boxed the princess's ears till her rosy cheeks turned yellow and blue.
8329_279775_000058_000002	Then she left her, and overwhelmed the fairy with reproaches.	Then she left her, and overwhelmed the fairy with reproaches.
8329_279775_000059_000000	"Find me, by to-morrow, something absolutely impossible for her to do."	"Find me, by to morrow, something absolutely impossible for her to do."
8329_279775_000060_000000	The fairy brought a great basket full of feathers, plucked from every kind of bird--nightingales, canaries, linnets, larks, doves, thrushes, peacocks, ostriches, pheasants, partridges, magpies, eagles--in fact, if I told them all over, I should never come to an end; and all these feathers were so mixed up together, that they could not be distinguished.	The fairy brought a great basket full of feathers, plucked from every kind of bird-nightingales, canaries, linnets, larks, doves, thrushes, peacocks, ostriches, pheasants, partridges, magpies, eagles-in fact, if I told them all over, I should never come to an end; and all these feathers were so mixed up together, that they could not be distinguished.
8329_279775_000062_000000	Grognon jumped for joy, sent for the princess, and ordered her to take her task, and finish it, as before, by set of sun.	Grognon jumped for joy, sent for the princess, and ordered her to take her task, and finish it, as before, by set of sun
8329_279775_000063_000000	Graciosa tried patiently, but she could see no difference in the feathers; she threw them all back again into the basket, and began to weep bitterly.	Graciosa tried patiently, but she could see no difference in the feathers; she threw them all back again into the basket, and began to weep bitterly.
8329_279775_000063_000002	Percinet loves me no longer; if he did, he would already have been here."	Percinet loves me no longer; if he did, he would already have been here."
8329_279775_000064_000000	"Here I am, my princess," cried a voice from under the basket; and the fairy-prince appeared.	"Here I am, my princess," cried a voice from under the basket; and the fairy prince appeared.
8329_279775_000064_000001	He gave three taps with his wand--the feathers flew by millions out of the basket, and arranged themselves in little heaps, each belonging to a different bird.	He gave three taps with his wand-the feathers flew by millions out of the basket, and arranged themselves in little heaps, each belonging to a different bird.
8329_279775_000065_000000	"What do I not owe you?" cried Graciosa.	"What do I not owe you?" cried Graciosa.
8329_279775_000067_000000	When Grognon arrived, she found the task done.	When Grognon arrived, she found the task done.
8329_279775_000067_000001	She was furious at the fairy, who was as much astonished as herself at the result of their malicious contrivances.	She was furious at the fairy, who was as much astonished as herself at the result of their malicious contrivances.
8329_279775_000067_000002	But she promised to try once more; and for several days employed all her industry in inventing a box, which, she said, the prisoner must be forbidden on any account to open.	But she promised to try once more; and for several days employed all her industry in inventing a box, which, she said, the prisoner must be forbidden on any account to open.
8329_279775_000067_000003	"Then," added the cunning fairy, "of course, being such a disobedient and wicked girl, as you say, she will open it, and the result will satisfy you to your heart's content."	"Then," added the cunning fairy, "of course, being such a disobedient and wicked girl, as you say, she will open it, and the result will satisfy you to your heart's content."
8329_279775_000069_000001	She was dressed like any poor peasant, in a cotton gown, a woollen hood and wooden shoes; yet, as she walked along, people took her for a queen in disguise, so lovely were her looks and ways.	She was dressed like any poor peasant, in a cotton gown, a woollen hood and wooden shoes; yet, as she walked along, people took her for a queen in disguise, so lovely were her looks and ways.
8329_279775_000069_000002	But being weak with imprisonment, she soon grew weary, and, sitting down upon the edge of a little wood, took the box upon her lap.	But being weak with imprisonment, she soon grew weary, and, sitting down upon the edge of a little wood, took the box upon her lap.
8329_279775_000069_000003	Suddenly a wonderful desire seized her to open it.	Suddenly a wonderful desire seized her to open it.
8329_279775_000070_000000	"I will take nothing out, I will touch nothing," said she to herself, "but I must see what is inside."	"I will take nothing out, I will touch nothing," said she to herself, "but I must see what is inside."
8329_279775_000071_000000	Without reflecting on the consequences, she lifted up the lid, and instantly there jumped out a number of little men and little women, carrying little tables and chairs, little dishes, and little musical instruments.	Without reflecting on the consequences, she lifted up the lid, and instantly there jumped out a number of little men and little women, carrying little tables and chairs, little dishes, and little musical instruments.
8329_279775_000071_000001	The whole company were so small, that the biggest giant among them was scarcely the height of a finger.	The whole company were so small, that the biggest giant among them was scarcely the height of a finger.
8329_279775_000071_000002	They leaped into the green meadow, separated into various bands, and began dancing and singing, eating and drinking, to Graciosa's wonder and delight.	They leaped into the green meadow, separated into various bands, and began dancing and singing, eating and drinking, to Graciosa's wonder and delight.
8329_279775_000072_000000	Again, in her distress, she called upon Percinet, and again he appeared; and, with a single touch of his wand, sent all the little people back into the box.	Again, in her distress, she called upon Percinet, and again he appeared; and, with a single touch of his wand, sent all the little people back into the box.
8329_279775_000072_000001	Then, in his chariot, drawn by stags, he took her to the castle, where she did all that she had been commanded, and returned in safety, to her stepmother, who was more furious than ever.	Then, in his chariot, drawn by stags, he took her to the castle, where she did all that she had been commanded, and returned in safety, to her stepmother, who was more furious than ever.
8329_279775_000072_000002	If a fairy could be strangled, Grognon certainly would have done it in her rage.	If a fairy could be strangled, Grognon certainly would have done it in her rage.
8329_279775_000072_000003	At last, she resolved to ask help no more, but to work her own wicked will upon Graciosa.	At last, she resolved to ask help no more, but to work her own wicked will upon Graciosa.
8329_279775_000073_000000	She caused to be dug a large hole in the garden, and taking the princess there, showed her the stone which covered it.	She caused to be dug a large hole in the garden, and taking the princess there, showed her the stone which covered it.
8329_279775_000074_000000	"Underneath this stone lies a great treasure; lift it up, and you will see."	"Underneath this stone lies a great treasure; lift it up, and you will see."
8329_279775_000075_000000	Graciosa obeyed; and while she was standing at the edge of the pit, Grognon pushed her in, and let the stone fall down again upon her, burying her alive.	Graciosa obeyed; and while she was standing at the edge of the pit, Grognon pushed her in, and let the stone fall down again upon her, burying her alive.
8329_279775_000075_000001	After this, there seemed no more hope for the poor princess.	After this, there seemed no more hope for the poor princess.
8329_279775_000076_000002	Still, death will be less bitter, if only you regret me a little."	Still, death will be less bitter, if only you regret me a little."
8329_279775_000077_000000	While she spoke, she saw through the blank darkness a glimmer of light; it came through a little door.	While she spoke, she saw through the blank darkness a glimmer of light; it came through a little door.
8329_279775_000077_000001	She remembered what Percinet had said: that she would never return to the fairy palace, until after she was buried.	She remembered what Percinet had said: that she would never return to the fairy palace, until after she was buried.
8329_279775_000077_000002	Perhaps this final cruelty of Grognon would be the end of her sorrows.	Perhaps this final cruelty of Grognon would be the end of her sorrows.
8329_279775_000077_000003	So she took courage, crept through the little door, and lo! she came out into a beautiful garden, with long alleys, fruit-trees, and flower-beds.	So she took courage, crept through the little door, and lo! she came out into a beautiful garden, with long alleys, fruit trees, and flower beds.
8329_279775_000077_000004	Well she knew it, and well she knew the glitter of the rock-crystal walls.	Well she knew it, and well she knew the glitter of the rock crystal walls.
8329_279775_000077_000005	And there, at the palace-gate, stood Percinet, and the queen, his mother, and the princesses, his sisters.	And there, at the palace gate, stood Percinet, and the queen, his mother, and the princesses, his sisters.
8329_279775_000077_000006	"Welcome, Graciosa!" cried they all; and Graciosa, after all her sufferings, wept for joy.	"Welcome, Graciosa!" cried they all; and Graciosa, after all her sufferings, wept for joy.
8329_279775_000078_000000	The marriage was celebrated with great splendour; and all the fairies, for a thousand leagues round, attended it.	The marriage was celebrated with great splendour; and all the fairies, for a thousand leagues round, attended it.
8329_279775_000078_000001	Some came in chariots drawn by dragons, or swans, or peacocks; some were mounted upon floating clouds, or globes of fire.	Some came in chariots drawn by dragons, or swans, or peacocks; some were mounted upon floating clouds, or globes of fire.
8329_279775_000078_000002	Among the rest, appeared the very fairy who had assisted Grognon to torment Graciosa.	Among the rest, appeared the very fairy who had assisted Grognon to torment Graciosa.
8329_279775_000078_000003	When she discovered that Grognon's poor prisoner was now Prince Percinet's bride, she was overwhelmed with confusion, and entreated her to forget all that had passed, because she really was ignorant who she had been so cruelly afflicting.	When she discovered that Grognon's poor prisoner was now Prince Percinet's bride, she was overwhelmed with confusion, and entreated her to forget all that had passed, because she really was ignorant who she had been so cruelly afflicting.
8329_279775_000079_000000	"But I will make amends for all the evil that I have done," said the fairy; and, refusing to stay for the wedding-dinner, she remounted her chariot, drawn by two terrible serpents, and flew to the palace of Graciosa's father.	"But I will make amends for all the evil that I have done," said the fairy; and, refusing to stay for the wedding dinner, she remounted her chariot, drawn by two terrible serpents, and flew to the palace of Graciosa's father.
8329_279775_000079_000001	There, before either king, or courtiers, or ladies-in-waiting could stop her--even had they wished to do it, which remains doubtful--she came behind the wicked Grognon, and twisted her neck, just as a cook does a barn-door fowl.	There, before either king, or courtiers, or ladies in waiting could stop her-even had they wished to do it, which remains doubtful-she came behind the wicked Grognon, and twisted her neck, just as a cook does a barn door fowl.
