207_143321_000004_000000	CHAPTER XII	CHAPTER twelve
207_143321_000045_000002	Their bites, too, may be poisonous for all I know."	Their bites, too, may be poisonous for all I know."
207_143321_000046_000000	The Indians seemed glad to leave the "place of the bats," as they called the camp site.	The Indians seemed glad to leave the "place of the bats," as they called the camp site.
207_143321_000046_000003	The blood-sucking bats were comparatively few, and the migratory sort fewer still.	The blood sucking bats were comparatively few, and the migratory sort fewer still.
207_143321_000047_000000	"Well, we're on our way once more," remarked Tom as again they were in the canoes being paddled up the river.	"Well, we're on our way once more," remarked Tom as again they were in the canoes being paddled up the river.
207_143321_000047_000001	"How much longer does your water trip take, Professor?"	"How much longer does your water trip take, Professor?"
207_143321_000048_000000	"I hardly know," and Professor Bumper looked to Jacinto to answer.	"I hardly know," and Professor Bumper looked to Jacinto to answer.
207_143321_000049_000000	"We go two more days in the canoes," the guide answered, "and then we shall find the mules waiting for us at a place called Hidjio.	"We go two more days in the canoes," the guide answered, "and then we shall find the mules waiting for us at a place called Hidjio.
207_143321_000049_000001	From then on we travel by land until--well until you get to the place where you are going.	From then on we travel by land until-well until you get to the place where you are going.
207_143321_000050_000001	"I am leaving that part to you."	"I am leaving that part to you."
207_143321_000051_000000	"Oh, I have a map, showing where I want to begin some excavations," was the answer.	"Oh, I have a map, showing where I want to begin some excavations," was the answer.
207_143321_000051_000002	After that--well, we shall trust to luck for what we shall find."	After that-well, we shall trust to luck for what we shall find."
207_143321_000052_000001	"You have mentioned buried cities.	"You have mentioned buried cities.
207_143321_000052_000002	Have you thought what may be in them--great heathen temples, idols, perhaps?"	Have you thought what may be in them-great heathen temples, idols, perhaps?"
207_143321_000053_000000	For a moment none of the professor's companions spoke.	For a moment none of the professor's companions spoke.
207_143321_000053_000002	Finally the scientist said:	Finally the scientist said:
207_143321_000054_000002	But we shall take whatever antiquities we find."	But we shall take whatever antiquities we find."
207_143321_000055_000000	"Huh!" grunted Jacinto, and then he called to the paddlers to increase their strokes.	"Huh!" grunted Jacinto, and then he called to the paddlers to increase their strokes.
207_143321_000056_000000	The journey up the river was not very eventful.	The journey up the river was not very eventful.
207_143321_000056_000002	Toward the close of the third day's travel there was a cry from one of the rear boats, and an alarm of a man having fallen overboard was given.	Toward the close of the third day's travel there was a cry from one of the rear boats, and an alarm of a man having fallen overboard was given.
207_143321_000057_000000	Tom turned in time to see the poor fellow's struggles, and at the same time there was a swirl in the water and a black object shot forward.	Tom turned in time to see the poor fellow's struggles, and at the same time there was a swirl in the water and a black object shot forward.
207_143321_000058_000000	"An alligator is after him!" yelled Ned.	"An alligator is after him!" yelled Ned.
207_143321_000060_000000	Tom took quick aim and pulled the trigger.	Tom took quick aim and pulled the trigger.
207_143321_000060_000001	The explosive electric bullet went true to its mark, and the great animal turned over in a death struggle.	The explosive electric bullet went true to its mark, and the great animal turned over in a death struggle.
207_143321_000061_000000	There was a wild scream of agony and then a dark arm shot up above the red foam.	There was a wild scream of agony and then a dark arm shot up above the red foam.
207_143321_000061_000002	Tom fired bullet after bullet from his wonderful rifle into the spot, but though he killed some of the alligators this did not save the man's life.	Tom fired bullet after bullet from his wonderful rifle into the spot, but though he killed some of the alligators this did not save the man's life.
207_143321_000061_000003	His body was not seen again, though search was made for it.	His body was not seen again, though search was made for it.
207_143321_000062_000000	The accident cast a little damper over the party, and there was a feeling of gloom among the Indians.	The accident cast a little damper over the party, and there was a feeling of gloom among the Indians.
207_143321_000062_000001	Professor Bumper announced that he would see to it that the man's family did not want, and this seemed to give general satisfaction, especially to a brother who was with the party.	Professor Bumper announced that he would see to it that the man's family did not want, and this seemed to give general satisfaction, especially to a brother who was with the party.
207_143321_000063_000000	Aside from being caught in a drenching storm and one or two minor accidents, nothing else of moment marked the remainder of the river journey, and at the end of the third day the canoes pulled to shore and a night camp was made.	Aside from being caught in a drenching storm and one or two minor accidents, nothing else of moment marked the remainder of the river journey, and at the end of the third day the canoes pulled to shore and a night camp was made.
207_143321_000064_000000	"But where are the mules we are to use in traveling to-morrow?" asked the professor of Jacinto.	"But where are the mules we are to use in traveling to morrow?" asked the professor of Jacinto.
207_143321_000065_000000	"In the next village.	"In the next village.
207_143321_000065_000001	We shall march there in the morning.	We shall march there in the morning.
207_143321_000065_000002	No use to go there at night when all is dark."	No use to go there at night when all is dark."
207_143321_000066_000000	"I suppose that is so."	"I suppose that is so."
207_143321_000067_000000	The Indians made camp as usual, the goods being brought from the canoes and piled up near the tents.	The Indians made camp as usual, the goods being brought from the canoes and piled up near the tents.
207_143321_000067_000001	Then night settled down.	Then night settled down.
207_143321_000068_000000	"Hello!" cried Tom, awakening the next morning to find the sun streaming into his tent.	"Hello!" cried Tom, awakening the next morning to find the sun streaming into his tent.
207_143321_000068_000001	"We must have overslept, Ned.	"We must have overslept, Ned.
207_143321_000069_000000	"I didn't hear any one call us," remarked Ned.	"I didn't hear any one call us," remarked Ned.
207_143321_000070_000000	"Nor I. Wonder if we're the only lazy birds." He looked from the tent in time to see Mr. Damon and the professor emerging.	"Nor i Wonder if we're the only lazy birds." He looked from the tent in time to see mr Damon and the professor emerging.
207_143321_000070_000001	Then Tom noticed something queer.	Then Tom noticed something queer.
207_143321_000070_000002	The canoes were not on the river bank.	The canoes were not on the river bank.
207_143321_000070_000003	There was not an Indian in sight, and no evidence of Jacinto.	There was not an Indian in sight, and no evidence of Jacinto.
207_143321_000072_000000	"I rather think they've gone back," was the professor's dry comment.	"I rather think they've gone back," was the professor's dry comment.
207_143321_000073_000000	"Gone back?"	"Gone back?"
207_143321_000074_000000	"Yes.	"Yes.
207_143321_000075_000000	"Bless my time-table!" cried Mr. Damon.	"Bless my time table!" cried mr Damon.
207_143321_000075_000001	"You don't say so!	"You don't say so!
207_143321_000075_000002	What does it mean?	What does it mean?
207_143321_000075_000003	What has becomes of our friend Jacinto?"	What has becomes of our friend Jacinto?"
