8824_279153_000000_000000	LECTURE VIII.	LECTURE eight.	false	9	17.205	22.474205
8824_279153_000005_000001	Since the mental world and the physical world interact, there would be a boundary between the two: there would be events which would have physical causes and mental effects, while there would be others which would have mental causes and physical effects. Those that have physical causes and mental effects we should define as "sensations." Those that have mental causes and physical effects might perhaps be identified with what we call voluntary movements; but they do not concern us at present.	Since the mental world and the physical world interact, there would be a boundary between the two: there would be events which would have physical causes and mental effects, while there would be others which would have mental causes and physical effects. Those that have physical causes and mental effects we should define as "sensations." Those that have mental causes and physical effects might perhaps be identified with what we call voluntary movements; but they do not concern us at present.	true	155.51	182.11	21.6551
8824_279153_000006_000000	These definitions would have all the precision that could be desired if the distinction between physical and psychological causation were clear and sharp.	These definitions would have all the precision that could be desired if the distinction between physical and psychological causation were clear and sharp.	true	182.87	191.34	23.096529
8824_279153_000006_000001	As a matter of fact, however, this distinction is, as yet, by no means sharp.	As a matter of fact, however, this distinction is, as yet, by no means sharp.	true	191.34	196.33	23.715544
8824_279153_000006_000002	It is possible that, with fuller knowledge, it will be found to be no more ultimate than the distinction between the laws of gases and the laws of rigid bodies.	It is possible that, with fuller knowledge, it will be found to be no more ultimate than the distinction between the laws of gases and the laws of rigid bodies.	true	196.64	205	22.647818
8824_279153_000006_000003	It also suffers from the fact that an event may be an effect of several causes according to several causal laws we cannot, in general, point to anything unique as THE cause of such-and-such an event.	It also suffers from the fact that an event may be an effect of several causes according to several causal laws we cannot, in general, point to anything unique as THE cause of such and such an event.	false	205.64	217.81	24.405632
8824_279153_000006_000004	And finally it is by no means certain that the peculiar causal laws which govern mental events are not really physiological.	And finally it is by no means certain that the peculiar causal laws which govern mental events are not really physiological.	false	218.18	225.81	19.855986
8824_279153_000006_000005	The law of habit, which is one of the most distinctive, may be fully explicable in terms of the peculiarities of nervous tissue, and these peculiarities, in turn, may be explicable by the laws of physics.	The law of habit, which is one of the most distinctive, may be fully explicable in terms of the peculiarities of nervous tissue, and these peculiarities, in turn, may be explicable by the laws of physics.	true	225.81	237.67	21.847126
8824_279153_000006_000006	It seems, therefore, that we are driven to a different kind of definition.	It seems, therefore, that we are driven to a different kind of definition.	true	238.07	241.84	20.019165
8824_279153_000006_000007	It is for this reason that it was necessary to develop the definition of perception.	It is for this reason that it was necessary to develop the definition of perception.	true	241.91	246.61	24.494291
8824_279153_000006_000008	With this definition, we can define a sensation as the non-mnemic elements in a perception.	With this definition, we can define a sensation as the non mnemic elements in a perception.	true	246.83	252.1	20
8824_279153_000007_000000	When, following our definition, we try to decide what elements in our experience are of the nature of sensations, we find more difficulty than might have been expected.	When, following our definition, we try to decide what elements in our experience are of the nature of sensations, we find more difficulty than might have been expected.	true	253.07	263.23	22.375559
8824_279153_000007_000001	Prima facie, everything is sensation that comes to us through the senses: the sights we see, the sounds we hear, the smells we smell, and so on; also such things as headache or the feeling of muscular strain.	Prima facie, everything is sensation that comes to us through the senses: the sights we see, the sounds we hear, the smells we smell, and so on; also such things as headache or the feeling of muscular strain.	true	263.45	275.05	21.423546
8824_279153_000007_000002	But in actual fact so much interpretation, so much of habitual correlation, is mixed with all such experiences, that the core of pure sensation is only to be extracted by careful investigation.	But in actual fact so much interpretation, so much of habitual correlation, is mixed with all such experiences, that the core of pure sensation is only to be extracted by careful investigation.	false	275.57	287.53	24.657461
8824_279153_000007_000003	To take a simple illustration: if you go to the theatre in your own country, you seem to hear equally well in the stalls or the dress circle; in either case you think you miss nothing.	To take a simple illustration: if you go to the theatre in your own country, you seem to hear equally well in the stalls or the dress circle; in either case you think you miss nothing.	false	288.56	298.54	22.439064
8824_279153_000007_000004	But if you go in a foreign country where you have a fair knowledge of the language, you will seem to have grown partially deaf, and you will find it necessary to be much nearer the stage than you would need to be in your own country.	But if you go in a foreign country where you have a fair knowledge of the language, you will seem to have grown partially deaf, and you will find it necessary to be much nearer the stage than you would need to be in your own country.	false	298.55	310.39	23.18779
8824_279153_000007_000005	The reason is that, in hearing our own language spoken, we quickly and unconsciously fill out what we really hear with inferences to what the man must be saying, and we never realize that we have not heard the words we have merely inferred.	The reason is that, in hearing our own language spoken, we quickly and unconsciously fill out what we really hear with inferences to what the man must be saying, and we never realize that we have not heard the words we have merely inferred.	false	311.12	323.32	19.25616
8824_279153_000007_000006	In a foreign language, these inferences are more difficult, and we are more dependent upon actual sensation.	In a foreign language, these inferences are more difficult, and we are more dependent upon actual sensation.	true	323.9	329.74	23
8824_279153_000007_000007	If we found ourselves in a foreign world, where tables looked like cushions and cushions like tables, we should similarly discover how much of what we think we see is really inference.	If we found ourselves in a foreign world, where tables looked like cushions and cushions like tables, we should similarly discover how much of what we think we see is really inference.	true	330.47	340.18	20
8824_279153_000007_000008	Every fairly familiar sensation is to us a sign of the things that usually go with it, and many of these things will seem to form part of the sensation.	Every fairly familiar sensation is to us a sign of the things that usually go with it, and many of these things will seem to form part of the sensation.	true	341.03	349.54	21.857769
8824_279153_000007_000009	I remember in the early days of motor-cars being with a friend when a tyre burst with a loud report.	I remember in the early days of motor cars being with a friend when a tyre burst with a loud report.	true	349.7	355.36	21.054115
8824_279153_000007_000010	He thought it was a pistol, and supported his opinion by maintaining that he had seen the flash.	He thought it was a pistol, and supported his opinion by maintaining that he had seen the flash.	true	355.58	360.315	22.50423
8824_279153_000007_000011	But of course there had been no flash.	But of course there had been no flash.	true	360.315	362.235	23.056206
8824_279153_000007_000012	Nowadays no one sees a flash when a tyre bursts.	Nowadays no one sees a flash when a tyre bursts.	true	362.235	365.29	18.62282
8824_279153_000008_000000	In order, therefore, to arrive at what really is sensation in an occurrence which, at first sight, seems to contain nothing else, we have to pare away all that is due to habit or expectation or interpretation. This is a matter for the psychologist, and by no means an easy matter. For our purposes, it is not important to determine what exactly is the sensational core in any case; it is only important to notice that there certainly is a sensational core, since habit, expectation and interpretation are diversely aroused on diverse occasions, and the diversity is clearly due to differences in what is presented to the senses.	In order, therefore, to arrive at what really is sensation in an occurrence which, at first sight, seems to contain nothing else, we have to pare away all that is due to habit or expectation or interpretation. This is a matter for the psychologist, and by no means an easy matter. For our purposes, it is not important to determine what exactly is the sensational core in any case; it is only important to notice that there certainly is a sensational core, since habit, expectation and interpretation are diversely aroused on diverse occasions, and the diversity is clearly due to differences in what is presented to the senses.	true	365.99	403.99	21.83749
8824_279153_000008_000001	When you open your newspaper in the morning, the actual sensations of seeing the print form a very minute part of what goes on in you, but they are the starting-point of all the rest, and it is through them that the newspaper is a means of information or mis-information.	When you open your newspaper in the morning, the actual sensations of seeing the print form a very minute part of what goes on in you, but they are the starting point of all the rest, and it is through them that the newspaper is a means of information or mis information.	false	404.96	419.8	21.47945
8824_279153_000008_000002	Thus, although it may be difficult to determine what exactly is sensation in any given experience, it is clear that there is sensation, unless, like Leibniz, we deny all action of the outer world upon us.	Thus, although it may be difficult to determine what exactly is sensation in any given experience, it is clear that there is sensation, unless, like Leibniz, we deny all action of the outer world upon us.	true	420.2	432.85	22.00123
8824_279153_000009_000000	Sensations are obviously the source of our knowledge of the world, including our own body.	Sensations are obviously the source of our knowledge of the world, including our own body.	true	433.55	438.22	16
8824_279153_000009_000001	It might seem natural to regard a sensation as itself a cognition, and until lately I did so regard it.	It might seem natural to regard a sensation as itself a cognition, and until lately I did so regard it.	false	438.56	445.3	20.141779
8824_279153_000009_000002	When, say, I see a person I know coming towards me in the street, it SEEMS as though the mere seeing were knowledge.	When, say, I see a person I know coming towards me in the street, it SEEMS as though the mere seeing were knowledge.	false	445.58	453.12	18.711805
8824_279153_000009_000003	It is of course undeniable that knowledge comes THROUGH the seeing, but I think it is a mistake to regard the mere seeing itself as knowledge.	It is of course undeniable that knowledge comes THROUGH the seeing, but I think it is a mistake to regard the mere seeing itself as knowledge.	true	453.12	460.63	20
8824_279153_000009_000004	If we are so to regard it, we must distinguish the seeing from what is seen: we must say that, when we see a patch of colour of a certain shape, the patch of colour is one thing and our seeing of it is another.	If we are so to regard it, we must distinguish the seeing from what is seen: we must say that, when we see a patch of colour of a certain shape, the patch of colour is one thing and our seeing of it is another.	true	461.15	471.85	21.13835
8824_279153_000009_000005	This view, however, demands the admission of the subject, or act, in the sense discussed in our first lecture.	This view, however, demands the admission of the subject, or act, in the sense discussed in our first lecture.	true	472.28	478.875	24.151924
8824_279153_000009_000006	If there is a subject, it can have a relation to the patch of colour, namely, the sort of relation which we might call awareness.	If there is a subject, it can have a relation to the patch of colour, namely, the sort of relation which we might call awareness.	true	478.875	486.07	23.481503
8824_279153_000009_000007	In that case the sensation, as a mental event, will consist of awareness of the colour, while the colour itself will remain wholly physical, and may be called the sense-datum, to distinguish it from the sensation. The subject, however, appears to be a logical fiction, like mathematical points and instants.	In that case the sensation, as a mental event, will consist of awareness of the colour, while the colour itself will remain wholly physical, and may be called the sense datum, to distinguish it from the sensation. The subject, however, appears to be a logical fiction, like mathematical points and instants.	true	486.47	504.49	23.035658
8824_279153_000009_000008	It is introduced, not because observation reveals it, but because it is linguistically convenient and apparently demanded by grammar.	It is introduced, not because observation reveals it, but because it is linguistically convenient and apparently demanded by grammar.	true	505.25	512.98	22.55285
8824_279153_000009_000009	Nominal entities of this sort may or may not exist, but there is no good ground for assuming that they do.	Nominal entities of this sort may or may not exist, but there is no good ground for assuming that they do.	true	513.26	519.76	21.767344
8824_279153_000009_000010	The functions that they appear to perform can always be performed by classes or series or other logical constructions, consisting of less dubious entities.	The functions that they appear to perform can always be performed by classes or series or other logical constructions, consisting of less dubious entities.	false	520.79	529.51	23.648645
8824_279153_000009_000011	If we are to avoid a perfectly gratuitous assumption, we must dispense with the subject as one of the actual ingredients of the world.	If we are to avoid a perfectly gratuitous assumption, we must dispense with the subject as one of the actual ingredients of the world.	true	529.79	536.86	20
8824_279153_000009_000012	But when we do this, the possibility of distinguishing the sensation from the sense-datum vanishes; at least I see no way of preserving the distinction.	But when we do this, the possibility of distinguishing the sensation from the sense datum vanishes; at least I see no way of preserving the distinction.	true	536.96	545.44	21.651623
8824_279153_000009_000013	Accordingly the sensation that we have when we see a patch of colour simply is that patch of colour, an actual constituent of the physical world, and part of what physics is concerned with.	Accordingly the sensation that we have when we see a patch of colour simply is that patch of colour, an actual constituent of the physical world, and part of what physics is concerned with.	false	546.17	555.88	22.17872
8824_279153_000009_000014	A patch of colour is certainly not knowledge, and therefore we cannot say that pure sensation is cognitive.	A patch of colour is certainly not knowledge, and therefore we cannot say that pure sensation is cognitive.	true	556.19	562.18	21
8824_279153_000009_000015	Through its psychological effects, it is the cause of cognitions, partly by being itself a sign of things that are correlated with it, as e.g. sensations of sight and touch are correlated, and partly by giving rise to images and memories after the sensation is faded.	Through its psychological effects, it is the cause of cognitions, partly by being itself a sign of things that are correlated with it, as e g sensations of sight and touch are correlated, and partly by giving rise to images and memories after the sensation is faded.	false	562.58	577.93	22.197252
8824_279153_000009_000016	But in itself the pure sensation is not cognitive.	But in itself the pure sensation is not cognitive.	true	578.15	582.13	22.769524
8824_279153_000010_000000	In the first lecture we considered the view of Brentano, that "we may define psychical phenomena by saying that they are phenomena which intentionally contain an object." We saw reasons to reject this view in general; we are now concerned to show that it must be rejected in the particular case of sensations.	In the first lecture we considered the view of Brentano, that "we may define psychical phenomena by saying that they are phenomena which intentionally contain an object." We saw reasons to reject this view in general; we are now concerned to show that it must be rejected in the particular case of sensations.	false	582.95	602.5	22.245771
8824_279153_000010_000001	The kind of argument which formerly made me accept Brentano's view in this case was exceedingly simple.	The kind of argument which formerly made me accept Brentano's view in this case was exceedingly simple.	true	603.23	609.31	21.754242
8824_279153_000010_000002	When I see a patch of colour, it seemed to me that the colour is not psychical, but physical, while my seeing is not physical, but psychical.	When I see a patch of colour, it seemed to me that the colour is not psychical, but physical, while my seeing is not physical, but psychical.	true	609.53	618.67	23.164549
8824_279153_000010_000003	Hence I concluded that the colour is something other than my seeing of the colour.	Hence I concluded that the colour is something other than my seeing of the colour.	true	619.25	623.92	20.90656
8824_279153_000010_000004	This argument, to me historically, was directed against idealism: the emphatic part of it was the assertion that the colour is physical, not psychical.	This argument, to me historically, was directed against idealism: the emphatic part of it was the assertion that the colour is physical, not psychical.	true	624.65	633.7	22.691189
8824_279153_000010_000005	I shall not trouble you now with the grounds for holding as against Berkeley that the patch of colour is physical; I have set them forth before, and I see no reason to modify them.	I shall not trouble you now with the grounds for holding as against Berkeley that the patch of colour is physical; I have set them forth before, and I see no reason to modify them.	true	634.28	643.36	24.803137
8824_279153_000010_000006	But it does not follow that the patch of colour is not also psychical, unless we assume that the physical and the psychical cannot overlap, which I no longer consider a valid assumption.	But it does not follow that the patch of colour is not also psychical, unless we assume that the physical and the psychical cannot overlap, which I no longer consider a valid assumption.	true	643.94	655.15	23.676811
8824_279153_000010_000007	If we admit--as I think we should--that the patch of colour may be both physical and psychical, the reason for distinguishing the sense-datum from the sensation disappears, and we may say that the patch of colour and our sensation in seeing it are identical.	If we admit-as I think we should-that the patch of colour may be both physical and psychical, the reason for distinguishing the sense datum from the sensation disappears, and we may say that the patch of colour and our sensation in seeing it are identical.	true	655.61	670.81	23.104671
8824_279153_000011_000000	This is the view of William James, Professor Dewey, and the American realists.	This is the view of William james, Professor Dewey, and the American realists.	true	671.09	675.37	20
8824_279153_000011_000001	Perceptions, says Professor Dewey, are not per se cases of knowledge, but simply natural events with no more knowledge status than (say) a shower.	Perceptions, says Professor Dewey, are not per se cases of knowledge, but simply natural events with no more knowledge status than (say) a shower.	false	675.86	686.4	21.60193
8824_279153_000011_000002	"Let them [the realists] try the experiment of conceiving perceptions as pure natural events, not cases of awareness or apprehension, and they will be surprised to see how little they miss."* I think he is right in this, except in supposing that the realists will be surprised.	"Let them [the realists] try the experiment of conceiving perceptions as pure natural events, not cases of awareness or apprehension, and they will be surprised to see how little they miss."asterisk I think he is right in this, except in supposing that the realists will be surprised.	false	686.4	704.59	22.823486
8824_279153_000011_000003	Many of them already hold the view he is advocating, and others are very sympathetic to it.	Many of them already hold the view he is advocating, and others are very sympathetic to it.	false	704.66	709.78	19.371223
8824_279153_000011_000004	At any rate, it is the view which I shall adopt in these lectures.	At any rate, it is the view which I shall adopt in these lectures.	true	709.97	713.43	19.595755
8824_279153_000012_000000	* Dewey, "Essays in Experimental Logic," pp. 253, 262.	asterisk Dewey, "Essays in Experimental Logic," p p. two hundred fifty three, two hundred sixty two.	false	713.43	714.63	-1
8824_279153_000013_000000	The stuff of the world, so far as we have experience of it, consists, on the view that I am advocating, of innumerable transient particulars such as occur in seeing, hearing, etc., together with images more or less resembling these, of which I shall speak shortly.	The stuff of the world, so far as we have experience of it, consists, on the view that I am advocating, of innumerable transient particulars such as occur in seeing, hearing, etc, together with images more or less resembling these, of which I shall speak shortly.	true	714.63	729.64	21.86092
8824_279153_000013_000001	If physics is true, there are, besides the particulars that we experience, others, probably equally (or almost equally) transient, which make up that part of the material world that does not come into the sort of contact with a living body that is required to turn it into a sensation.	If physics is true, there are, besides the particulars that we experience, others, probably equally (or almost equally) transient, which make up that part of the material world that does not come into the sort of contact with a living body that is required to turn it into a sensation.	false	730.28	745.24	22.83814
8824_279153_000013_000002	But this topic belongs to the philosophy of physics, and need not concern us in our present inquiry.	But this topic belongs to the philosophy of physics, and need not concern us in our present inquiry.	true	745.64	750.79	21
8824_279153_000014_000000	Sensations are what is common to the mental and physical worlds; they may be defined as the intersection of mind and matter.	Sensations are what is common to the mental and physical worlds; they may be defined as the intersection of mind and matter.	true	751.43	757.81	21
8824_279153_000014_000001	This is by no means a new view; it is advocated, not only by the American authors I have mentioned, but by Mach in his Analysis of Sensations, which was published in 1886.	This is by no means a new view; it is advocated, not only by the American authors I have mentioned, but by Mach in his Analysis of Sensations, which was published in eighteen eighty six.	true	758.06	768.16	19.633856
8824_279153_000014_000002	The essence of sensation, according to the view I am advocating, is its independence of past experience.	The essence of sensation, according to the view I am advocating, is its independence of past experience.	true	768.53	774.61	20.077793
8824_279153_000014_000003	It is a core in our actual experiences, never existing in isolation except possibly in very young infants.	It is a core in our actual experiences, never existing in isolation except possibly in very young infants.	true	774.95	781.84	24.308292
8824_279153_000014_000004	It is not itself knowledge, but it supplies the data for our knowledge of the physical world, including our own bodies.	It is not itself knowledge, but it supplies the data for our knowledge of the physical world, including our own bodies.	true	782.21	788.35	23
8824_279153_000015_000000	There are some who believe that our mental life is built up out of sensations alone.	There are some who believe that our mental life is built up out of sensations alone.	true	788.96	793.24	16
8824_279153_000015_000001	This may be true; but in any case I think the only ingredients required in addition to sensations are images.	This may be true; but in any case I think the only ingredients required in addition to sensations are images.	true	793.58	799.81	19
8824_279153_000015_000002	What images are, and how they are to be defined, we have now to inquire.	What images are, and how they are to be defined, we have now to inquire.	true	799.97	804.61	17.387323
8824_279153_000016_000000	The distinction between images and sensations might seem at first sight by no means difficult.	The distinction between images and sensations might seem at first sight by no means difficult.	true	805.01	810.19	20.794424
8824_279153_000016_000001	When we shut our eyes and call up pictures of familiar scenes, we usually have no difficulty, so long as we remain awake, in discriminating between what we are imagining and what is really seen.	When we shut our eyes and call up pictures of familiar scenes, we usually have no difficulty, so long as we remain awake, in discriminating between what we are imagining and what is really seen.	true	810.38	820.21	20.391083
8824_279153_000016_000002	If we imagine some piece of music that we know, we can go through it in our mind from beginning to end without any discoverable tendency to suppose that we are really hearing it.	If we imagine some piece of music that we know, we can go through it in our mind from beginning to end without any discoverable tendency to suppose that we are really hearing it.	true	820.64	830.02	20.575739
8824_279153_000016_000003	But although such cases are so clear that no confusion seems possible, there are many others that are far more difficult, and the definition of images is by no means an easy problem.	But although such cases are so clear that no confusion seems possible, there are many others that are far more difficult, and the definition of images is by no means an easy problem.	true	830.3	840.25	19.953947
8824_279153_000017_000000	To begin with: we do not always know whether what we are experiencing is a sensation or an image.	To begin with: we do not always know whether what we are experiencing is a sensation or an image.	true	840.71	846.22	17.643858
8824_279153_000017_000001	The things we see in dreams when our eyes are shut must count as images, yet while we are dreaming they seem like sensations.	The things we see in dreams when our eyes are shut must count as images, yet while we are dreaming they seem like sensations.	true	846.47	853.87	19.491108
8824_279153_000017_000002	Hallucinations often begin as persistent images, and only gradually acquire that influence over belief that makes the patient regard them as sensations.	Hallucinations often begin as persistent images, and only gradually acquire that influence over belief that makes the patient regard them as sensations.	true	854.3	863.05	20
8824_279153_000017_000003	When we are listening for a faint sound--the striking of a distant clock, or a horse's hoofs on the road--we think we hear it many times before we really do, because expectation brings us the image, and we mistake it for sensation.	When we are listening for a faint sound-the striking of a distant clock, or a horse's hoofs on the road-we think we hear it many times before we really do, because expectation brings us the image, and we mistake it for sensation.	true	863.93	876.73	23.152756
8824_279153_000017_000004	The distinction between images and sensations is, therefore, by no means always obvious to inspection.*	The distinction between images and sensations is, therefore, by no means always obvious to inspection.asterisk	false	877.13	883.11	20
8824_279153_000018_000000	* On the distinction between images and sensation, cf. Semon, "Die mnemischen Empfindungen," pp. 19-20.	asterisk On the distinction between images and sensation, c f. Semon, "Die mnemischen Empfindungen," p p. nineteen to twenty.	false	883.11	883.71	-20
8824_279153_000019_000000	We may consider three different ways in which it has been sought to distinguish images from sensations, namely:	We may consider three different ways in which it has been sought to distinguish images from sensations, namely:	true	883.71	889.485	15
8824_279153_000020_000000	(1) By the less degree of vividness in images;	(one) By the less degree of vividness in images;	true	889.485	893.74	23.533152
8824_279153_000021_000000	(2) By our absence of belief in their "physical reality";	(two) By our absence of belief in their "physical reality";	true	893.99	898.36	20.868267
8824_279153_000022_000000	(3) By the fact that their causes and effects are different from those of sensations.	(three) By the fact that their causes and effects are different from those of sensations.	true	898.58	903.76	23.000906
8824_279153_000023_000000	I believe the third of these to be the only universally applicable criterion.	I believe the third of these to be the only universally applicable criterion.	false	905.06	909.34	19.679325
8824_279153_000023_000001	The other two are applicable in very many cases, but cannot be used for purposes of definition because they are liable to exceptions.	The other two are applicable in very many cases, but cannot be used for purposes of definition because they are liable to exceptions.	false	909.77	916.785	19
8824_279153_000023_000002	Nevertheless, they both deserve to be carefully considered.	Nevertheless, they both deserve to be carefully considered.	false	916.785	921.45	22.160084
8824_279153_000024_000000	(1) Hume, who gives the names "impressions" and "ideas" to what may, for present purposes, be identified with our "sensations" and "images," speaks of impressions as "those perceptions which enter with most force and violence" while he defines ideas as "the faint images of these (i.e. of impressions) in thinking and reasoning." His immediately following observations, however, show the inadequacy of his criteria of "force" and "faintness." He says:	(one) Hume, who gives the names "impressions" and "ideas" to what may, for present purposes, be identified with our "sensations" and "images," speaks of impressions as "those perceptions which enter with most force and violence" while he defines ideas as "the faint images of these (i e of impressions) in thinking and reasoning." His immediately following observations, however, show the inadequacy of his criteria of "force" and "faintness." He says:	false	921.45	952.38	21.38136
8824_279153_000025_000000	"I believe it will not be very necessary to employ many words in explaining this distinction.	"I believe it will not be very necessary to employ many words in explaining this distinction.	true	952.38	957.88	14
8824_279153_000025_000001	Every one of himself will readily perceive the difference betwixt feeling and thinking.	Every one of himself will readily perceive the difference betwixt feeling and thinking.	true	958.13	963.76	21
8824_279153_000025_000002	The common degrees of these are easily distinguished, though it is not impossible but in particular instances they may very nearly approach to each other.	The common degrees of these are easily distinguished, though it is not impossible but in particular instances they may very nearly approach to each other.	true	963.98	973.69	21.782824
8824_279153_000025_000003	Thus in sleep, in a fever, in madness, or in any very violent emotions of soul, our ideas may approach to our impressions; as, on the other hand, it sometimes happens, that our impressions are so faint and low that we cannot distinguish them from our ideas.	Thus in sleep, in a fever, in madness, or in any very violent emotions of soul, our ideas may approach to our impressions; as, on the other hand, it sometimes happens, that our impressions are so faint and low that we cannot distinguish them from our ideas.	false	973.88	989.44	21.86998
8824_279153_000025_000004	But notwithstanding this near resemblance in a few instances, they are in general so very different, that no one can make a scruple to rank them under distinct heads, and assign to each a peculiar name to mark the difference" ("Treatise of Human Nature," Part I, Section I).	But notwithstanding this near resemblance in a few instances, they are in general so very different, that no one can make a scruple to rank them under distinct heads, and assign to each a peculiar name to mark the difference" ("Treatise of Human Nature," Part one, Section I).	false	989.72	1003.92	20.543818
8824_279153_000026_000000	I think Hume is right in holding that they should be ranked under distinct heads, with a peculiar name for each.	I think Hume is right in holding that they should be ranked under distinct heads, with a peculiar name for each.	false	1003.92	1009.84	25.36634
8824_279153_000026_000001	But by his own confession in the above passage, his criterion for distinguishing them is not always adequate.	But by his own confession in the above passage, his criterion for distinguishing them is not always adequate.	true	1009.97	1015.57	23.290007
8824_279153_000026_000002	A definition is not sound if it only applies in cases where the difference is glaring: the essential purpose of a definition is to provide a mark which is applicable even in marginal cases--except, of course, when we are dealing with a conception, like, e.g. baldness, which is one of degree and has no sharp boundaries.	A definition is not sound if it only applies in cases where the difference is glaring: the essential purpose of a definition is to provide a mark which is applicable even in marginal cases-except, of course, when we are dealing with a conception, like, e g baldness, which is one of degree and has no sharp boundaries.	false	1015.73	1034.68	23.005774
8824_279153_000026_000003	But so far we have seen no reason to think that the difference between sensations and images is only one of degree.	But so far we have seen no reason to think that the difference between sensations and images is only one of degree.	true	1035.32	1041.37	20.100107
8824_279153_000027_000000	Professor Stout, in his "Manual of Psychology," after discussing various ways of distinguishing sensations and images, arrives at a view which is a modification of Hume's.	Professor Stout, in his "Manual of Psychology," after discussing various ways of distinguishing sensations and images, arrives at a view which is a modification of Hume's.	true	1041.83	1051.42	20.995039
8824_279153_000027_000001	He says (I quote from the second edition):	He says (I quote from the second edition):	false	1051.82	1053.33	22.41731
8824_279153_000028_000000	"Our conclusion is that at bottom the distinction between image and percept, as respectively faint and vivid states, is based on a difference of quality.	"Our conclusion is that at bottom the distinction between image and percept, as respectively faint and vivid states, is based on a difference of quality.	true	1053.33	1062.97	24.117262
8824_279153_000028_000001	The percept has an aggressiveness which does not belong to the image.	The percept has an aggressiveness which does not belong to the image.	true	1063.43	1067.68	22.824091
