8824_279153_000000_000001	SENSATIONS AND IMAGES	SENSATIONS AND IMAGES
8824_279153_000016_000000	The distinction between images and sensations might seem at first sight by no means difficult.	The distinction between images and sensations might seem at first sight by no means difficult.
8824_279153_000016_000001	When we shut our eyes and call up pictures of familiar scenes, we usually have no difficulty, so long as we remain awake, in discriminating between what we are imagining and what is really seen.	When we shut our eyes and call up pictures of familiar scenes, we usually have no difficulty, so long as we remain awake, in discriminating between what we are imagining and what is really seen.
8824_279153_000016_000002	If we imagine some piece of music that we know, we can go through it in our mind from beginning to end without any discoverable tendency to suppose that we are really hearing it.	If we imagine some piece of music that we know, we can go through it in our mind from beginning to end without any discoverable tendency to suppose that we are really hearing it.
8824_279153_000017_000002	Hallucinations often begin as persistent images, and only gradually acquire that influence over belief that makes the patient regard them as sensations.	Hallucinations often begin as persistent images, and only gradually acquire that influence over belief that makes the patient regard them as sensations.
8824_279153_000017_000003	When we are listening for a faint sound--the striking of a distant clock, or a horse's hoofs on the road--we think we hear it many times before we really do, because expectation brings us the image, and we mistake it for sensation.	When we are listening for a faint sound-the striking of a distant clock, or a horse's hoofs on the road-we think we hear it many times before we really do, because expectation brings us the image, and we mistake it for sensation.
8824_279153_000020_000000	(1) By the less degree of vividness in images;	(one) By the less degree of vividness in images;
8824_279153_000021_000000	(2) By our absence of belief in their "physical reality";	(two) By our absence of belief in their "physical reality";
8824_279153_000022_000000	(3) By the fact that their causes and effects are different from those of sensations.	(three) By the fact that their causes and effects are different from those of sensations.
8824_279153_000025_000001	Every one of himself will readily perceive the difference betwixt feeling and thinking.	Every one of himself will readily perceive the difference betwixt feeling and thinking.
8824_279153_000025_000002	The common degrees of these are easily distinguished, though it is not impossible but in particular instances they may very nearly approach to each other.	The common degrees of these are easily distinguished, though it is not impossible but in particular instances they may very nearly approach to each other.
8824_279153_000026_000001	But by his own confession in the above passage, his criterion for distinguishing them is not always adequate.	But by his own confession in the above passage, his criterion for distinguishing them is not always adequate.
8824_279153_000026_000003	But so far we have seen no reason to think that the difference between sensations and images is only one of degree.	But so far we have seen no reason to think that the difference between sensations and images is only one of degree.
8824_279153_000027_000000	Professor Stout, in his "Manual of Psychology," after discussing various ways of distinguishing sensations and images, arrives at a view which is a modification of Hume's.	Professor Stout, in his "Manual of Psychology," after discussing various ways of distinguishing sensations and images, arrives at a view which is a modification of Hume's.
8824_279153_000028_000000	"Our conclusion is that at bottom the distinction between image and percept, as respectively faint and vivid states, is based on a difference of quality.	"Our conclusion is that at bottom the distinction between image and percept, as respectively faint and vivid states, is based on a difference of quality.
8824_279153_000028_000001	The percept has an aggressiveness which does not belong to the image.	The percept has an aggressiveness which does not belong to the image.
8824_279153_000028_000002	It strikes the mind with varying degrees of force or liveliness according to the varying intensity of the stimulus.	It strikes the mind with varying degrees of force or liveliness according to the varying intensity of the stimulus.
8824_279153_000028_000003	This degree of force or liveliness is part of what we ordinarily mean by the intensity of a sensation.	This degree of force or liveliness is part of what we ordinarily mean by the intensity of a sensation.
8824_279153_000029_000002	But I believe that this criterion fails in very much the same instances as those in which Hume's criterion fails in its original form.	But I believe that this criterion fails in very much the same instances as those in which Hume's criterion fails in its original form.
8824_279153_000031_000000	The whistle of a steam-engine could hardly have a stronger effect than this.	The whistle of a steam engine could hardly have a stronger effect than this.
8824_279153_000031_000001	A very intense emotion will often bring with it--especially where some future action or some undecided issue is involved--powerful compelling images which may determine the whole course of life, sweeping aside all contrary solicitations to the will by their capacity for exclusively possessing the mind.	A very intense emotion will often bring with it-especially where some future action or some undecided issue is involved-powerful compelling images which may determine the whole course of life, sweeping aside all contrary solicitations to the will by their capacity for exclusively possessing the mind.
8824_279153_000031_000002	And in all cases where images, originally recognized as such, gradually pass into hallucinations, there must be just that "force or liveliness" which is supposed to be always absent from images.	And in all cases where images, originally recognized as such, gradually pass into hallucinations, there must be just that "force or liveliness" which is supposed to be always absent from images.
8824_279153_000031_000003	The cases of dreams and fever-delirium are as hard to adjust to Professor Stout's modified criterion as to Hume's.	The cases of dreams and fever delirium are as hard to adjust to Professor Stout's modified criterion as to Hume's.
8824_279153_000031_000004	I conclude therefore that the test of liveliness, however applicable in ordinary instances, cannot be used to define the differences between sensations and images.	I conclude therefore that the test of liveliness, however applicable in ordinary instances, cannot be used to define the differences between sensations and images.
8824_279153_000032_000002	What we call the "unreality" of images requires interpretation it cannot mean what would be expressed by saying "there's no such thing." Images are just as truly part of the actual world as sensations are.	What we call the "unreality" of images requires interpretation it cannot mean what would be expressed by saying "there's no such thing." Images are just as truly part of the actual world as sensations are.
8824_279153_000032_000005	But this means that the so-called "unreality" of images consists merely in their not obeying the laws of physics, and thus brings us back to the causal distinction between images and sensations.	But this means that the so-called "unreality" of images consists merely in their not obeying the laws of physics, and thus brings us back to the causal distinction between images and sensations.
8824_279153_000033_000001	Images cannot be defined by the FEELING of unreality, because when we falsely believe an image to be a sensation, as in the case of dreams, it FEELS just as real as if it were a sensation.	Images cannot be defined by the FEELING of unreality, because when we falsely believe an image to be a sensation, as in the case of dreams, it FEELS just as real as if it were a sensation.
8824_279153_000033_000002	Our feeling of unreality results from our having already realized that we are dealing with an image, and cannot therefore be the definition of what we mean by an image.	Our feeling of unreality results from our having already realized that we are dealing with an image, and cannot therefore be the definition of what we mean by an image.
8824_279153_000033_000003	As soon as an image begins to deceive us as to its status, it also deceives us as to its correlations, which are what we mean by its "reality."	As soon as an image begins to deceive us as to its status, it also deceives us as to its correlations, which are what we mean by its "reality."
8824_279153_000034_000000	(3) This brings us to the third mode of distinguishing images from sensations, namely, by their causes and effects.	(three) This brings us to the third mode of distinguishing images from sensations, namely, by their causes and effects.
8824_279153_000034_000003	It is caused by what we call a STIMULUS.	It is caused by what we call a STIMULUS.
8824_279153_000034_000008	This is probably true, but it is an hypothesis, and for our purposes an unnecessary one.	This is probably true, but it is an hypothesis, and for our purposes an unnecessary one.
8824_279153_000034_000009	It would seem to fit better with what we can immediately observe if we were to say that an image is occasioned, through association, by a sensation or another image, in other words that it has a mnemic cause--which does not prevent it from also having a physical cause.	It would seem to fit better with what we can immediately observe if we were to say that an image is occasioned, through association, by a sensation or another image, in other words that it has a mnemic cause-which does not prevent it from also having a physical cause.
8824_279153_000034_000012	When habit and past experience play this part, we are in the region of mnemic as opposed to ordinary physical causation.	When habit and past experience play this part, we are in the region of mnemic as opposed to ordinary physical causation.
8824_279153_000034_000013	And I think that, if we could regard as ultimately valid the difference between physical and mnemic causation, we could distinguish images from sensations as having mnemic causes, though they may also have physical causes.	And I think that, if we could regard as ultimately valid the difference between physical and mnemic causation, we could distinguish images from sensations as having mnemic causes, though they may also have physical causes.
8824_279153_000034_000014	Sensations, on the other hand, will only have physical causes.	Sensations, on the other hand, will only have physical causes.
8824_279153_000035_000000	However this may be, the practically effective distinction between sensations and images is that in the causation of sensations, but not of images, the stimulation of nerves carrying an effect into the brain, usually from the surface of the body, plays an essential part.	However this may be, the practically effective distinction between sensations and images is that in the causation of sensations, but not of images, the stimulation of nerves carrying an effect into the brain, usually from the surface of the body, plays an essential part.
8824_279153_000035_000001	And this accounts for the fact that images and sensations cannot always be distinguished by their intrinsic nature.	And this accounts for the fact that images and sensations cannot always be distinguished by their intrinsic nature.
8824_279153_000036_000000	Images also differ from sensations as regards their effects.	Images also differ from sensations as regards their effects.
8824_279153_000036_000001	Sensations, as a rule, have both physical and mental effects.	Sensations, as a rule, have both physical and mental effects.
8824_279153_000036_000002	As you watch the train you meant to catch leaving the station, there are both the successive positions of the train (physical effects) and the successive waves of fury and disappointment (mental effects).	As you watch the train you meant to catch leaving the station, there are both the successive positions of the train (physical effects) and the successive waves of fury and disappointment (mental effects).
8824_279153_000036_000003	Images, on the contrary, though they MAY produce bodily movements, do so according to mnemic laws, not according to the laws of physics.	Images, on the contrary, though they MAY produce bodily movements, do so according to mnemic laws, not according to the laws of physics.
8824_279153_000036_000004	All their effects, of whatever nature, follow mnemic laws.	All their effects, of whatever nature, follow mnemic laws.
8824_279153_000037_000000	Professor Watson, as a logical carrying-out of his behaviourist theory, denies altogether that there are any observable phenomena such as images are supposed to be.	Professor Watson, as a logical carrying out of his behaviourist theory, denies altogether that there are any observable phenomena such as images are supposed to be.
8824_279153_000037_000001	He replaces them all by faint sensations, and especially by pronunciation of words sotto voce.	He replaces them all by faint sensations, and especially by pronunciation of words sotto voce.
8824_279153_000037_000005	It seems to me that in this matter he has been betrayed into denying plain facts in the interests of a theory, namely, the supposed impossibility of introspection.	It seems to me that in this matter he has been betrayed into denying plain facts in the interests of a theory, namely, the supposed impossibility of introspection.
8824_279153_000038_000002	Whether this is the case or not might even be decided experimentally.	Whether this is the case or not might even be decided experimentally.
8824_279153_000038_000003	If there were a delicate instrument for recording small movements in the mouth and throat, we might place such an instrument in a person's mouth and then tell him to recite a poem to himself, as far as possible only in imagination.	If there were a delicate instrument for recording small movements in the mouth and throat, we might place such an instrument in a person's mouth and then tell him to recite a poem to himself, as far as possible only in imagination.
8824_279153_000038_000005	The point is important, because what is called "thought" consists mainly (though I think not wholly) of inner speech.	The point is important, because what is called "thought" consists mainly (though I think not wholly) of inner speech.
8824_279153_000038_000006	If Professor Watson is right as regards inner speech, this whole region is transferred from imagination to sensation.	If Professor Watson is right as regards inner speech, this whole region is transferred from imagination to sensation.
8824_279153_000038_000007	But since the question is capable of experimental decision, it would be gratuitous rashness to offer an opinion while that decision is lacking.	But since the question is capable of experimental decision, it would be gratuitous rashness to offer an opinion while that decision is lacking.
8824_279153_000039_000000	But visual and auditory images are much more difficult to deal with in this way, because they lack the connection with physical events in the outer world which belongs to visual and auditory sensations.	But visual and auditory images are much more difficult to deal with in this way, because they lack the connection with physical events in the outer world which belongs to visual and auditory sensations.
8824_279153_000039_000001	Suppose, for example, that I am sitting in my room, in which there is an empty arm-chair.	Suppose, for example, that I am sitting in my room, in which there is an empty arm chair.
8824_279153_000039_000004	My friend reached the chair without coming in at the door in the usual way; subsequent inquiry will show that he was somewhere else at the moment.	My friend reached the chair without coming in at the door in the usual way; subsequent inquiry will show that he was somewhere else at the moment.
8824_279153_000039_000005	If regarded as a sensation, my image has all the marks of the supernatural.	If regarded as a sensation, my image has all the marks of the supernatural.
8824_279153_000039_000007	By saying that it is an event in me, we leave it possible that it may be PHYSIOLOGICALLY caused: its privacy may be only due to its connection with my body.	By saying that it is an event in me, we leave it possible that it may be PHYSIOLOGICALLY caused: its privacy may be only due to its connection with my body.
8824_279153_000039_000009	And it cannot, like inner speech, be regarded as a SMALL sensation, since it occupies just as large an area in my visual field as the actual sensation would do.	And it cannot, like inner speech, be regarded as a SMALL sensation, since it occupies just as large an area in my visual field as the actual sensation would do.
8824_279153_000040_000001	This view seems to me flatly to contradict experience.	This view seems to me flatly to contradict experience.
8824_279153_000041_000000	I shall henceforth assume that the existence of images is admitted, and that they are to be distinguished from sensations by their causes, as well as, in a lesser degree, by their effects.	I shall henceforth assume that the existence of images is admitted, and that they are to be distinguished from sensations by their causes, as well as, in a lesser degree, by their effects.
8824_279153_000041_000001	In their intrinsic nature, though they often differ from sensations by being more dim or vague or faint, yet they do not always or universally differ from sensations in any way that can be used for defining them.	In their intrinsic nature, though they often differ from sensations by being more dim or vague or faint, yet they do not always or universally differ from sensations in any way that can be used for defining them.
8824_279153_000041_000003	Bodily sensations are admitted by even the most severe critics of introspection, although, like images, they can only be observed by one observer.	Bodily sensations are admitted by even the most severe critics of introspection, although, like images, they can only be observed by one observer.
8824_279153_000042_000003	On this subject Hume is the classic.	On this subject Hume is the classic.
8824_279153_000044_000000	He next explains the difference between simple and complex ideas, and explains that a complex idea may occur without any similar complex impression.	He next explains the difference between simple and complex ideas, and explains that a complex idea may occur without any similar complex impression.
8824_279153_000045_000000	It is this fact, that images resemble antecedent sensations, which enables us to call them images "of" this or that.	It is this fact, that images resemble antecedent sensations, which enables us to call them images "of" this or that.
8824_279153_000045_000001	For the understanding of memory, and of knowledge generally, the recognizable resemblance of images and sensations is of fundamental importance.	For the understanding of memory, and of knowledge generally, the recognizable resemblance of images and sensations is of fundamental importance.
8824_279153_000046_000000	There are difficulties in establishing Hume's principles, and doubts as to whether it is exactly true.	There are difficulties in establishing Hume's principles, and doubts as to whether it is exactly true.
8824_279153_000047_000000	I am by no means confident that the distinction between images and sensations is ultimately valid, and I should be glad to be convinced that images can be reduced to sensations of a peculiar kind.	I am by no means confident that the distinction between images and sensations is ultimately valid, and I should be glad to be convinced that images can be reduced to sensations of a peculiar kind.
8824_279153_000047_000001	I think it is clear, however, that, at any rate in the case of auditory and visual images, they do differ from ordinary auditory and visual sensations, and therefore form a recognizable class of occurrences, even if it should prove that they can be regarded as a sub-class of sensations.	I think it is clear, however, that, at any rate in the case of auditory and visual images, they do differ from ordinary auditory and visual sensations, and therefore form a recognizable class of occurrences, even if it should prove that they can be regarded as a sub class of sensations.
