510_130101_000001_000000	Chapter 9	Chapter nine
510_130101_000011_000001	"Oh, Jim--oh, Jim--oh, Jim--"	"Oh, Jim-oh, Jim-oh, Jim-"
510_130101_000012_000003	Yes, b'jiminey, I got shot." He reiterated this fact in a bewildered way, as if he did not know how it came about.	Yes, b'jiminey, I got shot." He reiterated this fact in a bewildered way, as if he did not know how it came about.
510_130101_000013_000000	The youth put forth anxious arms to assist him, but the tall soldier went firmly as if propelled.	The youth put forth anxious arms to assist him, but the tall soldier went firmly as if propelled.
510_130101_000014_000001	His face turned to a semblance of gray paste. He clutched the youth's arm and looked all about him, as if dreading to be overheard.	His face turned to a semblance of gray paste. He clutched the youth's arm and looked all about him, as if dreading to be overheard.
510_130101_000014_000002	Then he began to speak in a shaking whisper:	Then he began to speak in a shaking whisper:
510_130101_000017_000000	"Sure--will yeh, Henry?" the tall soldier beseeched.	"Sure-will yeh, Henry?" the tall soldier beseeched.
510_130101_000018_000001	He could not speak accurately because of the gulpings in his throat.	He could not speak accurately because of the gulpings in his throat.
510_130101_000019_000000	But the tall soldier continued to beg in a lowly way.	But the tall soldier continued to beg in a lowly way.
510_130101_000020_000000	He paused in piteous anxiety to await his friend's reply.	He paused in piteous anxiety to await his friend's reply.
510_130101_000021_000000	The youth had reached an anguish where the sobs scorched him.	The youth had reached an anguish where the sobs scorched him.
510_130101_000021_000001	He strove to express his loyalty, but he could only make fantastic gestures.	He strove to express his loyalty, but he could only make fantastic gestures.
510_130101_000022_000000	However, the tall soldier seemed suddenly to forget all those fears. He became again the grim, stalking specter of a soldier.	However, the tall soldier seemed suddenly to forget all those fears. He became again the grim, stalking specter of a soldier.
510_130101_000022_000001	He went stonily forward.	He went stonily forward.
510_130101_000023_000000	His look was fixed again upon the unknown.	His look was fixed again upon the unknown.
510_130101_000024_000000	The youth had to follow.	The youth had to follow.
510_130101_000025_000000	Presently the latter heard a voice talking softly near his shoulder. Turning he saw that it belonged to the tattered soldier.	Presently the latter heard a voice talking softly near his shoulder. Turning he saw that it belonged to the tattered soldier.
510_130101_000026_000001	He was shaking his hands helplessly.	He was shaking his hands helplessly.
510_130101_000027_000000	He ran forward presently and grasped the tall soldier by the arm. "Jim!	He ran forward presently and grasped the tall soldier by the arm. "Jim!
510_130101_000028_000000	The tall soldier weakly tried to wrench himself free.	The tall soldier weakly tried to wrench himself free.
510_130101_000028_000002	He stared at the youth for a moment.	He stared at the youth for a moment.
510_130101_000028_000003	At last he spoke as if dimly comprehending.	At last he spoke as if dimly comprehending.
510_130101_000029_000000	He started blindly through the grass.	He started blindly through the grass.
510_130101_000030_000001	He was startled from this view by a shrill outcry from the tattered man.	He was startled from this view by a shrill outcry from the tattered man.
510_130101_000032_000000	Turning his head swiftly, the youth saw his friend running in a staggering and stumbling way toward a little clump of bushes.	Turning his head swiftly, the youth saw his friend running in a staggering and stumbling way toward a little clump of bushes.
510_130101_000032_000001	His heart seemed to wrench itself almost free from his body at this sight. He made a noise of pain.	His heart seemed to wrench itself almost free from his body at this sight. He made a noise of pain.
510_130101_000033_000000	When he overtook the tall soldier he began to plead with all the words he could find.	When he overtook the tall soldier he began to plead with all the words he could find.
510_130101_000033_000001	"Jim--Jim--what are you doing--what makes you do this way--you'll hurt yerself."	"Jim-Jim-what are you doing-what makes you do this way-you'll hurt yerself."
510_130101_000034_000000	The same purpose was in the tall soldier's face.	The same purpose was in the tall soldier's face.
510_130101_000035_000002	What you thinking about?	What you thinking about?
510_130101_000035_000003	Where you going?	Where you going?
510_130101_000035_000004	Tell me, won't you, Jim?"	Tell me, won't you, Jim?"
510_130101_000036_000000	The tall soldier faced about as upon relentless pursuers.	The tall soldier faced about as upon relentless pursuers.
510_130101_000036_000001	In his eyes there was a great appeal.	In his eyes there was a great appeal.
510_130101_000037_000000	The youth recoiled.	The youth recoiled.
510_130101_000038_000000	The tall soldier turned and, lurching dangerously, went on.	The tall soldier turned and, lurching dangerously, went on.
510_130101_000038_000003	There was something rite-like in these movements of the doomed soldier.	There was something rite like in these movements of the doomed soldier.
510_130101_000038_000006	They hung back lest he have at command a dreadful weapon.	They hung back lest he have at command a dreadful weapon.
510_130101_000039_000000	At last, they saw him stop and stand motionless.	At last, they saw him stop and stand motionless.
510_130101_000039_000003	He was waiting with patience for something that he had come to meet.	He was waiting with patience for something that he had come to meet.
510_130101_000039_000004	He was at the rendezvous.	He was at the rendezvous.
510_130101_000039_000005	They paused and stood, expectant.	They paused and stood, expectant.
510_130101_000041_000000	Finally, the chest of the doomed soldier began to heave with a strained motion.	Finally, the chest of the doomed soldier began to heave with a strained motion.
510_130101_000044_000000	The tall soldier opened his lips and spoke.	The tall soldier opened his lips and spoke.
510_130101_000044_000001	He made a gesture.	He made a gesture.
510_130101_000046_000000	Suddenly his form stiffened and straightened.	Suddenly his form stiffened and straightened.
510_130101_000046_000001	Then it was shaken by a prolonged ague.	Then it was shaken by a prolonged ague.
510_130101_000046_000002	He stared into space.	He stared into space.
510_130101_000048_000000	His tall figure stretched itself to its full height.	His tall figure stretched itself to its full height.
510_130101_000048_000001	There was a slight rending sound.	There was a slight rending sound.
510_130101_000048_000002	Then it began to swing forward, slow and straight, in the manner of a falling tree.	Then it began to swing forward, slow and straight, in the manner of a falling tree.
510_130101_000048_000003	A swift muscular contortion made the left shoulder strike the ground first.	A swift muscular contortion made the left shoulder strike the ground first.
510_130101_000049_000001	"God!" said the tattered soldier.	"God!" said the tattered soldier.
510_130101_000050_000000	The youth had watched, spellbound, this ceremony at the place of meeting.	The youth had watched, spellbound, this ceremony at the place of meeting.
510_130101_000051_000000	He now sprang to his feet and, going closer, gazed upon the pastelike face.	He now sprang to his feet and, going closer, gazed upon the pastelike face.
510_130101_000052_000000	As the flap of the blue jacket fell away from the body, he could see that the side looked as if it had been chewed by wolves.	As the flap of the blue jacket fell away from the body, he could see that the side looked as if it had been chewed by wolves.
510_130101_000053_000001	He shook his fist.	He shook his fist.
510_130101_000053_000002	He seemed about to deliver a philippic.	He seemed about to deliver a philippic.
510_130101_000054_000000	"Hell--"	"Hell-"
