6927_86043_000002_000000	Story of Wali Dad the Simple-Hearted	Story of Wali Dad the Simple Hearted
6927_86043_000009_000001	As soon as he had opportunity he presented himself at the palace, and sent in the bracelet, neatly packed in a little perfumed box provided by himself, giving at the same time the message entrusted to him by Wali Dad.	As soon as he had opportunity he presented himself at the palace, and sent in the bracelet, neatly packed in a little perfumed box provided by himself, giving at the same time the message entrusted to him by Wali Dad.
6927_86043_000010_000000	The princess could not think who could have bestowed this present on her, but she bade her servant to tell the merchant that if he would return, after he had finished his business in the city, she would give him her reply.	The princess could not think who could have bestowed this present on her, but she bade her servant to tell the merchant that if he would return, after he had finished his business in the city, she would give him her reply.
6927_86043_000010_000001	In a few days, therefore, the merchant came back, and received from the princess a return present in the shape of a camel-load or rich silks, besides a present of money for himself.	In a few days, therefore, the merchant came back, and received from the princess a return present in the shape of a camel load or rich silks, besides a present of money for himself.
6927_86043_000010_000002	With these he set out on his journey.	With these he set out on his journey.
6927_86043_000011_000000	Some months later he got home again from his journeyings, and proceeded to take Wali Dad the princess's present.	Some months later he got home again from his journeyings, and proceeded to take Wali Dad the princess's present.
6927_86043_000011_000001	Great was the perplexity of the good man to find a camel-load of silks tumbled at his door!	Great was the perplexity of the good man to find a camel load of silks tumbled at his door!
6927_86043_000011_000002	What was he to do with these costly things?	What was he to do with these costly things?
6927_86043_000012_000000	'Of course,' cried the merchant, greatly amused; 'from Delhi to Baghdad, and from Constantinople to Lucknow, I know them all; and there lives none worthier than the gallant and wealthy young prince of Nekabad.'	'Of course,' cried the merchant, greatly amused; 'from Delhi to Baghdad, and from Constantinople to Lucknow, I know them all; and there lives none worthier than the gallant and wealthy young prince of Nekabad.'
6927_86043_000013_000000	'Very well, then, take the silks to him, with the blessing of an old man,' said Wali Dad, much relieved to be rid of them.	'Very well, then, take the silks to him, with the blessing of an old man,' said Wali Dad, much relieved to be rid of them.
6927_86043_000014_000001	When he was shown into his presence he produced the beautiful gift of silks that Wali Dad had sent, and begged the young man to accept them as a humble tribute to his worth and greatness.	When he was shown into his presence he produced the beautiful gift of silks that Wali Dad had sent, and begged the young man to accept them as a humble tribute to his worth and greatness.
6927_86043_000015_000000	As before, the merchant at last arrived at home; and next day, he set out for Wali Dad's house with the twelve horses.	As before, the merchant at last arrived at home; and next day, he set out for Wali Dad's house with the twelve horses.
6927_86043_000015_000001	When the old man saw them coming in the distance he said to himself: 'Here's luck! a troop of horses coming!	When the old man saw them coming in the distance he said to himself: 'Here's luck! a troop of horses coming!
6927_86043_000015_000003	When he got back, with as much grass as he could possibly carry, he was greatly discomfited to find that the horses were all for himself.	When he got back, with as much grass as he could possibly carry, he was greatly discomfited to find that the horses were all for himself.
6927_86043_000016_000000	The merchant departed, laughing.	The merchant departed, laughing.
6927_86043_000016_000001	But, true to his old friend's request, he took the horses with him on his next journey, and eventually presented them safely to the princess.	But, true to his old friend's request, he took the horses with him on his next journey, and eventually presented them safely to the princess.
6927_86043_000016_000002	This time the princess sent for the merchant, and questioned him about the giver.	This time the princess sent for the merchant, and questioned him about the giver.
6927_86043_000016_000003	Now, the merchant was usually a most honest man, but he did not quite like to describe Wali Dad in his true light as an old man whose income was five halfpence a day, and who had hardly clothes to cover him.	Now, the merchant was usually a most honest man, but he did not quite like to describe Wali Dad in his true light as an old man whose income was five halfpence a day, and who had hardly clothes to cover him.
6927_86043_000016_000004	So he told her that his friend had heard stories of her beauty and goodness, and had longed to lay the best he had at her feet.	So he told her that his friend had heard stories of her beauty and goodness, and had longed to lay the best he had at her feet.
6927_86043_000016_000005	The princess then took her father into her confidence, and begged him to advise her what courtesy she might return to one who persisted in making her such presents.	The princess then took her father into her confidence, and begged him to advise her what courtesy she might return to one who persisted in making her such presents.
6927_86043_000019_000000	'Well, now,' cried Wali Dad, as he viewed all the wealth laid at his door, 'I can well repay that kind prince for his magnificent present of horses; but to be sure you have been put to great expenses!	'Well, now,' cried Wali Dad, as he viewed all the wealth laid at his door, 'I can well repay that kind prince for his magnificent present of horses; but to be sure you have been put to great expenses!
6927_86043_000020_000000	The merchant felt handsomely repaid for his trouble, and wondered greatly how the matter would turn out.	The merchant felt handsomely repaid for his trouble, and wondered greatly how the matter would turn out.
6927_86043_000021_000000	This time the prince, too, was embarrassed, and questioned the merchant closely.	This time the prince, too, was embarrassed, and questioned the merchant closely.
6927_86043_000021_000001	The merchant felt that his credit was at stake, and whilst inwardly determining that he would not carry the joke any further, could not help describing Wali Dad in such glowing terms that the old man would never have known himself had he heard them.	The merchant felt that his credit was at stake, and whilst inwardly determining that he would not carry the joke any further, could not help describing Wali Dad in such glowing terms that the old man would never have known himself had he heard them.
6927_86043_000021_000004	To take care of these animals the merchant hired a little army of men; and the troop made a great show as they travelled along.	To take care of these animals the merchant hired a little army of men; and the troop made a great show as they travelled along.
6927_86043_000022_000000	When Wali Dad from a distance saw the cloud of dust which the caravan made, and the glitter of its appointments, he said to himself: 'By Allah! here's a grand crowd coming!	When Wali Dad from a distance saw the cloud of dust which the caravan made, and the glitter of its appointments, he said to himself: 'By Allah! here's a grand crowd coming!
6927_86043_000022_000001	Elephants, too!	Elephants, too!
6927_86043_000022_000002	Grass will be selling well to-day!' And with that he hurried off to the jungle and cut grass as fast as he could.	Grass will be selling well to day!' And with that he hurried off to the jungle and cut grass as fast as he could.
6927_86043_000023_000000	'Riches!' cried Wali Dad, 'what has an old man like me with one foot in the grave to do with riches?	'Riches!' cried Wali Dad, 'what has an old man like me with one foot in the grave to do with riches?
6927_86043_000023_000001	That beautiful young princess, now!	That beautiful young princess, now!
6927_86043_000023_000003	Do you take for yourself two horses, two camels, and two elephants, with all their trappings, and present the rest to her.'	Do you take for yourself two horses, two camels, and two elephants, with all their trappings, and present the rest to her.'
6927_86043_000024_000000	The merchant at first objected to these remarks, and pointed out to Wali Dad that he was beginning to feel these embassies a little awkward.	The merchant at first objected to these remarks, and pointed out to Wali Dad that he was beginning to feel these embassies a little awkward.
6927_86043_000024_000002	At length, however he consented to go once more, but he promised himself never to embark on another such enterprise.	At length, however he consented to go once more, but he promised himself never to embark on another such enterprise.
6927_86043_000026_000002	There is nothing for it but that we go and pay him a visit in person.	There is nothing for it but that we go and pay him a visit in person.
6927_86043_000027_000001	The merchant, the king declared, was to guide the party.	The merchant, the king declared, was to guide the party.
6927_86043_000028_000001	Willingly would he have run away; but he was treated with so much hospitality as Wali Dad's representative, that he hardly got an instant's real peace, and never any opportunity of slipping away.	Willingly would he have run away; but he was treated with so much hospitality as Wali Dad's representative, that he hardly got an instant's real peace, and never any opportunity of slipping away.
6927_86043_000028_000002	In fact, after a few days, despair possessed him to such a degree that he made up his mind that all that happened was fate, and that escape was impossible; but he hoped devoutly some turn of fortune would reveal to him a way out of the difficulties which he had, with the best intentions, drawn upon himself.	In fact, after a few days, despair possessed him to such a degree that he made up his mind that all that happened was fate, and that escape was impossible; but he hoped devoutly some turn of fortune would reveal to him a way out of the difficulties which he had, with the best intentions, drawn upon himself.
6927_86043_000029_000000	On the seventh day they all started, amidst thunderous salutes from the ramparts of the city, and much dust, and cheering, and blaring of trumpets.	On the seventh day they all started, amidst thunderous salutes from the ramparts of the city, and much dust, and cheering, and blaring of trumpets.
6927_86043_000030_000000	Day after day they moved on, and every day the poor merchant felt more ill and miserable.	Day after day they moved on, and every day the poor merchant felt more ill and miserable.
6927_86043_000031_000000	At last they were only one day's march from Wali Dad's little mud home. Here a great encampment was made, and the merchant was sent on to tell Wali Dad that the King and Princess of Khaistan had arrived and were seeking an interview.	At last they were only one day's march from Wali Dad's little mud home. Here a great encampment was made, and the merchant was sent on to tell Wali Dad that the King and Princess of Khaistan had arrived and were seeking an interview.
6927_86043_000031_000001	When the merchant arrived he found the poor old man eating his evening meal of onions and dry bread, and when he told him of all that had happened he had not the heart to proceed to load him with the reproaches which rose to his tongue.	When the merchant arrived he found the poor old man eating his evening meal of onions and dry bread, and when he told him of all that had happened he had not the heart to proceed to load him with the reproaches which rose to his tongue.
6927_86043_000031_000003	With tears he begged the merchant to detain them for one day by any kind of excuse he could think of, and to come in the morning to discuss what they should do.	With tears he begged the merchant to detain them for one day by any kind of excuse he could think of, and to come in the morning to discuss what they should do.
6927_86043_000032_000000	As soon as the merchant was gone Wali Dad made up his mind that there was only one honourable way out of the shame and distress that he had created by his foolishness, and that was--to kill himself.	As soon as the merchant was gone Wali Dad made up his mind that there was only one honourable way out of the shame and distress that he had created by his foolishness, and that was-to kill himself.
6927_86043_000032_000003	He COULD not do it!	He COULD not do it!
6927_86043_000033_000001	An owl laughed 'Hoo! hoo!' almost in his face, as he peered over the edge of the gulf, and the old man threw himself back in a perspiration of horror.	An owl laughed 'Hoo! hoo!' almost in his face, as he peered over the edge of the gulf, and the old man threw himself back in a perspiration of horror.
6927_86043_000033_000002	He was afraid!	He was afraid!
6927_86043_000033_000003	He drew back shuddering, and covering his face in his hands he wept aloud.	He drew back shuddering, and covering his face in his hands he wept aloud.
6927_86043_000036_000000	'I weep for shame,' replied he.	'I weep for shame,' replied he.
6927_86043_000037_000000	'What do you here?' questioned the other.	'What do you here?' questioned the other.
6927_86043_000038_000000	'I came here to die,' said Wali Dad.	'I came here to die,' said Wali Dad.
6927_86043_000038_000001	And as they questioned him, he confessed all his story.	And as they questioned him, he confessed all his story.
6927_86043_000039_000000	Then the first stepped forward and laid a hand upon his shoulder, and Wali Dad began to feel that something strange--what, he did not know--was happening to him.	Then the first stepped forward and laid a hand upon his shoulder, and Wali Dad began to feel that something strange-what, he did not know-was happening to him.
6927_86043_000039_000001	His old cotton rags of clothes were changed to beautiful linen and embroidered cloth; on his hard, bare feet were warm, soft shoes, and on his head a great jewelled turban.	His old cotton rags of clothes were changed to beautiful linen and embroidered cloth; on his hard, bare feet were warm, soft shoes, and on his head a great jewelled turban.
6927_86043_000039_000004	before him a noble gateway stood open.	before him a noble gateway stood open.
6927_86043_000039_000005	And up an avenue of giant place trees the peris led him, dumb with amazement.	And up an avenue of giant place trees the peris led him, dumb with amazement.
6927_86043_000039_000007	Its great porticoes and verandahs were occupied by hurrying servants, and guards paced to and fro and saluted him respectfully as he drew near, along mossy walks and through sweeping grassy lawns where fountains were playing and flowers scented the air. Wali Dad stood stunned and helpless.	Its great porticoes and verandahs were occupied by hurrying servants, and guards paced to and fro and saluted him respectfully as he drew near, along mossy walks and through sweeping grassy lawns where fountains were playing and flowers scented the air. Wali Dad stood stunned and helpless.
6927_86043_000040_000000	'Fear not,' said one of the peris; 'go to your house, and learn that God rewards the simple-hearted.'	'Fear not,' said one of the peris; 'go to your house, and learn that God rewards the simple hearted.'
6927_86043_000041_000000	With these words they both disappeared and left him.	With these words they both disappeared and left him.
6927_86043_000041_000001	He walked on, thinking still that he must be dreaming.	He walked on, thinking still that he must be dreaming.
6927_86043_000041_000002	Very soon he retired to rest in a splendid room, far grander than anything he had ever dreamed of.	Very soon he retired to rest in a splendid room, far grander than anything he had ever dreamed of.
6927_86043_000042_000000	When morning dawned he woke, and found that the palace, and himself, and his servants were all real, and that he was not dreaming after all!	When morning dawned he woke, and found that the palace, and himself, and his servants were all real, and that he was not dreaming after all!
6927_86043_000043_000000	If he was dumbfounded, the merchant, who was ushered into his presence soon after sunrise, was much more so.	If he was dumbfounded, the merchant, who was ushered into his presence soon after sunrise, was much more so.
6927_86043_000044_000000	Then Wali Dad told the merchant all that had happened.	Then Wali Dad told the merchant all that had happened.
6927_86043_000045_000000	For three nights and days a great feast was held in honour of the royal guests.	For three nights and days a great feast was held in honour of the royal guests.
6927_86043_000045_000001	Every evening the king and his nobles were served on golden plates and from golden cups; and the smaller people on silver plates and from silver cups; and each evening each guest was requested to keep the places and cups that they had used as a remembrance of the occasion. Never had anything so splendid been seen.	Every evening the king and his nobles were served on golden plates and from golden cups; and the smaller people on silver plates and from silver cups; and each evening each guest was requested to keep the places and cups that they had used as a remembrance of the occasion. Never had anything so splendid been seen.
6927_86043_000045_000002	Besides the great dinners, there were sports and hunting, and dances, and amusements of all sorts.	Besides the great dinners, there were sports and hunting, and dances, and amusements of all sorts.
6927_86043_000046_000000	On the fourth day the king of Khaistan took his host aside, and asked him whether it was true, as he had suspected, that he wished to marry his daughter.	On the fourth day the king of Khaistan took his host aside, and asked him whether it was true, as he had suspected, that he wished to marry his daughter.
