6927_86043_000000_000000	Nur Mahomed's old mother lived for a long time in her 'son's' palace, and died in peace.	Nur Mahomed's old mother lived for a long time in her 'son's' palace, and died in peace.	false	0	2.7	19.742119
6927_86043_000010_000000	The princess could not think who could have bestowed this present on her, but she bade her servant to tell the merchant that if he would return, after he had finished his business in the city, she would give him her reply.	The princess could not think who could have bestowed this present on her, but she bade her servant to tell the merchant that if he would return, after he had finished his business in the city, she would give him her reply.	true	207.2	220.12	22.010733
6927_86043_000010_000001	In a few days, therefore, the merchant came back, and received from the princess a return present in the shape of a camel-load or rich silks, besides a present of money for himself.	In a few days, therefore, the merchant came back, and received from the princess a return present in the shape of a camel load or rich silks, besides a present of money for himself.	true	221.57	233.35	23.701073
6927_86043_000010_000002	With these he set out on his journey.	With these he set out on his journey.	true	233.6	235.81	25.558287
6927_86043_000011_000000	Some months later he got home again from his journeyings, and proceeded to take Wali Dad the princess's present.	Some months later he got home again from his journeyings, and proceeded to take Wali Dad the princess's present.	true	236.9	243.61	22.948673
6927_86043_000011_000001	Great was the perplexity of the good man to find a camel-load of silks tumbled at his door!	Great was the perplexity of the good man to find a camel load of silks tumbled at his door!	true	244.37	250.03	23.0144
6927_86043_000011_000002	What was he to do with these costly things?	What was he to do with these costly things?	true	250.85	253.21	25.351995
6927_86043_000011_000003	But, presently, after much thought, he begged the merchant to consider whether he did not know of some young prince to whom such treasures might be useful.	But, presently, after much thought, he begged the merchant to consider whether he did not know of some young prince to whom such treasures might be useful.	false	253.7	264.945	21.788464
6927_86043_000012_000000	'Of course,' cried the merchant, greatly amused; 'from Delhi to Baghdad, and from Constantinople to Lucknow, I know them all; and there lives none worthier than the gallant and wealthy young prince of Nekabad.'	'Of course,' cried the merchant, greatly amused; 'from Delhi to Baghdad, and from Constantinople to Lucknow, I know them all; and there lives none worthier than the gallant and wealthy young prince of Nekabad.'	true	264.945	277.87	23.576153
6927_86043_000013_000000	'Very well, then, take the silks to him, with the blessing of an old man,' said Wali Dad, much relieved to be rid of them.	'Very well, then, take the silks to him, with the blessing of an old man,' said Wali Dad, much relieved to be rid of them.	true	278.87	287.11	23.441967
6927_86043_000014_000000	So, the next time that the merchant journeyed that way he carried the silks with him, and in due course arrived at Nekabad, and sought an audience of the prince.	So, the next time that the merchant journeyed that way he carried the silks with him, and in due course arrived at Nekabad, and sought an audience of the prince.	false	287.6	296.47	23.414862
6927_86043_000014_000001	When he was shown into his presence he produced the beautiful gift of silks that Wali Dad had sent, and begged the young man to accept them as a humble tribute to his worth and greatness.	When he was shown into his presence he produced the beautiful gift of silks that Wali Dad had sent, and begged the young man to accept them as a humble tribute to his worth and greatness.	true	296.96	306.79	22.184685
6927_86043_000014_000002	The prince was much touched by the generosity of the giver, and ordered, as a return present, twelve of the finest breed of horses for which his country was famous to be delivered over to the merchant, to whom also, before he took his leave, he gave a munificent reward for his services.	The prince was much touched by the generosity of the giver, and ordered, as a return present, twelve of the finest breed of horses for which his country was famous to be delivered over to the merchant, to whom also, before he took his leave, he gave a munificent reward for his services.	false	307.67	323.74	22.84286
6927_86043_000015_000000	As before, the merchant at last arrived at home; and next day, he set out for Wali Dad's house with the twelve horses.	As before, the merchant at last arrived at home; and next day, he set out for Wali Dad's house with the twelve horses.	true	325.7	333.34	23.746521
6927_86043_000015_000001	When the old man saw them coming in the distance he said to himself: 'Here's luck! a troop of horses coming!	When the old man saw them coming in the distance he said to himself: 'Here's luck! a troop of horses coming!	true	333.8	340.06	21.525642
6927_86043_000015_000002	They are sure to want quantities of grass, and I shall sell all I have without having to drag it to market.' Thereupon he rushed off and cut grass as fast he could.	They are sure to want quantities of grass, and I shall sell all I have without having to drag it to market.' Thereupon he rushed off and cut grass as fast he could.	false	340.22	350.62	22.554405
6927_86043_000015_000003	When he got back, with as much grass as he could possibly carry, he was greatly discomfited to find that the horses were all for himself.	When he got back, with as much grass as he could possibly carry, he was greatly discomfited to find that the horses were all for himself.	true	350.81	358.89	23.56694
6927_86043_000015_000004	At first he could not think what to do with them, but, after a little, a brilliant idea struck him! He gave two to the merchant, and begged him to take the rest to the princess of Khaistan, who was clearly the fittest person to possess such beautiful animals.	At first he could not think what to do with them, but, after a little, a brilliant idea struck him! He gave two to the merchant, and begged him to take the rest to the princess of Khaistan, who was clearly the fittest person to possess such beautiful animals.	false	358.89	374.29	24.11269
6927_86043_000016_000000	The merchant departed, laughing.	The merchant departed, laughing.	true	375.83	377.92	24.998238
6927_86043_000016_000001	But, true to his old friend's request, he took the horses with him on his next journey, and eventually presented them safely to the princess.	But, true to his old friend's request, he took the horses with him on his next journey, and eventually presented them safely to the princess.	true	378.02	385.99	22.313107
6927_86043_000016_000002	This time the princess sent for the merchant, and questioned him about the giver.	This time the princess sent for the merchant, and questioned him about the giver.	true	386.78	390.61	22.870594
6927_86043_000016_000003	Now, the merchant was usually a most honest man, but he did not quite like to describe Wali Dad in his true light as an old man whose income was five halfpence a day, and who had hardly clothes to cover him.	Now, the merchant was usually a most honest man, but he did not quite like to describe Wali Dad in his true light as an old man whose income was five halfpence a day, and who had hardly clothes to cover him.	true	391.04	403.69	21.977455
6927_86043_000016_000004	So he told her that his friend had heard stories of her beauty and goodness, and had longed to lay the best he had at her feet.	So he told her that his friend had heard stories of her beauty and goodness, and had longed to lay the best he had at her feet.	true	403.88	410.98	21.3362
6927_86043_000016_000005	The princess then took her father into her confidence, and begged him to advise her what courtesy she might return to one who persisted in making her such presents.	The princess then took her father into her confidence, and begged him to advise her what courtesy she might return to one who persisted in making her such presents.	true	411.29	419.98	21.716227
6927_86043_000017_000000	'Well,' said the king, 'you cannot refuse them; so the best thing you can do is to send this unknown friend at once a present so magnificent that he is not likely to be able to send you anything better, and so will be ashamed to send anything at all!' Then he ordered that, in place of each of the ten horses, two mules laden with silver should be returned by her.	'Well,' said the king, 'you cannot refuse them; so the best thing you can do is to send this unknown friend at once a present so magnificent that he is not likely to be able to send you anything better, and so will be ashamed to send anything at all!' Then he ordered that, in place of each of the ten horses, two mules laden with silver should be returned by her.	false	421.52	445.06	22.168558
6927_86043_000018_000000	Thus, in a few hours, the merchant found himself in charge of a splendid caravan; and he had to hire a number of armed men to defend it on the road against the robbers, and he was glad indeed to find himself back again in Wali Dad's hut.	Thus, in a few hours, the merchant found himself in charge of a splendid caravan; and he had to hire a number of armed men to defend it on the road against the robbers, and he was glad indeed to find himself back again in Wali Dad's hut.	false	446.24	461.29	22.655252
6927_86043_000019_000000	'Well, now,' cried Wali Dad, as he viewed all the wealth laid at his door, 'I can well repay that kind prince for his magnificent present of horses; but to be sure you have been put to great expenses!	'Well, now,' cried Wali Dad, as he viewed all the wealth laid at his door, 'I can well repay that kind prince for his magnificent present of horses; but to be sure you have been put to great expenses!	true	461.57	473.8	22.15566
6927_86043_000019_000001	Still, if you will accept six mules and their loads, and will take the rest straight to Nekabad, I shall thank you heartily.'	Still, if you will accept six mules and their loads, and will take the rest straight to Nekabad, I shall thank you heartily.'	false	474.05	481.77	24.373915
6927_86043_000020_000000	The merchant felt handsomely repaid for his trouble, and wondered greatly how the matter would turn out.	The merchant felt handsomely repaid for his trouble, and wondered greatly how the matter would turn out.	true	481.77	486.73	22.714594
6927_86043_000020_000001	So he made no difficulty about it; and as soon as he could get things ready, he set out for Nekabad with this new and princely gift.	So he made no difficulty about it; and as soon as he could get things ready, he set out for Nekabad with this new and princely gift.	false	486.86	493.93	22.660841
6927_86043_000021_000000	This time the prince, too, was embarrassed, and questioned the merchant closely.	This time the prince, too, was embarrassed, and questioned the merchant closely.	true	495.89	500.95	22.490849
6927_86043_000021_000001	The merchant felt that his credit was at stake, and whilst inwardly determining that he would not carry the joke any further, could not help describing Wali Dad in such glowing terms that the old man would never have known himself had he heard them.	The merchant felt that his credit was at stake, and whilst inwardly determining that he would not carry the joke any further, could not help describing Wali Dad in such glowing terms that the old man would never have known himself had he heard them.	true	501.68	515.74	23.282898
6927_86043_000021_000002	The prince, like the king of Khaistan, determined that he would send in return a gift that would be truly royal, and which would perhaps prevent the unknown giver sending him anything more.	The prince, like the king of Khaistan, determined that he would send in return a gift that would be truly royal, and which would perhaps prevent the unknown giver sending him anything more.	false	516.5	527.83	23.758968
6927_86043_000021_000003	So he made up a caravan on twenty splendid horses caparisoned in gold embroidered cloths, with fine morocco saddles and silver bridles and stirrups, also twenty camels of the best breed, which had the speed of race-horses, and could swing along at a trot all day without getting tired; and, lastly, twenty elephants, with magnificent silver howdahs and coverings of silk embroidered with pearls.	So he made up a caravan on twenty splendid horses caparisoned in gold embroidered cloths, with fine morocco saddles and silver bridles and stirrups, also twenty camels of the best breed, which had the speed of race horses, and could swing along at a trot all day without getting tired; and, lastly, twenty elephants, with magnificent silver howdahs and coverings of silk embroidered with pearls.	false	528.5	555.01	22.898762
6927_86043_000021_000004	To take care of these animals the merchant hired a little army of men; and the troop made a great show as they travelled along.	To take care of these animals the merchant hired a little army of men; and the troop made a great show as they travelled along.	true	555.65	562.24	22.289703
6927_86043_000022_000000	When Wali Dad from a distance saw the cloud of dust which the caravan made, and the glitter of its appointments, he said to himself: 'By Allah! here's a grand crowd coming!	When Wali Dad from a distance saw the cloud of dust which the caravan made, and the glitter of its appointments, he said to himself: 'By Allah! here's a grand crowd coming!	true	563.03	573.12	23.72204
6927_86043_000022_000001	Elephants, too!	Elephants, too!	true	573.12	574.33	24.4549
6927_86043_000022_000002	Grass will be selling well to-day!' And with that he hurried off to the jungle and cut grass as fast as he could.	Grass will be selling well to day!' And with that he hurried off to the jungle and cut grass as fast as he could.	true	574.46	580.81	23.042765
6927_86043_000022_000003	As soon as he got back he found the caravan had stopped at his door, and the merchant was waiting, a little anxiously, to tell him the news and to congratulate him upon his riches.	As soon as he got back he found the caravan had stopped at his door, and the merchant was waiting, a little anxiously, to tell him the news and to congratulate him upon his riches.	false	581.54	590.86	21.97514
6927_86043_000023_000000	'Riches!' cried Wali Dad, 'what has an old man like me with one foot in the grave to do with riches?	'Riches!' cried Wali Dad, 'what has an old man like me with one foot in the grave to do with riches?	true	592.01	598.15	23.611628
6927_86043_000023_000001	That beautiful young princess, now!	That beautiful young princess, now!	true	598.28	600.12	22
6927_86043_000023_000002	She'd be the one to enjoy all these fine things!	She'd be the one to enjoy all these fine things!	false	600.12	602.77	23.005522
6927_86043_000023_000003	Do you take for yourself two horses, two camels, and two elephants, with all their trappings, and present the rest to her.'	Do you take for yourself two horses, two camels, and two elephants, with all their trappings, and present the rest to her.'	true	603.2	610.39	24.099567
6927_86043_000024_000000	The merchant at first objected to these remarks, and pointed out to Wali Dad that he was beginning to feel these embassies a little awkward.	The merchant at first objected to these remarks, and pointed out to Wali Dad that he was beginning to feel these embassies a little awkward.	true	611.39	619.18	26.301447
6927_86043_000024_000001	Of course he was himself richly repaid, so far as expenses went; but still he did not like going so often, and he was getting nervous.	Of course he was himself richly repaid, so far as expenses went; but still he did not like going so often, and he was getting nervous.	false	619.49	627.61	23.465313
6927_86043_000024_000002	At length, however he consented to go once more, but he promised himself never to embark on another such enterprise.	At length, however he consented to go once more, but he promised himself never to embark on another such enterprise.	true	627.83	635.05	23.190048
6927_86043_000025_000000	So, after a few days' rest, the caravan started off once more for Khaistan.	So, after a few days' rest, the caravan started off once more for Khaistan.	false	635.57	642.06	23.107626
6927_86043_000026_000000	The moment the king of Khaistan saw the gorgeous train of men and beasts entering his palace courtyard, he was so amazed that he hurried down in person to inquire about it, and became dumb when he heard that these also were a present from the princely Wali Dad, and were for the princess, his daughter.	The moment the king of Khaistan saw the gorgeous train of men and beasts entering his palace courtyard, he was so amazed that he hurried down in person to inquire about it, and became dumb when he heard that these also were a present from the princely Wali Dad, and were for the princess, his daughter.	false	642.06	660.85	21.59016
6927_86043_000026_000001	He went hastily off to her apartments, and said to her: 'I tell you what it is, my dear, this man wants to marry you; that is the meaning of all these presents!	He went hastily off to her apartments, and said to her: 'I tell you what it is, my dear, this man wants to marry you; that is the meaning of all these presents!	false	661.01	669.4	22.88571
6927_86043_000026_000002	There is nothing for it but that we go and pay him a visit in person.	There is nothing for it but that we go and pay him a visit in person.	true	669.41	673.24	25.021357
6927_86043_000026_000003	He must be a man of immense wealth, and as he is so devoted to you, perhaps you might do worse than marry him!'	He must be a man of immense wealth, and as he is so devoted to you, perhaps you might do worse than marry him!'	false	673.76	679.75	22.133509
6927_86043_000027_000000	The princess agreed with all that her father said, and orders were issued for vast numbers of elephants and camels, and gorgeous tents and flags, and litters for the ladies, and horses for the men, to be prepared without delay, as the king and princess were going to pay a visit to the great and munificent prince Wali Dad.	The princess agreed with all that her father said, and orders were issued for vast numbers of elephants and camels, and gorgeous tents and flags, and litters for the ladies, and horses for the men, to be prepared without delay, as the king and princess were going to pay a visit to the great and munificent prince Wali Dad.	false	681.35	698.91	22.220684
6927_86043_000027_000001	The merchant, the king declared, was to guide the party.	The merchant, the king declared, was to guide the party.	true	698.91	701.86	25.331255
6927_86043_000028_000000	The feelings of the poor merchant in this sore dilemma can hardly be imagined.	The feelings of the poor merchant in this sore dilemma can hardly be imagined.	false	703.76	707.83	21.895916
6927_86043_000028_000001	Willingly would he have run away; but he was treated with so much hospitality as Wali Dad's representative, that he hardly got an instant's real peace, and never any opportunity of slipping away.	Willingly would he have run away; but he was treated with so much hospitality as Wali Dad's representative, that he hardly got an instant's real peace, and never any opportunity of slipping away.	true	707.96	719.29	21.685698
6927_86043_000028_000002	In fact, after a few days, despair possessed him to such a degree that he made up his mind that all that happened was fate, and that escape was impossible; but he hoped devoutly some turn of fortune would reveal to him a way out of the difficulties which he had, with the best intentions, drawn upon himself.	In fact, after a few days, despair possessed him to such a degree that he made up his mind that all that happened was fate, and that escape was impossible; but he hoped devoutly some turn of fortune would reveal to him a way out of the difficulties which he had, with the best intentions, drawn upon himself.	true	719.63	737.53	23.22837
6927_86043_000029_000000	On the seventh day they all started, amidst thunderous salutes from the ramparts of the city, and much dust, and cheering, and blaring of trumpets.	On the seventh day they all started, amidst thunderous salutes from the ramparts of the city, and much dust, and cheering, and blaring of trumpets.	true	739.61	749.17	23.427166
6927_86043_000030_000000	Day after day they moved on, and every day the poor merchant felt more ill and miserable.	Day after day they moved on, and every day the poor merchant felt more ill and miserable.	true	749.99	755.8	23.782387
6927_86043_000030_000001	He wondered what kind of death the king would invent for him, and went through almost as much torture, as he lay awake nearly the whole of every night thinking over the situation, as he would have suffered if the king's executioners were already setting to work upon his neck.	He wondered what kind of death the king would invent for him, and went through almost as much torture, as he lay awake nearly the whole of every night thinking over the situation, as he would have suffered if the king's executioners were already setting to work upon his neck.	false	756.17	770.8	23.028517
6927_86043_000031_000000	At last they were only one day's march from Wali Dad's little mud home. Here a great encampment was made, and the merchant was sent on to tell Wali Dad that the King and Princess of Khaistan had arrived and were seeking an interview.	At last they were only one day's march from Wali Dad's little mud home. Here a great encampment was made, and the merchant was sent on to tell Wali Dad that the King and Princess of Khaistan had arrived and were seeking an interview.	true	772.43	786.7	22.548351
6927_86043_000031_000001	When the merchant arrived he found the poor old man eating his evening meal of onions and dry bread, and when he told him of all that had happened he had not the heart to proceed to load him with the reproaches which rose to his tongue.	When the merchant arrived he found the poor old man eating his evening meal of onions and dry bread, and when he told him of all that had happened he had not the heart to proceed to load him with the reproaches which rose to his tongue.	true	787.82	800.62	21.799341
6927_86043_000031_000002	For Wali Dad was overwhelmed with grief and shame for himself, for his friend, and for the name and honour of the princess; and he wept and plucked at his beard, and groaned most piteously.	For Wali Dad was overwhelmed with grief and shame for himself, for his friend, and for the name and honour of the princess; and he wept and plucked at his beard, and groaned most piteously.	false	801.95	813.19	22.764793
6927_86043_000031_000003	With tears he begged the merchant to detain them for one day by any kind of excuse he could think of, and to come in the morning to discuss what they should do.	With tears he begged the merchant to detain them for one day by any kind of excuse he could think of, and to come in the morning to discuss what they should do.	true	813.32	821.5	23.92375
6927_86043_000032_000000	As soon as the merchant was gone Wali Dad made up his mind that there was only one honourable way out of the shame and distress that he had created by his foolishness, and that was--to kill himself.	As soon as the merchant was gone Wali Dad made up his mind that there was only one honourable way out of the shame and distress that he had created by his foolishness, and that was-to kill himself.	true	822.98	834.13	21.431444
6927_86043_000032_000001	So, without stopping to ask any one's advice, he went off in the middle of the night to a place where the river wound along at the base of steep rocky cliffs of great height, and determined to throw himself down and put an end to his life.	So, without stopping to ask any one's advice, he went off in the middle of the night to a place where the river wound along at the base of steep rocky cliffs of great height, and determined to throw himself down and put an end to his life.	false	835.79	849.52	23.658325
6927_86043_000032_000002	When he got to the place he drew back a few paces, took a little run, and at the very edge of that dreadful black gulf he stopped short!	When he got to the place he drew back a few paces, took a little run, and at the very edge of that dreadful black gulf he stopped short!	false	849.8	857.58	21.495274
6927_86043_000032_000003	He COULD not do it!	He COULD not do it!	true	857.58	859.3	21.36924
6927_86043_000033_000000	From below, unseen in the blackness of the deep night shadows, the water roared and boiled round the jagged rocks--he could picture the place as he knew it, only ten times more pitiless and forbidding in the visionless darkness; the wind soughed through the gorge with fearsome sighs, and rustlings and whisperings, and the bushes and grasses that grew in the ledges of the cliffs seemed to him like living creatures that danced and beckoned, shadowy and indistinct.	From below, unseen in the blackness of the deep night shadows, the water roared and boiled round the jagged rocks-he could picture the place as he knew it, only ten times more pitiless and forbidding in the visionless darkness; the wind soughed through the gorge with fearsome sighs, and rustlings and whisperings, and the bushes and grasses that grew in the ledges of the cliffs seemed to him like living creatures that danced and beckoned, shadowy and indistinct.	false	861.05	888.25	23.144186
6927_86043_000033_000001	An owl laughed 'Hoo! hoo!' almost in his face, as he peered over the edge of the gulf, and the old man threw himself back in a perspiration of horror.	An owl laughed 'Hoo! hoo!' almost in his face, as he peered over the edge of the gulf, and the old man threw himself back in a perspiration of horror.	true	888.89	901.57	23.474585
6927_86043_000033_000002	He was afraid!	He was afraid!	true	901.82	903.07	26.528784
6927_86043_000033_000003	He drew back shuddering, and covering his face in his hands he wept aloud.	He drew back shuddering, and covering his face in his hands he wept aloud.	true	903.59	908.2	21.92894
6927_86043_000034_000000	Presently he was aware of a gentle radiance that shed itself before him. Surely morning was not already coming to hasten and reveal his disgrace! He took his hands from before his face, and saw before him two lovely beings whom his instinct told him were not mortal, but were Peris from Paradise.	Presently he was aware of a gentle radiance that shed itself before him. Surely morning was not already coming to hasten and reveal his disgrace! He took his hands from before his face, and saw before him two lovely beings whom his instinct told him were not mortal, but were Peris from Paradise.	false	908.93	930.79	21.423414
6927_86043_000035_000000	'Why do you weep, old man?' said one, in a voice as clear and musical as that of the bulbul.	'Why do you weep, old man?' said one, in a voice as clear and musical as that of the bulbul.	false	932.15	938.41	25.93207
6927_86043_000036_000000	'I weep for shame,' replied he.	'I weep for shame,' replied he.	true	938.9	941.26	25.219328
6927_86043_000037_000000	'What do you here?' questioned the other.	'What do you here?' questioned the other.	true	941.51	945.24	21.249609
6927_86043_000038_000000	'I came here to die,' said Wali Dad.	'I came here to die,' said Wali Dad.	true	945.24	947.77	23.242672
6927_86043_000038_000001	And as they questioned him, he confessed all his story.	And as they questioned him, he confessed all his story.	true	947.78	950.98	23.797438
6927_86043_000039_000000	Then the first stepped forward and laid a hand upon his shoulder, and Wali Dad began to feel that something strange--what, he did not know--was happening to him.	Then the first stepped forward and laid a hand upon his shoulder, and Wali Dad began to feel that something strange-what, he did not know-was happening to him.	true	952.1	961.57	22.410034
6927_86043_000039_000001	His old cotton rags of clothes were changed to beautiful linen and embroidered cloth; on his hard, bare feet were warm, soft shoes, and on his head a great jewelled turban.	His old cotton rags of clothes were changed to beautiful linen and embroidered cloth; on his hard, bare feet were warm, soft shoes, and on his head a great jewelled turban.	true	961.82	972.4	22.231054
6927_86043_000039_000002	Round his neck there lay a heavy golden chain, and the little old bent sickle, which he cut grass with, and which hung in his waistband, had turned into a gorgeous scimetar, whose ivory hilt gleamed in the pale light like snow in moonlight.	Round his neck there lay a heavy golden chain, and the little old bent sickle, which he cut grass with, and which hung in his waistband, had turned into a gorgeous scimetar, whose ivory hilt gleamed in the pale light like snow in moonlight.	false	972.47	988.09	23.048172
6927_86043_000039_000003	As he stood wondering, like a man in a dream, the other peri waved her hand and bade him turn and see; and, lo!	As he stood wondering, like a man in a dream, the other peri waved her hand and bade him turn and see; and, lo!	true	989.21	996.75	19.77058
6927_86043_000039_000004	before him a noble gateway stood open.	before him a noble gateway stood open.	true	996.75	999.31	20.042154
6927_86043_000039_000005	And up an avenue of giant place trees the peris led him, dumb with amazement.	And up an avenue of giant place trees the peris led him, dumb with amazement.	true	999.47	1005.28	20.38326
6927_86043_000039_000006	At the end of the avenue, on the very spot where his hut had stood, a gorgeous palace appeared, ablaze with myriads of lights.	At the end of the avenue, on the very spot where his hut had stood, a gorgeous palace appeared, ablaze with myriads of lights.	false	1006.22	1014.69	22.648743
6927_86043_000039_000007	Its great porticoes and verandahs were occupied by hurrying servants, and guards paced to and fro and saluted him respectfully as he drew near, along mossy walks and through sweeping grassy lawns where fountains were playing and flowers scented the air. Wali Dad stood stunned and helpless.	Its great porticoes and verandahs were occupied by hurrying servants, and guards paced to and fro and saluted him respectfully as he drew near, along mossy walks and through sweeping grassy lawns where fountains were playing and flowers scented the air. Wali Dad stood stunned and helpless.	true	1014.69	1033.42	23.089535
6927_86043_000040_000000	'Fear not,' said one of the peris; 'go to your house, and learn that God rewards the simple-hearted.'	'Fear not,' said one of the peris; 'go to your house, and learn that God rewards the simple hearted.'	true	1034.21	1040.59	22.969069
6927_86043_000041_000000	With these words they both disappeared and left him.	With these words they both disappeared and left him.	true	1040.84	1044.07	26.912066
6927_86043_000041_000001	He walked on, thinking still that he must be dreaming.	He walked on, thinking still that he must be dreaming.	true	1044.14	1047.4	26.860056
6927_86043_000041_000002	Very soon he retired to rest in a splendid room, far grander than anything he had ever dreamed of.	Very soon he retired to rest in a splendid room, far grander than anything he had ever dreamed of.	true	1048.79	1054.93	23.074953
6927_86043_000042_000000	When morning dawned he woke, and found that the palace, and himself, and his servants were all real, and that he was not dreaming after all!	When morning dawned he woke, and found that the palace, and himself, and his servants were all real, and that he was not dreaming after all!	true	1055.6	1063.54	23.839502
6927_86043_000043_000000	If he was dumbfounded, the merchant, who was ushered into his presence soon after sunrise, was much more so.	If he was dumbfounded, the merchant, who was ushered into his presence soon after sunrise, was much more so.	true	1064.81	1071	22.58976
6927_86043_000043_000001	He told Wali Dad that he had not slept all night, and by the first streak of daylight had started to seek out his friend.	He told Wali Dad that he had not slept all night, and by the first streak of daylight had started to seek out his friend.	false	1071	1077.88	23.16303
