227_129974_000000_000000	"Shall we see you tomorrow to dinner?" said Mrs. Dashwood, when he was leaving them.	"Shall we see you tomorrow to dinner?" said mrs Dashwood, when he was leaving them.	false	0	6.39	20.497683
227_129974_000016_000000	"I have only to add, my dear Willoughby, that at Barton cottage you will always be welcome; for I will not press you to return here immediately, because you only can judge how far THAT might be pleasing to Mrs. Smith; and on this head I shall be no more disposed to question your judgment than to doubt your inclination."	"I have only to add, my dear Willoughby, that at Barton cottage you will always be welcome; for I will not press you to return here immediately, because you only can judge how far THAT might be pleasing to mrs Smith; and on this head I shall be no more disposed to question your judgment than to doubt your inclination."	true	213.05	232.45	24.161898
227_129974_000017_000000	"My engagements at present," replied Willoughby, confusedly, "are of such a nature--that--I dare not flatter myself"--	"My engagements at present," replied Willoughby, confusedly, "are of such a nature-that-I dare not flatter myself"--	true	235.28	243.91	24.35739
227_129974_000018_000000	He stopt.	He stopt.	true	244.88	245.98	31.542076
227_129974_000018_000001	Mrs. Dashwood was too much astonished to speak, and another pause succeeded.	mrs Dashwood was too much astonished to speak, and another pause succeeded.	true	246.44	251.26	24.054134
227_129974_000018_000002	This was broken by Willoughby, who said with a faint smile, "It is folly to linger in this manner.	This was broken by Willoughby, who said with a faint smile, "It is folly to linger in this manner.	true	251.96	258.67	22.260443
227_129974_000018_000003	I will not torment myself any longer by remaining among friends whose society it is impossible for me now to enjoy."	I will not torment myself any longer by remaining among friends whose society it is impossible for me now to enjoy."	true	258.74	265.03	21.192802
227_129974_000019_000000	He then hastily took leave of them all and left the room.	He then hastily took leave of them all and left the room.	true	267.14	270.04	23.839373
227_129974_000019_000001	They saw him step into his carriage, and in a minute it was out of sight.	They saw him step into his carriage, and in a minute it was out of sight.	true	270.38	274.69	25.08175
227_129974_000020_000000	Mrs. Dashwood felt too much for speech, and instantly quitted the parlour to give way in solitude to the concern and alarm which this sudden departure occasioned.	mrs Dashwood felt too much for speech, and instantly quitted the parlour to give way in solitude to the concern and alarm which this sudden departure occasioned.	true	277.73	287.29	24.851276
227_129974_000021_000000	Elinor's uneasiness was at least equal to her mother's.	Elinor's uneasiness was at least equal to her mother's.	true	289.58	292.81	22.770384
227_129974_000021_000001	She thought of what had just passed with anxiety and distrust.	She thought of what had just passed with anxiety and distrust.	true	293	296.74	22.388765
227_129974_000021_000002	Willoughby's behaviour in taking leave of them, his embarrassment, and affectation of cheerfulness, and, above all, his unwillingness to accept her mother's invitation, a backwardness so unlike a lover, so unlike himself, greatly disturbed her.	Willoughby's behaviour in taking leave of them, his embarrassment, and affectation of cheerfulness, and, above all, his unwillingness to accept her mother's invitation, a backwardness so unlike a lover, so unlike himself, greatly disturbed her.	true	297.23	312.25	24.611063
227_129974_000021_000003	One moment she feared that no serious design had ever been formed on his side; and the next that some unfortunate quarrel had taken place between him and her sister;--the distress in which Marianne had quitted the room was such as a serious quarrel could most reasonably account for, though when she considered what Marianne's love for him was, a quarrel seemed almost impossible.	One moment she feared that no serious design had ever been formed on his side; and the next that some unfortunate quarrel had taken place between him and her sister;--the distress in which Marianne had quitted the room was such as a serious quarrel could most reasonably account for, though when she considered what Marianne's love for him was, a quarrel seemed almost impossible.	false	312.89	336.22	23.084505
227_129974_000022_000000	But whatever might be the particulars of their separation, her sister's affliction was indubitable; and she thought with the tenderest compassion of that violent sorrow which Marianne was in all probability not merely giving way to as a relief, but feeding and encouraging as a duty.	But whatever might be the particulars of their separation, her sister's affliction was indubitable; and she thought with the tenderest compassion of that violent sorrow which Marianne was in all probability not merely giving way to as a relief, but feeding and encouraging as a duty.	true	338.51	355.21	21.580776
227_129974_000023_000000	In about half an hour her mother returned, and though her eyes were red, her countenance was not uncheerful.	In about half an hour her mother returned, and though her eyes were red, her countenance was not uncheerful.	true	357.56	365.26	22.53379
227_129974_000024_000000	"Our dear Willoughby is now some miles from Barton, Elinor," said she, as she sat down to work, "and with how heavy a heart does he travel?"	"Our dear Willoughby is now some miles from Barton, Elinor," said she, as she sat down to work, "and with how heavy a heart does he travel?"	true	366.41	376.3	22.819487
227_129974_000025_000000	"It is all very strange.	"It is all very strange.	true	378.68	380.41	21.122698
227_129974_000025_000001	So suddenly to be gone!	So suddenly to be gone!	true	380.48	382.15	23.774786
227_129974_000025_000002	It seems but the work of a moment.	It seems but the work of a moment.	true	382.22	384.64	23.39635
227_129974_000025_000003	And last night he was with us so happy, so cheerful, so affectionate?	And last night he was with us so happy, so cheerful, so affectionate?	true	384.89	389.5	23.415596
227_129974_000025_000004	And now, after only ten minutes notice--Gone too without intending to return!--Something more than what he owned to us must have happened.	And now, after only ten minutes notice-Gone too without intending to return!--Something more than what he owned to us must have happened.	false	390.05	399.7	23.374079
227_129974_000025_000005	He did not speak, he did not behave like himself.	He did not speak, he did not behave like himself.	true	400.04	403.36	26.24287
227_129974_000025_000006	YOU must have seen the difference as well as I. What can it be?	YOU must have seen the difference as well as i What can it be?	true	403.64	407.5	24.539553
227_129974_000025_000007	Can they have quarrelled?	Can they have quarrelled?	true	407.63	408.87	28.57861
227_129974_000025_000008	Why else should he have shewn such unwillingness to accept your invitation here?"--	Why else should he have shewn such unwillingness to accept your invitation here?"--	false	408.87	413.05	22.395456
227_129974_000026_000000	"It was not inclination that he wanted, Elinor; I could plainly see THAT.	"It was not inclination that he wanted, Elinor; I could plainly see THAT.	true	414.74	419.41	22.109524
227_129974_000026_000001	He had not the power of accepting it.	He had not the power of accepting it.	true	419.69	421.99	26.375484
227_129974_000026_000002	I have thought it all over I assure you, and I can perfectly account for every thing that at first seemed strange to me as well as to you."	I have thought it all over I assure you, and I can perfectly account for every thing that at first seemed strange to me as well as to you."	false	422.21	429.64	24.237833
227_129974_000027_000000	"Can you, indeed!"	"Can you, indeed!"	true	431.84	433.27	22.596907
227_129974_000028_000000	"Yes.	"Yes.	true	435.14	436	23.76804
227_129974_000028_000001	I have explained it to myself in the most satisfactory way;--but you, Elinor, who love to doubt where you can--it will not satisfy YOU, I know; but you shall not talk ME out of my trust in it.	I have explained it to myself in the most satisfactory way;--but you, Elinor, who love to doubt where you can-it will not satisfy YOU, I know; but you shall not talk m e out of my trust in it.	false	436.1	448.6	24.198402
227_129974_000028_000002	I am persuaded that Mrs. Smith suspects his regard for Marianne, disapproves of it, (perhaps because she has other views for him,) and on that account is eager to get him away;--and that the business which she sends him off to transact is invented as an excuse to dismiss him. This is what I believe to have happened.	I am persuaded that mrs Smith suspects his regard for Marianne, disapproves of it, (perhaps because she has other views for him,) and on that account is eager to get him away;--and that the business which she sends him off to transact is invented as an excuse to dismiss him. This is what I believe to have happened.	true	448.76	467.62	22.68123
227_129974_000028_000003	He is, moreover, aware that she DOES disapprove the connection, he dares not therefore at present confess to her his engagement with Marianne, and he feels himself obliged, from his dependent situation, to give into her schemes, and absent himself from Devonshire for a while.	He is, moreover, aware that she DOES disapprove the connection, he dares not therefore at present confess to her his engagement with Marianne, and he feels himself obliged, from his dependent situation, to give into her schemes, and absent himself from Devonshire for a while.	true	469.04	486.64	22.771378
227_129974_000028_000004	You will tell me, I know, that this may or may NOT have happened; but I will listen to no cavil, unless you can point out any other method of understanding the affair as satisfactory at this.	You will tell me, I know, that this may or may NOT have happened; but I will listen to no cavil, unless you can point out any other method of understanding the affair as satisfactory at this.	false	487.37	498.01	23.409668
227_129974_000028_000005	And now, Elinor, what have you to say?"	And now, Elinor, what have you to say?"	true	498.56	501.13	26.179302
227_129974_000029_000000	"Nothing, for you have anticipated my answer."	"Nothing, for you have anticipated my answer."	true	503.24	506.29	25.16188
227_129974_000030_000000	"Then you would have told me, that it might or might not have happened. Oh, Elinor, how incomprehensible are your feelings!	"Then you would have told me, that it might or might not have happened. Oh, Elinor, how incomprehensible are your feelings!	false	508.61	515.35	23.110973
227_129974_000030_000001	You had rather take evil upon credit than good.	You had rather take evil upon credit than good.	false	515.63	518.35	25.856672
227_129974_000030_000002	You had rather look out for misery for Marianne, and guilt for poor Willoughby, than an apology for the latter.	You had rather look out for misery for Marianne, and guilt for poor Willoughby, than an apology for the latter.	true	518.42	524.47	23.521147
227_129974_000030_000003	You are resolved to think him blameable, because he took leave of us with less affection than his usual behaviour has shewn.	You are resolved to think him blameable, because he took leave of us with less affection than his usual behaviour has shewn.	false	525.02	531.97	22.45224
227_129974_000030_000004	And is no allowance to be made for inadvertence, or for spirits depressed by recent disappointment?	And is no allowance to be made for inadvertence, or for spirits depressed by recent disappointment?	false	532.25	537.73	22.851833
227_129974_000030_000005	Are no probabilities to be accepted, merely because they are not certainties?	Are no probabilities to be accepted, merely because they are not certainties?	true	537.92	542.02	24.557516
227_129974_000030_000006	Is nothing due to the man whom we have all such reason to love, and no reason in the world to think ill of?	Is nothing due to the man whom we have all such reason to love, and no reason in the world to think ill of?	true	542.48	548.56	22.940258
227_129974_000030_000007	To the possibility of motives unanswerable in themselves, though unavoidably secret for a while?	To the possibility of motives unanswerable in themselves, though unavoidably secret for a while?	true	549.35	554.95	22.917303
227_129974_000030_000008	And, after all, what is it you suspect him of?"	And, after all, what is it you suspect him of?"	true	555.23	559.24	24.375338
227_129974_000031_000000	"I can hardly tell myself.	"I can hardly tell myself.	true	561.71	563.8	21.214643
227_129974_000031_000001	But suspicion of something unpleasant is the inevitable consequence of such an alteration as we just witnessed in him.	But suspicion of something unpleasant is the inevitable consequence of such an alteration as we just witnessed in him.	true	564.02	570.91	23.636427
227_129974_000031_000002	There is great truth, however, in what you have now urged of the allowances which ought to be made for him, and it is my wish to be candid in my judgment of every body.	There is great truth, however, in what you have now urged of the allowances which ought to be made for him, and it is my wish to be candid in my judgment of every body.	true	571.4	580.81	22.402708
227_129974_000031_000003	Willoughby may undoubtedly have very sufficient reasons for his conduct, and I will hope that he has. But it would have been more like Willoughby to acknowledge them at once.	Willoughby may undoubtedly have very sufficient reasons for his conduct, and I will hope that he has. But it would have been more like Willoughby to acknowledge them at once.	true	581.3	592.39	22.607094
227_129974_000031_000004	Secrecy may be advisable; but still I cannot help wondering at its being practiced by him."	Secrecy may be advisable; but still I cannot help wondering at its being practiced by him."	true	592.79	599.68	24.158947
227_129974_000032_000000	"Do not blame him, however, for departing from his character, where the deviation is necessary.	"Do not blame him, however, for departing from his character, where the deviation is necessary.	true	600.08	605.5	22
227_129974_000032_000001	But you really do admit the justice of what I have said in his defence?--I am happy--and he is acquitted."	But you really do admit the justice of what I have said in his defence?--I am happy-and he is acquitted."	true	605.9	611.83	24.916943
227_129974_000033_000000	"Not entirely.	"Not entirely.	true	612.08	613.42	24.90998
227_129974_000033_000001	It may be proper to conceal their engagement (if they ARE engaged) from Mrs. Smith--and if that is the case, it must be highly expedient for Willoughby to be but little in Devonshire at present.	It may be proper to conceal their engagement (if they ARE engaged) from mrs Smith-and if that is the case, it must be highly expedient for Willoughby to be but little in Devonshire at present.	true	613.55	625.3	23.821716
227_129974_000033_000002	But this is no excuse for their concealing it from us."	But this is no excuse for their concealing it from us."	true	625.67	628.57	24.264654
227_129974_000034_000000	"Concealing it from us! my dear child, do you accuse Willoughby and Marianne of concealment?	"Concealing it from us! my dear child, do you accuse Willoughby and Marianne of concealment?	true	629.18	634.57	25.757092
227_129974_000034_000001	This is strange indeed, when your eyes have been reproaching them every day for incautiousness."	This is strange indeed, when your eyes have been reproaching them every day for incautiousness."	true	634.88	640.66	23.054491
227_129974_000035_000000	"I want no proof of their affection," said Elinor; "but of their engagement I do."	"I want no proof of their affection," said Elinor; "but of their engagement I do."	true	641.06	647.2	24.823097
227_129974_000036_000000	"I am perfectly satisfied of both."	"I am perfectly satisfied of both."	true	648.56	650.86	23.640757
227_129974_000037_000000	"Yet not a syllable has been said to you on the subject, by either of them."	"Yet not a syllable has been said to you on the subject, by either of them."	true	651.38	655.27	23.43974
227_129974_000038_000000	"I have not wanted syllables where actions have spoken so plainly.	"I have not wanted syllables where actions have spoken so plainly.	true	656.81	660.37	23.67615
227_129974_000038_000001	Has not his behaviour to Marianne and to all of us, for at least the last fortnight, declared that he loved and considered her as his future wife, and that he felt for us the attachment of the nearest relation? Have we not perfectly understood each other?	Has not his behaviour to Marianne and to all of us, for at least the last fortnight, declared that he loved and considered her as his future wife, and that he felt for us the attachment of the nearest relation? Have we not perfectly understood each other?	true	660.68	675.13	23.443611
227_129974_000038_000002	Has not my consent been daily asked by his looks, his manner, his attentive and affectionate respect?	Has not my consent been daily asked by his looks, his manner, his attentive and affectionate respect?	true	675.62	681.91	23.299253
227_129974_000038_000003	My Elinor, is it possible to doubt their engagement?	My Elinor, is it possible to doubt their engagement?	true	682.19	685.81	26.314602
227_129974_000038_000004	How could such a thought occur to you?	How could such a thought occur to you?	true	685.91	688.12	25.16887
227_129974_000038_000005	How is it to be supposed that Willoughby, persuaded as he must be of your sister's love, should leave her, and leave her perhaps for months, without telling her of his affection;--that they should part without a mutual exchange of confidence?"	How is it to be supposed that Willoughby, persuaded as he must be of your sister's love, should leave her, and leave her perhaps for months, without telling her of his affection;--that they should part without a mutual exchange of confidence?"	true	688.61	702.67	24.898676
227_129974_000039_000000	"I confess," replied Elinor, "that every circumstance except ONE is in favour of their engagement; but that ONE is the total silence of both on the subject, and with me it almost outweighs every other."	"I confess," replied Elinor, "that every circumstance except ONE is in favour of their engagement; but that ONE is the total silence of both on the subject, and with me it almost outweighs every other."	true	705.02	720.13	24.518703
227_129974_000040_000000	"How strange this is!	"How strange this is!	true	721.37	723.16	22.016855
227_129974_000040_000001	You must think wretchedly indeed of Willoughby, if, after all that has openly passed between them, you can doubt the nature of the terms on which they are together.	You must think wretchedly indeed of Willoughby, if, after all that has openly passed between them, you can doubt the nature of the terms on which they are together.	true	723.65	733.06	25.102581
227_129974_000040_000002	Has he been acting a part in his behaviour to your sister all this time?	Has he been acting a part in his behaviour to your sister all this time?	true	733.43	736.96	23.636587
227_129974_000040_000003	Do you suppose him really indifferent to her?"	Do you suppose him really indifferent to her?"	true	737.33	740.11	21.19152
227_129974_000041_000000	"No, I cannot think that.	"No, I cannot think that.	true	741.08	743.41	27.528276
227_129974_000041_000001	He must and does love her I am sure."	He must and does love her I am sure."	true	743.6	747.34	20.39071
227_129974_000042_000000	"But with a strange kind of tenderness, if he can leave her with such indifference, such carelessness of the future, as you attribute to him."	"But with a strange kind of tenderness, if he can leave her with such indifference, such carelessness of the future, as you attribute to him."	false	747.71	754.9	22.315113
227_129974_000043_000000	"You must remember, my dear mother, that I have never considered this matter as certain.	"You must remember, my dear mother, that I have never considered this matter as certain.	true	756.95	761.32	24.075758
227_129974_000043_000001	I have had my doubts, I confess; but they are fainter than they were, and they may soon be entirely done away.	I have had my doubts, I confess; but they are fainter than they were, and they may soon be entirely done away.	true	761.48	768.01	24.049898
227_129974_000043_000002	If we find they correspond, every fear of mine will be removed."	If we find they correspond, every fear of mine will be removed."	true	768.77	772.81	22.906351
227_129974_000044_000000	"A mighty concession indeed!	"A mighty concession indeed!	true	775.76	777.76	23.583565
227_129974_000044_000001	If you were to see them at the altar, you would suppose they were going to be married.	If you were to see them at the altar, you would suppose they were going to be married.	true	777.83	782.23	25.029383
227_129974_000044_000002	Ungracious girl!	Ungracious girl!	true	782.27	783.73	22.51382
227_129974_000044_000003	But I require no such proof.	But I require no such proof.	true	783.86	785.98	25.847118
227_129974_000044_000004	Nothing in my opinion has ever passed to justify doubt; no secrecy has been attempted; all has been uniformly open and unreserved.	Nothing in my opinion has ever passed to justify doubt; no secrecy has been attempted; all has been uniformly open and unreserved.	true	786.11	795.04	24.326197
227_129974_000044_000005	You cannot doubt your sister's wishes.	You cannot doubt your sister's wishes.	true	795.41	797.56	20.669786
227_129974_000044_000006	It must be Willoughby therefore whom you suspect.	It must be Willoughby therefore whom you suspect.	true	797.75	800.77	25.28616
227_129974_000044_000007	But why?	But why?	true	800.87	801.91	23.68487
227_129974_000044_000008	Is he not a man of honour and feeling?	Is he not a man of honour and feeling?	true	802.13	804.19	23.096624
227_129974_000044_000009	Has there been any inconsistency on his side to create alarm?	Has there been any inconsistency on his side to create alarm?	true	804.35	807.75	23.24292
227_129974_000044_000010	can he be deceitful?"	can he be deceitful?"	true	807.75	809.23	23.666656
227_129974_000045_000000	"I hope not, I believe not," cried Elinor.	"I hope not, I believe not," cried Elinor.	true	810.26	814.15	26.067547
227_129974_000045_000001	"I love Willoughby, sincerely love him; and suspicion of his integrity cannot be more painful to yourself than to me.	"I love Willoughby, sincerely love him; and suspicion of his integrity cannot be more painful to yourself than to me.	true	814.25	821.41	24.247355
227_129974_000045_000002	It has been involuntary, and I will not encourage it.	It has been involuntary, and I will not encourage it.	true	821.78	825.37	23.47444
227_129974_000045_000003	I was startled, I confess, by the alteration in his manners this morning;--he did not speak like himself, and did not return your kindness with any cordiality.	I was startled, I confess, by the alteration in his manners this morning;--he did not speak like himself, and did not return your kindness with any cordiality.	false	825.86	835.09	23.685051
227_129974_000045_000004	But all this may be explained by such a situation of his affairs as you have supposed.	But all this may be explained by such a situation of his affairs as you have supposed.	true	835.7	841.12	23.819803
227_129974_000045_000005	He had just parted from my sister, had seen her leave him in the greatest affliction; and if he felt obliged, from a fear of offending Mrs. Smith, to resist the temptation of returning here soon, and yet aware that by declining your invitation, by saying that he was going away for some time, he should seem to act an ungenerous, a suspicious part by our family, he might well be embarrassed and disturbed.	He had just parted from my sister, had seen her leave him in the greatest affliction; and if he felt obliged, from a fear of offending mrs Smith, to resist the temptation of returning here soon, and yet aware that by declining your invitation, by saying that he was going away for some time, he should seem to act an ungenerous, a suspicious part by our family, he might well be embarrassed and disturbed.	true	841.55	865.93	23.53012
227_129974_000045_000006	In such a case, a plain and open avowal of his difficulties would have been more to his honour I think, as well as more consistent with his general character;--but I will not raise objections against any one's conduct on so illiberal a foundation, as a difference in judgment from myself, or a deviation from what I may think right and consistent."	In such a case, a plain and open avowal of his difficulties would have been more to his honour I think, as well as more consistent with his general character;--but I will not raise objections against any one's conduct on so illiberal a foundation, as a difference in judgment from myself, or a deviation from what I may think right and consistent."	false	866.3	887.74	23.58632
227_129974_000046_000000	"You speak very properly.	"You speak very properly.	true	890.54	892.51	25.933983
227_129974_000046_000001	Willoughby certainly does not deserve to be suspected.	Willoughby certainly does not deserve to be suspected.	true	892.94	895.87	24.7703
227_129974_000046_000002	Though WE have not known him long, he is no stranger in this part of the world; and who has ever spoken to his disadvantage? Had he been in a situation to act independently and marry immediately, it might have been odd that he should leave us without acknowledging everything to me at once: but this is not the case.	Though WE have not known him long, he is no stranger in this part of the world; and who has ever spoken to his disadvantage? Had he been in a situation to act independently and marry immediately, it might have been odd that he should leave us without acknowledging everything to me at once: but this is not the case.	false	895.97	913.9	22.462881
227_129974_000046_000003	It is an engagement in some respects not prosperously begun, for their marriage must be at a very uncertain distance; and even secrecy, as far as it can be observed, may now be very advisable."	It is an engagement in some respects not prosperously begun, for their marriage must be at a very uncertain distance; and even secrecy, as far as it can be observed, may now be very advisable."	true	914.42	926.59	23.143892
227_129974_000047_000000	They were interrupted by the entrance of Margaret; and Elinor was then at liberty to think over the representations of her mother, to acknowledge the probability of many, and hope for the justice of all.	They were interrupted by the entrance of Margaret; and Elinor was then at liberty to think over the representations of her mother, to acknowledge the probability of many, and hope for the justice of all.	true	929.12	940.15	23.28275
227_129974_000048_000000	They saw nothing of Marianne till dinner time, when she entered the room and took her place at the table without saying a word.	They saw nothing of Marianne till dinner time, when she entered the room and took her place at the table without saying a word.	false	942.47	949.27	23.178528
227_129974_000048_000001	Her eyes were red and swollen; and it seemed as if her tears were even then restrained with difficulty.	Her eyes were red and swollen; and it seemed as if her tears were even then restrained with difficulty.	true	949.79	956.05	22.275757
227_129974_000048_000002	She avoided the looks of them all, could neither eat nor speak, and after some time, on her mother's silently pressing her hand with tender compassion, her small degree of fortitude was quite overcome, she burst into tears and left the room.	She avoided the looks of them all, could neither eat nor speak, and after some time, on her mother's silently pressing her hand with tender compassion, her small degree of fortitude was quite overcome, she burst into tears and left the room.	true	956.54	971.05	24.425999
227_129974_000049_000000	This violent oppression of spirits continued the whole evening.	This violent oppression of spirits continued the whole evening.	true	973.43	977.02	26.124548
227_129974_000049_000001	She was without any power, because she was without any desire of command over herself.	She was without any power, because she was without any desire of command over herself.	true	977.36	982.48	23.350521
227_129974_000049_000002	The slightest mention of anything relative to Willoughby overpowered her in an instant; and though her family were most anxiously attentive to her comfort, it was impossible for them, if they spoke at all, to keep clear of every subject which her feelings connected with him.	The slightest mention of anything relative to Willoughby overpowered her in an instant; and though her family were most anxiously attentive to her comfort, it was impossible for them, if they spoke at all, to keep clear of every subject which her feelings connected with him.	false	982.88	1002.54	23.336845
227_129974_000050_000000	CHAPTER 16	CHAPTER sixteen	false	1002.54	1002.54	
227_129974_000051_000000	Marianne would have thought herself very inexcusable had she been able to sleep at all the first night after parting from Willoughby.	Marianne would have thought herself very inexcusable had she been able to sleep at all the first night after parting from Willoughby.	false	1002.54	1002.84	-20
227_129974_000051_000001	She would have been ashamed to look her family in the face the next morning, had she not risen from her bed in more need of repose than when she lay down in it.	She would have been ashamed to look her family in the face the next morning, had she not risen from her bed in more need of repose than when she lay down in it.	false	1002.84	1003.29	-2
227_129974_000051_000002	But the feelings which made such composure a disgrace, left her in no danger of incurring it.	But the feelings which made such composure a disgrace, left her in no danger of incurring it.	false	1003.29	1003.5	-20
227_129974_000051_000003	She was awake the whole night, and she wept the greatest part of it.	She was awake the whole night, and she wept the greatest part of it.	false	1003.5	1004.58	25.699192
227_129974_000051_000004	She got up with a headache, was unable to talk, and unwilling to take any nourishment; giving pain every moment to her mother and sisters, and forbidding all attempt at consolation from either.	She got up with a headache, was unable to talk, and unwilling to take any nourishment; giving pain every moment to her mother and sisters, and forbidding all attempt at consolation from either.	false	1004.58	1007.55	21.360481
227_129974_000051_000005	Her sensibility was potent enough!	Her sensibility was potent enough!	false	1007.55	1008.03	-20
