227_129974_000002_000000	CHAPTER 15	CHAPTER fifteen
227_129974_000028_000002	I am persuaded that Mrs. Smith suspects his regard for Marianne, disapproves of it, (perhaps because she has other views for him,) and on that account is eager to get him away;--and that the business which she sends him off to transact is invented as an excuse to dismiss him. This is what I believe to have happened.	I am persuaded that mrs Smith suspects his regard for Marianne, disapproves of it, (perhaps because she has other views for him,) and on that account is eager to get him away;--and that the business which she sends him off to transact is invented as an excuse to dismiss him. This is what I believe to have happened.
227_129974_000028_000003	He is, moreover, aware that she DOES disapprove the connection, he dares not therefore at present confess to her his engagement with Marianne, and he feels himself obliged, from his dependent situation, to give into her schemes, and absent himself from Devonshire for a while.	He is, moreover, aware that she DOES disapprove the connection, he dares not therefore at present confess to her his engagement with Marianne, and he feels himself obliged, from his dependent situation, to give into her schemes, and absent himself from Devonshire for a while.
227_129974_000028_000005	And now, Elinor, what have you to say?"	And now, Elinor, what have you to say?"
227_129974_000029_000000	"Nothing, for you have anticipated my answer."	"Nothing, for you have anticipated my answer."
227_129974_000030_000002	You had rather look out for misery for Marianne, and guilt for poor Willoughby, than an apology for the latter.	You had rather look out for misery for Marianne, and guilt for poor Willoughby, than an apology for the latter.
227_129974_000030_000005	Are no probabilities to be accepted, merely because they are not certainties?	Are no probabilities to be accepted, merely because they are not certainties?
227_129974_000030_000006	Is nothing due to the man whom we have all such reason to love, and no reason in the world to think ill of?	Is nothing due to the man whom we have all such reason to love, and no reason in the world to think ill of?
227_129974_000030_000007	To the possibility of motives unanswerable in themselves, though unavoidably secret for a while?	To the possibility of motives unanswerable in themselves, though unavoidably secret for a while?
227_129974_000030_000008	And, after all, what is it you suspect him of?"	And, after all, what is it you suspect him of?"
227_129974_000031_000000	"I can hardly tell myself.	"I can hardly tell myself.
227_129974_000031_000001	But suspicion of something unpleasant is the inevitable consequence of such an alteration as we just witnessed in him.	But suspicion of something unpleasant is the inevitable consequence of such an alteration as we just witnessed in him.
227_129974_000031_000002	There is great truth, however, in what you have now urged of the allowances which ought to be made for him, and it is my wish to be candid in my judgment of every body.	There is great truth, however, in what you have now urged of the allowances which ought to be made for him, and it is my wish to be candid in my judgment of every body.
227_129974_000031_000003	Willoughby may undoubtedly have very sufficient reasons for his conduct, and I will hope that he has. But it would have been more like Willoughby to acknowledge them at once.	Willoughby may undoubtedly have very sufficient reasons for his conduct, and I will hope that he has. But it would have been more like Willoughby to acknowledge them at once.
227_129974_000031_000004	Secrecy may be advisable; but still I cannot help wondering at its being practiced by him."	Secrecy may be advisable; but still I cannot help wondering at its being practiced by him."
227_129974_000032_000000	"Do not blame him, however, for departing from his character, where the deviation is necessary.	"Do not blame him, however, for departing from his character, where the deviation is necessary.
227_129974_000032_000001	But you really do admit the justice of what I have said in his defence?--I am happy--and he is acquitted."	But you really do admit the justice of what I have said in his defence?--I am happy-and he is acquitted."
227_129974_000033_000000	"Not entirely.	"Not entirely.
227_129974_000033_000001	It may be proper to conceal their engagement (if they ARE engaged) from Mrs. Smith--and if that is the case, it must be highly expedient for Willoughby to be but little in Devonshire at present.	It may be proper to conceal their engagement (if they ARE engaged) from mrs Smith-and if that is the case, it must be highly expedient for Willoughby to be but little in Devonshire at present.
227_129974_000033_000002	But this is no excuse for their concealing it from us."	But this is no excuse for their concealing it from us."
227_129974_000034_000000	"Concealing it from us! my dear child, do you accuse Willoughby and Marianne of concealment?	"Concealing it from us! my dear child, do you accuse Willoughby and Marianne of concealment?
227_129974_000034_000001	This is strange indeed, when your eyes have been reproaching them every day for incautiousness."	This is strange indeed, when your eyes have been reproaching them every day for incautiousness."
227_129974_000035_000000	"I want no proof of their affection," said Elinor; "but of their engagement I do."	"I want no proof of their affection," said Elinor; "but of their engagement I do."
227_129974_000036_000000	"I am perfectly satisfied of both."	"I am perfectly satisfied of both."
227_129974_000037_000000	"Yet not a syllable has been said to you on the subject, by either of them."	"Yet not a syllable has been said to you on the subject, by either of them."
227_129974_000038_000000	"I have not wanted syllables where actions have spoken so plainly.	"I have not wanted syllables where actions have spoken so plainly.
227_129974_000038_000001	Has not his behaviour to Marianne and to all of us, for at least the last fortnight, declared that he loved and considered her as his future wife, and that he felt for us the attachment of the nearest relation? Have we not perfectly understood each other?	Has not his behaviour to Marianne and to all of us, for at least the last fortnight, declared that he loved and considered her as his future wife, and that he felt for us the attachment of the nearest relation? Have we not perfectly understood each other?
227_129974_000038_000002	Has not my consent been daily asked by his looks, his manner, his attentive and affectionate respect?	Has not my consent been daily asked by his looks, his manner, his attentive and affectionate respect?
227_129974_000038_000003	My Elinor, is it possible to doubt their engagement?	My Elinor, is it possible to doubt their engagement?
227_129974_000038_000004	How could such a thought occur to you?	How could such a thought occur to you?
227_129974_000038_000005	How is it to be supposed that Willoughby, persuaded as he must be of your sister's love, should leave her, and leave her perhaps for months, without telling her of his affection;--that they should part without a mutual exchange of confidence?"	How is it to be supposed that Willoughby, persuaded as he must be of your sister's love, should leave her, and leave her perhaps for months, without telling her of his affection;--that they should part without a mutual exchange of confidence?"
227_129974_000039_000000	"I confess," replied Elinor, "that every circumstance except ONE is in favour of their engagement; but that ONE is the total silence of both on the subject, and with me it almost outweighs every other."	"I confess," replied Elinor, "that every circumstance except ONE is in favour of their engagement; but that ONE is the total silence of both on the subject, and with me it almost outweighs every other."
227_129974_000040_000000	"How strange this is!	"How strange this is!
227_129974_000040_000001	You must think wretchedly indeed of Willoughby, if, after all that has openly passed between them, you can doubt the nature of the terms on which they are together.	You must think wretchedly indeed of Willoughby, if, after all that has openly passed between them, you can doubt the nature of the terms on which they are together.
227_129974_000040_000002	Has he been acting a part in his behaviour to your sister all this time?	Has he been acting a part in his behaviour to your sister all this time?
227_129974_000040_000003	Do you suppose him really indifferent to her?"	Do you suppose him really indifferent to her?"
227_129974_000041_000000	"No, I cannot think that.	"No, I cannot think that.
227_129974_000041_000001	He must and does love her I am sure."	He must and does love her I am sure."
227_129974_000043_000000	"You must remember, my dear mother, that I have never considered this matter as certain.	"You must remember, my dear mother, that I have never considered this matter as certain.
227_129974_000043_000001	I have had my doubts, I confess; but they are fainter than they were, and they may soon be entirely done away.	I have had my doubts, I confess; but they are fainter than they were, and they may soon be entirely done away.
227_129974_000043_000002	If we find they correspond, every fear of mine will be removed."	If we find they correspond, every fear of mine will be removed."
227_129974_000044_000000	"A mighty concession indeed!	"A mighty concession indeed!
227_129974_000044_000001	If you were to see them at the altar, you would suppose they were going to be married.	If you were to see them at the altar, you would suppose they were going to be married.
227_129974_000044_000002	Ungracious girl!	Ungracious girl!
227_129974_000044_000003	But I require no such proof.	But I require no such proof.
227_129974_000044_000004	Nothing in my opinion has ever passed to justify doubt; no secrecy has been attempted; all has been uniformly open and unreserved.	Nothing in my opinion has ever passed to justify doubt; no secrecy has been attempted; all has been uniformly open and unreserved.
227_129974_000044_000005	You cannot doubt your sister's wishes.	You cannot doubt your sister's wishes.
227_129974_000044_000006	It must be Willoughby therefore whom you suspect.	It must be Willoughby therefore whom you suspect.
227_129974_000044_000007	But why?	But why?
227_129974_000044_000008	Is he not a man of honour and feeling?	Is he not a man of honour and feeling?
227_129974_000044_000009	Has there been any inconsistency on his side to create alarm?	Has there been any inconsistency on his side to create alarm?
227_129974_000044_000010	can he be deceitful?"	can he be deceitful?"
227_129974_000045_000000	"I hope not, I believe not," cried Elinor.	"I hope not, I believe not," cried Elinor.
227_129974_000045_000001	"I love Willoughby, sincerely love him; and suspicion of his integrity cannot be more painful to yourself than to me.	"I love Willoughby, sincerely love him; and suspicion of his integrity cannot be more painful to yourself than to me.
227_129974_000045_000002	It has been involuntary, and I will not encourage it.	It has been involuntary, and I will not encourage it.
227_129974_000045_000004	But all this may be explained by such a situation of his affairs as you have supposed.	But all this may be explained by such a situation of his affairs as you have supposed.
227_129974_000046_000000	"You speak very properly.	"You speak very properly.
227_129974_000046_000001	Willoughby certainly does not deserve to be suspected.	Willoughby certainly does not deserve to be suspected.
227_129974_000046_000003	It is an engagement in some respects not prosperously begun, for their marriage must be at a very uncertain distance; and even secrecy, as far as it can be observed, may now be very advisable."	It is an engagement in some respects not prosperously begun, for their marriage must be at a very uncertain distance; and even secrecy, as far as it can be observed, may now be very advisable."
227_129974_000047_000000	They were interrupted by the entrance of Margaret; and Elinor was then at liberty to think over the representations of her mother, to acknowledge the probability of many, and hope for the justice of all.	They were interrupted by the entrance of Margaret; and Elinor was then at liberty to think over the representations of her mother, to acknowledge the probability of many, and hope for the justice of all.
227_129974_000048_000001	Her eyes were red and swollen; and it seemed as if her tears were even then restrained with difficulty.	Her eyes were red and swollen; and it seemed as if her tears were even then restrained with difficulty.
227_129974_000048_000002	She avoided the looks of them all, could neither eat nor speak, and after some time, on her mother's silently pressing her hand with tender compassion, her small degree of fortitude was quite overcome, she burst into tears and left the room.	She avoided the looks of them all, could neither eat nor speak, and after some time, on her mother's silently pressing her hand with tender compassion, her small degree of fortitude was quite overcome, she burst into tears and left the room.
227_129974_000049_000000	This violent oppression of spirits continued the whole evening.	This violent oppression of spirits continued the whole evening.
227_129974_000049_000001	She was without any power, because she was without any desire of command over herself.	She was without any power, because she was without any desire of command over herself.
