459_123443_000002_000000	CHAPTER V. Advice from a Caterpillar	CHAPTER five Advice from a Caterpillar
459_123443_000030_000000	'In my youth,' Father William replied to his son, 'I feared it might injure the brain; But, now that I'm perfectly sure I have none, Why, I do it again and again.'	'In my youth,' Father William replied to his son, 'I feared it might injure the brain; But, now that I'm perfectly sure I have none, Why, I do it again and again.'
459_123443_000031_000000	'You are old,' said the youth, 'as I mentioned before, And have grown most uncommonly fat; Yet you turned a back-somersault in at the door-- Pray, what is the reason of that?'	'You are old,' said the youth, 'as I mentioned before, And have grown most uncommonly fat; Yet you turned a back somersault in at the door- Pray, what is the reason of that?'
459_123443_000032_000000	'In my youth,' said the sage, as he shook his grey locks, 'I kept all my limbs very supple By the use of this ointment--one shilling the box-- Allow me to sell you a couple?'	'In my youth,' said the sage, as he shook his grey locks, 'I kept all my limbs very supple By the use of this ointment-one shilling the box- Allow me to sell you a couple?'
459_123443_000033_000000	'You are old,' said the youth, 'and your jaws are too weak For anything tougher than suet; Yet you finished the goose, with the bones and the beak-- Pray how did you manage to do it?'	'You are old,' said the youth, 'and your jaws are too weak For anything tougher than suet; Yet you finished the goose, with the bones and the beak- Pray how did you manage to do it?'
459_123443_000034_000000	'In my youth,' said his father, 'I took to the law, And argued each case with my wife; And the muscular strength, which it gave to my jaw, Has lasted the rest of my life.'	'In my youth,' said his father, 'I took to the law, And argued each case with my wife; And the muscular strength, which it gave to my jaw, Has lasted the rest of my life.'
459_123443_000035_000000	'You are old,' said the youth, 'one would hardly suppose That your eye was as steady as ever; Yet you balanced an eel on the end of your nose-- What made you so awfully clever?'	'You are old,' said the youth, 'one would hardly suppose That your eye was as steady as ever; Yet you balanced an eel on the end of your nose- What made you so awfully clever?'
459_123443_000036_000000	'I have answered three questions, and that is enough,' Said his father; 'don't give yourself airs! Do you think I can listen all day to such stuff? Be off, or I'll kick you down stairs!'	'I have answered three questions, and that is enough,' Said his father; 'don't give yourself airs! Do you think I can listen all day to such stuff? Be off, or I'll kick you down stairs!'
459_123443_000037_000000	'That is not said right,' said the Caterpillar.	'That is not said right,' said the Caterpillar.
459_123443_000038_000000	'Not QUITE right, I'm afraid,' said Alice, timidly; 'some of the words have got altered.'	'Not QUITE right, I'm afraid,' said Alice, timidly; 'some of the words have got altered.'
459_123443_000039_000000	'It is wrong from beginning to end,' said the Caterpillar decidedly, and there was silence for some minutes.	'It is wrong from beginning to end,' said the Caterpillar decidedly, and there was silence for some minutes.
459_123443_000040_000000	The Caterpillar was the first to speak.	The Caterpillar was the first to speak.
459_123443_000041_000000	'What size do you want to be?' it asked.	'What size do you want to be?' it asked.
459_123443_000042_000000	'Oh, I'm not particular as to size,' Alice hastily replied; 'only one doesn't like changing so often, you know.'	'Oh, I'm not particular as to size,' Alice hastily replied; 'only one doesn't like changing so often, you know.'
459_123443_000043_000000	'I DON'T know,' said the Caterpillar.	'I DON'T know,' said the Caterpillar.
459_123443_000044_000000	Alice said nothing: she had never been so much contradicted in her life before, and she felt that she was losing her temper.	Alice said nothing: she had never been so much contradicted in her life before, and she felt that she was losing her temper.
459_123443_000045_000000	'Are you content now?' said the Caterpillar.	'Are you content now?' said the Caterpillar.
459_123443_000046_000000	'Well, I should like to be a LITTLE larger, sir, if you wouldn't mind,' said Alice: 'three inches is such a wretched height to be.'	'Well, I should like to be a LITTLE larger, sir, if you wouldn't mind,' said Alice: 'three inches is such a wretched height to be.'
459_123443_000048_000000	'But I'm not used to it!' pleaded poor Alice in a piteous tone.	'But I'm not used to it!' pleaded poor Alice in a piteous tone.
459_123443_000049_000000	'You'll get used to it in time,' said the Caterpillar; and it put the hookah into its mouth and began smoking again.	'You'll get used to it in time,' said the Caterpillar; and it put the hookah into its mouth and began smoking again.
459_123443_000050_000000	This time Alice waited patiently until it chose to speak again.	This time Alice waited patiently until it chose to speak again.
459_123443_000050_000001	In a minute or two the Caterpillar took the hookah out of its mouth and yawned once or twice, and shook itself.	In a minute or two the Caterpillar took the hookah out of its mouth and yawned once or twice, and shook itself.
459_123443_000050_000002	Then it got down off the mushroom, and crawled away in the grass, merely remarking as it went, 'One side will make you grow taller, and the other side will make you grow shorter.'	Then it got down off the mushroom, and crawled away in the grass, merely remarking as it went, 'One side will make you grow taller, and the other side will make you grow shorter.'
459_123443_000051_000000	'One side of WHAT?	'One side of WHAT?
459_123443_000051_000001	The other side of WHAT?' thought Alice to herself.	The other side of WHAT?' thought Alice to herself.
459_123443_000052_000000	'Of the mushroom,' said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight.	'Of the mushroom,' said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight.
459_123443_000053_000000	Alice remained looking thoughtfully at the mushroom for a minute, trying to make out which were the two sides of it; and as it was perfectly round, she found this a very difficult question.	Alice remained looking thoughtfully at the mushroom for a minute, trying to make out which were the two sides of it; and as it was perfectly round, she found this a very difficult question.
459_123443_000053_000001	However, at last she stretched her arms round it as far as they would go, and broke off a bit of the edge with each hand.	However, at last she stretched her arms round it as far as they would go, and broke off a bit of the edge with each hand.
459_123443_000054_000000	'And now which is which?' she said to herself, and nibbled a little of the right-hand bit to try the effect: the next moment she felt a violent blow underneath her chin: it had struck her foot!	'And now which is which?' she said to herself, and nibbled a little of the right-hand bit to try the effect: the next moment she felt a violent blow underneath her chin: it had struck her foot!
459_123443_000055_000000	She was a good deal frightened by this very sudden change, but she felt that there was no time to be lost, as she was shrinking rapidly; so she set to work at once to eat some of the other bit.	She was a good deal frightened by this very sudden change, but she felt that there was no time to be lost, as she was shrinking rapidly; so she set to work at once to eat some of the other bit.
459_123443_000055_000001	Her chin was pressed so closely against her foot, that there was hardly room to open her mouth; but she did it at last, and managed to swallow a morsel of the lefthand bit.	Her chin was pressed so closely against her foot, that there was hardly room to open her mouth; but she did it at last, and managed to swallow a morsel of the lefthand bit.
459_123443_000056_000000	'Come, my head's free at last!' said Alice in a tone of delight, which changed into alarm in another moment, when she found that her shoulders were nowhere to be found: all she could see, when she looked down, was an immense length of neck, which seemed to rise like a stalk out of a sea of green leaves that lay far below her.	'Come, my head's free at last!' said Alice in a tone of delight, which changed into alarm in another moment, when she found that her shoulders were nowhere to be found: all she could see, when she looked down, was an immense length of neck, which seemed to rise like a stalk out of a sea of green leaves that lay far below her.
459_123443_000057_000000	'What CAN all that green stuff be?' said Alice. 'And where HAVE my shoulders got to?	'What CAN all that green stuff be?' said Alice. 'And where HAVE my shoulders got to?
459_123443_000057_000001	And oh, my poor hands, how is it I can't see you?' She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves.	And oh, my poor hands, how is it I can't see you?' She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves.
459_123443_000058_000000	As there seemed to be no chance of getting her hands up to her head, she tried to get her head down to them, and was delighted to find that her neck would bend about easily in any direction, like a serpent.	As there seemed to be no chance of getting her hands up to her head, she tried to get her head down to them, and was delighted to find that her neck would bend about easily in any direction, like a serpent.
459_123443_000058_000001	She had just succeeded in curving it down into a graceful zigzag, and was going to dive in among the leaves, which she found to be nothing but the tops of the trees under which she had been wandering, when a sharp hiss made her draw back in a hurry: a large pigeon had flown into her face, and was beating her violently with its wings.	She had just succeeded in curving it down into a graceful zigzag, and was going to dive in among the leaves, which she found to be nothing but the tops of the trees under which she had been wandering, when a sharp hiss made her draw back in a hurry: a large pigeon had flown into her face, and was beating her violently with its wings.
459_123443_000059_000000	'Serpent!' screamed the Pigeon.	'Serpent!' screamed the Pigeon.
459_123443_000060_000000	'I'm NOT a serpent!' said Alice indignantly.	'I'm NOT a serpent!' said Alice indignantly.
459_123443_000060_000001	'Let me alone!'	'Let me alone!'
459_123443_000061_000000	'Serpent, I say again!' repeated the Pigeon, but in a more subdued tone, and added with a kind of sob, 'I've tried every way, and nothing seems to suit them!'	'Serpent, I say again!' repeated the Pigeon, but in a more subdued tone, and added with a kind of sob, 'I've tried every way, and nothing seems to suit them!'
459_123443_000062_000000	'I haven't the least idea what you're talking about,' said Alice.	'I haven't the least idea what you're talking about,' said Alice.
459_123443_000063_000000	'I've tried the roots of trees, and I've tried banks, and I've tried hedges,' the Pigeon went on, without attending to her; 'but those serpents!	'I've tried the roots of trees, and I've tried banks, and I've tried hedges,' the Pigeon went on, without attending to her; 'but those serpents!
459_123443_000063_000001	There's no pleasing them!'	There's no pleasing them!'
459_123443_000064_000000	Alice was more and more puzzled, but she thought there was no use in saying anything more till the Pigeon had finished.	Alice was more and more puzzled, but she thought there was no use in saying anything more till the Pigeon had finished.
459_123443_000065_000000	'As if it wasn't trouble enough hatching the eggs,' said the Pigeon; 'but I must be on the look-out for serpents night and day!	'As if it wasn't trouble enough hatching the eggs,' said the Pigeon; 'but I must be on the look out for serpents night and day!
459_123443_000065_000001	Why, I haven't had a wink of sleep these three weeks!'	Why, I haven't had a wink of sleep these three weeks!'
459_123443_000066_000000	'I'm very sorry you've been annoyed,' said Alice, who was beginning to see its meaning.	'I'm very sorry you've been annoyed,' said Alice, who was beginning to see its meaning.
459_123443_000067_000000	'And just as I'd taken the highest tree in the wood,' continued the Pigeon, raising its voice to a shriek, 'and just as I was thinking I should be free of them at last, they must needs come wriggling down from the sky!	'And just as I'd taken the highest tree in the wood,' continued the Pigeon, raising its voice to a shriek, 'and just as I was thinking I should be free of them at last, they must needs come wriggling down from the sky!
459_123443_000067_000001	Ugh, Serpent!'	Ugh, Serpent!'
459_123443_000068_000000	'But I'm NOT a serpent, I tell you!' said Alice. 'I'm a--I'm a--'	'But I'm NOT a serpent, I tell you!' said Alice. 'I'm a-I'm a-'
459_123443_000069_000000	'Well!	'Well!
459_123443_000069_000001	WHAT are you?' said the Pigeon.	WHAT are you?' said the Pigeon.
459_123443_000069_000002	'I can see you're trying to invent something!'	'I can see you're trying to invent something!'
459_123443_000070_000000	'I--I'm a little girl,' said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day.	'I-I'm a little girl,' said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day.
459_123443_000071_000000	'A likely story indeed!' said the Pigeon in a tone of the deepest contempt.	'A likely story indeed!' said the Pigeon in a tone of the deepest contempt.
459_123443_000071_000002	No, no! You're a serpent; and there's no use denying it.	No, no! You're a serpent; and there's no use denying it.
459_123443_000072_000000	'I HAVE tasted eggs, certainly,' said Alice, who was a very truthful child; 'but little girls eat eggs quite as much as serpents do, you know.'	'I HAVE tasted eggs, certainly,' said Alice, who was a very truthful child; 'but little girls eat eggs quite as much as serpents do, you know.'
459_123443_000073_000000	'I don't believe it,' said the Pigeon; 'but if they do, why then they're a kind of serpent, that's all I can say.'	'I don't believe it,' said the Pigeon; 'but if they do, why then they're a kind of serpent, that's all I can say.'
459_123443_000074_000000	This was such a new idea to Alice, that she was quite silent for a minute or two, which gave the Pigeon the opportunity of adding, 'You're looking for eggs, I know THAT well enough; and what does it matter to me whether you're a little girl or a serpent?'	This was such a new idea to Alice, that she was quite silent for a minute or two, which gave the Pigeon the opportunity of adding, 'You're looking for eggs, I know THAT well enough; and what does it matter to me whether you're a little girl or a serpent?'
459_123443_000076_000000	'Well, be off, then!' said the Pigeon in a sulky tone, as it settled down again into its nest.	'Well, be off, then!' said the Pigeon in a sulky tone, as it settled down again into its nest.
459_123443_000076_000001	Alice crouched down among the trees as well as she could, for her neck kept getting entangled among the branches, and every now and then she had to stop and untwist it.	Alice crouched down among the trees as well as she could, for her neck kept getting entangled among the branches, and every now and then she had to stop and untwist it.
459_123443_000076_000002	After a while she remembered that she still held the pieces of mushroom in her hands, and she set to work very carefully, nibbling first at one and then at the other, and growing sometimes taller and sometimes shorter, until she had succeeded in bringing herself down to her usual height.	After a while she remembered that she still held the pieces of mushroom in her hands, and she set to work very carefully, nibbling first at one and then at the other, and growing sometimes taller and sometimes shorter, until she had succeeded in bringing herself down to her usual height.
459_123443_000077_000000	It was so long since she had been anything near the right size, that it felt quite strange at first; but she got used to it in a few minutes, and began talking to herself, as usual.	It was so long since she had been anything near the right size, that it felt quite strange at first; but she got used to it in a few minutes, and began talking to herself, as usual.
459_123443_000077_000001	'Come, there's half my plan done now!	'Come, there's half my plan done now!
459_123443_000077_000002	How puzzling all these changes are!	How puzzling all these changes are!
459_123443_000077_000003	I'm never sure what I'm going to be, from one minute to another!	I'm never sure what I'm going to be, from one minute to another!
459_123443_000077_000004	However, I've got back to my right size: the next thing is, to get into that beautiful garden--how IS that to be done, I wonder?' As she said this, she came suddenly upon an open place, with a little house in it about four feet high.	However, I've got back to my right size: the next thing is, to get into that beautiful garden-how IS that to be done, I wonder?' As she said this, she came suddenly upon an open place, with a little house in it about four feet high.
