459_123443_000000_000000	The great question certainly was, what?	The great question certainly was, what?	false	0	3.06	20.204044
459_123443_000024_000000	'I'm afraid I am, sir,' said Alice; 'I can't remember things as I used--and I don't keep the same size for ten minutes together!'	'I'm afraid I am, sir,' said Alice; 'I can't remember things as I used-and I don't keep the same size for ten minutes together!'	true	199.4	207.37	22.207024
459_123443_000025_000000	'Can't remember WHAT things?' said the Caterpillar.	'Can't remember WHAT things?' said the Caterpillar.	true	208.97	211.87	28.498028
459_123443_000026_000000	'Well, I've tried to say "HOW DOTH THE LITTLE BUSY BEE," but it all came different!' Alice replied in a very melancholy voice.	'Well, I've tried to say "HOW DOTH THE LITTLE BUSY BEE," but it all came different!' Alice replied in a very melancholy voice.	true	212.63	219.85	24.409307
459_123443_000027_000000	'Repeat, "YOU ARE OLD, FATHER WILLIAM,"' said the Caterpillar.	'Repeat, "YOU ARE OLD, FATHER WILLIAM,"' said the Caterpillar.	false	221.27	224.95	28.283407
459_123443_000028_000000	Alice folded her hands, and began:--	Alice folded her hands, and began:--	true	226.22	228.4	20.84852
459_123443_000029_000000	'You are old, Father William,' the young man said, 'And your hair has become very white; And yet you incessantly stand on your head-- Do you think, at your age, it is right?'	'You are old, Father William,' the young man said, 'And your hair has become very white; And yet you incessantly stand on your head- Do you think, at your age, it is right?'	true	229.31	238.93	23.252874
459_123443_000030_000000	'In my youth,' Father William replied to his son, 'I feared it might injure the brain; But, now that I'm perfectly sure I have none, Why, I do it again and again.'	'In my youth,' Father William replied to his son, 'I feared it might injure the brain; But, now that I'm perfectly sure I have none, Why, I do it again and again.'	true	239.78	248.8	22.486324
459_123443_000031_000000	'You are old,' said the youth, 'as I mentioned before, And have grown most uncommonly fat; Yet you turned a back-somersault in at the door-- Pray, what is the reason of that?'	'You are old,' said the youth, 'as I mentioned before, And have grown most uncommonly fat; Yet you turned a back somersault in at the door- Pray, what is the reason of that?'	true	249.65	259.39	22.039795
459_123443_000032_000000	'In my youth,' said the sage, as he shook his grey locks, 'I kept all my limbs very supple By the use of this ointment--one shilling the box-- Allow me to sell you a couple?'	'In my youth,' said the sage, as he shook his grey locks, 'I kept all my limbs very supple By the use of this ointment-one shilling the box- Allow me to sell you a couple?'	true	260.54	269.35	24.232092
459_123443_000033_000000	'You are old,' said the youth, 'and your jaws are too weak For anything tougher than suet; Yet you finished the goose, with the bones and the beak-- Pray how did you manage to do it?'	'You are old,' said the youth, 'and your jaws are too weak For anything tougher than suet; Yet you finished the goose, with the bones and the beak- Pray how did you manage to do it?'	true	270.77	280.3	22.804556
459_123443_000034_000000	'In my youth,' said his father, 'I took to the law, And argued each case with my wife; And the muscular strength, which it gave to my jaw, Has lasted the rest of my life.'	'In my youth,' said his father, 'I took to the law, And argued each case with my wife; And the muscular strength, which it gave to my jaw, Has lasted the rest of my life.'	true	281.39	290.77	25.279158
459_123443_000035_000000	'You are old,' said the youth, 'one would hardly suppose That your eye was as steady as ever; Yet you balanced an eel on the end of your nose-- What made you so awfully clever?'	'You are old,' said the youth, 'one would hardly suppose That your eye was as steady as ever; Yet you balanced an eel on the end of your nose- What made you so awfully clever?'	true	291.92	301.33	20.36003
459_123443_000036_000000	'I have answered three questions, and that is enough,' Said his father; 'don't give yourself airs! Do you think I can listen all day to such stuff? Be off, or I'll kick you down stairs!'	'I have answered three questions, and that is enough,' Said his father; 'don't give yourself airs! Do you think I can listen all day to such stuff? Be off, or I'll kick you down stairs!'	true	302.33	311.26	22.41914
459_123443_000037_000000	'That is not said right,' said the Caterpillar.	'That is not said right,' said the Caterpillar.	true	313.1	315.79	24.857956
459_123443_000038_000000	'Not QUITE right, I'm afraid,' said Alice, timidly; 'some of the words have got altered.'	'Not QUITE right, I'm afraid,' said Alice, timidly; 'some of the words have got altered.'	true	317.18	322.84	28.363873
459_123443_000039_000000	'It is wrong from beginning to end,' said the Caterpillar decidedly, and there was silence for some minutes.	'It is wrong from beginning to end,' said the Caterpillar decidedly, and there was silence for some minutes.	true	324.32	330.91	22.806221
459_123443_000040_000000	The Caterpillar was the first to speak.	The Caterpillar was the first to speak.	true	332.3	334.45	25.632072
459_123443_000041_000000	'What size do you want to be?' it asked.	'What size do you want to be?' it asked.	true	335.48	338.38	26.236795
459_123443_000042_000000	'Oh, I'm not particular as to size,' Alice hastily replied; 'only one doesn't like changing so often, you know.'	'Oh, I'm not particular as to size,' Alice hastily replied; 'only one doesn't like changing so often, you know.'	true	339.71	346.69	24.628725
459_123443_000043_000000	'I DON'T know,' said the Caterpillar.	'I DON'T know,' said the Caterpillar.	true	347.81	350.23	25.929585
459_123443_000044_000000	Alice said nothing: she had never been so much contradicted in her life before, and she felt that she was losing her temper.	Alice said nothing: she had never been so much contradicted in her life before, and she felt that she was losing her temper.	true	351.47	358.72	20.784983
459_123443_000045_000000	'Are you content now?' said the Caterpillar.	'Are you content now?' said the Caterpillar.	true	360.62	363.4	27.067308
459_123443_000046_000000	'Well, I should like to be a LITTLE larger, sir, if you wouldn't mind,' said Alice: 'three inches is such a wretched height to be.'	'Well, I should like to be a LITTLE larger, sir, if you wouldn't mind,' said Alice: 'three inches is such a wretched height to be.'	true	364.64	371.95	21.830061
459_123443_000047_000000	'It is a very good height indeed!' said the Caterpillar angrily, rearing itself upright as it spoke (it was exactly three inches high).	'It is a very good height indeed!' said the Caterpillar angrily, rearing itself upright as it spoke (it was exactly three inches high).	false	373.01	380.86	22.143908
459_123443_000048_000000	'But I'm not used to it!' pleaded poor Alice in a piteous tone.	'But I'm not used to it!' pleaded poor Alice in a piteous tone.	true	381.83	385.54	28.804644
459_123443_000048_000001	And she thought of herself, 'I wish the creatures wouldn't be so easily offended!'	And she thought of herself, 'I wish the creatures wouldn't be so easily offended!'	false	385.82	391.6	21.862041
459_123443_000049_000000	'You'll get used to it in time,' said the Caterpillar; and it put the hookah into its mouth and began smoking again.	'You'll get used to it in time,' said the Caterpillar; and it put the hookah into its mouth and began smoking again.	true	391.67	398.53	23.059372
459_123443_000050_000000	This time Alice waited patiently until it chose to speak again.	This time Alice waited patiently until it chose to speak again.	true	399.71	403.78	23.98968
459_123443_000050_000001	In a minute or two the Caterpillar took the hookah out of its mouth and yawned once or twice, and shook itself.	In a minute or two the Caterpillar took the hookah out of its mouth and yawned once or twice, and shook itself.	true	404.45	410.86	23.650225
459_123443_000050_000002	Then it got down off the mushroom, and crawled away in the grass, merely remarking as it went, 'One side will make you grow taller, and the other side will make you grow shorter.'	Then it got down off the mushroom, and crawled away in the grass, merely remarking as it went, 'One side will make you grow taller, and the other side will make you grow shorter.'	true	411.56	421.69	22.31504
459_123443_000051_000000	'One side of WHAT?	'One side of WHAT?	true	423.38	424.605	25.075453
459_123443_000051_000001	The other side of WHAT?' thought Alice to herself.	The other side of WHAT?' thought Alice to herself.	true	424.605	427.36	21.233114
459_123443_000052_000000	'Of the mushroom,' said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight.	'Of the mushroom,' said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight.	true	428.24	435.46	21.060535
459_123443_000053_000000	Alice remained looking thoughtfully at the mushroom for a minute, trying to make out which were the two sides of it; and as it was perfectly round, she found this a very difficult question.	Alice remained looking thoughtfully at the mushroom for a minute, trying to make out which were the two sides of it; and as it was perfectly round, she found this a very difficult question.	true	437.27	446.77	21.108082
459_123443_000053_000001	However, at last she stretched her arms round it as far as they would go, and broke off a bit of the edge with each hand.	However, at last she stretched her arms round it as far as they would go, and broke off a bit of the edge with each hand.	true	447.47	454.27	21.493917
459_123443_000054_000000	'And now which is which?' she said to herself, and nibbled a little of the right-hand bit to try the effect: the next moment she felt a violent blow underneath her chin: it had struck her foot!	'And now which is which?' she said to herself, and nibbled a little of the right-hand bit to try the effect: the next moment she felt a violent blow underneath her chin: it had struck her foot!	true	455.78	467.29	24.267942
459_123443_000055_000000	She was a good deal frightened by this very sudden change, but she felt that there was no time to be lost, as she was shrinking rapidly; so she set to work at once to eat some of the other bit.	She was a good deal frightened by this very sudden change, but she felt that there was no time to be lost, as she was shrinking rapidly; so she set to work at once to eat some of the other bit.	true	468.41	478.48	21.157782
459_123443_000055_000001	Her chin was pressed so closely against her foot, that there was hardly room to open her mouth; but she did it at last, and managed to swallow a morsel of the lefthand bit.	Her chin was pressed so closely against her foot, that there was hardly room to open her mouth; but she did it at last, and managed to swallow a morsel of the lefthand bit.	true	479.12	488.74	21.642525
459_123443_000056_000000	'Come, my head's free at last!' said Alice in a tone of delight, which changed into alarm in another moment, when she found that her shoulders were nowhere to be found: all she could see, when she looked down, was an immense length of neck, which seemed to rise like a stalk out of a sea of green leaves that lay far below her.	'Come, my head's free at last!' said Alice in a tone of delight, which changed into alarm in another moment, when she found that her shoulders were nowhere to be found: all she could see, when she looked down, was an immense length of neck, which seemed to rise like a stalk out of a sea of green leaves that lay far below her.	true	490.97	510.43	23.13414
459_123443_000057_000000	'What CAN all that green stuff be?' said Alice. 'And where HAVE my shoulders got to?	'What CAN all that green stuff be?' said Alice. 'And where HAVE my shoulders got to?	true	511.79	517.06	24.030775
459_123443_000057_000001	And oh, my poor hands, how is it I can't see you?' She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves.	And oh, my poor hands, how is it I can't see you?' She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves.	true	517.37	528.52	22.02506
459_123443_000058_000000	As there seemed to be no chance of getting her hands up to her head, she tried to get her head down to them, and was delighted to find that her neck would bend about easily in any direction, like a serpent.	As there seemed to be no chance of getting her hands up to her head, she tried to get her head down to them, and was delighted to find that her neck would bend about easily in any direction, like a serpent.	true	529.94	541.27	23.084717
459_123443_000058_000001	She had just succeeded in curving it down into a graceful zigzag, and was going to dive in among the leaves, which she found to be nothing but the tops of the trees under which she had been wandering, when a sharp hiss made her draw back in a hurry: a large pigeon had flown into her face, and was beating her violently with its wings.	She had just succeeded in curving it down into a graceful zigzag, and was going to dive in among the leaves, which she found to be nothing but the tops of the trees under which she had been wandering, when a sharp hiss made her draw back in a hurry: a large pigeon had flown into her face, and was beating her violently with its wings.	true	541.97	561.37	22.486935
459_123443_000059_000000	'Serpent!' screamed the Pigeon.	'Serpent!' screamed the Pigeon.	true	562.1	564.13	25.813543
459_123443_000060_000000	'I'm NOT a serpent!' said Alice indignantly.	'I'm NOT a serpent!' said Alice indignantly.	true	564.89	567.34	23.804567
459_123443_000060_000001	'Let me alone!'	'Let me alone!'	true	567.38	568.63	21.70421
459_123443_000061_000000	'Serpent, I say again!' repeated the Pigeon, but in a more subdued tone, and added with a kind of sob, 'I've tried every way, and nothing seems to suit them!'	'Serpent, I say again!' repeated the Pigeon, but in a more subdued tone, and added with a kind of sob, 'I've tried every way, and nothing seems to suit them!'	true	569.09	578.65	22.341726
459_123443_000062_000000	'I haven't the least idea what you're talking about,' said Alice.	'I haven't the least idea what you're talking about,' said Alice.	true	580.13	583.3	25.559044
459_123443_000063_000000	'I've tried the roots of trees, and I've tried banks, and I've tried hedges,' the Pigeon went on, without attending to her; 'but those serpents!	'I've tried the roots of trees, and I've tried banks, and I've tried hedges,' the Pigeon went on, without attending to her; 'but those serpents!	true	583.97	591.675	22.764473
459_123443_000063_000001	There's no pleasing them!'	There's no pleasing them!'	true	591.675	593.23	27.085453
459_123443_000064_000000	Alice was more and more puzzled, but she thought there was no use in saying anything more till the Pigeon had finished.	Alice was more and more puzzled, but she thought there was no use in saying anything more till the Pigeon had finished.	true	594.71	601.87	22.212439
459_123443_000065_000000	'As if it wasn't trouble enough hatching the eggs,' said the Pigeon; 'but I must be on the look-out for serpents night and day!	'As if it wasn't trouble enough hatching the eggs,' said the Pigeon; 'but I must be on the look out for serpents night and day!	true	602.78	609.28	24.447388
459_123443_000065_000001	Why, I haven't had a wink of sleep these three weeks!'	Why, I haven't had a wink of sleep these three weeks!'	true	609.35	612.52	24.129263
459_123443_000066_000000	'I'm very sorry you've been annoyed,' said Alice, who was beginning to see its meaning.	'I'm very sorry you've been annoyed,' said Alice, who was beginning to see its meaning.	true	613.97	618.22	20.432135
459_123443_000067_000000	'And just as I'd taken the highest tree in the wood,' continued the Pigeon, raising its voice to a shriek, 'and just as I was thinking I should be free of them at last, they must needs come wriggling down from the sky!	'And just as I'd taken the highest tree in the wood,' continued the Pigeon, raising its voice to a shriek, 'and just as I was thinking I should be free of them at last, they must needs come wriggling down from the sky!	true	619.07	631.06	23.049726
459_123443_000067_000001	Ugh, Serpent!'	Ugh, Serpent!'	true	631.1	632.5	28.942362
459_123443_000068_000000	'But I'm NOT a serpent, I tell you!' said Alice. 'I'm a--I'm a--'	'But I'm NOT a serpent, I tell you!' said Alice. 'I'm a-I'm a-'	true	633.77	637.96	24.73834
459_123443_000069_000000	'Well!	'Well!	true	638.87	639.525	26.436415
459_123443_000069_000001	WHAT are you?' said the Pigeon.	WHAT are you?' said the Pigeon.	true	639.525	641.29	25.07407
459_123443_000069_000002	'I can see you're trying to invent something!'	'I can see you're trying to invent something!'	true	641.36	643.51	22.943434
459_123443_000070_000000	'I--I'm a little girl,' said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day.	'I-I'm a little girl,' said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day.	true	644.63	651.25	23.851336
459_123443_000071_000000	'A likely story indeed!' said the Pigeon in a tone of the deepest contempt.	'A likely story indeed!' said the Pigeon in a tone of the deepest contempt.	true	652.19	657.01	29.309511
459_123443_000071_000001	'I've seen a good many little girls in my time, but never ONE with such a neck as that!	'I've seen a good many little girls in my time, but never ONE with such a neck as that!	false	657.26	661.57	22.724691
459_123443_000071_000002	No, no! You're a serpent; and there's no use denying it.	No, no! You're a serpent; and there's no use denying it.	true	661.7	664.87	27.76127
459_123443_000071_000003	I suppose you'll be telling me next that you never tasted an egg!'	I suppose you'll be telling me next that you never tasted an egg!'	false	664.88	668.11	20.466362
459_123443_000072_000000	'I HAVE tasted eggs, certainly,' said Alice, who was a very truthful child; 'but little girls eat eggs quite as much as serpents do, you know.'	'I HAVE tasted eggs, certainly,' said Alice, who was a very truthful child; 'but little girls eat eggs quite as much as serpents do, you know.'	true	669.14	676.99	22.830837
459_123443_000073_000000	'I don't believe it,' said the Pigeon; 'but if they do, why then they're a kind of serpent, that's all I can say.'	'I don't believe it,' said the Pigeon; 'but if they do, why then they're a kind of serpent, that's all I can say.'	true	678.62	684.7	27.701685
459_123443_000074_000000	This was such a new idea to Alice, that she was quite silent for a minute or two, which gave the Pigeon the opportunity of adding, 'You're looking for eggs, I know THAT well enough; and what does it matter to me whether you're a little girl or a serpent?'	This was such a new idea to Alice, that she was quite silent for a minute or two, which gave the Pigeon the opportunity of adding, 'You're looking for eggs, I know THAT well enough; and what does it matter to me whether you're a little girl or a serpent?'	true	686.36	699.94	24.32974
459_123443_000075_000000	'It matters a good deal to ME,' said Alice hastily; 'but I'm not looking for eggs, as it happens; and if I was, I shouldn't want YOURS: I don't like them raw.'	'It matters a good deal to m e,' said Alice hastily; 'but I'm not looking for eggs, as it happens; and if I was, I shouldn't want YOURS: I don't like them raw.'	false	701.09	710.29	21.182264
459_123443_000076_000000	'Well, be off, then!' said the Pigeon in a sulky tone, as it settled down again into its nest.	'Well, be off, then!' said the Pigeon in a sulky tone, as it settled down again into its nest.	true	711.11	716.89	21.865744
459_123443_000076_000001	Alice crouched down among the trees as well as she could, for her neck kept getting entangled among the branches, and every now and then she had to stop and untwist it.	Alice crouched down among the trees as well as she could, for her neck kept getting entangled among the branches, and every now and then she had to stop and untwist it.	true	717.77	726.58	23.267458
459_123443_000076_000002	After a while she remembered that she still held the pieces of mushroom in her hands, and she set to work very carefully, nibbling first at one and then at the other, and growing sometimes taller and sometimes shorter, until she had succeeded in bringing herself down to her usual height.	After a while she remembered that she still held the pieces of mushroom in her hands, and she set to work very carefully, nibbling first at one and then at the other, and growing sometimes taller and sometimes shorter, until she had succeeded in bringing herself down to her usual height.	true	727.22	743.83	23.662357
459_123443_000077_000000	It was so long since she had been anything near the right size, that it felt quite strange at first; but she got used to it in a few minutes, and began talking to herself, as usual.	It was so long since she had been anything near the right size, that it felt quite strange at first; but she got used to it in a few minutes, and began talking to herself, as usual.	true	745.31	755.68	23.227165
459_123443_000077_000001	'Come, there's half my plan done now!	'Come, there's half my plan done now!	true	756.44	758.68	24.315226
459_123443_000077_000002	How puzzling all these changes are!	How puzzling all these changes are!	true	758.93	760.99	22.456955
459_123443_000077_000003	I'm never sure what I'm going to be, from one minute to another!	I'm never sure what I'm going to be, from one minute to another!	true	761.15	764.2	24.142624
459_123443_000077_000004	However, I've got back to my right size: the next thing is, to get into that beautiful garden--how IS that to be done, I wonder?' As she said this, she came suddenly upon an open place, with a little house in it about four feet high.	However, I've got back to my right size: the next thing is, to get into that beautiful garden-how IS that to be done, I wonder?' As she said this, she came suddenly upon an open place, with a little house in it about four feet high.	true	764.39	778.9	24.302807
459_123443_000077_000005	'Whoever lives there,' thought Alice, 'it'll never do to come upon them THIS size: why, I should frighten them out of their wits!' So she began nibbling at the righthand bit again, and did not venture to go near the house till she had brought herself down to nine inches high.	'Whoever lives there,' thought Alice, 'it'll never do to come upon them THIS size: why, I should frighten them out of their wits!' So she began nibbling at the righthand bit again, and did not venture to go near the house till she had brought herself down to nine inches high.	false	780.11	809.1	21.80807
