5157_47239_000000_000000	My dear Lord, your's, most sincerely,	My dear Lord, your's, most sincerely,	false	1.77	13.95	16
5157_47239_000009_000001	But I thought it would not be prudent to break with ******; who, really, has shewn the greatest civility to us, when we were last in England, and since we returned: and she has, at last, acquiesced to my opinion.	But I thought it would not be prudent to break with asterisk asterisk asterisk asterisk asterisk asterisk; who, really, has shewn the greatest civility to us, when we were last in England, and since we returned: and she has, at last, acquiesced to my opinion.	false	129.35	144.16	15.869542
5157_47239_000010_000000	I have been thus explicit, as I know well your Lordship's way of thinking; and your very kind attachment to us, and to every thing that concerns us.	I have been thus explicit, as I know well your Lordship's way of thinking; and your very kind attachment to us, and to every thing that concerns us.	false	145.37	155.58	18.36356
5157_47239_000011_000000	The King caught cold at the Chapel the other day, and there was no levee yesterday; and, to-day, the Queen alone will be at the drawing-room: and, I believe, the new ministry will not be quite fixed, until the levee-day next week.	The King caught cold at the Chapel the other day, and there was no levee yesterday; and, to day, the Queen alone will be at the drawing room: and, I believe, the new ministry will not be quite fixed, until the levee day next week.	false	155.58	169.78	19
5157_47239_000012_000000	As to my business--I have done all I can to bring it to a point.	As to my business-I have done all I can to bring it to a point.	true	170.81	174.97	19
5157_47239_000013_000000	The pension recommended by Lord Grenville was only like Walpole's--a nominal two thousand pounds.	The pension recommended by Lord Grenville was only like Walpole's-a nominal two thousand pounds.	true	175.97	183.04	18
5157_47239_000013_000001	I have represented the injustice of that--after my having had the King's promise of not being removed from Naples, but at my own request; and having only empowered Lord Grenville to remove me, on securing to me a nett income of two thousand pounds per annum.	I have represented the injustice of that-after my having had the King's promise of not being removed from Naples, but at my own request; and having only empowered Lord Grenville to remove me, on securing to me a nett income of two thousand pounds per annum.	false	183.95	201.52	17
5157_47239_000014_000000	Lord Grenville has recommended to the Treasury, the taking my extraordinary expences into consideration.	Lord Grenville has recommended to the Treasury, the taking my extraordinary expences into consideration.	false	202.67	209.65	16
5157_47239_000015_000000	I have fully demonstrated, to Lord Grenville and Treasury, that eight thousand pounds is absolutely necessary for the clearing off my unfunded debt, without making up for my losses.	I have fully demonstrated, to Lord Grenville and Treasury, that eight thousand pounds is absolutely necessary for the clearing off my unfunded debt, without making up for my losses.	false	210.92	222.34	15
5157_47239_000016_000000	Upon the whole, then, I do not expect to get more than the nett annuity above mentioned, and the eight thousand pounds.	Upon the whole, then, I do not expect to get more than the nett annuity above mentioned, and the eight thousand pounds.	true	224.15	232.09	17
5157_47239_000016_000001	But, unless that is granted, I shall, indeed, have been very ill-used!	But, unless that is granted, I shall, indeed, have been very ill used!	true	233.42	238.87	19.010324
5157_47239_000016_000002	I hope, in my next, to be able to inform your Lordship that all has been finally settled.	I hope, in my next, to be able to inform your Lordship that all has been finally settled.	true	239.39	244.99	17
5157_47239_000017_000000	I am busy in putting in order the remains of my vases and pictures, that you so kindly saved for me on board the Fourdroyant; and the sale of them will enable me to go on more at my ease, and not leave a debt unpaid.	I am busy in putting in order the remains of my vases and pictures, that you so kindly saved for me on board the Fourdroyant; and the sale of them will enable me to go on more at my ease, and not leave a debt unpaid.	false	245.84	259.87	19
5157_47239_000017_000001	But, unfortunately, there have been too many picture sales this year, and mine will come late.	But, unfortunately, there have been too many picture sales this year, and mine will come late.	true	260.12	266.61	17.83095
5157_47239_000018_000000	Adieu! my very dear Lord.	Adieu! my very dear Lord.	false	266.61	269.59	14.846047
5157_47239_000018_000001	May health and success attend you, wherever you go!	May health and success attend you, wherever you go!	true	269.87	273.55	17.384134
5157_47239_000018_000002	And, I flatter myself, this political jumble may hasten a peace, and bring you back soon.	And, I flatter myself, this political jumble may hasten a peace, and bring you back soon.	true	274.22	280.09	15
5157_47239_000019_000000	Your Lordship's ever obliged, and most sincerely attached, friend and servant,	Your Lordship's ever obliged, and most sincerely attached, friend and servant,	true	281.09	287.16	16.53615
5157_47239_000020_000000	Wm.	w m.	false	287.16	288.18	20
5157_47239_000020_000001	HAMILTON.	HAMILTON.	true	288.18	288.97	6
5157_47239_000021_000000	VIII.	eight.	true	289.64	290.41	18.613768
5157_47239_000022_000000	Piccadilly, February 20th, 1801.	Piccadilly, february twentieth eighteen o one.	false	290.69	294.99	17.676659
5157_47239_000023_000000	MY DEAR LORD,	MY DEAR LORD,	false	294.99	295.77	-3
5157_47239_000024_000000	You need not be the least alarmed, that Emma has commissioned me to send you the newspapers; and write you a line, to tell you that she is much better--having vomited naturally, and is now purposing to take a regular one of tartar emetic.	You need not be the least alarmed, that Emma has commissioned me to send you the newspapers; and write you a line, to tell you that she is much better-having vomited naturally, and is now purposing to take a regular one of tartar emetic.	true	295.77	311.71	16
5157_47239_000025_000000	All her convulsive complaints certainly proceed from a foul stomach; and I will answer for it, she will be in spirits to write to you herself to-morrow.	All her convulsive complaints certainly proceed from a foul stomach; and I will answer for it, she will be in spirits to write to you herself to morrow.	false	312.5	322.71	17.114927
5157_47239_000026_000000	Adieu! my very dear Lord.	Adieu! my very dear Lord.	false	322.71	324.46	17.491182
5157_47239_000026_000001	I have not a moment to lose, as the bell is going.	I have not a moment to lose, as the bell is going.	true	324.53	327.37	12
5157_47239_000027_000000	Your ever attached and obliged humble servant,	Your ever attached and obliged humble servant,	true	327.65	330.54	11
5157_47239_000028_000000	Wm.	w m.	false	330.54	331.2	22
5157_47239_000028_000001	HAMILTON.	HAMILTON.	true	331.2	331.83	3
5157_47239_000029_000000	IX.	IX.	false	331.83	333.75	15.876102
5157_47239_000030_000000	Piccadilly, March 7th, 1801.	Piccadilly, march seventh eighteen o one.	false	333.75	337.54	18
5157_47239_000031_000000	MY VERY DEAR LORD,	MY VERY DEAR LORD,	true	338.15	339.58	17
5157_47239_000032_000000	I wish it was in my power to profit of your kind invitation; you would soon see me and Emma on board the St. George: but I am now totally occupied in preparing for the sale of my pictures, and what I have saved of my vases.	I wish it was in my power to profit of your kind invitation; you would soon see me and Emma on board the saint George: but I am now totally occupied in preparing for the sale of my pictures, and what I have saved of my vases.	false	340.25	356.05	16
5157_47239_000033_000000	To my great satisfaction, I have found some of the most capital vases; and which I thought, surely, lost on board the Colossus.	To my great satisfaction, I have found some of the most capital vases; and which I thought, surely, lost on board the Colossus.	true	357.02	365.35	16
5157_47239_000033_000001	It has comforted me much.	It has comforted me much.	true	365.6	367.6	14
5157_47239_000034_000000	We remain in the same cruel state with respect to the King's recovery. There can be no doubt, but that his Majesty is better.	We remain in the same cruel state with respect to the King's recovery. There can be no doubt, but that his Majesty is better.	true	369.26	376.93	19.401209
5157_47239_000034_000001	However, if my conjectures are true, the Regency must soon take place: as it may be long before his Majesty could be troubled with business, supposing even his _fever_ to have totally subsided; and, the times admit of no delays.	However, if my conjectures are true, the Regency must soon take place: as it may be long before his Majesty could be troubled with business, supposing even his underscore fever underscore to have totally subsided; and, the times admit of no delays.	false	377.24	393.1	16
5157_47239_000035_000000	We see, now, the certainty of the French squadron's being in the Mediterranean.	We see, now, the certainty of the French squadron's being in the Mediterranean.	true	394.04	398.92	17
5157_47239_000035_000001	God knows, how all this will end!	God knows, how all this will end!	true	399.32	401.5	14
5157_47239_000035_000002	But I hope it will be your Lordship's lot to bring Paul to his senses.	But I hope it will be your Lordship's lot to bring Paul to his senses.	true	401.84	406.18	12
5157_47239_000036_000000	God send you every success; and send you home, safe and well, crowned with additional laurels!	God send you every success; and send you home, safe and well, crowned with additional laurels!	true	407.69	414.16	16.24139
5157_47239_000036_000001	And then, I hope, you will repose your shattered frame; and make your friends happy, by staying with them.	And then, I hope, you will repose your shattered frame; and make your friends happy, by staying with them.	true	414.32	420.64	16
5157_47239_000037_000000	Emma	Emma	true	420.95	421.35	41
5157_47239_000038_000000	Emma is certainly much better, but not quite free from bile.	Emma is certainly much better, but not quite free from bile.	false	421.35	424.96	19.57388
5157_47239_000039_000000	Ever, my dear Lord, your Lordship's most attached, and eternally obliged, humble servant,	Ever, my dear Lord, your Lordship's most attached, and eternally obliged, humble servant,	true	425.6	431.31	14
5157_47239_000040_000000	Wm.	w m.	false	431.31	432.27	18
5157_47239_000040_000001	HAMILTON.	HAMILTON.	true	432.27	432.87	2
5157_47239_000041_000000	X.	X.	false	432.87	435.18	15.021227
5157_47239_000042_000000	Piccadilly, April 16th, 1801.	Piccadilly, april sixteenth eighteen o one.	true	435.18	438.07	13
5157_47239_000043_000000	What can I say, my Dear Lord! that would convey the smallest idea of what we felt yesterday, on receiving the authentic letters confirming your late most glorious victory: and read, in your own hand, that God had not only granted you complete success against the enemies of our country; but, in the midst of such perils, prevented your receiving the smallest scratch!	What can I say, my Dear Lord! that would convey the smallest idea of what we felt yesterday, on receiving the authentic letters confirming your late most glorious victory: and read, in your own hand, that God had not only granted you complete success against the enemies of our country; but, in the midst of such perils, prevented your receiving the smallest scratch!	true	438.83	463.3	15
5157_47239_000044_000000	We can only repeat what we knew well, and often said, before--that Nelson _was_, _is_, and to the _last_ will ever be, _the first_.	We can only repeat what we knew well, and often said, before-that Nelson underscore was underscore, underscore is underscore, and to the underscore last underscore will ever be, underscore the first underscore.	false	464.57	474.9	20.14229
5157_47239_000045_000000	However, we all agree that, when we get you safe home once more--that you should never more risk your shattered frame.	However, we all agree that, when we get you safe home once more-that you should never more risk your shattered frame.	false	474.9	481.9	18
5157_47239_000046_000000	You have done enough, and are well entitled to the motto of Virgil--	You have done enough, and are well entitled to the motto of Virgil-	true	482.36	486.72	16
5157_47239_000047_000000	"_Hic Victor caestus artemque repono_."	"underscore Hic Victor caestus artemque repono underscore."	false	486.72	492.69	16.943651
5157_47239_000048_000000	The famous Broughton, after he had beaten every opponent, that dared to measure hard blows with him, set up an ale-house--the Broughton's Head--in London, with the above verse of Virgil under it.	The famous Broughton, after he had beaten every opponent, that dared to measure hard blows with him, set up an ale house-the Broughton's Head-in London, with the above verse of Virgil under it.	true	492.69	505.15	18
5157_47239_000048_000001	Some years after, he was persuaded to accept the challenge of a coachman, and was beaten.	Some years after, he was persuaded to accept the challenge of a coachman, and was beaten.	false	505.58	511.6	18
5157_47239_000049_000000	Not that I mean to convey, that any such thing could happen to your Lordship; but, you have done enough.	Not that I mean to convey, that any such thing could happen to your Lordship; but, you have done enough.	true	513.11	519.16	17.552399
5157_47239_000049_000001	Let others follow your examples; they will be remembered to the latest posterity.	Let others follow your examples; they will be remembered to the latest posterity.	true	519.98	525.4	15
5157_47239_000050_000000	It appeared to me most extraordinary, that the 6th inst. the date of your last letter to Emma, the death of the Emperor Paul (which we have no doubt of here) should not be known at Copenhagen!	It appeared to me most extraordinary, that the sixth inst. the date of your last letter to Emma, the death of the Emperor Paul (which we have no doubt of here) should not be known at Copenhagen!	true	526.55	539.74	16
5157_47239_000051_000000	It appears to us that, as soon as that great event is known in Sweden and Denmark, with the severe blow you have just given the latter, the formidable giant, Northern Coalition, will of itself fall to pieces; and that we shall have the happiness of embracing you again here, in a very short time.	It appears to us that, as soon as that great event is known in Sweden and Denmark, with the severe blow you have just given the latter, the formidable giant, Northern Coalition, will of itself fall to pieces; and that we shall have the happiness of embracing you again here, in a very short time.	false	541.52	560.74	14
5157_47239_000052_000000	You would have laughed to have seen what I saw yesterday!	You would have laughed to have seen what I saw yesterday!	false	562.58	565.47	7
5157_47239_000052_000001	_Emma_ did not know whether she was on her head or heels--in such a hurry to tell your great news, that she could utter nothing but tears of joy and tenderness.	underscore Emma underscore did not know whether she was on her head or heels-in such a hurry to tell your great news, that she could utter nothing but tears of joy and tenderness.	false	565.47	576.01	17
5157_47239_000053_000000	I went to Davison yesterday morning; and found him still in bed, having had a severe fit of the gout, and with your letter, which he had just received: and he cried like a child!	I went to Davison yesterday morning; and found him still in bed, having had a severe fit of the gout, and with your letter, which he had just received: and he cried like a child!	false	576.98	588.49	17
5157_47239_000053_000001	But, what was very extraordinary, assured me that, from the instant he had read your letter, all pain had left him, and that he felt himself able to get up and walk about.	But, what was very extraordinary, assured me that, from the instant he had read your letter, all pain had left him, and that he felt himself able to get up and walk about.	true	588.86	600.19	18
5157_47239_000054_000000	Your brother, Mrs. Nelson, and Horace, dined with us.	Your brother, mrs Nelson, and Horace, dined with us.	false	601.61	605.67	18.632122
5157_47239_000054_000001	Your brother was more extraordinary than ever.	Your brother was more extraordinary than ever.	true	605.67	607.95	12
5157_47239_000054_000002	He would get up suddenly, and cut a caper; rubbing his hands every time that the thought of your fresh laurels came into his head.	He would get up suddenly, and cut a caper; rubbing his hands every time that the thought of your fresh laurels came into his head.	false	607.95	615.4	13
5157_47239_000055_000000	In short, except myself, (and your Lordship knows that I have some phlegm) all the company, which was considerable, after dinner--the Duke, Lord William, Mr. Este, &c.--were mad with joy.	In short, except myself, (and your Lordship knows that I have some phlegm) all the company, which was considerable, after dinner-the Duke, Lord William, mr Este, and c.--were mad with joy.	false	616.94	630.85	18
5157_47239_000055_000001	But, I am sure, that no one really rejoiced more, at heart, than I did.	But, I am sure, that no one really rejoiced more, at heart, than I did.	true	631.22	635.35	14
5157_47239_000055_000002	I have lived too long to have _extacies_!	I have lived too long to have underscore extacies underscore!	false	635.99	638.46	13
5157_47239_000055_000003	But, with calm reflection, I felt for my friend having got to the very summit of glory!--the "_Ne plus ultra!_"--that he has had another opportunity of rendering his country the most important service; and manifesting, again, his judgment, his intrepidity, and humanity.	But, with calm reflection, I felt for my friend having got to the very summit of glory!--the "underscore Ne plus ultra!underscore"--that he has had another opportunity of rendering his country the most important service; and manifesting, again, his judgment, his intrepidity, and humanity.	false	638.46	657.04	15
5157_47239_000056_000000	God bless you, my very dear Lord, and send you soon home to your friends.	God bless you, my very dear Lord, and send you soon home to your friends.	true	657.77	662.47	17
5157_47239_000056_000001	Enemies you have none, but those that are bursting with envy; and such animals infest all parts of the world.	Enemies you have none, but those that are bursting with envy; and such animals infest all parts of the world.	true	662.96	669.43	12
5157_47239_000057_000000	The King, be assured, is (though weak) getting well fast.	The King, be assured, is (though weak) getting well fast.	false	670.25	674.26	18.441153
5157_47239_000057_000001	Lord Loughborough told Livingston, who has just been here, that he was with the King the day before yesterday, before and after delivery of the seals, and that he was perfectly calm and recollected.	Lord Loughborough told Livingston, who has just been here, that he was with the King the day before yesterday, before and after delivery of the seals, and that he was perfectly calm and recollected.	true	674.54	685.96	16
5157_47239_000058_000000	Ever your sincerely attached, and truly obliged, humble servant,	Ever your sincerely attached, and truly obliged, humble servant,	true	686.45	691.17	13
5157_47239_000059_000000	Wm.	w m.	false	691.17	692.16	23
5157_47239_000059_000001	HAMILTON.	HAMILTON.	true	692.16	692.82	6
5157_47239_000060_000000	XI.	XI.	false	692.82	694.77	19.467031
5157_47239_000061_000000	Milford, August 12th, 1801.	Milford, august twelfth eighteen o one.	false	694.77	698.08	16
5157_47239_000062_000000	MY DEAR LORD,	MY DEAR LORD,	true	698.72	700.06	20.385904
5157_47239_000063_000000	Emma has constantly given me every possible intelligence relative to your Lordship, and the important operations you are about at this most interesting moment.	Emma has constantly given me every possible intelligence relative to your Lordship, and the important operations you are about at this most interesting moment.	true	700.37	710.8	18
5157_47239_000064_000000	You have already calmed the minds of every body with respect to the threatened French invasion.	You have already calmed the minds of every body with respect to the threatened French invasion.	true	711.71	717.7	18
5157_47239_000064_000001	In short, all your Lordship does is complete; like yourself, and nobody else.	In short, all your Lordship does is complete; like yourself, and nobody else.	true	718.31	724.51	19
5157_47239_000064_000002	But still, I think, there is no occasion for the Commander in Chief to expose his person as much as you do.	But still, I think, there is no occasion for the Commander in Chief to expose his person as much as you do.	true	725.27	731.89	16
5157_47239_000064_000003	Why should you not have a private flag, known to your fleet and not to the enemy, when you shift it and go reconnoitring?	Why should you not have a private flag, known to your fleet and not to the enemy, when you shift it and go reconnoitring?	true	732.38	740.02	17
5157_47239_000065_000000	Captain Hopkins, going from hence in the Speedwell cutter to join your Lordship, will be happy to introduce himself to you by presenting this letter himself.	Captain Hopkins, going from hence in the Speedwell cutter to join your Lordship, will be happy to introduce himself to you by presenting this letter himself.	true	741.38	751.51	17
5157_47239_000065_000001	They give him a good character in this country, but my acquaintance with him is but of two days.	They give him a good character in this country, but my acquaintance with him is but of two days.	true	752.12	757.93	18
5157_47239_000066_000000	I was yesterday with Captain Dobbins, in the Diligence cutter.	I was yesterday with Captain Dobbins, in the Diligence cutter.	true	758.87	762.67	15
5157_47239_000066_000001	We sailed out of this glorious harbour; and, the day being fine, sailed out some leagues, and examined the Crow Rock, which is reckoned the greatest danger as to entering the harbour.	We sailed out of this glorious harbour; and, the day being fine, sailed out some leagues, and examined the Crow Rock, which is reckoned the greatest danger as to entering the harbour.	true	763.1	774.85	16
5157_47239_000066_000002	But the two light-houses lately erected take off all danger in the night; and [it] is visible in the day-time, except a short time in spring tides.	But the two light houses lately erected take off all danger in the night; and [it] is visible in the day-time, except a short time in spring tides.	true	775.79	787.06	18
5157_47239_000067_000000	I am delighted with the improvements at Milford.	I am delighted with the improvements at Milford.	true	788.09	790.99	17
5157_47239_000067_000001	It will surely be a great town, if we have peace, in three years; the houses rising up, like mushrooms, even in these difficult times.	It will surely be a great town, if we have peace, in three years; the houses rising up, like mushrooms, even in these difficult times.	true	791.3	800.38	15
5157_47239_000067_000002	We allow any one to build--at their own expence--at an easy ground-rent, and to fall in at the expiration of three lives, or sixty years.	We allow any one to build-at their own expence-at an easy ground rent, and to fall in at the expiration of three lives, or sixty years.	true	800.84	810.13	19.905882
5157_47239_000068_000000	You may judge that, having two thousand acres all round the town, these inhabitants will want land for cows and horses, and gardens, &c. and, of course, I must be a gainer in the end.	You may judge that, having two thousand acres all round the town, these inhabitants will want land for cows and horses, and gardens, and c. and, of course, I must be a gainer in the end.	false	812.18	824.53	16
5157_47239_000069_000000	I visited the two light-houses, and found them perfectly clean, and in good order: and I never could conceive the brilliant light that they give; one has sixteen reflected lights, and the other ten.	I visited the two light houses, and found them perfectly clean, and in good order: and I never could conceive the brilliant light that they give; one has sixteen reflected lights, and the other ten.	false	825.95	838.66	18
5157_47239_000070_000000	To-day, I go upon my last visit to Lord Milford; and, on Saturday, set out for Piccadilly: and where I am not without hopes of meeting your Lordship; as I think, in the manner you dispatch business, you will have completed all by Wednesday next, the day I shall probably be in London.	To day, I go upon my last visit to Lord Milford; and, on Saturday, set out for Piccadilly: and where I am not without hopes of meeting your Lordship; as I think, in the manner you dispatch business, you will have completed all by Wednesday next, the day I shall probably be in London.	true	840.23	858.1	18.240171
5157_47239_000071_000000	Charles Greville's kind compliments.	Charles Greville's kind compliments.	true	859.58	862.09	15
5157_47239_000071_000001	The name of Nelson is in every mouth; and, indeed, we owe every thing to your judgment and exertions.	The name of Nelson is in every mouth; and, indeed, we owe every thing to your judgment and exertions.	true	862.43	869.01	17
5157_47239_000072_000000	Adieu!	Adieu!	false	869.01	870.9	17.045403
5157_47239_000072_000001	God bless you.	God bless you.	true	870.9	871.96	17.892065
5157_47239_000072_000002	Ever your Lordship's affectionate friend, and obliged humble servant,	Ever your Lordship's affectionate friend, and obliged humble servant,	true	872.18	876.87	16
5157_47239_000073_000000	Wm.	w m.	false	876.87	877.53	20
5157_47239_000073_000001	HAMILTON.	HAMILTON.	true	877.53	878.29	5
5157_47239_000074_000000	XII.	twelve.	true	880.79	881.77	20.95378
5157_47239_000075_000000	Piccadilly, April 28th, 1802.	Piccadilly, april twenty eighth eighteen o two.	true	882.05	885.7	17
5157_47239_000076_000000	MY DEAR LORD,	MY DEAR LORD,	true	886.52	887.77	18.097052
5157_47239_000077_000000	Emma says--I must write a letter to you, of condolence for the heavy loss your Lordship has suffered.	Emma says-I must write a letter to you, of condolence for the heavy loss your Lordship has suffered.	true	888.05	894.58	17
5157_47239_000078_000000	When persons, in the prime of life, are carried off by accidents or sickness--or what is, I believe, oftener the case, by the ignorance and mistakes of the physicians--then, indeed, there is reason to lament!	When persons, in the prime of life, are carried off by accidents or sickness-or what is, I believe, oftener the case, by the ignorance and mistakes of the physicians-then, indeed, there is reason to lament!	false	895.58	908.62	19
5157_47239_000078_000001	But as, in the case of your good Father, the lamp was suffered to burn out fairly, and that his sufferings were not great; and that, by his Son's glorious and unparalleled successes, he saw his family ennobled, and with the probability, in time, of its being amply rewarded, as it ought to have been long ago--his mind could not be troubled, in his latter moments, on account of the family he left behind him: and, as to his own peace of mind, at the moment of his dissolution, there can be no doubt, among those who ever had the honour of his acquaintance.	But as, in the case of your good Father, the lamp was suffered to burn out fairly, and that his sufferings were not great; and that, by his Son's glorious and unparalleled successes, he saw his family ennobled, and with the probability, in time, of its being amply rewarded, as it ought to have been long ago-his mind could not be troubled, in his latter moments, on account of the family he left behind him: and, as to his own peace of mind, at the moment of his dissolution, there can be no doubt, among those who ever had the honour of his acquaintance.	false	910.13	947.86	18.415241
5157_47239_000079_000000	I have said more than I intended; but dare say, your Lordship had nearly the same thoughts--with the addition of the feelings of a dutiful Son, for the loss of a most excellent Father.	I have said more than I intended; but dare say, your Lordship had nearly the same thoughts-with the addition of the feelings of a dutiful Son, for the loss of a most excellent Father.	true	948.29	960.4	16.96112
5157_47239_000080_000000	It is, however, now--as your Lordship is the Father of your Family--incumbent upon you to take particular care of your own health. Nay, you are, by the voice of the nation, its first prop and support.	It is, however, now-as your Lordship is the Father of your Family-incumbent upon you to take particular care of your own health. Nay, you are, by the voice of the nation, its first prop and support.	true	961.52	976.93	18.29748
5157_47239_000081_000000	Keep up your spirits; and, that you may long enjoy your well-earned honours, is the sincere wish of your Lordship's affectionate friend, and attached humble servant,	Keep up your spirits; and, that you may long enjoy your well earned honours, is the sincere wish of your Lordship's affectionate friend, and attached humble servant,	false	977.6	995.7	17.33416
