3869_700_000000_000000	"I am going away to Moscow to-morrow, if you care to know--early to-morrow morning.	"I am going away to Moscow to morrow, if you care to know-early to morrow morning.	false	0	1.56	24.944715
3869_700_000009_000002	Good-by!" and passed by, trying not even to look at his father.	Good by!" and passed by, trying not even to look at his father.	true	46.4	50.83	26.803667
3869_700_000009_000003	Very possibly the old man was too hateful to him at that moment; but such an unceremonious display of hostility was a surprise even to Fyodor Pavlovitch.	Very possibly the old man was too hateful to him at that moment; but such an unceremonious display of hostility was a surprise even to Fyodor Pavlovitch.	true	51.17	60.31	22.105543
3869_700_000009_000004	And the old man evidently wanted to tell him something at once and had come to meet him in the drawing-room on purpose.	And the old man evidently wanted to tell him something at once and had come to meet him in the drawing room on purpose.	true	60.71	67.17	21.05114
3869_700_000009_000005	Receiving this amiable greeting, he stood still in silence and with an ironical air watched his son going upstairs, till he passed out of sight.	Receiving this amiable greeting, he stood still in silence and with an ironical air watched his son going upstairs, till he passed out of sight.	true	67.17	76.51	23.992537
3869_700_000010_000000	"What's the matter with him?" he promptly asked Smerdyakov, who had followed Ivan.	"What's the matter with him?" he promptly asked Smerdyakov, who had followed Ivan.	false	77.09	83.43	21.978273
3869_700_000011_000000	"Angry about something.	"Angry about something.	true	83.43	84.51	19.53826
3869_700_000011_000001	Who can tell?" the valet muttered evasively.	Who can tell?" the valet muttered evasively.	true	84.51	87.46	22.329992
3869_700_000012_000000	"Confound him!	"Confound him!	true	87.86	89.22	27.303143
3869_700_000012_000001	Let him be angry then.	Let him be angry then.	true	89.22	90.7	20.637894
3869_700_000012_000002	Bring in the samovar, and get along with you.	Bring in the samovar, and get along with you.	true	90.8	93.1	20.424458
3869_700_000012_000003	Look sharp!	Look sharp!	true	93.23	94.35	26.765528
3869_700_000012_000004	No news?"	No news?"	true	94.35	95.71	19.321638
3869_700_000013_000000	Then followed a series of questions such as Smerdyakov had just complained of to Ivan, all relating to his expected visitor, and these questions we will omit.	Then followed a series of questions such as Smerdyakov had just complained of to Ivan, all relating to his expected visitor, and these questions we will omit.	false	96.47	106.06	23.976274
3869_700_000013_000001	Half an hour later the house was locked, and the crazy old man was wandering along through the rooms in excited expectation of hearing every minute the five knocks agreed upon.	Half an hour later the house was locked, and the crazy old man was wandering along through the rooms in excited expectation of hearing every minute the five knocks agreed upon.	true	106.58	116.11	21.594868
3869_700_000013_000002	Now and then he peered out into the darkness, seeing nothing.	Now and then he peered out into the darkness, seeing nothing.	true	116.51	120.55	21.287733
3869_700_000014_000000	It was very late, but Ivan was still awake and reflecting.	It was very late, but Ivan was still awake and reflecting.	false	121.16	125.02	23.898611
3869_700_000014_000001	He sat up late that night, till two o'clock.	He sat up late that night, till two o'clock.	true	125.54	128.74	29.811333
3869_700_000014_000002	But we will not give an account of his thoughts, and this is not the place to look into that soul--its turn will come.	But we will not give an account of his thoughts, and this is not the place to look into that soul-its turn will come.	true	129.08	135.82	29.13141
3869_700_000014_000003	And even if one tried, it would be very hard to give an account of them, for there were no thoughts in his brain, but something very vague, and, above all, intense excitement.	And even if one tried, it would be very hard to give an account of them, for there were no thoughts in his brain, but something very vague, and, above all, intense excitement.	true	136.49	147.735	21.129833
3869_700_000014_000004	He felt himself that he had lost his bearings.	He felt himself that he had lost his bearings.	true	147.735	150.55	21.766304
3869_700_000014_000005	He was fretted, too, by all sorts of strange and almost surprising desires; for instance, after midnight he suddenly had an intense irresistible inclination to go down, open the door, go to the lodge and beat Smerdyakov.	He was fretted, too, by all sorts of strange and almost surprising desires; for instance, after midnight he suddenly had an intense irresistible inclination to go down, open the door, go to the lodge and beat Smerdyakov.	true	150.83	166.21	23.882898
3869_700_000014_000006	But if he had been asked why, he could not have given any exact reason, except perhaps that he loathed the valet as one who had insulted him more gravely than any one in the world.	But if he had been asked why, he could not have given any exact reason, except perhaps that he loathed the valet as one who had insulted him more gravely than any one in the world.	true	166.46	177.88	22.954664
3869_700_000014_000007	On the other hand, he was more than once that night overcome by a sort of inexplicable humiliating terror, which he felt positively paralyzed his physical powers.	On the other hand, he was more than once that night overcome by a sort of inexplicable humiliating terror, which he felt positively paralyzed his physical powers.	true	177.95	188.56	22.562939
3869_700_000014_000008	His head ached and he was giddy.	His head ached and he was giddy.	true	188.69	191.38	26.649485
3869_700_000014_000009	A feeling of hatred was rankling in his heart, as though he meant to avenge himself on some one.	A feeling of hatred was rankling in his heart, as though he meant to avenge himself on some one.	true	191.78	198.13	21.70397
3869_700_000014_000010	He even hated Alyosha, recalling the conversation he had just had with him.	He even hated Alyosha, recalling the conversation he had just had with him.	true	198.35	203.53	19.790583
3869_700_000014_000011	At moments he hated himself intensely.	At moments he hated himself intensely.	true	203.99	206.95	22.748442
3869_700_000014_000012	Of Katerina Ivanovna he almost forgot to think, and wondered greatly at this afterwards, especially as he remembered perfectly that when he had protested so valiantly to Katerina Ivanovna that he would go away next day to Moscow, something had whispered in his heart, "That's nonsense, you are not going, and it won't be so easy to tear yourself away as you are boasting now."	Of Katerina Ivanovna he almost forgot to think, and wondered greatly at this afterwards, especially as he remembered perfectly that when he had protested so valiantly to Katerina Ivanovna that he would go away next day to Moscow, something had whispered in his heart, "That's nonsense, you are not going, and it won't be so easy to tear yourself away as you are boasting now."	true	207.35	230.8	24.414585
3869_700_000015_000000	Remembering that night long afterwards, Ivan recalled with peculiar repulsion how he had suddenly got up from the sofa and had stealthily, as though he were afraid of being watched, opened the door, gone out on the staircase and listened to Fyodor Pavlovitch stirring down below, had listened a long while--some five minutes--with a sort of strange curiosity, holding his breath while his heart throbbed.	Remembering that night long afterwards, Ivan recalled with peculiar repulsion how he had suddenly got up from the sofa and had stealthily, as though he were afraid of being watched, opened the door, gone out on the staircase and listened to Fyodor Pavlovitch stirring down below, had listened a long while-some five minutes-with a sort of strange curiosity, holding his breath while his heart throbbed.	true	231.11	257.41	24.237625
3869_700_000015_000001	And why he had done all this, why he was listening, he could not have said.	And why he had done all this, why he was listening, he could not have said.	true	257.66	262.12	21.579763
3869_700_000015_000002	That "action" all his life afterwards he called "infamous," and at the bottom of his heart, he thought of it as the basest action of his life.	That "action" all his life afterwards he called "infamous," and at the bottom of his heart, he thought of it as the basest action of his life.	false	262.58	272.29	23.475021
3869_700_000015_000003	For Fyodor Pavlovitch himself he felt no hatred at that moment, but was simply intensely curious to know how he was walking down there below and what he must be doing now. He wondered and imagined how he must be peeping out of the dark windows and stopping in the middle of the room, listening, listening--for some one to knock.	For Fyodor Pavlovitch himself he felt no hatred at that moment, but was simply intensely curious to know how he was walking down there below and what he must be doing now. He wondered and imagined how he must be peeping out of the dark windows and stopping in the middle of the room, listening, listening-for some one to knock.	true	272.6	292.66	23.456444
3869_700_000015_000004	Ivan went out on to the stairs twice to listen like this.	Ivan went out on to the stairs twice to listen like this.	false	293.03	296.28	22.277687
3869_700_000016_000000	About two o'clock when everything was quiet, and even Fyodor Pavlovitch had gone to bed, Ivan had got into bed, firmly resolved to fall asleep at once, as he felt fearfully exhausted.	About two o'clock when everything was quiet, and even Fyodor Pavlovitch had gone to bed, Ivan had got into bed, firmly resolved to fall asleep at once, as he felt fearfully exhausted.	false	296.28	308.14	24.403725
3869_700_000016_000001	And he did fall asleep at once, and slept soundly without dreams, but waked early, at seven o'clock, when it was broad daylight.	And he did fall asleep at once, and slept soundly without dreams, but waked early, at seven o'clock, when it was broad daylight.	true	308.24	315.76	24.478
3869_700_000016_000002	Opening his eyes, he was surprised to feel himself extraordinarily vigorous.	Opening his eyes, he was surprised to feel himself extraordinarily vigorous.	true	315.86	320.35	20.217958
3869_700_000016_000003	He jumped up at once and dressed quickly; then dragged out his trunk and began packing immediately.	He jumped up at once and dressed quickly; then dragged out his trunk and began packing immediately.	true	320.36	326.59	23.95238
3869_700_000016_000004	His linen had come back from the laundress the previous morning.	His linen had come back from the laundress the previous morning.	false	327.11	330.18	21.586515
3869_700_000016_000005	Ivan positively smiled at the thought that everything was helping his sudden departure.	Ivan positively smiled at the thought that everything was helping his sudden departure.	false	330.18	335.29	26.544746
3869_700_000016_000006	And his departure certainly was sudden.	And his departure certainly was sudden.	true	335.48	337.56	21
3869_700_000016_000007	Though Ivan had said the day before (to Katerina Ivanovna, Alyosha, and Smerdyakov) that he was leaving next day, yet he remembered that he had no thought of departure when he went to bed, or, at least, had not dreamed that his first act in the morning would be to pack his trunk.	Though Ivan had said the day before (to Katerina Ivanovna, Alyosha, and Smerdyakov) that he was leaving next day, yet he remembered that he had no thought of departure when he went to bed, or, at least, had not dreamed that his first act in the morning would be to pack his trunk.	false	337.56	354.01	23.892141
3869_700_000016_000008	At last his trunk and bag were ready.	At last his trunk and bag were ready.	true	354.17	356.32	24.129946
3869_700_000016_000009	It was about nine o'clock when Marfa Ignatyevna came in with her usual inquiry, "Where will your honor take your tea, in your own room or downstairs?"	It was about nine o'clock when Marfa Ignatyevna came in with her usual inquiry, "Where will your honor take your tea, in your own room or downstairs?"	true	356.36	366.46	23.77943
3869_700_000016_000010	He looked almost cheerful, but there was about him, about his words and gestures, something hurried and scattered.	He looked almost cheerful, but there was about him, about his words and gestures, something hurried and scattered.	true	366.68	374.17	23.119843
3869_700_000016_000011	Greeting his father affably, and even inquiring specially after his health, though he did not wait to hear his answer to the end, he announced that he was starting off in an hour to return to Moscow for good, and begged him to send for the horses.	Greeting his father affably, and even inquiring specially after his health, though he did not wait to hear his answer to the end, he announced that he was starting off in an hour to return to Moscow for good, and begged him to send for the horses.	true	374.24	387.79	22.361864
3869_700_000016_000012	His father heard this announcement with no sign of surprise, and forgot in an unmannerly way to show regret at losing him.	His father heard this announcement with no sign of surprise, and forgot in an unmannerly way to show regret at losing him.	true	387.83	395.47	21.541183
3869_700_000016_000013	Instead of doing so, he flew into a great flutter at the recollection of some important business of his own.	Instead of doing so, he flew into a great flutter at the recollection of some important business of his own.	true	395.75	402.25	23.149902
3869_700_000017_000000	"What a fellow you are!	"What a fellow you are!	true	402.62	404.205	20.987743
3869_700_000017_000001	Not to tell me yesterday!	Not to tell me yesterday!	true	404.205	405.88	22.483654
3869_700_000017_000002	Never mind; we'll manage it all the same.	Never mind; we'll manage it all the same.	true	406.13	409.18	17.469664
3869_700_000017_000003	Do me a great service, my dear boy.	Do me a great service, my dear boy.	true	409.49	412.03	23.924665
3869_700_000017_000004	Go to Tchermashnya on the way.	Go to Tchermashnya on the way.	true	412.07	414.82	23.727627
3869_700_000017_000005	It's only to turn to the left from the station at Volovya, only another twelve versts and you come to Tchermashnya."	It's only to turn to the left from the station at Volovya, only another twelve versts and you come to Tchermashnya."	true	414.89	422.98	23.817308
3869_700_000018_000000	"I'm sorry, I can't.	"I'm sorry, I can't.	true	423.56	424.99	33.341785
3869_700_000018_000001	It's eighty versts to the railway and the train starts for Moscow at seven o'clock to-night.	It's eighty versts to the railway and the train starts for Moscow at seven o'clock to night.	true	425.21	430.27	23.470707
3869_700_000018_000002	I can only just catch it."	I can only just catch it."	true	430.61	432.52	25.120014
3869_700_000019_000000	"You'll catch it to-morrow or the day after, but to-day turn off to Tchermashnya.	"You'll catch it to morrow or the day after, but to day turn off to Tchermashnya.	true	432.86	437.77	24.896753
3869_700_000019_000001	It won't put you out much to humor your father!	It won't put you out much to humor your father!	true	438.14	441.22	23.919004
3869_700_000019_000002	If I hadn't had something to keep me here, I would have run over myself long ago, for I've some business there in a hurry.	If I hadn't had something to keep me here, I would have run over myself long ago, for I've some business there in a hurry.	true	441.41	449.235	20.24387
3869_700_000019_000003	But here I ... it's not the time for me to go now....	But here I ... it's not the time for me to go now....	true	449.235	453.22	23.093002
3869_700_000019_000004	You see, I've two pieces of copse land there.	You see, I've two pieces of copse land there.	true	453.59	456.94	28.85943
3869_700_000019_000005	The Maslovs, an old merchant and his son, will give eight thousand for the timber.	The Maslovs, an old merchant and his son, will give eight thousand for the timber.	true	457.19	462.61	23.022331
3869_700_000019_000006	But last year I just missed a purchaser who would have given twelve.	But last year I just missed a purchaser who would have given twelve.	true	462.92	467.2	23.008913
3869_700_000019_000007	There's no getting any one about here to buy it.	There's no getting any one about here to buy it.	true	467.3	469.63	20.790955
3869_700_000019_000008	The Maslovs have it all their own way.	The Maslovs have it all their own way.	true	469.88	472.18	21.467133
3869_700_000019_000009	One has to take what they'll give, for no one here dare bid against them.	One has to take what they'll give, for no one here dare bid against them.	true	472.58	476.8	25.434929
3869_700_000019_000010	The priest at Ilyinskoe wrote to me last Thursday that a merchant called Gorstkin, a man I know, had turned up.	The priest at Ilyinskoe wrote to me last Thursday that a merchant called Gorstkin, a man I know, had turned up.	true	477.26	484.96	24.275389
3869_700_000019_000011	What makes him valuable is that he is not from these parts, so he is not afraid of the Maslovs.	What makes him valuable is that he is not from these parts, so he is not afraid of the Maslovs.	true	485.21	490.63	21.622538
3869_700_000019_000012	He says he will give me eleven thousand for the copse.	He says he will give me eleven thousand for the copse.	true	490.91	493.89	21
3869_700_000019_000013	Do you hear?	Do you hear?	false	493.89	495.37	31.418573
3869_700_000019_000014	But he'll only be here, the priest writes, for a week altogether, so you must go at once and make a bargain with him."	But he'll only be here, the priest writes, for a week altogether, so you must go at once and make a bargain with him."	true	495.77	503.83	23.231836
3869_700_000020_000000	"Well, you write to the priest; he'll make the bargain."	"Well, you write to the priest; he'll make the bargain."	true	504.56	507.85	26.741304
3869_700_000021_000000	"He can't do it.	"He can't do it.	true	508.34	509.68	31.78141
3869_700_000021_000001	He has no eye for business.	He has no eye for business.	true	509.99	512.14	19.061226
3869_700_000021_000002	He is a perfect treasure, I'd give him twenty thousand to take care of for me without a receipt; but he has no eye for business, he is a perfect child, a crow could deceive him. And yet he is a learned man, would you believe it?	He is a perfect treasure, I'd give him twenty thousand to take care of for me without a receipt; but he has no eye for business, he is a perfect child, a crow could deceive him. And yet he is a learned man, would you believe it?	true	512.24	526.57	24.626896
3869_700_000021_000003	This Gorstkin looks like a peasant, he wears a blue kaftan, but he is a regular rogue.	This Gorstkin looks like a peasant, he wears a blue kaftan, but he is a regular rogue.	false	527	533.23	24.342241
3869_700_000021_000004	That's the common complaint.	That's the common complaint.	true	533.27	534.88	24.93269
3869_700_000021_000005	He is a liar.	He is a liar.	true	535.13	536.32	23.685545
3869_700_000021_000006	Sometimes he tells such lies that you wonder why he is doing it.	Sometimes he tells such lies that you wonder why he is doing it.	false	536.63	540.19	19.075308
3869_700_000021_000007	He told me the year before last that his wife was dead and that he had married another, and would you believe it, there was not a word of truth in it?	He told me the year before last that his wife was dead and that he had married another, and would you believe it, there was not a word of truth in it?	true	540.5	548.47	22.146818
3869_700_000021_000008	His wife has never died at all, she is alive to this day and gives him a beating twice a week.	His wife has never died at all, she is alive to this day and gives him a beating twice a week.	false	548.81	554.62	22.18659
3869_700_000021_000009	So what you have to find out is whether he is lying or speaking the truth, when he says he wants to buy it and would give eleven thousand."	So what you have to find out is whether he is lying or speaking the truth, when he says he wants to buy it and would give eleven thousand."	true	555.11	563.25	24.456747
3869_700_000022_000000	"I shall be no use in such a business.	"I shall be no use in such a business.	false	563.25	565.8	19.59384
3869_700_000022_000001	I have no eye either."	I have no eye either."	true	565.8	567.61	19.221588
3869_700_000023_000000	"Stay, wait a bit!	"Stay, wait a bit!	true	568.01	570.58	28.930136
3869_700_000023_000001	You will be of use, for I will tell you the signs by which you can judge about Gorstkin.	You will be of use, for I will tell you the signs by which you can judge about Gorstkin.	true	570.62	574.9	16
3869_700_000023_000002	I've done business with him a long time.	I've done business with him a long time.	true	574.94	577.42	21.503832
3869_700_000023_000003	You see, you must watch his beard; he has a nasty, thin, red beard. If his beard shakes when he talks and he gets cross, it's all right, he is saying what he means, he wants to do business.	You see, you must watch his beard; he has a nasty, thin, red beard. If his beard shakes when he talks and he gets cross, it's all right, he is saying what he means, he wants to do business.	true	577.61	591.87	23.56014
3869_700_000023_000004	But if he strokes his beard with his left hand and grins--he is trying to cheat you.	But if he strokes his beard with his left hand and grins-he is trying to cheat you.	true	591.87	597.04	24.236078
3869_700_000023_000005	Don't watch his eyes, you won't find out anything from his eyes, he is a deep one, a rogue--but watch his beard!	Don't watch his eyes, you won't find out anything from his eyes, he is a deep one, a rogue-but watch his beard!	true	597.38	605.26	22.189848
3869_700_000023_000006	I'll give you a note and you show it to him. He's called Gorstkin, though his real name is Lyagavy(4); but don't call him so, he will be offended.	I'll give you a note and you show it to him. He's called Gorstkin, though his real name is Lyagavy(four); but don't call him so, he will be offended.	false	605.78	622.48	23.105804
3869_700_000023_000007	If you come to an understanding with him, and see it's all right, write here at once.	If you come to an understanding with him, and see it's all right, write here at once.	true	622.49	628.2	24.883661
3869_700_000023_000008	You need only write: 'He's not lying.' Stand out for eleven thousand; one thousand you can knock off, but not more.	You need only write: 'He's not lying.' Stand out for eleven thousand; one thousand you can knock off, but not more.	true	628.2	636.57	23.293816
3869_700_000023_000009	Just think!	Just think!	true	636.57	637.63	25.948503
3869_700_000023_000010	there's a difference between eight thousand and eleven thousand.	there's a difference between eight thousand and eleven thousand.	true	638.09	640.86	19
3869_700_000023_000011	It's as good as picking up three thousand; it's not so easy to find a purchaser, and I'm in desperate need of money.	It's as good as picking up three thousand; it's not so easy to find a purchaser, and I'm in desperate need of money.	false	640.86	648.01	25.357204
3869_700_000023_000012	Only let me know it's serious, and I'll run over and fix it up.	Only let me know it's serious, and I'll run over and fix it up.	true	648.5	652.24	25.006744
3869_700_000023_000013	I'll snatch the time somehow.	I'll snatch the time somehow.	true	652.49	655.27	24.66644
3869_700_000023_000014	But what's the good of my galloping over, if it's all a notion of the priest's?	But what's the good of my galloping over, if it's all a notion of the priest's?	true	655.34	659.71	21.53118
3869_700_000023_000015	Come, will you go?"	Come, will you go?"	true	660.05	661.6	22.773012
3869_700_000024_000000	"Oh, I can't spare the time.	"Oh, I can't spare the time.	true	662.27	663.82	23
3869_700_000024_000001	You must excuse me."	You must excuse me."	true	663.92	665.28	27.82618
3869_700_000025_000000	"Come, you might oblige your father.	"Come, you might oblige your father.	false	665.28	668.59	23.485405
3869_700_000025_000001	I shan't forget it.	I shan't forget it.	true	668.87	670.09	23.595812
3869_700_000025_000002	You've no heart, any of you--that's what it is?	You've no heart, any of you-that's what it is?	true	670.64	673.62	21.733917
3869_700_000025_000003	What's a day or two to you?	What's a day or two to you?	false	673.62	675.64	22.689434
3869_700_000025_000004	Where are you going now--to Venice?	Where are you going now-to Venice?	true	675.83	677.71	23.219492
3869_700_000025_000005	Your Venice will keep another two days.	Your Venice will keep another two days.	true	677.99	680.23	23.281227
3869_700_000025_000006	I would have sent Alyosha, but what use is Alyosha in a thing like that?	I would have sent Alyosha, but what use is Alyosha in a thing like that?	true	680.63	684.52	19.610914
3869_700_000025_000007	I send you just because you are a clever fellow.	I send you just because you are a clever fellow.	true	684.62	687.24	20.92216
3869_700_000025_000008	Do you suppose I don't see that?	Do you suppose I don't see that?	false	687.24	689.05	26.732689
3869_700_000025_000009	You know nothing about timber, but you've got an eye.	You know nothing about timber, but you've got an eye.	true	689.39	692.08	23
3869_700_000025_000010	All that is wanted is to see whether the man is in earnest.	All that is wanted is to see whether the man is in earnest.	false	692.45	695.47	18.748573
3869_700_000025_000011	I tell you, watch his beard--if his beard shakes you know he is in earnest."	I tell you, watch his beard-if his beard shakes you know he is in earnest."	true	695.6	699.55	20.975063
3869_700_000026_000000	"You force me to go to that damned Tchermashnya yourself, then?" cried Ivan, with a malignant smile.	"You force me to go to that damned Tchermashnya yourself, then?" cried Ivan, with a malignant smile.	false	700.07	706.27	20.581945
3869_700_000027_000000	Fyodor Pavlovitch did not catch, or would not catch, the malignancy, but he caught the smile.	Fyodor Pavlovitch did not catch, or would not catch, the malignancy, but he caught the smile.	true	706.49	711.55	25.841436
3869_700_000028_000000	"Then you'll go, you'll go?	"Then you'll go, you'll go?	true	711.74	713.41	31.078646
3869_700_000028_000001	I'll scribble the note for you at once."	I'll scribble the note for you at once."	true	713.69	716.31	24.683323
3869_700_000029_000000	"I don't know whether I shall go.	"I don't know whether I shall go.	false	716.31	718.26	19.15675
3869_700_000029_000001	I don't know.	I don't know.	true	718.26	719.2	26.246
3869_700_000029_000002	I'll decide on the way."	I'll decide on the way."	true	719.3	721.33	21.701197
3869_700_000030_000000	"Nonsense!	"Nonsense!	true	721.94	723	20
3869_700_000030_000001	Decide at once.	Decide at once.	true	723	724.39	21.739065
3869_700_000030_000002	My dear fellow, decide!	My dear fellow, decide!	true	724.55	726.46	23.043888
3869_700_000030_000003	If you settle the matter, write me a line; give it to the priest and he'll send it on to me at once.	If you settle the matter, write me a line; give it to the priest and he'll send it on to me at once.	true	726.89	732.07	22.842014
3869_700_000030_000004	And I won't delay you more than that.	And I won't delay you more than that.	true	732.59	734.56	25.52333
3869_700_000030_000005	You can go to Venice.	You can go to Venice.	true	735.02	736.45	16.673618
3869_700_000030_000006	The priest will give you horses back to Volovya station."	The priest will give you horses back to Volovya station."	true	736.58	740.35	21.533361
3869_700_000031_000000	The old man was quite delighted.	The old man was quite delighted.	true	740.63	742.57	23.896173
3869_700_000031_000001	He wrote the note, and sent for the horses.	He wrote the note, and sent for the horses.	true	742.58	744.85	20.763533
3869_700_000031_000002	A light lunch was brought in, with brandy.	A light lunch was brought in, with brandy.	true	744.98	747.84	23.358282
3869_700_000031_000003	When Fyodor Pavlovitch was pleased, he usually became expansive, but to-day he seemed to restrain himself.	When Fyodor Pavlovitch was pleased, he usually became expansive, but to day he seemed to restrain himself.	false	747.84	754.29	24.028315
3869_700_000031_000004	Of Dmitri, for instance, he did not say a word.	Of Dmitri, for instance, he did not say a word.	false	754.29	757.71	25.673677
3869_700_000031_000005	He was quite unmoved by the parting, and seemed, in fact, at a loss for something to say.	He was quite unmoved by the parting, and seemed, in fact, at a loss for something to say.	true	757.71	762.63	23.126764
3869_700_000031_000006	Ivan noticed this particularly.	Ivan noticed this particularly.	false	762.63	765.94	29.733128
3869_700_000031_000007	"He must be bored with me," he thought.	"He must be bored with me," he thought.	true	766.1	768.31	25.538744
3869_700_000031_000008	Only when accompanying his son out on to the steps, the old man began to fuss about.	Only when accompanying his son out on to the steps, the old man began to fuss about.	true	768.35	773.2	21.343445
3869_700_000031_000009	He would have kissed him, but Ivan made haste to hold out his hand, obviously avoiding the kiss.	He would have kissed him, but Ivan made haste to hold out his hand, obviously avoiding the kiss.	false	773.66	779.59	23.078012
3869_700_000031_000010	His father saw it at once, and instantly pulled himself up.	His father saw it at once, and instantly pulled himself up.	true	780.11	784.87	24.284433
3869_700_000032_000000	"Well, good luck to you, good luck to you!" he repeated from the steps. "You'll come again some time or other?	"Well, good luck to you, good luck to you!" he repeated from the steps. "You'll come again some time or other?	true	784.91	793.5	22.76642
3869_700_000032_000001	Mind you do come.	Mind you do come.	false	793.5	795.55	26.344051
3869_700_000032_000002	I shall always be glad to see you.	I shall always be glad to see you.	true	795.59	797.68	18.212673
3869_700_000032_000003	Well, Christ be with you!"	Well, Christ be with you!"	true	798.26	800.71	23.426281
3869_700_000033_000000	Ivan got into the carriage.	Ivan got into the carriage.	true	801.2	803.34	25.714476
3869_700_000034_000000	"Good-by, Ivan!	"Good by, Ivan!	false	803.34	805.815	16.863737
3869_700_000034_000001	Don't be too hard on me!" the father called for the last time.	Don't be too hard on me!" the father called for the last time.	true	805.815	810.88	22.129864
3869_700_000035_000000	The whole household came out to take leave--Smerdyakov, Marfa and Grigory. Ivan gave them ten roubles each.	The whole household came out to take leave-Smerdyakov, Marfa and Grigory. Ivan gave them ten roubles each.	false	811.4	819.12	20.249802
3869_700_000035_000001	When he had seated himself in the carriage, Smerdyakov jumped up to arrange the rug.	When he had seated himself in the carriage, Smerdyakov jumped up to arrange the rug.	false	819.12	824.02	21.888988
3869_700_000036_000000	"You see ...	"You see ...	true	824.15	824.73	100
3869_700_000036_000001	I am going to Tchermashnya," broke suddenly from Ivan.	I am going to Tchermashnya," broke suddenly from Ivan.	false	824.73	829.11	25.897898
