3869_700_000008_000000	Chapter VII.	Chapter seven.
3869_700_000015_000000	Remembering that night long afterwards, Ivan recalled with peculiar repulsion how he had suddenly got up from the sofa and had stealthily, as though he were afraid of being watched, opened the door, gone out on the staircase and listened to Fyodor Pavlovitch stirring down below, had listened a long while--some five minutes--with a sort of strange curiosity, holding his breath while his heart throbbed.	Remembering that night long afterwards, Ivan recalled with peculiar repulsion how he had suddenly got up from the sofa and had stealthily, as though he were afraid of being watched, opened the door, gone out on the staircase and listened to Fyodor Pavlovitch stirring down below, had listened a long while-some five minutes-with a sort of strange curiosity, holding his breath while his heart throbbed.
3869_700_000015_000001	And why he had done all this, why he was listening, he could not have said.	And why he had done all this, why he was listening, he could not have said.
3869_700_000015_000003	For Fyodor Pavlovitch himself he felt no hatred at that moment, but was simply intensely curious to know how he was walking down there below and what he must be doing now. He wondered and imagined how he must be peeping out of the dark windows and stopping in the middle of the room, listening, listening--for some one to knock.	For Fyodor Pavlovitch himself he felt no hatred at that moment, but was simply intensely curious to know how he was walking down there below and what he must be doing now. He wondered and imagined how he must be peeping out of the dark windows and stopping in the middle of the room, listening, listening-for some one to knock.
3869_700_000016_000001	And he did fall asleep at once, and slept soundly without dreams, but waked early, at seven o'clock, when it was broad daylight.	And he did fall asleep at once, and slept soundly without dreams, but waked early, at seven o'clock, when it was broad daylight.
3869_700_000016_000002	Opening his eyes, he was surprised to feel himself extraordinarily vigorous.	Opening his eyes, he was surprised to feel himself extraordinarily vigorous.
3869_700_000016_000003	He jumped up at once and dressed quickly; then dragged out his trunk and began packing immediately.	He jumped up at once and dressed quickly; then dragged out his trunk and began packing immediately.
3869_700_000016_000006	And his departure certainly was sudden.	And his departure certainly was sudden.
3869_700_000016_000008	At last his trunk and bag were ready.	At last his trunk and bag were ready.
3869_700_000016_000009	It was about nine o'clock when Marfa Ignatyevna came in with her usual inquiry, "Where will your honor take your tea, in your own room or downstairs?"	It was about nine o'clock when Marfa Ignatyevna came in with her usual inquiry, "Where will your honor take your tea, in your own room or downstairs?"
3869_700_000016_000010	He looked almost cheerful, but there was about him, about his words and gestures, something hurried and scattered.	He looked almost cheerful, but there was about him, about his words and gestures, something hurried and scattered.
3869_700_000016_000011	Greeting his father affably, and even inquiring specially after his health, though he did not wait to hear his answer to the end, he announced that he was starting off in an hour to return to Moscow for good, and begged him to send for the horses.	Greeting his father affably, and even inquiring specially after his health, though he did not wait to hear his answer to the end, he announced that he was starting off in an hour to return to Moscow for good, and begged him to send for the horses.
3869_700_000016_000012	His father heard this announcement with no sign of surprise, and forgot in an unmannerly way to show regret at losing him.	His father heard this announcement with no sign of surprise, and forgot in an unmannerly way to show regret at losing him.
3869_700_000016_000013	Instead of doing so, he flew into a great flutter at the recollection of some important business of his own.	Instead of doing so, he flew into a great flutter at the recollection of some important business of his own.
3869_700_000017_000000	"What a fellow you are!	"What a fellow you are!
3869_700_000017_000001	Not to tell me yesterday!	Not to tell me yesterday!
3869_700_000017_000003	Do me a great service, my dear boy.	Do me a great service, my dear boy.
3869_700_000017_000004	Go to Tchermashnya on the way.	Go to Tchermashnya on the way.
3869_700_000017_000005	It's only to turn to the left from the station at Volovya, only another twelve versts and you come to Tchermashnya."	It's only to turn to the left from the station at Volovya, only another twelve versts and you come to Tchermashnya."
3869_700_000018_000000	"I'm sorry, I can't.	"I'm sorry, I can't.
3869_700_000018_000001	It's eighty versts to the railway and the train starts for Moscow at seven o'clock to-night.	It's eighty versts to the railway and the train starts for Moscow at seven o'clock to night.
3869_700_000018_000002	I can only just catch it."	I can only just catch it."
3869_700_000019_000000	"You'll catch it to-morrow or the day after, but to-day turn off to Tchermashnya.	"You'll catch it to morrow or the day after, but to day turn off to Tchermashnya.
3869_700_000019_000001	It won't put you out much to humor your father!	It won't put you out much to humor your father!
3869_700_000019_000002	If I hadn't had something to keep me here, I would have run over myself long ago, for I've some business there in a hurry.	If I hadn't had something to keep me here, I would have run over myself long ago, for I've some business there in a hurry.
3869_700_000019_000003	But here I ... it's not the time for me to go now....	But here I ... it's not the time for me to go now....
3869_700_000019_000004	You see, I've two pieces of copse land there.	You see, I've two pieces of copse land there.
3869_700_000019_000005	The Maslovs, an old merchant and his son, will give eight thousand for the timber.	The Maslovs, an old merchant and his son, will give eight thousand for the timber.
3869_700_000019_000006	But last year I just missed a purchaser who would have given twelve.	But last year I just missed a purchaser who would have given twelve.
3869_700_000019_000007	There's no getting any one about here to buy it.	There's no getting any one about here to buy it.
3869_700_000019_000008	The Maslovs have it all their own way.	The Maslovs have it all their own way.
3869_700_000019_000009	One has to take what they'll give, for no one here dare bid against them.	One has to take what they'll give, for no one here dare bid against them.
3869_700_000019_000010	The priest at Ilyinskoe wrote to me last Thursday that a merchant called Gorstkin, a man I know, had turned up.	The priest at Ilyinskoe wrote to me last Thursday that a merchant called Gorstkin, a man I know, had turned up.
3869_700_000019_000011	What makes him valuable is that he is not from these parts, so he is not afraid of the Maslovs.	What makes him valuable is that he is not from these parts, so he is not afraid of the Maslovs.
3869_700_000019_000012	He says he will give me eleven thousand for the copse.	He says he will give me eleven thousand for the copse.
3869_700_000019_000014	But he'll only be here, the priest writes, for a week altogether, so you must go at once and make a bargain with him."	But he'll only be here, the priest writes, for a week altogether, so you must go at once and make a bargain with him."
3869_700_000020_000000	"Well, you write to the priest; he'll make the bargain."	"Well, you write to the priest; he'll make the bargain."
3869_700_000021_000000	"He can't do it.	"He can't do it.
3869_700_000021_000002	He is a perfect treasure, I'd give him twenty thousand to take care of for me without a receipt; but he has no eye for business, he is a perfect child, a crow could deceive him. And yet he is a learned man, would you believe it?	He is a perfect treasure, I'd give him twenty thousand to take care of for me without a receipt; but he has no eye for business, he is a perfect child, a crow could deceive him. And yet he is a learned man, would you believe it?
3869_700_000021_000004	That's the common complaint.	That's the common complaint.
3869_700_000021_000005	He is a liar.	He is a liar.
3869_700_000021_000007	He told me the year before last that his wife was dead and that he had married another, and would you believe it, there was not a word of truth in it?	He told me the year before last that his wife was dead and that he had married another, and would you believe it, there was not a word of truth in it?
3869_700_000021_000009	So what you have to find out is whether he is lying or speaking the truth, when he says he wants to buy it and would give eleven thousand."	So what you have to find out is whether he is lying or speaking the truth, when he says he wants to buy it and would give eleven thousand."
3869_700_000023_000000	"Stay, wait a bit!	"Stay, wait a bit!
3869_700_000023_000002	I've done business with him a long time.	I've done business with him a long time.
3869_700_000023_000003	You see, you must watch his beard; he has a nasty, thin, red beard. If his beard shakes when he talks and he gets cross, it's all right, he is saying what he means, he wants to do business.	You see, you must watch his beard; he has a nasty, thin, red beard. If his beard shakes when he talks and he gets cross, it's all right, he is saying what he means, he wants to do business.
3869_700_000023_000004	But if he strokes his beard with his left hand and grins--he is trying to cheat you.	But if he strokes his beard with his left hand and grins-he is trying to cheat you.
3869_700_000023_000005	Don't watch his eyes, you won't find out anything from his eyes, he is a deep one, a rogue--but watch his beard!	Don't watch his eyes, you won't find out anything from his eyes, he is a deep one, a rogue-but watch his beard!
3869_700_000023_000007	If you come to an understanding with him, and see it's all right, write here at once.	If you come to an understanding with him, and see it's all right, write here at once.
3869_700_000023_000008	You need only write: 'He's not lying.' Stand out for eleven thousand; one thousand you can knock off, but not more.	You need only write: 'He's not lying.' Stand out for eleven thousand; one thousand you can knock off, but not more.
3869_700_000023_000009	Just think!	Just think!
3869_700_000023_000012	Only let me know it's serious, and I'll run over and fix it up.	Only let me know it's serious, and I'll run over and fix it up.
3869_700_000023_000013	I'll snatch the time somehow.	I'll snatch the time somehow.
3869_700_000023_000014	But what's the good of my galloping over, if it's all a notion of the priest's?	But what's the good of my galloping over, if it's all a notion of the priest's?
3869_700_000023_000015	Come, will you go?"	Come, will you go?"
3869_700_000024_000000	"Oh, I can't spare the time.	"Oh, I can't spare the time.
3869_700_000024_000001	You must excuse me."	You must excuse me."
3869_700_000025_000001	I shan't forget it.	I shan't forget it.
3869_700_000025_000002	You've no heart, any of you--that's what it is?	You've no heart, any of you-that's what it is?
3869_700_000025_000004	Where are you going now--to Venice?	Where are you going now-to Venice?
3869_700_000025_000005	Your Venice will keep another two days.	Your Venice will keep another two days.
3869_700_000025_000007	I send you just because you are a clever fellow.	I send you just because you are a clever fellow.
3869_700_000025_000009	You know nothing about timber, but you've got an eye.	You know nothing about timber, but you've got an eye.
3869_700_000025_000011	I tell you, watch his beard--if his beard shakes you know he is in earnest."	I tell you, watch his beard-if his beard shakes you know he is in earnest."
3869_700_000027_000000	Fyodor Pavlovitch did not catch, or would not catch, the malignancy, but he caught the smile.	Fyodor Pavlovitch did not catch, or would not catch, the malignancy, but he caught the smile.
3869_700_000028_000000	"Then you'll go, you'll go?	"Then you'll go, you'll go?
3869_700_000028_000001	I'll scribble the note for you at once."	I'll scribble the note for you at once."
3869_700_000029_000001	I don't know.	I don't know.
3869_700_000029_000002	I'll decide on the way."	I'll decide on the way."
3869_700_000030_000000	"Nonsense!	"Nonsense!
3869_700_000030_000001	Decide at once.	Decide at once.
3869_700_000030_000002	My dear fellow, decide!	My dear fellow, decide!
3869_700_000030_000003	If you settle the matter, write me a line; give it to the priest and he'll send it on to me at once.	If you settle the matter, write me a line; give it to the priest and he'll send it on to me at once.
3869_700_000030_000004	And I won't delay you more than that.	And I won't delay you more than that.
3869_700_000030_000006	The priest will give you horses back to Volovya station."	The priest will give you horses back to Volovya station."
3869_700_000031_000000	The old man was quite delighted.	The old man was quite delighted.
3869_700_000031_000001	He wrote the note, and sent for the horses.	He wrote the note, and sent for the horses.
3869_700_000031_000002	A light lunch was brought in, with brandy.	A light lunch was brought in, with brandy.
3869_700_000031_000005	He was quite unmoved by the parting, and seemed, in fact, at a loss for something to say.	He was quite unmoved by the parting, and seemed, in fact, at a loss for something to say.
3869_700_000031_000007	"He must be bored with me," he thought.	"He must be bored with me," he thought.
3869_700_000031_000008	Only when accompanying his son out on to the steps, the old man began to fuss about.	Only when accompanying his son out on to the steps, the old man began to fuss about.
3869_700_000031_000010	His father saw it at once, and instantly pulled himself up.	His father saw it at once, and instantly pulled himself up.
3869_700_000032_000000	"Well, good luck to you, good luck to you!" he repeated from the steps. "You'll come again some time or other?	"Well, good luck to you, good luck to you!" he repeated from the steps. "You'll come again some time or other?
3869_700_000032_000003	Well, Christ be with you!"	Well, Christ be with you!"
3869_700_000033_000000	Ivan got into the carriage.	Ivan got into the carriage.
3869_700_000034_000001	Don't be too hard on me!" the father called for the last time.	Don't be too hard on me!" the father called for the last time.
3869_700_000036_000000	"You see ...	"You see ...
3869_700_000036_000002	Again, as the day before, the words seemed to drop of themselves, and he laughed, too, a peculiar, nervous laugh.	Again, as the day before, the words seemed to drop of themselves, and he laughed, too, a peculiar, nervous laugh.
3869_700_000036_000003	He remembered it long after.	He remembered it long after.
3869_700_000038_000000	The carriage rolled away.	The carriage rolled away.
3869_700_000038_000002	And all of a sudden he felt very happy.	And all of a sudden he felt very happy.
3869_700_000038_000003	He tried to talk to the driver, and he felt intensely interested in an answer the peasant made him; but a minute later he realized that he was not catching anything, and that he had not really even taken in the peasant's answer.	He tried to talk to the driver, and he felt intensely interested in an answer the peasant made him; but a minute later he realized that he was not catching anything, and that he had not really even taken in the peasant's answer.
3869_700_000038_000004	He was silent, and it was pleasant even so.	He was silent, and it was pleasant even so.
3869_700_000038_000007	But he softly smiled, blew softly on the friendly phantoms, and they flew away.	But he softly smiled, blew softly on the friendly phantoms, and they flew away.
3869_700_000038_000008	"There's plenty of time for them," he thought.	"There's plenty of time for them," he thought.
3869_700_000038_000009	They reached the station quickly, changed horses, and galloped to Volovya.	They reached the station quickly, changed horses, and galloped to Volovya.
3869_700_000038_000010	"Why is it worth while speaking to a clever man?	"Why is it worth while speaking to a clever man?
3869_700_000038_000011	What did he mean by that?"	What did he mean by that?"
3869_700_000038_000012	The thought seemed suddenly to clutch at his breathing.	The thought seemed suddenly to clutch at his breathing.
3869_700_000038_000013	"And why did I tell him I was going to Tchermashnya?" They reached Volovya station.	"And why did I tell him I was going to Tchermashnya?" They reached Volovya station.
3869_700_000038_000015	He told them to harness the horses.	He told them to harness the horses.
3869_700_000038_000016	He went into the station house, looked round, glanced at the overseer's wife, and suddenly went back to the entrance.	He went into the station house, looked round, glanced at the overseer's wife, and suddenly went back to the entrance.
3869_700_000039_000001	Am I too late to reach the railway by seven, brothers?"	Am I too late to reach the railway by seven, brothers?"
3869_700_000040_000000	"We shall just do it.	"We shall just do it.
3869_700_000040_000001	Shall we get the carriage out?"	Shall we get the carriage out?"
3869_700_000041_000000	"At once.	"At once.
3869_700_000042_000000	"To be sure.	"To be sure.
3869_700_000042_000001	Mitri here will."	Mitri here will."
3869_700_000044_000001	I've known Fyodor Pavlovitch a long time."	I've known Fyodor Pavlovitch a long time."
3869_700_000046_000001	"Thank you, sir.	"Thank you, sir.
3869_700_000047_000001	I've done with the old world for ever, and may I have no news, no echo, from it.	I've done with the old world for ever, and may I have no news, no echo, from it.
3869_700_000047_000002	To a new life, new places and no looking back!" But instead of delight his soul was filled with such gloom, and his heart ached with such anguish, as he had never known in his life before.	To a new life, new places and no looking back!" But instead of delight his soul was filled with such gloom, and his heart ached with such anguish, as he had never known in his life before.
3869_700_000047_000003	He was thinking all the night.	He was thinking all the night.
3869_700_000047_000004	The train flew on, and only at daybreak, when he was approaching Moscow, he suddenly roused himself from his meditation.	The train flew on, and only at daybreak, when he was approaching Moscow, he suddenly roused himself from his meditation.
3869_700_000048_000000	"I am a scoundrel," he whispered to himself.	"I am a scoundrel," he whispered to himself.
3869_700_000049_000000	Fyodor Pavlovitch remained well satisfied at having seen his son off.	Fyodor Pavlovitch remained well satisfied at having seen his son off.
3869_700_000049_000001	For two hours afterwards he felt almost happy, and sat drinking brandy.	For two hours afterwards he felt almost happy, and sat drinking brandy.
3869_700_000049_000002	But suddenly something happened which was very annoying and unpleasant for every one in the house, and completely upset Fyodor Pavlovitch's equanimity at once.	But suddenly something happened which was very annoying and unpleasant for every one in the house, and completely upset Fyodor Pavlovitch's equanimity at once.
3869_700_000049_000003	Smerdyakov went to the cellar for something and fell down from the top of the steps.	Smerdyakov went to the cellar for something and fell down from the top of the steps.
3869_700_000049_000004	Fortunately, Marfa Ignatyevna was in the yard and heard him in time.	Fortunately, Marfa Ignatyevna was in the yard and heard him in time.
3869_700_000049_000005	She did not see the fall, but heard his scream--the strange, peculiar scream, long familiar to her--the scream of the epileptic falling in a fit.	She did not see the fall, but heard his scream-the strange, peculiar scream, long familiar to her-the scream of the epileptic falling in a fit.
3869_700_000049_000006	They could not tell whether the fit had come on him at the moment he was descending the steps, so that he must have fallen unconscious, or whether it was the fall and the shock that had caused the fit in Smerdyakov, who was known to be liable to them.	They could not tell whether the fit had come on him at the moment he was descending the steps, so that he must have fallen unconscious, or whether it was the fall and the shock that had caused the fit in Smerdyakov, who was known to be liable to them.
3869_700_000049_000007	They found him at the bottom of the cellar steps, writhing in convulsions and foaming at the mouth.	They found him at the bottom of the cellar steps, writhing in convulsions and foaming at the mouth.
3869_700_000049_000008	It was thought at first that he must have broken something--an arm or a leg--and hurt himself, but "God had preserved him," as Marfa Ignatyevna expressed it--nothing of the kind had happened.	It was thought at first that he must have broken something-an arm or a leg-and hurt himself, but "God had preserved him," as Marfa Ignatyevna expressed it-nothing of the kind had happened.
3869_700_000049_000009	But it was difficult to get him out of the cellar.	But it was difficult to get him out of the cellar.
3869_700_000049_000010	They asked the neighbors to help and managed it somehow.	They asked the neighbors to help and managed it somehow.
3869_700_000049_000011	Fyodor Pavlovitch himself was present at the whole ceremony.	Fyodor Pavlovitch himself was present at the whole ceremony.
3869_700_000049_000012	He helped, evidently alarmed and upset.	He helped, evidently alarmed and upset.
3869_700_000049_000013	The sick man did not regain consciousness; the convulsions ceased for a time, but then began again, and every one concluded that the same thing would happen, as had happened a year before, when he accidentally fell from the garret. They remembered that ice had been put on his head then.	The sick man did not regain consciousness; the convulsions ceased for a time, but then began again, and every one concluded that the same thing would happen, as had happened a year before, when he accidentally fell from the garret. They remembered that ice had been put on his head then.
3869_700_000049_000014	There was still ice in the cellar, and Marfa Ignatyevna had some brought up.	There was still ice in the cellar, and Marfa Ignatyevna had some brought up.
3869_700_000049_000016	He was a most estimable old man, and the most careful and conscientious doctor in the province.	He was a most estimable old man, and the most careful and conscientious doctor in the province.
3869_700_000049_000017	After careful examination, he concluded that the fit was a very violent one and might have serious consequences; that meanwhile he, Herzenstube, did not fully understand it, but that by to-morrow morning, if the present remedies were unavailing, he would venture to try something else.	After careful examination, he concluded that the fit was a very violent one and might have serious consequences; that meanwhile he, Herzenstube, did not fully understand it, but that by to morrow morning, if the present remedies were unavailing, he would venture to try something else.
3869_700_000049_000018	The invalid was taken to the lodge, to a room next to Grigory's and Marfa Ignatyevna's.	The invalid was taken to the lodge, to a room next to Grigory's and Marfa Ignatyevna's.
3869_700_000050_000000	Then Fyodor Pavlovitch had one misfortune after another to put up with that day.	Then Fyodor Pavlovitch had one misfortune after another to put up with that day.
3869_700_000050_000001	Marfa Ignatyevna cooked the dinner, and the soup, compared with Smerdyakov's, was "no better than dish-water," and the fowl was so dried up that it was impossible to masticate it.	Marfa Ignatyevna cooked the dinner, and the soup, compared with Smerdyakov's, was "no better than dish water," and the fowl was so dried up that it was impossible to masticate it.
3869_700_000050_000002	To her master's bitter, though deserved, reproaches, Marfa Ignatyevna replied that the fowl was a very old one to begin with, and that she had never been trained as a cook.	To her master's bitter, though deserved, reproaches, Marfa Ignatyevna replied that the fowl was a very old one to begin with, and that she had never been trained as a cook.
3869_700_000050_000003	In the evening there was another trouble in store for Fyodor Pavlovitch; he was informed that Grigory, who had not been well for the last three days, was completely laid up by his lumbago.	In the evening there was another trouble in store for Fyodor Pavlovitch; he was informed that Grigory, who had not been well for the last three days, was completely laid up by his lumbago.
3869_700_000050_000004	Fyodor Pavlovitch finished his tea as early as possible and locked himself up alone in the house.	Fyodor Pavlovitch finished his tea as early as possible and locked himself up alone in the house.
3869_700_000050_000005	He was in terrible excitement and suspense.	He was in terrible excitement and suspense.
3869_700_000050_000007	He had received from Smerdyakov that morning an assurance "that she had promised to come without fail." The incorrigible old man's heart throbbed with excitement; he paced up and down his empty rooms listening.	He had received from Smerdyakov that morning an assurance "that she had promised to come without fail." The incorrigible old man's heart throbbed with excitement; he paced up and down his empty rooms listening.
3869_700_000050_000008	He had to be on the alert.	He had to be on the alert.
3869_700_000050_000009	Dmitri might be on the watch for her somewhere, and when she knocked on the window (Smerdyakov had informed him two days before that he had told her where and how to knock) the door must be opened at once.	Dmitri might be on the watch for her somewhere, and when she knocked on the window (Smerdyakov had informed him two days before that he had told her where and how to knock) the door must be opened at once.
3869_700_000050_000010	She must not be a second in the passage, for fear--which God forbid!--that she should be frightened and run away.	She must not be a second in the passage, for fear-which God forbid!--that she should be frightened and run away.
3869_700_000050_000011	Fyodor Pavlovitch had much to think of, but never had his heart been steeped in such voluptuous hopes.	Fyodor Pavlovitch had much to think of, but never had his heart been steeped in such voluptuous hopes.
