114_129324_000001_000000	CHAPTER XLI	CHAPTER forty one
114_129324_000006_000000	Disturbed by these different reflections; inclining now to one course and then to another, and again recoiling from all, as each successive consideration presented itself to her mind; Rose passed a sleepless and anxious night.	Disturbed by these different reflections; inclining now to one course and then to another, and again recoiling from all, as each successive consideration presented itself to her mind; Rose passed a sleepless and anxious night.
114_129324_000006_000001	After more communing with herself next day, she arrived at the desperate conclusion of consulting Harry.	After more communing with herself next day, she arrived at the desperate conclusion of consulting Harry.
114_129324_000007_000000	'If it be painful to him,' she thought, 'to come back here, how painful it will be to me!	'If it be painful to him,' she thought, 'to come back here, how painful it will be to me!
114_129324_000007_000001	But perhaps he will not come; he may write, or he may come himself, and studiously abstain from meeting me--he did when he went away.	But perhaps he will not come; he may write, or he may come himself, and studiously abstain from meeting me-he did when he went away.
114_129324_000007_000002	I hardly thought he would; but it was better for us both.' And here Rose dropped the pen, and turned away, as though the very paper which was to be her messenger should not see her weep.	I hardly thought he would; but it was better for us both.' And here Rose dropped the pen, and turned away, as though the very paper which was to be her messenger should not see her weep.
114_129324_000008_000000	She had taken up the same pen, and laid it down again fifty times, and had considered and reconsidered the first line of her letter without writing the first word, when Oliver, who had been walking in the streets, with Mr. Giles for a body-guard, entered the room in such breathless haste and violent agitation, as seemed to betoken some new cause of alarm.	She had taken up the same pen, and laid it down again fifty times, and had considered and reconsidered the first line of her letter without writing the first word, when Oliver, who had been walking in the streets, with mr Giles for a body guard, entered the room in such breathless haste and violent agitation, as seemed to betoken some new cause of alarm.
114_129324_000009_000000	'What makes you look so flurried?' asked Rose, advancing to meet him.	'What makes you look so flurried?' asked Rose, advancing to meet him.
114_129324_000010_000000	'I hardly know how; I feel as if I should be choked,' replied the boy. 'Oh dear!	'I hardly know how; I feel as if I should be choked,' replied the boy. 'Oh dear!
114_129324_000010_000001	To think that I should see him at last, and you should be able to know that I have told you the truth!'	To think that I should see him at last, and you should be able to know that I have told you the truth!'
114_129324_000011_000000	'I never thought you had told us anything but the truth,' said Rose, soothing him.	'I never thought you had told us anything but the truth,' said Rose, soothing him.
114_129324_000011_000001	'But what is this?--of whom do you speak?'	'But what is this?--of whom do you speak?'
114_129324_000012_000000	'I have seen the gentleman,' replied Oliver, scarcely able to articulate, 'the gentleman who was so good to me--Mr.	'I have seen the gentleman,' replied Oliver, scarcely able to articulate, 'the gentleman who was so good to me-mr
114_129324_000012_000001	Brownlow, that we have so often talked about.'	Brownlow, that we have so often talked about.'
114_129324_000013_000000	'Where?' asked Rose.	'Where?' asked Rose.
114_129324_000014_000000	'Getting out of a coach,' replied Oliver, shedding tears of delight, 'and going into a house.	'Getting out of a coach,' replied Oliver, shedding tears of delight, 'and going into a house.
114_129324_000014_000001	I didn't speak to him--I couldn't speak to him, for he didn't see me, and I trembled so, that I was not able to go up to him.	I didn't speak to him-I couldn't speak to him, for he didn't see me, and I trembled so, that I was not able to go up to him.
114_129324_000014_000002	But Giles asked, for me, whether he lived there, and they said he did.	But Giles asked, for me, whether he lived there, and they said he did.
114_129324_000014_000004	Oh, dear me, dear me!	Oh, dear me, dear me!
114_129324_000014_000005	What shall I do when I come to see him and hear him speak again!'	What shall I do when I come to see him and hear him speak again!'
114_129324_000015_000001	She very soon determined upon turning the discovery to account.	She very soon determined upon turning the discovery to account.
114_129324_000016_000000	'Quick!' she said.	'Quick!' she said.
114_129324_000016_000001	'Tell them to fetch a hackney-coach, and be ready to go with me.	'Tell them to fetch a hackney coach, and be ready to go with me.
114_129324_000016_000002	I will take you there directly, without a minute's loss of time.	I will take you there directly, without a minute's loss of time.
114_129324_000016_000003	I will only tell my aunt that we are going out for an hour, and be ready as soon as you are.'	I will only tell my aunt that we are going out for an hour, and be ready as soon as you are.'
114_129324_000017_000000	Oliver needed no prompting to despatch, and in little more than five minutes they were on their way to Craven Street.	Oliver needed no prompting to despatch, and in little more than five minutes they were on their way to Craven Street.
114_129324_000017_000001	When they arrived there, Rose left Oliver in the coach, under pretence of preparing the old gentleman to receive him; and sending up her card by the servant, requested to see Mr. Brownlow on very pressing business.	When they arrived there, Rose left Oliver in the coach, under pretence of preparing the old gentleman to receive him; and sending up her card by the servant, requested to see mr Brownlow on very pressing business.
114_129324_000017_000002	The servant soon returned, to beg that she would walk upstairs; and following him into an upper room, Miss Maylie was presented to an elderly gentleman of benevolent appearance, in a bottle-green coat.	The servant soon returned, to beg that she would walk upstairs; and following him into an upper room, Miss Maylie was presented to an elderly gentleman of benevolent appearance, in a bottle green coat.
114_129324_000017_000003	At no great distance from whom, was seated another old gentleman, in nankeen breeches and gaiters; who did not look particularly benevolent, and who was sitting with his hands clasped on the top of a thick stick, and his chin propped thereupon.	At no great distance from whom, was seated another old gentleman, in nankeen breeches and gaiters; who did not look particularly benevolent, and who was sitting with his hands clasped on the top of a thick stick, and his chin propped thereupon.
114_129324_000018_000000	'Dear me,' said the gentleman, in the bottle-green coat, hastily rising with great politeness, 'I beg your pardon, young lady--I imagined it was some importunate person who--I beg you will excuse me.	'Dear me,' said the gentleman, in the bottle green coat, hastily rising with great politeness, 'I beg your pardon, young lady-I imagined it was some importunate person who-I beg you will excuse me.
114_129324_000018_000001	Be seated, pray.'	Be seated, pray.'
114_129324_000019_000000	'Mr. Brownlow, I believe, sir?' said Rose, glancing from the other gentleman to the one who had spoken.	'mr Brownlow, I believe, sir?' said Rose, glancing from the other gentleman to the one who had spoken.
114_129324_000020_000000	'That is my name,' said the old gentleman.	'That is my name,' said the old gentleman.
114_129324_000020_000001	'This is my friend, Mr. Grimwig.	'This is my friend, mr Grimwig.
114_129324_000020_000002	Grimwig, will you leave us for a few minutes?'	Grimwig, will you leave us for a few minutes?'
114_129324_000021_000000	'I believe,' interposed Miss Maylie, 'that at this period of our interview, I need not give that gentleman the trouble of going away. If I am correctly informed, he is cognizant of the business on which I wish to speak to you.'	'I believe,' interposed Miss Maylie, 'that at this period of our interview, I need not give that gentleman the trouble of going away. If I am correctly informed, he is cognizant of the business on which I wish to speak to you.'
114_129324_000022_000001	Mr. Grimwig, who had made one very stiff bow, and risen from his chair, made another very stiff bow, and dropped into it again.	mr Grimwig, who had made one very stiff bow, and risen from his chair, made another very stiff bow, and dropped into it again.
114_129324_000023_000000	'I shall surprise you very much, I have no doubt,' said Rose, naturally embarrassed; 'but you once showed great benevolence and goodness to a very dear young friend of mine, and I am sure you will take an interest in hearing of him again.'	'I shall surprise you very much, I have no doubt,' said Rose, naturally embarrassed; 'but you once showed great benevolence and goodness to a very dear young friend of mine, and I am sure you will take an interest in hearing of him again.'
114_129324_000024_000000	'Indeed!' said Mr. Brownlow.	'Indeed!' said mr Brownlow.
114_129324_000025_000000	'Oliver Twist you knew him as,' replied Rose.	'Oliver Twist you knew him as,' replied Rose.
114_129324_000027_000001	He drew his chair nearer to Miss Maylie's, and said,	He drew his chair nearer to Miss Maylie's, and said,
114_129324_000028_000000	'Do me the favour, my dear young lady, to leave entirely out of the question that goodness and benevolence of which you speak, and of which nobody else knows anything; and if you have it in your power to produce any evidence which will alter the unfavourable opinion I was once induced to entertain of that poor child, in Heaven's name put me in possession of it.'	'Do me the favour, my dear young lady, to leave entirely out of the question that goodness and benevolence of which you speak, and of which nobody else knows anything; and if you have it in your power to produce any evidence which will alter the unfavourable opinion I was once induced to entertain of that poor child, in Heaven's name put me in possession of it.'
114_129324_000030_000000	'He is a child of a noble nature and a warm heart,' said Rose, colouring; 'and that Power which has thought fit to try him beyond his years, has planted in his breast affections and feelings which would do honour to many who have numbered his days six times over.'	'He is a child of a noble nature and a warm heart,' said Rose, colouring; 'and that Power which has thought fit to try him beyond his years, has planted in his breast affections and feelings which would do honour to many who have numbered his days six times over.'
114_129324_000031_000000	'I'm only sixty-one,' said Mr. Grimwig, with the same rigid face.	'I'm only sixty one,' said mr Grimwig, with the same rigid face.
114_129324_000031_000001	'And, as the devil's in it if this Oliver is not twelve years old at least, I don't see the application of that remark.'	'And, as the devil's in it if this Oliver is not twelve years old at least, I don't see the application of that remark.'
114_129324_000032_000000	'Do not heed my friend, Miss Maylie,' said Mr. Brownlow; 'he does not mean what he says.'	'Do not heed my friend, Miss Maylie,' said mr Brownlow; 'he does not mean what he says.'
114_129324_000033_000000	'Yes, he does,' growled Mr. Grimwig.	'Yes, he does,' growled mr Grimwig.
114_129324_000034_000000	'No, he does not,' said Mr. Brownlow, obviously rising in wrath as he spoke.	'No, he does not,' said mr Brownlow, obviously rising in wrath as he spoke.
114_129324_000035_000000	'He'll eat his head, if he doesn't,' growled Mr. Grimwig.	'He'll eat his head, if he doesn't,' growled mr Grimwig.
114_129324_000036_000000	'He would deserve to have it knocked off, if he does,' said Mr. Brownlow.	'He would deserve to have it knocked off, if he does,' said mr Brownlow.
114_129324_000037_000000	'And he'd uncommonly like to see any man offer to do it,' responded Mr. Grimwig, knocking his stick upon the floor.	'And he'd uncommonly like to see any man offer to do it,' responded mr Grimwig, knocking his stick upon the floor.
114_129324_000038_000000	Having gone thus far, the two old gentlemen severally took snuff, and afterwards shook hands, according to their invariable custom.	Having gone thus far, the two old gentlemen severally took snuff, and afterwards shook hands, according to their invariable custom.
114_129324_000039_000000	'Now, Miss Maylie,' said Mr. Brownlow, 'to return to the subject in which your humanity is so much interested.	'Now, Miss Maylie,' said mr Brownlow, 'to return to the subject in which your humanity is so much interested.
114_129324_000040_000000	Rose, who had had time to collect her thoughts, at once related, in a few natural words, all that had befallen Oliver since he left Mr. Brownlow's house; reserving Nancy's information for that gentleman's private ear, and concluding with the assurance that his only sorrow, for some months past, had been not being able to meet with his former benefactor and friend.	Rose, who had had time to collect her thoughts, at once related, in a few natural words, all that had befallen Oliver since he left mr Brownlow's house; reserving Nancy's information for that gentleman's private ear, and concluding with the assurance that his only sorrow, for some months past, had been not being able to meet with his former benefactor and friend.
114_129324_000041_000000	'Thank God!' said the old gentleman.	'Thank God!' said the old gentleman.
114_129324_000041_000001	'This is great happiness to me, great happiness.	'This is great happiness to me, great happiness.
114_129324_000041_000002	But you have not told me where he is now, Miss Maylie.	But you have not told me where he is now, Miss Maylie.
114_129324_000042_000000	'He is waiting in a coach at the door,' replied Rose.	'He is waiting in a coach at the door,' replied Rose.
114_129324_000043_000000	'At this door!' cried the old gentleman.	'At this door!' cried the old gentleman.
114_129324_000043_000001	With which he hurried out of the room, down the stairs, up the coachsteps, and into the coach, without another word.	With which he hurried out of the room, down the stairs, up the coachsteps, and into the coach, without another word.
114_129324_000044_000000	When the room-door closed behind him, Mr. Grimwig lifted up his head, and converting one of the hind legs of his chair into a pivot, described three distinct circles with the assistance of his stick and the table; sitting in it all the time.	When the room door closed behind him, mr Grimwig lifted up his head, and converting one of the hind legs of his chair into a pivot, described three distinct circles with the assistance of his stick and the table; sitting in it all the time.
114_129324_000044_000001	After performing this evolution, he rose and limped as fast as he could up and down the room at least a dozen times, and then stopping suddenly before Rose, kissed her without the slightest preface.	After performing this evolution, he rose and limped as fast as he could up and down the room at least a dozen times, and then stopping suddenly before Rose, kissed her without the slightest preface.
114_129324_000045_000001	'Don't be afraid.	'Don't be afraid.
114_129324_000045_000002	I'm old enough to be your grandfather. You're a sweet girl.	I'm old enough to be your grandfather. You're a sweet girl.
114_129324_000045_000003	I like you.	I like you.
114_129324_000045_000004	Here they are!'	Here they are!'
114_129324_000046_000000	In fact, as he threw himself at one dexterous dive into his former seat, Mr. Brownlow returned, accompanied by Oliver, whom Mr. Grimwig received very graciously; and if the gratification of that moment had been the only reward for all her anxiety and care in Oliver's behalf, Rose Maylie would have been well repaid.	In fact, as he threw himself at one dexterous dive into his former seat, mr Brownlow returned, accompanied by Oliver, whom mr Grimwig received very graciously; and if the gratification of that moment had been the only reward for all her anxiety and care in Oliver's behalf, Rose Maylie would have been well repaid.
114_129324_000047_000000	'There is somebody else who should not be forgotten, by the bye,' said Mr. Brownlow, ringing the bell.	'There is somebody else who should not be forgotten, by the bye,' said mr Brownlow, ringing the bell.
114_129324_000047_000001	'Send Mrs. Bedwin here, if you please.'	'Send mrs Bedwin here, if you please.'
114_129324_000048_000000	The old housekeeper answered the summons with all dispatch; and dropping a curtsey at the door, waited for orders.	The old housekeeper answered the summons with all dispatch; and dropping a curtsey at the door, waited for orders.
114_129324_000049_000000	'Why, you get blinder every day, Bedwin,' said Mr. Brownlow, rather testily.	'Why, you get blinder every day, Bedwin,' said mr Brownlow, rather testily.
114_129324_000050_000000	'Well, that I do, sir,' replied the old lady.	'Well, that I do, sir,' replied the old lady.
114_129324_000050_000001	'People's eyes, at my time of life, don't improve with age, sir.'	'People's eyes, at my time of life, don't improve with age, sir.'
114_129324_000051_000000	'I could have told you that,' rejoined Mr. Brownlow; 'but put on your glasses, and see if you can't find out what you were wanted for, will you?'	'I could have told you that,' rejoined mr Brownlow; 'but put on your glasses, and see if you can't find out what you were wanted for, will you?'
114_129324_000052_000000	The old lady began to rummage in her pocket for her spectacles.	The old lady began to rummage in her pocket for her spectacles.
114_129324_000052_000001	But Oliver's patience was not proof against this new trial; and yielding to his first impulse, he sprang into her arms.	But Oliver's patience was not proof against this new trial; and yielding to his first impulse, he sprang into her arms.
114_129324_000053_000000	'God be good to me!' cried the old lady, embracing him; 'it is my innocent boy!'	'God be good to me!' cried the old lady, embracing him; 'it is my innocent boy!'
114_129324_000054_000000	'My dear old nurse!' cried Oliver.	'My dear old nurse!' cried Oliver.
114_129324_000055_000000	'He would come back--I knew he would,' said the old lady, holding him in her arms.	'He would come back-I knew he would,' said the old lady, holding him in her arms.
114_129324_000055_000001	'How well he looks, and how like a gentleman's son he is dressed again!	'How well he looks, and how like a gentleman's son he is dressed again!
114_129324_000056_000000	Leaving her and Oliver to compare notes at leisure, Mr. Brownlow led the way into another room; and there, heard from Rose a full narration of her interview with Nancy, which occasioned him no little surprise and perplexity.	Leaving her and Oliver to compare notes at leisure, mr Brownlow led the way into another room; and there, heard from Rose a full narration of her interview with Nancy, which occasioned him no little surprise and perplexity.
114_129324_000056_000001	Rose also explained her reasons for not confiding in her friend Mr. Losberne in the first instance.	Rose also explained her reasons for not confiding in her friend mr Losberne in the first instance.
114_129324_000056_000002	The old gentleman considered that she had acted prudently, and readily undertook to hold solemn conference with the worthy doctor himself.	The old gentleman considered that she had acted prudently, and readily undertook to hold solemn conference with the worthy doctor himself.
114_129324_000056_000003	To afford him an early opportunity for the execution of this design, it was arranged that he should call at the hotel at eight o'clock that evening, and that in the meantime Mrs. Maylie should be cautiously informed of all that had occurred.	To afford him an early opportunity for the execution of this design, it was arranged that he should call at the hotel at eight o'clock that evening, and that in the meantime mrs Maylie should be cautiously informed of all that had occurred.
114_129324_000056_000004	These preliminaries adjusted, Rose and Oliver returned home.	These preliminaries adjusted, Rose and Oliver returned home.
114_129324_000057_000000	Rose had by no means overrated the measure of the good doctor's wrath. Nancy's history was no sooner unfolded to him, than he poured forth a shower of mingled threats and execrations; threatened to make her the first victim of the combined ingenuity of Messrs.	Rose had by no means overrated the measure of the good doctor's wrath. Nancy's history was no sooner unfolded to him, than he poured forth a shower of mingled threats and execrations; threatened to make her the first victim of the combined ingenuity of Messrs.
114_129324_000057_000001	Blathers and Duff; and actually put on his hat preparatory to sallying forth to obtain the assistance of those worthies.	Blathers and Duff; and actually put on his hat preparatory to sallying forth to obtain the assistance of those worthies.
114_129324_000057_000002	And, doubtless, he would, in this first outbreak, have carried the intention into effect without a moment's consideration of the consequences, if he had not been restrained, in part, by corresponding violence on the side of Mr. Brownlow, who was himself of an irascible temperament, and party by such arguments and representations as seemed best calculated to dissuade him from his hotbrained purpose.	And, doubtless, he would, in this first outbreak, have carried the intention into effect without a moment's consideration of the consequences, if he had not been restrained, in part, by corresponding violence on the side of mr Brownlow, who was himself of an irascible temperament, and party by such arguments and representations as seemed best calculated to dissuade him from his hotbrained purpose.
114_129324_000058_000001	'Are we to pass a vote of thanks to all these vagabonds, male and female, and beg them to accept a hundred pounds, or so, apiece, as a trifling mark of our esteem, and some slight acknowledgment of their kindness to Oliver?'	'Are we to pass a vote of thanks to all these vagabonds, male and female, and beg them to accept a hundred pounds, or so, apiece, as a trifling mark of our esteem, and some slight acknowledgment of their kindness to Oliver?'
114_129324_000059_000000	'Not exactly that,' rejoined Mr. Brownlow, laughing; 'but we must proceed gently and with great care.'	'Not exactly that,' rejoined mr Brownlow, laughing; 'but we must proceed gently and with great care.'
114_129324_000060_000000	'Gentleness and care,' exclaimed the doctor.	'Gentleness and care,' exclaimed the doctor.
114_129324_000061_000000	'Never mind where,' interposed Mr. Brownlow. 'But reflect whether sending them anywhere is likely to attain the object we have in view.'	'Never mind where,' interposed mr Brownlow. 'But reflect whether sending them anywhere is likely to attain the object we have in view.'
114_129324_000062_000000	'What object?' asked the doctor.	'What object?' asked the doctor.
114_129324_000063_000000	'Simply, the discovery of Oliver's parentage, and regaining for him the inheritance of which, if this story be true, he has been fraudulently deprived.'	'Simply, the discovery of Oliver's parentage, and regaining for him the inheritance of which, if this story be true, he has been fraudulently deprived.'
114_129324_000064_000000	'Ah!' said Mr. Losberne, cooling himself with his pocket-handkerchief; 'I almost forgot that.'	'Ah!' said mr Losberne, cooling himself with his pocket handkerchief; 'I almost forgot that.'
114_129324_000065_000000	'You see,' pursued Mr. Brownlow; 'placing this poor girl entirely out of the question, and supposing it were possible to bring these scoundrels to justice without compromising her safety, what good should we bring about?'	'You see,' pursued mr Brownlow; 'placing this poor girl entirely out of the question, and supposing it were possible to bring these scoundrels to justice without compromising her safety, what good should we bring about?'
114_129324_000066_000000	'Hanging a few of them at least, in all probability,' suggested the doctor, 'and transporting the rest.'	'Hanging a few of them at least, in all probability,' suggested the doctor, 'and transporting the rest.'
114_129324_000068_000000	'How?' inquired the doctor.	'How?' inquired the doctor.
114_129324_000069_000002	That can only be done by stratagem, and by catching him when he is not surrounded by these people.	That can only be done by stratagem, and by catching him when he is not surrounded by these people.
114_129324_000069_000003	For, suppose he were apprehended, we have no proof against him.	For, suppose he were apprehended, we have no proof against him.
114_129324_000069_000004	He is not even (so far as we know, or as the facts appear to us) concerned with the gang in any of their robberies.	He is not even (so far as we know, or as the facts appear to us) concerned with the gang in any of their robberies.
114_129324_000069_000005	If he were not discharged, it is very unlikely that he could receive any further punishment than being committed to prison as a rogue and vagabond; and of course ever afterwards his mouth would be so obstinately closed that he might as well, for our purposes, be deaf, dumb, blind, and an idiot.'	If he were not discharged, it is very unlikely that he could receive any further punishment than being committed to prison as a rogue and vagabond; and of course ever afterwards his mouth would be so obstinately closed that he might as well, for our purposes, be deaf, dumb, blind, and an idiot.'
114_129324_000070_000000	'Then,' said the doctor impetuously, 'I put it to you again, whether you think it reasonable that this promise to the girl should be considered binding; a promise made with the best and kindest intentions, but really--'	'Then,' said the doctor impetuously, 'I put it to you again, whether you think it reasonable that this promise to the girl should be considered binding; a promise made with the best and kindest intentions, but really-'
114_129324_000071_000000	'Do not discuss the point, my dear young lady, pray,' said Mr. Brownlow, interrupting Rose as she was about to speak.	'Do not discuss the point, my dear young lady, pray,' said mr Brownlow, interrupting Rose as she was about to speak.
114_129324_000071_000001	'The promise shall be kept.	'The promise shall be kept.
114_129324_000071_000002	I don't think it will, in the slightest degree, interfere with our proceedings.	I don't think it will, in the slightest degree, interfere with our proceedings.
114_129324_000071_000004	She cannot be seen until next Sunday night; this is Tuesday.	She cannot be seen until next Sunday night; this is Tuesday.
114_129324_000071_000005	I would suggest that in the meantime, we remain perfectly quiet, and keep these matters secret even from Oliver himself.'	I would suggest that in the meantime, we remain perfectly quiet, and keep these matters secret even from Oliver himself.'
114_129324_000072_000000	Although Mr. Losberne received with many wry faces a proposal involving a delay of five whole days, he was fain to admit that no better course occurred to him just then; and as both Rose and Mrs. Maylie sided very strongly with Mr. Brownlow, that gentleman's proposition was carried unanimously.	Although mr Losberne received with many wry faces a proposal involving a delay of five whole days, he was fain to admit that no better course occurred to him just then; and as both Rose and mrs Maylie sided very strongly with mr Brownlow, that gentleman's proposition was carried unanimously.
114_129324_000073_000000	'I should like,' he said, 'to call in the aid of my friend Grimwig.	'I should like,' he said, 'to call in the aid of my friend Grimwig.
114_129324_000074_000000	'I have no objection to your calling in your friend if I may call in mine,' said the doctor.	'I have no objection to your calling in your friend if I may call in mine,' said the doctor.
114_129324_000075_000000	'We must put it to the vote,' replied Mr. Brownlow, 'who may he be?'	'We must put it to the vote,' replied mr Brownlow, 'who may he be?'
114_129324_000077_000000	Rose blushed deeply, but she did not make any audible objection to this motion (possibly she felt in a hopeless minority); and Harry Maylie and Mr. Grimwig were accordingly added to the committee.	Rose blushed deeply, but she did not make any audible objection to this motion (possibly she felt in a hopeless minority); and Harry Maylie and mr Grimwig were accordingly added to the committee.
114_129324_000078_000000	'We stay in town, of course,' said Mrs. Maylie, 'while there remains the slightest prospect of prosecuting this inquiry with a chance of success.	'We stay in town, of course,' said mrs Maylie, 'while there remains the slightest prospect of prosecuting this inquiry with a chance of success.
114_129324_000078_000001	I will spare neither trouble nor expense in behalf of the object in which we are all so deeply interested, and I am content to remain here, if it be for twelve months, so long as you assure me that any hope remains.'	I will spare neither trouble nor expense in behalf of the object in which we are all so deeply interested, and I am content to remain here, if it be for twelve months, so long as you assure me that any hope remains.'
114_129324_000079_000000	'Good!' rejoined Mr. Brownlow.	'Good!' rejoined mr Brownlow.
114_129324_000079_000002	Believe me, I make this request with good reason, for I might otherwise excite hopes destined never to be realised, and only increase difficulties and disappointments already quite numerous enough.	Believe me, I make this request with good reason, for I might otherwise excite hopes destined never to be realised, and only increase difficulties and disappointments already quite numerous enough.
114_129324_000079_000003	Come! Supper has been announced, and young Oliver, who is all alone in the next room, will have begun to think, by this time, that we have wearied of his company, and entered into some dark conspiracy to thrust him forth upon the world.'	Come! Supper has been announced, and young Oliver, who is all alone in the next room, will have begun to think, by this time, that we have wearied of his company, and entered into some dark conspiracy to thrust him forth upon the world.'
114_129324_000080_000000	With these words, the old gentleman gave his hand to Mrs. Maylie, and escorted her into the supper-room.	With these words, the old gentleman gave his hand to mrs Maylie, and escorted her into the supper room.
