5914_52087_000000_000000	GUN-FITTINGS AND AMMUNITION.	GUN FITTINGS AND AMMUNITION.
5914_52087_000010_000000	Wadding.--The bush affords few materials from which wadding can be made; some birds' nests are excellent for the purpose.	Wadding.--The bush affords few materials from which wadding can be made; some birds' nests are excellent for the purpose.
5914_52087_000011_000001	Gun-flints are made with a hammer, and a chisel of steel that is not hardened.	Gun flints are made with a hammer, and a chisel of steel that is not hardened.
5914_52087_000011_000002	The stone is chipped by the hammer alone into pieces of the required thickness, which are fashioned by being laid upon the fixed chisel, and hammered against it.	The stone is chipped by the hammer alone into pieces of the required thickness, which are fashioned by being laid upon the fixed chisel, and hammered against it.
5914_52087_000011_000003	It takes nearly a minute for a practised workman to make one gun-flint.	It takes nearly a minute for a practised workman to make one gun flint.
5914_52087_000012_000000	Gunpowder.--To carry Gunpowder.--Wrap it up in flannel or leather, not in paper, cotton, or linen; because these will catch fire, or smoulder like tinder, whilst the former will do neither the one nor the other. Gunpowder carried in a goat-skin bag, travels very safely.	Gunpowder.--To carry Gunpowder.--Wrap it up in flannel or leather, not in paper, cotton, or linen; because these will catch fire, or smoulder like tinder, whilst the former will do neither the one nor the other. Gunpowder carried in a goat skin bag, travels very safely.
5914_52087_000013_000000	To make Gunpowder.--It is difficult to make good gunpowder, but there is no skill required in making powder that will shoot and kill.	To make Gunpowder.--It is difficult to make good gunpowder, but there is no skill required in making powder that will shoot and kill.
5914_52087_000013_000001	Many of the negroes of Africa, make it for themselves--burning the charcoal, gathering saltpetre from salt-pans, and buying the sulphur from trading caravans: they grind the materials on a stone.	Many of the negroes of Africa, make it for themselves-burning the charcoal, gathering saltpetre from salt pans, and buying the sulphur from trading caravans: they grind the materials on a stone.
5914_52087_000014_000001	These proportions should be followed as accurately as possible.	These proportions should be followed as accurately as possible.
5914_52087_000014_000002	Each of the three materials must be pounded into powder separately, and then all mixed together most thoroughly.	Each of the three materials must be pounded into powder separately, and then all mixed together most thoroughly.
5914_52087_000014_000005	Next, the cake is squeezed and worked against a sieve made of parchment, in which the holes have been burnt with a red-hot wire, and through which the cake is squeezed in grains.	Next, the cake is squeezed and worked against a sieve made of parchment, in which the holes have been burnt with a red hot wire, and through which the cake is squeezed in grains.
5914_52087_000014_000006	These grains are now put into a box, which is well shaken about, and in this way the grains run each other smooth.	These grains are now put into a box, which is well shaken about, and in this way the grains run each other smooth.
5914_52087_000014_000007	The fine dust that is then found mixed with the grains, must be winnowed away; lastly the grains are dried.	The fine dust that is then found mixed with the grains, must be winnowed away; lastly the grains are dried.
5914_52087_000015_000001	Pound the ingredients separately.	Pound the ingredients separately.
5914_52087_000015_000003	Mix them.	Mix them.
5914_52087_000015_000004	3. Add a little water, and knead the mass.	three. Add a little water, and knead the mass.
5914_52087_000015_000006	Press it.	Press it.
5914_52087_000015_000007	5.	five.
5914_52087_000015_000008	Rub the mass through a sieve.	Rub the mass through a sieve.
5914_52087_000015_000009	6.	six.
5914_52087_000015_000010	Shake up the grains in a box. 7.	Shake up the grains in a box. seven.
5914_52087_000015_000011	Get rid of the dust. 8.	Get rid of the dust. eight.
5914_52087_000015_000012	Dry the grains.	Dry the grains.
5914_52087_000016_000000	The ingredients should be used as pure as they can be obtained.	The ingredients should be used as pure as they can be obtained.
5914_52087_000016_000001	For making a few charges of coarse powder, the sieve may be dispensed with: in this case, roll the dough into long pieces of the thickness of a pin; lay several of these side by side, and mince the whole into small grains; dust with powder, to prevent their sticking together: and then proceed as already described.	For making a few charges of coarse powder, the sieve may be dispensed with: in this case, roll the dough into long pieces of the thickness of a pin; lay several of these side by side, and mince the whole into small grains; dust with powder, to prevent their sticking together: and then proceed as already described.
5914_52087_000017_000001	It should be made with the greatest care, and used as soon as possible afterwards: it is the most important ingredient in gunpowder.	It should be made with the greatest care, and used as soon as possible afterwards: it is the most important ingredient in gunpowder.
5914_52087_000018_000001	When this has taken place, the bottom part must be broken off and put aside as unfit for making gunpowder, and the top part alone used.	When this has taken place, the bottom part must be broken off and put aside as unfit for making gunpowder, and the top part alone used.
5914_52087_000018_000002	Flower of sulphur is quite pure.	Flower of sulphur is quite pure.
5914_52087_000019_000000	Saltpetre.--Dissolve the saltpetre that you wish to purify, in an equal measure of boiling water; a cupful of one to a cupful of the other. Strain this solution, and, letting it cool gradually, somewhat less than three-fourths of the nitre will separate in regular crystals.	Saltpetre.--Dissolve the saltpetre that you wish to purify, in an equal measure of boiling water; a cupful of one to a cupful of the other. Strain this solution, and, letting it cool gradually, somewhat less than three fourths of the nitre will separate in regular crystals.
5914_52087_000019_000001	Saltpetre exists in the ashes of many plants, of which tobacco is one; it is also found copiously on the ground in many places, in saltpans, or simply as an effloresence.	Saltpetre exists in the ashes of many plants, of which tobacco is one; it is also found copiously on the ground in many places, in saltpans, or simply as an effloresence.
5914_52087_000019_000002	Rubbish, such as old mud huts, and mortar, generally abounds with it.	Rubbish, such as old mud huts, and mortar, generally abounds with it.
5914_52087_000019_000003	(It is made by the action of the air on the potash contained in the earths.) The taste, which is that of gunpowder, is the best test of its presence.	(It is made by the action of the air on the potash contained in the earths.) The taste, which is that of gunpowder, is the best test of its presence.
5914_52087_000019_000004	To extract it, pour hot water on the mass, then evaporate and purify, as mentioned above.	To extract it, pour hot water on the mass, then evaporate and purify, as mentioned above.
5914_52087_000020_000000	Rocket Composition consists of gunpowder 16 parts, by Weight; charcoal, 3 parts.	Rocket Composition consists of gunpowder sixteen parts, by Weight; charcoal, three parts.
5914_52087_000020_000001	Or, in other words, of nitre, 16 parts; charcoal 7 parts; sulphur, 4 parts.	Or, in other words, of nitre, sixteen parts; charcoal seven parts; sulphur, four parts.
5914_52087_000020_000002	It must not be forgotten that when rockets are charged with the composition, a hollow tube must be left down their middle.	It must not be forgotten that when rockets are charged with the composition, a hollow tube must be left down their middle.
5914_52087_000024_000001	A mixture of very little tin, or pewter (which is lead and tin), with lead, hardens it: we read of sportsmen melting up their spoons and dishes for this purpose.	A mixture of very little tin, or pewter (which is lead and tin), with lead, hardens it: we read of sportsmen melting up their spoons and dishes for this purpose.
5914_52087_000024_000002	A little quicksilver has the same effect.	A little quicksilver has the same effect.
5914_52087_000024_000004	He says, "This is superior to all [other] mixtures for that purpose, as it combines hardness with extra weight; the lead must be melted in a pot by itself to a red heat, and the proportion of quicksilver must be added a ladleful at a time, and stirred quickly with a piece of iron just in sufficient quantity to make three or four bullets.	He says, "This is superior to all [other] mixtures for that purpose, as it combines hardness with extra weight; the lead must be melted in a pot by itself to a red heat, and the proportion of quicksilver must be added a ladleful at a time, and stirred quickly with a piece of iron just in sufficient quantity to make three or four bullets.
5914_52087_000024_000005	If the quicksilver is subjected to red heat in the large leadpot, it will evaporate." Proper alloy, or spelter, had best be ordered at a gun-maker's shop, and taken from England instead of lead: different alloys of spelter vary considerably in their degree of hardness, and therefore more than one specimen should be tried.	If the quicksilver is subjected to red heat in the large leadpot, it will evaporate." Proper alloy, or spelter, had best be ordered at a gun maker's shop, and taken from England instead of lead: different alloys of spelter vary considerably in their degree of hardness, and therefore more than one specimen should be tried.
5914_52087_000025_000000	Shape of Bullets.--Round iron bullets are worthless, except at very close quarters, on account of the lightness of the metal: for the resistance of the air checks their force extremely.	Shape of Bullets.--Round iron bullets are worthless, except at very close quarters, on account of the lightness of the metal: for the resistance of the air checks their force extremely.
5914_52087_000025_000001	Whether elongated iron bullets would succeed, remains to be Tried.	Whether elongated iron bullets would succeed, remains to be Tried.
5914_52087_000025_000002	Some savages--as, for instance, those of Timor--when in want of bullets, use stones two or three inches long.	Some savages-as, for instance, those of Timor-when in want of bullets, use stones two or three inches long.
5914_52087_000025_000003	Some good sportsmen insist on the advantage, for shooting at very close quarters, of cleaving a conical bullet nearly down to its base, into four parts; these partly separate, and make a fearful wound.	Some good sportsmen insist on the advantage, for shooting at very close quarters, of cleaving a conical bullet nearly down to its base, into four parts; these partly separate, and make a fearful wound.
5914_52087_000026_000000	Bullets, to carry.--Bullets should be carried sewn up in their patches, for the convenience of loading, and they should not fit too tight: a few may be carried bare, for the sake of rapid loading.	Bullets, to carry.--Bullets should be carried sewn up in their patches, for the convenience of loading, and they should not fit too tight: a few may be carried bare, for the sake of rapid loading.
5914_52087_000027_000000	Recovering Bullets.--When ammunition is scarce, make a practice of recovering the bullets that may have been shot into a beast; if they are of spelter, they will be found to have been very little knocked out of shape, and may often be used again without recasting.	Recovering Bullets.--When ammunition is scarce, make a practice of recovering the bullets that may have been shot into a beast; if they are of spelter, they will be found to have been very little knocked out of shape, and may often be used again without recasting.
5914_52087_000028_000003	If birds are to be killed for stuffing, dust-shot will also be wanted; otherwise, it is undoubtedly better to take only one size of shot.	If birds are to be killed for stuffing, dust shot will also be wanted; otherwise, it is undoubtedly better to take only one size of shot.
5914_52087_000029_000002	If the shot turns out to be lens-shaped, there has been too much arsenic; if hollow, flattened, or tailed, there has been too little. Pewter or tin is bad, as it makes tailed shot.	If the shot turns out to be lens shaped, there has been too much arsenic; if hollow, flattened, or tailed, there has been too little. Pewter or tin is bad, as it makes tailed shot.
5914_52087_000030_000000	Slugs are wanted both for night-shooting and also in case of a hostile attack.	Slugs are wanted both for night shooting and also in case of a hostile attack.
