3361_130131_000005_000000	Chapter XXVI	Chapter twenty six
3361_130131_000012_000000	Such was the road to be traversed in seven days, which would enable Phileas Fogg--at least, so he hoped--to take the Atlantic steamer at New York on the 11th for Liverpool.	Such was the road to be traversed in seven days, which would enable Phileas Fogg-at least, so he hoped-to take the Atlantic steamer at New York on the eleventh for Liverpool.
3361_130131_000013_000000	The car which he occupied was a sort of long omnibus on eight wheels, and with no compartments in the interior.	The car which he occupied was a sort of long omnibus on eight wheels, and with no compartments in the interior.
3361_130131_000013_000001	It was supplied with two rows of seats, perpendicular to the direction of the train on either side of an aisle which conducted to the front and rear platforms. These platforms were found throughout the train, and the passengers were able to pass from one end of the train to the other.	It was supplied with two rows of seats, perpendicular to the direction of the train on either side of an aisle which conducted to the front and rear platforms. These platforms were found throughout the train, and the passengers were able to pass from one end of the train to the other.
3361_130131_000013_000002	It was supplied with saloon cars, balcony cars, restaurants, and smoking-cars; theatre cars alone were wanting, and they will have these some day.	It was supplied with saloon cars, balcony cars, restaurants, and smoking cars; theatre cars alone were wanting, and they will have these some day.
3361_130131_000014_000000	Book and news dealers, sellers of edibles, drinkables, and cigars, who seemed to have plenty of customers, were continually circulating in the aisles.	Book and news dealers, sellers of edibles, drinkables, and cigars, who seemed to have plenty of customers, were continually circulating in the aisles.
3361_130131_000015_000000	The train left Oakland station at six o'clock.	The train left Oakland station at six o'clock.
3361_130131_000015_000001	It was already night, cold and cheerless, the heavens being overcast with clouds which seemed to threaten snow.	It was already night, cold and cheerless, the heavens being overcast with clouds which seemed to threaten snow.
3361_130131_000015_000002	The train did not proceed rapidly; counting the stoppages, it did not run more than twenty miles an hour, which was a sufficient speed, however, to enable it to reach Omaha within its designated time.	The train did not proceed rapidly; counting the stoppages, it did not run more than twenty miles an hour, which was a sufficient speed, however, to enable it to reach Omaha within its designated time.
3361_130131_000016_000000	There was but little conversation in the car, and soon many of the passengers were overcome with sleep.	There was but little conversation in the car, and soon many of the passengers were overcome with sleep.
3361_130131_000016_000001	Passepartout found himself beside the detective; but he did not talk to him.	Passepartout found himself beside the detective; but he did not talk to him.
3361_130131_000016_000002	After recent events, their relations with each other had grown somewhat cold; there could no longer be mutual sympathy or intimacy between them.	After recent events, their relations with each other had grown somewhat cold; there could no longer be mutual sympathy or intimacy between them.
3361_130131_000016_000003	Fix's manner had not changed; but Passepartout was very reserved, and ready to strangle his former friend on the slightest provocation.	Fix's manner had not changed; but Passepartout was very reserved, and ready to strangle his former friend on the slightest provocation.
3361_130131_000017_000000	Snow began to fall an hour after they started, a fine snow, however, which happily could not obstruct the train; nothing could be seen from the windows but a vast, white sheet, against which the smoke of the locomotive had a greyish aspect.	Snow began to fall an hour after they started, a fine snow, however, which happily could not obstruct the train; nothing could be seen from the windows but a vast, white sheet, against which the smoke of the locomotive had a greyish aspect.
3361_130131_000018_000000	At eight o'clock a steward entered the car and announced that the time for going to bed had arrived; and in a few minutes the car was transformed into a dormitory.	At eight o'clock a steward entered the car and announced that the time for going to bed had arrived; and in a few minutes the car was transformed into a dormitory.
3361_130131_000018_000001	The backs of the seats were thrown back, bedsteads carefully packed were rolled out by an ingenious system, berths were suddenly improvised, and each traveller had soon at his disposition a comfortable bed, protected from curious eyes by thick curtains.	The backs of the seats were thrown back, bedsteads carefully packed were rolled out by an ingenious system, berths were suddenly improvised, and each traveller had soon at his disposition a comfortable bed, protected from curious eyes by thick curtains.
3361_130131_000018_000002	The sheets were clean and the pillows soft.	The sheets were clean and the pillows soft.
3361_130131_000018_000003	It only remained to go to bed and sleep which everybody did--while the train sped on across the State of California.	It only remained to go to bed and sleep which everybody did-while the train sped on across the State of California.
3361_130131_000019_000000	The country between San Francisco and Sacramento is not very hilly. The Central Pacific, taking Sacramento for its starting-point, extends eastward to meet the road from Omaha.	The country between San Francisco and Sacramento is not very hilly. The Central Pacific, taking Sacramento for its starting point, extends eastward to meet the road from Omaha.
3361_130131_000019_000001	The line from San Francisco to Sacramento runs in a north-easterly direction, along the American River, which empties into San Pablo Bay.	The line from San Francisco to Sacramento runs in a north easterly direction, along the American River, which empties into San Pablo Bay.
3361_130131_000020_000001	The railway track wound in and out among the passes, now approaching the mountain-sides, now suspended over precipices, avoiding abrupt angles by bold curves, plunging into narrow defiles, which seemed to have no outlet.	The railway track wound in and out among the passes, now approaching the mountain sides, now suspended over precipices, avoiding abrupt angles by bold curves, plunging into narrow defiles, which seemed to have no outlet.
3361_130131_000022_000000	The train entered the State of Nevada through the Carson Valley about nine o'clock, going always northeasterly; and at midday reached Reno, where there was a delay of twenty minutes for breakfast.	The train entered the State of Nevada through the Carson Valley about nine o'clock, going always northeasterly; and at midday reached Reno, where there was a delay of twenty minutes for breakfast.
3361_130131_000023_000000	From this point the road, running along Humboldt River, passed northward for several miles by its banks; then it turned eastward, and kept by the river until it reached the Humboldt Range, nearly at the extreme eastern limit of Nevada.	From this point the road, running along Humboldt River, passed northward for several miles by its banks; then it turned eastward, and kept by the river until it reached the Humboldt Range, nearly at the extreme eastern limit of Nevada.
3361_130131_000024_000001	Sometimes a great herd of buffaloes, massing together in the distance, seemed like a moveable dam.	Sometimes a great herd of buffaloes, massing together in the distance, seemed like a moveable dam.
3361_130131_000024_000002	These innumerable multitudes of ruminating beasts often form an insurmountable obstacle to the passage of the trains; thousands of them have been seen passing over the track for hours together, in compact ranks.	These innumerable multitudes of ruminating beasts often form an insurmountable obstacle to the passage of the trains; thousands of them have been seen passing over the track for hours together, in compact ranks.
3361_130131_000025_000000	This happened, indeed, to the train in which Mr. Fogg was travelling. About twelve o'clock a troop of ten or twelve thousand head of buffalo encumbered the track.	This happened, indeed, to the train in which mr Fogg was travelling. About twelve o'clock a troop of ten or twelve thousand head of buffalo encumbered the track.
3361_130131_000025_000001	The locomotive, slackening its speed, tried to clear the way with its cow-catcher; but the mass of animals was too great.	The locomotive, slackening its speed, tried to clear the way with its cow catcher; but the mass of animals was too great.
3361_130131_000025_000003	There was no use of interrupting them, for, having taken a particular direction, nothing can moderate and change their course; it is a torrent of living flesh which no dam could contain.	There was no use of interrupting them, for, having taken a particular direction, nothing can moderate and change their course; it is a torrent of living flesh which no dam could contain.
3361_130131_000026_000000	The travellers gazed on this curious spectacle from the platforms; but Phileas Fogg, who had the most reason of all to be in a hurry, remained in his seat, and waited philosophically until it should please the buffaloes to get out of the way.	The travellers gazed on this curious spectacle from the platforms; but Phileas Fogg, who had the most reason of all to be in a hurry, remained in his seat, and waited philosophically until it should please the buffaloes to get out of the way.
3361_130131_000027_000000	Passepartout was furious at the delay they occasioned, and longed to discharge his arsenal of revolvers upon them.	Passepartout was furious at the delay they occasioned, and longed to discharge his arsenal of revolvers upon them.
3361_130131_000028_000000	"What a country!" cried he.	"What a country!" cried he.
3361_130131_000028_000001	"Mere cattle stop the trains, and go by in a procession, just as if they were not impeding travel!	"Mere cattle stop the trains, and go by in a procession, just as if they were not impeding travel!
3361_130131_000028_000003	I should like to know if Mr. Fogg foresaw this mishap in his programme! And here's an engineer who doesn't dare to run the locomotive into this herd of beasts!"	I should like to know if mr Fogg foresaw this mishap in his programme! And here's an engineer who doesn't dare to run the locomotive into this herd of beasts!"
3361_130131_000029_000000	The engineer did not try to overcome the obstacle, and he was wise.	The engineer did not try to overcome the obstacle, and he was wise.
3361_130131_000029_000001	He would have crushed the first buffaloes, no doubt, with the cow-catcher; but the locomotive, however powerful, would soon have been checked, the train would inevitably have been thrown off the track, and would then have been helpless.	He would have crushed the first buffaloes, no doubt, with the cow catcher; but the locomotive, however powerful, would soon have been checked, the train would inevitably have been thrown off the track, and would then have been helpless.
3361_130131_000030_000000	The best course was to wait patiently, and regain the lost time by greater speed when the obstacle was removed.	The best course was to wait patiently, and regain the lost time by greater speed when the obstacle was removed.
3361_130131_000030_000001	The procession of buffaloes lasted three full hours, and it was night before the track was clear.	The procession of buffaloes lasted three full hours, and it was night before the track was clear.
3361_130131_000030_000002	The last ranks of the herd were now passing over the rails, while the first had already disappeared below the southern horizon.	The last ranks of the herd were now passing over the rails, while the first had already disappeared below the southern horizon.
